#漢字	音標	解釋
彈	tʰai2	
彌	mi1	
彎	uai1	
形	ɕiŋ2	
彩	tsʰa3	
彭	pʰau2	
影	iaŋ3	
待	tʰa6	
律	liʔ8	
後	ɕie1	
後	ɕie6	后～：年轻人
徐	tsʰi2	
徒	tʰiu2	
得	təʔ7	
徙	sa3	
徛	kʰə1	站立
從	tsʰiŋ2	
德	təʔ7	
心	siŋ1	
必	piʔ7	
忍	ŋiŋ3	
忒	tʰieʔ8	
忙	mau2	
快	kʰua5	
念	ne6	
怕	pʰuo5	
思	sɿ1	
急	tɕiʔ7	
性	siŋ5	
怪	kua5	
恆	haŋ2	紧
恩	aŋ1	
息	siʔ7	
悶	maŋ6	
情	tsʰiŋ2	
惜	siaʔ7	
惡	uʔ7	～ʃʅʔ7：指半骗半抢占有之行为
惱	nu3	
想	siau3	
意	i5	
愛	ɨe5	
感	kau3	
慌	fau1	
慘	tsʰau3	
慢	mai6	
慣	kuai5	
懂	tiŋ3	
懶	lai1	
懷	fa2	
戊	vɨə5	
戌	siʔ7	
成	tʃʰau2	成数，三～
成	tsʰaŋ2	～功
我	ŋa2	
戒	tɕia5	
戚	tsʰiʔ7	
戲	ɕi5	
戴	tie5	
戶	fɨə1	
房	fau2	
所	su3	
扁	pe3	
扇	ʃe5	
扇	ɕie5	
手	ɕiu3	
才	tsʰa2	
扛	kuŋ1	
扭	ŋiu3	
扳	pai1	
扶	pʰɨə2	
批	pʰə1	
扽	taŋ5	～平凳
找	tsa3	
承	tsʰaŋ2	
把	puo3	
抓	tsa1	
投	tʰie2	
抝	a3	
抬	tʰa2	
抹	maʔ7	
抿	miŋ3	将物品抹开
拂	fəʔ7@	丢扔
拆	tsʰuʔ7	
拍	muoʔ8	打
拖	tʰu1	
招	tʃiuo1	
拜	pə5	见～礼
拜	pa5	～神
拭	tsʰəʔ8@	擦
拳	kʰuaŋ2-	～头
拳	tʃʰe2=	
拿	nuo1	
指	tʃʅ3	
按	ai5	
挖	viʔ7	
挨	ə1	
挾	tɕieʔ7	
捋	naʔ8	
捏	nəʔ7@	
捏	nieʔ7@	卷袖子
捻	nieʔ7@	卷袖子
捼	nu2	
捽	tsʰəʔ8@	擦
掌	tɕiau3	
排	pʰa2	
掘	kʰuəʔ8	
掛	kuo5	
探	tʰau1	
接	tsiʔ7	
推	tʰə1	
揀	tʃe3	
描	miuo2	
提	tʰi2	
揚	iau2	
換	vai6	
揾	vaŋ6	～醬油
搖	iu2	
搞	ka3	
搬	pai1	
搭	tuoʔ7	
搶	tsʰiau3	
摞	luoʔ7@	叠起碗
摟	lie2	
摺	tɕiʔ7	
撇	pʰiʔ7	
撐	tsʰau5	
撒	suoʔ7	
撕	si1	
撚	naŋ3	
撞	tʃʰuŋ6	
撥	pəʔ7	
撩	la2	
播	pu5	
擂	lie2	
擋	tuŋ3	
操	tsʰu1	
擔	tau1	
擘	puoʔ7	
