#漢字	音標	解釋
㐴	pʰɑ̟n1	
坒	pi̯e̞7	
坡	pʰɔ1	
坢	pʰɑ̟n3	
坤	kʰwə̞n1	
坦	tʰɑ̟n3	
坫	ti̯ɐ̝n5	
坯	pʰe̞ɪ̯1	
坰	t͡ɕyn1	
坲	fɔ7	
坳	ŋɑʊ̯5	
坴	l̃ɔ7	
坹	ɕy̑e̞7	
坺	fɑ7	
坼	t͡sʰɐ̝7	
垂	t͡sʰwe̞ɪ̯2	
垇	ŋɑʊ̯1	
垈	fɑ7	
型	ɕin2	
垎	xɐ̝7	
垐	t͡sʰzᵚ2	
垓	kɑɪ̯1	
垠	jin2	
垢	kə̞ʊ̯5	
垣	ɥɐ̝n2	
垤	ti̯e̞7	
垮	kʰwɑ3	
垶	ɕyn1	
垹	pɑŋ1	
垼	jɔ7	
埂	kə̞n5	
埃	ŋɑɪ̯1	
埆	t͡ɕʰi̯ɔ7	
埋	mᵇɑɪ̯2	
城	t͡sʰə̞n2	
埒	l̃ɐ̝7	
埓	l̃ɐ̝7	
域	jɔ7	
埠	fʋ̩5	
埡	jɑ1	
埣	swe̞ɪ̯5	
埣	sɔ7	
埭	tɑɪ̯5	
埱	t͡sʰɔ7	
埴	t͡se̞7	
執	t͡se̞7	
培	pʰe̞ɪ̯2	
基	t͡ɕi1	
埻	kɔ7	
埻	kwɐ̝7	
堀	t͡ɕi̯ɔ7	
堂	tʰɑŋ2	
堅	t͡ɕi̯ɐ̝n1	
堆	twe̞ɪ̯1	
堉	jɔ7	
堊	ŋɔ7	
堍	tʰu̜5	吝嗇。又作（𰶴）
堗	tɔ7	表示底部
堘	sə̞n2	
堚	xwə̞n2	
堞	ti̯e̞7	
堡	pʰu̜3	地名如龍洞～
堡	pɑʊ̯3	
堤	tʰi2	
堨	ɔ7	
堪	kʰɑ̟n1	
堮	ŋɔ7	
堯	jɑʊ̯2	
堰	jɐ̝n5	
報	pɑʊ̯5	
堲	t͡ɕi̯e̞7	
場	t͡sʰɑŋ2	
堵	tu̜3	
塉	t͡ɕi̯e̞7	
塊	kʰwɑɪ̯3	
塋	jyn2	
塌	tʰɑ7	
塍	sə̞n2	
塑	su̜5	
塓	mᵇi̯e̞7	
塔	tʰɑ7	
塖	sə̞n2	
塘	tʰɑŋ2	
塙	t͡ɕʰi̯ɔ7	
塚	t͡sɔŋ3	
塛	l̃i̯e̞7	
塞	sɐ̝7	
塢	ʋ̩1	
填	tʰi̯ɐ̝n2	
塵	t͡sʰə̞n2	
塻	mᵇɔ7	
塾	sɔ7	
境	t͡ɕin3	
墄	t͡ɕʰi̯e̞7	
墅	su̜3	
墆	ti̯e̞7	
墊	ti̯ɐ̝n5	
墌	t͡se̞7	
墑	ti̯e̞7	
墓	mᵇɔ5	
墜	t͡swe̞ɪ̯5	
增	t͡sə̞n1	
墟	ɕy1	
墣	pʰɔ7	
墨	mᵇɐ̝7	
墩	tə̞n1	
墮	tɔ5	
墳	fə̞n2	
墼	t͡ɕi̯e̞7	
墾	kʰə̞n3	
墿	je̞7	
壁	pi̯e̞7	
壅	jɔŋ1	
壇	tʰɑ̟n2	
壇	tʰɑ̟n2	地壇：一塊地方
壑	xɔ7	
壓	jɑ7	白讀，作動詞，如：壓，鎮壓
壓	jɑ5	文讀，作名詞，如：壓力
壘	l̃we̞ɪ̯3	
壙	kʰwɑŋ5	
壞	xwɑɪ̯5	
壟	l̃ɔŋ3	
壤	zɑŋ3	
壩	pɑ5	
士	szᵚ5	
壬	zə̞n2	
壯	t͡swɑŋ5	
壹	je̞7	
壺	fʋ̩2	
壽	sə̞ʊ̯5	
夌	l̃in2	
夏	ɕi̯ɑ5	
夔	kʰwe̞ɪ̯2	
夕	ɕi̯e̞7	
外	wɑɪ̯5	
夙	ɕi̯ɔ7	
多	tɔ1	
夜	ji5	
夠	kə̞ʊ̯5	
夢	mᵇɔŋ5	
夥	xɔ3	
大	tɑ5	
大	tɑɪ̯5	
夨	l̃i̯e̞7	
夨	t͡sɐ̝7	
天	tʰi̯ɐ̝n1	
太	tʰɑɪ̯5	
夫	fʋ̩1	
夭	jɑʊ̯1	
央	jɑŋ1	
失	se̞7	
夶	pi3	
夷	ji2	
夼	kʰwɑŋ3	
夾	t͡ɕi̯ɑ7	
奇	t͡ɕʰi2	
奈	l̃ɑɪ̯5	
奉	fɔŋ5	
奊	ɕi̯e̞7	
奎	kʰwe̞ɪ̯2	
奏	t͡sə̞ʊ̯5	
契	t͡ɕʰi5	
契	t͡ɕʰi̯e̞7	契丹
奓	t͡sɑ1	動詞，表示張開或阻止
奔	pə̞n1	
奕	je̞7	
套	tʰɑʊ̯5	
奚	ɕi1	
奠	ti̯ɐ̝n5	
奢	se̞ɪ̯1	
奤	pʰɔ7	
奧	ŋɑʊ̯5	
奩	l̃i̯ɐ̝n2	
奪	tɔ7	
奭	se̞7	
奮	fə̞n5	
奯	xɔ7	
女	l̃y3	
奴	l̃u̜2	
奶	mᵇɑɪ̯1	白讀，表示女性乳房
奶	l̃ɑɪ̯3	奶
奸	t͡ɕi̯ɐ̝n1	
好	xɑʊ̯3	
好	xɑʊ̯5	
如	zu̜2	
妃	fe̞ɪ̯1	
妄	wɑŋ5	
妊	zə̞n5	
妒	tu̜5	
妓	t͡ɕi5	
妖	jɑʊ̯1	
妘	jyn2	
妙	mᵇi̯ɑʊ̯5	
妜	ɥe̞7	
妝	t͡swɑŋ1	
妠	l̃ɑ7	
妣	pi3	
妥	tʰɔ3	
妨	fɑŋ2	
妭	pʰɑ7	
妯	t͡sʰɔ7	妯娌
妲	tɑ7	
妳	l̃i3	
妵	tʰə̞ʊ̯3	
妷	t͡se̞7	
妹	mᵇe̞ɪ̯5	
妺	mᵇɔ7	
妻	t͡ɕʰi1	
妾	t͡ɕʰi̯e̞7	
姂	fɑ7	
姂	t͡ɕʰy̑e̞7	
姊	t͡szᵚ3	
始	szᵚ3	
姐	t͡ɕi3	
姑	ku̜1	
姓	ɕin5	
委	we̞ɪ̯3	
姘	pʰin1	
姚	jɑʊ̯2	
姝	su̜1	
姞	t͡ɕi̯e̞7	
姟	kɑɪ̯1	
姡	xɔ7	1.羞愧的樣子    2.狡猾，狡詐
姡	xwɑ7	面貌醜陋
姣	t͡ɕi̯ɑʊ̯1	
姤	kə̞ʊ̯5	
姦	t͡ɕi̯ɐ̝n1	
姨	ji2	
姪	t͡se̞7	
姬	t͡ɕi1	
姴	l̃i̯e̞7	
姶	ɔ7	
姷	jə̞ʊ̯5	
姻	jin1	
姿	t͡szᵚ1	
威	we̞ɪ̯1	
娃	wɑ2	
娎	ɕi̯e̞7	
娑	sɔ1	
娕	t͡sʰɔ7	
娖	t͡sʰɔ7	
娘	l̃i̯ɑŋ2	在姑娘婆娘等詞中會發生變調讀作陰平
娛	jy2	
娝	pʰi3	
娠	sə̞n2	
娥	ŋɔ2	
娧	ɥe̞7	
娩	mᵇi̯ɐ̝n3	
娶	t͡ɕʰy3	
娺	t͡swɑ7	
娽	l̃ɔ7	
婁	l̃ə̞ʊ̯2	
婆	pʰɔ2	
婉	wɑ̟n3	
婊	pi̯ɑʊ̯3	
婌	sɔ7	
婍	t͡ɕʰi3	
婕	t͡ɕi̯e̞7	
婗	l̃i2	
婚	xwə̞n1	
婠	wɑ̟n1	
婠	wɑ7	
婢	pe̞ɪ̯5	
婥	t͡sʰɔ7	
婦	fʋ̩5	
婧	t͡ɕin5	
婪	l̃ɑ̟n2	
婹	jɑʊ̯3	
婼	ze̞ɪ̯2	婼羌西域國名
婼	t͡sʰɔ7	叔孫婼魯大夫說文曰不順也又人賒切婼羌西域國名
婿	ɕi5	
媉	ɔ7	
媒	mᵇe̞ɪ̯2	
媕	ɔ7	
媚	mᵇe̞ɪ̯5	
媛	ɥɐ̝n2	
媛	ɥɐ̝n5	
媟	ɕi̯e̞7	
媠	tʰɔ3	
媱	jɑʊ̯2	
媲	pʰi5	
媳	ɕi̯e̞7	
媷	zɔ7	
媽	mᵇɑ1	媽媽
媾	kə̞ʊ̯5	
嫁	t͡ɕi̯ɑ5	
嫂	sɑʊ̯3	
嫈	jyn2	
嫉	t͡ɕi̯e̞7	
嫌	ɕi̯ɐ̝n2	
嫑	pi̯ɑʊ̯5	
嫖	pʰi̯ɑʊ̯2	
嫚	mᵇɑ̟n1	
嫠	l̃i2	
嫡	ti̯e̞7	
嫣	jɐ̝n1	
嫦	sɑŋ2	
嫧	t͡sɐ̝7	
嫧	t͡ɕʰi̯e̞7	
嫩	l̃ə̞n5	
嫳	pʰi̯e̞7	
嫵	ʋ̩2	
嫼	jɑ7	
嫿	xwɐ̝7	
嬆	ɕi̯e̞7	
嬉	ɕi1	
嬋	sɑ̟n2	
嬌	t͡ɕi̯ɑʊ̯1	
嬙	sɐ̝7	
嬡	ŋɑɪ̯5	
嬥	t͡sɔ7	
嬪	pʰin2	
嬰	jin1	
嬳	ɔ7	
嬴	jin2	
嬸	sə̞n3	
嬻	tɔ7	
孀	swɑŋ1	
孂	kɐ̝7	
孃	l̃i̯ɑŋ1	
孎	t͡sɔ7	
子	t͡szᵚ3	
孑	t͡ɕi̯e̞7	
孒	t͡ɕi̯ɔ7	
孓	t͡ɕy̑e̞7	
孔	kʰɔŋ3	
孕	zwə̞n5	
字	t͡szᵚ5	
存	t͡sʰə̞n2	
孚	fʋ̩1	
孛	pɔ7	
孜	t͡szᵚ1	
孝	ɕi̯ɑʊ̯5	
孟	mᵇɔŋ5	
季	t͡ɕi5	
孤	ku̜1	
孨	l̃i̯e̞7	
孩	xɑɪ̯2	
孫	sə̞n1	
孰	sɔ7	
孱	t͡sʰɑ̟n2	文讀，如：～弱
孱	t͡sʰɑ̟n5	白讀，作形容詞用於形容人軟弱卑怯如：～頭
孴	je̞7	
孵	fʋ̩1	
孷	l̃i2	
學	ɕi̯ɔ7	
孺	zu̜5	
孼	l̃i̯e̞7	
孽	l̃i̯e̞7	
宅	t͡sʰɐ̝7	
宇	jy3	
守	sə̞ʊ̯3	
安	ŋɑ̟n1	
安	ŋɑɪ̯1	
宊	tʰɔ7	
宋	sɔŋ5	
完	wɑ̟n2	
宏	xɔŋ2	
宓	mᵇi̯e̞7	
宕	tɑŋ5	
宗	t͡sɔŋ1	
官	kwɑ̟n1	
宙	t͡sə̞ʊ̯5	
定	tin5	
宛	wɑ̟n3	
宜	l̃i2	
客	kʰɐ̝7	
宣	ɕy̑ɐ̝n1	
室	se̞7	
宥	jə̞ʊ̯5	
宦	xwɑ̟n5	
宮	kɔŋ1	
宰	t͡sɑɪ̯3	
害	xɑɪ̯5	
宴	jɐ̝n5	
宵	ɕi̯ɑʊ̯1	夜宵
家	t͡ɕi̯ɑ1	
家	kɑ1	白讀，如：家公，家家
宸	sə̞n2	
容	jɔŋ2	
宿	ɕi̯ə̞ʊ̯5	
宿	ɕy̑e̞7	
寀	t͡sʰɑɪ̯3	
寂	t͡ɕi̯e̞7	
寄	t͡ɕi5	
寅	jin2	
密	mᵇi̯e̞7	
寇	kʰə̞ʊ̯5	
寉	xɔ7	
富	fʋ̩5	
寐	mᵇe̞ɪ̯5	
寒	xɑ̟n2	
寓	jy5	
寔	t͡se̞7	
寕	l̃in2	
寕	l̃in5	
寗	l̃in2	
寗	l̃in5	
寘	t͡szᵚ5	
寞	mᵇɔ7	
察	t͡sʰɑ7	
寡	kwɑ3	
寢	t͡ɕʰin3	
寣	xɔ7	
寥	l̃i̯ɑʊ̯2	
實	se̞7	
寧	l̃in2	
寨	t͡sɑɪ̯5	
審	sə̞n3	
寫	ɕi3	
寬	kʰwɑ̟n1	
寰	xwɑ̟n2	
寵	t͡sʰɔŋ3	
寶	pɑʊ̯3	
寸	t͡sʰə̞n5	
寺	szᵚ5	
寽	l̃ɔ7	
封	fɔŋ1	
尃	fʋ̩1	
射	se̞ɪ̯5	
將	t͡ɕi̯ɑŋ1	
將	t͡ɕi̯ɑŋ5	
專	t͡swɑ̟n1	
尊	t͡sə̞n1	
尋	ɕyn2	
對	twe̞ɪ̯5	
導	tɑʊ̯5	
小	ɕi̯ɑʊ̯3	
少	sɑʊ̯3	
少	sɑʊ̯5	
尕	kɑʊ̯1	指頑皮的小孩，如:～兒
尖	t͡ɕi̯ɐ̝n1	
尚	sɑŋ5	
尛	mᵇɔ2	
尠	ɕi̯ɐ̝n3	
尤	jə̞ʊ̯2	
尬	kɑ3	
就	tə̞ʊ̯5	白讀
就	t͡ɕi̯ə̞ʊ̯5	
尳	kɔ7	
尷	kɑ̟n1	
尹	jyn3	
尺	t͡sʰe̞7	
尼	l̃i2	
尾	we̞ɪ̯3	
尿	ɕy1	俗字作噓
尿	l̃i̯ɑʊ̯5	
局	t͡ɕi̯ɔ7	
屁	pʰi5	
屄	pʰi1	女陰
居	t͡ɕy1	
屆	kɑɪ̯5	白讀
屆	t͡ɕi̯ɑɪ̯5	
屈	t͡ɕʰi̯ɔ7	
屋	ɔ7	
屌	ti̯ɑʊ̯3	
屍	szᵚ1	
屎	szᵚ3	
屏	pʰin2	
屐	t͡ɕi̯e̞7	
屑	ɕy̑e̞7	風屑：頭皮屑
屒	t͡sə̞n3	
屒	sə̞n2	
展	t͡sɑ̟n3	
屙	ŋɔ1	
屜	tʰi2	
屟	ɕi̯e̞7	
屠	tʰu̜2	
屢	l̃we̞ɪ̯3	
層	t͡sʰə̞n2	
履	l̃y3	
屧	ɕi̯e̞7	
屩	t͡ɕi̯ɔ7	
屬	sɔ7	
屮	t͡sʰɐ̝7	
屯	tʰə̞n2	
屰	l̃i̯e̞7	
山	sɑ̟n1	
屳	ɕi̯ɐ̝n1	
屴	l̃i̯e̞7	
屵	ŋɔ7	
屹	je̞7	
屼	ŋɔ7	
岉	ɔ7	
岊	t͡ɕi̯e̞7	
岌	t͡ɕi̯e̞7	
岐	t͡ɕʰi2	
岑	t͡sʰə̞n2	
岓	t͡ɕʰi2	
岔	t͡sʰɑ5	
岝	t͡sɐ̝7	
岞	t͡sɔ7	
岡	kɑŋ1	
岦	l̃i̯e̞7	
岪	fɔ7	
岱	tɑɪ̯5	
岷	mᵇin2	
岸	ŋɑ̟n5	
峉	ŋɐ̝7	
峐	kɑɪ̯1	
峙	szᵚ5	
峠	kʰɑ1	
峪	jɔ7	
峯	fɔŋ1	
島	tɑʊ̯3	
峻	t͡ɕyn5	
峽	ɕi̯ɑ7	
崇	t͡sʰɔŋ2	
崍	l̃ɑɪ̯2	
崎	t͡ɕʰi2	
崑	kʰwə̞n1	
崒	t͡ɕi̯ɔ7	
崔	t͡sʰwe̞ɪ̯1	
崕	ŋɑɪ̯2	
崖	ŋɑɪ̯2	
崗	kɑŋ1	
崙	l̃ə̞n2	
崛	t͡ɕi̯ɔ7	
崞	kɔ7	
崦	jɐ̝n1	
崩	pə̞n1	
崪	t͡sɔ7	
崰	t͡szᵚ1	
崱	t͡sɐ̝7	
崳	jy2	
崽	t͡sɑɪ̯3	又作(仔)
崿	ŋɔ7	
嵊	sə̞n5	
嵌	t͡ɕʰi̯ɐ̝n5	
嵑	kʰɔ7	
嵑	t͡ɕi̯e̞7	通（碣）
嵠	t͡ɕʰi1	
嵤	jyn2	
嵥	t͡ɕi̯e̞7	
嵩	sɔŋ1	
嵲	l̃i̯e̞7	
嶂	t͡sɑŋ5	
嶈	t͡ɕʰi̯ɑŋ1	
嶏	fɔ7	
嶧	je̞7	
嶨	t͡ɕʰi̯ɔ7	
嶨	ɕi̯ɔ7	
嶪	l̃i̯e̞7	
嶭	l̃i̯e̞7	
嶷	l̃i̯e̞7	
嶸	jyn2	
嶺	l̃in3	
嶽	jɔ7	
巀	t͡sɑ7	巀嶭山名在右扶風才割切又才結切四
巀	t͡ɕi̯e̞7	
巈	t͡ɕi̯ɔ7	
巍	we̞ɪ̯1	
巖	ŋɑɪ̯2	
川	t͡sʰwɑ̟n1	
州	t͡sə̞ʊ̯1	
巡	ɕyn2	
巢	t͡sʰɑʊ̯2	
巤	l̃i̯e̞7	
工	kɔŋ1	
左	t͡sɔ3	
巧	t͡ɕʰi̯ɑʊ̯3	
巨	t͡ɕy5	
巫	ʋ̩1	
差	t͡sʰɑ1	
差	t͡sʰɑ5	
差	t͡sʰɑɪ̯1	
己	t͡ɕi3	
已	ji3	
巳	szᵚ5	
巴	pɑ1	
巵	t͡szᵚ1	
巷	xɑŋ5	
巾	t͡ɕin1	
市	szᵚ5	
布	pu̜5	
帆	fɑ̟n2	
帇	l̃i̯e̞7	
希	ɕi1	
帒	tɑɪ̯5	
帓	mᵇɑ7	表示擦，如：～桌子
帕	pʰɑ5	
帖	tʰi̯e̞7	
帗	fɔ7	
帙	t͡sʰe̞7	
帚	t͡sə̞ʊ̯3	
帛	pɐ̝7	
帝	ti5	
帞	mᵇɐ̝7	
帟	je̞7	
帢	t͡ɕʰi̯ɑ7	
帥	swɑɪ̯5	
帨	swe̞ɪ̯5	
師	szᵚ1	
席	ɕi̯e̞7	
帳	t͡sɑŋ5	
帵	wɑ̟n1	
帶	tɑɪ̯5	
帷	we̞ɪ̯2	
常	sɑŋ2	
帹	t͡sɑ7	
帽	mᵇɑʊ̯5	
幄	ɔ7	
幅	fɔ7	
幌	xwɑŋ3	
幍	tʰɑʊ̯1	
幎	mᵇi̯e̞7	
幔	mᵇɑ̟n5	
幕	mᵇɔ5	
幗	kwɐ̝7	
幘	t͡sɐ̝7	
幞	fɔ7	
幣	pi5	
幦	mᵇi̯e̞7	
幪	mᵇɔŋ2	
幫	pɑŋ1	
幭	mᵇi̯e̞7	
幯	t͡ɕi̯e̞7	
幱	l̃ɑ̟n2	
平	pʰin2	
年	l̃i̯ɐ̝n2	
幸	ɕin5	
幹	kɑ̟n1	
幹	kɑ̟n5	
幺	jɑʊ̯1	
幻	xwɑ̟n5	
幼	jə̞ʊ̯5	
幽	jə̞ʊ̯1	
幾	t͡ɕi1	
幾	t͡ɕi3	
庇	pʰi5	
序	ɕy5	
底	ti3	
店	ti̯ɐ̝n5	
庘	jɑ7	
庚	kə̞n1	
府	fʋ̩3	
庢	t͡se̞7	
度	tu̜5	
度	tɔ7	審時度勢
座	t͡sɔ5	
庫	kʰu̜5	
庭	tʰin2	
庴	t͡ɕi̯e̞7	
庵	ŋɑ̟n1	
庶	su̜5	
康	kʰɑŋ1	
庸	jɔŋ1	
廁	t͡sʰɐ̝7	
廂	ɕi̯ɑŋ1	
廅	ɔ7	
廈	swɑ3	
廉	l̃i̯ɐ̝n2	
廊	l̃ɑŋ2	
廌	t͡szᵚ5	
廓	kɔ7	
廖	l̃i̯ɑʊ̯5	
廘	l̃ɔ7	
廙	je̞7	
廚	t͡sʰu̜2	
廝	szᵚ1	
廟	mᵇi̯ɑʊ̯5	
廠	t͡sʰɑŋ3	
廢	fe̞ɪ̯5	
廣	kwɑŋ3	
廦	pʰi̯e̞7	
廩	l̃in3	
廬	l̃u̜2	
廳	tʰin1	
延	jɑɪ̯2	
廷	tʰin2	
建	t͡ɕi̯ɐ̝n5	
廿	ze̞7	
弄	l̃ɔŋ1	白讀，如：～整
弄	l̃ɔŋ5	文讀
弆	t͡ɕʰy5	
弈	je̞7	
弊	pi5	
弋	je̞7	
弌	je̞7	
式	szᵚ5	
弑	szᵚ5	
弒	szᵚ5	
弓	t͡ɕi̯ɔŋ1	白讀又音,或作(躬)
弓	t͡ɕi̯ɔŋ2	白讀，作動詞，如：背～起。2.作形容詞表示厲害之意。或作(躬)
弓	kɔŋ1	
引	jin3	
弗	fɔ7	
弘	xɔŋ2	
弟	ti5	
弢	tʰɑʊ̯1	罵，也作（滔）（𰵽）（謟）通常講（日～）
弦	ɕy̑ɐ̝n2	
弧	fʋ̩2	
弱	zɔ7	
張	t͡sɑŋ1	
強	t͡ɕʰi̯ɑŋ2	
強	t͡ɕʰi̯ɑŋ3	
弼	pʰi̯e̞7	
弽	sɐ̝7	
彀	kə̞ʊ̯5	
彃	pi̯e̞7	
彈	tʰɑ̟n2	
彈	tɑ̟n5	
彉	xɔ7	
彌	mᵇe̞ɪ̯2	
彍	xɔ7	
彎	wɑ̟n1	
彏	t͡ɕi̯ɔ7	
彔	l̃ɔ7	
彗	xwe̞ɪ̯5	
彝	ji2	
彠	xwɐ̝7	
彡	sɑ̟n1	
形	ɕin2	
彧	jɔ7	
彩	t͡sʰɑɪ̯3	
彪	pi̯ɑʊ̯1	
彬	pin1	
彭	pʰə̞n2	
影	jin3	
彳	t͡sʰe̞7	
彴	t͡sɔ7	
彶	t͡ɕi̯e̞7	
彷	fɑŋ3	
役	jɔ7	
彼	pi3	
彿	fɔ7	
往	wɑŋ3	
征	t͡sə̞n1	
待	tʰɑɪ̯1	白讀1，作動詞。表示使～～東西保持在某一狀態。如：用手把什麼東西～著
待	tʰɑɪ̯3	白讀2,作動詞。表示(使)停止，擱下，俗字可作(𢪯)
待	tɑɪ̯5	
很	xe̞ɪ̯1	白讀
很	xɑɪ̯1	白讀2,如:丟～實
很	xə̞n3	
徉	jɑŋ2	
律	l̃ɔ7	
後	xə̞ʊ̯5	
徐	ɕy2	
徑	t͡ɕin5	
徒	tʰu̜2	
得	tɐ̝7	
徙	ɕi3	
徜	sɑŋ2	
從	t͡sʰɔŋ2	
御	jy5	
徢	ɕi̯e̞7	
復	fɔ7	
循	ɕyn2	
微	jy2	老派口語弱化，比如：稍微
微	we̞ɪ̯2	
徵	t͡sə̞n1	
德	tɐ̝7	
徹	t͡sʰɐ̝7	
徽	xwe̞ɪ̯1	
忂	t͡ɕʰy2	
心	ɕin1	
必	pi̯e̞7	
忋	kɑɪ̯3	
忌	t͡ɕi5	
忍	zə̞n3	
忐	tʰɑ̟n3	
忑	tʰɐ̝7	
忒	tʰɐ̝7	
忔	t͡ɕʰi̯e̞7	
忖	t͡sʰə̞n5	
志	t͡szᵚ5	
忘	wɑŋ2	白讀，如：搞～去
忘	wɑŋ5	
忙	mᵇɑŋ2	
忝	tʰi̯ɐ̝n3	
忠	t͡sɔŋ1	
忡	t͡sʰɔŋ1	
忤	ʋ̩3	
忦	t͡ɕi̯ɑ7	
忩	t͡sʰɔŋ1	
快	kʰwɑɪ̯5	
忴	t͡ɕin1	
念	l̃i̯ɐ̝n5	
忸	l̃i̯ə̞ʊ̯3	
忸	l̃ɔ7	又音
忻	ɕin1	
忽	xɔ7	
忿	fə̞n5	
怉	pɑʊ̯3	形容詞，用來形容人傻乎乎，淨出洋相的樣子
怍	t͡sɔ7	
怒	l̃u̜5	
怕	pʰɑ5	
怖	pu̜5	
怗	tʰi̯e̞7	
怛	tɑ7	
思	szᵚ1	
怠	tɑɪ̯5	
怡	ji2	
怤	fʋ̩1	
急	t͡ɕi̯e̞7	
性	ɕin5	
怨	ɥɐ̝n5	
怩	l̃i2	
怪	kwɑɪ̯5	
怫	fɔ7	
怭	pi̯e̞7	
怯	t͡ɕʰi̯e̞7	
怱	t͡sʰɔŋ1	
怴	ɕi̯ɔ7	
怵	t͡sʰɔ7	
恃	szᵚ5	
恄	ɕi̯e̞7	
恆	xə̞n2	
恍	xwɑŋ3	
恍	xwɑŋ5	～心
恎	ti̯e̞7	
恐	kʰɔŋ3	
恕	su̜5	
恖	szᵚ1	
恙	jɑŋ5	
恜	t͡sʰe̞7	
恢	xwe̞ɪ̯1	
恤	ɕy̑e̞7	T恤
恥	t͡sʰzᵚ3	
恧	l̃ɔ7	
恨	xə̞n5	又音
恩	ŋə̞n1	
恪	kʰɔ7	
恭	kɔŋ1	
息	ɕy̑e̞7	白讀，如：沒得出～
息	ɕi̯e̞7	
恰	t͡ɕʰi̯ɑ7	
悄	t͡ɕʰi̯ɑʊ̯1	
悅	ɥe̞7	
悈	kɑɪ̯5	
悉	ɕi̯e̞7	
悊	t͡sɐ̝7	
悏	t͡ɕʰi̯e̞7	
悐	tʰi̯e̞7	
悒	je̞7	
悔	xwe̞ɪ̯3	
悖	pɔ7	
悚	sɔŋ3	
悟	ʋ̩5	
悠	jə̞ʊ̯1	
患	xwɑ̟n5	
悤	t͡sʰɔŋ1	
悲	pe̞ɪ̯1	
悳	tɐ̝7	
悴	t͡sʰwe̞ɪ̯5	
悵	t͡sʰɑŋ5	
悶	mᵇə̞n1	形容一個人把心事憋在心裏的樣子
悶	mᵇə̞n5	
惁	ɕi̯e̞7	
惄	l̃i̯e̞7	
情	t͡ɕʰin2	
惑	xwɐ̝7	
惕	tʰi̯e̞7	
惗	l̃i̯e̞7	
惘	wɑŋ3	
惙	t͡swɐ̝7	
惚	xɔ7	
惜	ɕi̯e̞7	
惟	we̞ɪ̯2	
惠	xwe̞ɪ̯5	
惡	ʋ̩5	
惡	ŋɔ7	
惦	ti̯ɐ̝n5	
惪	tɐ̝7	
惰	tɔ5	
惱	l̃ɑʊ̯3	
想	ɕi̯ɑŋ3	
惵	ti̯e̞7	
惸	t͡ɕʰyn2	
惹	ze̞ɪ̯3	
惻	t͡sʰɐ̝7	
愁	t͡sʰə̞ʊ̯2	
愉	jy2	
愎	pi̯e̞7	
意	ji5	
愒	t͡ɕʰi̯e̞7	
愕	ŋɔ7	
愙	kʰɔ7	
愚	jy2	
愛	ŋɑɪ̯5	
愜	t͡ɕʰi̯e̞7	
感	kɑ̟n3	
愣	l̃ə̞n5	
愧	kʰwe̞ɪ̯5	
愫	su̜5	
愬	sɐ̝7	驚懼貌又暮韻
愯	sɔŋ3	
愱	t͡ɕi̯e̞7	
愲	kɔ7	
愵	l̃i̯e̞7	
愶	ɕi̯e̞7	
愷	kʰɑɪ̯3	
愾	kʰɑɪ̯5	
慄	l̃i̯e̞7	
慆	tʰɑʊ̯1	
慈	t͡sʰzᵚ2	
慉	ɕi̯ɔ7	
態	tʰɑɪ̯5	
慌	xwɑŋ1	
慍	jyn5	
慎	t͡sʰə̞n5	
慔	mᵇu̜5	～腦殼：形容人傻，笨，不聰明的樣子
慕	mᵇɔ5	
慖	kwɐ̝7	
慗	t͡sʰe̞7	
慘	t͡sʰɑ̟n3	
慚	t͡sʰɑ̟n2	
慝	tʰɐ̝7	
慢	mᵇɑ̟n5	
慣	kwɑ̟n5	
慤	t͡ɕʰi̯ɔ7	
慧	xwe̞ɪ̯5	
慨	kʰɑɪ̯5	
慪	ŋə̞ʊ̯5	
慫	sɔŋ3	
慮	l̃we̞ɪ̯5	
慰	we̞ɪ̯5	
慴	t͡sɐ̝7	
慶	t͡ɕʰin5	
慷	kʰɑŋ1	
慹	t͡ɕi̯e̞7	
慹	t͡se̞7	
慼	t͡ɕʰi̯e̞7	
慽	t͡ɕʰi̯e̞7	
慾	jɔ7	
憂	jə̞ʊ̯1	
憋	pi̯e̞7	老派文讀
憋	pi1	
憌	t͡ɕʰyn2	
憎	t͡sə̞n1	
憐	l̃i̯ɐ̝n2	
憑	pʰin2	
憚	tɑ̟n5	
憝	twe̞ɪ̯5	
憞	twe̞ɪ̯5	
憟	sɔ7	
憠	t͡ɕy̑e̞7	
憡	t͡sʰɐ̝7	
憤	fə̞n5	
憨	xɑ̟n1	
憫	mᵇin3	
憫	mᵇi̯ɐ̝n3	白讀
憬	t͡ɕyn3	
憭	l̃i̯ɑʊ̯2	
憰	t͡ɕy̑e̞7	
憲	ɕi̯ɐ̝n5	
憴	sə̞n2	
憵	pʰi̯e̞7	
憶	ji5	
憷	t͡sʰu̜3	
懂	tɔŋ3	
懇	kʰə̞n3	
懈	ɕi̯ɑɪ̯5	
應	jin5	
懊	ŋɑʊ̯5	
懌	je̞7	
懎	sɐ̝7	
懖	kɔ7	
懝	l̃i̯e̞7	
懪	pɔ7	
懫	t͡se̞7	
懭	kʰwɑŋ3	
懱	mᵇi̯e̞7	
懲	t͡sʰə̞n3	
懵	mᵇɔŋ1	
懶	l̃ɑ̟n3	
懷	xwɑɪ̯2	
懸	ɕy̑ɐ̝n2	
懸	ɕi̯ɐ̝n2	白讀，表示物體邊緣
