#漢字	音標	解釋
□	tsʰɪ4	看见
刮	kuːɐʔ7	
刷	suːɐʔ7	
刺	tsʰɿ5	
刻	kʰɤʔ7	
剁	to5	
剃	tʰɪ5	
削	siuʔ7	
前	tsʰiːɐ2	
劍	tɕiːɐ5	
剔	tʰiʔ7	
剖	pʰa5	
剜	uːɐ1	
剝	poʔ7	
劇	tɕy5	
剩	tɕian6	
剪	tsiːɐ3	
副	fu5	
割	kuɤʔ7	
劈	pʰɪʔ7	
力	lɪ1	
功	kan1	
加	ko1	
動	tan4	
助	sɤ6	
努	lɤ4	
勁	tɕian5	
勞	lɤ2	
勇	ian4	
勉	miːɐ4	
勤	tɕian2	
勾	tɕiu1	
勻	yan2	
包	po1	
匆	tsʰan1	
化	xuːɐ5	
北	pɪʔ7	
匙	ɕi2	
匠	tsʰiɔu6	
匡	kʰɔu1	
匪	fi3	
匹	pʰiʔ7	
區	tɕʰy1	
醫	i1	
匾	piːɐ3	
十	ɕi1	
千	tsʰiːɐ1	
升	ɕian1	
午	u4	
半	pɔu5	
華	xuːɐ2	
卑	pɪ1	
單	tɔu1	
賣	ma6	
南	lɔu2	
博	poʔ7	
卤	lɤ4	
卦	kuːɐ5	
臥	o6	
衛	uɪ6	
印	ian5	
危	uɪ2	
即	tsiʔ7	
卻	tɕʰiuʔ7	
卵	luːɐ4	
卷	tɕyːɐ3	
廠	tɕʰiɔu3	
廳	tʰɛ1	
历	li1	
厲	li6	
厭	iːɐ5	
廁	tsʰaʔ7	
厚	ɕiu4	
原	ȵyːɐ2	
廂	siɔu1	
廚	tɕʰy2	
厮	sɿ1	
去	kʰɤ5	
参	ɕiɛ1	人～
参	tsʰɔu1	
又	iu6	
叉	tsʰo1	
及	tɕʰi1	
友	iu3	
雙	sɔu1	
反	fɔu3	
发	fɤʔ7	
叔	ɕiuʔ7	
變	piːɐ5	
叛	pʰɔu5	
叛	pʰɔu6	
口	tɕʰiu3	
古	ku3	
句	tɕy5	
另	lɛ6	
只	tɕi3	～有
只	tɕiʔ7	～有
叫	tɕiu5	
可	kʰo3	
台	tɤ2	
史	sɿ3	
右	iu6	
葉	ia1	姓～，而“树叶”的“叶”小称音变
號	xɤ6	
嘆	tʰɔu5	
吃	tɕʰiʔ7	
各	ko1	
合	xɤ1	
吉	tɕiʔ7	
吊	tiu5	
同	tʰan2	
名	mɛ2	
后	xɤ4	侯韵
吐	tʰɤ5	
向	ɕiɔu5	
嚇	xaʔ7	
吕	li4	
君	tɕyan1	
吞	tʰin1	
含	xɔu2	
听	tʰɛ1	
吴	u2	
吵	tsʰo3	
吸	ɕiʔ7	
吹	tɕʰy2	
告	kɤ5	
員	yːɐ2	
周	tɕiu1	
味	uɪ6	
呼	xu1	
命	mɛ6	
和	xo2	
咒	tɕiu5	
咨	tsɿ1	
咬	ŋo4	
咸	xɔu2	
品	pin3	
響	ɕiɔu3	
啞	ŋo3	
哥	ko1	
哭	kʰuʔ7	
哲	tɕiaʔ7	
哽	tɕiːɐ3	
脣	ɕyan2	
唐	tʰɔu2	
售	ɕiu6	
唯	uɪ2	
唱	tɕʰiɔu5	
商	ɕiɔu1	
啼	tɪ2	哭哭～～
啼	tʰɪ2	鸡～
善	siːɐ4	
喉	ɕiu2	
喜	ɕi3	
喝	xɤ2	
噴	pʰɛ1	～水
噴	pʰɛ5	～香
喻	y2	
嗅	xan5	
嗽	sɤ5	
嘉	ko1	
嘴	tsi3	
四	sɿ5	
因	ian1	
团	tuːɐ2	
囥	kʰɔu5	
園	yːɐ2	
困	kʰuɛ5	
囱	tsʰan1	
圍	uɪ2	
固	ku5	
國	kuɤʔ7	
圖	tɤ2	
圓	yːɐ2	
土	tʰɤ3	
在	tsʰɤ4	
場	tɕiɔu2	
址	tɕi3	
均	tɕyan1	
坍	tʰɔu1	
壞	ua6	
坐	tsʰo4	
坑	kʰɛ1	
堅	tɕiːɐ1	
壩	po5	
塢	u3	
墳	fɛ2	
坡	pʰo1	
坤	kʰuɛ1	
坦	tʰɔu3	
坪	pʰɛ2	
垂	ɕy2	
墊	tʰiːɐ6	
垮	kʰuːɐ3	
埋	ma2	
埠	pu5	
基	tɕi1	
堂	tɔu2	
堡	pɤ3	
堵	tɤ3	
塍	ɕian2	
塑	sɤ5	
塔	tʰɔuʔ7	
塘	tɔu2	
塞	sɪʔ7	
填	tiːɐ2	
墓	mu6	
牆	tsʰiɔu2	
增	tsɛ1	
墨	mɪ1	
墩	tuːɐ1	
壁	pɪʔ7	
壕	xɤ2	
壯	tsɔu5	
壺	xu2	
備	pʰi6	
夏	xo6	
多	to1	
夜	ia6	
够	tɕiu5	
大	tʰo6	
天	tʰiːɐ1	
央	iɔu1	
失	ɕiʔ7	
頭	tʰiu2	
夸	kʰuːɐ1	
夾	kɔuʔ7	
奪	tʰuːɐ1	
奇	tɕʰi2	
奈	la6	
奮	fɛ5	
奏	tsiu5	
奔	pɛ1	
獎	tsiɔu3	
套	tʰɤ5	
女	ly4	
奴	lɤ2	
奶	la4	～～：祖母
奶	ȵiːɐ6	吃～
奸	kɔu1	
好	xɤ3	～坏
好	xɤ5	喜～
如	y2	
妃	fi1	
婦	fu4	
妒	tɤ5	
妖	iu1	
妙	miu6	
姊	tsɿ3	
始	ɕi3	
姐	tsiːɐ4	
姑	ku1	
姚	iu2	
姜	tɕiɔu1	
姻	ian1	
姿	tsɿ1	
威	uɪ1	
嬌	tɕiu1	
娘	iɔu2	
娛	y2	
婆	pʰo2	
婚	xuɛ1	
嬸	ɕian3	
媳	siʔ7	
嫁	ko5	
嫂	sɤ3	
嫌	ɕiːɐ2	
嫖	pʰiu2	
嫩	luːɐ6	
嬉	ɕi1	
孔	kʰan3	
孕	yan6	
存	tsʰuːɐ2	
孫	suːɐ1	
孤	ku1	
學	xo1	
寧	lɛ2	
宇	y4	
守	ɕiu3	
安	ŋuɤ1	
宋	san5	
宗	tsan1	
官	kuːɐ1	
定	tʰɛ6	
宜	ȵi2	
寶	pɤ3	
實	ɕi1	
審	ɕian3	
客	kʰaʔ7	
宣	siːɐ1	
室	ɕiʔ7	
宪	ɕiːɐ5	
宮	kan1	
宰	tsɤ3	
害	xuɤ6	
宴	ȵiːɐ5	
宵	siu1	
家	ko1	
容	iːɐ2	
寬	kʰuːɐ1	
賓	pɛ1	
寄	tɕi5	
密	mi1	
富	fu5	
寒	xuɤ2	
寢	tsʰin3	
察	tsʰɔuʔ7	
寡	kuːɐ3	
寸	tsʰuːɐ5	
尋	tsʰin2	
壽	ɕiu6	
封	fan1	
將	tsiɔu1	
將	tsiɔu5	兵～
尊	tsuːɐ1	
少	ɕiu3	多～
少	ɕiu5	～年人
尖	tsiːɐ1	
尘	tɕʰian2	
尚	ɕiɔu6	
嘗	ɕiɔu2	
尤	iu2	
就	tsʰiu6	
屍	ɕi1	
尼	ȵi2	
尽	tsʰin4	
尾	mɪ4	
尿	si1	
局	tɕʰiu1	
屁	pʰi5	
層	tsʰan2	
居	tɕy1	
屉	tʰɪ5	
屆	ka5	
屋	uʔ7	
屎	ɕi3	
展	tɕiːɐ3	
屠	tɤ2	
屯	tuːɐ2	
山	sɔu1	
歲	sɪ5	
崗	kɔu1	
島	tɤ3	
岭	lɛ4	
岳	ŋo1	
岸	ŋuɤ6	
峯	fan1	
崖	ŋuːɐ2	
崩	pan1	
川	tɕʰyːɐ1	
州	tɕiu1	
巢	tsʰo2	
工	kan1	
左	tso3	
巧	tɕʰio3	
差	tsʰa1	出～
差	tsʰo1	相～
己	tɕi3	
已	i4	
巴	po1	
巾	tɕian1	
幣	pɪ6	
市	ɕi4	
布	pu5	
帥	sɤ5	
師	sɿ1	
希	ɕi1	
帳	tɕiɔu5	
帖	tʰiːɐʔ7	
帘	liːɐ2	
帚	tɕiu3	
帝	tɪ5	
帶	ta5	海～
幫	pɔu1	
常	ɕiɔu2	
幅	fuʔ7	
干	kuɤ1	
平	pʰɛ2	
年	ȵiːɐ2	
并	pɛ4	
幸	xɛ4	
幼	iu6	
幽	iu1	
幾	tɕi1	～乎
幾	tɕi3	～个
廣	kɔu3	
莊	tsɔu1	
牀	sɔu2	
廬	lɤ2	
庫	kʰu5	
應	ian1	～该
應	ian5	答～
底	tɪ3	
店	tiːɐ5	
廟	miu6	
廢	fi5	
度	tɤ6	
座	tsʰo6	
庭	tɛ2	
庵	ŋɛ1	
康	kʰɔu1	
廉	liːɐ2	
廊	lɔu2	
延	iːɐ2	
廷	tɛ2	
建	tɕiːɐ5	
開	kʰuɤ1	
异	i6	
式	ɕiʔ7	
弓	kan1	
引	ian4	
弟	tɪ4	
張	tɕiɔu1	
弦	ɕyan2	
彎	uɪ1	
弱	ȵiu1	
彈	tɔu2	～琴
彈	tɔu6	子～
强	tɕʰiɔu2	
歸	kuɪ1	
當	tɔu1	～时
當	tɔu5	正～
形	xɛ2	
彩	tsʰɤ3	
彬	pɛ1	
彭	pʰan2	
往	uɔu4	
征	tɕian1	
待	tʰɤ4	
很	xɛ4	
徐	tsʰi2	
徒	tɤ2	
得	tɪʔ7	
徛	tɕi4	
微	uɪ1	
德	tɪʔ7	
徽	ɕy1	
心	sin1	
必	piʔ7	
忍	ȵian4	
志	tɕi5	
忘	mɔu6	
忙	mɔu2	
忠	tsan1	
憂	iu1	
快	kʰua5	
念	liːɐ4	
懷	xua2	
態	tʰa5	
怒	lɤ6	
怕	pʰo5	
怖	pu5	
憐	liːɐ2	
急	tɕiʔ7	
怨	yːɐ5	
怪	kua5	
總	tsan3	
恐	kʰan3	
恨	xɛ6	
恩	ŋɛ1	
息	siʔ7	
恰	kʰɔuʔ7	
恶	oʔ7	
惱	lɤ4	
悉	siʔ7	
懸	ɕyːɐ2	
悲	pɪ1	
惟	uɪ2	
惠	ɕyɪ6	
慣	kuːɐ5	
想	siɔu3	
愁	tsʰiu2	
愉	y2	
意	i5	
愚	y2	
感	kɛ3	
願	ȵyːɐ6	
慌	xɔu1	
慕	mu6	
慢	mɔu6	
慧	ɕyɪ6	
憋	piːɐʔ7	
懂	tan3	
戎	ian2	
戒	ka5	
戚	tsʰiʔ7	
戳	tsʰoʔ7	
戴	ta5	文，姓～
戴	to5	～花
戶	xu4	
戽	xu5	
房	fɔu2	
所	sɤ3	
扁	piːɐ3	
扇	ɕiːɐ5	
手	ɕiu3	
才	tsʰɤ2	
扑	pʰuʔ7	
打	ta3	
托	tʰoʔ7	
扣	tɕʰiu5	
執	tɕiʔ7	
擴	kʰuːɐʔ7	
掃	sɤ3	
揚	iɔu2	
扮	pɛ5	说得较多
扮	pɔu5	说得较少
扯	tɕʰia3	
扳	pɔu1	
批	pʰɪ1	
找	tso3	
抄	tsʰo1	
把	po3	
抓	tso1	
投	tiu3	
抖	tiu3	
抗	kʰɔu5	
折	ɕia1	～本
折	tɕia6	
抛	pʰo1	
摳	tɕʰiu1	
搶	tsʰiɔu3	
護	xu6	
報	pɤ5	
披	pʰi1	
抬	tɤ2	
抵	tɪ3	
抹	mɔuʔ7	
抽	tɕʰiu1	
擔	tɔu1	～心
擔	tɔu5	挑～
拆	tsʰaʔ7	
拇	mu3	
拉	lo1	
拌	pɔu4	
拍	pʰaʔ7	
拔	pʰo1	
拖	tʰo1	
拘	tɕy1	
招	tɕiu1	
揀	kɔu3	
擁	ian1	
攔	lɔu2	
撥	pɔuʔ7	
擇	tsʰa1	
括	kʰuːɐʔ7	
拯	tɕian3	
拳	tɕʰyːɐ2	
拾	ɕi1	
持	tɕʰi2	
挂	kuːɐ5	
指	tɕi3	
按	ŋuɤ5	
挑	tʰiu1	
挖	uːɐʔ7	
挾	kɔuʔ7	
擋	tɔu3	
挨	ŋa1	
振	tɕian5	
挺	tʰɛ3	
捅	tʰan3	
捆	kʰuɛ3	
捉	tsoʔ7	
損	suːɐ3	
換	uːɐ6	
捧	pʰan3	
据	tɕy5	
捺	luːɐ1	
掀	ɕiːɐ1	
掇	tuːɐʔ7	
授	ɕiu6	
掌	tɕiɔu3	
掏	tʰɤ1	
掐	kʰɔuʔ7	
排	pa2	
探	tɔu6	
接	tsiːɐʔ7	
控	kʰan5	
揉	ȵiu2	
描	miu2	
提	tɪ2	
插	tsʰɔuʔ7	
揩	kʰa1	
揪	tsiu1	
揭	tɕiaʔ7	
擱	ko1	
搓	tsʰo1	
搜	siu1	
搬	pɔu1	
搭	tɔuʔ7	
摆	pa3	
摇	iu2	
攤	tʰɔu1	
摘	tsaʔ7	
摸	mo2	
撇	pʰiːɐʔ7	
撑	tɕʰiːɐ1	
撒	sɔuʔ7	
撞	tsʰɔu6	
撤	tɕʰia5	
撤	tɕʰiaʔ7	
撩	liu2	
操	tsʰɤ1	
擦	tsʰɔuʔ7	
攀	pʰɔu1	
支	tɕi1	
收	ɕiu1	
改	kuɤ3	
攻	kan1	
放	fɔu5	
政	tɕiːɐ5	
故	ku5	
敵	tɪ1	
敏	min4	
救	tɕiu5	
教	ko5	
敢	kɛ3	
散	sɔu5	
敲	kʰo1	
文	uɛ2	
斑	pɔu1	
斗	tiu3	几～米
料	liu6	
斜	tsʰiːɐ2	
斤	tɕian1	
斷	tʰuːɐ4	～绝
斯	sɿ1	
新	sin1	
方	fɔu1	
旁	pʰɔu2	
旅	li4	
族	tsʰɤ1	
旗	tɕi2	
日	ȵi1	
旦	tɔu5	
舊	tɕʰiu6	
旨	tɕi3	
早	tsɤ3	
旬	ɕin2	
旱	xuɤ4	
時	ɕi2	
昌	tɕʰiɔu1	
明	mɛ2	
昏	xuɛ1	
星	sɛ1	
春	tɕʰyan1	
昨	tsʰo1	
昭	tɕiu1	
是	ɕi4	
晝	tɕiu5	
曬	sa5	
暈	yan6	
晚	uːɐ4	
晨	ɕian2	
普	pʰu3	
晶	tsɛ1	
暫	tsʰɔu6	
暑	ɕy3	
暖	luːɐ4	
暗	ŋɛ5	
暮	mu6	
更	kɛ1	～换
更	tɕiːɐ1	打～
曹	tsʰɤ2	
曾	tsʰɛ2	
替	tʰɪ5	
月	ȵyːɐ1	
有	iu3	
朋	pʰan2	
服	fu1	
朗	lɔu4	
望	mɔu6	
朝	tɕiu1	今～
朝	tɕiu2	～代
期	tɕi2	
木	mu1	
本	pɛ3	
朱	tɕy1	
朵	to3	
機	tɕi1	
殺	sɔuʔ7	
雜	tsʰo1	
權	tsʰo1	
權	tɕʰyːɐ2	
杉	sɔu1	
李	li4	
杏	xɛ4	
材	tsʰɤ2	
村	tsʰuːɐ1	
杖	tɕʰiɔu4	
束	sɤ7	
束	sɤʔ7	
條	tʰiu2	
來	lɤ2	
楊	iɔu2	
杭	xɔu2	
杰	tɕʰia1	
杵	tɕʰy3	
杷	po2	
松	san1	
板	pɔu3	
構	tɕiu5	
枇	pʰi2	
枉	uɔu3	
析	siʔ7	
枕	tɕiɛ3	
林	lin2	
果	ko3	
枝	tɕi1	
樞	ɕy1	
槍	tsʰiɔu1	
楓	fan1	
枯	kʰu1	
架	ko5	
柄	pɛ5	
柏	paʔ7	
柑	kɛ1	
染	ȵiːɐ4	
櫃	tɕʰy6	
查	tsʰo2	调～
柱	tɕʰy3	
柳	liu4	
柴	sa2	
柿	sɿ4	
梔	tɕi1	
棟	tan5	
欄	lɔu2	
樹	ɕy6	
栓	suːɐ1	
栗	lɪ1	
校	tɕio6	
株	tɕy1	
樣	iɔu6	
核	xa1	文，～武器
根	kuɛ1	
根	kuɪ1	
格	kaʔ7	合～
栽	tsɤ1	
桂	tɕʰyɪ5	
桃	tʰɤ2	
案	ŋuɤ5	
桌	tsoʔ7	
桐	tan2	
桑	sɔu1	
橋	tɕʰiu2	
桶	tʰan3	
梁	liɔu2	
夢	man6	
梧	u2	
梨	li2	
梭	so1	
梯	tʰɪ1	楼～
械	ka5	
梳	sɤ1	
檢	tɕiːɐ3	
棉	miːɐ2	
棋	tɕi2	
棒	pɔu4	
棕	tsan1	
棚	pʰan2	
棠	tʰɔu2	
森	san1	
棵	kʰo1	
棵	ko3	
棺	kuːɐ1	
植	tɕʰi1	
椒	tsiu1	
楚	tsʰɤ3	
楞	kua4	
楠	lɔu2	
楷	kʰa3	
樓	liu2	
概	kuɤ5	
榆	y2	
榜	pɔu3	
榨	tso5	
榴	liu2	
槌	tɕʰy2	
槐	xua2	
槽	tsʰɤ2	
樟	tɕiɔu1	
模	mu2	
橫	uɛ2	
櫻	iːɐ1	
橄	kɛ3	
櫥	tɕʰy2	
檀	tʰɔu2	
欠	tɕʰiːɐ5	
次	tsʰɿ5	
歡	xuːɐ1	
欺	tɕʰi1	
款	kʰuːɐ3	
歇	ɕiaʔ7	
歌	ko1	
止	tɕi3	
正	tɕiːɐ1	～月
正	tɕiːɐ5	～好
此	tsʰɿ3	
步	pʰu6	
歪	ua1	
死	sɿ3	
殲	tsiːɐ1	
殃	iɔu1	
殘	tsʰɔu2	
段	tuːɐ6	
母	mu3	
毒	tɤ1	
比	pi3	
畢	piʔ7	
斃	pɪ6	
毛	mɤ2	
毫	xɤ2	
毯	tʰɔu3	
民	min2	
气	tɕʰi5	
水	ɕy3	
永	ian3	
汁	tɕiʔ7	
求	tɕʰiu2	
汆	tsʰuːɐ1	
漢	xuɤ5	
漢	xuɤ6	
江	kɔu1	
池	tsʰɿ2	说的较多
池	tɕʰi2	说得较少
污	u1	
湯	tʰɔu1	
汽	tɕʰi5	
沈	ɕian3	
沉	tɕʰian2	
沙	so1	
溝	tɕiu1	
河	xo2	
油	iu2	
泉	tsʰiːɐ2	
泔	kɛ1	
法	fɤʔ7	
泡	pʰo5	～茶
波	po1	
注	tɕy5	
淚	li6	
潑	pʰɔuʔ7	
澤	tsʰa1	
潔	tɕiaʔ7	
洋	iɔu2	
洞	tan6	
津	tsin1	
洪	xan2	
洲	tɕiu1	
活	uːɐ1	
派	pʰa5	
流	liu2	
淺	tsʰiːɐ3	
漿	tsiɔu1	
澆	tɕiu1	
測	tsʰaʔ7	
滸	xu3	
濃	ian2	
浙	tɕiaʔ7	
浩	xɤ4	
浪	lɔu6	
浮	fu2	
浴	iu1	
海	xuɤ3	
浸	tsin5	
涂	tɤ2	
消	siu1	
涕	tʰɪ5	
潤	yan6	
漲	tɕiɔu3	
涯	ŋuːɐ2	
淋	lin2	
淘	tʰɤ2	
淮	xua2	
深	ɕian1	
淹	iːɐ1	
添	tʰiːɐ1	
清	tsʰɛ1	
漁	y2	
渠	tɕʰy2	
渡	tɤ6	
渣	tso1	
溫	uɛ1	
港	kɔu3	
渴	kʰuɤʔ7	
游	iu2	
湖	xu2	
湘	siɔu1	
灣	uɪ1	
溼	tɕʰiʔ7	
溉	kuɤ5	
源	ȵyːɐ2	
滑	uːɐ1	
滔	tʰɤ1	
滾	kuɛ3	
滿	mɔu4	
濾	li6	
濫	lɔu6	
灘	tʰɔu1	
滴	tiʔ7	
漂	pʰiu5	
漆	tsʰiʔ7	
漏	liu6	
演	iːɐ4	
漫	mɔu6	
潘	pʰɔu1	
潛	pʰu2	
潭	tɔu2	
潮	tɕiu2	
澡	tsɤ3	
激	tɕiʔ7	
灌	kuːɐ5	
火	xo3	
滅	miːɐ1	
燈	tɛ1	
靈	lɛ2	
災	tsɤ1	
爐	lɤ2	
炊	tɕʰy2	
炎	iːɐ2	
炒	tsʰo3	
炭	tʰɔu5	
炮	pʰo5	
炸	tso5	
點	tiːɐ3	
炼	liːɐ6	
爛	lɔu6	
烈	liːɐ1	
烊	iɔu2	
烘	xan1	
燭	tɕiuʔ7	
烤	kʰɤ3	
煩	fɔu2	
燒	ɕiu1	
燙	tʰɔu5	
熱	ȵia1	
焊	xuɤ6	
焚	fɛ2	
焦	tsiu1	
焰	iːɐ6	
然	ȵiːɐ2	
煎	tsiːɐ1	
照	tɕiu5	
煮	tɕy3	
熄	siʔ7	
熊	ɕian2	
熏	ɕyan2	
熟	ɕiu1	
熬	ŋɤ2	
燃	ȵiːɐ2	
燎	liu2	
燕	ȵiːɐ5	
爆	po5	
爪	tso3	
爬	pʰo2	
爺	ia2	
爹	tiːɐ1	
片	pʰiːɐ5	
版	pɔu3	
牌	pa2	
牙	ŋo2	
牛	ȵiu2	
牡	miu3	
牢	lɤ2	
物	uːɐ1	
牯	ku3	
牲	ɕiːɐ1	
牽	tɕʰiːɐ1	
特	tʰɪ1	
犯	fɔu4	
狀	tsʰɔu6	
猶	iu2	
狂	kʰɔu2	
狐	xu2	
狗	tɕiu3	
獨	tɤ1	
獅	sɿ1	
獄	ȵiu1	
狼	lɔu2	
獵	liːɐ1	
猛	man4	
猜	tsʰɤ1	
豬	tɕy1	
猬	uɪ6	
獻	ɕiːɐ5	
猴	ɕiu2	
玄	ɕyːɐ2	
玉	ȵiu1	
王	ɔu2	
環	xuɪ2	
現	ɕiːɐ5	
玻	po1	
珍	tɕian1	
珠	tɕy1	
班	pɔu1	
球	tɕiu2	
理	li4	
琴	tɕian2	
琵	pʰi2	
琶	pʰo2	
瑜	y2	
璃	li2	
璧	pɪʔ7	
瓜	kuːɐ1	
瓤	iɔu2	
瓦	ŋɔu4	
瓷	tsʰɿ1	
甘	kɛ1	
甜	tiːɐ2	
生	ɕiːɐ1	
甥	ɕiːɐ1	
用	ian6	
田	tʰiːɐ3	
甲	kɔuʔ7	
申	ɕian1	
電	tiːɐ6	
男	lɔu2	
畫	xuːɐ6	动词
界	ka5	
留	liu2	
畜	tɕʰiuʔ7	
番	fɔu1	
疆	tɕiɔu1	
疏	sɤ1	
疑	ȵi2	
疔	tɛ1	
瘍	iɔu2	
疤	po1	
疥	ka5	
瘡	tsʰɔu1	
瘋	fan1	
疲	pʰi2	
疹	tɕian3	
疼	tʰɛ2	
疾	tsʰi1	
痂	ko1	
病	pʰɛ6	
症	tɕian5	
痒	iɔu4	
痔	tɕi4	
痕	xɛ2	
痛	tʰan5	
痢	li6	
痣	tɕi5	
痰	tʰɔu2	
痱	fi5	
癡	tɕʰi1	
瘟	uɛ1	
瘦	siu5	
癩	luːɐ1	
癩	la6	
登	tɛ1	
白	pa1	
百	paʔ7	
皂	tsʰɤ4	
的	tiʔ7	目～
皇	xɔu2	
皖	uːɐ4	
皮	pʰi2	
盂	y2	
盅	tsian1	
盆	pʰɛ2	
盞	tsɔu3	
鹽	iːɐ2	
監	kɔu1	
盖	kuɤ5	
盜	tɤ6	
盤	pʰɔu2	
目	mu1	
直	tɕʰi1	
相	siɔu1	互～
相	siɔu5	～貌
盼	pʰɔu5	
盾	tuːɐ6	
省	sɛ3	～长
省	ɕiːɐ3	节～
眉	mi2	
看	kʰuɤ1	～守
看	kʰuɤ5	～见
真	tɕian1	
眠	miːɐ2	
眶	kʰɔu1	
眼	ŋɔu4	
着	tɕʰiu1	困～
着	tɕiuʔ7	～衣
睜	tɕiːɐ1	
睡	ɕy6	
督	tɤʔ7	
瞎	xɔuʔ7	
瞒	mɔu2	
知	tɕi1	
矩	tɕy3	
短	tuːɐ3	
矮	ŋa3	
碼	mo4	
研	ȵiːɐ2	
磚	tɕyːɐ1	
破	pʰa5	
硝	siu1	
硫	liu2	
硬	ȵiːɐ6	
確	tɕʰio7	文
確	tɕʰioʔ7	文
礙	uɤ5	
碑	pɪ1	
碗	uːɐ3	
碟	tiːɐ1	
碳	tʰɔu5	
磕	kʰɤʔ7	
磨	mo2	～刀
磨	mo6	石～
示	ɕi6	
社	ɕia4	
祁	tɕi2	
祖	tsɤ3	
祝	tɕiuʔ7	
神	ɕian2	
祥	tsʰiɔu2	
票	pʰiu5	
禄	lɤ1	
福	fuʔ7	
禹	y4	
离	li2	
禾	xo2	
秀	siu5	
私	sɿ1	
秋	tsʰiu1	
種	tsian3	～子
種	tsian5	～树
