#漢字	音標	解釋
當	tɔ1	
當	tɔ5	停～
形	ɦjaŋ2	
影	ʔjaŋ3	
彼	pi3	
往	ɦjɔ4	
待	de4	
律	lie8	
徒	du2	
得	ti7	
得	te7	免～
得	de	弱化轻读，表可能:咸～起
徛	ɡe4	站
微	vi2	
心	saŋ1	
必	pie7	
忌	dʑiɿ6	妒～
忍	zaŋ4	
忏	tsʰa5	
忖	tsʰø3	
忘	vɔ2	
忘	maŋ2	～记:忘记
忙	mɔ2	
忠	tɕʊŋ1	
忤	ŋ4	
憂	ʔjau1	
快	kʋʰa5	
念	ȵie6	
懷	ɡʋa2	～里
慫	ɕɔ3	
怒	du6	
怕	pʰo5	
憐	lie2	
思	sɿ1	～慕
急	tɕai7	
性	siŋ5	
怨	ʔye5	
怪	kʋa5	鬼～
總	tsʊŋ3	
恁	ʔnaŋ7	这么
恐	tɕʰɔ3	
恐	kʰʊŋ3	～怕
恆	ɦaŋ2	
恕	ɕiɿ5	
恨	ɦaŋ6	
恩	ʔø1	
恭	kʊŋ1	
息	si7	
懇	kʰaŋ3	
恶	ʔu5	厌～
恶	ʔo7	～毒
悔	hʋai3	
悖	bai6	
悗	maŋ2	～记:忘记
悲	pai1	
情	ziŋ2	
驚	tɕaŋ1	
惑	ɦʋai6	迷～
惑	ɦʋai8	疑～;迷～
惜	si7	
懼	dʑy6	
惰	du4	
想	sie3	
愁	zau2	
意	ʔi5	
愚	ȵy4	
感	kø3	
願	ȵye6	
慈	zɿ2	
慌	hɔ1	
慕	mu6	
慢	ba6	
慧	ɦy6	
慲	maŋ2	～记:忘记
懂	tʊŋ3	
懊	ʔɜ5	
懦	du4	
懵	mʊŋ4	
懶	la4	
戲	ɕiɿ5	～弄
成	ziŋ2	
我	ŋ4	
戒	ka5	
戚	tsʰi7	
戳	tɕʰo7	
戴	ta5	
房	vɔ2	
所	so3	
手	siu3	
才	dze2	～新死爻
才	ze2	口～
打	tɛ3	
托	tʰo7	
執	tsai7	
掃	sɜ5	
揚	ɦjie2	
扮	pa5	
擾	ɦjiɛ4	
批	pʰi1	
承	ziŋ2	
抄	tsʰɔ1	
把	po3	
抖	tau3	
