#漢字	音標	解釋
㐴	pʰan1	
㮶	s̻o̞7	
㮿	pi̯e̞7	
㯃	t͡ɕʰi̯e̞7	
㯄	t͡s̻ɹ̆ᶤ̞1	
㯋	y̑in3	
㯐	tʰɔ3	
㯓	tʰa7	
㯔	t͡s̻ʰwe̞ɪ̯5	
㯙	t͡s̻e̞7	
㯚	ta7	
㯿	ni̯e̞7	
㰰	ɕi̯a7	
㰱	s̻a7	
㰲	ɕi̯o̞7	
㰲	j̟o̞7	
㰵	t͡ɕi̯o̞7	動詞，表示吮吸
㰼	s̻a7	
㰼	s̻e̞7	
㱄	xe̞7	
㱇	s̻e̞7	生三
㱖	t͡s̻ʰwe̞ɪ̯5	
㱚	wa7	
㱜	t͡s̻a7	
㱞	n̠ᶽi̯e̞7	
㱤	ɕi̯e̞7	
㱳	mᵇe̞7	
㱸	pi̯e̞7	
㱿	kʰo̞7	
㲄	kʰo̞7	
㲉	t͡ɕʰi̯o̞7	
㲉	kʰo̞7	
㲋	t͡s̻ʰo̞7	
㲍	t͡s̻ɹ̆ᶤ̞1	
㲔	ɕi̯e̞n1	
㲕	ne̞7	
㲙	s̻əʊ̯1	
㲞	s̻o̞7	
㲫	pʰo̞7	
㲱	ni̯e̞7	
㲲	ti̯e̞7	
㲳	t͡s̻e̞7	
㲺	t͡ɕi̯e̞7	
㳁	t͡s̻e̞7	莊三
㳐	t͡s̻a7	
㳧	t͡s̻ʰe̞7	
㳨	t͡s̻a7	
㳻	s̻e̞7	
㳻	t͡s̻e̞7	
㴒	j̟e̞7	
㴧	ɕi̯e̞7	
㴹	mᵇi5	扎入水中埋頭猛進.打～子:潜泳 ～起腦殼整:潜水專攻某事.正字或作(沕)
㴽	ɕi̯e̞7	
㵋	mᵇi̯e̞7	
㵐	t͡ɕʰy̑e̞7	
㵣	kʰo̞7	
㵧	ko̞7	
㵫	n̠ᶽi̯e̞7	
㶁	kwe̞7	
㶅	ɕi̯o̞7	
㶖	s̻o̞7	
㶰	xan1	用文炖食物火，加热
㶿	po̞7	
㷅	t͡s̻ʰa7	
㷋	tʰan2	
㷠	nin2	
㷤	xo̞7	
㷮	t͡s̻ɑʊ̯1	
㷵	mᵇe̞7	
㸅	t͡ɕi̯e̞7	
㸉	ɕi̯e̞7	
㸎	n̠ᶽi̯e̞7	
㸑	t͡s̻ʰwan5	
㸣	n̠ᶽi̯e̞7	
㸲	t͡s̻o̞7	
㸹	ne̞7	
㹂	ɕi̯e̞7	
㹄	t͡ɕi̯e̞7	
㹊	j̟o̞7	
㹍	ti̯e̞7	
㹒	pʰo̞7	
㹘	z̻u̜5	
㹜	n̠ᶽin2	
㹤	t͡ɕʰi̯e̞7	
㹮	mᵇe̞7	
㹱	t͡ɕʰi̯o̞7	
㹺	tʰa7	
㹼	t͡ɕi̯o̞7	
㺟	t͡s̻o̞7	
㺪	pʰo̞7	
㺴	pa7	
㻝	na7	
㻫	pi̯e̞7	
㻶	pi̯e̞7	
㻷	t͡ɕi̯e̞7	
㻿	s̻o̞7	
㼚	kɑŋ1	
㼟	pe̞7	
㼪	t͡ɕi̯a7	
㼲	ni̯e̞7	
㼾	no̞7	
㽁	ni̯e̞7	
㽇	xo̞7	
㽚	t͡s̻ʰe̞7	
㽣	j̟o̞7	
㽤	t͡ɕi̯o̞7	
㽺	xo̞7	
㽺	t͡ɕi̯e̞7	
㽻	t͡s̻ɹ̆ᶤ̞1	
㽾	ŋo̞7	
㾀	t͡ɕʰi̯e̞7	
㾁	xo̞7	
㾄	to̞7	
㾇	mᵇo̞7	
㾊	s̻e̞7	
㾐	ni5	
㾑	ta7	疙～(瘩)，表示身上隆起的小包
㾑	xo̞7	
㾘	kə̟n3	
㾜	t͡ɕʰi̯e̞7	
㾨	t͡ɕʰi3	
㾶	ko̞7	
㾹	t͡s̻ʰaɪ̯2	瘦，少肉，皮包骨
㿑	j̟o̞7	
㿓	t͡ɕi̯a7	
㿣	xo̞7	
㿥	xo̞7	
㿭	t͡s̻ʰe̞7	
㿯	ta7	
㿱	ɕy̑e̞7	
㿴	ta7	
䀄	mᵇo̞ŋ2	
䀌	ɕi̯e̞7	
䀗	t͡ɕy̑e̞7	
䀛	mᵇo̞7	
䀡	ti̯e̞n5	
䀣	mᵇa7	
䀨	xwa7	
䀩	no̞7	
䀫	t͡ɕi̯a7	
䀰	ko̞7	
䀴	j̟a7	
䀶	ni̯ɑŋ5	
䀷	t͡ɕi̯e̞7	
䀹	t͡ɕi̯e̞7	
䀿	t͡s̻e̞7	
䁁	ni̯ɑŋ5	
䁆	j̟e̞7	
䁇	mᵇi̯e̞7	
䁊	o̞7	
䁋	ti̯e̞7	
䁌	j̟o̞7	
䁍	t͡ɕʰi̯a7	
䁒	t͡ɕi̯e̞7	
䁘	j̟ɑʊ̯3	
䁝	y̑in2	
䁨	xo̞7	
䁷	t͡ɕi̯o̞7	
䁷	o̞7	
䁺	s̻e̞7	
䁻	s̻o̞7	
䁽	ni̯e̞7	
䁿	mᵇe̞7	
䂄	ɕi̯o̞7	
䂇	no̞7	
䂎	t͡s̻ʰwan3	
䂐	t͡s̻we̞7	
䂐	t͡s̻o̞7	
䂒	t͡ɕʰi̯a7	
䂮	ni̯o̞7	
䂸	kwe̞7	
䂹	s̻e̞7	生三
䂿	tʰa7	
䃊	t͡ɕy̑i3	
䃒	xe̞7	
䃕	no̞7	
䃗	t͡s̻ʰo̞7	
䃚	t͡ɕʰi̯o̞7	
䃞	s̻o̞7	
䃤	ɕi̯o̞7	
䃳	ni̯e̞7	
䄆	xo̞7	
䄩	j̟e̞7	
䄶	po̞7	
䄷	s̻e̞7	
䅀	ni̯e̞7	
䅂	xo̞7	
䅑	z̻we̞ɪ̯2	
䅥	kʰo̞7	
䅥	t͡ɕi̯e̞7	
䅵	t͡s̻o̞7	
䅻	ni2	
䆊	t͡s̻ʰwe̞ɪ̯5	
䆕	y̑e̞7	
䆘	j̟a7	
䆝	ɕy̑e̞7	
䆞	j̟ɑʊ̯3	
䆟	kʰo̞7	
䆢	y̑e̞7	
䆷	ɕy̑e̞7	
䇎	t͡ɕʰi̯o̞7	
䇐	ni̯e̞7	
䇷	pi̯e̞7	
䇼	j̟e̞7	
䈉	s̻a7	
䈉	t͡ɕi̯e̞7	
䈋	tʰa7	
䈎	j̟e̞7	
䈏	po̞7	
䈓	ko̞7	
䈙	t͡s̻əʊ̯5	
䈪	ɕi̯e̞7	
䈱	tʰɑʊ̯1	
䈳	tʰa7	
䈸	xo̞7	
䈿	mᵇi̯e̞7	
䉈	s̻a7	
䉛	j̟o̞7	
䉢	s̻e̞7	生三
䉭	ni̯e̞7	
䊝	ɕi̯e̞7	
䊞	t͡s̻e̞7	
䊟	mᵇə̟n2	
䊦	j̟e̞7	
䊬	t͡s̻ʰwɑ3	
䊮	ti̯e̞7	
䊰	t͡s̻ʰu̜2	
䋈	nɑ3	
䋉	ɕy̑e̞7	
䋏	t͡s̻o̞7	
䋐	y̑e̞7	
䋖	j̟o̞7	
䋢	pi̯e̞7	
䋢	pʰi̯e̞7	
䋤	j̟o̞7	
䋭	j̟o̞7	
䋰	t͡ɕi̯o̞7	
䋾	t͡s̻ɑ3	
䌌	t͡ɕʰi̯e̞7	
䌎	ni̯o̞7	
䌐	mᵇi̯e̞7	
䌖	t͡ɕi̯e̞7	
䌘	pi̯e̞7	
䌜	n̠ᶽi̯e̞7	
䌟	pe̞7	
䌦	ti̯e̞7	
䌨	t͡s̻ʰa7	
䌵	t͡s̻o̞7	
䍃	j̟ɑʊ̯2	
䍃	j̟əʊ̯2	
䍇	tʰa7	
䍊	t͡ɕʰi̯e̞7	
䍍	kʰo̞7	
䍝	tʰa7	
䍥	ni̯e̞7	
䍨	pʰo̞7	
䍸	po̞7	
䍼	t͡s̻a7	
䍽	ni̯e̞7	
䎀	ɕy̑e̞7	
䎉	ɕi̯o̞7	
䎌	t͡s̻ʰo̞7	
䎎	ne̞7	
䎑	no̞7	
䎘	ɕi̯o̞7	
䎤	t͡ɕi̯o̞7	
䎨	j̟e̞7	
䎪	ne̞7	
䎰	t͡s̻o̞7	
䎳	wa7	
䏉	s̻e̞7	
䏐	t͡ɕy̑e̞7	
䏘	pʰi̯e̞7	
䏙	tʰan3	
䏟	pi̯e̞7	
䏧	nɑ5	
䏳	t͡s̻e̞7	
䏵	mᵇɑŋ1	1.泛指已煮好的食物，如：吃～～。2.，形容人體魁梧
䐁	t͡s̻o̞7	
䐈	t͡s̻e̞7	
䐑	t͡s̻e̞7	
䐘	t͡ɕi̯o̞7	
䐚	t͡ɕi̯e̞7	
䐞	z̻o̞7	
䐨	ko̞7	
䐲	t͡s̻e̞7	
䐸	xwe̞7	
䐼	ɕi̯e̞7	
䐾	to̞7	
䑁	o̞7	
䑂	j̟ɛɪ̯3	
䑇	t͡s̻e̞7	
䑈	po̞7	
䑑	pʰo̞7	
䑔	fa7	
䑜	tʰi̯e̞7	
䑢	ŋo̞7	
䑥	ŋo̞7	
䑶	t͡ɕʰi̯e̞n5	
䑿	ɕi̯o̞7	
䒁	ɕi̯e̞7	
䒆	t͡s̻ʰe̞7	
䒗	t͡ɕʰi̯e̞7	
䒷	ko̞7	
䒸	ɕy̑e̞7	
䒼	t͡ɕʰi̯o̞7	
䓃	j̟e̞7	
䓄	j̟in2	
䓈	j̟o̞7	
䓛	ko̞7	
䓠	tʰa7	
䓠	ta7	
䓭	t͡s̻ʰa7	
䓲	z̻we̞ɪ̯5	
䓶	na7	
䔁	ni̯e̞7	
䔎	s̻o̞7	
䔛	t͡ɕʰy̑in3	
䔞	no̞7	
䔡	y̑i2	
䔰	fo̞7	
䔴	t͡s̻ʰe̞7	初三
䔸	pi̯ɑʊ̯3	
䔾	mᵇo̞7	
䕈	ɕi̯e̞7	
䕓	t͡s̻ʰa7	
䕙	t͡ɕi̯e̞7	
䕪	t͡s̻ʰe̞7	
䕸	ɕi̯a7	
䕹	t͡s̻a7	
䕹	t͡ɕi̯e̞7	
䖃	j̟o̞7	
䖐	n̠ᶽin2	
䖑	mᵇi̯e̞7	
䖡	no̞7	
䖦	t͡s̻we̞7	
䖧	na7	
䖩	pi̯e̞7	
䗇	t͡ɕi̯o̞7	
䗔	xəʊ̯2	～𧈵兒：指螳螂
䗘	ko̞7	
䗚	po̞7	
䗱	pʰo̞7	
䗶	na7	
䗷	j̟e̞7	
䘃	mᵇe̞7	蚊蟲的另一種稱呼
䘅	ne̞7	
䘌	n̠ᶽi̯e̞7	
䘏	ɕi̯o̞7	
䘚	t͡s̻o̞7	
䘝	j̟e̞7	
䘷	pi̯e̞7	
䘸	j̟e̞7	
䘿	t͡ɕi̯o̞7	
䙄	t͡s̻a7	
䙄	t͡s̻ʰe̞7	初三
䙏	po̞7	
䙐	kʰe̞7	
䙘	t͡ɕi̯o̞7	
䙱	s̻o̞7	
䙷	te̞7	
䙽	ɕi̯e̞7	
䚄	no̞7	
䚐	tʰi̯e̞7	
䚐	t͡ɕi̯e̞7	
䚝	t͡s̻o̞7	
䚢	t͡s̻ʰe̞7	
䚥	no̞7	
䚦	t͡s̻ɹ̆ᶤ̞5	
䚨	pʰa7	
䚫	t͡ɕi̯o̞7	
䚫	ɕi̯e̞7	
䚴	wa7	
䚹	pʰe̞ɪ̯3	～整：慢慢打扮，耗時耗力去做某事2.表示批評，斥責
䛀	pan1	作動詞，表示與他人發生口角，進行（言語上的）爭論，或作（𰵐）（掰）
䛅	ɕi̯a7	
䛎	ɕy̑e̞7	
䛚	ni̯o̞7	
䛢	tʰo̞7	
䛥	ɕi̯e̞7	
䛽	t͡s̻a7	
䜅	s̻we̞ɪ̯2	
䜆	t͡s̻e̞7	
䜉	t͡s̻ʰe̞7	
䜚	tʰa7	
䜯	t͡ɕi̯o̞7	
䜲	ni̯e̞7	
䜺	t͡s̻ʰe̞7	初三
䜼	ko̞7	
䝕	t͡s̻e̞7	
䝟	j̟a7	
䞙	t͡s̻a7	
䞞	fo̞7	
䞠	t͡s̻e̞7	
䞥	j̟əʊ̯5	
䞦	xe̞7	
䞨	kʰwe̞ɪ̯3	
䞩	ɕi̯a7	
䞰	t͡s̻we̞7	
䞳	pe̞7	
䞵	t͡ɕy̑e̞7	
䞷	t͡ɕy̑e̞7	
䞽	s̻o̞7	生三
䟃	t͡s̻ʰa7	
䟄	t͡ɕʰi̯e̞7	
䟆	pi̯e̞7	
䟉	t͡s̻o̞7	
䟏	s̻o̞7	
䟏	ni̯e̞7	
䟐	ni̯e̞7	
䟑	j̟o̞7	
䟕	t͡s̻ʰɑ1	表示用腳（踩）的動作，又作（蹅）
䟘	xɑŋ3	
䟘	xɑŋ5	
䟙	t͡ɕʰi̯e̞7	
䟛	pʰa7	
䟠	ɕy̑e̞7	
䟣	t͡s̻ʰo̞7	
䟯	kʰwe̞7	
䟵	t͡ɕʰi̯əʊ̯2	
䟷	t͡s̻ʰɹ̆ᶤ̞5	
䟹	ne̞7	
䟾	t͡s̻we̞7	
䟿	no̞7	
䠇	t͡ɕi̯o̞7	
䠈	tʰo̞7	
䠍	ɕi̯ɑ2	
䠐	t͡ɕʰi̯o̞7	
䠑	kʰwe̞ɪ̯3	
䠚	wɑ5	
䠛	j̟ɑʊ̯2	
䠟	ti̯e̞7	
䠯	j̟o̞7	
䠷	tʰi̯ɑʊ̯3	指下半身衹穿一條內褲（尤指男性）甚至不穿內褲裸露的樣子又作（朓）2.作形容詞，指身材修長
䡈	t͡ɕi̯o̞7	
䡜	no̞7	
䡞	t͡ɕi̯o̞7	
䡾	n̠ᶽi̯e̞7	
䢅	s̻ə̟n2	
䢌	po̞7	
䢔	xo̞7	
䢖	j̟o̞7	
䢛	t͡ɕy̑in3	
䢡	j̟e̞7	
䢡	ɕi̯e̞7	
䢦	s̻o̞7	
䢮	ti̯e̞7	
䢰	tʰi̯e̞7	
䢱	to̞7	
䢲	j̟o̞7	
䢵	y̑in2	
䣅	s̻ə̟n2	
䣛	t͡ɕʰi̯e̞7	
䣟	t͡s̻a7	
䣢	t͡ɕi̯e̞7	
䣤	t͡ɕi̯o̞7	
䣧	j̟e̞7	
䣩	s̻wə̟n2	
䣪	pʰo̞7	
䣮	pʰa7	
䣹	fa7	
䤉	mᵇi̯e̞7	
䤎	t͡ɕi̯o̞7	
䤕	ɕi̯o̞7	
䤙	ni̯e̞7	
䤢	pa7	
䤨	pʰe̞7	
䤨	pʰi̯e̞7	
䤶	j̟e̞7	
䥍	t͡s̻e̞7	
䥑	mᵇe̞7	
䥗	kʰwan5	
䥛	t͡ɕi̯e̞7	
䥡	ti̯e̞7	
䥬	po̞7	
䥶	ni̯e̞7	
䦑	ɕy̑e̞7	
䦖	ɕi̯e̞7	
䦗	ɕi̯o̞7	
䦝	xwe̞7	
䦧	ɕi̯e̞7	
䦪	j̟a7	
䧊	kʰo̞7	
䧤	pʰo̞7	
䧨	n̠ᶽi̯e̞7	
䧪	t͡s̻ʰe̞7	
䧴	t͡s̻ɹ̆ᶤ̞1	
䧼	ko̞7	
䨌	po̞7	
䨐	t͡ɕʰi̯a7	
䨗	fəʊ̯2	
䨛	s̻e̞7	
䨣	ke̞7	
䨥	xo̞7	
䨮	ɕy̑e̞7	
䨰	pʰo̞7	
䩊	o̞7	
䩏	mᵇi̯e̞7	
䩐	xo̞7	
䩛	pi̯e̞7	
䩞	tʰi̯e̞7	
䩞	ti̯e̞7	
䩡	t͡ɕi̯a7	
䩢	t͡s̻e̞7	
䩤	ɕi̯e̞7	
䩯	t͡ɕʰi̯e̞7	
䩹	ŋe̞7	
䪁	pʰo̞7	
䪂	ke̞7	
䪉	ni̯e̞7	
䪏	na7	
䪙	pʰo̞7	
䪚	ta7	
䪝	we̞7	
䪝	j̟o̞7	
䪞	t͡s̻a7	
䪬	pʰo̞7	
䪯	y̑in2	
䪼	t͡s̻we̞7	
䫄	t͡s̻ʰwa7	
䫒	mᵇə̟n2	
䫘	xo̞7	
䫦	ko̞7	
䫳	to̞7	
䫻	j̟o̞7	
䫾	pi̯e̞7	
䬂	ɕy̑e̞7	
䬂	ɕi̯o̞7	
䬆	ni̯e̞7	
䬉	xwe̞7	
䬊	t͡s̻a7	
䬍	xo̞7	
䬎	kwe̞7	
䬑	j̟o̞7	
䬴	mᵇo̞7	
䭂	j̟e̞7	
䭆	ne̞7	
䭒	ɕi̯e̞7	
䭦	po̞7	
䭮	fo̞7	
䭱	pi̯e̞7	
䭱	pʰi̯e̞7	
䭿	j̟e̞7	
䮀	po̞7	
䮂	pʰa7	
䮙	j̟o̞7	
䮠	pi̯e̞7	
䮢	t͡s̻a7	
䮤	xo̞7	
䮤	t͡ɕi̯o̞7	
䮥	ni̯e̞7	
䮩	ko̞7	
䮭	mᵇi̯e̞7	
䮱	t͡s̻o̞7	
䮷	to̞7	
䮸	t͡ɕi̯o̞7	
䮸	o̞7	
䯂	t͡s̻e̞7	崇三
䯂	s̻ə̟n1	
䯇	kʰwa7	
䯉	wa7	
䯋	pʰa7	
䯏	ko̞7	
䯐	xaɪ̯2	
䯒	xə̟n2	
䯜	ɕi̯e̞7	
䯜	tʰi̯e̞7	
䯦	mᵇa7	
䯰	kaɪ̯5	
䰖	t͡s̻a7	
䰥	xwe̞7	
䰲	j̟a7	
䰴	t͡ɕi̯e̞7	
䱅	mᵇo̞7	
䱏	tʰəʊ̯3	
䱐	fəʊ̯2	
䱒	j̟e̞7	
䱚	no̞7	
䱜	t͡s̻ʰo̞7	
䱜	t͡ɕʰi̯o̞7	
䱡	t͡ɕi̯o̞7	
䱡	t͡ɕʰi̯o̞7	
䱣	t͡ɕi̯o̞7	
䱮	ŋe̞7	
䱻	xwa7	
䲌	kʰwan5	
䲙	t͡ɕi̯e̞7	
䲚	tʰa7	
䲜	n̠ᶽi̯e̞7	
䲯	t͡ɕi̯e̞7	
䲽	s̻e̞7	
䳀	j̟e̞7	
䳊	pʰa7	
䳔	t͡ɕi̯o̞7	
䳕	fəʊ̯2	
䳖	n̠ᶽi̯e̞7	
䳚	kʰo̞7	
䳤	pi̯e̞7	
䳳	ɕi̯o̞7	
䳴	tʰa7	
䴆	pʰo̞7	
䴑	ti̯e̞7	
䴰	j̟e̞7	
䴰	ɕi̯o̞7	
䴲	mᵇo̞7	
䴳	xwa7	
䵁	t͡ɕʰi̯ɑŋ5	
䵂	ti̯e̞7	
䵈	kʰo̞7	
䵋	we̞ɪ̯3	
䵑	n̠ᶽi̯e̞7	
䵒	n̠ᶽi̯e̞7	
䵗	pe̞7	
䵣	ta7	
䵬	tʰa7	
䵱	ɕi̯e̞7	
䵵	t͡s̻ʰwa7	
䵵	t͡s̻we̞7	
䵽	t͡s̻ʰa7	
䶀	tʰa7	
䶂	t͡s̻o̞7	
䶅	no̞7	
䶅	xo̞7	
䶎	ɕi̯a7	
䶘	na7	
䶘	ni̯e̞7	
䶛	na7	
䶜	ko̞7	
䶢	t͡ɕi̯a7	
䶢	t͡ɕʰi̯a7	
䶦	t͡s̻ʰe̞7	
䶬	n̠ᶽi̯e̞7	
丁	tin1	
丈	t͡s̻ɑŋ5	
三	s̻an1	
上	s̻ɑŋ5	
下	ɕi̯ɑ5	
下	xɑ5	一下 等下
下	xɑ2	地下
不	po̞7	
丐	kaɪ̯5	
且	t͡ɕʰi3	
丕	pʰe̞ɪ̯1	
世	s̻ɹ̆ᶤ̞5	
丗	s̻ɹ̆ᶤ̞5	
丘	t͡ɕʰi̯əʊ̯1	
丙	pin3	
丞	t͡s̻ʰə̟n2	
丟	ti̯əʊ̯1	
並	pin3	白讀，如：～做一坨(進行趸售)
並	pin5	
丫	ɕi̯ɑ1	
中	t͡s̻o̞ŋ1	
中	t͡s̻o̞ŋ5	
丮	t͡ɕi̯e̞7	
丯	kaɪ̯5	
串	t͡s̻ʰwan5	
丵	t͡s̻o̞7	
丸	wan2	
丹	tan1	
