#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
倪	ɡoi5	姓，白读
倫	luŋ5	
倭	o1	
值	tak8	价值
值	tek8	值日
假	ke2	白读
假	ke3	白读
假	kia2	文读
假	kia3	文读
假	kiaʔ8	放假，新派音
假	kẽ3	年假开，内山腔北派音，白读
偉	ui2	
偏	pʰiaŋ1	
偏	pʰĩ1	便宜，替字，本字“便”
偕	kai1	
偕	hai5	
做	tso3	
停	tʰeŋ5	
健	kiaŋ6	文读
健	kiã7	白读
健	kʰiã7	白读
側	tsʰek4	
偵	tseŋ1	
偶	ŋou2	
偷	tʰau1	
僞	ŋui6	
僞	ui5	陈店音
傀	kui2	
傅	hu3	文读
傅	pou3	姓，白读
傍	pʰaŋ5	文读
傍	paŋ6	文读
傍	paŋ7	相傍，文读
傍	pŋ7	得傍，白读
傍	pŋ5	白读
傑	kiak8	
傘	suã3	
備	pi7	准备
備	pi6	设备
傢	ke1	
催	tsʰui1	
傲	ŋau6	
傳	tʰuaŋ5	文读
傳	tuaŋ7	文读
傳	tʰŋ5	白读
傳	tŋ7	白读
傳	tŋ5	世传世
債	tse3	
傷	siõ1	白读
傷	siaŋ1	文读
傻	sa5	
傻	so5	替字
傾	kʰueŋ1	
僅	kiŋ2	
僉	tsʰiam1	
像	siaŋ3	文读
像	tsʰiõ3	老派白读
像	tsʰiõ6	老派白读
像	tsʰiõ7	老派白读
像	siaŋ6	文读
僕	pok8	
僧	tseŋ1	
僵	kiaŋ1	
價	ke3	白读
價	kia3	价值，老派文读
僻	pʰiaʔ8	
儀	ŋi5	
億	ek8	
儉	kʰiam6	
儒	dzu5	
償	siõ5	
儡	lui2	
優	iu1	
儲	tʰu5	
儼	ŋiam2	
儼	ŋiam6	
允	dzuŋ2	
元	ŋuaŋ5	
元	uaŋ5	元宝
兄	hiã1	
充	tsʰoŋ1	
兆	tiau6	
兇	hiã1	
先	saĩ1	白读
先	siŋ1	文读
先	siaŋ1	文读
光	kuaŋ1	文读
光	kŋ1	亮，白读
克	kʰiok4	文读
克	kʰek4	白读
免	miaŋ2	
兌	tue6	
兒	dzi5	文读
兒	ni5	白读
兒	niʔ4	白读
兔	tʰou3	
兖	iaŋ2	
兜	tau1	
兢	keŋ1	
入	dzip8	
全	tsʰuaŋ5	文读
全	tsŋ5	白读
全	tsʰŋ5	齐全，白读
兩	liaŋ2	文读
兩	nio2	白读
兩	no6	白读
八	poiʔ4	白读
八	paʔ4	文读
公	koŋ1	
公	kaŋ1	雄性
六	lak8	
六	liok8	六叩首，文读
六	lok8	六叩首，文读
兮	hi1	
共	kaŋ7	白读
共	koŋ7	文读
兵	piã1	
其	kʰi5	
其	kai5	的
具	ku6	具体、具备、具有
具	ku3	玩具厂、文具厂
典	tiaŋ2	
兹	tsu1	
冀	ki3	
內	lai6	
內	lai7	入内，入新宅
冉	dziam2	
冊	tsʰeʔ4	
再	tsai3	
冒	mau6	
冗	dzioŋ2	
冠	kuaŋ3	
冠	kuaŋ1	
冢	tʰoŋ2	
冤	uaŋ1	
冥	meŋ5	
冬	taŋ1	白读
冬	toŋ1	文读
冰	piã1	
冶	ia2	
冷	ne2	
淨	tseŋ6	
凄	tsʰi1	
准	tsuŋ2	
凉	liaŋ5	文读
凉	nio5	凉伞，白读
凌	leŋ5	
凍	toŋ3	文读
凍	taŋ3	白读
湊	tsʰou3	
凖	tsŋ2	梦幻岛音
凛	lim2	
凝	ŋeŋ5	文读
凝	ŋaŋ5	冷，白读
凝	kiŋ5	凝冻，白读
凝	ŋiŋ5	陈店音
几	ki2	
几	ki1	
几	kui2	
几	kua2	“几何”合音
几	kʰi2	茶几，陈店音
凡	huam5	老派音
凡	huaŋ5	新派音
凱	kʰai2	
凳	teŋ3	
凶	hioŋ1	
出	tsʰuk4	
出	tsʰək4	棉城音
函	ham5	
刀	to1	
刁	tiau1	
刃	dziŋ2	
分	huŋ1	文读
分	pfuŋ1	白读
分	huŋ7	过分
切	tsʰiak4	
刈	ŋi6	
刊	kʰaŋ1	
刎	bvuk4	
刑	heŋ5	
列	liak8	文读
列	liʔ8	“裂”的本字，白读
列	leʔ8	割，白读
初	tsʰo1	当初
初	tsʰiu1	正月初一
刪	saŋ1	文读
刪	tsʰeʔ4	俗读
刪	saĩ1	白读
判	pfʰuaŋ3	
判	pfʰuã3	白读
別	piak8	
別	pak4	
別	pak8	
刨	pʰau5	
利	li7	文读
利	li6	文读
利	lai7	白读
利	lai5	利是包
刮	kueʔ4	白读
刮	kuaʔ4	文读
到	kau3	
到	tau3	
制	tsi3	
刷	sueʔ4	
刷	suaʔ4	刷糍，文读
券	kuaŋ3	
券	kŋ2	俗读，误读成“卷”
刺	tsʰi3	
刺	tsʰiaʔ4	
刺	tsʰŋ3	
刻	kʰek4	文读
刻	kʰak4	刻苦，白读
剁	tok4	训读，本字为“斲(斫)”
剁	to3	
剃	tʰi3	
則	tseʔ4	
則	tsek4	
削	siaʔ4	
前	tsaĩ5	白读
前	tsĩ5	车前草，也写作车钱草，白读
前	tsʰiaŋ5	马前卒，文读
剔	tʰek4	
剔	tʰak4	
剖	pʰo1	
剖	pʰou2	
剖	pʰo2	
剛	kaŋ1	
剝	pak4	
剩	seŋ5	峡山音
剪	tsiaŋ2	
剮	kua2	
副	hu3	
割	kuaʔ4	
創	tsʰaŋ3	文读
創	tsʰŋ1	白读
創	tsʰŋ3	“刺（客）”本字
剿	tsʰau1	
劃	ueʔ8	
劇	kiaʔ8	
劈	pʰek4	
劈	pʰoʔ4	劈开，白读
劈	pʰiaʔ4	劈开，白读
劉	lau5	姓，白读
劉	liu5	文读
劊	kuai3	峡山音
劍	kiam3	
力	lak8	白读
力	lek8	魄力，文读
功	koŋ1	文读
功	kaŋ1	无用功，白读
加	kia1	文读
加	ke1	多，白读
劣	luak4	
劣	luaʔ4	
努	no3	
劫	kiap4	
勁	kẽ3	
勃	pfuak8	
勇	ioŋ2	
勉	miaŋ2	
勒	lek8	
勒	tek8	
動	toŋ6	文读
動	taŋ6	振动，白读
動	tʰaŋ6	动起动，动不动，白读
勘	kʰam3	
勘	ŋam1	
務	bvu6	
勛	hiŋ1	
勝	seŋ3	
勞	lau5	文读
勞	lo5	劳汝，麻烦您，白读
勞	lu5	刻苦劳
募	mou6	
勢	si3	
勢	sĩ3	惯势、倚势
勢	tsua7	行势kiann5-tsua7，走势、趋势的意思，本字未必是“势”
勤	kʰiŋ5	
勵	li6	
勸	kʰiaŋ2	文读
勸	kʰŋ3	白读
勺	tsʰiaʔ8	白读
勺	tsiak4	文读
勺	siaʔ8	白读
勺	sioʔ4	白读
勾	kau1	
勾	ŋau1	勾机，挖掘机
勿	mai3	训读
勻	uŋ5	
包	pau1	
匆	tsʰoŋ1	文读
匆	tsʰaŋ1	匆促，也写作“仓促”，白读
化	hue3	白读
化	hua3	文读
化	hua1	马化腾
北	pak4	
匙	si5	
匠	tsʰiõ7	
匡	kʰaŋ1	
匣	ap8	
匪	huĩ2	
匯	hue6	
匹	pʰik4	
匾	piŋ2	
匾	pʰiaŋ2	
匿	nek8	
區	kʰu1	
區	au1	姓
十	tsap8	白读
十	sip8	文读
千	tsʰaĩ1	白读
千	tsʰiaŋ1	文读
卅	sãp8	
卅	sãːp8	
卅	sãʔ8	
升	seŋ1	
午	ŋou2	
卉	hui2	
半	pfuã3	
卑	pi1	尊卑，白读
卑	pfui1	卑微，文读
卒	tsuk4	
卓	toʔ4	
協	hiap8	
南	nam5	文读
南	na5	白读，南门，潮阳地名
博	pʰak4	文读
博	pfuaʔ8	白读
卜	pok4	
卜	pok8	萝卜
占	tsiam3	
占	tsiam1	占陇，普宁地名
卦	kue3	
卯	bau2	
印	iŋ3	
印	iaŋ3	印证
危	ŋui5	
危	mui5	音变
即	tsiak4	文读
即	tsek4	即时，白读
卵	laŋ6	
卵	loŋ6	
卵	nŋ6	
卷	kuaŋ3	“捲”简化字
卷	kŋ2	白读
卷	kuaŋ2	文读
卸	sia3	
卻	kiak4	
卿	kʰeŋ1	
厄	eʔ4	
厄	oʔ4	难
厘	li5	
厚	kau6	白读
厚	hou6	文读
厝	tsʰu3	
原	ŋuaŋ5	
廂	siõ1	包厢，白读
廂	siaŋ1	一厢情愿，文读
厥	kʰuak4	
廚	tou5	
厭	iam3	
厭	ia3	替字，本字“斁”？
厮	su1	
厲	li6	
去	kʰu3	文读
去	kʰa3	白读
參	tsʰam1	参加
參	sim1	人参
又	iu5	
又	iu6	
叉	tsʰe1	白读
叉	tsʰa1	文读
及	kip8	
及	kip4	以及
友	iu2	
反	huaŋ2	文读
反	paĩ2	白读
叔	tsek4	白读
叔	siok4	文读
叔	sok4	文读
取	tsʰu2	
取	tsʰua7	带领，训读，本字一说是“拽”，俗写作“揣”
取	tsʰiu2	
受	siu6	
敘	su6	
叛	pfuaŋ6	
叟	sou2	
疊	tiap8	文读
叢	tsaŋ5	白读
叢	tsʰoŋ5	文读
口	kʰau2	白读
口	kʰou2	老派文读
口	kau2	哑口无言
古	kou2	
古	kʰou2	古帅、古埕、古溪，潮阳地名
句	ku3	
句	kau1	句芒
另	leŋ5	
另	leŋ6	
叨	tʰau1	
叩	kʰau3	白读
叩	kʰou3	文读
只	tsi2	只要
只	tsiaʔ4	白读
只	tsiap4	文读
叫	kio3	白读
叫	kiau3	文读
召	tiau6	
可	kʰo2	
可	kʰou2	宁可
可	kʰiok4	可汗
可	kʰõ2	可以，鼻化增生
台	tʰai5	
台	tʰai1	風颱
台	tai5	烛台
史	su2	
史	sai2	姓氏音
右	iu6	
司	si1	白读
司	su1	文读
吁	dzu6	
各	kak4	各位
各	kaʔ4	各侬
各	koʔ4	各样
各	kʰaʔ4	头各插
合	hap8	
合	haʔ8	
合	haʔ4	
合	kaʔ4	
合	kap4	
合	kʰap4	
合	ap8	
合	kʰap8	
合	hop8	
合	kop8	
吉	kiak4	
吉	kik4	
吉	kek4	
吊	tiau3	
同	taŋ5	白读
同	tʰoŋ5	文读
名	mia5	白读
名	meŋ5	文读
后	hou6	
吏	li7	
吐	tʰou3	
向	hiaŋ3	文读
向	hiõ3	白读
向	hiã3	替字
向	ŋ3	依靠，替字，本字“仰”
君	kuŋ1	
君	kəŋ1	梦幻岛音
吝	liaŋ6	
吞	tʰuŋ1	
吟	ŋim5	
吠	pfui7	
否	hoũ2	否定
否	pʰi2	否极泰来
否	pʰai2	本字“痞”
含	ham5	文读
含	kam5	白读
吳	ɡou5	
吵	tsʰau1	
吵	tsʰa2	
吵	tsʰa5	吵吵吵（tsha5-tsha5-tshau1），俗读
吸	kʰip4	文读
吸	kuʔ4	白读
吸	hiap4	白读
吹	tsʰue1	
吻	bvuk4	
吼	hau2	
吾	ŋu5	
吾	u5	支支吾吾
吾	ŋo5	陈店音
呂	lu6	
呆	tai1	
呆	ŋai1	
呈	tʰiã5	呈现
呈	tiã5	呈报
告	ko3	告状，白读
告	kau3	告诉，文读
呢	ne1	
呢	ni5	
呢	ni1	
周	tsiu1	
味	bi7	
呼	hu1	文读
呼	kʰou1	呼猪，白读
呼	kʰo1	呼我，白读
呼	ho1	呼我，白读
呼	hou1	呼我，白读
命	mia7	生命，白读
命	meŋ6	命令，文读
命	miŋ7	司命公，白读
和	hua5	白读
和	hue5	和尚
和	ho5	“和尚”文读
和	hua6	搅和
和	ho6	和诗，文读
咎	kiu6	
咏	ioŋ6	文读
咏	ueŋ6	白读
咒	tsiu3	
咨	tsu1	
咬	ka6	
咳	hai6	文读
咳	ka1	白读
咵	kʰua1	
咸	kiam5	
咸	ham5	全部
咸	ham2	包括
哀	ai1	
品	piŋ2	
品	pʰiŋ2	
哄	hoŋ2	
哄	hoŋ1	
哄	hoŋ3	
員	uaŋ5	
哥	ko1	
哭	kʰau3	白读
哭	kʰok4	文读
哮	hau2	
哲	tiak4	
哽	kẽ2	
唆	so1	
唇	tuŋ5	
唇	tŋ5	
唉	ai1	
唉	oi1	
唐	tʰaŋ5	文读
唐	tŋ5	白读
售	tsʰiu5	
唯	dzui5	
唱	tsʰiaŋ3	文读
唱	tsʰio3	唱曲，白读
唾	tʰo2	
啄	toʔ4	
啄	tok4	陈店音
啄	toʔ8	
商	siaŋ1	文读
商	siõ1	商量，白读
問	mŋ7	
啞	e2	
啟	kʰi2	
啼	tʰi5	
喂	ui3	
喂	ue3	呼唤
喂	uei3	呼唤
喂	uai3	呼唤
善	siaŋ6	
喉	au5	
喉	au1	喉咙
喊	ham3	
喊	ham2	包括，有待考证
喘	tsʰuaŋ2	
喚	huaŋ3	
喜	hi2	
喝	hak4	
喝	huaʔ4	替字
喧	suaŋ1	
喪	saŋ1	文读
喪	saŋ3	文读
喪	sŋ1	白读
喫	ŋiak4	
喫	kʰoi3	
喬	kʰiau5	
單	tuã1	白读
單	taŋ1	文读
單	siaŋ6	姓
單	siaŋ5	单于
喻	dzu6	
嗅	hiũ3	
嗉	su3	
嗓	saŋ2	文读
嗓	sŋ1	白读
嗜	si7	
嗟	tsia1	
嗣	su6	
嗤	tsʰi1	
嗽	sau3	
嘆	tʰaŋ3	
嘉	kia1	
嘔	au2	
嘗	siõ5	白读
嘗	siaŋ5	文读
嘗	tsʰiõ5	尝下新
嘮	lau1	
嘯	sau3	
嘴	tsʰui3	
嘻	hi1	
噎	ik4	
噓	hu1	
噓	si1	嘘尿，长辈吹口哨帮小孩子尿尿
噦	ueʔ4	
器	kʰi3	
噴	pfʰuŋ3	
嚇	heʔ4	
嚇	he6	民间俗写，本字为“下”
嚥	iaŋ3	
嚴	ŋiam5	
嚷	dziaŋ2	
嚼	tsiak4	
囂	hiau1	
囂	hau1	
囈	ɡoi7	
囈	ŋi3	
囉	lo1	
囉	lo5	
囊	laŋ2	
囑	tsiok4	
囑	tsok4	
囚	tsʰiu5	
四	si3	
四	su3	文读
四	sɿ3	音变
回	hue5	
因	iŋ1	
囤	tʰuŋ5	
囥	kʰaŋ3	文读
囥	kʰŋ3	藏，白读
困	kʰuŋ3	
囱	tsʰoŋ1	
固	ku3	
圈	kʰuaŋ1	文读
圈	kʰuaĩ1	白读
國	kok4	
圍	ui5	
園	hŋ5	
圓	ĩ5	白读
圓	iaŋ5	文读
圓	uaŋ5	拜十圆，一种喜丧习俗，文读
圖	tou5	白读
圖	tʰu5	文读
團	tʰuaŋ5	文读
團	tuã5	团圆，白读
土	tʰou2	
土	tou6	土粪
在	to6	
在	tsai6	
圭	kui1	
地	ti7	
地	to3	替字
址	tsi2	
均	kiŋ1	
坍	tʰam1	
坎	kʰam2	
坎	kʰam1	坎坷
坎	kam2	胸坎
坐	tso6	
坑	kʰẽ1	
坡	po1	
坤	kʰuŋ1	
坦	tʰaŋ2	
坯	pfʰue1	
坳	au1	
垂	sui5	
垂	sui1	本字蕤
垂	sue5	
型	heŋ5	
垡	pfʰueʔ8	田地里的土块
垢	kou3	文读
垢	kau2	白读
垣	huaŋ5	
垮	kʰua1	
垻	pa3	
埃	ai1	
埋	mai5	
城	siã5	
域	uek8	
埠	pou1	
執	tsip4	读阳入是错的
培	pfʰue5	
基	ki1	
堂	tʰaŋ5	文读
堂	tŋ5	白读
堅	kiaŋ1	
堆	tui1	
堆	tu1	白读
堡	po2	汉堡
堡	pau2	堡垒、城堡
堤	toi1	
堪	kʰam1	
堯	ŋiau5	
堰	iaŋ2	
報	po3	
場	tiõ5	白读
場	tsʰiaŋ5	文读
堵	tu2	
塊	ko3	白读
塊	kʰuai3	一块钱，老派文读
塊	to3	
塋	ueŋ1	
塌	tʰap4	
塌	tʰop4	
塑	sok4	
塔	tʰaʔ4	
塘	tʰaŋ5	文读
塘	tŋ5	白读
塞	sak4	
塞	sai3	要塞
塢	u3	
填	tʰiaŋ5	
塵	tiŋ5	
塵	teŋ5	
塵	tʰuŋ5	筅尘
塵	tʰŋ5	筅尘，梦幻岛音
塵	tʰəŋ5	筅尘，梦幻岛音
境	keŋ2	
墅	su2	
墊	tiaŋ6	
墓	mou6	
墜	tui7	
墜	tʰui7	
增	tseŋ1	
墟	hu1	
墨	bak8	
墩	tuŋ1	
墮	tui6	
墳	pfʰuŋ5	
墾	kʰiaŋ2	
壁	piaʔ4	
壇	tuã5	論壇
壇	tam5	罈/墰/壜/罎罐
壑	hak4	
壓	iap4	
壘	lui2	
壞	huai6	
壟	leŋ2	白读
壟	loŋ2	文读
壤	dziaŋ2	
壤	nio2	山，白读
壩	pa3	
士	su6	
壬	dzim5	
壯	tsaŋ3	
壺	hu5	
壽	siu7	
夏	he7	白读
夏	hia7	夏朝，文读
夔	kʰui5	
夕	sek4	
外	ɡua7	
夙	sok4	
多	to1	
夜	me5	训读
夠	kou3	文读
夠	kau3	白读
夢	maŋ7	
夥	hue2	
夥	ua2	绌无伙、绌毋伙，相差无几
夥	uaʔ8	绌毋伙，棉城音（峡山说绌毋mua6/mua3）
大	tai6	
大	tua7	
大	ta1	大家官，公婆
大	tʰai3	同“太”
大	tai6	文读
大	tua7	白读
天	tʰiaŋ1	文读
天	tʰĩ1	白读
天	tʰeŋ1	天井
太	tʰai3	
夫	hu1	文读
夫	pou1	诸夫，也写作丈夫，白读
夭	iau1	
央	iaŋ1	文读
央	iõ1	中央，白读
央	ŋ1	中央，白读
央	hŋ1	中央，白读音变
失	sik4	
夷	i5	
夾	kiap8	文读
夾	koiʔ4	白读
奇	kʰi5	奇怪
奇	kʰia1	奇数
奈	nai6	
奉	hoŋ6	
奎	kui5	
奏	tsau3	
契	kʰoi3	
奔	pfʰuŋ1	
奔	peŋ3	奔驰，音译词
套	tʰau3	文读
套	tʰo3	套货，白读
奚	hi5	
奠	tiaŋ6	
奠	tiaŋ3	
奢	tsʰia1	
奧	õ3	白读
奧	au3	文读
奩	niam5	
奪	toʔ8	
奪	tuak8	
奮	huŋ3	
女	ni2	妞、女朋友，文读
女	nŋ2	白读
奴	nou5	白读
奴	no5	白读
奴	nu5	文读
奴	nau5	“奴才”又读，老派音
奶	ni6	
奶	ne6	
奶	nai2	
奶	ni2	陈店音，奶奶
奸	kaŋ1	
好	ho2	白读
好	hau2	文读
好	haũ3	爱好
好	hoʔ4	很，本字“酷”
好	hok4	很，本字“酷”
如	dzu5	
妃	hui1	
妄	bvuaŋ2	
妊	dzim6	
妒	kou3	
妓	ki6	
妖	iau1	
妙	miau6	
妥	tʰo2	
妨	huaŋ5	
妹	mue7	
妻	tsʰi1	
妾	tsʰiap4	
姊	tsi2	
姊	tse2	姐的本字
始	si2	
姍	suaŋ1	
姍	saŋ1	
姐	tse2	文读
姐	tsi2	俗写作“姊”
姐	tsia2	小姐，文读
姐	tsẽ2	井都、海门音
姑	kou1	白读
姑	ku1	姑息、姑且，文读
姓	sẽ3	
委	ui2	
姘	pʰeŋ1	
姚	io5	白读
姚	iau5	文读
姜	kiõ1	薑
姜	kiaŋ1	姜
姦	kaŋ1	
姨	i5	文读
姨	ai5	母亲，白读
姬	ki1	
姻	iŋ1	
姿	tsu1	
威	ui1	
娃	ua1	
娃	ua5	
娑	so1	
娘	nio5	白读
娘	liaŋ5	文读
娛	ŋu5	
娠	siŋ5	
娩	miaŋ2	
娶	tsʰu2	
娶	tsʰua7	训读
婆	pfʰua5	白读
婆	po5	文读
婆	pʰo5	文读，婆娑
婉	uaŋ2	
婚	huŋ1	
婚	həŋ1	梦幻岛音
婢	pi6	
婦	hu6	文读
婦	pfu3	白读
婪	nam5	
婿	sai3	
媒	bvue5	
媚	mi6	
媳	sek4	
媽	ma5	
媽	ma2	
媽	ma1	
媾	kou3	
嫁	ke3	嫁妆，白读
嫁	kia3	嫁祸，文读
嫂	so2	
嫌	hiam5	
嫖	pʰiau5	
嫡	tek8	
嫩	nuŋ3	
嫩	luŋ3	
嬉	hi1	
嬌	kiau1	
嬰	eŋ1	
嬴	ueŋ1	
嬸	sim2	
孀	suaŋ1	文读
孀	sŋ1	白读
子	tsu2	文读
子	tsi2	白读
孑	kʰiak4	
孓	kʰuak4	
孔	kʰoŋ2	
孔	kʰaŋ2	洞，白读
孕	ueŋ6	文读
孕	huŋ7	白读
字	dzi7	
存	tsʰuŋ5	文读
存	tsʰŋ5	白读
孝	hau3	文读
孝	ha3	走孝，白读
孟	meŋ2	
季	kʰui3	白读
季	ki3	姓，文读
孤	kou1	
孩	hai5	
孫	suŋ1	
學	hak8	文读
學	oʔ8	白读
孽	ŋiak8	
宅	tʰeʔ8	
宇	u2	
守	siu2	
安	aŋ1	文读
安	uã1	白读
宋	soŋ3	
完	uaŋ5	
宏	kʰueŋ5	白读
宏	hoŋ5	文读
宕	taŋ3	
宗	tsoŋ1	
官	kuã1	白读
官	kuaŋ1	文读
宙	tiu6	
宙	tiu2	
定	tiã7	白读
定	teŋ6	文读
定	teŋ3	文读
宛	uaŋ2	
宜	ŋi5	
宜	ɡi5	便宜，pang5-gi5，白读
宜	i5	便宜，pang5-i5，白读
客	kʰeʔ4	文读
客	kʰaʔ4	客厅，白读
宣	suaŋ1	
室	sik4	
宥	iu6	
宦	huaŋ6	
宮	keŋ1	白读
宮	kioŋ1	马入中宫，文读
宰	tsai2	
害	hai7	
宴	iaŋ3	
宵	siau1	
家	ke1	白读
家	ka1	家己，替字
家	kʰia1	私家，替字
家	kia1	哀家、奴家，老派文读
容	ioŋ5	文读
容	eŋ5	容纵，白读
宿	suaʔ4	白读
宿	sok4	文读
宿	siok4	文读
宿	siu3	星宿
宿	suaʔ4	宿舍
寂	sok4	
寄	kia3	
寅	iaŋ5	
密	mik8	文读
密	bik8	密码，文读
密	bak8	密实，白读
寇	kʰou3	文读
寇	kʰau3	白读
富	pfu3	
寐	mue6	
寒	haŋ5	文读
寒	kuã5	白读
寓	ŋu6	
寓	ŋu7	又读
寞	mok8	
察	tsʰak4	
寡	kua2	
寢	tsim2	
寥	liau5	
實	sik8	文读
實	tsak8	白读
寧	leŋ5	
寧	leŋ6	
寨	tse7	
審	sim2	
寫	sia2	
寬	kʰuaŋ1	文读
