#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
勻	wɐn2	
勾	kou1	勾當
勾	ŋou1	勾劃
勿	mɐt8	
包	piw1	
匆	tsʰoʊŋ1	
匈	hoʊŋ1	
匍	pʰou2	
匐	foʊk8	
化	fᴀ1	
北	pɐk6	
匙	si2	茶匙，湯匙，一本作“瓷”
匙	si2	鑰匙
匠	tsjuŋ4	
匣	hᴀp8	
匪	fei3	
匯	wuj4	
匱	kwei4	
匹	pʰɐt6	
匾	pin3	
匿	nei3	
匿	neɪk6	躲藏
匿	neɪk6	匿名
區	kʰuj1	區別
區	ŋou1	姓區
十	sɐp8	
千	tsʰin1	
卅	sᴀ1	
升	seɪŋ1	
午	m̍3	
卉	wei3	
半	pun1	
卑	pei1	
卒	tsɐt6	士卒
卓	tsʰjuk7	
協	hip7	
南	nᴀm2	
博	puk6	
博	puk7	
卜	pɐk8	萝卜
卜	poʊk6	
卜	puk6	
占	tsim1	
卡	kʰᴀ3	
卦	kwᴀ1	
卬	ŋuk9	我哋
卯	mᴀw1	
印	jɐn1	
危	ŋei2	
即	tseɪk6	
卵	lɐn3	
卷	kyn3	卷曲
卷	kyn4	試卷
卸	sɪᴀ1	
卻	kʰjuk7	
卿	heɪŋ1	
厄	ŋɐk6	
厘	lei2	
厚	hou1	
厝	tsʰou1	
原	jᴀn2	
厥	kʰjuk9	佢哋
厭	jᴀm1	
厲	lei4	
去	huj1	
參	tsʰᴀm1	
參	tsʰɐm1	參差
參	sᴀm1	三的大寫
參	sɐm1	人參
又	jiw4	
叉	tsʰᴀ1	
及	kʰɐp8	
友	jou2	
反	fᴀn3	
叒	jjuk8	
叔	soʊk6	
叕	tsit7	
取	tsʰuj3	
受	su4	
叛	pun4	
叟	sou3	
叢	tsʰoʊŋ2	
口	hou3	
古	ku3	
句	kuj1	
另	leɪŋ4	
叨	tᴀw1	嘮叨
叨	hᴀw1	叨擾
叩	kʰou1	
只	tsi3	
叫	kiw1	
召	siw4	召南
召	tsiw4	召喚
叭	pit7	
叮	tɛŋ1	
叮	teɪŋ1	
可	hɐk6	可汗
可	hu3	可以
台	huj1	天台，地名
台	ji2	
