#漢字	音標	解釋
□	ɛ0	应答声
胸	ɕiɘŋ1	
能	lɛ̃2	
脂	tʂʅ1	
脆	tsʰei5	
脉	mæ7	
脊	tɕi7	
膾	kʰuai3	
臍	tɕʰi2	
腦	lɔ3	
膿	lɘŋ2	
脖	pɯ7	
腳	tɕiɯ7	
脯	pʰu3	
脫	tʰɯ7	
臉	ȵieⁿ3	
脾	pʰi2	
臘	la7	
腋	iæ7	
腌	ieⁿ1	
腐	fu3	
腑	fu3	
腔	tɕʰiɞ̞ᵑ1	
腕	uɛⁿ3	
腥	ɕian1	
腮	sai1	
腰	iɔ1	
腱	tɕieⁿ5	
腹	fu7	
膩	ȵi7	
騰	tʰən2	
腿	tʰi3	
膀	pɞ̞ᵑ3	肩～
膀	pʰɞ̞ᵑ3	蹄～
膏	kɔ1	
膘	piɔ1	
膜	mɯ2	
膝	ɕi7	
膠	tɕiɔ1	
膨	pʰɘŋ2	
膳	ʂɛ̃6	
膻	ʂɛ̃1	
臀	tʰən2	
臂	pi7	
臊	sɔ1	
臣	tʂʰən2	
自	tsʰɿ6	
臭	tʂʰəu̜5	
至	tʂʅ5	
致	tʂʅ5	
臺	tʰai2	
臻	tʂən1	
臼	tɕʰiəu̜6	
舀	iɔ3	
舂	tʂʰɘŋ1	
舅	tɕʰiəu̜6	
舌	ʂai5	
舍	ʂa3	
舍	ʂɛ6	宿～
舐	ʂʅ6	
舒	ʂʯ1	
舔	tʰieⁿ3	
舜	ʂʯən6	
舞	u3	
舟	tʂəu̜1	
航	xɞ̞ᵑ2	
般	pɛ̃1	
艦	tɕieⁿ5	
船	tʂʰʯɛ̃2	
艇	tʰin3	
良	ȵiɞ̞ᵑ2	
艱	tɕian1	
色	sæ7	
藝	i6	
艾	ŋai6	
節	tɕiæ7	
芋	ʯ6	
芍	ʂai2	
芒	mɞ̞ᵑ2	
芙	fu2	
芝	tʂʅ1	
芥	kai5	
蘆	ləu̜2	
芬	fən1	
芭	pa1	
芮	ʐʯei6	
花	xua1	
芳	fɞ̞ᵑ1	
芹	tɕʰin2	
芽	ŋa2	
葦	uei3	
莧	xɛ̃6	
蒼	tsʰɞ̞ᵑ1	
苏	səu̜1	
苔	tʰai1	
苔	tʰai2	
苗	miɔ2	
苟	kəu̜3	
若	ʐɯ7	
苧	tʂʯ6	
茂	mɔ6	
范	fan6	
茄	tʂʰʯa2	
茅	mɔ2	
莖	tɕin1	
茫	mɞ̞ᵑ2	
茬	tsʰa2	
茴	xuei2	
茶	tsʰa2	
茸	ʐɘŋ2	
荀	sən2	
荆	tɕin1	
草	tsʰɔ3	
薦	tɕieⁿ5	
荒	xɞ̞ᵑ1	
荔	ȵi7	
蕎	tɕʰiɔ2	
蕩	tʰɞ̞ᵑ6	
榮	iɘŋ2	
葷	xuən1	
荫	in1	
藥	iɯ7	
荷	xɯ2	
莎	ʂa1	
莠	iəu̜3	
莫	mɯ7	
蓮	ȵieⁿ2	
鶯	in1	
蓴	tʂʰʯən2	莼菜
莽	mɞ̞ᵑ3	
菖	tʂʰɞ̞ᵑ1	
菘	sɘŋ1	
菜	tsʰai5	
菠	pɯ1	
菩	pʰu2	
菱	ȵin2	
萄	tʰɔ2	
萌	mɘŋ2	
萍	pʰin2	
萎	uei3	
螢	in2	
營	in2	
蕭	ɕiɔ1	
薩	sa7	
落	lɯ7	
著	tʂʯ5	
著	tʂɯ7	
葚	ʂən6	
葛	kæ7	
董	tɘŋ3	
葬	tsɞ̞ᵑ1	
葱	tsʰɘŋ1	
葵	kʰuei2	
蔣	tɕiɞ̞ᵑ3	
蒙	mɘŋ2	
蒲	pʰu2	
蒸	tʂən1	
蒿	xɔ1	
蓄	ɕiəu̜7	储蓄
蓉	iɘŋ2	
蓑	sɯ1	
蓖	pʰi7	
藍	lan2	
蓬	pʰɘŋ2	
蔓	uan6	
蔗	tsa5	
蔡	tsʰai5	
蔫	ȵieⁿ1	
蔬	səu̜1	
蔸	tai1	
藹	ŋai3	
蔽	pʰi6	
蕉	tɕiɔ1	
蕊	ʐʯei3	
薄	pʰɯ5	
薅	xɔ1	
薑	tɕiɞ̞ᵑ1	
薛	ɕiæ7	
薪	ɕin1	
薯	ʂʯ3	
薰	ʂʯən1	
藉	tɕi7	
藏	tsʰɞ̞ᵑ2	～品
藏	kʰɞ̞ᵑ5	
藏	tsʰɞ̞ᵑ6	西～
藐	miɔ3	
藕	ȵiɔ3	
藤	tʰən2	
藩	fan1	
藿	xɯ7	
蘸	tsan5	
虎	xu3	
虜	ləu̜3	
虐	ȵiɯ7	
虑	ȵi6	
虔	tɕʰieⁿ2	
虛	ʂʯ1	
虞	ʯ2	
虢	kuæ7	
蟲	tʂʰɘŋ2	
虹	xɘŋ2	
虻	mɞ̞ᵑ2	
蝦	xa1	～嘚
蝕	ʂʅ7	
蟻	i3	
蚊	uən2	
蚌	pɞ̞ᵑ5	
蠶	tsʰan2	
蚜	ŋa2	
蚣	kɘŋ1	
蚤	tsɔ3	
蚶	kɛ̃1	
蛀	tʂʯ5	
蛆	tɕʰi1	
蛋	tʰan6	
蛙	ua1	
蛛	tʂʯ1	
蠻	man2	
蟄	tʂæ7	
蛾	ŋɯ2	
蜂	fɘŋ1	
蜇	tʂæ7	
蜈	u2	
蜋	lɞ̞ᵑ2	
蜓	tʰin2	
蛻	tʰi5	
蜘	tʂʅ1	
蜜	mi7	
蠟	la7	
蠅	in2	
蟬	tʂʰɛ̃2	
蝗	xɞ̞ᵑ2	
蝙	pieⁿ3	
蝠	fu7	
蝦	ɕia1	
蝶	tiæ7	
螃	pʰɞ̞ᵑ2	
融	ʐɘŋ2	
螳	tʰɞ̞ᵑ2	
螺	lɯ2	
蟀	ʂʯai5	
蟆	ma2	
蟒	mɞ̞ᵑ3	
蟢	ɕi3	
蟹	xai3	
蟾	tʂʰɛ̃2	
蠓	mɘŋ2	
蠢	tʂʰʯən3	
血	ɕiæ7	
衅	ɕin6	
行	xɞ̞ᵑ2	银～
行	ɕin2	
銜	xan2	
街	kai1	
衙	ia2	
衡	xən2	
衣	i1	
補	pu3	
表	piɔ3	
衫	san1	
衰	ʂʯai1	
袁	ʐʯɛ̃2	
襖	ŋɔ3	
袋	tʰai6	
袍	pʰɔ2	
袖	ɕiəu̜6	
被	pʰi6	
襲	ɕi7	
裁	tsʰai2	
裂	ȵiæ7	
裝	tsɞ̞ᵑ1	
襠	tɞ̞ᵑ1	
裕	ʯ6	
裙	tʂʰʯən2	
褲	kʰu5	
裳	ʂɞ̞ᵑ1	
裴	pʰi2	
裸	lɯ3	
裹	kɯ3	
製	tʂʅ5	
褂	kua5	
褒	pɔ1	
褚	tʂʰʯ3	
褥	ʐəu̜7	
褶	tʂæ7	
襄	ɕiɞ̞ᵑ1	
襟	tɕin1	
襻	pʰan1	
西	ɕi1	
要	iɔ1	～求
要	iɔ5	想～
覆	fu7	
見	tɕieⁿ5	
觀	kuɛⁿ1	参～
觀	kuɛⁿ5	寺～
規	kuei1	
覓	mi7	
視	ʂʅ6	
覽	lan3	
覺	tɕiɯ7	
解	kai3	讲～
觸	tʂʰəu̜7	
言	ieⁿ2	
譽	ʯ6	
誓	ʂʅ6	
警	tɕin3	
譬	pʰi7	
計	tɕi5	
訃	pʰu7	
認	ʐən6	
譏	tɕi1	
討	tʰɔ3	
讓	ʐɞ̞ᵑ6	
訓	ʂʯən6	
議	i6	
訊	ɕin5	
記	tɕi5	
講	tɕiɞ̞ᵑ3	
諱	xuei6	
許	ʂʯ3	
訛	ŋɯ2	
論	lən2	～语
論	lən6	讨～
訟	sɘŋ5	
諷	fɘŋ3	
設	ʂæ7	
訪	fɞ̞ᵑ3	
訣	tʂʯæ7	
证	tʂən6	
識	ʂʅ7	
詐	tsa5	
訴	səu̜5	
診	tʂən3	
詞	tsʰɿ2	
詔	tʂai5	
譯	i7	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰən2	
誅	tʂʯ1	
話	xua6	
誕	tʰan6	
詭	kuei3	
該	kai1	
詳	ɕiɞ̞ᵑ2	
語	ʯ3	
誤	u6	
誥	kɔ5	
誘	iəu̜6	
說	ʂʯæ7	
誦	sɘŋ5	
請	tɕʰian3	
諸	tʂʯ1	
諾	lɯ7	
讀	tʰəu̜7	
誹	fei3	
課	kʰɯ5	
調	tʰiɔ2	
調	tiɔ5	
諒	ȵiɞ̞ᵑ6	
談	tʰan2	
誼	i6	
謀	məu̜2	
諜	tiæ7	
謊	xɞ̞ᵑ3	
諫	tɕian5	
諧	ɕiɛ2	
謂	uei6	
讒	tsʰan2	
謎	mi2	
謝	ɕiɛ6	
謠	iɔ2	
謗	pɞ̞ᵑ5	
謙	tɕʰieⁿ1	
謹	tɕin3	
譚	tʰan2	
譜	pʰu3	
谷	ku7	
豁	xuæ7	
豉	ʂʅ2	
豌	uɛⁿ1	
豕	ʂʅ3	
豚	tʰən2	
象	ɕiɞ̞ᵑ6	
豪	xɔ2	
豫	ʯ6	
豹	pɔ5	
豺	tsʰai2	
貂	tiɔ1	
貌	mɔ6	
貝	pi5	
貞	tʂən1	
負	fu5	
貢	kɘŋ5	
財	tsʰai2	
責	tsæ7	
賢	ɕieⁿ2	
敗	pʰai6	
賬	tʂɞ̞ᵑ5	
貨	xɯ6	
販	fan6	
貪	tʰan1	
貧	pʰin2	
貶	pieⁿ3	
購	kəu̜5	
貫	kuɛⁿ5	
貳	ɭ̩6	
賤	tɕʰieⁿ6	
賁	pən1	
貼	tʰiæ7	
貴	kuei5	
貸	tʰai6	
貿	mɔ6	
費	fei5	
賀	xɯ6	
賊	tsʰɛ2	
賈	tɕia3	
賄	xuei6	
賃	ȵin6	
賂	ləu̜6	
贓	tsɞ̞ᵑ1	
資	tsɿ1	
賒	ʂa1	～账
賦	fu6	
賭	təu̜3	
贖	ʂəu̜7	
賞	ʂɞ̞ᵑ5	
賜	tsʰɿ5	
賠	pʰi2	
賴	lai6	
贅	tʂʯei5	
賺	tʂʯan5	
賽	sai5	
赞	tsan5	
贈	tsən5	
贏	ian2	
赦	ʂɛ6	
赫	xæ7	
走	tsai3	
赴	fu6	
趙	tʂʰai6	
趕	kɛ̃3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰai1	
越	ʯæ7	
趨	tʂʰʯ1	
趟	tʰɞ̞ᵑ5	
趣	tɕʰi5	
足	tsəu̜7	
趾	tʂʅ3	
跌	tiæ7	
跑	pʰɔ3	
跗	fu6	
跛	pɯ3	
距	tʂʰʯ6	
跟	kən1	
跨	kʰua5	
跪	kʰuei3	
路	ləu̜6	
跳	tʰiɔ5	
踐	tɕʰieⁿ6	
跺	tɯ5	
躋	tɕi7	
踏	tʰa7	
踢	tʰia7	
蹤	tsɘŋ1	
蹄	tʰi2	
蹉	tsʰɯ1	
蹑	ȵiæ7	
蹦	pɘŋ5	
蹭	tsʰən6	磨～
蹲	tən1	
躁	tsɔ5	
身	ʂən1	
躬	kɘŋ1	
躲	tɯ3	
躺	tʰɞ̞ᵑ3	
車	tʂʰa1	马车
車	tʂʯ1	
軋	tsa7	
軌	kuei3	
轉	tʂʯɛ̃3	～眼
轉	tʂʯɛ̃5	～螺丝
輪	lən2	
軟	ʐʯɛ̃3	
轟	xɘŋ1	
軸	tʂəu̜7	
輕	tɕʰin1	
載	tsai3	～歌～舞
載	tsʰai6	满～
轎	tɕʰiɔ6	
較	tɕiɔ5	
輔	fu3	
輛	ȵiɞ̞ᵑ6	
輦	ȵieⁿ3	
輩	pi5	
輝	xuei1	
輸	ʂʯ1	
轅	ʐʯɛ̃2	
轄	ɕia7	
轍	tʂæ7	
辛	ɕin1	
辭	tsʰɿ2	
辣	la7	
辨	pʰieⁿ6	
辯	pʰieⁿ6	
辮	pʰieⁿ6	
辰	tʂʰən2	
辱	ʐəu̜7	
邊	pieⁿ1	
遼	ȵiɔ2	
迁	tɕʰieⁿ1	
迂	ʯ1	
迅	ʂʯən6	
過	kɯ5	
邁	mai6	
迎	in2	
運	ʯən6	
近	tɕʰin6	
還	xai2	～有
還	xuan2	～原
進	tɕin5	
遠	ʐʯɛ̃3	
違	uei2	
連	ȵieⁿ2	
遲	tʂʰʅ2	
迥	tɕiɘŋ3	
迫	pʰæ7	
述	ʂʯ7	
迷	mi2	
迸	pɘŋ5	
追	tʂʯei1	
退	tʰi5	
送	sɘŋ5	
適	ʂʅ5	
逃	tʰɔ2	
逆	ȵi7	
選	ɕieⁿ3	
逐	tʂəu̜7	
途	tʰəu̜2	
逗	təu̜5	
通	tʰɘŋ1	
逛	kɞ̞ᵑ5	
逝	ʂʅ6	
逞	tʂʰən3	
速	səu̜7	
造	tsʰɔ5	建～
逢	fɘŋ2	
逵	kʰuei2	
逸	i7	
逼	pi7	
逾	ʯ6	
遁	tən5	
遇	ʯ6	
遍	pieⁿ5	一遍
遍	pʰieⁿ6	
遐	ɕia2	
道	tʰɔ6	
遣	tɕʰieⁿ3	
遭	tsɔ1	
遮	tʂa1	
遵	tsən1	
避	pi7	
邀	iɔ1	
邋	la7	
邓	tʰɛ̃6	
那	lɯ5	
邦	pɞ̞ᵑ1	
邪	ɕiɛ2	
郵	iəu̜2	
邵	ʂai6	
鄒	tsəu̜1	
郊	tɕiɔ1	
郎	lɞ̞ᵑ2	
鄭	tʂʰən6	
郝	xɔ3	姓
郡	tʂʯən5	
部	pʰu6	
郭	kɯ7	
都	təu̜1	
鄂	ŋɯ7	
鄙	pi3	
鄰	ȵin2	
酉	iəu̜3	
酌	tʂɯ7	
配	pʰi5	
酒	tɕiəu̜3	
酣	xan6	
酥	səu̜1	
酪	lɯ7	
酬	tʂʰəu̜2	
醬	tɕiɞ̞ᵑ5	
酵	tɕiɔ5	
酷	kʰu5	
酸	sɛ̃1	
釀	ȵiɞ̞ᵑ6	
醃	ieⁿ1	
醃	ieⁿ2	
醇	tʂʰʯən2	酒味醇
醉	tɕi5	
醋	tsʰəu̜5	
醒	ɕian3	
釋	ʂʅ7	
里	ȵi3	
重	tʂʰɘŋ2	～复
重	tʂʰɘŋ6	
野	ia3	
量	ȵiɞ̞ᵑ2	～长短
量	ȵiɞ̞ᵑ6	数～
金	tɕin1	
鉴	tɕian5	
鏊	ŋɔ2	
鐾	pʰi7	
针	tʂən1	
釘	tian1	～嘚
釘	tian5	～钉嘚
釣	tiɔ5	
釵	tsʰai1	
鈍	tən5	
鈔	tsʰɔ1	
钟	tʂɘŋ1	
鋼	kɞ̞ᵑ6	
鑰	iɯ7	
欽	tɕʰin1	
鈞	tʂʯən1	
鈀	pʰa5	
錢	tɕʰieⁿ2	
鉢	pɯ7	
鉢	pæ7	
鑽	tsɛ̃1	
鑽	tsɛ̃5	
鐵	tʰiæ7	
鈴	ȵin2	
鑠	ʂɯ7	
鉛	tɕʰieⁿ1	
銬	kʰɔ5	
鋏	tɕia7	
銅	tʰɘŋ2	
鍘	tsa7	
鏵	xua6	
銘	mian2	
铲	tsʰan3	
銃	tʂʰɘŋ5	
銀	in2	
鑄	tʂʯ5	
鋪	pʰu1	
鋪	pʰu5	店～
銷	ɕiɔ1	
鎖	sɯ3	
鋤	tsʰəu̜2	
鍋	kɯ6	
銼	tsʰɯ6	
鋒	fɘŋ1	
鐧	tɕian5	
銳	ʐʯei6	
錯	tsʰɯ5	
錨	mɔ2	
錁	kɯ3	
錫	ɕi7	
錮	ku3	
鑼	lɯ2	
錘	tʂʰʯ2	
錐	tʂʯei1	
錦	tɕin3	
錠	tʰin6	
鍵	tɕieⁿ5	
鋸	tʂʯ5	
鍇	kʰai3	
鍬	tɕʰiɔ1	
鍛	tʰɛ̃6	
鍍	tʰəu̜6	
鎮	tʂən6	
鑷	ȵiæ7	
鎔	iɘŋ2	
鏞	iɘŋ1	
鏡	tɕin5	
鑊	xɯ7	
镰	ȵieⁿ2	
鑲	ɕiɞ̞ᵑ1	
長	tʂʰɞ̞ᵑ2	～短
長	tʂɞ̞ᵑ3	生～
門	mən2	
閂	san1	
閃	ʂɛ̃3	
閉	pi5	
問	uən6	
闖	tsʰɞ̞ᵑ3	
閏	ʐʯən6	
闲	xan2	
間	kan1	中～
間	tɕieⁿ1	～断
閔	min3	
悶	mən6	
閘	tsa7	
鬧	lɔ6	
閨	kuei1	
聞	uən2	
閩	min3	
閣	kɯ7	
鬮	tɕiəu̜1	
閱	ʯæ7	
閹	ieⁿ1	
閻	ieⁿ2	
阜	fu5	
隊	ti5	
阮	ʐʯɛ̃3	
防	fɞ̞ᵑ2	
陽	iɞ̞ᵑ2	
陰	in1	
陣	tʂʰən6	
阻	tsəu̜3	
阿	ŋɯ1	1，～胶
附	fu6	
際	tɕi5	
陸	ləu̜7	
陳	tʂʰən2	
陋	ləu̜6	
陌	mæ7	
降	ɕiɞ̞ᵑ2	～伏
降	tɕiɞ̞ᵑ5	下～
限	xan6	
陝	ʂɛ̃3	
陛	pʰi6	
陡	tai3	
院	ʐʯɛ̃6	
除	tʂʰʯ2	
險	ɕieⁿ3	
陪	pʰi2	
陵	ȵin2	
陶	tʰɔ2	
陷	ɕian6	
隆	lɘŋ2	
階	kai1	
隨	ɕi2	
隱	in3	
隔	kæ7	
隘	ŋai6	
障	tʂɞ̞ᵑ5	
隶	ȵi6	
難	lan2	
難	lan6	患～
雀	tɕʰiɯ7	
雁	ian6	
雄	ɕiɘŋ2	
雅	ia3	
集	tɕʰi6	
雇	ku3	
雉	tʂʰʅ6	
雌	tsʰɿ2	
雍	iɘŋ1	
雕	tiɔ1	
雨	ʯ3	
雪	ɕiæ7	
零	ȵin2	
雷	ȵi2	
雹	pɔ2	
霧	u6	
需	ɕi1	
霄	ɕiɔ1	
震	tʂən6	
霍	xɯ7	
霜	sɞ̞ᵑ1	
霞	ɕia2	
露	ləu̜6	
霸	pa5	
青	tɕʰian1	
靖	tɕin5	
靜	tɕʰin6	
非	fei1	
靠	kʰɔ5	
靡	mi2	
面	mieⁿ6	
靨	iæ7	
革	kæ7	
靪	tian1	
靴	ʂʯɛ1	
靶	pa3	
鞋	xai2	
鞍	ŋɛ̃1	
鞘	tɕʰiɔ6	刀鞘
鞦	tɕʰiəu̜1	
鞭	pieⁿ1	
韓	xɛ̃2	
韭	tɕiəu̜3	
音	in1	
韵	ʯən6	
韶	ʂai2	
頁	iæ7	
頂	tin3	
頃	tɕʰin1	
項	ɕiɞ̞ᵑ6	
順	ʂʯən6	
须	ɕi1	
頑	uan2	
顧	ku3	
頓	tən5	
頒	pan1	
頌	sɘŋ5	
預	ʯ6	
領	ȵian3	
頗	pʰɯ1	
頸	tɕian3	
頻	pʰin2	
穎	in3	
顆	kʰɯ1	
題	tʰi2	
顏	ian2	
額	ŋæ7	
顛	tieⁿ1	
顫	tʂʰɛ̃5	
顴	tʂʰʯɛ̃2	
風	fɘŋ1	
風	fɘŋ6	
颼	səu̜1	
飄	pʰiɔ1	
飛	fei1	
食	ʂʅ7	
餐	tsʰan1	
饥	tɕi1	
飩	tʰən2	
飭	tʂʰʅ6	
飯	fan6	
飲	in3	
飾	ʂʅ6	
飽	pɔ3	
飼	sɿ6	
飴	i2	
餌	ɭ̩3	
饒	ʐai2	
餃	tɕiɔ3	
餅	pian3	
餓	ŋɯ6	
餛	xuən2	
餡	ɕian6	
館	kuɛⁿ3	
餿	səu̜1	
饃	mɯ2	
餾	ȵiəu̜2	
饅	man2	
首	ʂəu̜3	
香	ɕiɞ̞ᵑ1	
馨	ɕin1	
馬	ma3	
馱	tʰɯ2	
馳	tʂʰʅ2	
驅	tʂʰʯ1	
駁	pɯ7	
駛	sɿ3	
駒	tʂʯ1	
駐	tʂʰʯ6	
駝	tʰɯ2	
駕	tɕia5	
罵	ma6	
驕	tɕiɔ1	
駱	lɯ7	
駭	xai6	
驗	ȵieⁿ6	
騎	tɕʰi2	
騙	pʰieⁿ5	
騷	sɔ1	
騾	lɯ2	
驟	tʂʰəu̜6	
骨	ku7	
骯	ŋɞ̞ᵑ1	
髓	ɕi3	
高	kɔ1	
髻	tɕi7	
鬃	tsɘŋ1	
鬏	tɕiəu̜1	梳個鬏兒
鬢	pin6	
鬼	kuei3	
魁	kʰuei2	
魂	xuən2	
魄	pʰæ7	
魘	ieⁿ3	
魏	uei6	
魔	mɯ2	
魚	ʯ2	
魯	ləu̜3	
鮎	ȵieⁿ2	
鮑	pʰɔ6	
鮮	ɕieⁿ1	
鯉	ȵi3	
鰣	ʂʅ2	
鯊	sa1	
鯽	tɕi7	
鯨	tɕin1	
鰓	sai1	
鰭	tɕʰi2	
鰥	kuɛⁿ1	
鰾	pʰɔ1	
鱗	ȵin2	
鳥	ȵiɔ3	
鳩	tɕiəu̜1	
雞	tɕi6	
鳴	mian1	
鷗	ŋəu̜1	
鸕	ləu̜2	
鴨	ŋa7	
鴕	tʰɯ2	
鴿	kɯ7	
鴻	xɘŋ2	
鵝	ŋɯ2	
鵡	u3	
鵲	tɕʰiɯ7	
鷂	iɔ2	
鶴	xɯ7	
鸚	in1	
鷺	ləu̜6	
鷹	in1	
鹿	ləu̜7	
麥	ma7	
麩	fu1	
麻	ma2	
麾	xuei1	
黃	xɞ̞ᵑ2	
黍	ʂʯ3	
黎	ȵi2	
黏	ȵieⁿ2	
黑	xæ7	
默	mæ7	
黢	tʂʰʯ1	
鼓	ku3	
鼠	ʂʯ3	
鼬	iəu̜6	
鼻	pʰi5	
鼾	xɛ̃1	
齈	lɘŋ2	
齊	tɕʰi2	
齒	tʂʰʅ3	
龍	lɘŋ2	
龕	kʰan1	
龜	kuei1	
