#漢字	音標	解釋
□	ɛ0	应答声
字	tsʰɿ6	
存	tsʰən2	曾～
孫	sən1	
孜	tsɿ1	
孝	ɕiɔ6	
孟	mɘŋ6	
季	tɕi5	
孤	ku1	
孤	xu2	
學	ɕiɯ5	
孩	xai2	
孵	fu1	
孺	ʯ6	
孽	ȵiæ7	
寧	ȵin2	
它	tʰa1	
宇	ʯ2	
守	ʂəu̜3	
安	ŋɛ̃1	
宋	sɘŋ5	
完	uɛⁿ2	
宏	xɘŋ2	
宕	tʰɞ̞ᵑ6	
官	kuɛⁿ1	
宙	tʂʰəu̜6	
定	tʰin6	
宛	uɛⁿ3	
宜	i2	
寶	pɔ3	
實	ʂʅ7	
寵	tʂʰɘŋ3	
審	ʂən3	
客	kʰæ7	
宣	ɕieⁿ1	
室	ʂʅ7	
宦	xuan6	
宪	ɕieⁿ6	
宮	kɘŋ1	
宰	tsai3	
害	xai6	
宴	ieⁿ6	
宵	ɕiɔ1	
家	ka1	婆～
家	tɕia1	
容	iɘŋ2	
寬	kʰuɛⁿ1	
賓	pin1	
宿	səu̜7	
宿	ɕiəu̜7	
寂	tɕi7	
寄	tɕi5	
寅	in2	
密	mi7	
寇	kʰəu̜5	
富	fu5	
寐	mi6	
寒	xɛ̃2	
寓	ʯ6	
寢	tɕʰin3	
寞	mɯ7	
察	tsʰa2	
寡	kua3	
寥	ȵiɔ6	
寸	tsʰən5	
對	ti5	
寺	sɿ6	
導	tʰɔ3	
壽	ʂəu̜6	
封	fɘŋ1	
射	ʂɛ6	
將	tɕiɞ̞ᵑ1	
將	tɕiɞ̞ᵑ5	大～
尊	tsən1	
小	ɕiɔ3	
少	ʂai3	
少	ʂai5	
尔	ɭ̩3	
尖	tɕieⁿ1	
尘	tʂʰən2	
尚	ʂɞ̞ᵑ6	
嘗	tʂʰɞ̞ᵑ2	
尤	iəu̜2	
堯	iɔ2	
尬	ka5	尴尬
就	tɕʰiəu̜6	
尷	kan1	
屍	ʂʅ1	
尹	in3	
尺	tʂʰa7	
尼	ȵi2	
尽	tɕʰin6	
尾	uei3	
尿	ȵiɔ6	
局	tʂʯ7	
屁	pʰi5	
層	tsʰɛ̃2	
屄	pi1	
居	tʂʯ1	
屈	tʂʰʯ7	
屋	u7	
屎	ʂʅ3	
屏	pʰin2	
屑	ɕiæ7	
展	tʂɛ̃3	
屙	ŋɯ1	
屜	tʰi5	
屬	ʂəu̜7	
屠	tʰəu̜2	
屢	ȵi6	
履	ȵi3	
屯	tʰən2	
山	san1	
山	pæ7	
豈	tɕʰi3	
岐	tɕʰi2	
岑	tsʰən2	
岔	tsʰa5	
崗	kɞ̞ᵑ3	
島	tɔ3	
岭	ȵian3	
岳	iɯ7	
岸	ŋɛ̃5	
峽	ɕia7	
峯	fɘŋ1	
崇	tsʰɘŋ2	
崇	tʂʰɘŋ2	
崖	ŋai2	
崩	pɘŋ1	
崽	tsai3	
嵌	tɕʰieⁿ5	
嵩	sɘŋ1	
川	tʂʰʯɛ̃1	
州	tʂəu̜1	
巡	ʂʯən2	
工	kɘŋ1	
左	tsɯ3	
巧	tɕʰiɔ3	
巨	tʂʰʯ6	
巫	u1	
差	tsʰa1	不～
差	tsʰai1	
差	tsʰa7	～不多
己	tɕi3	
已	i3	
巳	sɿ6	
巴	pa1	
巷	xɞ̞ᵑ6	
巾	tɕin1	
市	ʂʅ6	
布	pu5	
帥	ʂʯai5	
帆	fan1	
師	ʂʅ1	
希	ɕi1	
帳	tʂɞ̞ᵑ5	
帕	pʰa7	
帖	tʰiæ7	
帚	tʂəu̜3	
帝	ti5	
帶	tai5	
席	ɕi2	
席	ɕi7	
幫	pɞ̞ᵑ1	
常	tʂʰɞ̞ᵑ2	
帽	mɔ6	
幅	fu7	
幔	man6	
幕	mɯ6	
幣	pʰi6	
干	kɛ̃1	
干	kɛ̃5	
平	pʰian1	
年	ȵieⁿ2	
幸	ɕin6	
幻	xuɛⁿ6	
幼	iəu̜5	
幽	iəu̜1	
幾	tɕi1	～乎
廣	kɞ̞ᵑ3	
慶	tɕʰin5	
庇	pʰi7	
牀	tsʰɞ̞ᵑ2	
序	ɕi6	
廬	ləu̜2	
庫	kʰu5	
應	in1	～该
應	in5	～对
底	ti3	
庖	pʰɔ2	
店	tieⁿ5	
廟	miɔ6	
庚	kən1	
府	fu3	
龐	pʰɞ̞ᵑ2	
廢	fei5	
度	tʰəu̜6	
座	tsʰɯ6	
庭	tʰin2	
庵	ŋɛ̃1	
庶	ʂʯ6	
康	kʰɞ̞ᵑ1	
庸	iɘŋ1	
廉	ȵieⁿ2	
廊	lɞ̞ᵑ2	
廓	kʰɯ7	
廖	ȵiɔ6	姓
延	ieⁿ2	
廷	tʰin2	
建	tɕieⁿ5	
開	kʰai1	
异	i6	
弃	tɕʰi5	
弄	lɘŋ6	
弊	pʰi6	
式	ʂʅ5	
弓	kɘŋ1	
引	in3	
弘	xɘŋ2	
弟	tʰi6	
張	tʂɞ̞ᵑ1	
弥	mi2	
弦	ɕieⁿ2	
彎	uan1	
弱	ʐɯ7	
彈	tʰan2	～簧
彈	tʰan6	子～
强	tɕʰiɞ̞ᵑ2	～大
强	tɕʰiɞ̞ᵑ3	
弼	pi7	
彀	kəu̜5	
歸	kuei1	
當	tɞ̞ᵑ1	～时
當	tɞ̞ᵑ5	～作
录	ləu̜7	
形	ɕin2	
彩	tsʰai3	
彪	piɔ1	
彬	pin1	
彭	pʰən2	
彭	pʰɘŋ2	
影	ian3	
影	in3	
彷	fɞ̞ᵑ3	
役	i7	
彼	pi3	
往	uɞ̞ᵑ3	
征	tʂən1	
徑	tɕin6	
待	tʰai6	
很	xən3	
律	ȵi7	
徐	ɕi2	
徒	tʰəu̜2	
得	tæ7	
徙	ɕi3	
徛	tɕʰi6	
御	ʯ6	
循	ʂʯən2	
微	uei1	
德	tæ7	
徹	tʂʰæ7	
徽	xuei1	
心	ɕin1	
必	pi7	
忌	tɕi5	
忍	ʐən3	
忖	tsʰən3	
志	tʂʅ5	
忘	uɞ̞ᵑ6	
忙	mɞ̞ᵑ2	
忠	tʂɘŋ1	
憂	iəu̜1	
快	kʰuai3	
念	ȵieⁿ6	
忽	tsʰɘŋ1	
忾	kʰai5	
忿	fən6	
懷	xuai2	
態	tʰai5	
慫	sɘŋ2	
慪	ŋəu̜5	
怒	ləu̜6	
怕	pʰa5	
怖	pu5	
憐	ȵieⁿ2	
思	sɿ1	
怠	tʰai6	
急	tɕi7	
性	ɕin5	
怨	ʐʯɛ̃6	
怪	kuai5	
怯	tɕʰiæ7	
總	tsɘŋ3	
恃	ʂʅ6	
戀	ȵieⁿ6	
恐	kʰɘŋ3	
恆	xən2	
