#漢字	音標	解釋
□	kʰa3	咳：咯痰
嘮	lau2	～叨
喚	fan5	
唬	fu3	
售	ʂəu6	
唯	uei2	
唰	ɕya1	
唱	tʂʰaŋ5	
唾	tʰo5	～沫
啄	tso5	
商	ʂaŋ1	
嗇	sɛ5	吝～
囉	lo1	
啼	ti2	
善	ʂan5	
喉	xəu2	
喊	xan3	
喘	tɕʰyan3	
喜	ɕi3	
喝	xo1	
喝	xo5	～采
喧	ɕyan1	
噴	pʰən5	
喻	y5	
嗅	ɕiəu5	～觉；动词
嗉	səu5	
嗓	saŋ3	
嗜	ʂʅ5	
嗣	sɿ5	
嗽	səu5	咳～
嘉	ka1	
囑	tʂəu5	
嘴	tsei3	
噎	iɛ5	
器	tɕʰi5	
嚎	xau2	
囂	ɕiau1	
嚷	ʐaŋ3	
嚼	tɕiau2	
囊	laŋ1	
囚	tɕiəu2	
四	sɿ5	
回	fei2	
因	in1	
团	tan2	
囤	tən5	
囥	kʰaŋ5	
園	yan2	
困	kʰuən5	
囱	tsʰoŋ1	原文声调作214阴去，疑误
圍	vei2	
固	ku5	
國	kuɛ5	
圖	tʰəu2	
圓	yan2	
圈	tɕʰyan1	圆～
圈	tɕyan5	猪～
土	tʰəu3	
聖	ʂən5	
在	tsai6	
圭	kuei1	
地	ti6	
場	tʂaŋ2	
址	tʂʅ3	
均	tɕyən1	
坍	tʰan1	
坎	kʰan3	
壞	fai6	
坐	tso6	
坑	kʰən1	
塊	kʰuai3	
堅	tɕian1	
坛	tan2	
墳	fən2	
墜	tɕyei5	
坡	po1	
坤	kʰuən1	
坦	tʰan3	
坨	to2	一～泥巴
坪	pin2	
坯	pʰei1	土～
坳	ŋau5	山～
垂	tɕʰyei2	
壠	loŋ3	
型	ɕin2	
垒	lei3	
垛	to5	
墾	kʰən3	
墊	tian6	
垮	kʰua3	
垻	pa5	
埂	kən3	
埃	ŋai1	尘～
埋	mai2	
城	tʂən1	
域	y5	
培	pei2	
基	tɕi1	
堂	taŋ2	
堆	tei1	
堡	pau3	
堤	ti2	
堪	kʰan1	
堰	ian5	
堵	təu3	
塌	tʰa5	
塑	səu5	～像
塔	tʰa5	
塘	taŋ2	
塞	sɛ5	
填	tian2	
境	tɕin3	
墓	mo5	
牆	tɕiaŋ2	
增	tsən1	
墟	ɕy1	
墨	miɛ5	
墩	tən1	
壁	pi5	
壅	uŋ2	埋：～蔸
壤	ʐaŋ3	
壩	pa5	堤～
士	sɿ6	
壬	ʐən6	
聲	ʂən1	
壺	fu2	
壻	ɕi5	
處	tɕʰy3	相～；～所
備	pi5	
复	fu5	
夏	ɕia5	春～
夏	ɕia6	姓
夕	ɕi5	
外	vai6	
多	to1	
夜	ia6	
够	kəu5	
大	tai5	～夫
大	ta6	
天	tʰian1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
夯	ŋaŋ3	
失	ʂʅ5	
頭	təu2	
夷	i2	
夾	ka5	
奪	to5	
奇	tɕi2	
奈	lai5	
奉	xoŋ6	
奮	fən5	
奎	kʰuei2	
奏	tsəu5	
契	tɕʰi5	～约
奔	pən1	
獎	tɕiaŋ3	
套	tʰau5	
奚	ɕi1	
奠	tian6	
奢	ʂɛ1	
奧	ŋau5	
女	y3	
奴	ləu2	
奶	lai3	
奸	tɕian1	
好	xau3	～坏
好	xau5	喜～
如	y2	
妃	fei1	
妄	vaŋ6	
婦	fu5	
媽	ma1	
妓	tɕi5	
妖	iau1	
妙	miau6	
妥	tʰo3	
妬	təu5	
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ1	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕin5	
委	vei3	
姘	pʰin5	
姚	iau2	
姜	tɕiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	vei1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娠	ʂən1	
娩	mian3	
娛	y2	
娶	tɕʰy3	
婆	po2	
婊	piau3	
婚	fən1	
婢	pi6	
嬰	in1	
嬸	ʂən3	
婿	ɕi5	
媒	mei2	
媳	ɕi5	
嫁	ka5	
嫂	sau3	
嫌	ɕian2	
嫖	pʰiau2	
嫡	ti5	
嫩	lən6	
嬉	ɕi1	
孀	saŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	yən5	
字	tsɿ6	
存	tsən2	
孫	sən2	
孝	ɕiau5	
孟	y2	
孟	moŋ5	
季	tɕi5	
孤	ku1	
學	ɕio5	
孩	xai2	
孽	ȵiɛ5	
寧	ȵin2	
寧	ȵin5	～可
宅	tsɛ5	
宇	y3	
守	ʂəu3	
安	ŋan1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宕	taŋ5	
宗	tsoŋ1	
官	kuan1	
宙	tʂəu5	
定	tin6	
宛	uan3	
宜	ȵi2	
寶	pau3	
實	ʂʅ5	
寵	tʂʰoŋ3	
審	ʂən3	
客	kʰɛ5	
宣	ɕyan1	
室	ʂʅ2	
宦	fan5	
宪	ɕian5	
宮	koŋ1	
宰	tsai3	
害	xai6	
宴	ian5	
宵	ɕiau1	
家	ka1	
容	ioŋ2	
寬	kʰuan1	
賓	pin1	
宿	ɕiəu1	星～
宿	ɕiəu5	
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	mi5	
寇	kʰəu5	
富	fu5	
寐	mei5	
寒	xan2	
寓	y5	
寢	tɕʰin5	
寞	mo5	
察	tsʰa2	
寡	kua3	
寥	liau2	
寨	tsai6	
寸	tsʰən5	
對	tei5	
寺	sɿ6	
尋	ɕin2	
導	tau3	
壽	ʂəu6	
封	xoŋ1	
射	ʂɛ5	
將	tɕiaŋ1	
將	tɕiaŋ5	大～
尊	tsən1	
小	ɕiau3	
少	ʂau3	多～
少	ʂau5	～年
尔	ər3	
尖	tɕian1	
尘	tʂən2	
尚	ʂaŋ6	
嘗	tʂaŋ2	
尤	iəu2	
尥	liau5	～蹄子
堯	iau2	
就	tɕiəu5	
尷	kan1	～尬
屍	tʂʅ3	
尹	in3	
尺	tʂʰʅ5	
尼	ȵi2	
尽	tɕin6	
尾	vei3	
尿	ȵiau5	
局	tɕy5	
屁	pʰi5	
層	tsən2	
屄	pi1	女阴
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	
屆	kai5	
屋	u5	
屎	ʂʅ3	
屏	pin2	
屑	ɕiɛ5	
展	tʂan3	
屬	ʂəu5	
屠	tʰəu2	
屢	lei3	
履	ly3	
屯	tʰən2	
山	san1	
歲	sei5	
豈	tɕʰi3	
岐	tɕi2	
岑	tsʰən2	
岔	tsʰa5	～路
崗	kaŋ1	
島	tau3	
岭	lin3	
岳	io5	
岸	ŋan5	
峽	ɕia5	
峯	xoŋ1	
崇	tsʰoŋ2	
崑	kʰuən1	
崔	tsʰei1	姓
崖	ia2	山～
崩	poŋ1	
嵌	tɕʰian5	
嵩	soŋ1	
川	tɕʰyan1	
州	tʂəu1	
巡	ɕyən2	
巢	tsau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	轻～：分量很轻
巨	tɕy5	
鞏	koŋ3	
巫	vu1	
差	tsʰɿ1	参～
差	tsʰa1	
差	tsʰai1	出～
己	tɕi3	
已	i3	
巳	sɿ5	辰～
巴	pa1	
巷	xaŋ6	
巾	tɕin1	
幣	pi5	
市	ʂʅ5	
布	pu5	
帥	ɕyai5	
帆	fan2	
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa5	
帖	tʰiɛ5	
帘	lian1	
帚	tʂəu3	
帛	po5	
帝	ti5	
帶	tai5	
席	ɕi5	
幫	paŋ1	
常	tʂaŋ2	
帽	mau6	
幔	man6	
幕	mo5	
干	kan1	
平	pin2	
年	ȵian2	
幸	ɕin5	
幹	kan5	～部
幺	iau1	
幻	fan5	
幼	iəu1	
幽	iəu1	
幾	tɕi3	～乎；～个
廣	kuaŋ3	
慶	tɕʰin5	
庇	pi5	～包
牀	tsaŋ2	
序	ɕy5	
廬	ləu2	
庫	kʰu5	
應	in5	
底	ti3	
店	tian5	
廟	miau6	
庚	kən1	
府	fu3	
龐	paŋ2	
廢	fei5	
度	tʰəu6	
座	tso6	
庭	tin2	
庶	ɕy5	
康	kʰaŋ1	
庸	ioŋ2	
廉	lian1	
廊	laŋ2	
廓	kʰo5	
廖	liau6	姓
廯	ɕian3	
延	ian2	
廷	tin2	
建	tɕian5	
開	kʰai1	
异	i5	
弃	tɕʰi5	
弄	loŋ5	
弊	pi5	
式	ʂʅ5	
弓	koŋ1	
引	in3	
弘	xoŋ2	
弟	ti6	
張	tʂaŋ1	
弥	mi2	
弦	ɕian2	
弭	mi2	
彎	van1	
弱	ʐo5	
彈	tan2	～琴
彈	tan6	炮～
强	tɕiaŋ2	
强	tɕʰiaŋ3	勉～
弼	pi2	
彀	kəu5	住上～
歸	kuei1	
當	taŋ1	～时
當	taŋ5	～作
彙	fei5	～集
形	ɕin2	
彩	tsʰai3	
彪	piau1	
彬	pin1	
彭	pʰən2	
影	in3	
役	i5	
徹	tʂʰɛ5	
彼	pi3	
往	uaŋ3	
征	tʂən1	
徑	tɕin5	
待	tai6	
很	xən3	
律	ly5	
後	xəu6	
徐	tɕi2	姓
徒	tʰəu2	
得	tiɛ5	
徙	ɕi3	
御	y5	
循	ɕyən2	
微	vei2	
徵	tʂən1	
德	tiɛ5	
徽	fei1	
心	ɕin1	
必	pi5	
憶	i5	
忌	tɕi5	
忍	ʐən5	
忒	tʰiɛ5	
志	tʂʅ5	
忘	vaŋ6	
忙	maŋ2	
忠	tʂoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵian5	
忽	fu1	
忿	fən5	
懷	xuai2	
態	tʰai5	
慫	soŋ3	
慪	ŋəu5	～气
怒	ləu5	
怕	pʰa5	
怖	pu5	
憐	lian2	
思	sɿ1	
怠	tai6	
急	tɕi5	
性	ɕin5	
怨	yan5	
怪	kuai5	
怯	tɕʰiɛ5	
總	tsoŋ3	
恃	ʂʅ5	
恐	kʰoŋ3	
恆	xən2	
恕	ɕy5	
恢	fei1	
恤	ɕy5	
恨	xən5	
恩	ŋən1	
恭	koŋ1	
息	ɕi5	
恰	tɕʰia3	
懇	kʰən3	
恶	ŋo5	
惱	lau3	
悄	tɕʰiau1	静～～
悉	ɕi3	
悔	fei3	
悟	u5	
悠	iəu1	
患	fan5	
悅	yɛ5	
懸	ɕyan2	
憫	min3	
悲	pei1	
情	tɕʰin2	
驚	tɕin1	
惑	xo2	
惜	ɕi5	
惟	uei2	
惠	fei5	
懼	tɕy5	
慘	tsʰan3	
懲	tʂən1	
慚	tsan2	
慣	kuan5	
惰	to5	
想	ɕiaŋ3	
惹	ʐɛ3	
愁	tsəu2	
愈	y5	病～
愉	y5	
意	i5	
愚	y2	
感	kan3	
憤	fən5	
愧	kʰuei5	
願	yan5	
慈	tsɿ2	
慌	faŋ1	
慎	ʂən5	
慕	mo5	
慢	man6	
慧	fei5	
慨	kʰai5	感～
慰	vei5	
慷	kʰaŋ3	
慾	y5	
憋	piɛ1	
憎	tsən1	
憑	pin5	～证
憨	xan1	
憾	xan3	
懂	toŋ3	
懊	ŋau5	
懶	lan3	
懵	moŋ3	
戈	ko1	
戊	vu5	
戌	ɕy1	
戌	ɕy5	
戎	ioŋ2	
戲	ɕi5	
成	tʂən1	
我	ŋo3	
戒	kai5	
或	xo2	
戰	tʂan5	
戚	tɕʰi5	
戟	tɕi5	
截	tɕiɛ5	
戳	tsʰo1	
戴	tai5	
戶	fu6	
所	so3	
扁	pian3	
扇	ʂan5	
手	ʂəu3	
才	tsai2	
扑	pʰu2	
打	ta3	
托	tʰo5	
扛	kʰaŋ2	
扞	kan3	
扣	kʰəu2	～住
執	tʂʅ5	
擴	kʰo5	
掃	sau3	
掃	sau5	～帚
揚	iaŋ2	
扭	ȵiəu3	
扮	pan1	
扯	tʂʰɛ3	
擾	ʐau2	
扳	pan1	
扶	fu2	
批	pʰei1	
扼	ŋo5	
承	tʂʰən2	
技	tɕi5	
抄	tsʰau1	
把	pa3	～握
抑	i5	
抓	tɕya1	
投	tʰəu2	
抖	təu3	
抗	kʰaŋ5	
折	tʂɛ5	
撫	fu5	
抛	pʰau1	
搶	tɕʰiaŋ3	
報	pau5	
披	pʰei1	
抬	tai2	
抱	pau6	
抵	ti3	
抹	ma5	
抹	mo5	
押	ŋa1	
抽	tʂʰəu1	
抿	min3	
拄	tɕʰy3	～拐杖
擔	tan1	～任
擔	tan5	挑～
拆	tsʰɛ5	
拇	mo3	
拈	ȵian1	
拉	la1	
拌	pan6	
拍	pʰiɛ5	
拎	lin2	
拐	kuai3	
拒	tɕy5	
拓	tʰo5	
拔	pa5	
拖	tʰo1	
拘	tɕy1	
拙	tɕyɛ5	
招	tʂau1	
拜	pai5	
擬	ȵi5	
攏	loŋ3	
擁	ioŋ3	
攔	lan2	
撥	po5	
擇	tsɛ5	
括	kʰo5	
拯	tʂən3	
拱	koŋ3	
拳	tɕyan2	
拼	pʰin5	～命
拾	ʂʅ5	
拿	la2	
持	tʂʰʅ2	
挂	kua5	
指	tʂʅ3	
按	ŋan5	
挖	ua1	
挾	ka5	
擋	taŋ3	
擠	tɕi3	
揮	fei1	
挨	ŋai1	～近
挪	lo2	
振	tʂən3	
挺	tʰin3	
挽	uan3	
捅	tʰoŋ3	
捉	tso5	
捋	lo5	
捎	sau1	～带
捏	ȵiɛ1	
捐	yan1	
捕	pʰu3	
撈	lau1	莫～：莫碰，莫触摸
撈	lau2	打～
損	sən3	
換	fan6	
捨	ʂɛ3	
据	tɕy5	
捱	ŋai2	～打
捲	tɕyan3	～起来
捷	tɕiɛ5	
捺	la1	撇～
掀	ɕian1	
掀	ɕyan1	
掂	tian1	
掇	to5	
授	ʂəu6	
掉	tiau5	
掌	tʂaŋ3	
掏	tʰau1	～出来
掐	kʰa5	
排	pai2	并～
掘	tɕyɛ5	
掠	liɛ5	
採	tsʰai3	
探	tʰan5	
接	tɕiɛ5	
控	kʰoŋ5	
推	tʰei1	
掩	ian3	
掫	tʂəu3	住上～
掬	tɕy5	
掭	tʰian5	～笔
擄	ləu3	
擲	tʂʅ5	
撣	tan3	鸡毛～子
揈	xoŋ1	
揉	ʐəu2	
描	miau2	
提	ti2	～拔
提	tia2	(又)～水
插	tsʰa5	
揖	i5	作～
揞	ŋan3	～住
握	uo5	
揣	tɕʰyai3	～摩
揩	kʰai1	
揫	tɕiəu1	一把～住
揭	tɕiɛ5	
援	yan2	
攬	lan3	
攙	tsʰan1	
擱	ko5	
摟	ləu2	～取
摟	ləu3	～抱
攪	tɕiau3	
搇	tsʰən3	按
搊	tsʰəu1	～起来
搓	tsʰo1	
搛	ȵian1	～菜
搜	səu1	
搡	saŋ3	
搦	tʰa5	
搧	ʂan1	
搬	pan1	
搭	ta5	
携	ɕi1	
搽	tsʰa1	
攝	ʂɛ5	
摆	pai3	
摇	iau2	
攤	tʰan1	
摔	ɕyai1	
摘	tsɛ5	
摞	lo6	～起来
摩	mo2	
摸	mo5	
摹	mo2	～仿
摺	tʂɛ5	～叠
撇	pʰiɛ5	
撒	sa5	
撕	sɿ1	
撞	tsaŋ5	
撤	tʂʰɛ5	
撩	liau2	
撮	tso5	
撰	tɕyan5	
撴	tən5	
擼	ləu3	
撼	xan3	
操	tsʰau1	～作
擎	tɕin1	
擒	tɕin2	
擦	tsʰa5	
擩	y3	～讲去
攀	pʰan1	
攢	tsan3	
攘	laŋ3	
攘	ʐaŋ3	
支	tʂʅ1	
收	ʂəu1	
改	kai3	
攻	koŋ1	
政	tʂən5	
故	ku5	
效	ɕiau5	
敵	ti2	
敏	min3	
救	tɕiəu5	
教	tɕiau1	～书
教	tɕiau5	～育
斂	lian5	
敝	pi5	
敢	kan3	
散	san3	鞋带～了
散	san5	分～
敦	tən1	
敬	tɕin5	
數	səu3	动词
數	səu5	名词
敲	kʰau1	
整	tʂən3	
敷	fu1	
文	vən2	
斋	tsai1	
斑	pan1	
斗	təu3	
斗	təu5	
料	liau5	
斛	fu2	
斜	ɕiɛ2	
斟	tʂən1	
斤	tɕin1	
