#漢字	音標	解釋
□	kʰa3	咳：咯痰
覽	lan3	
覺	tɕio5	知～
覺	kau5	睏～
角	tɕio5	
解	kai3	讲～；～板子
解	xai6	姓
解	ɕiai6	～不开这个理
觸	tʂəu5	
言	ian2	
託	tʰo5	
詺	min2	
誇	kʰua1	
譽	y5	荣～
誌	tʂʅ5	
誓	ʂʅ5	
警	tɕin3	
譬	pʰi5	
讓	ʐaŋ6	
計	tɕi5	
訂	tin5	
認	ʐən6	
譏	tɕi1	
討	tʰau3	
訖	tɕʰi5	
訓	ɕyən5	
議	ȵi2	
議	ȵi5	
訊	ɕin5	
記	tɕi5	
講	kaŋ3	～话
諱	fei6	
許	ɕy3	
訛	ŋo5	
論	lən2	～语
論	lən6	议～
訟	soŋ5	
諷	xoŋ1	
設	ʂɛ1	
訣	tɕyɛ5	
证	tʂən5	
評	pin2	
識	ʂʅ5	
詐	tsa5	
訴	səu5	
診	tʂən1	
詞	tsɿ2	
詔	tʂau5	
譯	i5	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂən1	
誅	tɕy1	
話	fa6	
誕	tan3	
詭	kuei3	
該	kai1	
詳	ɕiaŋ2	
誣	vu1	
語	y3	
誤	vu5	
誘	iəu5	
說	ɕyɛ5	～话
誦	soŋ5	
請	tɕʰin3	
諸	tɕy1	
諾	lo5	
讀	təu5	
課	kʰo5	
誰	sei2	
調	tiau2	～和
調	tiau5	音～；～动
諒	liaŋ6	
談	tan2	
誼	ȵi5	
諜	tiɛ2	
謊	faŋ3	
諫	tɕian3	
諫	tɕian5	
諧	ɕiai2	
謂	vei5	
讒	tsan2	
諺	ian5	
謎	mi6	
謝	ɕiɛ5	
謠	iau2	
謗	paŋ5	
謙	tɕʰian1	
謹	tɕin3	
謬	ȵiəu5	～误
譚	tan2	
譜	pʰu3	
谷	ku5	
豁	xo5	
豆	təu6	
豇	tɕiaŋ1	
豉	ʂʅ6	豆～
豌	van1	
豚	tʰən2	
象	ɕiaŋ6	
豪	xau2	
豫	y5	
豹	pau5	
豺	tsai2	
貂	tiau1	
貌	mau5	
貝	pei5	
貞	tʂən1	
負	fu5	
貢	koŋ5	
財	tsai2	
責	tsɛ5	
賢	ɕian2	
敗	pai6	
賬	tʂaŋ5	
貨	xo5	
質	tʂʅ5	
販	fan5	
貪	tʰan1	
貧	pin2	
貶	pian3	
購	kəu5	
貫	kuan5	
貳	ər6	～心
賤	tɕian6	
貼	tʰiɛ5	
貴	kuei5	
貸	tai5	
貿	mau5	
費	fei5	
賀	xo5	
賊	tsɛ5	
賈	tɕia3	姓
賄	fei5	
賃	lin5	租～
賂	ləu5	
資	tsɿ1	
賒	ʂɛ1	
賦	fu5	
賭	təu3	
贖	ʂəu5	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pei2	
賴	lai6	
贅	tɕyei5	
賺	tɕyan5	
賽	sai5	
赞	tsan5	
贈	tsən5	
贏	in2	
赤	tʂʰʅ5	
赦	ʂɛ5	
赫	xɛ5	
走	tsəu3	
赴	fu1	
趙	tʂau6	
趕	kan3	
起	tɕʰi3	
趁	tʂʰən5	
超	tʂʰau1	
越	yɛ5	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tsəu5	
趾	tʂʅ3	
躍	iau5	
跌	tiɛ5	
跐	tsʰɿ3	
跑	pau3	
跛	po3	
距	tɕy5	
跟	kən1	
跤	kau1	绊～：摔跤
跨	kʰa2	
跪	kʰuei3	
路	ləu5	
跳	tiau2	
跳	tʰiau5	
踐	tɕian5	
踏	tʰa5	
踒	vo1	脚～了
踢	tʰi5	
踩	tsʰai3	
蹤	tsoŋ1	
踱	to5	
蹄	ti2	
蹑	ȵiɛ5	
蹭	tsʰən1	磨～
蹲	tən1	
躁	tsau5	
身	ʂən1	
躬	koŋ1	
躲	to3	
躺	tʰaŋ3	
車	tɕy1	～马炮
車	tʂʰɛ1	马～
軋	tsa5	碾～
軌	kuei3	
軒	ɕyan1	
轉	tɕyan3	～眼
轉	tɕyan5	～动
軛	ŋa5	牛～头
輪	lən2	
軟	yan3	
轟	xoŋ1	
軸	tʂəu5	
輕	tɕʰin1	
載	tsai3	一年半～
載	tsai5	～重
轎	tɕiau6	
較	tɕiau5	
輔	fu3	
輦	ȵian3	
輩	pei5	
輝	fei1	
輞	vaŋ3	
輜	tsɿ1	～重
輯	tɕi5	
輸	ɕy1	
轅	yan2	
轄	ɕia5	
轍	tʂɛ5	
辛	ɕin1	
辭	tsɿ2	
辣	la5	
辦	pan6	
辨	pian6	
辯	pian6	
辮	pian6	
辰	tʂən2	
辱	ʐəu3	
邊	pian1	
遼	liau2	
达	ta2	
迁	tɕʰian1	
迂	y2	
迅	ɕyən5	
過	ko5	
邁	mai6	
迎	in2	
運	yən5	
近	tɕin6	
還	fan2	
進	tɕin5	
遠	yan3	
違	vei2	
連	lian2	
遲	tʂʅ2	
迥	tɕioŋ3	
迫	piɛ5	
述	ɕy5	
迷	mi2	
迹	tɕi5	
追	tsei1	
退	tʰei5	
送	soŋ5	
適	ʂʅ5	
逃	tau2	
逆	ȵi2	
選	ɕian3	
遜	ɕyən5	
透	tʰəu5	
逐	tʂəu5	
遞	tʰi6	
途	tʰəu2	
逗	təu1	
通	tʰoŋ1	
逝	ʂʅ5	
逞	tʂʰən3	
速	səu5	
造	tsau5	
逢	xoŋ2	
逩	pən5	
逵	kuei2	
逸	i5	
逼	pi1	
逾	y5	
遁	tən6	
遂	sei5	
遇	y6	
遍	pian5	一～；～地
遐	ɕia2	
道	tau6	
遺	uei2	
遭	tsau1	
遮	tʂɛ1	
遵	tsən1	
避	pi3	
邀	iau1	
鄺	kʰuaŋ5	姓
那	la5	
邦	paŋ1	
邪	ɕiɛ2	
郵	iəu2	
邵	ʂau5	
鄒	tsəu1	
郁	y5	
郊	tɕiau1	
郎	laŋ2	
鄭	tʂən5	
郡	tɕyən5	
部	pu5	
郭	ko5	
都	təu1	首～；～是
鄙	pi3	
鄰	lin2	
酉	iəu3	
酌	tʂo2	
配	pʰei5	
酒	tɕiəu3	
酣	xan1	
酥	səu1	
酬	tʂəu2	
醬	tɕiaŋ5	
酵	tɕiau5	
酸	san1	
釅	ȵian5	
醇	tsʰən2	
醇	tɕyən2	
醉	tsei5	
醋	tsʰəu5	
醒	ɕin3	
醜	tʂʰəu3	～陋
醮	tɕiau5	
釀	ȵiaŋ5	
采	tsʰai3	
釉	iəu6	
釋	ʂʅ5	
里	li3	
重	tʂoŋ2	～复
重	tʂoŋ6	轻～
野	iɛ3	
量	liaŋ2	丈～
量	liaŋ6	数～
金	tɕin1	
釜	fu3	
鉴	tɕian1	
錶	piau3	
鏨	tsan5	
鍾	tʂoŋ1	
鏊	ŋau5	
鏷	pʰu2	
鐘	tʂoŋ1	
针	tʂən1	
釘	tin1	铁～
釘	tin5	～住
釣	tɕyən1	
釣	tiau5	
釵	tsʰai1	
鈍	tən6	
鈔	tsʰau1	
鋼	kaŋ1	
鑰	io5	
欽	tɕʰin1	
鉤	kəu1	
錢	tɕian2	
鉗	tɕian2	
鉢	po5	
鑽	tsan5	动词；～子
鐵	tʰiɛ5	
鈴	lin2	
鉛	tɕʰian1	
鉋	pau5	
鐸	to5	
鐺	tʂʰən1	
銅	toŋ2	
鍘	tsa5	
鏵	fa2	
鉸	tɕiau3	
銃	tʂʰoŋ5	
鑄	tɕy5	
鋪	pu1	～路
鋪	pʰu5	店～
銷	ɕiau1	
鎖	so3	
鋥	tsən5	
鋤	tsəu2	
鍋	ko1	
鏽	ɕiəu5	
銼	tsʰo5	
鋒	xoŋ1	
鐧	tɕian5	
銳	yei5	
鋦	tɕy2	
錯	tsʰo5	
錯	tsʰəu5	～误
錨	miau2	
錛	pən1	
錫	ɕi1	
鑼	lo2	
錘	tɕyei1	
錐	tɕyei1	
錦	tɕin3	
鍁	ɕian1	
錠	tin5	
鍵	tɕian5	
鋸	tɕy5	～子
鍬	tɕʰiau1	
鍛	tan6	
鍍	tʰəu6	
鎮	tʂən5	
鑷	ȵiɛ5	
鎔	ioŋ2	
鏡	tɕin5	
鏇	ɕyan5	～一个洞
鐙	tən5	
鐲	tso5	
镰	lian1	
鑞	la1	锡～
鑲	ɕiaŋ1	
長	tʂaŋ2	～短
長	tʂaŋ3	生～
門	men2	
閂	san5	
閃	ʂan3	
閉	pi5	
問	vən6	
闖	tsʰaŋ3	
閏	yən5	
闲	ɕian2	
間	tɕian1	中～
間	tɕian5	～断
悶	men5	
閘	tsa5	
鬧	lau5	
閨	kuei1	
聞	vən2	
閩	min2	
閣	ko5	
閱	yɛ5	
閹	tɕiəu1	拈～
閹	ian1	
閻	ȵian2	
闊	kʰo5	
阜	fu5	
隊	tei5	
阮	yan3	
陽	iaŋ2	
陰	in1	
陰	in5	屋子很～
陣	tʂən6	
階	kai1	
阻	tsəu3	
阿	ŋa1	～胶
附	fu5	
際	tɕi5	
陸	ləu5	
隴	loŋ3	
陳	tʂən2	
陘	ɕin2	
陋	ləu6	
陌	mo5	
降	tɕiaŋ2	
降	tɕiaŋ5	下～
限	ɕian5	
陝	ʂan3	
陛	pi1	～下
陡	təu3	
院	yan5	
除	tɕy2	
險	ɕian3	
陪	pei2	
陵	lin2	
陶	tau2	
陷	ɕian5	
隆	loŋ2	
隨	sei2	
隱	in3	
隔	kɛ5	
隘	ŋai5	
障	tʂaŋ3	
隧	sei5	
隶	li5	
難	lan2	
難	lan5	患～
雀	tɕʰio5	
雁	ian5	
雄	ɕioŋ2	
雅	ia3	
集	tɕi5	
雇	ku5	
雉	tʂʅ2	～鸡
雌	tsɿ1	
雍	ioŋ3	
雛	tɕʰy2	
雕	tiau1	
雨	y3	
雪	ɕiɛ5	
零	lin2	
雷	lei2	
雹	pau1	
霧	vu6	
需	ɕy1	
霄	ɕiau1	
震	tʂən3	颠簸：～屁股
霍	xo5	
霜	saŋ1	
霞	ɕia2	
露	ləu5	
霸	pa5	
青	tɕʰin1	
靖	tɕin6	
靜	tɕin6	
非	fei1	
靠	kʰau5	
靡	mi5	
面	mian6	
革	kɛ5	
靭	ʐən6	
靴	ɕyɛ1	
靶	pa3	～子
鞋	xai2	
鞍	ŋan1	
鞘	ɕiau5	刀～
鞦	tɕʰiəu1	～韆
鞭	pian1	
韓	xan2	
韭	tɕiəu3	
音	in1	
韵	yən5	
韶	ʂau2	
須	ɕy1	
頁	iɛ5	
頂	tin3	
頃	tɕʰin3	
項	ɕiaŋ5	
順	ɕyən5	
頑	uan2	
顧	ku5	
頓	tən5	
頒	pan1	
頌	soŋ5	
預	y5	
領	lin3	
頗	po1	
頸	tɕin3	
頻	pin2	
穎	in2	
顆	kʰo3	一～米
題	ti2	
顏	ŋan2	姓
顏	ian2	
額	ŋɛ5	
顛	tian1	颠簸；末梢：藤～
顫	tʂan5	
顴	tɕyan2	
風	xoŋ1	
颼	səu1	
飄	pʰiau1	
飛	fei1	
食	ʂʅ5	
餐	tsʰan1	
餘	y2	
餜	ko3	～子
饥	tɕi1	
飩	tən5	
飯	fan6	
飲	in3	
餞	tɕian6	
飾	ʂʅ5	
飾	pu5	
飽	pau3	
飼	sɿ5	
飴	i1	～糖
餌	ər3	
饒	ʐau2	
餅	pin3	
餓	ŋo6	
餛	fən1	
餡	ɕian5	
館	kuan3	
餿	səu1	
饞	tsan2	
饃	mo2	
餾	liəu5	
饅	man2	
首	ʂəu3	
香	ɕiaŋ1	
馨	ɕin1	
駭	xai5	
馬	ma3	
馱	to2	
馳	tʂʅ2	
驅	tɕʰy1	
駁	po5	
駛	ʂʅ3	
駒	tɕy1	
駐	tɕy5	
駝	to2	
駕	ka5	
罵	ma6	
驕	tɕiau1	
駱	lo5	
駭	xai5	
驗	ȵian5	
騎	tɕi2	
騙	pʰian5	
騷	sau1	
騾	lo2	
驟	tʂəu5	
骨	ku5	
髓	sei6	
高	kau1	
髮	fa5	
髻	tɕi5	
鬃	tsoŋ1	
鬏	tɕiəu1	梳个～儿
鬢	pin5	
鬚	ɕy1	
鬼	kuei3	
魁	kʰei1	
魂	fən2	
魄	pʰiɛ5	
魏	vei5	
魔	mo2	
魚	y2	
魯	ləu3	
鮑	pau5	
鮮	ɕian1	新～
鮮	ɕian3	
鯉	li3	
鯽	tɕi5	
鯨	tɕin1	
鰓	sai1	
鰍	kuei5	
鰭	tɕi2	
鰥	kuan1	
鰾	piau5	
鱉	piɛ5	
鱗	lin2	
鳥	ȵiau3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鸕	ləu2	
鴨	ŋa1	
鴿	ko2	
鸞	lan2	
鴻	xoŋ2	
鵝	ŋo2	
鵡	vu3	鹦～
鵲	tɕʰio5	
鷂	iau6	～鹰
鸚	in1	
鷺	ləu5	
鷹	in1	
鹹	xan2	～淡
鹿	ləu5	
麋	mi2	白～子
麝	ʂɛ5	
麥	mɛ5	
麪	mian6	
麴	tɕʰy5	酒～
麩	fu1	
麻	ma2	
麾	fei1	
黃	faŋ2	～颜色；姓
黃	uaŋ2	(又)～瓜
黍	ɕy3	
黎	li2	
黏	ȵian1	
黑	xɛ5	
默	miɛ5	
黢	tɕʰy2	
鼎	tin3	
鼓	ku3	
鼠	ɕy3	
鼻	pi5	
鼾	xan1	
齁	xəu1	发～：气喘
齈	loŋ5	鼻塞不通：～鼻子
齊	tɕi2	
齒	tʂʰʅ3	
齙	pau5	～牙齿：牙齿突出唇外
龍	loŋ2	
龕	kʰan1	
龜	kuei1	
𣝗	fu2	(俗作核)桃子～
