#漢字	音標	解釋
劑	tsi5	
力	ni5	
功	kən1	
加	ciɔ1	
劣	niɛ7	
助	dzɯ6	
努	nɯ3	
努	niɯ3	(又)
劫	ciɛ7	
勁	ciən5	有～；～敵
勃	pʰʊ7	
勇	iən3	
勉	mĩ3	
勒	niɛ7	
動	dən6	
勘	kʰuɛ̃5-	
勘	kʰã1=	
務	u6	
勛	suən1	
勝	sən5	～任；～敗
勞	nau2	
募	mʊ6	
勢	ʂʅ5	
勤	ɟiən2	
勥	ɟiaŋ6	
勵	ni5	
勸	tʰuɛ̃5	
勺	çiʊ5	
勻	uən2	
勾	kai1	～當
勿	ɸu7	
包	pau1	
化	xɔ5	
北	piɛ7	
匙	tʂʰʅ3	鑰～
匠	dziaŋ6	
匡	cʰiaŋ1	
匣	çia5	
匪	xuei3	
匯	ɣuai6	
匹	pʰi7	
匾	pĩ3	
區	tʰʯ1	
十	ʂʅ5	
千	tsʰĩ1	
升	sən1	
午	u3	
半	piɛ̃5	
卑	pai1	
卒	tsɯ7	兵～
卓	tsʊ7	
協	çiɛ7	
南	nã2	
博	pʊ7	
卜	pu5	
占	tiɛ̃5	～卜
卦	kɔ5	
卯	mau3	
印	iən5	
危	uei2	
即	tsi7	
卵	nʊ3	
卵	nuɛ̃3	～子
卷	tuɛ̃5	書～
卸	siɔ5	(又)
卸	siɛ7	
卻	tʰʊ7	
卿	cʰiən1	
厚	ɣai6	
原	uɛ̃2	
厥	tuɛ7	
厭	ɲĩ5	
厲	ni6	
去	cʰi5-	
去	tʰʯ5=	
參	tsʰã1	
參	siɛ̃1	人～
又	iɯ6	
叉	tsʰɔ1	
及	cʰi5	
友	iɯ3	
反	xuã3	
叔	siɯ7	
取	tsʰi3	
受	ɣiɯ6	
叛	pʰiɛ̃5	
叟	sai3	
叢	dziən2	
口	kʰai3	
古	ku3	
句	tʯ5	
另	niən6-	
另	niən5=	
叨	tau1	嘮～
叨	tʰau1	～光
叩	kʰai5	
只	tʂʅ3	～有
叫	ciau5	
召	tau1	～之即來
召	dau6	號～
可	kʰʊ3	
台	dai2	天～
史	ʂʅ3	
右	iɯ6	
司	sɿ1	
各	kʊ7	
合	xuɛ7	～作；升～
吉	ci7	
吊	tiau5	
同	dən2	
名	miɔ̃2-	
名	miən2=	
吏	ni6	
吐	tʰɯ3	～痰；嘔～
吐	tʰiɯ3	(又)～痰；嘔～
向	çiaŋ5	
君	tuən1	
吝	niən5	
吞	tʰiɛ̃1	
吟	ɲiən2	
否	xuai3	
含	ɣã2	
吳	u2	
吵	tsʰau3	
吸	ci7	
吹	tʰʯ1-	
吹	tʰuei1=	
吻	uən3	
吼	xai5	
吾	u2	
吾	ŋʊ2	(又)
呂	nai3	
呆	ŋai2	
呈	dən2	
告	kau5	
周	tiɯ1	
味	uei6	
呼	βu2	
命	miɔ̃6-	
命	miən6=	
和	ɣʊ2	～氣；～面
咎	ciɯ5	
咒	tiɯ5	
咬	ŋau3	
咳	cʰiɛ7	
咸	ɣã2	～陽
咽	ɲĩ5	
哀	uai1	
品	pʰiən3	
哄	xən3	～騙
員	uɛ̃2	
哥	kʊ1	
哪	na3	～個
哭	kʰu7	
哲	tiɛ7	
哽	kɔ̃3-	～住
哽	kaŋ3=	～住
唇	ɣiən2	
唐	daŋ2	
售	diɯ6	
唯	uei2	
唱	tʰaŋ5	
啄	tsʊ7	
商	çiaŋ1	
問	uən6	
啞	ŋɔ̃3	
啟	cʰi3	
啼	di2	
善	ɣiɛ̃6	
喉	ɣai2	
喊	xã3	
喘	tʰuɛ̃3	
喚	xuɛ̃5	
喜	çi3	
喝	xuɛ7	～酒；～彩
喧	ʂuɛ̃1	
喪	saŋ1	～事
喪	saŋ5	～失
喫	cʰiɔ7-	～飯
喫	cʰi7=	～飯
喬	ɟiau2	
單	tã1	～獨
喻	ʯ6	
嗅	çiɯ5	～覺
嗅	çiən5	用鼻子聞
嗉	sɯ5	
嗓	saŋ3	
嗣	dzɿ2	
嗤	tʂʰʅ1	
嗦	sʊ1	囉～
嗽	sɯ5	咳～
嘉	ciɔ1	
嘔	ŋai3	
嘗	ɣiaŋ2	
嘮	nau1	～叨
嘴	tsi3	
噎	i7	～住了
噓	ʂʯ1	
器	cʰi5	
噴	pʰiən5	～香
噴	xuən5	～水；～嚏
嚇	xɔ7-	～一跳
嚇	çiɛ7	恐～；(文)～一跳
嚴	ɲĩ2	
嚷	iaŋ5	
嚼	tsʰiʊ5-	
嚼	tsiʊ7=	
囂	çiau1	
囉	nʊ1	～嗦
囊	naŋ2	
囑	tiɯ7	
囚	dziɯ2	
四	sɿ5	
回	ɣuai2	
因	iən1	
囤	duən2	
囪	tsʰən1	
囪	tsʰuən1	(又)
困	kʰuən5	
固	ku5	
圈	tʰuɛ̃1	圓～
國	kuɛ7	
圍	uei2	
園	uɛ̃2	
圓	uɛ̃2	
圖	dɯ2	
圖	diɯ2	(又)
團	duɛ̃2	
土	tʰɯ3	
土	tʰiɯ3	(又)
在	dzai6	
圭	kuei1	
地	di6	
址	tʂʅ3	
均	tuən1	
坎	kʰuɛ̃3	
坐	dzʊ6-	
坐	tsʊ5=	
坑	kʰɔ̃1-	
坑	kʰaŋ1=	
坛	dã2	
坡	pʰʊ1	
坤	kʰuən1	
坦	tʰã3	
坪	biɔ̃2-	
坪	biən2=	
坯	pʰai1	
坳	ŋau5	
坼	tsʰiɛ7	
垂	duei2	
型	ɣiən2	
垮	kʰua3	
垻	pɔ5	(又)平川
垻	puɔ5	平川
埂	ciɛ̃3	
埃	ai1	
埋	mã1	
城	dən2	
域	ʯ5	
埠	bu6	
執	tʂʅ7	
培	bai2	
基	ci1	
堂	daŋ2	
堅	cĩ1	
堆	tuai1	
堡	pau3	
堤	di2	
堪	kʰuɛ̃1	
堯	iau2	
堰	ɲĩ5	
報	pau5	
場	daŋ2	
堵	tɯ3	
堵	tiɯ3	(又)
塊	kʰua3	
塋	uən2	
塌	tʰa7	
塍	ɣiən2	
塑	sʊ7	～料
塔	tʰa7	
塗	dɯ2	
塗	diɯ2	(又)
塘	daŋ2	
塚	tən3	
塞	siɛ7	
塡	dĩ2	
塢	u1	
塵	dən2	
境	ciən5	
墊	dĩ6	
墓	mʊ6	
墜	dzi6	
增	tsiɛ̃1	
墟	ʂʯ1	
墨	miɛ̃7	
墩	tən3	
墩	tuən3	(又)
墳	ɣuən2	
墾	cʰiɛ̃3-	
墾	kʰən3=	
壁	piɔ7-	
壁	pi7=	
壓	ia7	
壕	ɣau2	
壘	nai3	
壞	ɣua6	
壟	nən3	
壤	iaŋ6	
壩	pɔ5	(又)堤～
壩	puɔ5	堤～
士	dzɿ6	
壬	iən2	
壯	tsaŋ5	
壺	βu2	
壻	si7	
壽	ɣiɯ6	
夏	ɣiɔ6	姓；春～
夕	si7	
外	uai6	
多	tʊ1	
夜	iɔ7	
夠	kai5	
夢	maŋ6	
大	da6	～夫；～黃；(白)～小
大	ta5=	～小
天	tʰĩ1	
太	tʰa5	
夫	ɸu1	
央	iaŋ1	
夯	xã1	打～
失	ʂʅ7	
夷	i2	
夾	ka7	～道
奇	ɟi2	
奈	na6	
奉	ɣuən6	
奎	kuei1	(又)
奎	kʰuei1	
奏	tsai5	
契	cʰi5	～約
奔	piən1	～跑
奔	piən5	投～
套	tʰau5	
奚	çi1	
奠	dĩ6	
奢	siɔ1	
奧	ŋau5	
奪	tuɛ7	
奮	xuən5	
女	ɳʯ3	
奴	nɯ2	
奴	niɯ2	(又)
奶	na3	
奸	kã1	
好	xau3	～壞
好	xau5	喜～
如	ʯ2	
妃	xuei1	
妄	uaŋ5	
妓	ɟi6	
妖	iau1	
妙	miau5	
妥	tʰʊ3	
妨	ɣaŋ2	
妹	mai6-	
妹	mai5=	
妻	tsʰi1	
妾	tsʰiɛ7	
姆	m̩1	～媽
姊	tsɿ3	
始	ʂʅ3	
姐	tsiɔ3-	
姐	tsiɛ5=	
姑	ku1	
姓	siən5	
委	uei3	
姚	iau2	
姜	ciaŋ1	姓
姨	i2	
姻	iən1	
姿	tsɿ1	
威	uei1	
娘	ɲiaŋ2	
娛	ʯ2	
娶	tsʰi5	
婆	bʊ2	
婚	xuən1	
婢	pi3	
婦	βu6-	
婦	ɸu5=	
媒	mai2	
媚	mĩ2	
媳	si7	
媽	mɔ̃1	(又)
媽	muɔ̃1	
嫁	kɔ5-	
嫁	ciɔ5=	
嫂	sau3	
嫌	ɣĩ2	
嫖	biau2	
嫡	ti7	
嫩	nən6	
嬉	çi1	
嬌	ciau1	
嬰	iən1	
嬸	sən3	
孀	saŋ1	
子	tsɿ3	
孔	kʰən3	
孕	iən6	
字	dzɿ6	
存	dzuən2	
孝	çiau5	
孟	miɛ̃6-	
孟	mən5=	
季	ci5	
孤	ku1	
孩	ɣia2	
孫	suən1	
孵	ɸu1	
學	çiʊ7	
孽	ɲiɛ̃7	
宅	tsʰiɛ7	
宇	ʯ3	
守	siɯ3	
安	uɛ̃1-	
安	ŋã1=	
宋	sən5	
完	ɣuã2	
完	ɣuɛ̃2=	
宏	ɣuən2	
宗	tsuən1	
官	kuɛ̃1	
宙	diɯ6	
定	diən6	
宛	uɛ̃3	
宜	ɲĩ2	
客	cʰiɛ7	
宣	ʂuɛ̃1	
室	ʂʅ7	
宦	ɣuɛ̃6	
宮	kən1	
宰	tsai3	
害	ɣuai6	
宴	ɲĩ5	
宵	siau1	
家	kɔ1-	
家	ciɔ1=	
容	iən2	
宿	sɯ7	
寂	tsʰi7	
寄	ci5	
寅	iən2	
密	mĩ5	
寇	kʰai5	
富	ɸu5	
寐	mai5	
寒	ɣuɛ̃2	
寓	ɳʯ6-	
寓	ɳʯ5=	
寞	mʊ5	
察	tsʰa7	
寡	kɔ3	
寢	tsʰiən3	
寥	niau2	
實	ʂʅ5	
寧	ɲiən2	安～
寨	dza6	
審	sən3	
寫	siɔ3	
寬	kʰuɛ̃1	
寵	tʰən3	
寶	pau3	
寸	tsʰuən5	
寺	dzɿ6	
封	xuən1	
射	siɔ5	
將	tsiaŋ1	～來
將	tsiaŋ5	大～
專	tuɛ̃1	
尊	tsuən1	
尋	dziən2	
對	tuai5	
導	tʰau5	
小	siau3	
少	siau3	多～
少	siau5	～年
尖	tsĩ1	
尚	ɣiaŋ6	
尤	iɯ2	
就	dziɯ6	
尸	ʂʅ1	～位
尹	uən3	
尺	tʰɔ7-	
尺	tʂʰʅ7=	
尼	ɲĩ2	
尾	uei3	
尿	ɲiau5	
局	tʯ5-	
局	tʯ7=	
屁	pʰi5	
居	tʯ1	
屆	ka5	
屈	tʰʯ5	
屋	u7	
屍	ʂʅ1	～體
屎	ʂʅ3	
屏	biən2	
屐	ci1	
屑	siɛ7	不～；木～
展	tiɛ̃3	
屜	tʰi7	
屠	dɯ2	
屠	diɯ2	(又)
屢	nai3	
層	dziɛ̃2	
履	ni3	
屬	siɯ5	
屯	duən2	
山	sã1	
岐	ɟi2	
岔	tsʰɔ5	
岡	kaŋ1	
岩	ŋã2	
岳	iʊ7	姓
岸	uɛ̃6-	
岸	ŋã6=	
峯	xuən1	
島	tau3	
峽	çia5	
崇	dzuən2	
崑	kʰuən1	
崔	tsʰuai1	姓
崖	iɔ1	
崗	kaŋ1	
崙	nən2	
崩	piɛ̃1	
嵌	kʰã5	
嵩	suən1	
嶺	niɔ̃3-	
嶺	niən3=	
嶽	iʊ7	山～
川	tʰuɛ̃1	
州	tiɯ1	
巡	dzuən2	
巢	dzau2	
工	kən1	
左	tsʊ5-	
左	tsʊ3=	
巧	cʰiau3	
巨	dʯ6	
差	tsʰa1	出～
差	tsʰɔ1	～別；～不多
己	ci3	
已	i3	
巳	dzɿ6	辰～
巴	pɔ1	(又)
巴	puɔ1	
巷	ɣaŋ6	
巾	ciən1	
市	dzɿ6	
布	pu5	
帆	ɣuã2	
希	çi1	
帕	pʰɔ7	(又)
帕	pʰuɔ7	
帖	tʰiɛ7	
帚	tiɯ3	
帛	piɛ7	
帝	ti5	
帥	suai5	
師	sɿ1	
席	si7	
帳	taŋ5	
帶	ta5	
常	ɣiaŋ2	
帽	mau6	
幅	ɸu7	
幔	mã6	
幕	mʊ6	
幣	bi6	
幫	paŋ1	
干	kuɛ̃1	～涉
平	biɔ̃2-	
平	biən2=	
年	ɲĩ2	
幸	ɣiən6	
幹	kuɛ̃5-	～部
幹	kã5=	～部
幺	iau1	
幻	ɣuã6-	
幻	xuã5=	
幼	iɯ5	
幽	iɯ1	
幾	ci3	～乎；～個
庇	pʰi3	
牀	dzaŋ2	
序	dzi6	
底	ti3	
店	tĩ5	
庚	ciɛ̃1	
府	ɸu3	
度	diɯ6	
座	dzʊ6-	
座	tsʊ5=	
庫	kʰu5	
庭	diən2	
庵	uɛ̃1	
庶	ʂʯ5	
康	kʰaŋ1	
庸	iən2	
廁	tsʰɿ5-	茅～
廁	tsiɛ7=	～所
廂	siaŋ1	
廈	sɔ6	偏～
廈	ɣiɔ6	～門；偏～
廉	nĩ2	
廊	naŋ2	
廓	kʊ7	
廖	niau6	姓
廚	dʯ2	
廝	sɿ1	
廟	miau6	
廠	tʰaŋ3	
廢	xuei5	
廣	kaŋ3	
廬	nɯ2	
廬	niɯ2	(又)
廳	tʰiən1	
延	ɲĩ2	
廷	diən2	
建	cĩ5	
弄	nən6	
弊	bi6	
式	ʂʅ5	
弓	kən1	
引	iən3	
弘	ɣuən2	
弟	di6	
弦	ɣĩ2	
弱	ɲiʊ7	
張	taŋ1	
弼	pʰi7	
彈	dã2	～琴
彈	dã6	子～
彊	ɟiaŋ2	
彊	cʰiaŋ3	勉～
彌	mĩ2	
彎	uã1	
形	ɣiən2	
彩	tsʰai3	
彪	piau1	
彬	piən1	
彭	biɛ̃2	
影	iɔ̃3-	
影	iən3=	
彷	xaŋ3	
役	ʯ5	
彼	pi3	
彿	ɸu7	彷～
往	uaŋ3	
征	tən1	
待	duai6	
很	çiɛ̃3	
律	ni5	
後	ɣai6	前～
後	ɣai6	皇～
徐	dzi2	
徑	ciən5	
徒	dɯ2	
徒	diɯ2	(又)
得	tiɛ7	
徙	si3	
徛	ɟi6	立
從	tsʰuən1	～容
從	dzən2	跟～
從	dzuən2	跟～(又)
御	ʯ6	～用
復	ɸu7	～原；～興
循	dzuən2	
微	uei2	
徵	tən1	～求
德	tiɛ7	
徹	tʰiɛ7	
徽	xuei1	
心	siən1	
必	pi7	
忌	ɟi6	
忍	iən3	
志	tʂʅ5	
忘	uaŋ2	
忙	maŋ2	
忠	tən1	
快	kʰua5	
念	ɲĩ6	
忽	ɸu7	
忿	xuən5	
怒	nɯ6	
怒	niɯ6	(又)
怕	pʰɔ5	(又)
怕	pʰuɔ5	
怖	pu5	
思	sɿ1	
怠	dai6	
急	ci7	
性	siən5	
怨	uɛ̃5	
怪	kua5	
怯	cʰiɛ7	
怱	tsʰən1	
怱	tsʰuən1	(又)
恆	ɣiɛ̃2	
恐	kʰən3	
恕	ʂʯ5	
恢	xuai1	
恤	si7	
恥	tʂʰʅ3	
恨	ɣiɛ̃6	
恩	ɲiɛ̃1	
恭	kən1	
息	si7	
悄	tsʰiau3	
