#漢字	音標	解釋
葉	iɛ7	
著	tʯ5	顯～
葚	ɣiən6	
葛	kuɛ7	
董	tən3	
葦	uei3	
葫	βu2	～蘆
葬	tsaŋ5	
葵	ɡuei2	
葷	xuən1	
蒐	sai1	～集
蒙	maŋ2	
蒜	ʂuɛ̃5	
蒲	bu2	
蒸	tən1	
蒼	tsʰaŋ1	
蒿	xau1	
蓄	çiɯ7	儲～
蓉	iən2	
蓋	kuai5	
蓑	sʊ1	
蓖	pai1	～麻
蓬	baŋ2	
蓮	nĩ2	
蔗	tɔ5	
蔡	tsʰai5	
蔣	tsiaŋ3	
蔥	tsʰən1	
蔥	tsʰuən1	(又)
蔬	sɯ1	
蔭	iən1	
蔽	pi5	
蕉	tsiau1	
蕊	ʯ3	
蕎	ɟiau2	
蕩	daŋ6	放～
蕭	siau1	
薄	pʰʊ5	厚～
薄	bʊ6	～荷
薅	xau1	
薑	ciaŋ1	生～
薛	siɛ7	
薦	tsĩ5	
薩	sa7	
薪	siən1	
薯	dʯ2	
薺	dzi2	
藉	dziɔ6-	～口
藉	tsi7	狼～
藉	tsiɔ5=	～口
藍	nã2	
藏	dzaŋ2	隱～
藏	dzaŋ6	西～
藐	miau3	
藕	ŋai3	
藝	ɲĩ5	
藤	diɛ̃2	
藥	iʊ7	
藩	ɣuã2	
藹	uai3	
藿	xʊ7	
蘆	nɯ2	
蘆	niɯ2	(又)
蘇	sɯ1	
蘭	nã2	
虎	ɸu3	
虐	ɲiʊ7	
處	tʰʯ3	相～
處	tʰʯ5	～所
虛	ʂʯ1	
虜	nɯ3	
虜	niɯ3	(又)
虞	ɳʯ2	
虞	ʯ2	(又)
號	ɣau6	～數
虧	kʰuei1	
虹	xən2	霓～燈
虹	kaŋ5	出～
虻	maŋ2	
蚊	miən1-	
蚊	uən2=	
蚌	baŋ6	
蚣	kən1	
蚤	tsau3	
蛀	tʯ5	
蛆	tsʰi1	
蛇	ɣiɔ2	
蛋	dã6	
蛙	ɔ1	
蛛	tʯ1	
蛤	xuɛ7	～蜊
蛻	tʰuai5	
蛾	ŋʊ2	
蜀	siɯ5	
蜂	xuən1	
蜈	u2	～蚣
蜓	diən2	
蜘	tʂʅ7	～蛛
蜜	mĩ7	
蜻	tsʰiən1	
蝕	ʂʅ5	
蝗	ɣaŋ2	
蝙	pĩ3	
蝠	ɸu7	
蝦	xɔ1-	魚～
蝦	ɣia2=	魚～
蝨	siɛ7	
蝶	tʰiɛ5	
蝸	ɔ1	
螂	naŋ2	
螃	baŋ2	
融	iən2	
螢	ɲiɔ̃2-	
螢	uən2=	
螳	daŋ2	
螺	nʊ2	
蟀	sʊ7	
蟄	tʂʅ5	驚～
蟆	mɔ̃2	(又)蛤～
蟆	muɔ̃2	蛤～
蟒	maŋ3	
蟬	ɣuɛ̃2	
蟲	dən2	
蟹	ɣa6-	
蟹	xa3=	
蟹	xai3=	
蟻	ɲĩ6	
蠅	iən2	
蠟	na7	
蠢	tʰuən3	
蠶	dzã2	
蠻	mã1	
血	ʂuɛ7	
行	ɣiən2	～爲；品～
行	ɣaŋ2	～列
術	ʂʯ5	算～
街	ka1	
衙	ŋɔ̃2	
衛	uei5	
衡	ɣiɛ̃2	
衣	i1	
表	piau3	～面
衫	sã1	
衰	suai1	
袁	uɛ̃2	
袋	duai6	
袍	bau2	
袖	siɯ5	
被	bi6	～子；～迫
裁	dzai2	
裂	niɛ7	
裌	ka7	～衣
裏	ni3	
裕	ʯ6-	
裕	ʯ5=	
裙	duən2	
補	pu3	
裝	tsaŋ1	
裳	ɣiaŋ2	
裴	bai2	
裹	kʊ3	
製	tʂʅ5	～造
褒	pau3	
褥	iɯ7	
褯	dziɔ6	
褲	kʰu5	
褶	tiɛ7	～子
襄	siaŋ1	
襉	kã5	
襖	ŋau3	
襟	ciən1	
襪	ua7	
襯	tsʰiɛ̃5	
襲	si7	
襻	pʰã5	
西	si1	
要	iau1	～求
要	iau5	重～
覆	ɸu7	反～
覈	xai5	審～
見	cĩ5	
規	kuei1	
覓	mĩ5	
視	dzɿ6	
親	tsʰiən1	～戚
親	tsʰiən5	～家
覺	ciau5	睡～
覺	tʊ7	知～
覺	kʊ7	知～
覽	nã3	
觀	kuã1-	參～
觀	kuɛ̃5	寺～
觀	kuɛ̃1=	參～
角	tʊ7	一～
角	kʊ7	一～
解	ka3	講～；～開；曉也
觸	tʰiɯ7	
言	ɲĩ2	
訂	tiən5	
訃	ɸu5	
計	ci5	
訊	siən5	
討	tʰau3	
訓	suən5	
訖	cʰi5	
託	tʰʊ7	
記	ci5	
訟	dzuən6	
訣	tuɛ7	
訪	xaŋ3	
設	siɛ7	
許	ʂʯ3	
訴	sɯ5	
診	tən1	
診	tən3	(又)
註	tʯ5	～解
詐	tsɔ5	
詔	tau1	
評	biən2	
詞	dzɿ2	
詠	uən5	
試	ʂʅ5	
詩	ʂʅ1	
詭	kuei3	
話	ɔ6	
該	kuai1	
詳	dziaŋ2	
誅	tʯ1	
誇	kʰɔ1	
誌	tʂʅ5	
認	iən6	
誓	dʐʅ6-	
誓	ʂʅ5=	
誕	tã5	
誘	ɲiɯ3	
語	ɳʯ3	
誠	dən2	
誣	u2	
誤	u6	
誦	dzuən6	
說	ʂuɛ7	
誰	ɣuei2	
課	kʰʊ5	
誼	ɲĩ2	
調	diau2	～和
調	tiau5	音～；～動
談	dã2	
請	tsʰiɔ̃3-	
請	tsʰiən3=	
諒	niaŋ5	
論	nən2	～語
論	nən6	議～
諜	tʰiɛ5	
諧	ɣia2	
諮	tsɿ1	
諱	xuei5	
諷	xuən1	
諸	tʯ1	
諺	ɲĩ5	
諾	nʊ7	
謀	mai2	
謂	uei5	
謄	diɛ̃2	
謊	xaŋ3	
謎	mĩ2	～語
謎	mĩ6	猜～子
謗	paŋ5	
謙	cʰĩ1	
講	kaŋ3	
謝	dziɔ6	
謠	iau2	
謬	miau5	
謹	ciən3	
證	tən5	
譏	ci1	
識	ʂʅ7	
譚	dã2	
譜	pʰu3	
警	ciən3	
譬	pʰi7	
譯	i7	
議	ɲĩ6	
護	βu6-	
護	ɸu5=	
譽	ʯ5	
讀	tɯ7	
讀	tiɯ7	
變	pĩ5	
讒	dzã2	
讓	iaŋ6	
谷	ku7	山～
豁	xua7	
豆	dai6	
豇	kaŋ3	
豈	cʰi3	
豉	dʐʅ6	豆～
豌	uã1-	～豆
豌	uɛ̃3=	～豆
豎	ʂʯ6	
豐	xuən1	
豕	ʂʅ3	
豚	duən2	
象	dziaŋ6	
豪	ɣau2	
豫	ʯ6	
豬	tʯ1	
豶	ɣuən2	
豹	pau5	
豺	dza2	
貂	tiau1	
貌	mau5	
貓	miau1-	
貓	mau1=	
貝	pai5	
貞	tən1	
負	βu6	
財	dzai2	
貢	kən5	
貧	biən2	
貨	xʊ5	
販	xuã5	
貪	tʰã1	
貫	kuɛ̃5	
責	tsiɛ7	
貳	ai6	
貴	kuei5	
貶	pĩ3	
買	mã3	
貸	duai6	
費	xuei5	
貼	tʰiɛ7	
貿	mai5	
賀	ɣʊ6-	
賀	xʊ5=	
賂	nʊ7	
賃	iən6	
賄	xuei3	
資	tsɿ1	
賈	ciɔ3	姓
賊	tsiɛ7	
賒	siɔ1	
賓	piən1	
賜	tsʰɿ5	
賞	çiaŋ3	
賠	bai2	
賢	ɣĩ2	
賣	mã5	
賤	dzuɛ̃6-	
賤	dziɛ̃6=	
賦	ɸu5	
質	tʂʅ7	
賬	taŋ5	
賭	tɯ3	
賴	na6	
賺	dzuã6	
購	kai5	
賽	sai5	
贈	tsʰiɛ̃5	
贊	tsã5	
贏	ɲiɔ̃2-	
贏	iən2=	
贓	tsaŋ1	
贖	siɯ5	
赤	tʂʰʅ7	
赦	siɔ5	
赫	çiɛ7	
走	tsai3	
赴	ɸu5	
起	cʰi3	
趁	tʰən5	
超	tʰau1	
越	uɛ7	
趕	kuɛ̃3	
趙	dau6	
趟	tʰaŋ5	去一～
趣	tsʰi5	
趨	tsʰi1	
足	tsɯ7	
趾	tʂʅ3	
跌	tʰiɛ7	
跑	pʰau3	
跛	pa1-	俗作𨃅。～足
跛	pʊ1=	～足
距	dʯ6	
跟	ciɛ̃1-	
跟	kən1=	
跡	tsi7	
跨	kʰɔ1-	
跨	kʰɔ5=	
跪	kʰuei3	
路	nɯ6	
路	niɯ6	(又)
跳	tʰiau5	
踏	tʰa5	
踐	tsʰiɛ̃5	
踢	tʰi7	
蹤	tsuən5	
蹄	di2	
蹲	dzuən2	
躁	tsʰau5	
躍	iʊ7	
身	sən1	
躬	kən1	
躲	tʊ3	
躺	tʰaŋ3	
車	tʯ1	～馬炮
車	tʰɔ1	
軋	tsa7	～棉花
軌	kuei3	
軍	tuən1	
軒	ʂuɛ̃1	
軛	ua5	
軟	uɛ̃3	
軸	tʰiɯ7	
較	kau5	
載	tsai3	年～
載	tsai5	～重；滿～
輔	pʰu3	
輕	cʰiɔ̃1-	
輕	cʰiən1=	
輛	niaŋ3	
輜	tsɿ1	～重
輝	xuei1	
輩	pai5	
輪	nən2	
輯	tsi7	
輸	ʂʯ1	
轄	çia5	
轅	uɛ̃2	
轉	tuɛ̃3	～眼，～送；～螺絲，～圓圈
轎	ɟiau6	
轟	xuən1	
辛	siən1	
辟	pʰi7	
辣	na5	
辦	bã6	
辨	bĩ6	
辭	dzɿ2	
辮	bĩ6	
辯	bĩ6	
辰	ɣiən2	
辱	iɯ7	
農	nən2	
迂	ʯ2	
迅	siən5	
迎	ɲiən2	
近	ɟiən6	
迫	pʰiɛ7	
述	ʂʯ5	
迷	mĩ2	
迸	piən5	
追	tuei1	
退	tʰuai5	
送	sən5	
逃	dau2	
逆	ɲĩ7	忤～子
透	tʰai5	
逐	tʰiɯ7	
途	dɯ2	
途	diɯ2	(又)
逗	dai6	
通	tʰən1	
逝	ʂʅ5	
逞	tʰən3	
速	sʊ7	
造	dzau6-	
造	tsʰau5=	
逢	ɣuən2	
連	nĩ2	
進	tsiən5	
逵	ɡuei2	
逸	i7	
逼	pi7	
逾	ʯ2	
遁	tuən5	
遂	dzi6	
遇	ɳʯ6	
運	uən6	
遍	pʰĩ1	一～
遍	pʰĩ5	～地
過	ku5-	
過	kʊ5=	
道	dau6	
達	ta7	
違	uei2	
遜	sən5	
遞	di6	
遠	uɛ̃3	
遣	cʰĩ3	
適	ʂʅ7	
遭	tsau1	
遮	tɔ1	
遲	dʐʅ2	
遵	tsuən1	
遷	tsʰĩ1	
選	ʂuɛ̃3	
遺	i2	
遼	niau2	
避	pʰi7	
邀	iau1	
邁	mã5	
還	ɣa2-	～有
還	a2-	～有
還	ɣuã2	～原；～有
邊	pĩ1	
那	na5	
邦	paŋ1	
邪	dziɔ2	
邵	siau5	
郁	iɯ5	
郊	ciau1	
郎	naŋ2	
郡	duən6	
部	bu6	
郭	kʊ7	
郵	iɯ2	
都	tɯ1	
都	tiɯ1	(又)
鄂	ŋʊ7	
鄉	çiaŋ1	
鄒	tsai1	
鄙	pʰi3	
鄧	diɛ̃6	
鄭	dən6	
鄰	niən2	
酉	iɯ3	
酌	tʊ7	
配	pʰai5	
酒	tsiɯ3	
酥	sɯ1	
酬	diɯ2	
酵	çiau5	
酷	ku7	
酸	ʂuɛ̃1	
醃	ɲĩ1	
醉	tsi5	
醋	tsʰɯ5	
醒	siɔ̃3-	
醒	siən3=	
醜	tʰiɯ3	～陋
醫	i1	
醬	tsiaŋ5	
醮	tsiau5	
釀	iaŋ5	
釁	çiən5	
釅	ɲĩ6	
釉	iɯ6-	
釉	iɯ5=	
釋	ʂʅ7	
里	ni3	
重	dən2	～複
重	dən6	輕～
野	ia3	(又)
野	iɔ3	
量	niaŋ2	～長短
量	niaŋ6	數～
釐	ni2	
金	ciən1	
釘	tiɔ̃1-	鐵～
釘	tiɔ̃5-	～住
釘	tiən1=	鐵～
釘	tiən5=	～住
釜	ɸu3	
針	tən1	
釣	tiau5	
釵	tsʰɔ1	
鈍	duən6	
鈔	tsʰau1	
鈞	tuən1	
鈴	niən2	
鈸	pʰʊ7	
鉗	ɟĩ2	
鉛	uɛ̃2	
鉢	piɛ7	
鉤	kai1	
鉸	ciau3	
銀	ɲiən2	
銃	tʰən5	
銅	dən2	
銘	miən2	
銜	ɣã2	
銳	ʂuei5	
銷	siau1	
銼	tsʰʊ5	
鋒	xuən1	
鋤	dzɯ2	
鋪	pʰu1	～設
鋪	pʰu5	店～
鋸	kai5-	
鋸	tʯ5=	
鋼	kaŋ1	
錄	nɯ7	
錄	niɯ7	(又)
錘	dʯ2-	
錘	duei2=	
錠	diən6	
錢	dzĩ2	
錦	ciən3	
錨	mau2	
錫	siɔ7-	
錫	si7=	
錯	tsʰʊ5	～誤；～雜
錶	piau3	鐘～
鍋	ku1-	
鍋	kʊ1=	
鍍	dɯ6	
鍘	tsʰa5	
鍛	tuɛ̃5	
鍬	tsʰiɯ1	(又)
鍬	tsʰiau1	
鍾	tən1	
鎔	iən2	
鎖	sʊ3	
鎮	tən5	
鏟	tsʰã3	
鏡	ciən5	
鏵	ɣɔ2	
鏽	siɯ5	
鐘	tən1	
鐮	nĩ2	
鐵	tʰiɛ7	
鑄	tʯ5	
鑑	kã5	
鑞	na7	錫～
鑰	iʊ7	
鑲	siaŋ1	
鑼	nʊ2	
鑽	tsuɛ̃1	～木；木～
鑿	tsʰʊ5	
長	daŋ2	～短
長	taŋ3	
門	miən2	
閂	suã1	
閃	çĩ3	
閉	pi5	
開	kʰuai1	
閏	uən6	
閑	ɣã2	
間	kã1	中～
間	kã5	～斷
閘	tsa7	
閣	kʊ7	
閨	kuei1	
閩	miən2	
閱	uɛ7	
閹	ɲĩ1	
閻	ɲĩ2	
闊	kʰuɛ7	
闖	tʰaŋ3	
關	kuã1	
阮	uɛ̃2	
防	ɣaŋ2	
阻	tsɯ3	
阿	ŋɔ1-	老～公
阿	ʊ1	～膠；(文)老～公
附	βu6	
陌	miɛ̃7	
降	ɣiaŋ2	投～
降	ciaŋ5	下～
限	ɣã6	
陝	siɛ̃3	
陡	tai3	
院	uɛ̃6	
陣	dən6	
除	dʯ2	
陪	bai2	
陰	iən1	
陳	dən2	
陵	niən2	
陶	dau2	
陷	ɣã6	
陸	nɯ7	
陸	niɯ7	(又)
陽	iaŋ2	
隆	nən2	
隊	tuai5	
階	ka1	
隔	ciɛ7	
際	tsi5	
障	taŋ5	
隧	dzi6-	
隧	sai5	
隨	dzi2	
險	çĩ3	
隱	iən3	
隴	nən3	
隸	tʰi5	
隻	tɔ7-	
隻	tʂʅ1	一～
雀	tsʰiʊ7	
雁	ŋã6	
雄	ɣiən2	
雅	iɔ3	
集	tsi7	
雉	dʐʅ6	
雌	tsʰɿ1	
雍	iən1	
雕	tiau1	
雖	si1	
雙	saŋ1	單～；～生
雜	tsa7	
雞	ci1	
離	ni2	～別；～開
難	nã2	～易
難	nã5	患～
雨	ʯ3	
雪	siɛ7	
雲	uən2	～彩
零	niən2	
雷	nuai2	
雹	pʰau5	
電	dĩ6	
需	si1	
霄	siau1	
震	tən5	
霉	mai2	
霍	xʊ7	
霜	saŋ1	
霞	ɣiɔ2-	
霞	ɣia2=	
霧	u6	
露	nɯ6	
露	niɯ6	(又)
霸	pɔ5	(又)
霸	puɔ5	
靈	niən2	
青	tsʰiɔ̃1-	
青	tsʰiən1=	
靖	dziən6	
靜	dziən6	
非	xuei1	
靠	kʰau5	
靡	mĩ2	
面	mĩ6	臉～
革	ciɛ7	
靪	tiən1	
靴	siɔ1	
靴	çiɔ1	
鞋	ɣa2	
鞍	uɛ̃1-	
鞍	ŋã1=	
鞏	kən3	
鞦	tsʰiɯ1	～韆
鞭	pĩ1	
韁	ciaŋ1	
韌	iən6	
韓	ɣuɛ̃2	
韭	ciɯ3	
音	iən1	
韶	ɣiau2	～山
韻	uən5	
響	çiaŋ3	
頁	iɛ7	
頂	tiən3	
項	ɣaŋ6	
順	ɣiuən6	
須	si1	必～
頌	dzuən6	
預	ʯ6	
頑	uã2	～皮
頒	pã1	
頓	tuən5	
頗	pʰʊ3	
領	niɔ̃3-	
領	niən3=	
頭	dai2	
頸	ciɔ̃3-	
頸	ciən3=	
頻	biən2	
顆	kʰʊ3	
題	di2	
額	ɲiɛ̃7	
顏	ŋã2	
願	uɛ̃6	
顛	tĩ1	
類	ni6	
顧	ku5	
顫	tiɛ̃5	
顯	çĩ3	
顴	duɛ̃2	
風	xuən1	
颼	sai1	
飄	pʰiau1	
飛	xuei1	
食	ʂʅ5	
飢	ci1	～餓
飩	duən2	餛～
飯	ɣuã6	
飲	iən3	～酒
飴	i2	
飼	dzɿ6-	
飼	sɿ5=	
飽	pau3	
餃	ciau3	
餅	piɔ̃3-	
餅	piən3=	
餈	dzɿ2	
餉	çiaŋ3	
養	iaŋ3	
餐	tsʰã1	
餓	ŋʊ6-	
餓	ŋʊ5=	
餘	ʯ2	多～
餛	ɣuən2	～飩
館	kuɛ̃3	
餵	ʯ5-	飼
餵	uei5=	飼
餿	sai1	
饃	mʊ2	
饅	mã1	
饑	ci1	～荒
饒	iau2	
饞	dzã2	
首	siɯ3	
香	çiaŋ1	
馬	mɔ̃3	(又)
馬	muɔ̃3	
馮	xən2	
馱	dʊ2	拿
馳	dʐʅ2	
駁	pʊ7	
駐	tʯ5	
駒	tʯ5	
駕	ciɔ5	
駛	ʂʅ3	
駝	dʊ2	
駭	xai5	
駱	nʊ7	
騎	ɟi2	
騙	pʰĩ5	欺～
騰	diɛ̃2	
騲	tsʰau3	
騷	sau1	
騾	nʊ2	
驅	tʰʯ1	
驕	ciau1	
驗	ɲĩ5	
驚	ciən1	
驟	tsʰi5	
驢	nɯ2	
驢	niɯ2	(又)
骨	ku7	
髒	tsaŋ5	不干淨
髓	si3	
體	tʰi3	
高	kau1	
髮	xua7	頭～
髻	ci7	
鬃	tsən1	
鬃	tsuən1	(又)
鬆	sən1	放～
鬍	βu2	～鬚
鬚	si1	胡～
鬢	piən5	
鬥	tai5	～爭
鬧	nau6	
鬼	kuei3	
魁	kʰuai1	
魂	ɣuən2	
魄	pʰiɛ7	
魏	uei6-	
魏	uei5=	
魔	mʊ2	
魘	ɲĩ3	
魚	ʯ2	
魯	nɯ3	
魯	niɯ3	(又)
鮑	bau2	
鮮	ʂuɛ̃1	新～
鮮	ʂuɛ̃3	少
鯉	ni3	
鯨	ɟiən2	
鯽	tsi7	
鰓	suai1	
鰣	dʐʅ2	
鰥	kuã1-	
鰥	kuɛ̃1=	
鱉	pʰiɛ7	
鱖	kuei5	
鱗	niən2	
鳥	tiau3-	
鳥	ɲiau3=	
鳩	ciɯ1	
鳳	ɣuən6	
鳴	miən2	
鴉	ua1-	
鴉	ua5-	(又)
鴉	iɔ1=	
鴨	ŋã7	
鴻	xən2	
鴿	kʊ7	
鵝	ŋʊ2	
鵡	u3	
鵲	tsʰiʊ7	
鶯	iən1	
鶴	xʊ7	
鷂	iau6	
鷹	iən1	
鷺	nɯ6	～鷥
鷺	niɯ6	(又)～鷥
鸕	nɯ2	
鸕	niɯ2	(又)
鸚	iən1	
鸞	nuɛ̃2	
鹹	ɣã2	甜～
鹼	kã3	
鹽	ɲĩ2	
鹿	nɯ7	
鹿	niɯ7	(又)
麗	ni5	
麝	ɣiɔ6	
麥	miɛ̃7	
麩	ɸu1	
麴	cʰiɯ7	酒～
麵	mĩ6	～粉
麻	mɔ̃2	(又)
麻	muɔ̃2	
麾	xuei1	
黃	ɣaŋ2	
黍	ʂʯ3	
黎	ni2	
黑	çiɛ7	
默	miɛ̃7	
點	tĩ3	
黨	taŋ3	
鼎	tiən3	
鼓	ku3	
鼠	ʂʯ3	
鼻	pʰi5-	
鼻	bi6=	
鼾	xuɛ̃1	打～
齊	dzi2	
齋	tsa1	
齒	tʂʰʅ3	
龍	nən2	
龐	baŋ2	
龕	kʰuɛ̃1	
龜	kuei1	
𣝗	xuei5	俗作核。果～
𨃅	pa1	本字跛。～足
