#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪，地名
向	hiaŋ1	
吒	tsʰak7a	叱吒
吒	tsa1	哪吒
吔	ja1	
君	kun1	又音
君	kwɐn1	
吝	lɐn6	
吞	hɐn1	
吟	jɐm4	
吠	fi6	
否	fou2	否定
否	pʰei2	否極泰來
否	pʰi2	否極泰來，又音
否	pʰiɛ2	否極泰來，又音
吧	pa6	
吩	fɐn1	
吩	fun1	又音
含	ham4	
吭	hɔŋ1	吭聲
吭	hɔŋ4	引吭高歌
吱	tsi1	
吳	m4	
吵	tsʰau2	
吶	nap8	
吸	kʰɐp7a	
吹	tsʰui1	
吻	mɐn1	
吼	hou1	
吾	m4	
呀	ŋa1	
呂	lui2	
呂	lui5	
呃	ŋak7a	
呆	ŋɔi4	
呈	tsʰɪŋ4	
告	kau1	報告
呢	nɛ1	語氣助詞
呢	nɛ5	語氣助詞
呢	nei4	呢喃
呢	ni4	呢喃，又音
呢	niɛ4	呢喃，又音
周	tsɐu1	
呱	kwa1	
味	mei6	
味	mi6	又音
味	miɛ6	又音
呵	hɔ1	
呻	sɐn1	
呼	fu1	
命	miaŋ6	一條命
命	mɪŋ6	
咀	tui2	
咄	ʔɐt7a	
咆	pʰiau4	
和	wɔ4	和諧
和	wɔ6	唱和
咎	kɐu1	
咐	fu1	
咒	tsou1	
咕	ku1	
咖	ka1	
咚	ʔʊŋ1	
咦	ji2	
咩	mia1	
咪	mei1	
咪	mi1	又音
咪	miɛ1	又音
咫	tsi2	
咬	ŋau2	
咯	kɔk7b	咯咯笑
咯	hak7b	咯血
咯	lɔ1	
咱	tsa1	
咳	hɔi4	
咳	kʰɐt7a	咳嗽
咸	ham4	
咻	hui2	噢咻
咻	jou1	一傅眾咻
咽	jin1	
咽	jit7b	哽咽
哀	ŋɔi1	
品	pɐn2	
哄	hʊŋ1	
哇	wa1	
哈	ha1	
哉	tɔi1	
哎	ʔai2	
哞	mɐu4	
員	jin4	
哥	kɔ1	
哦	ŋɔ4	
哦	ʔɔ4	
哨	sau1	
哩	lei1	哩嚕
哩	lei4	
哩	li1	哩嚕，又音
哩	li4	又音
哩	liɛ1	哩嚕，又音
哩	liɛ4	又音
哪	na1	天哪
哪	na5	哪吒
哪	nai1	哪，哪裏
哭	hʊk7a	
哮	hiau1	
哲	tsit7b	
哺	pou6	
哺	pu6	又音
哺	puɔ6	又音
哼	haŋ1	哼歌
哼	ŋ1	
哽	kaŋ2	
唉	ʔai2	
唐	hɔŋ4	
唔	m5	
唥	laŋ1	唥衫，羊毛衫
唥	laŋ6	
唧	tɪk7a	
唬	fu2	
售	sou6	
唯	wi4	
唱	tsʰiaŋ1	
唷	jɔ1	
唸	niam6	吟誦
唸	ʔin1	
唾	hɔ1	
啁	tsɐu1	
啃	haŋ2	
啄	ʔiak7b	
商	siaŋ1	
啊	ʔa1	
問	mɐn6	
啕	hau4	
啜	tsuat7b	
啞	ŋa1	嘔啞
啞	ŋa2	聾啞
啞	ŋak7a	啞然而笑
啟	kʰɔi2	
啡	fia1	
啤	pia1	
啦	la1	
啪	pʰak7a	
啲	nit7a	一些
啼	hɔi4	
啾	tɐu1	
喀	hak7a	
喂	wi1	
喃	nam4	
善	sin6	
喇	la1	喇叭
喇	la4	語氣詞
喇	la5	喇嘛
喉	hou4	
喊	ham1	
喋	ʔiap8	
喔	wɔ1	
喘	tsʰuan2	
喙	fui1	
喚	wuan6	
喜	hei2	
喜	hi2	又音
喜	hiɛ2	又音
喝	hɔt7a	
喟	wi2	
喧	hin1	
喪	sɔŋ1	
喫	hiak7b	喫飯
喬	kʰiau4	
單	sin4	單于
單	sin6	姓單
單	ʔan1	單純
喲	jɔ1	
喳	tsa1	
喵	miau1	
喻	ji6	
嗅	tsʰɐu1	
嗆	tsʰiaŋ1	
嗇	sɪk7a	
嗎	ma1	是嗎
嗎	ma5	
嗑	hap7a	
嗓	sɔŋ2	
嗖	sou1	
嗚	wu1	
嗜	si1	
嗡	jʊŋ1	
嗣	ti6	
嗤	tsʰi1	
嗦	sɔ1	
嗨	hɔi1	
嗯	m1	
嗯	m2	
嗶	pɐt7a	
嗽	sou1	
嗽	su1	又音
嗽	suɔ1	又音
嘀	ʔɪk8	
嘅	kɛ1	
嘅	kə1	語流變讀
嘆	han1	
嘈	tʰau4	
嘉	ka1	
嘍	lou4	
嘎	kat7b	
嘔	ŋou1	嘔氣
嘔	ŋou2	嘔啞
嘔	ŋou2	嘔吐
嘖	tsak7a	
嘗	siaŋ4	
嘛	ma5	嗎啡
嘟	ʔou1	
嘩	wa1	
嘩	wa4	
嘮	lau4	
嘯	siau1	
嘰	kei1	
嘰	ki1	又音
嘰	kiɛ1	又音
嘲	tsau2	
嘴	tui2	
嘶	sɔi1	
嘹	liau4	
嘻	hei1	
嘻	hi1	又音
嘻	hiɛ1	又音
嘿	hak7a	嘿嘿
嘿	mak8	通「默」
噎	jit7b	
噓	hui1	噓寒問暖
噢	ŋau1	
器	hei1	
器	hi1	又音
器	hiɛ1	又音
噩	ŋɔk8	
噪	tʰau1	
噬	sɔi6	
噴	pʰɐn1	
噸	ʔɐn1	
噹	ʔɔŋ1	
嚀	nɪŋ4	
嚅	ji4	
嚇	hak7b	
嚎	hau4	
嚏	hɔi1	
嚐	siaŋ4	
嚕	lou1	
嚕	lu1	又音
嚕	luɔ1	又音
嚟	lei4	
嚟	li4	又音
嚟	liɛ4	又音
嚟	lɔi4	
嚥	jin1	
嚨	lʊŋ4	
嚮	hiaŋ1	
嚮	hiaŋ2	
嚴	jiam4	
嚷	jiaŋ6	
嚼	tiak7b	
囁	tsiap7b	
囂	hiau1	
囉	lɔ1	囉嗦
囉	lɔ4	嘍囉
囊	nɔŋ4	
囑	tsʊk7a	
囚	tʰɐu4	
四	sei1	
四	si1	又音
四	siɛ1	又音
回	wuai4	
因	jɐn1	
囡	nam5	困難
囪	tʰʊŋ1	
囫	fɐt7a	
囫	fut7a	又音
困	kʰun1	又音
困	kʰwɐn1	
固	ku1	
圃	pʰou2	
圃	pʰu2	又音
圃	pʰuɔ2	又音
圇	lɐn4	
圈	kin6	豬圈
圈	hin1	圓圈
國	kɔk7b	
圍	wi4	
園	juan4	
圓	juan4	
圖	hou4	
圖	hu4	又音
圖	huɔ4	又音
團	huan4	
土	hou2	
土	hu2	又音
土	huɔ2	又音
在	tɔi6	
圭	kwi1	
圮	pʰei2	
圮	pʰi2	又音
圮	pʰiɛ2	又音
地	ʔei6	
地	ʔi6	又音
地	ʔiɛ6	又音
圳	tsɐn1	
圾	sap7a	
址	tsi2	
均	kun1	又音
均	kwɐn1	
坊	fɔŋ1	街坊
坊	fɔŋ4	堤坊
坎	ham2	
坏	pʰui1	
坐	tɔ6	
坐	tʰɔ1	
坑	haŋ1	
坡	pɔ1	
坤	kʰun1	又音
坤	kʰwɐn1	
坦	han2	
坪	pʰɪŋ4	
坭	nɛ4	紫坭，地名
坷	hɔ2	
坼	tsʰak7b	
垂	sui4	
垃	lap8	
型	jɪŋ4	
垠	ŋɐn4	
垢	kou1	
垣	fuan4	
垮	kʰwa1	
埂	kaŋ2	
埃	ŋɔi1	
埋	mai4	
城	siaŋ4	白讀
城	sɪŋ4	
埔	pou1	
埔	pu1	又音
埔	puɔ1	又音
埕	tsʰɪŋ4	
域	wɪk8	
埠	pou6	埠頭
埠	fou6	商埠
埡	ŋa1	
執	tsɐp7a	
培	pʰuai4	
基	kei1	
基	ki1	又音
基	kiɛ1	又音
堂	hɔŋ4	
堅	kin1	
堆	ʔui1	
堆	ʔui5	變調；沙堆，地名
堊	ŋɔk7b	
堡	pau2	
堤	hɔi4	
堪	ham1	
堯	jiau4	
堰	jin2	
報	pau1	
場	tsʰiaŋ4	
堵	ʔou2	
堵	ʔu2	又音
堵	ʔuɔ2	又音
塊	fai1	
塌	hap7b	
塑	sɔk7b	塑料
塑	sou1	塑造
塑	su1	塑造，又音
塑	suɔ1	塑造，又音
塔	hap7b	
塗	hou4	
塗	hu4	又音
塗	huɔ4	又音
塘	hɔŋ4	
塚	tsʰʊŋ2	
塞	sak7a	塞車
塞	tʰɔi1	塞外
塢	ŋou1	船塢
塢	wu2	山塢
填	hin4	
塭	wɐn1	
塭	wun1	又音
塵	tsʰɐn4	
塹	tʰiam1	
塾	sʊk8	
境	kɪŋ2	
墅	jia5	
墅	sui6	
墊	tin1	白讀
墊	ʔin1	
墓	mou6	
墓	mu6	又音
墓	muɔ6	又音
墜	tsui6	
增	taŋ1	
墟	hui1	
墟	hui4	
墨	mak8	
墩	ʔɐn1	
墮	ʔɔ6	
墳	fɐn4	
墳	fun4	又音
墾	hɐn2	
壁	pɪk7b	
壇	han4	
壑	hɔk7b	
壑	kʰɔk7b	
壓	ŋat7b	
壘	lɐt8	神荼鬱壘
壘	lui2	深壘，地名
壘	lui5	堡壘
壞	wai6	
壟	lʊŋ5	
壤	jiaŋ6	
壩	pa1	
士	si6	
壬	jɐm4	
壯	tsɔŋ1	
壹	jɐt7a	
壺	wu4	
壼	kʰun2	又音
壼	kʰwɐn2	
壽	sou6	
夏	ha6	
夕	tɪk8	
外	ŋɔi6	
夙	sʊk7a	
多	ʔɔ1	
夜	jia6	
夠	kou1	
夢	mʊŋ6	
夥	fɔ2	
大	ʔai6	
天	hin1	
太	hai1	
夫	fu1	農夫
夫	fu4	
夭	jiau1	
央	jiaŋ1	
失	sɐt7a	
夷	ji4	
夸	kʰwa1	
夾	kɛp9	變調
夾	kɛp7b	
奄	jiam1	奄有
奄	jiam2	奄奄一息
奇	kei1	奇數
奇	ki1	奇數，又音
奇	kiɛ1	奇數，又音
奇	kʰei4	奇怪
奇	kʰi4	奇怪，又音
奇	kʰiɛ4	奇怪，又音
奈	nɔi6	
奉	fʊŋ6	
奏	tou1	
奐	wuan6	
契	kʰit7b	契丹
契	kʰɔi1	契約
契	sit7b	
奔	pɐn1	
奕	jɪk8	
套	hau1	
奘	tɔŋ6	
奚	hɔi4	
奠	ʔin6	
奢	tsʰia1	
奧	ŋau1	
奪	ʔuat8	
奮	fɐn1	
奮	fɐn6	
奮	fun1	又音
奮	fun6	又音
女	nui2	
奴	nou4	
奴	nu4	又音
奴	nuɔ4	又音
奶	nai5	
奸	kan1	
她	ha1	
奼	tsʰa1	
好	hau1	好客
好	hau2	友好
如	ji4	古代第一人稱
妃	fi1	
妄	mɔŋ6	
妍	jin4	
妒	ʔou6	
妒	ʔu6	又音
妒	ʔuɔ6	又音
妓	kei6	
妓	ki6	又音
妓	kiɛ6	又音
妖	jiau2	
妙	miau6	
妝	tsɔŋ1	
妞	nɐu2	
妣	pei2	
妣	pi2	又音
妣	piɛ2	又音
妥	hɔ1	
妨	fɔŋ4	
妮	nei4	
妮	ni4	又音
妮	niɛ4	又音
妳	nei1	
妳	ni1	又音
妳	niɛ1	又音
妹	muai6	
妻	tʰɔi1	
妾	tʰiap7b	
姆	mou5	
姆	mu5	又音
姆	muɔ5	又音
姊	tei2	姐姐，白讀
姊	ti2	
始	tsʰi2	
姍	san1	
姐	tia2	
姑	ku1	
姒	tʰi1	
姓	sɪŋ1	
委	wi1	虛與委蛇，委委佗佗
委	wi2	委託
姚	jiau4	
姜	kiaŋ1	
姦	kan1	
姨	ji4	
姪	tsɐt8	
姬	kei1	
姬	ki1	又音
姬	kiɛ1	又音
姻	jɐn1	
姿	ti1	
威	wi1	
娃	wa1	
娑	sɔ1	
娓	mei2	
娓	mi2	又音
娓	miɛ2	又音
娘	niaŋ4	
娛	ji4	
娜	na4	
娜	nɔ5	
娟	kin1	
娥	ŋɔ4	
娶	tʰou2	娶老婆、娶新婦
娶	tʰu2	娶老婆、娶新婦，又音
娶	tʰui2	
娶	tʰuɔ2	娶老婆、娶新婦，又音
婆	pʰɔ4	
婉	juan2	
婚	fɐn1	
婚	fun1	又音
婢	pʰei1	
婢	pʰei2	
婢	pʰi1	又音
婢	pʰi2	又音
婢	pʰiɛ1	又音
婢	pʰiɛ2	又音
婦	fu1	
婦	pʰou5	新婦，新娘
婦	pʰu4	新婦，新娘，又音
婦	pʰuɔ5	新婦，新娘，又音
婪	lam4	
婷	hɪŋ4	
婺	mou6	
婺	mu6	又音
婺	muɔ6	又音
婿	sɔi1	
媒	muai4	
媚	mei6	
媚	mi6	又音
媚	miɛ6	又音
媧	wɔ1	
媲	pʰei1	
媲	pʰi1	又音
媲	pʰiɛ1	又音
媳	sɪk7a	
媽	ma1	
媽	ma2	
嫁	ka1	
嫂	sau2	
嫉	tɐt8	
嫌	jiam4	
嫗	ji2	
嫣	jin1	
嫦	siaŋ4	
嫩	nɐn6	
嫻	han4	
嬉	hei1	
嬉	hi1	又音
嬉	hiɛ1	又音
嬌	kiau1	
嬛	hin1	便嬛
嬛	kʰɪŋ4	美好
嬛	wan4	嫏嬛
嬤	ma1	
嬰	jɪŋ1	
嬸	sɐm2	
子	ti2	
孔	hʊŋ2	
孔	kʰʊŋ2	又音
孕	jɐn6	
字	ti6	
存	tʰɐn4	
孜	ti1	
孝	hiau1	
孟	maŋ6	
孢	piau1	
季	kwi1	
孤	ku1	
孩	hai4	
孫	sɐn1	
孰	sʊk8	
孵	fu1	
學	hɔk8	
孺	ji4	
它	ha1	
宅	tsak8	
宇	ji5	
守	sou2	
安	ŋɔn1	
宋	sʊŋ1	
完	juan4	
宏	waŋ4	
宕	ʔɔŋ6	
宗	tʊŋ1	
官	kuan1	
宙	tsɐu6	
定	ʔiaŋ6	落定，白讀
定	ʔɪŋ6	安定
宛	juan1	大宛
宛	juan2	宛然
宜	ji4	
客	hak7a	
宣	sin1	
室	sɐt7a	
宮	kʊŋ1	
宰	tɔi2	
害	hɔi6	
宴	jin1	
宵	siau1	
家	ka1	家人
家	ku1	曹大家
宸	sɐn4	
容	jʊŋ4	
宿	sɐu1	星宿
宿	sʊk7a	住宿
寂	tɪk8	
寄	kei1	
寄	ki1	又音
寄	kiɛ1	又音
寅	jɐn4	
密	mɐt8	
寇	kʰou1	
富	fu1	
寐	mei6	
寐	mi6	又音
寐	miɛ6	又音
寒	hɔn4	
寓	ji6	
寞	mɔk8	
察	tsʰat7b	
寡	kwa2	
寢	tʰɐm2	
寤	m6	
寥	liau4	
實	sɐt8	
寧	nɪŋ4	
寨	tsai6	
審	sɐm2	
寫	sia2	
寬	fuan1	
寮	liau4	
寰	wan4	
寵	tsʰʊŋ2	
寶	pau2	
寸	tʰɐn1	
寺	ti6	
封	fʊŋ1	
射	jia6	僕射
射	jɪk8	
射	sia6	發射
射	sɪk8	
將	tiaŋ1	將來
專	tsuan1	
尉	ji6	尉遲
尉	wɐt7a	
尉	wi1	
尉	wut7a	又音
尊	tɐn1	
尋	tʰɐm4	
對	ʔui1	
導	ʔau6	
小	siau2	
少	siau1	年少
少	siau2	多少
尖	tiam1	
尚	siaŋ6	
尤	jou4	
尬	kai1	
就	tɐu6	
就	ʔa2	
