#漢字	音標	解釋
□	sã7	～話，打斷別人的話
娃	ua1	
娉	pʰɛn1	
娌	li3	
娑	so1	
娘	niũ2-	
娘	liaŋ2	
娛	ɡi2	
娜	no1	
娜	no3	
娣	tei6	
娥	ŋo2	
娩	bɛn3	
娶	tsʰua6-	
娶	tsʰi5	
娼	tsʰiaŋ1	
婆	po1	
婆	po2	
婉	uan3	
婊	piau3	
婘	kuan2	
婚	hun1	
婢	pi6	
婦	pu6-	
婦	hu6	
婪	lam1	
婷	tɛn2	
婿	sai5	
媒	bue2	
媛	uan6	
媧	o1	
媽	m3	
媾	kou5	
嫁	kɛ5	
嫂	so3	
嫉	tsit8	
嫌	hiam2	
嫖	pʰiau2	
嫗	au3-	
嫗	ou3	
嫠	li2	
嫡	tɛt7	
嫩	tsĩ3	訓
嫪	lo6	
嫫	bou2	
嫵	bu3	
嫻	han2	
嬈	dziau2	
嬋	sɛn2	
嬌	kiau1	
嬖	pi5	
嬗	sɛn6	
嬙	tsʰiaŋ2	
嬪	pin6	
嬰	ɛn1	
嬸	sim3	
孀	soŋ1	
子	tsu3	
孑	kʰɛt7	
孔	kʰoŋ3	
字	dzi6	
存	tsun2	
孚	hu1	
孝	h5-	帶～
孝	hau5	
孟	bɛn6	
季	kui5	
孤	kou1	
孩	hai2	
孫	suĩ1-	姓
孫	sun1	
孰	siok8	
孵	pu6-	
學	oʔ8-	
學	hak8	
孽	ɡɛt8	
它	tʰo1	
宄	kui3	
宅	tʰɛʔ8	
宅	tʰɛt8	
守	siu3	
安	uã1-	
安	an1	
宋	soŋ5	
完	uan2	
宏	hoŋ2	
宓	bit8	
宕	toŋ6	
宗	tsoŋ1	
官	kuã1-	
官	kuan1	
宙	tiu6	
定	tiã6-	
定	tɛn6	
宛	uan3	
宜	ɡi2	
客	kʰɛʔ7-	
客	kʰo5	
客	kʰɛt7	
宣	suan1	
室	sit7	
宥	iu6	
宦	huan6	
宮	kioŋ1	
宰	tsai3	
害	hai6	
宴	ɛn5	
宵	siau1	
家	kɛ1	
容	ioŋ2	
宿	siu5	星～
宿	siok7	
寂	tsɛt8	
寄	kia5-	
寄	ki5	
寅	in2	
密	bat8-	
密	bit8	
寇	kʰou5	
富	pu5-	
富	hu5	
寐	bi6	
寒	kuã2-	
寒	han2	
察	tsʰat7	
寡	kuã3	
寡	kuĩ3	
寢	tsʰim3	
寤	ɡou6-	
寥	liau2	
實	sit8	
寧	lɛn2	
寨	tsɛ6	
審	sim3	
寫	sia3	
寬	kʰuĩ1-	～一行
寬	kʰuã1	～行
寬	kʰuan1	
寵	tʰioŋ3	
寶	po3	
寸	tsʰun5	
寺	si6	
封	hoŋ1	
射	sia6	
將	tsiaŋ1	
專	tsuan1	
尉	ui1	
尊	tsun1	
尋	sim2	
尋	siam2	兩手量物
對	tui5	
導	to6	
小	sio3-	
小	siau3	
少	tsio3-	
少	siau3	
少	siau5	
尖	tsiam1	
尚	siũ6-	和～
尚	siaŋ6	
尤	iu2	
就	tsiu6	
尺	tsʰioʔ7-	
尼	ni2	
尾	bue3-	
尾	bi3	
尿	dzio6-	
尿	niau6	
局	kiok8	
屁	pʰui5-	
屁	pʰi5	
居	ki1	
屆	kai5	
屈	kʰut7	
屋	ok7	
屍	si1	
屎	sai3	
屏	pɛn2	
屏	pin2	
屐	kɛt8	
屐	kiaʔ8	
屑	sap7	
屑	siak7	
展	tɛn3	
屙	o1	
屜	tʰuaʔ7-	
屠	tou2	
層	tsan2-	
層	tsɛn2	
履	li3	
屯	tun2	
屯	tun6	
山	suã1-	
山	san1	
屹	ɡit8	
岌	kip8	
岑	ɡim2	
岔	tsʰɛ1	
岡	koŋ1	
岩	nã2	龍～，地名
岩	ɡiam2	
岫	siu6	
岱	tai6	
岷	bin2	
岸	huã6-	
岸	ɡan6	
峯	hoŋ1	
峴	hɛn3	
島	to3	
峻	tsun5	
峽	kiap7	
崇	tsoŋ2	
崎	kia6-	
崎	ki2	
崔	tsʰui1	
崖	ɡai2	
崙	lun6	
崤	ŋau2	
崩	paŋ1-	
崩	pɛn1	
崽	tsai3	
嵇	kei1	
嵋	bi2	
嵐	lam2	
嵩	sioŋ1	
嵬	ɡui2	
嵼	suã2	
嶄	tsam3	
嶠	kiau1	
嶸	ɛn2	
嶺	niã3-	
嶺	lɛn3	
嶽	ɡak8	
巉	tsʰam2	
巍	kiaŋ1	
巍	ɡui2	
巔	tɛn1	
川	tsʰuan1	
州	tsiu1	
巡	sun2	
巢	tsau2	
工	kaŋ1-	
工	koŋ1	
左	tso3	
巧	kʰ3	
巧	kʰiau3	
巨	ki6	
差	tsʰ1	
差	tsʰɛ1	出～
己	ki3	
已	i3	
巳	tsi6	
巷	haŋ6	
巽	sun5	
巾	kin1	
市	tsʰi6	
布	pou5	
希	hi1	
帔	pʰi1	
帔	tsɛt7	
帕	pʰ5-	
帕	pʰɛ5	
帖	tʰiap7	
帚	tsiu3	
帛	pɛt8	
帝	tei5	
帥	sue5	
師	sai1-	
師	su1	
席	sɛt8	
席	tsʰioʔ8	草～
帳	tiũ5-	
帳	tiaŋ1	
帶	tua5-	
帶	tai5	
帷	ui2	
常	siaŋ2	
帽	bo6-	
帽	kok7	
幄	ak7	
幅	pak7-	
幔	muã1-	
幔	ban6	
幕	bou6	
幟	tsi5	
幣	pi6	
幫	paŋ1	
平	pĩ2-	～路
平	pʰɛn2	
年	nĩ2-	
年	lɛn2	
幸	hɛn6	
幹	kan3	
幻	huan5	
幼	iu5	
幽	iu1	
幾	ki3	
庇	pi5	
牀	tsʰŋ2-	
牀	tsʰoŋ2	
序	si6	
底	tei3-	
底	ti3	
庖	pau2	
店	tiam5	
庚	kĩ1-	
庚	kɛn1	
府	hu3	
庥	hiu1	
度	tou6	
座	tso6	
庫	kʰou5	
庵	am1	
庶	si5	
康	kʰŋ1-	姓
康	kʰoŋ1	
庸	ioŋ2	
廁	tsʰɛ5-	
廂	siũ1-	
廈	hɛ6	
廉	liam2	
廊	loŋ2	
廖	liau6	
廚	tu2	
廟	bio6-	
廟	biau6	
廠	tsʰiaŋ3	
廢	hui5	
廣	kuĩ3-	～東
廣	koŋ3	
廩	lim3	
廳	tʰiã1-	
廳	tʰɛn1	
延	ɛn2	
廷	tɛn2	
建	kɛn5	
弄	laŋ6-	
弄	loŋ6	
弊	pi6	
弋	ɛt8	
弓	kioŋ1	
弗	hut7	
弛	si3	
弟	tei6	
弢	tʰo1	
弦	hĩ2-	
弦	hɛn2	
弱	dziak8	
弱	dziok8	
張	tiũ1-	姓
張	tiaŋ1	
強	kiaŋ2	
強	kiaŋ3	
弼	pit8	
彈	tuã2-	～棉花
彈	tuã6-	
彈	tʰan2	
彎	uan1	
形	hɛn2	
彤	toŋ2	
彥	ɡan6	
彧	hiok7	
彩	tsʰai3	
彪	piu1	
彬	pin1	
彭	pʰɛn2	
影	iã3-	
影	ɛn3	
役	ɛt8	
役	iaʔ8	
往	oŋ3	
征	tsɛn1	
待	tʰai6	
很	hin3	
律	lut8	
後	au3-	
後	hau6	生～
徐	tʰou2	
徐	tsʰi2	
徑	kɛn5	
得	tit7-	
得	tɛt7	
徛	kʰia6	
從	tsioŋ2	
從	tsioŋ6	～兄弟
循	sun2	
徭	iau2	
微	hui1	
微	bi2	
徵	tin1	
德	tɛt7	
徹	tʰɛt7	
心	sim1	
必	pit7	
忌	ki6	
忍	lun3-	
忍	dzim1	
忐	tʰam3	
忑	tʰɛt7	
忖	tsʰun3	
志	tsi5	
忘	boŋ1	
忙	boŋ1	
忙	baŋ2	
忝	tʰiam3	
忠	tioŋ1	
快	kʰuai5	
快	kʰuã5	～活
忱	sim2	
念	liam5	
忻	him1	
忽	hut7	
怏	iaŋ5	
怒	nou6	
怕	pʰã5	
怖	pou5	
怙	kou6	
思	su1	
怠	tai6	
怡	i2	
急	kip7	
性	sɛn5	
怨	uan5	
怪	kuɛ5-	相～
怪	kuai5	
怯	kʰiap7	
怯	kʰiak7	
怵	tʰut7	
恁	lin3-	
恁	dzim1	
恍	hoŋ3	
恐	kʰioŋ3	
恆	hɛn2	
恙	iaŋ6	
恤	sut7	
恥	tʰi3	
恨	hin6	
恩	in1	
恪	kʰak7	
恬	tiam2	
恬	tʰiam2	
恭	kioŋ1	
息	sit7	
恰	kʰap7	
悄	tsʰiau3	
悋	lin6	
悌	tei6	
悍	han3	
悒	ip7	
悚	sioŋ3	
悟	ŋou6	
患	huan6	
您	lin3	
悲	pi1	
悴	tsui6	
悵	tsʰiaŋ1	
悶	bun6	
悸	kʰui5	
情	tsiã2-	親～，親戚
情	tsɛn2	
惑	hɛt8	
惓	kʰuan2	
惕	tʰɛt7	
惘	boŋ3	
惚	hut7	
惜	sioʔ7-	
惜	sɛt7	
惠	hui6	
惡	oʔ7-	
惡	ou5	
惡	ok7	
惰	to6	
惱	lo3-	煩～
惱	nau3	
想	siũ6-	
想	siaŋ3	
惴	tsʰui3	
惹	dzia3	
惺	sɛn1	
愁	tsʰiu2	
愆	kʰɛn1	
愈	dzi3	
愉	dzi2	
意	i5	
愕	ɡok8	
愚	ɡi2	
愛	ai5	
愜	kiap7	
感	kam3	
愧	kʰui5	
愴	tsʰoŋ3	
愾	kʰai5	
慄	lɛt7	
慈	tsu2	
慊	kʰiam3	
態	tʰai5	
慍	un5	
慎	sin6	
慕	bou6	
慘	tsʰam3	
慚	tsʰam2	
慟	toŋ6	
慢	ban6	
慧	hui6	
慨	kʰai5	
慮	li6	
慰	ui1	
慵	ioŋ2	
慶	kʰɛn5	
慷	kʰoŋ3	
慾	iok8	
憂	iu1	
憂	bu3	
憑	pin2	
憔	tsiau2	
憚	tan6	
憫	bin3	
憲	hɛn5	
憶	ɛt7	
憾	ham6	
懂	toŋ3	
懇	kʰun3	
懈	hai6	
應	ɛn5	
懊	o5	
懣	buan3	
懦	no2	
懶	lan3	
懷	huai2	
懸	kuan2-	
懸	hɛn2	
懺	tsʰam5	
懼	ki6	
懿	i5	
戀	luan2	
戀	luan3	
戇	ɡoŋ6	
戌	sut7	
戍	sui5	
戎	dzioŋ2	
成	tsiã2-	～人
成	sɛn2	
我	ɡua3-	
我	ŋo3	
我	ŋou3	
戒	kai5	
戕	tsʰiaŋ2	
或	hɛt8	
戚	tsʰɛt7	
戟	kɛt7	
戡	kʰam1	
戥	tɛn3	
截	tsɛt8	
戰	tsɛn5	
戲	hi5	
戴	tai5	
戴	tei5	姓
戴	ti5	～帽
戾	lei6	
房	paŋ2-	
房	poŋ2	
所	sei3	
扁	pĩ3-	
扇	sĩ5-	
扇	sɛn5	
扉	hui1	
手	tsʰiu3-	
手	siu3	
才	tsai2	
才	tsʰai2	
扒	pɛ1	～飯
打	tã3	
托	tʰok7	
扛	kŋ1-	
扡	tsʰap7	
扣	kʰ5-	
扣	kʰau5	
扣	kʰou5	
扭	niu3	
扮	pan3	
扯	tsʰe3	～皮
扳	pan1	
扳	pʰan1	
扶	hu2	
批	pʰei1	
批	pi3	
找	tsau1	
承	sin2	
抄	tsʰau1	
抉	kuat7	
把	pɛ3-	
