#漢字	音標	解釋
□	sã7	～話，打斷別人的話
積	tsɛt7	
穎	ɛn3	
穗	sui6-	
穡	sɛt7	
穩	un3	
穴	hɛt8	
究	kiu5	
穹	kʰioŋ1	
空	kʰaŋ1	
空	kʰoŋ1	
穿	tsʰuĩ1-	
穿	tsʰuan1	
突	tut8	
窆	pɛn5	
窈	iau3	
窕	tʰiau3	
窖	k5	
窗	tʰaŋ1-	
窗	tsʰoŋ1	
窘	kʰun3	
窟	kʰut7	
窩	o1	
窪	ua1	
窮	kioŋ2	
窯	io2-	
窯	iau2	
窺	kui1	
窿	lioŋ2	
竄	tsʰuan5	
竅	kʰiau5	
竊	tsʰiap7	
立	lip8	
站	tsam6	
竟	kɛn3	
章	tsiũ1-	
章	tsiaŋ1	
竣	tsun5	
童	toŋ2	
童	toŋ3	
竦	sioŋ3	
竭	kɛt8	
端	tuan1	
競	kɛn6	
竹	tiok7	
竺	tiok7	
竿	kan1	
笄	kei1	
笈	kʰip7	
笊	tsau1	
笏	hut7	
笑	tsʰio5-	
笑	tsʰiau5	
笞	tʰi1	
笠	leʔ8-	
笤	tiau2	
符	hu2	
笨	pun6	
第	tei6	
筆	pit7	
筇	ɡioŋ2	
等	tan3-	
等	tɛn3	
筋	kin1	
筍	sun3	
筐	kʰoŋ1	
筒	taŋ2-	
答	taʔ7-	～應
答	tap7	
策	tsʰɛt7	
筧	kɛn3	
箋	tsɛn1	
箍	kʰou1	
箔	poʔ8-	
算	suĩ5-	
算	suan5	
箝	kʰiam2	
管	kuan3	
箭	tsĩ5-	
箭	tsɛn5	
箱	siũ1-	
箴	tsom1	
箸	ti6	
節	tseʔ7-	
節	tsat7-	
節	tsɛt7	
範	huan6	
篆	tuan6	
篇	pʰĩ1-	
篇	pʰɛn1	
築	tiok7	
篋	kʰeʔ7	
篋	kiap7	
篌	hou2	
篙	ko1	
篡	tsʰuan5	
篤	tok7	
篦	pin5	
篩	tʰai1	～米
篷	pʰaŋ2-	
篾	biʔ8-	
簇	tsʰak7	
簇	tsʰok7	
簞	tan1	
簟	tiam6	
簡	kan3	
簪	tsam1	
簷	iam2	
簸	pua5-	
簸	po5	
簽	tsʰiam1	
簾	liam2	
簿	pʰou6	
籃	nã2-	
籃	lam2	
籌	tiu2	
籍	tsɛt8	
籗	kʰaʔ7	捕魚籠
籜	tʰok7	
籟	nai6	
籠	laŋ2-	
籠	laŋ3-	箱～
籠	loŋ1-	監牢
籠	loŋ2	
籬	li2	
籮	lua2	
籮	lo8	
米	bi3	
粉	hun3	
粒	liap8	
粕	pʰo6-	
粗	tsʰou1	
粵	uat8	
粼	lin2	
糉	tsaŋ5-	
糉	tsoŋ5	
精	tsɛn1	
精	tsiã1	妖～
粿	kue3	
糊	kou2	～紙
糊	hou2	
糕	ko1	
糖	tʰŋ2-	
糖	tʰoŋ2	
糙	tsʰo5	
糜	mɛ2	稀飯
糝	sam3	
糞	pun5-	
糞	hun5	
糟	tsau1	
糠	kʰŋ1-	
糧	niũ2-	
糧	liaŋ2	
糯	no2	
糴	tiaʔ8-	
糶	tʰio5-	
糶	tʰiau5	
系	hei6	
糾	kiu3	
紂	tiu6	
約	iak7	
紅	aŋ2-	
紅	hoŋ2	
紇	ɡit8	
紈	uan2	
紉	dzim6	
紋	bun2	
納	l5	～涼
納	lap8	
紐	niu3	
純	sun2	
紕	pʰei1	
紗	sɛ1	
紙	tsua3-	
紙	tsi3	
級	kip7	
紛	hun1	
紡	pʰaŋ3-	
索	soʔ7-	
紫	tsi3	
紮	tsap7	
累	lui3	積～
累	lui6	拖～
細	sei5	
紱	hut7	
紳	sin1	
紵	tʰi3	
紹	siau6	
終	tsioŋ1	
組	tsou3	
絆	puã6-	
絆	puan5	
結	kat7-	
結	kɛt7	
絕	tseʔ8-	
絕	tsuat8	
絞	k3-	
絡	lok8	
絢	hɛn5	
給	kip7	
絨	dzioŋ2	
絮	si5	
統	tʰoŋ3	
絲	si1	
絳	kaŋ5	
絹	kin5	
綁	paŋ3	
經	kĩ1-	
經	kɛn1	
綜	tsoŋ3	
綠	liok8	
綢	tiu2	
綣	kʰuan3	
維	ui2	
網	baŋ6-	
網	boŋ3	
綴	tuat7	
綸	lun2	
綽	tsʰiak7	
綿	bɛn2	
緊	kin3	
緖	si6	
緘	kiam1	
線	suã5-	
線	san5	
線	sɛn5	
緝	kiaŋ1	
緝	tsʰip7	
緞	tuan6	
締	tei5	
緡	bɛn2	
緣	ɛn2	
編	pɛn1	
緩	uãi6-	
緩	un2-	
緩	uan6	
緬	bɛn3	
緲	biau3	
練	lɛn6	
緻	ti5	
縊	ai5	
縐	dziau1-	
縛	pak8-	
縛	pok8	
縞	ko3	
縣	hɛn6	
縣	kuan6	
縫	paŋ2-	
縫	hoŋ2	
縫	pʰaŋ6	裂～
縱	tsʰioŋ5	
縹	pʰiau1	
總	tsoŋ3	
績	tsɛʔ7-	紡～
績	tsɛt7	
繁	huan2	
繆	biu2	
繆	bok8	
繈	kiaŋ3	
織	tsit7	
繚	liau3	
繞	dziau3	
繡	siu5	
繳	kiau3	
繼	kei5	
繽	pʰin1	
纂	tsʰuan5	
續	siok8	
纏	tĩ2-	
纏	tɛn2	
纓	ɛn1	
纘	tsan5	
缸	koŋ1	
缺	kʰi7-	～角
缺	kʰueʔ7-	
缺	kʰuat7	
缽	puaʔ7	
缽	puat7	
罄	kʰɛn5	
罐	kuan5	
罔	boŋ3	
罕	han3	
罩	t5	
罪	tsue6	
置	ti5	
罰	huat8	
罵	m1	
羅	lo8	
羊	iũ2-	
羊	iaŋ2	
羌	kiaŋ1	
美	bi3	
羝	tei1	
羞	siu1	
羣	kʰun2	
羨	ɛn6	
羨	suan6	
義	ɡi6	
羯	kɛt7	
羹	kɛn1	
羽	u3	
羿	ɡei6	
翁	aŋ1-	～婆
翁	oŋ1	
翅	tsʰi5	
翊	ɛt8	
翎	tok8	
習	sip8	
翔	siaŋ2	
翗	ko2	
翟	tɛt8	
翠	tsʰui5	
翩	pʰɛn1	
翰	han3	
翳	i5	
翹	kʰiau5	
翻	huan1	
翼	ɛt8	
耀	iau6	
老	lau3-	～練
老	lau6-	
老	lo3	
考	kʰo3	
耄	mo6	
者	tsia3	
耋	tɛt8	
而	dzi2	
耍	sua3	
耐	nai6	
耑	tsuan1	
耘	in2	
耙	pɛ2	
耳	hĩ6-	
耳	dzi3	
耽	tam1	
耿	kɛn3	
聊	liau2	
聖	siã5-	靈驗
聖	sɛn5	
聘	pʰɛn5	
聚	tsi6	
聯	lɛn2	
聲	siã1-	
聲	sɛn1	
聳	sioŋ3	
聶	liap7	
職	tsit7	
聽	tʰiã1-	
聽	tʰɛn1	
聽	tʰɛn5	
聾	loŋ2	
聿	it8	
肅	siok7	
肆	si5	
肇	tiau6	
肉	baʔ7	訓
肉	dziok8	
肋	lɛt8	
肌	ki1	
肖	siau5	
肚	tou6	
肝	kuã1-	
肝	kan1	
股	kou3	
肥	pui2-	
肥	hui2	
肩	kɛn1	
骯	aŋ1	
肯	kʰan3-	
肯	kʰɛn3	
育	iok8	
肴	ŋau2	
肺	hui5	
胃	ui6	
胄	tiu6	
背	pue5	
背	pue6	違～
胎	tʰe1-	
胎	tʰai1	
胖	pʰaŋ5	
胙	tsou6	
胚	pʰue1-	
胛	kaʔ7	
胞	pau1	
胡	ou2	
胭	ɛn1	
胰	i2	
胳	koʔ7	
胳	kok7	
胸	hioŋ1	
能	lɛn2	
脂	tsi1	
脅	hiap8	
脆	tsʰe5-	
脆	tsʰui5	
脈	bɛt8	
脊	tsit7	
脫	tʰuat7	
脬	pʰ1	～囊
脹	tiũ5-	
脹	tiaŋ1	
脾	pi2	
脾	pʰi2	～氣
腆	tʰɛn3	
腎	sin6	
腐	hu3	
腐	hu6	豆～
腑	hu3	
腔	kʰiũ1-	
腔	kʰiaŋ1	
腕	uan3	
腥	sɛn1	
腦	nau3	
腫	tsioŋ3	
腮	sai1	
腰	io1-	
腰	iau1	
腱	kɛn6	
腳	kioʔ7-	
腸	tŋ2-	
腸	tsʰiaŋ2	
腹	pak7-	
腹	hok7	
腿	tʰui3	
膊	pʰok7	
膏	ko1	
膘	piau1	
膚	hu1	
膜	mo8	
膠	k1	
膩	dzi6	
膽	tã3-	
膽	tam3	
膿	laŋ2-	
臀	tun2	
臂	pi5	
臉	liam3	
臊	tsʰo1	
臍	tsai2	
臍	tsei2	
臏	pin6	
臘	laʔ8	
臘	lap8	
臟	tsoŋ6	
臣	sin2	
臥	ŋo6	
臨	lim2	
自	dzu6	
臬	ɡɛt8	
臭	tsʰau1-	
臭	hiu5	
至	tsi5	
致	ti5	
臺	tai2	
臼	kʰu6-	
臼	kiu6	
舀	io3-	
舀	iau3	
舂	tsioŋ1	
舅	ku6-	
舅	kiu6	
與	i3	
興	hin1-	
興	hɛn1	
興	hɛn5	
舉	ki3	
舊	ku6-	
舊	kiu6	
舌	tsiʔ8-	
舌	sɛt8	
舍	sia5	
舒	si1	
舛	tsʰun3	
舜	sun5	
舞	bu3	
舟	tsiu1	
舨	pan3	
舨	puan3	
航	haŋ2	
般	puã1-	
般	puan1	
舵	tua6-	
舵	to6	
舶	pɛt8	
船	tsun2-	
船	tsʰuan2	
艇	pɛn3	
艇	tʰɛn3	
艙	tsʰŋ1-	
艦	lam6	
艮	kin5	
良	liaŋ2	
艱	kan1	
色	sɛt7	
艾	hiã6-	
艾	ŋai6	
芋	ou6-	
芍	tsiak7	
芎	kʰioŋ1	
芒	boŋ1	
芙	hu2	
芝	tsi1	
芡	kʰiam5	
芥	kua5-	
芥	kai5	
芬	hun1	
芯	sim1	
花	huɛ1	
芳	pʰaŋ1-	
芳	hoŋ1	
芷	tsi3	
芸	in2	
芸	tiaŋ2	
芹	kʰin2	
芻	tsou1	
芽	ɡɛ2	
苒	dziam3	
苓	ɡim2	
苔	tʰi2-	青～
苔	tʰai1	
苗	biau2	
苞	pau2	
若	nã6-	～是
若	dziak8	
苦	kʰou3	
苫	tsiam1	
英	ɛn1	
茁	tsuat7	
茂	bou6	
茄	kio2-	
茅	mau2	
茅	hm2	黃～
茆	bau3	
茗	bɛn3	
茜	tsʰɛn5	
茫	boŋ1	
茯	hok8	
茲	tsu1	
茵	in1	
茶	tɛ2	
茸	dzioŋ2	
草	tsʰau3-	
草	tsʰo3	
荊	kiũ1-	蒲～
荊	kɛn1	
荏	dzim1	
荒	huĩ1-	
荒	hoŋ1	
荔	lei6	
荷	ho2	
荼	tou2	
荽	sui1	
莆	pou2	
莊	tsŋ1-	
莊	tsoŋ1	
莎	so1	
莓	bue2	
莠	iu3	
莢	keʔ7	
莢	kiap7	
莧	hɛn6-	
莫	bok8	
莽	boŋ3	
菁	tsɛn1	
菊	kiok7	
菌	kʰun1	
菜	tsʰai5	
菟	tʰou1	
菠	po1	
菩	pʰou2	
華	huɛ1	
菰	kou1	
菽	siok7	
萄	to2	
萊	lai2	
萋	tsʰei1	
萍	pʰɛn2	
萬	ban6	
萬	bok8	複姓，萬俟
萱	suan1	
落	loʔ8-	
落	lau5-	
落	lok8	
葉	hioʔ8-	
葉	iap8	姓
著	tioʔ8-	
著	ti5	
著	tsiak8	
葚	sim2	
葛	kuaʔ7-	～根
葛	kat7	
董	taŋ3-	姓
葦	ui3	
葬	tsoŋ5	
葳	ui1	
葵	kue2-	～扇
葵	kui2	
蒙	boŋ1	
蒜	suan5	
蒯	kuai3	
蒲	pou2	
蒸	tsin1	
蒹	kiam1	
蒺	tsit8	
蒼	tsʰaŋ1-	
蒼	tsʰoŋ1	
蒿	ho1	
蒿	o1	
蓀	sun1	
蓄	hiok7	
蓋	kua5-	
蓋	ko1	
蓋	kai5	
蓑	sui1	
蓬	pʰoŋ2	
蓮	lɛn2	
蓯	tsʰioŋ1	
蓼	liau3	
蔑	bɛt8	
蔓	ban6	
蔔	pok7	
蔗	tsia5	
蔡	tsʰai5	
蔡	tsʰua5	姓
蔣	tsiũ3-	姓
蔣	tsiaŋ3	
蔥	tsʰaŋ1-	
蔥	tsʰoŋ1	
蔫	lɛn1-	
蔭	ŋ3	訓
蔭	im5	
蔽	pei5	
蕉	tsio1-	
蕊	lui3	
蕞	tsʰuat7	
蕤	dzue2	
蕩	toŋ6	
蕭	siau1	
薄	poʔ8-	
薄	pok8	
薅	ho1	
薌	hiaŋ1	
薑	kiũ1-	
薑	kiaŋ1	
薛	siʔ7	
薟	hiam1	
薤	hai6	
薦	tsɛn5	
薯	tsi2	
薰	hun1	
藉	tsia6	
藉	tsɛt8	
藍	nã2-	姓
藍	lam2	
藎	tsin6	
藏	tsoŋ2	
藏	tsoŋ6	
藐	biau3	
藕	ŋau6	
藜	lei2	
藝	ɡei6	
藤	tin2	
藥	ioʔ8-	
藥	dziak8	
藥	iak8	
藹	ai3	
蘆	lou2	
蘇	sou1	
蘊	un1	
蘊	un5	
蘖	ɡɛt8	
蘚	sɛn3	
蘭	lan2	
蘸	tsam5	
蘿	lo8	
虐	ɡiak8	
虔	kʰɛn2	
處	tsʰi3	
處	tsʰi5	
虛	hi1	
虜	lou3	
虞	ɡi2	
號	ho6	
虢	kʰɛt7	
虧	kʰui1	
虯	kiu2	
虯	kʰiu2	
虱	sat7	
虹	kʰioŋ6-	
虹	hoŋ2	
蚊	bun3	
蚌	paŋ6	
蚣	kaŋ1-	
蚤	tsau3-	
蚱	tsɛ5	
蚶	ham1	
蛀	tsiu5-	
蛀	tsu5	
蛆	tsʰi1	
蛇	tsua2-	
蛇	sia2	
蛋	tan5	
蛙	ua1	
蛛	tu1	
蛛	tsu1	
蛟	kau1	
蛤	kap7	
蛾	ŋo2	
蜀	siok8	
蜂	pʰaŋ1-	
蜂	hoŋ1	
蜈	ɡou2	
蜈	ɡia2	～蚣
蜊	l2-	
蜘	ti1	
蜜	bit8	
蜞	kʰi2	
蜮	hɛt8	
蝕	siʔ8	
蝙	pʰɛn3	
蝠	hok7	
蝥	b2-	
蝥	mau2	
蝦	hɛ2	
蝶	iaʔ8	尾～
蝶	tiap8	
螃	i2	
融	ioŋ2	
螞	m3	
螢	ɛn2	
螳	toŋ2	
螵	pʰiau1	
螺	le2-	
蟊	mau2	
蟬	sɛn2	
蟯	ɡiau2	
蟲	tʰaŋ2-	
蟲	tʰioŋ2	
蟳	tsim2	
蟶	tʰan1-	
蟶	tsʰɛn1	
蟹	hai6	
蟹	hei6	
蟻	hia6-	
蟻	ɡi3	
蟾	siam2	
蠐	tsei2	
蠓	baŋ3	
蠔	o2	
蠟	laʔ8	
蠟	lap8	
蠡	lei3	
蠢	tsʰun3	
蠱	kou3	
蠶	tsʰan2	
蠹	tou5	
蠻	ban2	
血	hueʔ7-	
血	hɛt7	
行	kiã2-	
行	haŋ2	
行	hɛn2	
衍	ɛn6	
術	sut8	
街	kei1	
衙	ɡɛ2	
衡	hɛn2	
衣	i1	
表	pio3-	
表	piau3	
衫	sã1-	
衫	sam1	
衰	sue1	
衲	lap8	
衷	tʰioŋ1	
衽	dzim1	
衾	kʰim1	
衿	kʰim1	
袁	uan2	
袂	bei6	
袋	te6-	
袍	pʰau5	
袖	siu5	
被	pʰue6-	棉～
被	pi6	
被	pʰi6	～席
被	dziok8	
袱	hok8	
裁	tsai2	
裂	liʔ8-	
裂	lɛt7	
裏	li3	
裏	lai6	
裕	dzu6	
裘	hiu2	
裙	kun2	
補	pou3	
裝	tsŋ1-	
裝	tsoŋ1	
裟	sɛ1	
裨	pi1	
裱	piau3	
裳	siaŋ2	
裹	ko3	
複	hok7	
褐	hat7	
褒	po1	
褓	po3	
褥	dziok8	
褪	tʰuĩ5-	～衫
褪	tʰue5	
褯	seʔ8	項～
褰	kʰɛn1	
褲	kʰou5	
褶	tsiʔ7	
褻	sɛt7	
襄	siaŋ1	
襖	o3	
襟	kʰim1	
襪	bɛt8	
襪	buat8	
襯	tsʰɛn5	
襻	pʰan5	
西	sai1-	
西	sei1	
要	iau5	
覃	tʰam2	
覃	tsim2	姓
覆	pʰak7-	
覆	hok7	
見	kĩ5-	
見	kɛn5	
見	hɛn6	
規	kui1	
覓	bɛt8	
覜	tʰiau5	
親	tsʰin1	
覲	kin6	
覺	kak7	
覽	lam3	
觀	kuan1	
觀	kuan5	
覥	tʰɛn3	
角	kak7	
觚	kou1	
解	kei3-	
解	kai3	
解	ei6	-曉得
觥	koŋ1	
觸	tsʰiok7	
言	ɡan2-	
言	ɡɛn2	
訂	tɛn5	
計	kei5	
訊	sin5	
討	tʰo3	
訓	hun5	
訖	ɡit8	
記	ki5	
訛	ɡo2	
訛	ŋo2	
訝	ɡɛ6	
訟	sioŋ6	
訣	kuat7	
訥	lut8	
訪	him1	
訪	hoŋ3	
設	sɛt7	
許	kʰou3-	姓
許	hi3	
註	tsu5	
詁	kou6	
詐	tsɛ5	
詔	tsiau5	
評	pʰɛn2	
詞	su2	
詠	ɛn6	
詠	ioŋ6	
詣	ɡei3	
試	tsʰi5	
詩	si1	
詫	tsʰ5	
詮	tsuan6	
話	uɛ6	
該	kai1	
詳	siaŋ2	
詹	tsiam1	
誅	ti1	
誇	kʰua1	
認	dzin6	
誑	koŋ5	
誓	tsua6-	咒～
誓	si6	
誕	tan5	
誘	iu3	
語	ɡi3	
誠	sɛn2	
誤	ɡou6	
誥	kʰo5	
誦	sioŋ6	
說	sueʔ7-	
說	sue5	
說	suat7	
誰	sui2	
課	kʰue5-	
課	kʰo5	
調	tiau1	
調	tiau6	
諂	tʰiam3	
談	tam2	
諉	ui3	
請	tsʰiã3-	
請	tsʰɛn3	
諏	tsou1	
諒	liaŋ6	
論	lun6	
諗	sim3	
諜	tiap8	
諦	tei5	
諧	hai2	
諫	kan5	
諱	hui5	
諳	am1	
諷	hoŋ3	
諸	tsu1	
諺	ɡan6	
諼	suan1	
謀	bou2	
謁	ɛt7	
謂	ui6	
謐	bit8	
謔	hiak7	
謙	kʰiam1	
講	kaŋ3	
講	koŋ3	
謝	tsia6	姓
謝	sia6	
謠	iau2	
謨	bou2	
謬	biu6	
謬	miu6	
謳	ou1	
謳	hiu1	
謹	kin3	
證	tsin5	
譎	kuat7	
譏	ki1	
譙	tsiau2	
譚	tam2	
譜	pʰou3	
警	kɛn3	
譯	ɛt8	
議	ɡi6	
譴	kʰɛn3	
譽	i6	
讀	tʰak7-	～書
讀	tʰok8	
變	pĩ5-	
變	pɛn5	
讒	tsʰam2	
讓	niũ6-	
讓	dziaŋ6	
讚	tsan5	
託	tʰok7	
谿	kʰei1	
豁	hak7	
豆	tau6-	
豆	tou6	
豈	kʰi3	
豉	sĩ6-	
豐	hoŋ1	
豔	iam6	
豕	si3	
豚	tun2	
豚	tʰun2	
象	tsʰiũ6-	
象	tsʰiaŋ6	
豪	ho2	
豫	i6	
豬	ti1	
豸	tʰua6-	蟲～
豺	tsʰai2	
貂	tiau1	
貉	bɛt8	
貌	mau6	
貓	ŋiau1-	
貓	ŋiau3-	～鼠
貓	miau1	
貓	b2	
貓	biau2	
貝	pue5	
財	tsai2	
貢	koŋ5	
貧	pin2	
貨	hue5-	
貨	hõ5	
販	huan5	
貪	tʰam1	
貫	kuĩ5-	錢～
貫	kuan5	
責	pʰun1	
貴	kui5	
貴	tsɛt7	
貶	pɛn3	
買	mai3	
買	bei3	
貸	tai6	
費	pi5	姓
費	hui5	
貼	tʰiap7	
貿	bou6	
賀	ho6	
賂	lou6	
賃	dzim6	
賄	hue3	
賅	kai1	
資	tsu1	
賈	kɛ3	
賊	tsʰat8-	
賊	tsɛt8	
賑	tsin3	
賒	sia1	
賓	pin1	
賚	tsei1	
賜	su5	
賜	sɛt7	
賞	siũ3-	
賞	siaŋ3	
賠	pue2	
賢	hɛn2	
賣	mai6	
賣	bei6	
賤	tsuã6-	
賤	tsɛn6	
賦	hu5	
質	tsi5	人～
質	tsit7	
賭	tou3	
賴	nai6	
賴	lua6	姓
賺	tsiam6	
贄	tsi5	
贄	tit8	
贅	tsue5	
贈	tsan6-	
贈	tsɛn6	
贊	tsan5	
贍	siam6	
贏	iã2-	
贏	ɛn2	
贐	tsin6	
贓	tsŋ1-	
贖	siok8	
贗	ɡan6	
贛	kam5	
赤	tsʰiaʔ7-	
赤	tsʰɛt7	
赦	sia5	
赧	lan3	
赫	hɛʔ7	
赫	hɛt7	
走	tsau3-	
走	tsou3	
赳	kiu3	
赴	hu5	
起	kʰi3	
趁	tʰan3	
趁	tʰan5	
趁	tʰin5	
超	tʰiau1	
越	uat8	
趕	kuã3-	
趕	kan3	
趙	tio6	
趲	tsan3	
足	tsiok7	
趼	lan1-	疤痕
趾	tsi3	
跋	puat8	
跌	tɛt8	
跑	pʰau3	
跛	pai3-	
跛	pʰo3	
跟	kin1	
跡	tsiaʔ7-	
跡	tsɛt7	
跨	kʰua1	
跪	kui6	
跫	kʰioŋ1	
路	lou6	
跳	tʰiau5	
躂	tʰat7	
跼	kiok8	
踅	seʔ8-	
踏	taʔ8-	
踏	tap8	
踐	tsɛn3	
踢	tʰat7-	
踢	tʰɛt7	
踴	ioŋ3	
踵	tsioŋ3	
踹	tʰuan3	
蹁	pʰɛn1	
蹄	tei2	
蹇	kɛn3	
蹉	tsʰo1	
蹊	hei2	
蹋	tap8	
蹙	tsʰiok7	
蹠	tsɛt7	
蹣	buan1	
蹣	puan2	
蹤	tsoŋ1	
蹩	pʰɛt7	
蹲	tsun1	
蹵	tsʰiok7	
蹺	kʰiau1	
躁	so5	
躋	tsei1	
躍	iak8	
躕	tu2	
躘	lioŋ5	
躚	tsʰɛn1	
身	sin1	
躬	kioŋ1	
車	ki1	
車	tsʰia1	
軌	kʰui1	
軍	kun1	
軒	hɛn1	
軟	nuĩ3-	
軟	luan3	
軟	dzuan3	
軫	tsin3	
軸	tiok8	
較	kau5	
較	kʰaʔ7	～好
載	tsai6-	船～
載	tsai5	
輓	buan3	
輕	kʰin1-	
輕	kʰɛn1	
輛	liaŋ6	
輝	hui1	
輟	tuat7	
輦	lɛn3	
輩	pue5	
輪	lun2	
輯	tsʰip7	
輳	tsou1	
輸	si1	運～
輸	su1	
輻	hok7	
輾	tɛn3	
轄	hat7	
轄	hak7	
轉	tuĩ3-	
轉	tsuan3	
轍	tɛt8	
轎	kio6-	
轎	kiau1	
轡	pi5	
辛	sin1	
辜	kou1	
辟	pʰiaʔ7-	
辟	pit8	
辣	luaʔ7	
辣	luat8	
辦	pan3	
辨	pɛn6	
辭	si2	
辭	su2	
辮	pĩ6-	
辮	pɛn6	
辯	pɛn6	
辰	sin2	
農	loŋ2	
迂	u1	
迄	ɡit8	
迅	sin5	
迎	ɡɛn2	
迎	ɡɛn6	
近	kin6	
返	huan3	
迦	kia1	
迪	tiok8	
迫	pɛt7	
迭	tɛt8	
述	sut8	
迴	hue2	
迷	bei2	
迺	nai3	
追	tui1	
退	tʰei5-	
退	tʰe5	
退	tʰue5	
送	saŋ5	
送	soŋ5	
逃	to2	
逆	kɛʔ8-	
逆	ɡɛt8	
逍	siau1	
透	tʰou1	
透	tʰau5	
逐	tiok8	
逑	kiu2	
途	tou2	
逗	tou6	
通	tʰoŋ1	
逞	tʰɛn3	
速	sok7	
造	tsʰo5	
造	tso6	
逢	hoŋ2	
連	nĩ2-	姓
連	lɛn2	
進	tsin5	
逵	kui2	
逼	pɛt7	
遁	tun6	
遂	sui6	
遇	ɡi6	
遊	iu2	
運	un6	
遍	pɛn5	
過	kue5-	
過	ko5	
遏	at7	
遐	hɛ2	
道	to6	
達	tat8	
違	ui2	
遥	iau2	
遜	sun5	
遝	tap8	
遞	tei6	
遠	huĩ6-	
遢	tʰap7	
遣	kʰɛn3	
遭	tso1	
遮	dzia1	
遲	ti2	
遵	tsun1	
遷	tsʰɛn1	
選	suan3	
遺	ui2	
遼	liau2	
避	pi6	
邀	hiau1	
邁	mai6	
邂	hai6	
邃	sui5	
還	huan2	
邊	pĩ1-	
邊	pɛn1	
邑	ip7	
邕	ioŋ1	
邛	ɡioŋ2	
那	nã3	
邦	paŋ1	
邪	sia2	
邯	ham1	
邱	kʰu1-	
邱	kʰiu1	
邵	siau6	
郁	hiok7	
郃	kʰap7	
郊	kau1	
郎	nŋ2-	
郎	loŋ2	
郡	kun6	
郢	tʰɛn3	
部	pou6	
郭	kok7	
郭	kueʔ7	姓
郵	iu2	
都	tou1	
鄂	ɡok8	
鄆	un6	
鄉	hiũ1-	
鄉	hiaŋ1	
鄒	tsou1	
鄔	ou1	
鄙	pʰi3	
鄧	tɛn6	
鄭	tĩ6-	姓
鄭	tɛn6	
鄰	lin2	
鄲	tan1	
鄴	ɡiap8	
酆	hoŋ1	
酌	tsiak7	
配	pʰue5	
酒	tsiu3	
酢	tsok8	
酣	ham1	
酥	sou1	
酩	bɛn3	
酬	tsʰiu2	
酬	siu2	
酵	kã5-	～母
酵	hau1	
酷	kʰok7	
酸	suĩ1-	
酸	suan1	
醃	iam1	
醇	sun2	
醉	tsui5	
醋	tsʰou5	
醒	sɛn3	
醜	tsʰiu3	
醢	hei1	
醫	i1-	
醬	tsiũ5-	
醬	tsiaŋ1	
醮	tsiau6	
醴	lei3-	
醴	tʰei3	
釀	dziaŋ2	
釅	ɡiam2	
采	tsʰai3	
釉	iu2	
重	taŋ1-	
重	tioŋ2	
重	tioŋ6	
野	ia3	
量	niũ2-	商～
量	niũ6-	
量	liaŋ2	
量	liaŋ6	
金	kim1	
釗	tsiau1	
釘	tɛn5	
針	tsiam1	
釣	tio5-	
釣	tiau5	
釧	tsʰuan5	
釵	tʰe1	
釵	tsʰai1	
釵	tʰei1	
鈍	tun1	
鈐	kʰim1	
鈔	tsʰau1	
鈸	puaʔ8	
鈺	ɡiok8	
鈿	tɛn2	
鈿	tɛn6	
鉗	kʰĩ2-	
鉗	kʰiam2	
鉛	ɛn2	
鉞	puat8	
鉤	kau1-	
鉤	kou1	
鉸	k1-	～刀
銀	ɡin2	
銃	tsʰioŋ5	
銅	taŋ2-	
銅	toŋ2	
銓	tsʰuan1	
銘	bɛn2	
銜	ham2	
銳	dzue6	
鋒	hoŋ1	
鋤	ti2	～頭
鋤	tʰi2	
鋪	pʰou1	床～
鋪	pʰou5	
鋸	ki5	
錄	liok8	
錐	tsui1	
錘	tʰui2	
錠	tɛn6	
錢	tsĩ2-	
錢	tsʰɛn2	
錦	kim3	
錫	siaʔ7-	
錯	tsʰo5	
錯	tsʰok7	
錶	pio3-	
錶	piau3	
鍁	hiam1	
鍋	ue1-	
鍍	tou6	
鍘	tsaʔ8-	
鍥	keʔ7	
鍪	mau2	
鍬	tsʰiau1	
鍵	kɛn6	
鎖	so3	
鎮	tin5	
鏖	o1	
鏗	kʰiaŋ1-	
鏘	tsʰiaŋ1	
鏞	ioŋ2	
鏟	san3	
鏡	kiã5-	
鏡	kɛn5	
鏢	pio1-	
鏵	huɛ2	
鏽	siu5	
鐐	uan2	
鐘	tsioŋ1	
鐙	tɛn5	
鐲	soʔ8-	
鐳	lui1	
鐵	tʰiʔ7-	
鐵	tʰɛt7	
鐸	tok8	
鑄	tsu5	
鑒	kam5	
鑣	pʰiau1	
鑰	iak8	
鑲	siũ1-	
鑲	siaŋ1	
鑼	lo8	
鑽	tsuĩ5-	
鑽	tsuan5	
鑾	luan2	
鑿	tsʰak8-	
鑿	tsʰok8	
鈃	ɡiaŋ1	
長	tŋ2-	
長	tiaŋ2	
長	tiaŋ3	
長	tiũ3	隊～
門	muĩ2-	
門	bun2	
閂	tsʰuã5-	
閂	uãi1	門聲
閃	siʔ7-	
閃	siam3	
閆	iam2	
閉	pi5	
開	kʰui1-	
開	kʰai1	
閏	lun6	
閑	han2	
間	kɛn1-	
間	kan1	
間	kan5	
閔	bin3	
閘	tsaʔ8	
閣	koʔ7	
閥	huat8	
閨	kui1	
閩	ban2	
閬	loŋ6	
閱	ɡei3	
閱	uat8	
閹	iam1	
