#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
佧	kʰɔ1	「佤族」舊稱「～佤族」。「～」來源於傣語，意爲「奴隷」，帶有貶低意味，遂改稱
佩	pʰui3	
佩	ɓui3	州～：地名。鬱林「四鎮」之一，原名「州背」。因其位于鬱林州州城之背，故名。後易名，民間沿用原讀法
佰	ɓa2	
佳	kɔi1	
佴	ȵi6	
併	ɓeŋ3	
佶	kɐt9	
佻	tʰiu1	
佼	kɔu2	
佾	jɐt9	
使	ɕɐi2	白讀：～用（工具，器物，家伙）|大～（花錢大手腳）
使	ɕi2	文讀：～用、大～（使者）、天～、～館
侃	hɔn2	
來	lɔi4	
侈	tɕʰi2	
侉	kʷʰɔ1	
例	lɐi6	
侍	ɕi6	
侏	tɕy1	
侑	jɐu6	
侔	mɐu4	
供	koŋ1	～應
供	koŋ3	～養
依	ji1	
侮	fu5	
侯	ɐu4	
侵	tʰɐm1	
侶	ly5	
便	pin4	～宜
便	pin6	方～
俁	ȵy5	
係	ɐi6	
促	tʰok7	
俄	ŋɵ4	
俅	tɕɐu4	
俊	ɗɐn3	
俎	tɕu2	
俏	tʰiu3	
俐	li6	
俑	ȵoŋ5	
俗	tok9	
俘	fu1	
俚	li1	
俜	pʰeŋ1	
保	ɓɵ̜u2	
俟	ɕi6	
俟	ki4	～俟：複姓
俠	ɔp10	
信	ɬɐn3	
修	ɬɐu1	
俯	fu2	
俱	ky1	
俱	ky6	
俳	pɔi4	
俸	foŋ2	《玉林话研究》讀阳去
俺	ŋɐm5	
俾	ɓi2	
倀	tɕʰa1	
倆	la5	
倉	tʰɔŋ1	
個	kɵ3	
倌	kun1	
倍	pui5	
倏	ɕok7	
們	mun4	
倒	ɗɵ̜u2	打～
倒	ɗɵ̜u3	傾～、顛～
倒	tʰᴇɐ̯u2	訓讀：～水
倔	kʷɐt9	
倖	a6	
倘	tʰɔŋ2	
候	ɐu6	
倚	ji2	
倜	tʰek7	
借	ɗɛ3	
倡	tɕʰa1	
倥	hoŋ1	～侗：無知
倥	hoŋ2	～傯：事迫促；窮困
倦	kÿn6	
倨	ky3	
倩	tɕʰin3	見《玉林市志》
倩	ɕin6	
倪	ȵi1	
倫	lɐn4	
倬	tɕɔk8	
倭	wɵ1	日本
倭	wɵ2	～墮
倮	lœ5	
值	tɕek9	
偃	jin2	
假	kɔ2	
偈	kᴇɐ̯t10	
偉	wɐi2	
偌	ȵɛ6	
偎	wui1	
偏	pʰin1	
偕	kɔi1	
做	ɗu3	
停	teŋ4	
健	kin6	
偭	mᴇɐ̯n2	偏離：～咧規矩
側	tɕʰɐk7	
偵	tɕeŋ1	
偶	ŋɐu5	
偷	tʰɐu1	
僞	ŋɐi6	
傀	kʷɐi1	木～戲
傀	kʷɐi2	
傅	fu6	
傍	pɐŋ6	倚靠
傍	pɔŋ6	
傑	kᴇɐ̯t10	
傖	ɕa4	
傘	ɬɔn3	
備	pi6	
傢	kɔ1	
催	tʰui1	
傭	joŋ4	
傯	ɗoŋ2	
傲	ŋɵ̜u6	
傳	tɕÿn4	動詞
傳	tɕÿn6	名詞
傳	tɕÿn3	～舍|廣成～
傴	jy2	
債	tɕɔi3	
傷	ɕa1	
傺	tɕʰɐi3	
傻	ɕɵ6	
傾	kʰeŋ1	
傾	kʰeŋ3	又讀
僂	lɐu4	
僅	kʰɐn2	
僅	kɐn2	
僉	tʰim1	
像	ta5	似
像	ta6	雕～，偶～
僑	kiu4	
僕	pok9	～人，見《玉林市志》
僖	hi1	
僚	liu4	
僞	ŋɐi6	
僥	hiu1	
僦	ɗɐu3	
僧	ɗɐŋ1	
僧	ɬɐŋ1	
僨	fɐn3	
僬	ɗiu1	
僭	ɗim3	
僮	tɕɔŋ6	～族
僱	ku3	
僵	kʰa1	
價	kɔ3	
僻	pʰek7	
儀	ȵi4	
儂	noŋ5	
億	ek7	
億	øk7	白讀
儆	keŋ2	
儇	jÿn1	
儉	kim5	
儋	ɗɔm1	～州：在海南
儐	ɓɐn3	
儒	ɕy5	
儔	tɕɐu4	
儕	ɕɔi4	
儘	tɐn5	
償	ɕa4	
儡	lui5	
優	jɐu1	
儲	tɕy5	
儷	lɐi6	
儸	lɵ4	僂～
儺	nɵ4	
儻	tʰɔŋ2	
儼	ȵim5	
兀	ɐt9	
允	jɐn5	
元	jÿn4	文讀。朝代名；貨幣單位。
元	ȵÿn4	～旦|狀～
兄	weŋ1	
充	tɕʰoŋ1	
兆	tɕiu5	
兇	hoŋ1	
先	ɬin1	
光	kʷɔŋ1	
克	hɐk7	
兌	tui6	
免	min5	
兒	ȵi1	詞綴：表示幼崽或小的。雞～（小雞），凳～（小凳子）。
兒	ȵi4	～子|男～
兔	tʰu3	
兕	ti5	
兗	jÿn5	
兜	ɗɐu1	
兢	keŋ1	
兢	køŋ1	因受冷而顫抖
入	ȵɐp9	
內	nɔi6	
全	tÿn4	
兩	la5	數目
兩	la2	重量單位
八	ɓɔt8	
八	ɓᴇɐ̯t8	又讀
公	koŋ1	
六	lok9	
兮	hi1	
共	koŋ6	
兵	ɓeŋ1	
其	ki4	
具	ky6	
典	ɗim2	
兼	kim1	
冀	kʰi3	
冂	kʷeŋ1	
冉	ȵim5	
冊	tɕʰa2	
再	ɗɔi3	
冑	tɕɐu6	
冒	mɵ̜u6	
冕	min5	
冖	mek9	
冠	kun1	雞～
冠	kun3	～軍
冢	tɕʰoŋ2	
冤	jÿn1	
冥	meŋ5	見《玉林话研究》
冪	mek7	
冫	ɓeŋ1	
冬	ɗoŋ1	
冰	ɓeŋ1	
冱	kʰœ1	
冶	jɛ5	
冷	la5	
冼	ɬin2	
冽	lᴇɐ̯t10	
准	tɕɐn2	
凇	ɬoŋ1	
凋	ɗiu1	
凌	leŋ4	
凍	ɗoŋ3	
凜	lɐm5	
凝	ŋɐŋ1	白讀
凝	ŋeŋ4	
凝	ŋeŋ1	白讀
几	ki1	
凡	fɔn4	
凰	wɔŋ4	
凱	hɔi2	
凳	ɗɐŋ3	
凵	hɔm2	
凶	hoŋ1	
凸	tɐt9	
凹	mɐp7	
出	tɕʰɐt7	
函	ɔm4	
刀	ɗɵ̜u1	
刁	ɗiu1	
刂	ɗɵ̜u1	
刃	ȵɐn5	
分	fɐn1	～開
分	fɐn6	成～
切	tʰit7	
刈	ȵi6	
刊	hɔn1	
刎	mɐn5	
刑	eŋ4	
划	kʷʰɔ3	胡寫亂畫
划	wa6	同「劃」
刖	ȵøɐ̯t10	
列	lᴇɐ̯t10	
初	tɕʰɵ1	
初	tɕʰu1	文
判	pʰun3	
別	pᴇɐ̯t10	
刨	pɔu4	
利	li6	
刪	ɕɔn1	
刮	kʷɔt8	
刮	kʷᴇɐ̯t8	白讀
到	ɗɵ̜u3	
刳	kʰu1	
制	tɕɐi3	
刷	ɕɔ3	印～。關於 son3 音見「涮」
刷	ɕɔt8	～卡
券	kÿn3	
刺	tʰek7	以針繡物
刺	tʰi3	
刻	hɐk7	
剁	ɗœ3	
剃	tʰɐi3	
剄	keŋ2	
則	ɗɐk7	
剈	wᴇɐ̯n1	
削	ɬa2	
剋	kʰɐk7	
剌	lɔt10	
前	tin4	
剎	ɕɔt8	
剔	tʰek7	
剖	pʰɐu2	見《玉林話研究》
剖	pʰɵ̜u2	見《玉林市志》
剛	kɔŋ1	
剜	wun2	
剝	mɔk8	文讀：～削
剝	mok7	剝去，摘除，扒掉：～插頭|～衫|～去tang2-3皮
剞	ki1	
剡	jim5	
剡	ɕim5	地名；河流名
剩	ɕeŋ6	
剩	ɕøŋ6	白讀
剪	ɗin2	
副	fu3	
割	kɔt8	
剴	hɔi2	
創	tɕʰɔŋ3	
剷	tɕʰɔn2	
剺	li1	
剽	piu4	
剿	ɗiu2	
劁	tiu4	
劂	kÿt7	
劃	wa6	
劇	kʷek7	又讀：戲～|電視～
劇	kek7	～烈
劈	pʰek7	
劉	lɐu4	
劌	kœ3	
劍	kim3	
劐	kʷʰɔk8	
劑	ɗɐi1	
劓	ȵi6	
劖	tɕɔm4	
力	lek9	
力	løk9	白讀
力	lek7	朱古～：巧克力
功	koŋ1	
加	kɔ1	
劣	lÿt7	
助	tɕu6	
努	nu6	
劫	kip7	
劬	ky4	
劭	ɕiu6	
劾	ɐk9	
勁	keŋ6	
勃	pɔt10	
勇	ȵoŋ5	
勉	min5	
勒	lɐk7	收緊繩子
勒	lɐk9	～令
動	toŋ5	
勖	hok7	
勘	hɔm2	
務	mu6	
勛	wɐn1	
勝	ɕeŋ3	
勞	lɵ̜u4	
募	mu6	
勢	ɕɐi3	手～：手兿，技術；慣～：嬌慣，不管不頋，放任自流
勤	kɐn4	
勰	jip7	
勱	mɔi6	
勵	lɐi6	
勸	jÿn3	
勹	ɓɔu1	
勺	ɕa6	
勻	jɐn4	
勾	kɐu1	
勾	ŋɐu1	
勿	mɐt9	
包	ɓɔu1	
匆	tʰoŋ1	
匈	hoŋ1	
匍	pu4	
匏	pɔu4	
匐	fok9	
匕	ɓi3	
化	wɔ3	
北	ɓɐk7	
匙	ɕy4	又讀
匙	ɕi4	
匚	fɔŋ1	
匠	ta6	
匣	ɔp10	
匪	fi2	
匭	kʷɐi2	
匯	wɐi6	
匱	kʷɐi6	
匹	pʰɐt7	
匾	ɓᴇɐ̯n2	口語
匾	ɓin2	
匿	nek9	
區	kʰy1	
區	ɐu1	姓
十	ɕɐp9	
千	tʰin1	
卅	ɬɔp8	
升	ɕeŋ1	
升	ɕøŋ1	白讀：米～
午	ŋ̍5	
卉	jui2	
半	ɓun3	
卑	ɓi1	
卒	ɗɐt7	
卓	tɕɔk8	
協	jip7	
南	nɔm4	
博	ɓɔk8	
卜	ɓok7	
卞	pin6	
卟	ɓok7	
占	tɕim1	
卡	kʰɔ1	
卣	jɐu5	
卦	kʷɔ3	
卩	ɗit7	
卮	tɕi1	
卯	mɔu5	
卯	mɐu5	又讀
印	ɐn3	又讀
印	jɐn3	
危	ŋɐi4	
即	ɗek7	
卵	lÿn5	
卷	kÿn2	
卸	ɬɛ3	
卺	tɕɐn2	
卻	kʰa2	
卿	heŋ1	
厄	a2	
厘	li1	
厙	ɕɛ3	
厚	ɐu5	薄～
厚	ɐu6	地名用音：六～(在北流大里)
厝	tʰu3	
原	ȵÿn4	
厥	kÿt7	
厭	jim3	
厲	lɐi6	
厴	jim2	
厶	mɐu5	同「某」
厶	ɬi1	同「私」
去	hy3	
參	tʰɔm1	～加
參	tɕʰɔm1	～差
參	ɕɐm1	人～
叄	ɬɔm1	
又	jɐu6	
叉	tɕʰɔ1	
及	tɕɐp9	
友	jɐu5	
反	fɔn2	
叔	ɕok7	
取	tʰy2	
受	ɕɐu6	
叛	pʰun3	
叟	ɬɐu2	
叢	ɬoŋ1	見1959年字表
叢	toŋ4	見《玉林市志》
口	hɐu2	
古	ku2	
古	ku1	朱～力：巧克力
句	ky3	
另	leŋ6	
叨	ɗɵ̜u1	
叩	kʰɐu3	
只	tɕi2	
叫	kiu3	
召	tɕiu6	
叭	ɓɔ1	
叮	ɗeŋ1	
可	hɵ2	
台	ji4	古越語第一人稱
台	tʰɔi1	地名：天～|～州
叱	tɕʰek7	
史	ɕi2	
右	jɐu6	
叵	pʰɵ2	
司	ɬi1	
叻	lek7	
叼	ɗiu1	
吁	hy1	
吂	ma5	没有
吃	kʰᴇɐ̯t8	擬笑聲
吃	hek7	食用，本字爲「喫」
各	kɔk8	
吆	ᴇɐ̯u1	白讀
吆	jiu1	文讀
合	ɔp10	
吉	kɐt7	
吊	ɗiu3	
同	toŋ4	
名	meŋ4	
后	ɐu6	
吏	li6	
吐	tʰu3	
向	ja3	
吒	tɕɔ3	
吔	jɛ03	
吖	ɔ1	
君	kʷɐn1	
吝	lɐn6	
吞	tʰɐn1	
吟	ŋɐm4	白讀
吟	ȵɐm4	文讀
吠	fi6	
吡	ɓi2	
否	fɐu2	
否	pʰi2	否極泰來
吧	pʰɔ02	
吧	ɓɔ1	酒～，網～
吩	fɐn1	
含	ɔm4	
吭	ɔŋ4	
吱	tɕi1	
吲	jɐn5	
吳	ŋ̍4	
吵	tɕʰɔu3	
吶	nɔp10	
吸	tɕɐp7	
吸	kʰɐp7	異讀
吹	tɕʰui1	
吻	mɐn5	
吼	hɐu2	
吾	ŋ̍4	
呀	jɔ3	驚異聲
呀	ja03	徵求意見聲
呂	ly5	
呃	ŋɐk7	
呆	ɗɔi1	
呈	tɕeŋ4	
告	kɵ̜u3	
呋	fu1	
呢	nɛ02	句尾疑問語氣助詞，用法與普通話大致同
呢	ni4	～絨
呤	leŋ4	
呦	jɐu1	
呦	jɔu1	
周	tɕɐu1	
呱	kœ1	
呲	ɗi3	
味	mi6	
呵	hɵ1	
呶	nɔu4	暄囂，熱鬧
呷	hɔp8	
呻	ɕɐn1	
呼	hɵ1	口語：嗚～(死)
呼	wu1	
命	meŋ6	
呿	wɛ2	小孩吐奶
咀	ɗui2	
咂	ɕɔp8	
咄	ɗøɐ̯t8	大聲講話
咆	pɔu4	
和	wɵ4	
咎	kɐu3	
咐	fu3	
咒	tɕɐu3	
咕	ku4	
咖	kɔ1	～哩
咖	kʰɔ1	～啡
咚	ɗoŋ01	
咣	kʷɔŋ1	
咤	tɕɔ3	
咦	ji03	
咧	lɛ5	
咧	lɛ1	
咩	mɛ2	
咪	mi1	
咫	tɕi2	
咬	ȵɔu5	
咭	kʰᴇɐ̯t8	笑聲
咯	kok7	
咱	ȵɐn1	
咳	kʰɐt7	
咸	ɔm4	
咻	jɐu1	
咼	wɔi1	同「歪」
咼	wɔ1	
咼	wɔ2	斜垂
咽	jin3	
咿	ji1	
哀	ɔi1	
品	pʰɐn2	
哂	tɕɐn2	
哄	hoŋ3	～騙
哄	oŋ6	～小孩
哇	wa4	
哈	hɔp8	
哈	hɔ1	擬笑聲
哉	ɗɔi1	
哌	pʰɔi3	
哎	ɐi4	
哐	kʷʰɐŋ1	
哚	ɗœ2	
哞	mu4	
員	jÿn4	
哢	loŋ6	
哥	kɵ1	
哦	ɔ6	
哧	tɕʰek7	
哨	ɕɔu3	
哩	li01	
哪	nɔ6	
哭	hok7	
哮	hɔu1	
哲	tɕit7	
哳	tɕɔt8	
哺	pu6	
哼	hŋ̍3	
哽	kɔŋ2	
哿	kɵ2	
唄	pɔi6	佛教經文中的贊偈，爲梵語 pāthaka(唄匿)音譯之略
唆	ɬœ1	
唉	ɐi4	
唏	hi1	
唐	tɔŋ4	
唑	tœ5	
唔	m̩6	
唚	tʰɐm3	
唣	tɵ̜u5	
唧	ɗek7	
唪	foŋ2	
唬	hɔ1	欺
售	ɕɐu4	
唯	wɐi4	
唰	ɕœ4	
唱	tɕʰa3	
唳	lɐi6	
唷	jɔ03	
唸	nim6	
唼	ɕɔp8	
唾	tʰœ3	
啁	tɕiu1	
啃	kʰɐŋ2	
啄	ɗɔk8	
商	ɕa1	
啉	lɐm4	
啊	a01	不滿聲
啊	a3	頓悟聲；失望聲
啊	a6	憶起聲
啊	a03	詢問聲
問	mɐn6	
啐	tɕÿt7	
啒	wut7	
啓	hi2	見1959年字表，其標記爲文讀
啓	kʰɐi2	
啕	tɵ̜u4	
啖	tɔm6	
啘	œɐ̯k9	同「噦」
啜	tɕÿt7	
啞	ɔt8	
啟	hi2	見1959年字表，其標記爲文讀
啟	kʰɐi2	
啡	fi1	
啤	ɓɛ1	
啦	la1	
啪	pʰa2	
啵	pɔ02	
啵	pʰɔ02	
啶	teŋ6	
啷	lɔŋ1	
啻	tɕʰi3	
啼	tɐi4	
啾	tɕʰiu1	
喀	kʰa2	
喁	ȵoŋ4	
喂	wɛ6	語助
喃	nɔm1	
善	ɕin6	
善	ɕin5	老讀音
喇	lɔ2	
喈	kɔi1	
喉	ɐu4	
喊	hɔm3	
喋	tᴇɐ̯p10	
喏	nɛ03	
喑	ɐm1	
喔	ɐk7	
喔	ŋok7	
喘	tɕʰÿn2	
喙	wɐi3	
喚	wun6	
喜	hi2	
喝	hɔt8	
喟	kʷʰɐi3	
喧	jÿn1	
喪	ɬɔŋ1	奔～|～事
喪	ɬɔŋ3	～失
喫	hek7	
喬	kiu4	
單	ɗɔn1	
單	ɕim4	姓；～于：古匈奴首領
喱	li1	
喲	ja6	
喳	tɕɔ1	
喵	mᴇɐ̯u01	
喹	kʷɐi4	
喻	jy6	
嗄	ɕɔ3	
嗅	ȵu3	動詞
嗅	tɕɐu3	名詞
嗆	tʰa3	
嗇	ɬɐt7	見《玉林市志》
嗉	ɬu3	
嗌	ek7	
嗍	ɕɔk8	
嗎	mɔ2	
嗑	hɔp8	
嗒	tʰɔp8	
嗓	ɬɔŋ1	
嗔	tɕʰɐn1	
嗖	tɕiu3	
嗚	wu1	
嗚	jɵ1	～呼：死
嗚	wu4	
嗜	ɕi6	
嗝	ka2	
嗟	tɕɛ1	
嗡	oŋ1	
嗣	ti6	
嗤	tɕʰi1	
嗥	ɵ̜u4	
嗦	ɬɵ1	
嗨	hɐi3	
嗩	ɬœ2	
嗪	tɐn4	
嗯	ŋ̍4	應聲
嗯	ŋ̍6	應聲
嗯	ŋ̍2	沉思聲
嗯	ŋ̍01	驚愕不滿聲
嗲	ɗɛ2	詐～
嗵	tʰoŋ1	
嗶	ɓek7	
嗷	ŋɵ̜u4	
嗽	ɬɐu3	
嗾	ɬɐu2	
嗾	ǂʷ7	喚狗聲
嘀	ɗi1	
嘁	tʰek7	
嘆	tʰɔn3	
嘈	tɕɔu4	
嘉	kɔ1	
嘌	pʰiu1	
嘍	lɐu4	
嘎	kɐp9	擬鴨叫
嘏	kɔ2	
嘔	ɐu2	
嘖	ǀ7	
嘗	ɕa4	
嘛	ma5	
嘜	mɐk7	
嘞	lɵ6	
嘟	ɗy1	
嘣	pɐŋ1	
嘧	mɐt9	
嘩	wɔ4	
嘬	ȵɔi3	
嘭	pɐŋ4	
嘮	lɵ̜u1	
嘯	ɬiu3	
嘰	ki1	
嘲	tɕɔu1	
嘴	ɗui2	
嘵	hiu1	
嘶	ɬɐi1	
嘸	mɔ1	喃～
嘹	liu4	
嘻	hɛ1	
嘿	mɐk9	通「默」
嘿	hei3	
噁	ɔk8	
噅	kʷʰɐi1	
噌	tɕʰɐŋ1	
噍	tɕiu6	
噎	jit7	
噓	hy1	
噔	ɗɐŋ1	
噗	pʰu1	
噘	kᴇɐ̯t10	
噙	tɕɐm4	
噝	ɕi1	
噠	tɐt9	
噠	ɗət7	
噢	wu4	
噤	kɐm3	
噤	tɕɐm3	
噥	nɔŋ4	
噦	œɐ̯k9	
器	hi3	
噩	ŋɔk10	呆
噪	tʰɵ̜u3	
噫	ji1	
噬	ɬɐi6	
噯	ɐi3	
噱	ka6	
噲	kʷʰɔi3	
噴	pʰɐn3	
噸	ɗɐn1	
噹	ɗɐŋ1	
噻	ɬɐk7	
嚀	neŋ4	
嚅	ɕy4	
嚆	hɔu1	
嚇	ha2	
嚌	tɐi6	
嚎	ɵ̜u4	
嚏	tɕʰiu1	
嚐	ɕa4	
嚓	tɕʰɔt8	
嚕	lu4	
嚥	jin3	
嚦	lek9	
嚨	loŋ4	
嚨	loŋ1	
嚮	ja3	
嚳	kʰok7	
嚴	ȵim4	
嚶	eŋ1	
嚷	ȵa4	
嚼	tʰa2	
囀	tɕÿn3	
囁	ȵᴇɐ̯p10	
囂	hiu1	
囅	tɕʰit7	
囈	ŋɐi6	
囉	lɵ1	
囊	nɔŋ4	
囑	tɕok7	
囔	nɔŋ1	
囗	wɐi4	
囚	tɕɐu4	
四	ɬi3	
回	wui4	
囟	ɬɐn3	
因	ɐn1	
囤	ɗɐn2	
囩	wɐn4	衡量次數的量詞
囪	tʰoŋ1	
囫	kun4	
困	kʷʰɐn3	
困	wɐn3	關，放在裏邊不給出來
囹	leŋ4	
固	ku3	
囿	jɐu6	
圃	pʰu2	
圄	ȵy5	
圇	lɐn4	
圈	kʰÿn1	
圉	ȵy5	
圊	tʰeŋ1	
國	kʷɔk8	
圍	wɐi4	
園	jÿn4	
圓	jÿn4	
圖	tu4	
團	tÿn4	
圜	jÿn4	
土	tʰu2	
在	tɔi5	
圩	wɐi4	關於「集市」之「圩」見「墟」
圪	ŋɐt9	
圬	wu1	
圭	kʷɐi1	
圮	pi5	
圯	ji4	
地	ti6	
圳	tɕɐn3	深～：地名，在廣東
圻	ŋɐn4	同「垠」
圻	ki4	
圾	ɬɔp8	
址	tɕi2	
均	kʷɐn1	
坊	fɔŋ2	
坌	pɐn6	
坎	hɔm2	
坎	hɐm1	～坷
坏	pʰui1	同「坯」，又見「壞」的簡體
坐	tœ5	
坑	kʰɔŋ1	～害
坑	ha1	水～
坡	pʰɵ1	
坤	kʷʰɐn1	
坦	tʰɔn2	
坨	tɵ4	
坩	kɔm1	
坪	peŋ4	
坫	ɗim3	
坭	nɐi4	
坯	pʰui1	
坰	kʷeŋ1	
坳	ɔu3	
坶	mok9	同「牧野」之「牧」
坶	mu5	「壚～」「阿～坪」
坷	hɵ1	
坻	ɗɐi2	山坡
坻	tɕi4	水中高地：宛在水中～
坼	tɕʰa2	裂，爆裂
垂	ɕui4	
垃	lɔp10	
型	eŋ4	
垌	toŋ6	田地：出～|田～
垓	kɔi1	
垛	ɗœ3	
垜	ɗœ3	
垠	ŋɐn4	
垡	fɔt10	
垢	kɔu2	
垣	wun4	
垤	tᴇɐ̯t10	
垮	kʷʰɔ2	
垵	jim2	
垸	jÿn4	
垸	jÿn6	兩湖地區指湖堤
垻	ɓɔ3	
埂	ka2	
埃	ɔi1	
埋	mɔi4	
埌	lɔŋ5	
城	ɕeŋ4	
埏	jin4	
埏	ɕin1	以水和泥「～埴」
埒	løɐ̯t10	
埔	pʰu2	
埕	tɕøŋ4	罈子，瓮：酒～|煤氣～
域	wek9	
埠	fɐu6	
埠	pu6	
埤	pʰɐi3	～堄
埤	pi4	
埭	tɔi6	
埯	jim2	
埴	tɕek9	
執	tɕɐp7	
埸	ek9	
培	pui4	
基	ki1	
埽	ɬɵ̜u2	
埽	ɬɵ̜u3	通「掃」
堀	wɐt7	同「窟」，孔穴
堀	kʷɐt9	突出
堂	tɔŋ4	
堃	kʷʰɐn1	
堅	kin1	
堆	ɗui1	
堇	kɐn2	
