#漢字	音標	解釋
㾪	san3	瘦也
儒	dziu2	
償	siɔ̃3	
儡	lui3	
優	iu1	
允	un3	
元	ɡuan2	
兄	hiã1	
充	tsʰiɔŋ1	
兆	tsʰau5	
兇	hiɔŋ2	
先	siŋ1	
光	kɔŋ1	～明
光	kuĩ1	～線
克	kʰik7	
兌	tui5	
免	bian3	
兒	dzi2	
兔	tʰɔ5	
入	dzip8	
內	lai6	訓“裏”
全	tsuan2	
兩	niɔ̃3	數量詞
兩	nɔ̃6	～個
八	pat7	三～婦女節
八	pet7	第～
公	kaŋ1	～雞
六	lak8	
共	kiɔŋ6	
兵	piŋ1	
其	ki2	
具	ki5	
典	tian3	
兼	kiam1	
冊	tsʰɛk7	
冒	mɔ̃6	
冠	kuan5	～軍
冤	uan1	
冬	taŋ1	
冰	piŋ1	
冷	liŋ3	
准	tsun3	
凍	taŋ5	
凝	liŋ2	
几	ki3	茶～
凡	huan2	
凱	kʰai3	
凶	hiɔŋ2	
出	tsʰut7	
函	ham2	
刀	to1	
刁	tiau1	
分	hun1	
切	tsʰiat7	
刊	kʰan1	
刑	hiŋ2	
列	liat8	
初	tsɔ1	月～
判	pʰuã5	
別	piat8	
利	li6	～息
利	lai6	鋒～
刪	san1	
到	tau5	
制	tsi5	
刺	tsʰi5	
刻	kʰik7	
剁	tɔ5	
剃	tʰi5	
則	tsik7	
削	siak7	剝～
前	tsiŋ2	
剔	tʰik7	
剖	pʰua5	
剝	pak7	～削
剩	siŋ6	～下
剪	tsian3	
副	hu5	
割	kuat7	
創	tsʰɔŋ5	
劃	ue6	
劇	kiak8	
劉	lau2	
劍	kiam5	
劑	tse5	
力	lak8	用～
力	lik8	～量
功	kaŋ1	～夫
功	kɔŋ1	～課
加	kɛ1	
助	tsɔ6	
努	nɔ̃3	
劫	kiap7	
勁	kin5	
勁	kiŋ5	
勇	iɔŋ3	
勉	bian3	
勒	lak7	
動	taŋ6	
勘	kʰam5	
務	bu6	
勝	siŋ5	
勞	lo2	
募	mɔ̃6	
勢	se5	
勤	kʰin2	
勵	le6	
勸	kʰuĩ5	
勻	ɡun2	
勾	kau1	
包	pau1	
化	hua5	
北	pak7	
匙	si2	
匠	tsiaŋ5	
匪	ui3	
匯	hue6	
匹	pʰit7	
匾	pian3	
區	kʰi1	
十	tsap8	
千	tsʰiŋ1	
升	siŋ1	
午	ŋɔ̃3	
半	puã5	
卑	pi1	
卒	tsut7	
卓	tok7	
協	hiap8	
南	lam2	
博	pʰɔk7	
卜	pʰɔk7	
占	tsiam5	～位置
卦	kuai5	
印	in5	
危	ui1	
即	tsik7	
卵	lan6	男陰
卵	nuĩ6	雞～
卷	kuĩ3	
卸	sia5	
卻	kʰiɔk7	
卿	kʰiŋ1	
厚	kau6	
原	ɡuan2	
厭	iam5	
厲	li6	
去	kʰi5	
參	tsʰam1	～加、～差不齊
參	sɔm1	人～
又	iu6	
叉	tsʰa1	
及	kip7	
友	iu3	
反	huan3	
叔	tsik7	
取	tsʰi3	
受	siu6	
叛	pʰuã5	
叢	tsʰɔŋ2	
口	kʰau3	
古	kɔ3	
句	ku5	
叩	kʰau5	
只	tsi3	
可	kʰo3	
史	su3	
右	iu6	
司	si1	官～
司	su1	～機
各	kɔk7	
合	hap8	
吉	kiat7	
吊	tiau5	
同	taŋ2	
名	miã2	
吏	li6	
吐	tʰɔ5	
向	hiaŋ5	
君	kun1	
吞	tʰun1	
吠	pui6	
含	ham2	
吳	ɡɔ2	
吵	tsʰa3	
吸	kʰip7	
吹	tsʰue1	
呂	li3	
呆	tai1	
告	ko5	
周	tsiu1	
味	bi6	
呼	hɔ1	
命	miã6	
和	ho2	～氣
咒	tsiu5	
咨	tsu1	
咬	ka6	
咳	kʰɛʔ7	
哀	ai1	
員	ɡuan2	
哥	ko1	
哲	tsiat7	
哽	kɛ̃3	
唇	tun2	
唐	tɔŋ2	
售	siu6	
唯	ui2	
唱	tsʰio5	
商	siɔŋ1	
問	bun6	學～
問	muĩ6	提～
啞	ɛ̃3	
啟	kʰe3	
囉	lo2	
啼	tʰi2	
善	sian6	
喉	au2	
喊	ham3	
喘	tsʰuan3	
喚	huan5	
喜	hi3	
喪	siɔŋ1	～事
喬	kiau2	
單	tan1	～獨
喻	i6	
嗤	tʰi3	
嗦	so1	
嗦	siɔʔ7	
嗽	sau5	
嘉	ka1	
嘔	au3	～吐
器	kʰi5	
噴	pʰun5	
嚇	hak7	
嚴	ɡiam2	
囂	hiau1	
四	iaŋ3	
四	si5	
囝	kiã3	
回	hue2	
因	in1	
困	kʰun5	
固	kɔ5	
國	kɔk7	
圍	ui2	
園	huĩ2	
圓	ĩ2	
圖	tɔ2	
團	tʰuan2	
土	tʰɔ3	老～
在	tsai6	
地	te6	
址	tsi3	
均	kun1	
坎	kʰam3	
坐	tse6	
坑	kʰɛ̃1	
坡	pʰo1	
坤	kʰun1	
坦	tʰan3	
坯	pʰue1	土～
垂	sui2	
型	hiŋ2	
垻	pa5	
埃	ai1	
城	siã2	
執	tsip7	
執	tsiʔ7	
培	pue2	
基	ki1	
堂	təŋ2	教～
堅	kian1	
堆	tu1	
堡	po3	
堤	te2	
堪	kʰam1	
報	po5	
場	tiɔ̃2	
堵	tɔ3	
塊	kʰuai5	
塑	sɔʔ7	
塔	tʰaʔ7	
塗	tʰɔ2	泥土也
塘	tʰaŋ2	
塞	tʰak7	
填	tʰian2	
境	kiŋ3	
墊	tian6	
墓	bɔŋ6	
墜	tsui6	
增	tsiŋ1	
墟	hi1	
墨	bak8	
墩	tun1	
墳	hun2	
墾	kʰun3	
壁	piak7	
壅	tɔ2	
壇	tuã2	
壓	aʔ7	
壞	hai6	
壩	pa5	
士	su6	
壯	tsɔŋ5	
壺	ɔ2	
壽	siu6	
夏	hɛ6	
外	ɡua6	
多	tse6	
夜	ia6	
夠	kau5	
夢	baŋ6	
夥	hue3	
大	tua6	
天	tʰĩ1	
太	tʰai5	
夫	hu1	
央	iaŋ1	
失	sit7	
夷	i2	
夾	kiap7	
奇	ki2	
奈	naĩ6	
奉	hɔŋ6	
奎	kʰui2	
奏	tsau5	
契	kʰe5	～約
奔	pun1	
套	tʰo5	
奧	o5	
奪	tuat8	
奮	hun5	
女	nĩ3	
奴	lɔ2	
奸	kan1	
好	ho3	
好	hɔ̃6	愛～
如	dzi2	
妃	hui1	
妄	bɔŋ6	
妖	iau1	
妗	kim6	
妙	biau6	
妝	tsɔŋ1	
妥	to3	
妨	hɔŋ2	
妹	muẽ6	
妻	tsʰe1	
妾	tsʰiap7	
始	si3	
姐	tsia3	小～
姑	kɔ1	
姓	sɛ̃5	
委	ui3	
姚	iau2	
姜	kiɔ̃1	
姨	i2	
姻	in1	
姿	tsu1	
威	ui1	
娘	niɔ̃2	
娛	ɡi2	
娩	bian3	
娶	tsʰua6	
婆	po2	
婚	hun1	
婢	pi6	
婦	pu6	
婿	sai5	女～
媒	bue2	
媵	siŋ2	
媽	mã3	
嫁	kɛ5	
嫌	hiam2	
嫩	lun6	
嬉	hi1	
嬌	kiau1	
嬰	iŋ1	
嬸	sim3	
子	tsi3	種～
子	tsu3	弟～
孔	kʰɔŋ3	
字	dzi6	
存	tsun2	
孝	hau5	
孟	biŋ6	
季	kui5	
孤	kɔ1	
孫	sun1	
孵	pu6	
學	haʔ8	～問
學	ɔʔ8	～寫字
孽	ɡiat8	
宅	tʰɛk8	厝～，即房屋
宇	i1	
守	siu3	遵～
安	an1	
宋	sɔŋ5	
完	uan2	
宏	hɔŋ2	
宗	tsɔŋ1	
官	kuã1	
定	tiŋ6	決～
定	tiã6	～貨
宜	ɡi2	
客	kʰɛk7	
宣	suan1	
室	sit7	
宮	kiɔŋ1	
宰	tsai3	
害	hai6	
宴	ian5	
宵	siau1	
家	kɛ1	
容	iɔŋ2	
宿	siɔk7	
寂	tsik7	
寄	kia5	
寅	in2	
密	bat8	
寇	kʰau5	
富	hu5	
寒	han2	孤～
寓	i6	
寞	bɔk7	
察	tsʰat7	
寡	kua3	
寥	liau2	
實	sit8	
寧	liŋ2	
寨	tsɛ5	
審	sim3	
寫	sia3	
寮	liau2	
寶	po3	
寸	tsʰun5	
寺	si6	
封	hɔŋ1	
射	sia6	
將	tsiɔŋ1	
專	tsuan1	
尊	tsun1	
對	tui5	
導	to6	
小	sio3	
少	tsio3	多～
少	sau5	～年
尖	tsiam1	
尤	iu2	
就	tsiu6	
尹	in3	姓
尺	tsʰioʔ7	
尼	nĩ2	
尾	bue3	
局	kiɔk8	
屁	pʰui5	
居	ki1	
屆	kai5	
屈	kʰut7	
屍	si1	
屎	sai3	
展	tian3	
屠	tɔ2	
屢	lui3	
層	tsaŋ2	
履	li3	
屬	siɔk8	
山	suã1	
岔	tsʰa1	
岡	kaŋ1	
岩	ɡiam2	
岫	siu6	雞～
岳	ɡak8	
岸	huã6	
峯	hɔŋ1	
島	to3	
崇	tsiɔŋ2	
崔	tsʰui1	
崖	ɡai2	
崗	kaŋ1	
嵌	kʰiam5	
嶽	ɡak8	
川	tsʰuan1	
州	tsiu1	
巡	sun2	
工	kaŋ1	
左	tso3	
巧	kʰa3	
巨	ki5	
差	tsʰa1	
差	tsʰɛ1	出～
己	ki3	
巴	pa1	
巷	haŋ6	
巾	kin1	
市	tsʰi6	
布	pɔ5	
帆	pʰan2	
希	hi1	
帕	pʰa5	
帖	tʰiap7	
帚	tsʰiu3	
帝	te5	
帥	sue5	
師	su1	
師	sai1	～傅
席	sik8	
帶	tua5	
常	siaŋ2	
帽	po6	
幅	hɔk7	
幕	mɔ̃6	
幣	pi6	
幫	paŋ1	
平	piŋ2	～時
平	pʰiŋ2	和～
平	pɛ̃2	公～
年	nĩ2	
并	piŋ5	
幸	hiŋ6	
幻	huan6	
幼	iu1	
幽	iu1	
幾	ki1	～乎
幾	ki3	～個
庇	pʰi5	
序	si6	
底	te3	
店	tiam5	
府	hu3	
度	tɔ6	
座	tse6	
庫	kʰɔ5	
庭	tiŋ2	
庵	am1	
康	kʰɔŋ1	
庸	iɔŋ1	
廈	ɛ6	
廉	liam2	
廊	lɔŋ2	
廖	liau2	
廚	tu2	
廟	bio6	
廢	hui5	
廣	kɔŋ3	
廬	lɔ2	
廳	tʰiã1	
延	ian2	
廷	tiŋ2	
建	kian5	
弄	lɔŋ6	
弊	pi6	
式	sik8	
弓	kiɔŋ1	
引	in3	
弘	hɔŋ2	
弟	ti6	
弦	hian2	
弱	dziɔk8	
張	tiɔ̃1	
強	kiaŋ2	～大
強	kiaŋ3	勉～
彈	tuã2	
彌	mĩ2	
彎	uan1	
形	hiŋ2	
彩	tsʰai3	
彪	piu1	
彬	pin1	
彭	pʰɛ̃2	
影	iã3	
役	ik8	
彼	pi3	
往	ɔŋ3	
征	tsiŋ1	
待	tai6	
律	lut8	
後	hau6	～生，兒子也
後	au6	以～
徐	tsʰi2	
徑	kiŋ5	
徒	tɔ2	
得	tik7	
徛	kʰia6	立也
從	tsiɔŋ2	隨～
復	hɔk7	
循	sun2	
微	bi2	輕～
德	tik7	
徹	tʰiat7	
徽	hui1	
心	sim1	
必	pit7	
忌	ki6	
忍	dzim3	
志	tsi5	
忘	bɔŋ6	
忙	baŋ2	
忠	tiɔŋ1	
快	kʰuai5	
念	liam6	
忽	hut7	
怒	nɔ̃6	
怖	pɔ5	
思	si1	相～
思	su1	～考
怠	tai6	
急	kip7	
性	siŋ5	
怨	uan5	
怪	kuai5	
恆	haŋ2	
恕	su5	
恢	hue1	
恤	sut7	
恥	tʰi3	
恨	hun6	
恩	un1	
恭	kiɔŋ1	
息	sik7	
恰	tsʰiap7	
悅	uat8	
悉	sit7	
悔	hue3	
悟	ŋɔ̃6	
患	huan6	
悲	pi1	
悶	bun6	
情	tsiŋ2	
惑	hik7	
惜	sik7	
惟	ui2	
惠	hui6	
惡	ɔ5	
惡	ɔk7	
惡	ɔʔ7	凶～
惰	to3	
惱	naũ3	
想	siɔ̃6	
惹	dzia3	
愁	tsʰiu2	
愉	i2	
意	i5	
愛	ai5	
感	kam3	
愧	kʰui5	
慈	tsu2	
態	tʰai6	
慌	hɔŋ1	
慎	sin6	
慕	mɔ̃6	
慘	tsʰam3	
慚	tsʰam2	
慢	ban6	
慣	kuan5	
慧	hui6	
慨	kʰai5	
慮	li6	
慰	ui5	
慶	kʰiŋ5	
慷	kʰɔŋ3	
慾	iɔk8	
憋	pi5	
憎	tsiŋ1	
憐	lian2	
憑	pʰiŋ2	
憤	hun5	
憫	bin3	
憲	hian5	
憶	ik7	
憾	ham6	
懇	kʰun3	
懈	hai6	
應	iŋ1	～當
應	iŋ5	～對
懊	o5	
懵	bɔŋ3	
懶	lan3	
懷	huai2	
懸	hian2	
懼	ki5	
戀	luan2	
戈	kʰo1	
成	siŋ2	～功
成	tsiã2	～人
我	ɡua3	
我	ŋɔ̃3	～國
戒	kai5	
或	hik7	
戚	tsʰik7	
戰	tsian5	
戲	hi5	
戳	tsʰɔk7	
戴	tua5	
戶	hɔ6	
戽	hɔ5	
房	paŋ2	
所	sɔ3	
扁	pĩ3	
扇	sĩ5	
手	tsʰiu3	
才	tsai2	
托	tʰɔk7	
扛	kəŋ1	
扣	kʰau5	
扮	pan6	
扶	hu2	
批	pʰe1	
承	siŋ2	
技	ki1	
抄	tsʰau1	
把	pa3	～握
把	pɛ3	當數量詞
投	tau2	
抗	kʰɔŋ5	
折	tsi5	～疊
折	tsiat7	打～
披	pʰi1	
抱	pʰo6	
抵	te3	
押	aʔ7	
抽	tʰiu1	
拆	tʰiak7	
拇	bo3	
拋	pʰau1	
拌	pʰuã6	
拍	pʰak7	
拐	kuai3	
拒	ki5	
拔	pat7	
拖	tʰua1	
拘	ki1	
招	tsio1	
拜	pai5	
括	kʰuat7	
拯	tsiŋ3	
拱	kiɔŋ3	
拳	kun2	
拼	piã5	
持	tsʰi2	
指	tsi3	
按	an5	
挑	tʰiau1	～戰
挖	ueʔ7	
挨	ai1	
振	tsin5	
挺	tʰiŋ3	
挽	ban3	
捆	kʰun3	
捋	lut8	
捐	kuan1	
捧	pʰɔŋ3	
捷	tsiap8	
掀	hian1	
掃	sau5	
授	siu6	
掌	tsiaŋ3	～握
掌	tsiɔ̃3	手～心
排	pai2	
排	pui5	
掘	kut8	
掛	kuai5	
探	tʰam5	
接	tsiap7	
控	kʰɔŋ5	
推	tʰui1	
掩	iam3	
措	tsʰo5	
揀	kan3	
揉	dzue2	
描	bio2	
提	tʰe2	
插	tsʰap7	～喙，即插嘴
揚	iaŋ2	
換	uã6	
握	ak7	
揪	kʰim6	
揭	kʰiat7	～陽
揮	hui1	
援	ɡuan2	
損	suĩ3	
搖	io2	
搜	siu1	
搞	ka3	
搭	taʔ7	
搶	tsʰiɔ̃3	
摩	mɔ̃2	
摸	mɔ̃1	
摹	mɔ̃2	
撇	pʰiat7	
撈	lau1	
撐	tʰɛ̃1	
撥	puat7	
撫	hu3	
撮	tsʰɔk7	一～米
撲	pʰɔk7	
擁	iɔŋ1	
擇	tik8	
擊	kik7	
擋	tɔŋ5	
操	tsʰau1	
擎	kʰiŋ2	
擒	kʰim2	
擔	tam1	～任
擔	tã5	挑～
擘	pɛk7	
擦	tsʰat7	
擬	nĩ3	
擴	kʰɔk7	
擺	pai3	
擾	dziau3	
攀	pʰan1	
攏	lɔŋ3	
攔	lan2	
攤	tʰuã1	
攪	ka3	
攬	lam3	
支	ki1	
收	siu1	
改	kai3	
攻	kɔŋ1	
放	paŋ5	～假
政	tsiŋ5	
故	kɔ5	
效	hau6	
敏	bin3	
救	kiu5	
敗	pai6	
敘	si6	
教	ka5	～書、～室
教	kau5	～育
敢	kam3	勇～
敢	kã3	～不～
敬	kiŋ5	
整	tsiŋ3	
敵	tik8	
敷	hu1	
數	sɔ5	～字
數	suĩ5	～數
斃	pi6	
文	bun2	
斑	pan1	
料	liau6	
斜	sia2	
斟	tsim1	
斤	kin1	
斬	tsam3	
斯	su1	
新	sin1	
斷	tuan6	決～
斷	tuĩ6	～了
方	hɔŋ1	
方	puĩ1	姓
於	i2	
施	si1	
旁	pʰaŋ2	
旅	li3	
旋	suan2	
族	tsɔk8	
旗	ki2	
既	ki5	
日	dzit8	
旦	tan5	
旨	tsi3	
早	tsa3	
旬	sun2	
旺	ɔŋ6	
昆	kʰun1	
昌	tsʰiaŋ1	
明	biŋ2	
明	kʰun5	
昏	huĩ1	
易	i6	
易	ik8	
星	siŋ1	
映	iŋ5	
是	si6	
時	si2	
晉	tsin5	
晏	uã5	晚也
晚	uan3	～輩
晝	tau5	
晨	sin2	
普	pʰɔ3	
景	kiŋ3	
晴	tsʰiŋ2	
晶	tsiŋ1	
智	ti5	
暈	hun2	
暑	tsʰiu3	
暖	luan3	
暗	am5	
暫	tsiam6	
暮	mɔ̃6	
暴	pɔʔ7	
曆	lik8	
曉	hiau3	
曝	pɔk7	
曠	kʰɔŋ5	
曲	kʰiɔk7	
更	kɛ̃1	三～
更	kiŋ5	～加
曹	tso2	姓
曾	tsaŋ1	姓
曾	tsiŋ2	～經
替	tʰe5	
最	tsue5	
會	hue6	開～
月	ɡueʔ8	
有	u6	
朋	piŋ2	
服	hɔk8	
朗	lɔŋ3	
望	baŋ6	
朝	tiau2	～代
期	ki2	
木	bɔk8	
未	bi6	
本	pun3	
朱	tsu1	
朵	to3	
杆	kuã3	
杉	sam1	
李	li3	
杏	hiŋ6	
材	tsai2	
村	tsʰun1	
杖	tsiɔ̃3	
杜	tɔ6	
杞	ki3	
束	sɔk7	
杭	haŋ2	
杯	pui1	
東	taŋ1	
杷	pʰa2	
松	siɔŋ1	～樹
板	pan3	
枇	pʰi2	
枉	ɔŋ3	
析	sik7	
枕	tsim3	
林	lim2	
枚	bue2	
果	ko3	
枝	ki1	
枯	kʰɔ1	
架	kɛ5	
柄	pɛ̃5	
柏	pɛk7	
某	bɔ3	
柑	kam1	
染	dziam3	
柔	dziu2	
查	tsa1	檢～
柬	kan3	
柳	liu3	
柴	tsʰa2	
柿	kʰi6	
栗	lat8	
核	hak8	審～
核	huk8	果子～
根	kin1	
格	kɛk7	
栽	tsai1	
桂	kui5	
桃	tʰo2	
案	an5	
桌	tok7	
桐	taŋ2	
桶	tʰaŋ3	
梁	niɔ̃2	
梅	bue2	
條	tiau2	
梧	ɡɔ2	
梨	lai2	
梯	tʰui1	
械	hai2	
梳	se1	
棄	kʰi5	
棉	mĩ2	
棋	ki2	
棍	kun5	
棗	tso3	
棚	pɛ̃2	
棟	tɔŋ5	
棠	tɔŋ2	
棧	tsan6	
森	sim1	
棺	kuã1	
椅	i3	
植	tik8	
椒	tsio1	
椰	ia2	
楂	tsa1	
楊	iɔ̃2	
楚	tsɔ3	
楝	lian6	
楫	hau3	
業	ɡiap8	
極	kik8	
概	kʰai5	
榜	paŋ3	
榨	tsa5	
榫	tsuʔ7	
榮	iŋ2	
榴	liu2	
構	kɔ3	
槍	tsʰiɔ̃1	
槐	huai2	
槳	tsiɔ̃3	
樂	ɡak8	音～
樂	lɔk8	
樓	lau2	
標	pio1	中～
標	piau1	～准
樟	tsiɔŋ1	
模	mɔ̃2	～範
樣	iɔ̃6	
樸	pʰɔk7	
樹	tsʰiu6	
橄	kam3	
橋	kio2	
橘	kit7	
橙	tsʰiaŋ2	
機	ki1	
橢	to3	
橫	huã2	
檢	kiam3	
檳	pin1	
櫃	kui6	
櫻	iŋ1	
欄	lan2	
權	kʰuan2	
欖	lam3	
欠	kʰiam5	
次	tsʰu5	
欣	him1	
欲	iɔk8	
欺	kʰi1	
欽	kʰim1	
款	kʰuan3	
歌	kua1	
歎	tʰan5	
歐	au1	
歡	huan1	～呼
歡	huã1	～喜
止	tsi3	
正	tsiã1	～月
正	tsiŋ5	公～
此	tsʰu3	
步	pɔ6	
武	bu3	
歪	uai1	
歲	hue5	
歷	lik8	
歸	kui1	
死	si3	
殊	su2	
殖	tik8	
殘	tsan2	
殯	pin5	
段	tuã6	
殷	in1	
殺	sat7	
殼	kʰak7	
殿	tian6	
毀	hui3	
毅	i6	
毋	m6	
母	bo3	
每	muĩ3	
毒	tɔk8	
比	pʰi3	
毛	mɔ̃2	
毫	ho2	
氏	si6	
民	bin2	
氣	kʰi5	
水	tsui3	
永	iŋ3	
汁	tsiap7	
求	kiu2	
汗	kuã6	
汙	ɔ1	
江	kaŋ1	
池	ti2	
汪	ɔŋ1	
決	kuat7	
汽	kʰi5	
沃	aʔ7	
沖	tsʰiɔŋ1	
沙	sua1	
沛	pʰue5	
河	ho2	
油	iu2	
治	ti6	
沼	tsiau1	
沿	ian2	
況	hɔŋ3	
泄	siat7	
泅	siu2	
泉	tsuã2	
泊	pɔk7	
泌	pʰi5	
法	huaʔ7	
泛	huan5	
泡	pʰau5	
波	pʰo1	
注	tsu5	
泰	tʰai5	
泳	iŋ3	
洋	iɔ̃2	
洗	se3	
洛	lɔk8	
津	tsin1	
洪	aŋ2	
洲	tsiu1	
活	huat8	生～
活	uat8	～的
洽	tsʰiap7	
派	pai5	
流	liu2	
浙	tsiat7	
浦	pʰɔ3	
浩	ho3	
浪	lɔŋ6	
浮	pʰu2	
浴	iɔk8	
海	hai3	
浸	tsim5	
消	siau1	
涉	siap7	
涯	ɡai2	
液	ik8	
淑	siɔk7	
淚	lui6	
淡	tam6	
淨	tsiŋ6	
淩	liŋ2	
淫	ɡin2	
淮	huai2	
深	tsʰim1	
淵	ian1	
混	hun6	
淺	tsʰian3	
添	tʰiam1	
清	tsʰiŋ1	
減	kiam3	
渡	tɔ6	
渣	tsa1	
測	tsʰik7	
港	kaŋ3	
渴	kʰuat7	
渺	miaũ3	
渾	hun2	
湊	tsʰau5	
湖	ɔ2	
湧	iɔŋ3	
湯	tʰəŋ1	
溉	kai5	
源	ɡuan2	
溝	kau1	
溪	kʰe1	
溫	un1	
滅	biat8	
滋	tsu1	
滑	kuʔ7	
滲	sim5	
滴	tik7	
滸	hɔ3	
滾	kun3	
滿	muã3	
漁	hi2	
漆	tsʰat7	
漏	lau6	
演	ian3	
漢	han5	
漫	ban6	
漲	tiɔ̃5	
漸	tsiam6	
漿	tsiɔ̃1	
潑	pʰuat7	
潔	kiat7	
潘	pʰuã1	姓
潛	tsʰiam2	
潤	dzun6	
潭	tʰam2	
潮	tsʰau2	
潰	kʰui5	
潲	tsʰau5	
澀	siap7	
澄	tiŋ2	
澤	tik8	
激	kik7	
濃	lɔŋ2	
濕	sip7	
濟	tse5	
濤	to2	
濫	lam6	
濾	li6	
瀉	sia5	
瀋	sim3	
灌	kuan5	
灘	tʰan1	
灣	uan1	
火	hue3	
灰	hue1	
灸	ku5	
災	tsai1	
炊	tsʰue1	
炎	iam6	
炒	tsʰa3	
炮	pʰau5	
炸	tsa5	
爲	ui2	作～
爲	ui6	～什麼
烈	liat8	
烊	iɔ̃2	融化
烏	ɔ1	
烘	hɔŋ1	
烤	kʰo3	
無	bo2	
焦	ta1	
焰	iam6	
然	dzian2	
煎	tsian1	
煙	ian1	
煤	bue2	
照	tsau5	
煩	huan2	
煮	tsi3	
熄	sik7	
熊	him2	
熏	hun1	
熙	hi1	
熟	tsik8	煮～
熬	ŋaũ2	
熱	dziat8	～氣
熱	luat8	天氣很～
燃	dzian2	
燈	tiŋ1	
燎	liau2	
燒	sio1	
燕	ian5	
燙	tʰəŋ5	
營	iŋ2	～養
燦	tsʰan5	
燭	tsik7	
爆	pɔʔ7	
爐	lɔ2	
爛	nuã6	
爪	dziau3	
爬	pɛ2	
爭	tsɛ̃1	～奪
父	hu6	
爸	pa5	
爸	pɛ6	
爹	tia1	
爺	ia2	
爽	sɔŋ3	
牆	tsʰiɔ̃2	
片	pin2	
片	pʰĩ5	
版	pan3	
牙	ɡɛ2	
牛	ɡu2	
牡	bɔ3	
物	but8	
牯	kɔ3	
牲	sɛ̃1	
特	tik7	
牽	kʰan1	
犀	sai1	
犧	hi1	
犬	kʰian3	
犯	huan6	
狀	tsɔŋ6	
狂	kɔŋ2	
狐	hɔ2	
狗	kau3	
狼	lɔŋ2	
猛	biŋ3	
猜	tsʰai1	
猝	tsʰut7	
猾	kuʔ7	
獄	ɡak8	
獅	sai1	
獎	tsiaŋ3	
獨	tɔk8	
獲	hɔk7	
獵	laʔ8	
獸	siu6	
獻	hian5	
玄	hian2	
率	lut8	
玉	iɔk8	
王	ɔŋ2	
玩	uan2	
玻	po1	
珊	suan1	
珍	tin1	
珠	tsu1	
班	pan1	
現	hian6	
球	kiu2	
理	li3	
琉	liu2	
琴	kʰim2	
瑞	sui6	
瑣	so3	
璃	le2	
環	kʰuan2	
瓊	kʰiŋ2	
瓜	kue1	
瓠	hɔ2	
瓣	pan6	
瓦	hia6	名詞
瓶	pʰiŋ2	
瓷	tsʰu2	
甘	kam1	
甚	sim6	
甜	tĩ1	
生	siŋ1	～活
生	sɛ̃1	～孩子
產	san3	
甥	siŋ1	
用	iɔŋ6	
