#漢字	音標	解釋
□	kʰõŋ4	～嗽
務	vu6	
劣	lie5	
動	dəŋ2	莫～
動	dəŋ6	劳～
助	dzu6	
努	nu2	
劫	tɕie1	
勵	li5	
勁	tɕiən5	有～
勁	tɕiən5	～敌
勞	lɔ2	
勢	sɿ5	
勃	pʰu1	
勇	iən3	
勉	miẽ3	
勋	fən1	
勒	lie5	
勘	kʰan1	～误，～探
募	mo5	
勤	dʑiən2	
勺	ɕio5	～子
勾	tɕio1-	
勾	tɕio5=	～当
勾	kio1=	
勾	kio5=	～当
勿	vu6	
勻	ʋyn2	
包	pɔ1	
匆	tsʰəŋ1	
化	fa5	
北	piɛ1	
匙	zɿ2	汤～
匠	dʑiaŋ6	
匡	tɕʰiaŋ1	
匡	kʰõŋ1	～姓
匣	ɕia5	
匪	fi3	
匹	pʰi1	一～布，一～马
區	tɕʰy1	～域
醫	i1	
匾	piẽ3	
匿	ȵi5	
十	ʂʅ5	
千	tɕʰiẽ1	
升	ʂən1	
午	ʋu3	
半	põŋ5	
華	va2	中～
華	va6	～山
協	ɕie5	
卑	pe1	
卒	tsu1-	兵～
卒	tsuei5=	兵～
卓	tso1	
單	tan1	～独
單	ɣiẽ6	～姓
賣	mai5	
南	nan2	
博	po5	
占	tɕiẽ5-	～卜
占	tsan5=	
盧	lu2	
卤	lu3	
卦	kua5	
臥	ŋo5	
衛	ʋi5	
卯	mɔ3	
印	iən5	～当，～用
危	ʋi2	
即	tɕiɛ1-	
即	tɕi1=	
卻	tɕʰio1	
卵	no3	
卷	kyẽ3	～起
卷	kyẽ5	
卸	ɕie5	
卿	tɕʰiən1	
廠	tʂʰõŋ4	
廳	tʰiən1	
历	li5	
厲	li5	
壓	ia1	
厭	iẽ5	
廁	tɕʰiɛ5	～所，茅～
厘	li2	
厚	ʑio2	
厚	ʑio6	
原	ʋyẽ2	
廂	ɕiaŋ1	
厥	kye1	
厦	sa1	偏～：偏房
厦	ʑia6	
厦	ʑia6	～门
廚	dʑy2	
厮	sɿ1	
去	tɕʰie5-	来～，～皮
去	tɕʰy5=	来～，～皮
縣	vyẽ6	
参	tsʰan1	～差
参	ɕiẽ1	人～
又	iou5	
叉	tsʰa1	
及	tɕʰi5	
友	iou3	
雙	sõŋ1	
反	fan3	
发	fa1	～达
叔	su1	
取	tɕʰy4	
受	ʑiou6	
變	piẽ5	
敘	dʑy6	
叛	pʰõŋ5	
叟	ɕio1	
疊	tʰiɛ5	
口	tɕʰio4-	
口	kʰio4=	
古	ku3	
句	tɕy5	
另	ȵiən5	
叨	tɔ1	唠～
叩	tɕʰio5	～头
叩	kʰio5	～头
只	tsɿ1	
只	tsɿ5	～有
叫	tɕio5	
召	dʑio6	
可	kʰo4	
台	de2	天～，～州
台	de2	
史	sɿ3	
右	iou5	
葉	e5	
號	ɣɔ6	呼～
號	ɣɔ6	～数
司	sɿ1	
嘆	tʰan5	
吁	ʋy2	
吃	tɕʰi1	
各	ko1	
吆	io1	
合	xo5	
吉	tɕi1	
吊	tio5	
同	dəŋ2	
名	miaŋ2-	
名	miən2=	
后	ʑio6	
吏	li5	
吐	tʰu5	～痰
吐	tʰu5	呕～
向	ɕiaŋ5	
嚇	xa1-	～一跳
嚇	ɕia1=	～一跳
嚇	ɕia1=	恐～
吕	ȵy3	
君	kyn1	
吞	tʰiən1	
吟	iən2	
否	fio3	
含	ɣan2	
听	tʰiaŋ5-	～见，～话
听	tʰiən5	～其自然，～任
听	tʰiən5=	～见，～话
启	tɕʰi4	
吴	ʋu2	
吵	tsʰɔ4	
吸	tɕi1-	
吸	ɕi1=	
吹	tsʰi1-	～洋号
吹	fy1	
吹	tsʰuei1=	～风
吼	ʑio2	
吾	ʋu2	
呆	tai1	
呆	tai3	
呈	dʑiən2	
告	kɔ5	
員	ʋyẽ2	
周	tɕiou1	
味	me5	
味	vi6	
呼	fu1	
命	miaŋ5-	
命	miən5=	
和	ɣo2	～气
和	ɣo2	～面
咏	ʋyn3	
咒	tɕiou5	
咨	tsɿ1	
咬	ŋɔ3	
咳	kʰiɛ4=	～嗽
咸	ɣan2	
咽	iẽ5	
哀	ŋai1	
品	tɕiən1	
品	pʰiən4	
哄	xəŋ3	～骗
哈	xa1	
響	ɕiaŋ3	
啞	ŋa3	
噦	ʋyɛ3	
哥	ko1	
哪	na3	～个
哭	kʰu1	
哲	tɕie5	
唆	so1	
脣	ʂən2	
唐	dõŋ2	
嘮	lɔ2	
喚	ɣõŋ6	
售	dʑiou2	
唯	vi2	
唱	tʂʰõŋ5	
啄	tso1	
商	ʂõŋ1	
囉	no1	～嗦
啼	di2	
善	ɣiẽ6	
喉	ʑio2	
喊	xan3	
喜	ɕi3	
喝	xo1	～酒
喝	xo1	～彩，吆～
喧	fyẽ1	
噴	pʰiən1	～水
噴	fən5	～雾器
噴	fən5	～嚏
噴	pʰiən5	～香
喻	vy5	
嗅	ɕiou5	(用鼻子闻)
嗅	ɕiou5	
嗓	sõŋ3	
嗣	zɿ2	
嗽	su5	咳～
嘉	tɕia1	
噓	fy1	
囑	tsu1	
嘴	tɕy3-	
嘴	tsi3=	
噎	e1	
器	tɕʰi5	
嚇	xa1-	恐～
囂	ɕio1	
嚷	ʂõŋ6	
嚼	dʑio6	
囊	nõŋ2	
囚	dʑiou2	
四	sɿ5	
回	ve2	
因	iən1	
团	dõŋ2	
囤	diən2	
園	ʋyẽ2	
困	kʰuəŋ5	
囱	tsʰõŋ1	烟～
圍	ʋi2	
固	ku5	
國	kyɛ1-	
國	ko1=	
圖	du2	
圓	ʋyẽ2	
圈	kʰyẽ1	圆～
土	tʰu4	
聖	ʂən5	
在	dze2-	
在	dze6=	
圭	kuei1	
地	di6	
場	dʐõŋ2	
址	tsʰɿ4	
均	kyn1	
坎	kʰan4	
壞	vai6	
坐	dzo2	
坑	kʰõŋ5	
塊	kʰuai5	
堅	tɕiẽ1	
坛	dan2	
壩	pa5	平川
墳	vən2	
坡	pʰo1	
坤	kʰuəŋ1	
坦	tʰan4	
坪	biaŋ2-	
坪	biən2=	
坯	pʰe1	～胎
坯	pʰe1	土～
坳	ŋɔ5	山～
垂	dzuei2	
壠	nəŋ2	
型	ʑiən2	
垒	le3	
墾	tɕʰiẽ4	
墊	diẽ6	～钱
垮	kʰua4	
埂	kiẽ5	田～
埃	ŋai2	尘～
埋	mai2	
城	fy1	
城	dʑiən2	
域	ʋy5	
培	be2	
基	tɕi1	
堂	dõŋ2	
堆	te1	
堡	pɔ3	
堤	di2	
堪	kʰan1	
堵	tu3	
塑	so1	～像
塔	tʰa1	
塘	dõŋ2	
塞	ɕiɛ1	
填	diẽ2	
境	tɕiən5	
墓	mo5	
牆	dʑiaŋ2	
增	tɕiẽ1	
墟	fy1	
墨	miɛ5	
墩	tiən1	
壁	pi1	
壕	ɣɔ2	
壤	ʂõŋ6	土～
壩	pa5	堤～
士	zɿ6	
壬	ʂən2	
壯	tsõŋ5	
聲	ʂõŋ1-	
聲	ʋi3	
聲	ʂən1=	
殼	kʰo1	
壺	vu2	
處	tɕʰy4	相～
處	tɕʰy4	～所
備	bi6	
复	fu1	～兴
复	fu1	
复	fu1	～原
夏	ʑia6	
夕	ɕi5	
外	ʋe5	
多	to1	
夜	ia5-	
夜	e5=	
够	kio5	
够	kio5=	往上～
大	da6	～夫,～黄
天	tʰiẽ1	
夫	fu1	
央	iaŋ1	
夯	xan1	打～
失	ʂʅ1	
頭	dio2	
夷	i2	
夸	kʰua1	
夾	kiɛ1	
奪	to5	
奇	dʑi2	
奈	nai5	
奉	vəŋ6	
奮	fən5	
奎	kʰuei1	
奏	tɕio5	
奏	tɕʰio5	
契	tɕʰi5	～约
奔	piən1	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	ɕi1	
奠	diẽ6	
奢	ʂa1	
奧	ŋɔ5	
女	ȵy3	
奴	nu2	
奶	nai1	妈奶，称呼语
奶	nai3	吃～
奸	kan1	
好	xɔ3	～坏
好	xɔ3	喜～
如	vy2	
妃	fi1	
妄	ɣõŋ6	
婦	vu6	
媽	ma1	
妓	dʑi6	
妖	io1	
妙	mio5	
妥	tʰo4	
妨	ɣõŋ2	～害
妹	me5	
妻	tɕʰi1	
妾	tɕʰie4	
姆	m̩3	
姊	tsɿ3	
始	sɿ3	
姐	tɕi3-	
姐	tɕiɛ3-	
姐	tɕie3=	
姑	ku1	
姓	ɕiən5	
委	ʋi3	
姘	pʰiən1	
姚	io2	
姜	tɕiaŋ1	
姨	i2	
姻	iən1	
姿	tsɿ1	
威	ʋi1	
嬌	tɕio1	
娘	ȵiaŋ2	
娠	ʂən2	
娩	ʋan3	分～
娛	ʋu5	
娶	dʑy6	
婆	bo2	
婚	fəŋ1	
婢	pe1	
嬰	iən1	
嬸	ʂən3	
婿	ɕi5	女～
媒	me2	
媚	me2	
媳	ɕi1	
嫁	ka5-	
嫁	tɕia5=	
嫂	sɔ3	
嫌	ɣiẽ2	
嫖	bio2	
嫡	ti5	
嫩	ȵiən5	
嬉	ɕi1	
孀	sõŋ1	
子	me2	
子	tsɿ3	
孔	kʰəŋ4	
孕	vyn6	
字	zɿ6	
存	dʑiən2	
孫	ɕiən1-	
孫	səŋ1-	
孝	ɕio5	
孟	məŋ5	
季	tɕi5	
孤	ku1	
學	ɕio5	
孩	ɣai2	
孵	fu1	～小鸡
孽	ȵiẽ1	
寧	iən2	安～,～可
宅	tɕʰiɛ5	
宇	vy3	
守	ɕiou3	
安	ŋan1	
宋	səŋ5	
完	ɣõŋ2	
宏	ɣəŋ2	
宗	tsəŋ1	
官	kõŋ1	
宙	dʑiou2	
定	diən6	
宛	õŋ3	
宜	ȵi2	
寶	pɔ3	
實	ʂʅ5	
寵	tsʰəŋ1	～爱
審	ʂən3	
客	kʰa1-	
客	kʰiɛ1=	
宣	fyẽ1	
室	ʂʅ5	
宪	ɕiẽ5	
宮	kəŋ1	
宰	tse3	
害	ɣai6	
宴	iẽ5	
宵	ɕio1	
家	tɕia1	
容	iən2	
寬	kʰõŋ1	
賓	piən1	
宿	su1	星～
宿	su1	
寂	tɕʰi5	
寄	tɕi5	
寅	iən2	
密	mi5	
寇	tɕʰio5	
富	fu5	
寒	ɣan2	
寓	vy3	
寢	tɕʰiən5	
寞	mo5	
察	tsʰa1	
寡	kua3	
寨	dzai6	
對	te5	
寺	zɿ6	
尋	dʑiən2	
導	dɔ6	
壽	ʑiou6	
封	fəŋ1	
射	ʂa5-	
射	ɣe6=	
將	tɕiaŋ1	～来
將	tɕiaŋ5	大～
尊	tɕiən1	
小	ɕio3	
少	ɕio3	多～
少	ɕio5	～年
尔	e3	
尖	tɕiẽ1	
尘	dʑiən2	
尚	ʂõŋ6	
嘗	dʐõŋ2	
尤	iou2	
堯	io2	
尬	kai5	
就	dʑiou6	
尷	kan1	～尬
屍	sɿ1	
尹	ʋyn3	
尺	tɕʰia1-	
尺	tʂʰʅ1=	
尼	ȵi2	
尽	dʑiən6	～前
尽	dʑiən6	
尾	miən3-	
尾	vi2=	
尿	ȵio5	
局	tɕy5	
屁	pʰi5	
層	dʑiẽ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	抽～，笼～
屆	kai5	
屋	ʋu1	
屎	sɿ3	
屏	biən2	围～
屑	ɕio1	不～
屑	ɕio1	木～
展	tɕiẽ3-	
展	tsan3=	
屬	su5	
屠	du2	
屢	lio3	
履	li3	
履	ȵy3	
屯	diən2	
山	san1	
山	lu2	
歲	ɕi5	
豈	tɕʰi4	
岐	dʑi6	
岔	tsʰa5	三～路
崗	kõŋ3	
島	tɔ3	
岩	ŋai2	
岭	ȵiən3	
岳	io1	
岸	ŋan5	
峽	ɕia5	
峯	fəŋ1	
崇	dzəŋ2	
崑	kʰuəŋ1	
崔	tsʰe1	～姓
崖	ŋai2	山～
崩	piən1	
嵩	səŋ1	
川	kʰyẽ1	
州	tɕiou1	
巡	dʑiən2	
巢	dzɔ2	
工	kəŋ1	
左	tso3	
巧	tɕʰio4	
巨	dʑy6	
鞏	kəŋ3	～固
巫	vu2	
差	tsʰa1	～别，～不多
差	tsʰa1	参～
差	tsʰai1	出～
已	tɕi3	
已	i3	
巳	zɿ6	～时
巴	pa3	
巷	ɣõŋ6	
巾	tɕiən1	
幣	pi5	
市	fy1	
市	zɿ6	
布	pu5	
帥	se5	
帆	van2	
師	sɿ1	
希	ɕi1	
帳	tʂõŋ5	
帕	pʰa5	
帖	tʰie1	碑～，请～
帘	ȵiẽ2	
帚	tɕiou1	
帛	po1	
帝	ti5	
帶	tai5	
席	ɕi5	
幫	põŋ1	
常	dʐõŋ2	
帽	mɔ5	
幅	fu1	
幔	man5	
幕	mo5	
干	kan1	
干	kan1	～湿
平	biaŋ2-	
平	biən2=	
年	ȵiẽ2	
并	piən5	
幸	ʑiən6	
幻	ɣõŋ6	
幼	iou5	
幽	iou1	
廣	kõŋ3	
莊	tsõŋ1	
慶	tɕʰiən5	
庇	pʰi4	
牀	dzõŋ2	
序	dʑy6	
廬	lu2	
庫	kʰu5	
應	iən5	～对，响～
底	ti3	
店	tiẽ5	
廟	mio5	
庚	kiẽ1	
府	fu3	
龐	bõŋ2	
廢	fi5	
度	du6	
座	dzo6	
庭	diən2	
庵	ŋan1	
庶	fy5	
康	kʰõŋ1	
庸	iən2	
廉	ȵiẽ2	
廊	nõŋ2	
廓	ko1	
廖	lio5	～姓
延	ȵiẽ2	
廷	diən2	
建	tɕiẽ5	
開	kʰe1	
异	i5	
弃	ɕi5	
弄	nəŋ5	
弊	pi5	
式	sɿ5	
弓	kəŋ1	
引	iən3	
弘	vəŋ2-	
弘	ɣəŋ2=	
弟	di6	
張	tʂõŋ1	
弥	mi2	
弦	fyẽ2	
彎	õŋ1	
弱	ʑio6	
彈	dan2	～琴
彈	dan6	子～
强	dʑiaŋ2	
强	dʑiaŋ6	勉～，倔～
弼	pʰi1	
歸	kuei1	
當	tõŋ1	～时，应～
當	tõŋ5	～作，典～
录	lu1	
形	ʑiən2	
彩	tsʰe4	
彪	pio1	
彬	piən1	
彭	bəŋ2	
影	iən3	
彷	xõŋ3	～佛
役	ʋy5	
徹	tɕʰie1	
彼	pi3	
往	õŋ5	
征	tɕiən1	～求
征	tɕiən1	
徑	tɕiən1	
待	de6	
很	ɕiẽ3	
律	ȵy5	
後	ʑio6	
徐	dʑy2	
徒	du2	
得	tiɛ1	
徛	dʑi2	站
御	ʋy5	
循	dʑiən2	
微	vi2	
微	tɕiən5	
德	tiɛ1	
徽	fe1	
心	ɕiən1	
必	pi1	
憶	i5	
忌	dʑi6	
忍	ʑiən2	
忖	tsʰəŋ5	
志	tsɿ5	
忘	ɣõŋ2	
忙	mõŋ2	
忠	tɕiən1	
憂	iou1	
快	kʰuai5	
念	ȵiẽ5	
忽	fu5-	
忽	fu1=	
懷	vai2	
態	tʰai4	
慪	ŋio5	～气
怒	lu5	
怕	pʰa5	
怖	pu5	恐～
憐	ȵiən2	
思	sɿ1	
怠	de6	
急	tɕi1	
性	ɕiən5	
怨	ʋyẽ5	
怪	kuai5	
怯	ɕie5	
總	tsəŋ3	
恃	zɿ6	
戀	ȵiẽ5	
恐	kʰəŋ4	
恆	ɣiẽ2	
恕	fy5	
恢	fe1	
恤	fye1	
恨	ɣiẽ6	
恩	ŋiẽ1	
恭	kəŋ1	
息	ɕi1	
恰	tɕʰia5	
懇	tɕʰiẽ4-	
懇	kʰiẽ4=	
恶	o1	可～
恶	o1	善～
惱	lɔ3	
悄	tɕʰio1	静～～
悉	ɕi1	
悔	fe5	
悟	ʋu5	
悠	iou1	
患	ɣõŋ6	
悅	ʋye1	
懸	fyẽ2	
憫	miən3	
悲	pe1	
情	dʑiən2	
驚	tɕiən1	
惑	fyɛ5	
惜	ɕi1	
惟	vi2	
惠	ve6	
懼	dʑy6	
慘	tsʰan4	
懲	tɕiən5	
慚	dzan6	
慣	kõŋ5	
惰	do6	
想	ɕiaŋ3	
惹	ia3	
愁	dʑio2	
愈	vy5	～好，病～
愉	ʋy5	
意	i5	
愚	vy2	
感	kan3	
憤	fən5	
愧	kʰuei5	
慈	zɿ2	
慌	xõŋ1	
慎	ʐən6	
慕	mo5	
慢	man5	
慧	fe5	
慧	ve6	
慨	kʰai4	慷～～，感～
慰	vi5	
慰	vy5	
慷	kʰõŋ1	～慨
憋	pi1	
憎	tɕiẽ1	
憨	xan1	
憾	ɣan2	
懂	təŋ3	
懈	ɣai6	
懊	ŋɔ5	～恼
懊	ŋɔ5	
懶	nan3	
懵	məŋ3	～懂
戈	ko1	
戊	vu6	
戌	fy1	
戍	fy1	
戎	iən2	
戲	ɕi5	
成	dʑiən2	
我	ŋo3	
戒	kai5	
或	fyɛ5	
戰	tɕiẽ5-	
戰	tsan5=	
戚	tɕʰi5	
戟	tɕiẽ3	方天画～
截	tɕʰie1	
戳	tsʰo1	
戴	tai5	
戶	vu6	
戽	fu5	～水
房	ɣõŋ2	
所	su3	
扁	piẽ3	
扇	ɕiẽ1	
扇	ɕiẽ5	
手	ɕiou3	
才	dze2	
扎	tsa3	
扑	pʰu1	
打	ta3	
扔	ʂən6	
托	tʰo1	
扛	kõŋ5	
扣	tɕʰio5-	～住
扣	kʰio5=	～住
執	tʂʅ1	
擴	kʰo5	～充
掃	sɔ5	～地
揚	iaŋ2	
扭	ȵiou3	
扮	pan5	
扯	tɕʰia4	
擾	ʑio2	
扳	pan1	
扶	vu2	
批	pʰi1	
扼	ŋiɛ1	
找	tsɔ3	
承	dʑiən2	
技	dʑi6	
抄	tsʰɔ1	～写
把	pa3	
把	pa5	
抑	i5	
抓	tsa1	
投	dio2	
抖	tio3	
抗	kʰõŋ5	
折	tɕie1	～断
撫	vu2	
抛	pʰɔ1	
搶	tɕʰiaŋ4	
護	fu5	
報	pɔ5	
披	pʰi1	
抬	de2	
抱	bɔ6	
抵	ti3	
抹	ma1	～布，～桌子
抹	mo1	
押	ia1	
抽	tɕʰiou1	
擔	tan1	～任
擔	tan5	挑～
拆	tsʰa1-	开～
拆	tɕʰie1=	～开
拈	tɕiẽ1	～起来
拉	la1	
拌	bõŋ2	
拍	pʰiɛ1	
拎	ȵiən2	
拐	kuai3	
拒	dʑy6	
拔	pʰa5	
拖	tʰo1	
拘	tɕy1	
拘	tɕy5	
拚	pʰõŋ5	～命
招	tɕio1	
拜	pai5	
擬	i3	
攏	nəŋ3	
揀	tɕiẽ3	
擁	iən3	
攔	nan2	
撥	po1	
擇	tɕʰiɛ5	
擇	tɕʰiɛ5	～菜，～择
括	kua1	包～
拯	dʑiən2	
拯	dʑiən2	～救
拱	kəŋ3	～手
拳	ɡyẽ2	
拴	sõŋ1	
拼	pʰiən1	
拾	ʂʅ5	～起来
拿	la2	
持	dʐʰʅ2	
挂	kua5	
指	tsɿ3	
按	ŋan5	
挑	tʰio1	
挖	ʋyɛ1-	
挖	ʋa1=	
挾	kiɛ1	～菜
擋	tõŋ3	阻～
擠	tɕi3	
揮	fe1	
挨	ŋai1	～近
挨	ŋai2	～近,～打
挪	la1	
振	tɕiən5	
挺	tʰiən4	
挽	õŋ3	
捅	tʰəŋ4	～破了
捆	kʰuəŋ5	
捉	tso1	
捋	liɛ5	～起袖子
捎	ɕio1	
捏	ȵiẽ3	
捐	kyẽ1	
捕	bu2	
撈	lɔ2	
損	ɕiən3-	
損	səŋ3=	
換	ɣõŋ6	
捧	pʰəŋ4	
捨	ʂe3	
据	tɕy5	
捱	ŋai2	
捷	tɕʰie5	
捺	la1	～捺
捻	ȵiẽ3	以指碾碎
掀	ɕiẽ1	
掂	tiẽ5	～掇
授	ʑiou6	
掉	tio5	
掌	tʂõŋ3	
掏	dɔ2	～出来
掐	kʰa1	
排	bai2	
掘	kye1	
掠	lio5	
