#漢字	音標	解釋
㕫	口4	
㕬	口4	
㕭	口4	
㕮	口4	
㕯	口4	
㕰	口4	
㕱	口4	
㕲	口4	
㕳	口4	
㕴	口4	
㕵	口4	
㕶	口4	
㕷	口5	
㕸	口5	
㕹	口5	
㕺	口5	
㕻	口5	
㕼	口5	
㕽	口5	
㕾	口5	
㕿	口5	
㖀	口6	
㖁	口6	
㖂	口6	
㖃	口6	
㖄	口6	
㖅	口6	
㖆	口6	
㖇	口6	
㖈	口6	
㖉	口6	
㖊	口6	
㖋	口6	
㖌	口6	
㖍	口6	
㖎	口6	
㖏	口7	
㖐	口7	
㖑	口7	
㖒	口7	
㖓	口7	
㖔	口7	
㖕	口7	
㖖	口7	
㖗	口7	
㖘	口7	
㖙	口7	
㖚	口7	
㖛	口7	
㖜	口7	
㖝	口7	
㖞	口7	
㖟	口8	
㖠	口8	
㖡	口8	
㖢	口8	
㖣	口8	
㖤	口8	
㖥	口8	
㖦	口8	
㖧	口8	
㖨	口8	
㖩	口8	
㖪	口8	
㖫	口8	
㖬	口8	
㖭	口8	
㖮	口8	
㖯	口8	
㖰	口8	
㖱	口8	
㖲	口8	
㖳	口8	
㖴	口8	
㖵	口8	
㖶	口9	
㖷	口9	
㖸	口9	
㖹	口9	
㖺	口9	
㖻	口9	
㖼	口9	
㖽	口9	
㖾	口9	
㖿	口9	
㗀	口9	
㗁	口9	
㗂	口9	
㗃	口9	
㗄	口9	
㗅	口9	
㗆	口9	
㗇	口9	
㗈	口9	
㗉	口9	
㗊	口9	
㗋	口9	
㗌	口9	
㗍	口9	
㗎	口9	
㗏	口9	
㗐	口9	
㗑	口9	
㗒	口10	
㗓	口10	
㗔	口10	
㗕	口10	
㗖	口10	
㗗	口10	
㗘	口10	
㗙	口10	
㗚	口10	
㗛	口10	
㗜	口10	
㗝	口10	
㗞	口10	
㗟	口10	
㗠	口10	
㗡	口10	
㗢	口11	
㗣	口11	
㗤	口11	
㗥	口11	
㗦	口11	
㗧	口11	
㗨	口11	
㗩	口11	
㗪	口11	
㗫	口11	
㗬	口11	
㗭	口11	
㗮	口11	
㗯	口11	
㗰	口11	
㗱	口12	
㗲	口12	
㗳	口12	
㗴	口12	
㗵	口12	
㗶	口12	
㗷	口12	
㗸	口12	
㗹	口12	
㗺	口12	
㗻	口13	
㗼	口13	
㗽	口13	
㗾	口13	
㗿	口13	
㘀	口13	
㘁	口13	
㘂	口13	
㘃	口13	
㘄	口13	
㘅	口14	
㘆	口14	
㘇	口14	
㘈	口14	
㘉	口15	
㘊	口15	
㘋	口15	
㘌	口15	
㘍	口15	
㘎	口15	
㘏	口15	
㘐	口16	
㘑	口16	
㘒	口16	
㘓	口17	
㘔	口17	
㘕	口18	
㘖	口18	
㘗	口18	
㘘	口19	
㘙	口20	
㘚	口20	
㘛	口22	
㘜	口23	
㘝	囗2	
㘞	力3	
㘟	囗3	
㘠	囗5	
㘡	囗5	
㘢	囗6	
㘣	囗7	
㘤	囗11	
㘥	囗17	
㘦	土2	
㘧	土4	
㘨	土4	
㘩	土4	
㘪	土4	
㘫	土4	
㘬	土4	
㘭	土4	
㘮	土4	
㘯	土4	
㘰	土4	
㘱	土5	
㘲	土5	
㘳	土5	
㘴	土5	
㘵	土5	
㘶	土6	
㘷	土6	
㘸	土6	
㘹	土6	
㘺	土6	
㘻	土6	
㘼	土6	
㘽	土6	
㘾	土6	
㘿	土7	
㙀	土7	
㙁	土7	
㙂	土7	
㙃	土7	
㙄	土7	
㙅	土7	
㙆	土7	
㙇	土8	
㙈	土8	
㙉	土8	
㙊	土8	
㙋	土8	
㙌	土8	
㙍	土8	
㙎	土9	
㙏	土9	
㙐	土9	
㙑	土9	
㙒	土9	
㙓	土9	
㙔	土9	
㙕	土9	
㙖	土9	
㙗	土9	
㙘	土9	
㙙	土10	
㙚	土10	
㙛	土10	
㙜	土10	
㙝	土10	
㙞	土10	
㙟	土10	
㙠	土11	
㙡	土11	
㙢	土11	
㙣	土11	
㙤	土11	
㙥	土11	
㙦	土11	
㙧	土12	
㙨	土12	
㙩	土12	
㙪	土12	
㙫	土12	
㙬	土12	
㙭	土12	
㙮	土12	
㙯	土12	
㙰	土13	
㙱	土13	
㙲	土13	
㙳	土13	
㙴	土13	
㙵	土13	
㙶	土13	
㙷	土14	
㙸	土14	
㙹	土14	
㙺	土14	
㙻	土15	
㙼	土15	
㙽	土15	
㙾	土16	
㙿	土16	
㚀	土17	
㚁	土21	
㚂	土22	
㚃	士9	
㚄	士12	
㚅	夂6	
㚆	夊6	
㚇	夊6,攴6	
㚈	夕2	
㚉	夕5	
㚊	夕9	
㚋	夕11	
㚌	夕11	
㚍	夕15	
㚎	大2	
㚏	大3	
㚐	大3	
㚑	大3	
㚒	大4	
㚓	大4	
㚔	大5	
㚕	大5	
㚖	大5	
㚗	大5	
㚘	大5	
㚙	大5	
㚚	大6	
㚛	大6	
㚜	大8	
㚝	大8	
㚞	大8	
㚟	大9	
㚠	大10	
㚡	大13	
㚢	女2	
㚣	女3	
㚤	女3	
㚥	女3	
㚦	女3	
㚧	女3	
㚨	女3	
㚩	女4	
㚪	女4	
㚫	女4	
㚬	女4	
㚭	女4	
㚮	女4	
㚯	女4	
㚰	女5	
㚱	女5	
㚲	女5	
㚳	女5	
㚴	女5	
㚵	女5	
㚶	女5	
㚷	女5	
㚸	女5	
㚹	女5	
㚺	女5	
㚻	女5	
㚼	女5	
㚽	女5	
㚾	女5	
㚿	女5	
㛀	女5	
㛁	女5	
㛂	女6	
㛃	女6	
㛄	女6	
㛅	女6	
㛆	女6	
㛇	女6	
㛈	女6	
㛉	女6	
㛊	女6	
㛋	女6	
㛌	女6	
㛍	女7	
㛎	女7	
㛏	女7	
㛐	女7	
㛑	女7	
㛒	女7	
㛓	女7	
㛔	女7	
㛕	女7	
㛖	女7	
㛗	女7	
㛘	女7	
㛙	女7	
㛚	女7	
㛛	女7	
㛜	女7	
㛝	女7	
㛞	女7	
㛟	女7	
㛠	女4	
㛡	女7	
㛢	女7	
㛣	女7	
㛤	女7	
㛥	女8	
㛦	女8	
㛧	女8	
㛨	女8	
㛩	女8	
㛪	女8	
㛫	女8	
㛬	女8	
㛭	女8	
㛮	女9	
㛯	女9	
㛰	女9	
㛱	女9	
㛲	女9	
㛳	女9	
㛴	女9	
㛵	女9	
㛶	女9	
㛷	女9	
㛸	女9	
㛹	女9	
㛺	女9	
㛻	女9	
㛼	女9	
㛽	女9	
㛾	女9	
㛿	女9	
㜀	女9	
㜁	女9	
㜂	女9	
㜃	女9	
㜄	女9	
㜅	女10	
㜆	女10	
㜇	女10	
㜈	女10	
㜉	女10	
㜊	女10	
㜋	女10	
㜌	女10	
㜍	女10	
㜎	女10	
㜏	女10	
㜐	女10	
㜑	女10	
㜒	女10	
㜓	女10	
㜔	女10	
㜕	女11	
㜖	女11	
㜗	女11	
㜘	女11	
㜙	女11	
㜚	女11	
㜛	女11	
㜜	女11	
㜝	女11	
㜞	女11	
㜟	女11	
㜠	女11	
㜡	女11	
㜢	女11	
㜣	女12	
㜤	女12	
㜥	女12	
㜦	女12	
㜧	女12	
㜨	女12	
㜩	女13	
㜪	女13	
㜫	女13	
㜬	女13	
㜭	女13	
㜮	女14	
㜯	女14	
㜰	女15	
㜱	女15	
㜲	女16	
㜳	女16	
㜴	女16	
㜵	女16	
㜶	女17	
㜷	女17	
㜸	女17	
㜹	女18	
㜺	女19	
㜻	女23	
㜼	女23	
㜽	子3	
㜾	子4	
㜿	子4	
㝀	子5	
㝁	子6	
㝂	子7	
㝃	子7	
㝄	子9	
㝅	子10	
㝆	子12	
㝇	子13	
㝈	子22	
㝉	宀1	
㝊	宀2	
㝋	宀2	
㝌	宀3	
㝍	宀3	
㝎	宀4	
㝏	宀4	
㝐	宀4	
㝑	宀4	
㝒	宀5	
㝓	宀6	
㝔	宀6	
㝕	宀6	
㝖	宀6	
㝗	宀7	
㝘	宀7	
㝙	宀7	
㝚	宀7	
㝛	宀8	
㝜	宀8	
㝝	宀8	
㝞	宀8	
㝟	宀8	
㝠	宀8	
㝡	宀8	
㝢	宀9	
㝣	宀9	
㝤	宀10	
㝥	宀10	
㝦	宀10	
㝧	宀10	
㝨	宀10	
㝩	宀11	
㝪	宀11	
㝫	宀11	
㝬	宀11	
㝭	宀12	
㝮	宀12	
㝯	宀12	
㝰	宀15	
㝱	宀18	
㝲	宀23	
㝳	寸2	
㝴	寸4	
㝵	寸5	
㝶	寸7	
㝷	寸9	
㝸	小7	
㝹	小9	
㝺	小11	
㝻	小12	
㝼	尢3	
㝽	尢4	
㝾	尢5	
㝿	尢5	
㞀	尢6	
㞁	尢6	
㞂	尢7	
㞃	尢8	
