#漢字	音標	解釋
㖪	xɔʔ7	吵鬧
仰	ȵiã3	白讀
件	tɕʰĩ6	
任	ɻəŋ6	
份	fəŋ6	
仿	fã3	
企	tʃʰɨᶨ3	
伊	jɨᶨ1	
伍	ʋ̩3	
伎	tʃʰɨᶨ6	
伏	fɔʔ8	
伏	pʰʋ6	孵蛋
伐	fʲɛʔ8	
休	ɕəɪ1	
伙	xʊ3	
伢	ŋɑ2	
伯	pɔʔ7	
估	kʋ3	
伴	pʰʊ̃ᵘ̃6	
伸	ʂəŋ1	
伺	tsʰɿ5	
伺	sɿ5	
似	sɿ6	
但	tʰʲɛ̃6	
佈	pʋ5	
位	ʋəɪ6	
低	tʃɨᶨ1	
住	tʂʰʋ6	
佐	tsʊ3	
佑	iʊ6	
佔	tʂĩ5	
何	xʊ2	
佘	ʂɑ1	姓
余	ɥyᶨ2	
佛	fəʔ7	
佛	fəʔ8	
作	tsaʔ7	
佞	niŋ6	
佟	tʰɔŋ2	
你	ni3	
佣	iɔŋ6	
佩	pʰəɪ5	
佬	lɔ3	
佮	kʊᵘʔ7	～算
佰	pɔʔ7	
佳	tɕiɑ1	
併	piŋ5	
使	sɿ3	
侄	tʂʰiʔ8	
來	lɛ2	
侈	tʂʰʅ3	
侉	kʰuɑ3	
例	lɨᶨ6	
侍	ʂʅ6	
供	kɔŋ5	
依	jɨᶨ1	
侯	xəɪ2	
侵	tɕʰiŋ1	
侷	tɕʰiɔʔ8	
便	pʰəɪ2	～宜
便	pʰĩ2	～宜
便	pʰĩ6	方～
係	ʃɨᶨ6	
促	tsʰɔʔ7	
俄	ŋʊ2	
俊	tɕyŋ5	
俊	tsuəŋ5	
俏	tɕʰiɔ5	
俐	lɨᶨ6	
俗	tsʰɔʔ8	白讀
俗	sɔʔ8	文讀
保	pɔ3	
俞	ɥyᶨ2	
俠	xʲɛʔ8	白讀
俠	ɕiɛʔ8	
信	ɕiŋ5	
俬	sɿ1	
修	ɕəɪ1	
俯	fʋ3	
俱	tɕyᶨ5	
俸	fɔŋ6	
倆	liã3	
倈	lɛ2	人稱複數
倉	tsʰã1	
個	kʊ5	
倍	pəɪ5	文讀
們	məŋ2	
倒	tɔ3	
倒	tɔ5	
倔	tɕʰyəʔ8	
倖	ɕiŋ6	
候	xəɪ6	
倚	jɨᶨ3	
借	tɕiɑ5	
倡	tʂʰã5	
倦	tɕʰiʊ̃ᵘ̃6	
倩	tɕʰiŋ5	幫，請
倩	tɕʰĩ5	
倫	ləŋ2	
倭	ʊ1	
值	tʂʰəʔ8	
假	tɕiɑ3	
偉	ʋəɪ3	
偌	ɻɑ6	
偏	pʰĩ1	
做	tsʊ5	
停	tʰiŋ2	
健	tɕĩ5	
側	tsʰəʔ7	文讀
側	tsəʔ7	白读
偶	ŋəɪ3	
偷	tʰəɪ1	
僞	ʋəɪ3	
傀	kʰuəɪ3	
傅	fʋ5	
傍	pã1	
傑	tɕʰiʔ8	
傘	sʲɛ̃3	
備	pʰəɪ6	
催	tsʰuəɪ1	
催	tɕʰyᶨ1	白讀
傲	ŋɔ6	
傳	tʂʰʊ̃ᵘ̃2	
傳	tʂʰʊ̃ᵘ̃6	
傳	tʂʊ̃ᵘ̃5	
債	tsɛ5	
傷	ʂã1	
傻	ʂɑ3	
傾	tɕʰiŋ1	
傾	tɕʰiŋ3	
僅	tɕiŋ3	
像	tɕʰiã6	
僑	tɕʰiɔ2	
僚	liɔ2	
僥	tɕiɔ3	
僧	səŋ1	
僵	tɕiã1	
價	tɕiɑ5	文讀
僻	pʰiəʔ7	
儀	jɨᶨ2	
億	jɨᶨ5	
儉	tɕĩ3	
儒	ɻʋ2	
儘	tɕiŋ3	
儘	tɕyŋ3	白讀
償	ʂã2	
優	iʊ1	
儲	tʂʰʋ2	
儾	nã5	下垂
允	yŋ3	
元	iʊ̃ᵘ̃2	
兄	ɕiɔŋ1	
充	tʂʰɔŋ1	
兆	tʂʰɔ6	
兇	ɕiɔŋ1	
先	ɕĩ1	
光	kuã1	
克	kʰəʔ7	
兌	tʰuəɪ6	
免	mĩ3	
兒	ɚ2	
兒	ni0	甚～
兔	tʰʋ5	
兜	təɪ1	
入	ɻəʔ8	
內	nuəɪ6	
全	tɕʰyĩ2	
兩	lʲɛ̃3	～個
兩	liã3	斤～
八	pʲɛʔ7	
公	kɔŋ1	
六	lɔʔ8	
共	kɔŋ5	文讀
共	kʰɔŋ3	白讀
共	kʰɔŋ6	白讀
兵	piŋ1	
其	tʃʰɨᶨ2	
具	tɕyᶨ5	文讀
具	tɕyᶨ5	
具	tɕʰyᶨ6	白讀
典	tĩ3	
兼	tɕĩ1	
內	nəɪ6	文讀
內	ȵy6	白讀
冊	tsʰəʔ7	
再	tsɛ5	
冒	mɔ6	
冗	ɻɔŋ3	
冚	kʰʊ̃ᵘ̃3	蓋
冠	kʊ̃ᵘ̃1	鷄～
冠	kʊ̃ᵘ̃5	
冤	iʊ̃ᵘ̃1	
冥	miŋ2	
冪	miəʔ8	
冬	tɔŋ1	
冰	piŋ1	
冷	ləŋ3	
准	tʂuəŋ3	
凌	liŋ2	
凍	tɔŋ5	
凙	tʰaʔ8	凌～
凝	niŋ2	
几	tʃɨᶨ3	
凡	fʲɛ̃2	
凰	xuã2	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕiɔŋ1	
凸	tʰəʔ8	
凹	ŋɔ1	
凹	ʋɑ5	地名，～桥村
凹	ʋaʔ7	
出	tʂʰuəʔ7	
函	xʲɛ̃2	
函	kʰʲɛ̃2	細～子
刀	tɔ1	
刁	tiɔ1	
刃	ɻəŋ6	
分	fəŋ1	
分	fəŋ6	
切	tɕʰiʔ7	
刊	kʰʊ̃ᵘ̃1	
刑	ɕiŋ2	
划	xuɑ2	
划	ʋɑ2	白讀
列	liʔ8	
初	tsʰʋ1	
判	pʰʊ̃ᵘ̃5	
別	piʔ7	～针
別	pʰiʔ8	
刨	pʰɔ6	
利	lɨᶨ6	
刪	sʲɛ̃1	
刪	sʲuɛ̃1	
刮	kʲuɛʔ7	
到	tɔ5	
刳	kʰuɑ2	刮
制	tʂʅ5	
刷	sʲuɛʔ7	
券	tɕʰiʊ̃ᵘ̃5	
刺	tsʰɿ5	
刻	kʰəʔ7	
剁	tʊ5	
剃	tʃʰɨᶨ5	
剆	lʊ3	切割
則	tsəʔ7	
削	ɕiaʔ7	
剋	kʰəʔ8	挤
前	tɕʰĩ2	
剎	sʲɛʔ8	
剔	tʰiəʔ7	
剛	kã1	
剝	paʔ7	
剩	tʂʰəŋ5	
剪	tɕĩ3	
剮	kuɑ3	
副	fʋ5	
割	kʊᵘʔ7	
創	tʂʰuã1	
創	tʂʰuã5	
剿	tɕiɔ3	
劃	xuɑ6	
劃	ʋɑ6	白讀
劇	tɕʰiaʔ7	
劈	pʰiəʔ7	
劉	ləɪ2	
劍	tɕĩ5	
劑	tʃʰɨᶨ6	
劗	tsʲɛ̃1	～肉
力	liəʔ8	
功	kɔŋ1	
加	kɑ1	白讀
加	tɕiɑ1	文讀
劣	liʔ8	
劤	tɕiŋ5	有力氣
助	tʂʰʋ6	
努	nʋ3	
劫	tɕiʔ7	
勁	tɕiŋ5	強大
勃	pʰəʔ8	
勇	iɔŋ3	
勉	mĩ3	
勒	ləʔ8	
動	tʰɔŋ6	
勘	kʰʊ̃ᵘ̃1	
務	ʋ̩6	
勝	ʂəŋ5	
勞	lɔ2	
募	mʊ6	
勢	ʂʅ5	
勣	tɕiəʔ7	
勤	tɕʰiŋ2	
勳	ɕyŋ1	
勵	lɨᶨ6	
勸	tɕʰiʊ̃ᵘ̃5	
勺	ʂaʔ8	
勻	yŋ2	
勾	kəɪ1	
勿	ʋəʔ8	
包	pɔ1	
匆	tsʰɔŋ1	
匕	pɨᶨ3	
化	xuɑ5	
北	pɔʔ7	
匙	tʂʰʅ2	
匝	tsʲɛʔ7	
匠	tɕʰiã6	
匡	kʰuã1	
匣	xʲɛʔ8	
匪	fəɪ3	
匯	xuəɪ6	
匹	pʰiəʔ7	
匾	pĩ3	
匿	niəʔ8	
區	tɕʰyᶨ1	
十	ʂəʔ8	
千	tɕʰĩ1	
升	ʂəŋ1	
午	ʋ̩3	
卉	xuəɪ5	
半	pʊ̃ᵘ̃5	
卑	pəɪ1	
卒	tsɔʔ7	
卓	tʂuaʔ7	
協	ɕiʔ8	
南	nɑ1	
南	nʊ̃ᵘ̃2	
博	paʔ7	
卜	pɔʔ7	
占	tʂĩ1	
卡	kʰɑ2	借字。搶；騎跨
卡	kʰɑ3	
卦	kuɑ5	
卯	mɔ3	
印	iŋ5	
危	ʋəɪ2	
即	tɕiəʔ7	
卵	lʊ̃ᵘ̃3	
卷	tɕiʊ̃ᵘ̃3	
卸	ɕiɑ5	
卻	tɕʰiaʔ7	
厄	ŋəʔ7	
厘	lɨᶨ2	
厚	xəɪ6	
原	iʊ̃ᵘ̃2	
厥	tɕiʊʔ7	
厭	ĩ5	
厲	lɨᶨ6	
去	tʃʰɨᶨ5	白讀
去	tɕʰyᶨ5	文讀
去	tʰi5	忑～着
參	tsʰʲɛ̃1	
參	tsʰəŋ1	
參	səŋ1	
叄	sʲɛ̃1	
又	iʊ6	
叉	tʂʰɑ1	
及	tɕʰiəʔ8	
友	iʊ3	
反	fʲɛ̃3	
叔	ʂɔʔ7	
取	tɕʰyᶨ3	
受	ʂəɪ6	
叛	pʰʊ̃ᵘ̃5	
叟	səɪ3	
叢	tsʰɔŋ2	
口	kʰəɪ3	
古	kʋ3	
句	tɕyᶨ5	文讀
句	tɕʰyᶨ6	白讀
另	liŋ6	
叨	tɔ1	
叩	kʰəɪ5	
只	tʂəʔ7	
叫	tɕiɔ5	
召	tʂʰɔ6	
叭	pɑ1	
叮	tiŋ1	
可	kʰʊ3	
台	tʰɛ1	
史	sɿ3	
史	ʃɨᶨ3	姓氏避諱音
右	iʊ6	
司	sɿ1	
叼	tiɔ1	
各	kaʔ7	
吆	iɔ1	
合	kʊᵘʔ7	
合	xʊᵘʔ8	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰɔŋ2	
名	miŋ2	
后	xəɪ6	
吏	lɨᶨ6	
吐	tʰʋ3	
吐	tʰʋ5	
向	ɕiã5	方～
向	ɕiã6	～南
吒	tʂɑ5	
吖	ŋɑ1	
吙	xʊ1	借字，表示蒸
君	tɕyŋ1	
吝	liŋ6	
吞	tʰəŋ1	
吟	iŋ2	
吠	fəɪ6	
否	fəɪ3	
吧	pɑ0	
吧	pɑ1	
吩	fəŋ1	
含	xʊ̃ᵘ̃2	
吭	kʰã2	聲稱，堅持認為
吭	kʰəŋ1	
吳	ʋ̩2	
吵	tsʰɔ3	
吶	nɛ1	
吶	nʲɛʔ8	
吸	ɕiəʔ7	
吹	tʂʰuəɪ1	
吻	ʋəŋ3	
吼	xəɪ3	
吾	ʋ̩2	
呀	iɑ1	
呂	lyᶨ3	
呃	əʔ7	
呆	tɛ1	
呆	ŋɛ2	
呈	tʂʰəŋ2	
告	kɔ5	
呢	ȵɨᶨ2	
周	tʂəɪ1	
呲	tsʰɿ1	
味	ʋəɪ6	
呵	xʊ1	
呸	pʰəɪ0	
呼	xʋ1	
命	miŋ6	
咋	tsɑ3	
和	xʊ2	
和	xʊ6	
和	xʋ2	摸～：打長牌
咐	fʋ5	
咑	tɑ1	
咒	tʂəɪ5	
咕	kʋ1	
咖	kʰɑ1	
咚	tɔŋ1	
咦	jɨᶨ2	
咧	lɛ3	
咨	tsɿ1	
咩	miɑ6	
咪	mɨᶨ2	
咪	mɨᶨ3	
咬	ŋɔ3	
咱	tsɑ1	
咳	xɛ1	
咳	kʰəʔ7	
咸	xʲɛ̃2	
咽	iʔ7	
咽	ĩ1	
哀	ŋɛ1	
品	pʰiŋ3	
哄	xɔŋ1	
哄	xɔŋ3	
哆	tʊ1	
哈	xɑ1	
哎	ŋɛ0	
員	iʊ̃ᵘ̃2	
哥	kʊ1	
哨	ʂɔ5	
哩	li0	語氣詞
哪	lɑ3	
哪	nɑ3	文讀
哭	kʰɔʔ7	
哮	ɕiɔ5	
哼	xəŋ1	
哿	kʊ3	～曾
唄	pɛ0	
唆	sʊ1	
唇	ʂuəŋ2	
唉	ɛ1	
唐	tʰã2	
唩	ʊ2	～啰
唬	xʋ3	
售	ʂəɪ6	
唯	ʋəɪ2	
唰	sʲuɛʔ7	
唱	tʂʰã5	
唷	iɔʔ0	
唸	nĩ6	
唾	tʰʊ5	
啃	kʰəŋ3	
啄	tɔʔ7	白讀
啄	tʂuaʔ7	文讀
商	ʂã1	
啊	ɑ1	应答
啊	ɑ2	表疑惑
問	məŋ6	
問	ʋəŋ6	
啐	tsʰuɛ5	
啐	tsʰuəɪ5	
啓	tʃʰɨᶨ3	
啜	tʂʰʊᵘʔ7	
啞	ŋɑ3	
啞	ŋɑ5	
啟	tʃʰɨᶨ3	
啡	fəɪ1	
啣	xʲɛ̃2	
啤	pʰɨᶨ2	
啦	lɑ1	
啷	lã1	
啼	tʃʰɨᶨ2	
喂	ʋəɪ2	
喃	nʲɛ̃2	
善	ʂĩ6	
喇	lɑ3	
喉	xəɪ2	
喊	xʲɛ̃3	文讀
喊	xʲɛ̃5	白讀
喏	naʔ8	語氣詞，提醒別人注意
喔	ʋɔʔ7	
喖	kʰʋ2	抽泣
喘	tʂʰʊ̃ᵘ̃3	
喚	xʊ̃ᵘ̃5	
喜	ʃɨᶨ3	
喝	xʊᵘʔ7	
喝	ŋɛ5	聲音嘶啞
喠	tʂɔŋ3	喫的貶稱
喧	ɕiʊ̃ᵘ̃1	
喪	sã1	
喪	sã5	
喫	tɕʰiəʔ7	
喬	tɕʰiɔ2	
單	tʲɛ̃1	
喱	lɨᶨ2	
喲	iaʔ0	
喳	tʂɑ1	
喵	miɔ1	
喻	ɥyᶨ6	
嗄	ʂɑ5	聲音嘶啞
嗅	ɕəɪ5	
嗆	tɕʰiã1	
嗇	səʔ7	
嗌	ŋɛ5	咽喉窒塞
嗍	ʂuaʔ7	
嗎	mɑ3	
嗑	kʰʊᵘʔ7	
嗓	sã3	
嗜	ʂʅ6	
嗝	kəʔ7	
嗡	ʋɔŋ1	
嗦	sʊ1	
嗨	xɛ0	
嗩	sʊ3	
嗯	əŋ0	語氣詞
嗲	tiɑ3	
嗷	ŋɔ2	
嗽	səɪ5	
嘆	tʰʲɛ̃5	
嘈	tsʰɔ2	
嘉	tɕiɑ1	
嘔	ŋəɪ3	
嘗	ʂã2	
嘛	mɑ2	
嘟	tʋ1	
嘮	lɔ2	
嘯	ɕiɔ5	
嘲	tʂʰɔ2	
嘴	tɕyᶨ3	白讀
嘴	tsuəɪ3	
嘹	liɔ2	
嘻	ʃɨᶨ1	
嘿	xəʔ7	語氣詞
噀	suəŋ5	俗字，形容多
噁	ŋaʔ7	
噎	iʔ7	
噓	ɕyᶨ1	
噢	ɔ0	
器	tʃʰɨᶨ5	
噪	tsɔ5	
噫	ŋɛ5	打飽嗝
噴	pʰəŋ1	
噴	pʰəŋ5	
噸	təŋ1	
嚇	xəʔ7	
嚎	xɔ2	
嚏	tʃʰɨᶨ5	
嚐	ʂã2	
嚕	lʋ1	
嚨	lɔŋ2	
嚮	ɕiã5	
嚴	ĩ2	
嚴	nĩ2	
嚷	ɻã3	
嚼	tɕʰiaʔ8	
囁	niʔ8	
囂	ɕiɔ1	
囉	lʊ1	
囊	nã2	
囑	tʂɔʔ7	
囚	tɕʰiʊ2	
四	sɿ5	
回	xuəɪ2	
因	iŋ1	
囥	kʰã5	藏匿物體
囪	tsʰɔŋ1	
困	kʰuəŋ5	
固	kʋ5	
圃	pʰʋ3	
圈	tɕʰiʊ̃ᵘ̃1	
圈	tɕʰiʊ̃ᵘ̃6	
國	kɔʔ7	
圍	ʋəɪ2	
圍	ɥyᶨ2	白讀
園	iʊ̃ᵘ̃2	
圓	iʊ̃ᵘ̃2	
圖	tʰʋ2	
團	tʰʊ̃ᵘ̃2	
土	tʰʋ3	
在	tsʰɛ6	
圭	kuəɪ1	
地	tʃʰɨᶨ6	
圾	tɕiəʔ7	
址	tʂʅ3	
坂	pʲɛ̃3	
均	tɕyŋ1	
坊	fã1	
坎	kʰʊ̃ᵘ̃3	
坐	tsʰʊ6	
坑	kʰəŋ1	
坡	pʰʊ1	
坤	kʰuəŋ1	
坦	tʰʲɛ̃3	
坳	ŋɔ6	地名，古～
垂	tʂʰuəɪ2	文讀
垂	ʂuəɪ2	白讀
垃	lɑ1	
型	ɕiŋ2	
垢	kəɪ5	
垮	kʰuɑ3	
垳	xəŋ5	～場
埂	kəŋ3	
埃	ŋɛ1	
埋	mɛ2	
城	tʂʰəŋ2	
域	yəʔ8	
埠	pʰʋ6	
埲	pʰɔŋ6	塵土飛揚
執	tʂəʔ7	
培	pʰəɪ2	
基	tʃɨᶨ1	
埿	ȵɨᶨ2	塗抹
堂	tʰã2	
堅	tɕĩ1	
堆	tuəɪ1	
堆	tɕyᶨ1	白讀
堊	ŋɑ5	施肥
堡	pɔ3	
堤	tʃʰɨᶨ2	
堪	kʰʊ̃ᵘ̃1	
堯	iɔ2	
堰	ĩ5	
報	pɔ5	
場	tʂʰã2	
堵	tʋ3	
堿	kʲɛ̃3	
塊	kʰuɛ5	
塌	tʰʲɛʔ7	
塑	sʋ5	
塔	tʰʲɛʔ7	
塗	tʰʋ2	
塘	tʰã2	
塞	sɛ5	
塞	səʔ7	
填	tʰĩ2	
塵	tʂʰəŋ2	
塾	ʂɔʔ8	
境	tɕiŋ5	
墅	ʂʋ6	
墊	tʰĩ6	
墓	mʊ6	
墜	tʂuəɪ5	
增	tsəŋ1	
墨	mɔʔ8	
墩	təŋ1	
墮	tʰʊ6	
墳	fəŋ2	
墻	tɕʰiã2	
墾	kʰəŋ3	
壁	piəʔ7	
壅	iɔŋ5	堆積
壇	tʰʲɛ̃2	
壑	xaʔ7	
壓	ŋʲɛʔ7	
壘	luəɪ3	
壞	xuɛ6	
壤	ɻã3	
壩	pɑ5	
士	tsʰɿ6	博～
士	ʂʅ6	～兵
壬	ɻəŋ2	
壯	tʂuã5	
壹	iəʔ7	
壺	xʋ2	
壽	ʂəɪ6	
夏	xɑ6	白讀
夏	ɕiɑ6	文讀
夕	ɕiəʔ7	文讀
外	ʋɛ6	
多	tʊ1	
夜	iɑ6	
夠	kəɪ5	
夢	mɔŋ6	
夥	xʊ3	
大	tɑ5	文讀
大	tʰɛ3	白讀
大	tʰɛ6	
大	tʰʊ6	～爹
天	tʰĩ1	
太	tʰɛ5	
夫	fʋ1	
夭	iɔ1	
夭	ŋɔ3	幼嫩的動植物
央	iã1	
夯	xã1	
夯	xã3	借字，表示給
失	ʂəʔ7	
夷	jɨᶨ2	
夸	kʰuɑ1	
夾	kʲɛʔ7	
奇	tʃɨᶨ1	
奇	tʃʰɨᶨ2	
奈	nɛ6	
奉	fɔŋ6	
奏	tsəɪ5	
契	tʃʰɨᶨ5	
契	tɕʰiʔ7	
奓	tʂɑ1	張開
奔	pəŋ1	
奔	pəŋ5	
套	tʰɔ5	
奘	tʂuã3	壯實
奠	tʰĩ6	
奢	ʂɑ1	
奧	ŋɔ5	
奪	tʰʊᵘʔ8	
奮	fəŋ5	
女	ȵy3	
奴	nʋ2	
奶	nɛ3	
奸	kʲɛ̃1	白讀
奸	tɕiɛ̃1	文讀
她	tʰɑ1	代詞
好	xɔ3	
好	xɔ5	
如	ɻʋ2	
妃	fəɪ1	
妍	ĩ2	
妒	tʋ5	
妖	iɔ1	
妙	miɔ6	
妝	tʂuã1	
妞	ȵiʊ1	
妥	tʰʊ3	
妨	fã2	
妳	ni3	
妹	məɪ6	文讀
妹	mɨᶨ6	白讀，～子
妻	tʃʰɨᶨ1	
妻	tʃʰɨᶨ5	
姆	mʋ3	
姊	tsɿ3	
始	ʂʅ3	
姐	tʃɨᶨ3	又音
姐	tɕiɑ3	
姑	kʋ1	
姓	ɕiŋ5	
委	ʋəɪ3	
姚	iɔ2	
姜	tɕiã1	
姥	lɔ3	
姦	kʲɛ̃1	白讀
姦	tɕiɛ̃1	文讀
姨	jɨᶨ2	
姬	tʃɨᶨ1	
姻	iŋ1	
姿	tsɿ1	
威	ʋəɪ1	
娃	ʋɑ2	
娘	ȵiã2	
娛	ɥyᶨ2	
娜	nɑ6	
娟	tɕiʊ̃ᵘ̃1	
娠	ʂəŋ1	
娥	ŋʊ2	
娶	tɕʰyᶨ3	
娼	tʂʰã1	
婁	ləɪ2	
婆	pʰʊ2	
婊	piɔ3	
婚	xuəŋ1	
婦	fʋ6	
婷	tʰiŋ2	
婿	ɕyᶨ5	
媒	məɪ2	
媒	mɨᶨ2	白讀
媚	məɪ5	
媚	mɨᶨ6	
媳	ɕiəʔ7	
媽	mɑ1	
嫁	kɑ5	白讀
嫁	tɕiɑ5	文讀
嫂	sɔ3	
嫌	ɕĩ2	
嫖	pʰiɔ2	
嫚	mʲɛ̃6	
嫡	tiəʔ7	
嫦	tʂʰã2	
嫩	nəŋ6	
嫻	xʲɛ̃2	白讀
嫻	ɕiɛ̃2	文讀
嬉	ʃɨᶨ1	
嬋	tʂʰĩ2	
嬌	tɕiɔ1	
嬰	iŋ1	
嬸	ʂəŋ3	
孃	ȵiã1	～～，父亲的姐妹
子	tsɿ3	
孔	kʰɔŋ3	
孕	yŋ6	
字	tsʰɿ6	
存	tsʰuəŋ2	
孜	tsɿ1	
孝	xɔ5	白讀
孝	ɕiɔ5	
孟	mɔŋ6	
孢	pɔ1	
季	tʃɨᶨ5	
孤	kʋ1	
孩	xɛ2	
孫	suəŋ1	
孬	nɔ1	
孵	pʰʋ1	白讀
學	xaʔ8	
學	ɕiaʔ8	
孽	niʔ8	
孿	lʊ̃ᵘ̃2	
它	tʰɑ1	
宅	tsʰəʔ8	
宇	ɥyᶨ3	
守	ʂəɪ3	
安	ʊ̃ᵘ̃1	
宋	sɔŋ5	
完	ʊ̃ᵘ̃2	
宏	xɔŋ2	
宗	tsɔŋ1	
官	kʊ̃ᵘ̃1	
宙	tʂʰəɪ6	
定	tʰiŋ6	
宜	jɨᶨ2	
客	kʰəʔ7	
宣	ɕyĩ1	
室	ʂəʔ7	
宮	kɔŋ1	
宰	tsɛ3	
害	xɛ6	
宴	ĩ5	
宵	ɕiɔ1	
家	kɑ1	
家	tɕiɑ1	文讀
容	iɔŋ2	
宿	sɔʔ7	
宿	ɕəɪ5	
寂	tɕʰiəʔ8	
寄	tʃɨᶨ5	
寅	iŋ2	
密	miəʔ8	
寇	kʰəɪ5	
富	fʋ5	
寒	xʊ̃ᵘ̃2	
寓	ɥyᶨ6	
寞	maʔ8	
察	tsʰʲɛʔ7	
寡	kuɑ3	
寢	tɕʰiŋ3	
實	ʂəʔ8	
寧	nəŋ2	白讀
寧	nəŋ6	
寧	niŋ2	
寨	tsɛ5	
審	ʂəŋ3	
寫	ɕiɑ3	
寫	ɕiɑ5	～意
寬	kʰʊ̃ᵘ̃1	
寳	pɔ3	
寵	tʂʰɔŋ3	
寶	pɔ3	
寸	tsʰuəŋ5	
寺	tsʰɿ6	
封	fɔŋ1	
射	ʂɑ6	
將	tɕiã1	
將	tɕiã5	
專	tʂʊ̃ᵘ̃1	
尊	tsuəŋ1	
尋	tɕʰiŋ2	
對	tuəɪ5	
導	tʰɔ3	
小	ɕiɔ3	
少	ʂɔ3	
少	ʂɔ5	
尖	tɕĩ1	
尚	ʂã6	
尤	iʊ2	
尬	kɑ5	
就	tɕʰiʊ6	
尷	kʲɛ̃1	
尸	ʂʅ1	
尺	tʂʰəʔ7	
尼	ȵɨᶨ2	
尾	ʋəɪ3	
尿	ȵiɔ6	
尿	ɕyᶨ1	白讀
局	tɕʰiɔʔ8	
屁	pʰɨᶨ5	
屄	pɨᶨ1	
居	tɕyᶨ1	
屆	kɛ5	白讀
屆	tɕiɛ5	文讀
屈	tɕʰyəʔ7	
屋	ʋɔʔ7	
屌	tiɔ3	
屍	ʂʅ1	
屎	ʂʅ3	
屏	pʰiŋ2	
屑	ɕyiʔ7	碎屑，灰塵
展	tʂĩ3	
屙	ʊ1	
屜	tʃʰɨᶨ5	
屠	tʰʋ2	
層	tsʰəŋ2	
屬	ʂɔʔ7	
屬	tʂɔʔ7	
屯	tʰəŋ2	
山	sʲɛ̃1	
岔	tʂʰɑ5	
岩	ŋʲɛ̃2	
岸	ʊ̃ᵘ̃6	
峯	fɔŋ1	
峯	fɔŋ2	又音
島	tɔ3	
峽	xʲɛʔ8	白讀
峽	ɕiɛʔ8	文讀
崇	tsʰɔŋ2	
崑	kʰuəŋ1	
崔	tsʰuəɪ1	
崖	ŋɛ2	
崗	kã3	
崢	tsəŋ1	
崩	pɔŋ1	
崴	ʋɛ1	
崽	tsɛ3	
嵌	kʰʲɛ̃5	
嵒	ŋʲɛ̃2	
嶄	tsʲɛ̃3	
嶺	liŋ3	
川	tʂʰʊ̃ᵘ̃1	
