#漢字	音標	解釋
□	ts‘a1	失败，谈～了
反	fã3	
发	fa1	～财
发	fa5	头～
叔	su1	
取	tɕ‘y3	
受	ʂou5	
變	piã5	
敘	ɕy5	
叛	p‘ã5	
叟	sou3	
疊	tiɛ2	
口	k‘ou3	
古	ku3	
句	tɕy5	
另	liŋ5	
叨	tɑu1	
只	tʂʅ1	
叫	tɕiɑu5	
召	tʂɑu5	
叮	tiŋ1	
可	k‘ə3	
台	t‘ai2	
史	sɿ3	
右	iou5	
叵	p‘ə3	
葉	iɛ5	
號	xɑu2	
號	xɑu5	
司	sɿ1	
嘆	t‘ã5	
叼	tiɑu1	
吁	y5	
吃	tʂ‘ʅ1	
各	kə5	
吆	iɑu1	
合	xə2	
吉	tɕi2	
吊	tiɑu5	
同	t‘uŋ2	
同	t‘uŋ5	胡～
名	miŋ2	
后	xou5	
吏	li5	
吐	t‘u5	
向	ɕiaŋ5	
嚇	ɕia5	
嚇	xə5	
吕	ly3	
君	tɕyⁿ1	
吝	liⁿ5	
吞	t‘uəⁿ1	
吟	iⁿ2	
吠	fei5	
否	fou3	
吩	fəⁿ1	
含	xã2	
听	t‘iŋ1	
吭	k‘əŋ1	
吮	suəⁿ3	
启	tɕ‘i3	
吴	vu2	
吵	ts‘ɑu3	
吸	ɕi1	
吹	ts‘uei1	
吻	vəⁿ3	
吼	xou3	
吾	vu3	
呆	tai1	
呈	tʂ‘əŋ2	
告	kɑu5	
嘔	ŋou3	
員	yã2	
嗆	tɕ‘iaŋ5	
周	tʂou1	
味	vei5	
呻	ʂəⁿ1	
呼	xu1	
命	miŋ5	
咄	tuə1	
咆	p‘ɑu2	
和	xə2	
和	xuə2	
咏	iuŋ3	
咒	tʂou5	
咖	k‘a1	
嚨	luŋ2	
嚀	niŋ2	
咧	liɛ3	
咬	iɑu3	
咱	tsã2	
咳	k‘ə2	
咸	ɕiã2	
哀	ŋai1	
品	p‘iⁿ3	
哄	xuŋ3	～骗
哄	xuŋ5	
哆	tuə1	
哈	xa1	
哉	tsai1	
響	ɕiaŋ3	
啞	ia3	
噦	yɛ1	
噥	nəŋ2	
哥	kə1	
哨	ʂɑu5	
哪	na3	
哭	k‘u1	
哮	ɕiɑu5	
哲	tʂʅə2	
哼	xəŋ1	
哽	kəŋ3	
唆	suə1	
脣	tʂuəⁿ2	
唐	t‘aŋ2	
嘮	lɑu5	
喚	xuã5	
唬	xu3	
售	ʂou5	
唯	vei2	
唱	tʂ‘aŋ5	
唾	t‘uə5	
啃	k‘əⁿ3	
啄	tsuə2	
商	ʂaŋ1	
啡	fei1	
啥	ʂa2	
嗇	sə5	
囉	luə1	
嘯	ɕiɑu5	
啼	t‘i2	
喀	k‘a1	
喂	vei5	
喃	nã2	
善	ʂã5	
喇	la3	
喉	xou2	
喊	xã3	
喘	tʂ‘uã3	
喜	ɕi3	
喝	xə1	
喧	ɕyã1	
噴	p‘əⁿ1	
喻	y5	
嗉	su5	
嗓	saŋ3	
嗔	tʂ‘əⁿ1	
嗜	sʅ5	
嗡	vəŋ1	
嗣	sɿ5	
嘈	ts‘ɑu2	
嘉	tɕia1	
嘎	ka1	
嘎	ka3	
噓	ɕy1	
囑	tʂu3	
嘲	tʂ‘ɑu2	
嘴	tsuei3	
噎	iɛ1	
噘	tɕyɛ1	
噙	tɕ‘iⁿ2	
器	tɕ‘i5	
噪	tsɑu5	
噱	ɕyɛ5	
嚎	xɑu2	
囂	ɕiɑu1	
嚷	ʐaŋ3	
嚼	tɕiɑu2	
囊	naŋ1	～膪
囊	naŋ2	
囔	naŋ1	
囚	tɕ‘iou2	
四	sɿ5	
回	xuei2	
囟	ɕiⁿ5	
因	iⁿ1	
团	t‘uã2	
囤	t‘uəⁿ2	
囤	tuəⁿ5	
園	yã2	
困	kuəⁿ5	
囱	ts‘uŋ1	
圍	vei2	
固	ku5	
國	kuə3	
圖	t‘u2	
圓	yã2	
圈	tɕ‘yã1	
圈	tɕyã5	
土	t‘u3	
聖	ʂəŋ5	
在	tsai5	
圭	kuei5	
地	ti5	
場	tʂ‘aŋ2	扬～
場	tʂ‘aŋ3	操～
址	tsɿ3	
坂	pã3	
均	tɕyⁿ1	
坍	t‘ã1	
坎	k‘ã3	
壞	xuai5	
坐	tsuə5	
坑	k‘əŋ1	
塊	k‘uai5	
堅	tɕiã1	
坛	t‘ã2	
壩	pa5	
塢	vu1	
墳	fəⁿ2	
墜	tsuei5	
坡	p‘ə1	
坤	k‘uəⁿ1	
坦	t‘ã3	
坯	p‘ei1	
坳	ŋɑu5	
垂	ts‘uei2	
垃	la1	
壟	luŋ3	
型	ɕiŋ2	
垒	lei3	
垛	tuə5	
垠	iⁿ2	
垢	kou5	
墾	k‘əⁿ3	
垧	ʂaŋ2	
墊	tiã5	
垮	k‘ua3	
埃	ŋai1	
埋	mai2	
城	tʂ‘əŋ2	
域	y5	
培	p‘ei2	
基	tɕi1	
堂	t‘aŋ2	
堆	tuei1	
墮	tuə5	
堞	tiɛ2	
堡	pɑu3	
堤	ti1	
堪	k‘ã1	
堵	tu3	
塌	t‘a1	
塑	su5	
塑	suə5	～料
塔	t‘a3	
塘	t‘aŋ2	
塞	sai1	
塞	sə5	
塞	sai5	
填	t‘iã2	
塾	su2	
境	tɕiŋ5	
墅	ʂu5	
墒	ʂaŋ1	
墓	mu5	
牆	tɕ‘iaŋ2	
增	tsəŋ1	
墟	ɕy1	
墨	mei5	
墩	tuəⁿ1	
壁	pi5	
壅	iuŋ1	
壕	xɑu2	
壤	ʐaŋ3	
士	sɿ5	
壬	ʐəⁿ2	
壯	tsuaŋ5	
聲	ʂəŋ1	
殼	k‘ə2	
壺	xu2	
處	tʂ‘u5	
備	pei5	
复	fu5	
夏	ɕia5	
外	vai5	
多	tuə1	
夜	iɛ5	
够	kou5	
大	ta5	
大	tai5	～夫
天	t‘iã1	
太	t‘ai5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	
失	sʅ1	
頭	t‘ou2	
夷	i2	
夸	k‘ua1	
夾	tɕia1	
奪	tuə2	
奇	tɕ‘i2	
奉	fəŋ5	
奮	fəⁿ5	
奎	k‘uei2	
奏	tsou5	
契	tɕ‘i5	
奔	pəⁿ1	
奔	pəⁿ5	
獎	tɕiaŋ3	
套	t‘ɑu5	
奘	tsaŋ5	玄～
奠	tiã5	
奢	ʂʅə1	
奧	ɑu1	
女	ny3	
奴	nu1	
奸	tɕiã1	
她	t‘a1	
好	xɑu3	
好	xɑu5	
妁	ʂuə5	
如	ʐu2	
妃	fei1	
妄	vaŋ5	
妝	tsuaŋ1	
婦	fu5	
媽	ma1	
妊	ʐəⁿ5	
妒	tu5	
妓	tɕi5	
妖	iɑu1	
妗	tɕiⁿ5	
妙	miɑu5	
妞	niou1	
妥	t‘uə3	
妨	faŋ2	
妮	ni1	
妯	tʂou2	
妹	mei5	
妻	tɕ‘i1	
妾	tɕ‘iɛ5	
姊	tsɿ3	
始	sɿ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiɑu1	
姓	p‘iɑu2	
姓	kə3	
姓	ɕiŋ5	
委	vei3	
姍	ʂã1	
姚	iɑu2	
姜	tɕiaŋ1	
姥	lɑu3	
姨	i2	
姬	tɕi1	
姻	iⁿ1	
姿	tsɿ1	
威	vei1	
娃	va2	
嬈	ʐɑu2	
嬌	tɕiɑu1	
娘	niaŋ2	
娩	miã3	
娛	y2	
娶	tɕ‘y3	
娼	tʂ‘aŋ1	
婆	p‘ə2	
婉	vã3	
婚	xuəⁿ1	
嬰	iŋ1	
嬋	tʂ‘ã2	
嬸	ʂəⁿ1	
婿	ɕy5	
媒	mei2	
媚	mei5	
媳	ɕi3	
嫁	tɕia5	
嫂	sɑu3	
嫋	niɑu3	
嫌	ɕiã2	
嫖	p‘iɑu2	
嫡	ti2	
嫦	tʂ‘aŋ2	
嫩	ləⁿ5	
孀	suaŋ1	
子	tsɿ3	
孔	k‘uŋ3	
孕	yⁿ5	
字	tsɿ5	
存	ts‘uəⁿ2	
孫	suəⁿ1	
孝	ɕiɑu5	
孟	məŋ5	
孤	ku1	
學	ɕyɛ2	
學	ɕiɑu2	
孩	xai2	
孬	nɑu1	
孵	fu1	
孽	niɛ5	
寧	niŋ2	
寧	niŋ5	
它	t‘a1	
宅	tsai2	
宇	y3	
守	ʂou3	
安	ŋã1	
宋	suŋ5	
完	vã2	
宏	xuŋ2	
宕	taŋ5	
宗	tsuŋ1	
官	kuã1	
宙	tʂou5	
定	tiŋ5	
宛	vã3	
寶	pɑu3	
實	sʅ2	
寵	ts‘uŋ3	
審	ʂəⁿ1	
客	tɕ‘iɛ3	
客	k‘ə5	
宣	ɕyã1	
室	sʅ1	
宦	xuã5	
宮	kuŋ1	
宰	tsai3	
害	xai5	
宴	iã5	
宵	ɕiɑu1	
家	tɕia1	
容	ʐuŋ2	
寬	k‘uã1	
賓	piⁿ1	
宿	su5	
寂	tɕi5	
寄	tɕi5	
寅	iⁿ3	
密	mi5	
寇	k‘ou5	
富	fu5	
寐	mei5	
寒	xã2	
寢	tɕ‘iⁿ3	
寞	mə5	
察	ts‘a2	
寡	kua3	
寥	liɑu2	
寨	tsai5	
寰	xuã2	
寸	ts‘uəⁿ5	
對	tuei5	
寺	sɿ5	
尋	ɕyⁿ2	
導	tɑu3	
壽	ʂou5	
封	fəŋ1	
射	ʂʅə5	
將	tɕiaŋ1	
將	tɕiaŋ5	～帅
尉	vei5	
尊	tsuəⁿ1	
小	ɕiɑu3	
少	ʂɑu3	多～
少	ʂɑu5	～爷
尔	ɚ3	
尕	ka3	
尖	tɕiã1	
尘	tʂ‘əⁿ2	
尚	ʂaŋ1	
嘗	tʂ‘aŋ2	
尤	iou2	
堯	iɑu2	
尬	ka5	
就	tɕiou5	
屍	sɿ1	
尹	iⁿ3	
尺	tʂ‘ʅ1	
尼	ni2	
尽	tɕiⁿ3	
尽	tɕiⁿ5	
尾	vei3	
尿	niɑu5	
局	tɕy2	
屁	p‘i5	
層	ts‘əŋ2	
屄	pi1	
居	tɕy1	
屈	tɕ‘y1	
屉	t‘i5	
屆	tɕiai5	
屋	vu1	
屎	sɿ3	
屏	piŋ2	
屑	ɕiɛ5	
展	tʂã3	
屬	su3	
屠	t‘u2	
屢	ly3	
履	ly3	
屯	t‘uəⁿ2	
山	sã1	
嶼	y3	
歲	suei5	
豈	tɕ‘i3	
岔	ts‘a5	
崗	kaŋ3	
嵐	lã2	
島	tɑu3	
岩	iã2	
岭	liŋ3	
岸	ŋã5	
巋	k‘uei1	
峽	ɕia2	
峯	fəŋ1	
崇	ts‘uŋ3	
崔	ts‘uei1	
崖	ia2	
崛	tɕyɛ2	
崩	pəŋ1	
崴	vai3	
嵌	tɕ‘iã5	
嵩	suŋ1	
巍	vei1	
川	tʂ‘uã1	
州	tʂou1	
巡	ɕyⁿ2	
巢	ts‘ɑu2	
工	kuŋ1	
左	tsuə3	
巧	tɕ‘iɑu3	
巨	tɕy5	
鞏	kuŋ3	
巫	vu1	
差	ts‘a1	～错
差	ts‘ai1	
差	ts‘ɿ2	参～
差	ts‘a5	
己	tɕi3	
已	i3	
巴	pa1	
巷	ɕiaŋ5	
巾	tɕiⁿ1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	suai5	
帆	fã1	
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	p‘a5	
帖	t‘iɛ1	
帘	liã2	
帚	tʂou3	
帝	ti5	
帶	tai5	
席	ɕi2	
幫	paŋ1	
常	tʂ‘aŋ2	
幗	kuə3	
帽	mɑu5	
幅	fu3	
幌	xuaŋ3	
幕	mu5	
幡	fã1	
干	kã1	
干	kã5	
平	piŋ2	
年	niã2	
并	piŋ5	
幸	ɕiŋ5	
幺	iɑu1	
幻	xuã5	
幼	iou5	
幽	iou1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	tɕ‘iŋ5	
庇	pi5	
牀	ts‘uaŋ2	
序	ɕy5	
廬	lu2	
庫	k‘u5	
應	iŋ1	
底	ti3	
店	tiã5	
廟	miɑu5	
府	fu3	
龐	p‘aŋ2	
廢	fei5	
度	tu5	
座	tsuə5	
庭	t‘iŋ2	
庵	ŋã1	
康	k‘aŋ1	
庸	iuŋ1	
廊	laŋ2	
廓	k‘ə5	
廓	k‘uə5	
廖	liɑu5	
廷	t‘iŋ2	
建	tɕiã5	
開	k‘ai1	
弃	tɕ‘i5	
弄	nəŋ5	
弊	pi5	
式	sʅ5	
弓	kuŋ1	
引	iⁿ3	
弗	fu2	
弘	xuŋ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	
弦	ɕiã2	
弧	xu2	
弩	nu3	
彎	vã1	
弱	ʐɑu5	
彈	t‘ã2	
彈	tã5	
强	tɕ‘iaŋ2	
强	tɕ‘iaŋ3	
强	tɕiaŋ5	倔～
歸	kuei1	
當	taŋ1	
录	lu5	
形	ɕiŋ2	
彩	ts‘ai3	
彪	piɑu1	
彬	piⁿ1	
彭	p‘əŋ2	
彰	tʂaŋ1	
影	iŋ3	
徹	tʂ‘ʅə5	
彼	pi3	
往	vaŋ3	
征	tʂəŋ1	
徑	tɕiŋ5	
待	tai5	
徇	ɕyⁿ5	
很	xəⁿ3	
徊	xuai2	
律	ly5	
徐	ɕy2	
徒	t‘u2	
得	tə1	
得	tei1	～劲
徙	ɕi3	
循	ɕyⁿ2	
微	vei1	
德	tə1	
心	ɕiⁿ1	
必	pi5	
憶	i5	
忍	ʐəⁿ3	
忏	tʂ‘ã5	
忐	t‘ã3	
忑	t‘ə5	
忒	t‘ə5	
忖	ts‘uəⁿ3	
志	tsɿ5	
忘	vaŋ5	
忙	maŋ2	
忠	tsuŋ1	
憂	iou1	
快	k‘uai5	
忱	tʂ‘əⁿ2	
念	niã5	
忸	niou3	
忽	xu1	
忾	k‘ai5	
懷	xuai2	
態	t‘ai5	
慫	tsuŋ5	
慪	ŋou5	～气
悵	tʂ‘aŋ5	
怎	tsəⁿ3	
怏	iaŋ5	
怒	nu5	
怕	p‘a5	
怖	pu5	
憐	liã2	
思	sɿ1	
怠	tai5	
急	tɕi2	
性	ɕiŋ5	
怨	yã5	
怪	kuai5	
怯	tɕ‘iɛ5	
總	tsuŋ3	
戀	liã5	
恍	xuaŋ3	
恐	k‘uŋ3	
恆	xəŋ2	
恕	su5	
恙	iaŋ5	
恢	xuei1	
恤	ɕy5	
恨	xəⁿ5	
恩	ŋəⁿ1	
恪	k‘ə5	
恬	t‘iã2	
恭	kuŋ1	
息	ɕi1	
恰	tɕ‘ia5	
懇	k‘əⁿ3	
恶	ŋə3	～心
恶	vu5	
惻	ts‘ə5	
惱	nɑu3	
悄	tɕ‘iɑu1	
悉	ɕi1	
悔	xuei3	
悟	vu5	
悠	iou1	
患	xuã5	
悅	yɛ5	
懸	ɕyã2	
憫	miⁿ3	
悲	pei1	
悻	ɕiŋ5	
悼	tɑu5	
情	tɕ‘iŋ2	
驚	tɕiŋ1	
惋	vã3	
惑	xuə5	
惚	xu1	
惟	vei2	
惠	xuei5	
惦	tiã5	
慘	ts‘ã3	
懲	tʂ‘əŋ3	
憊	pei5	
慚	ts‘ã2	
慣	kuã5	
惰	tuə5	
想	ɕiaŋ3	
惹	ʐʅə3	
愁	tʂ‘ou2	
愈	y5	
愉	y2	
意	i5	
愚	y2	
感	kã3	
愣	ləŋ5	
憤	fəⁿ5	
愧	k‘uei5	
願	yã5	
慈	ts‘ɿ2	
慌	xuaŋ1	
慎	ʂəⁿ1	
慕	mu5	
慢	mã5	
慧	xuei5	
慨	k‘ai3	
慰	vei5	
慷	k‘aŋ1	
憋	piɛ1	
憎	tsəŋ1	
憨	xã1	
憾	xã5	
懂	tuŋ3	
懈	ɕiɛ5	
懊	ŋɑu5	
懶	lã3	
戊	vu5	
戌	ɕy1	
戍	ʂu5	
戎	ʐuŋ2	
戲	ɕi5	
成	tʂ‘əŋ2	
我	və3	
戒	tɕiai5	
戰	tʂã5	
戚	tɕ‘i1	
戟	tɕi3	
戡	k‘ã1	
截	tɕiɛ2	
戳	ts‘uə1	
戴	tai5	
戶	xu5	
房	faŋ2	
所	suə3	
扁	piã3	
扇	ʂã5	
扉	fei1	
手	ʂou3	
才	ts‘ai2	
扎	tsa1	～针
扎	tsa2	～钢
扑	p‘u1	
打	ta3	
扔	ʐəŋ1	
托	t‘uə1	
扛	k‘aŋ2	
扣	k‘ou5	
扦	tɕ‘iã1	
執	tʂʅ2	
擴	k‘ə5	
擴	k‘uə5	
掃	sɑu3	
掃	sɑu5	
揚	iaŋ2	
扭	niou3	
扮	pã5	
扯	tʂ‘ʅə3	
擾	ʐɑu3	
扳	pã1	
扶	fu2	
批	p‘i1	
扽	təⁿ5	～一～
找	tsɑu3	
承	tʂ‘əŋ2	
技	tɕi5	
抄	tʂ‘ɑu1	
抉	tɕyɛ2	
把	pa3	
抓	tsua1	
投	t‘ou2	
抖	tou3	
抗	k‘aŋ5	
折	tʂʅə2	
折	ʂʅə2	
撫	fu3	
抛	p‘ɑu1	
摳	k‘ou1	
掄	luəⁿ1	
搶	tɕ‘iaŋ3	
護	xu5	
報	pɑu5	
抨	p‘əŋ1	
披	p‘ei1	
抬	t‘ai2	
抱	pɑu5	
抵	ti3	
抹	ma1	
抹	mə3	
抻	tʂ‘əⁿ1	
押	ia1	
抽	tʂ‘ou1	
抿	miⁿ3	
拂	fu2	
擔	tã1	
擔	tã5	
拆	ts‘ai1	
拇	mu3	
拈	niã1	
拉	la1	
拉	la3	半～
拌	pã5	
拍	p‘ai1	
拎	liⁿ1	
拐	kuai3	
拒	tɕy5	
拓	t‘a5	
拓	t‘uə5	
拔	pa2	
拖	t‘uə1	
拗	ŋɑu5	
拗	niou5	
拘	tɕy1	
拙	tʂuə1	
招	tʂɑu1	
拜	pai5	
擬	ni3	
攏	luŋ3	
