#漢字	音標	解釋
□	so1	羊膻味
位	ve5	
低	te1	
住	kʰu5	
佐	tso5	
佑	iə5	
體	tʰe3	
何	xo2	
佘	sɑ2	
余	i2	
佛	fie7	～像
作	tso7	
佞	li7	
你	le5	
佩	pʰe5	
佳	kɑ1	
使	sɿ3	
侄	tsʰɿ7	
例	te9a	
侍	sɿ2	
供	kuəŋ1	～给，～不起
供	kuəŋ2	～养，上～
依	i1	
僥	tɕiɔ3	
偵	tin1	
側	tse7	
僑	tɕʰiɔ2	
儂	ləŋ2	
侮	vu3	
侯	xia2	
侵	tsʰin1	
便	pʰiɛn2	～宜
便	pʰiɛn5	方～
促	tɕiə7	
俄	ŋo2	
俊	tsun5	
俏	tɕʰiɔ2	
俗	ɕiə7	
俘	fu2	
保	pɔ3	
俟	sɿ5	
信	sin3	
儼	ȵiɛn5	
修	ɕiə1	
俯	fu3	
俱	tɕi1	
俸	fəŋ5	
俾	pʰe3	
倍	pʰe5	
倒	tɔ2	～水
倒	tɔ3	打～，颠～
倔	tɕya7	憠，脾气～
倘	tʰɔŋ3	
候	xia2	
倚	i3	
借	tɕia2	
倡	tʰɔŋ2	
倦	tɕyan2	
倭	uo1	
債	tsai2	
值	tsʰɿ7	
傾	tɕʰyn1	
假	kɑ2	
假	kɑ3	真～
偏	pʰiɛn1	
做	tsɿ2	
停	tʰin2	
健	tɕʰiɛn5	
偶	ŋiɔ3	配～
偶	ŋiɔ5	～然
偷	xia1	
償	sɔŋ2	
傀	kʰue3	
傅	fu2	
傍	pʰɔŋ2	
傢	kɑ1	
儲	kʰu2	
催	tsʰue1	
傲	ŋɔ5	
傻	sɑ5	
像	ɕiɔŋ5	
僧	san1	又读：tʰsan44
僵	tɕiɔŋ1	
僻	pʰe7	
儡	lue3	
兒	ʮ2	
允	yn3	
元	ȵyan2	
兄	ɕiɑŋ1	
充	tʰəŋ1	
兆	tʰia5	
先	ɕiɛn1	
光	kuɔŋ1	～线
克	kʰe7	
免	miɛn3	
兌	tʰue2	
兔	tʰə5	
兖	iɛn3	～州
黨	tɔŋ3	
兜	tia1	
入	i7	
全	tɕʰyan2	又读tʰsʰe221
八	pa7	
公	kuəŋ1	
六	tiə7	
兮	ɕi1	
蘭	lan2	
共	tɕʰiəŋ5	
關	kuan1	～门
興	sin5	
兵	pin1	
其	tɕʰi2	
具	tɕʰi5	
典	tiɛn3	
兹	tsɿ2	
養	iɔŋ3	
兼	tɕiɛn1	
獸	ɕiə2	
冀	tɕi2	
內	lue5	
岡	kɔŋ1	
冉	lan3	
冊	tsʰɑ7	
再	tsuai2	
冒	mɔ9a	
寫	ɕia3	
軍	tɕyn1	
農	ləŋ2	
冠	kuɔn1	衣～
冠	kuɔn2	～军
冤	yan1	
冬	təŋ1	～至
馮	fəŋ1	
冰	pan1	
冲	tʰəŋ1	
决	tɕya7	
况	kʰuɔŋ2	
冷	lɑŋ3	
凍	təŋ2	
淨	tsʰin5	
準	tun3	準，批～
凉	liɔŋ2	
凌	tin2	
減	kan3	
湊	tɕʰia2	
凝	le2	
几	tɕi2	～乎
几	tɕi3	茶～、～个
凡	fan2	
鳳	fəŋ5	
凭	pʰin2	
凱	kʰuai5	
凳	tan2	
凶	ɕiəŋ1	
出	tʰue7	
擊	tɕi7	
函	xan2	
鑿	tsʰo7	
刀	tɔ1	
刁	tiɔ1	
刃	in5	
分	fiɛn1	动
切	tɕʰie7	
刊	kʰuɔn1	
刎	kua7	
刑	sin2	
划	fɑ2	～船
划	fɑ5	
列	ȵie7	
劉	tiə2	
則	tse7	
剛	kɔŋ1	
創	tsʰɔŋ2	
初	tsʰə1	
刪	san1	
判	pʰuɔn5	
刨	pʰɔ2	
利	te9a	
别	pʰie7	～人
刮	kua7	
到	tɔ2	
制	tsɿ2	
刷	sua7	
券	tɕyan1	
刺	tsʰɿ2	
刻	kʰe7	
劊	kʰuai2	
剁	to2	
劑	tse5	
剃	tʰe2	
削	ɕio7	
前	tɕʰiɛn2	
剮	kuɑ3	
劍	tɕiɛn2	
剔	tʰe7	
剖	pə3	
剜	kua7	
剝	po7	
劇	tɕʰi2	戏～
劇	tɕi7	～烈
剩	sin2	
剪	tɕiɛn3	
副	fu2	
割	kua7	
剿	tɕiɔ3	
劈	pʰia7	
力	te7	
勸	tɕʰyan2	
辦	pan5	
功	kuəŋ1	
加	kɑ1	
務	vu5	
劣	liɔ7	
動	tʰəŋ5	
動	tɕʰie7	
助	tsʰə5	
努	nə3	
劫	tɕʰie7	
勵	te9a	
勁	tɕin2	～敌
勁	tɕin5	有～
勞	lɔ1	
勢	sɿ1	
勃	pɔ7	
勇	iəŋ3	
勉	miɛn3	
勋	ɕyn1	
勘	kʰuɔn1	
勤	tɕʰin2	
勺	ɕio7	～子
勾	kiɔ1	
勻	yn2	
包	pɔ1	
匆	tsʰəŋ1	
化	fɑ2	
北	pe7	
匙	sɿ2	
匠	ɕiɔŋ1	
匡	kʰuɑŋ1	
匣	ka7	
匪	fue3	
匹	pʰe1	
區	tɕʰi1	地～
醫	i1	
匾	piɛn2	
匿	li7	
十	sɿ7	
千	tɕʰiɛn1	
升	sin1	
午	vu3	
半	puɔn2	
華	fɑ2	中～
華	uɑ2	～山，姓
協	ɕie7	
卑	pʰe1	
卒	tsue7	棋子
卓	tso7	
單	tan1	简～
賣	mai5	
南	lan2	
博	po7	
卜	pʰə7	
占	tan2	
盧	nə2	
卤	nə3	
卦	kuɑ2	
臥	uo3	
衛	ve5	
卯	miɔ3	
印	in2	
危	ve2	
即	tse2	
卵	lɔ3	
卷	tɕyan3	～起
卷	tɕyan3	试～
卸	ɕie2	
卿	tɕʰin1	
廠	tʰɔŋ3	
廳	tʰiɑŋ1	
历	te7	
厲	te9a	
壓	ŋa7	
厭	iɛn2	
廁	tsʰə2	
厘	te2	
厚	xia5	
原	ȵyan2	
廂	ɕiɔŋ1	
厥	tɕya7	
厦	xɑ2	前廊后～
厦	xɑ5	～门
廚	kʰu2	
去	tɕʰie2	
縣	ɕyan5	
参	tsʰan1	～差
参	tsʰan1	～加
参	san1	人～
又	iə5	
叉	tsʰɑ1	
及	tɕi7	
友	iə3	
雙	sɔŋ1	
反	fan3	
发	fa7	
叔	ɕiə7	
取	tsʰe3	
受	tɕʰiə5	
變	piɛn2	
敘	se5	
叛	pʰuɔn5	
疊	tʰie7	
口	kʰiɔ3	
古	ku3	
句	tɕi2	
另	tin2	
叨	tɔ1	
叩	kʰiɔ3	
只	tsɿ3	～有
只	ta7	
叫	tɕiɔ2	
召	tʰia5	
可	kʰo3	
台	tuai2	～州
台	tʰuai2	戏～
史	sɿ3	
右	iə5	
葉	ie7	树～
號	xɔ5	名～
司	sɿ1	
吁	i2	
吃	tɕʰia7	
各	ko7	
吆	iɔ1	
合	xua7	十～一升
合	xua7	
吉	tɕi7	
吊	tiɔ2	
同	tʰəŋ2	
名	ke2	
名	miɑŋ2	
后	xia5	
吏	li2	
吐	tʰə3	呕～
吐	tʰə5	～痰
向	ɕiɔŋ2	
嚇	xɑ2	
嚇	xɑ7	恐～
吕	te3	
君	tɕyn1	
吞	xan1	
吟	in2	
否	fia5	
含	xan2	～一口水
听	tʰiɑŋ1	
启	tɕʰi3	
吴	vu2	
吵	tsʰɔ3	
吸	ɕi7	
吹	kʰu1	
吻	viɛn3	
吼	xia3	
吾	vu1	
呆	tai1	发～
呈	tʰin3	
告	kɔ2	
嘔	ŋiɔ3	
員	yan2	
周	tɕiə1	
味	ve5	
呼	fu2	
命	miɑŋ5	
和	fo1	～气，～面
咎	tɕʰiə3	
咏	iəŋ2	
咒	tɕiə3	
咨	tsɿ1	
咬	ŋai3	
咳	kʰe2	
咸	xan2	～淡
哀	ŋuai1	
品	pʰin3	
哄	fəŋ2	起～
哄	fəŋ3	
響	ɕiɔŋ3	
啞	ŋɑ3	
哥	ko1	
哪	lai5	（那）～个
哭	kʰu7	
哲	te7	
哽	kiɛn1	
唆	so1	
脣	tsʰun2	
唐	xɔŋ2	
嘮	lɔ1	
喚	fuɔn5	
售	tɕʰiə2	
唯	ve3	
唱	tʰɔŋ2	
唾	tʰo2	～液，～沫
啃	ŋai7	
啄	tə7	
商	ɕiɔŋ1	
囉	lo1	
喂	ve5	～食
善	ɕiɛn5	
喉	xia2	
喊	xan3	
喘	tʰuan5	
喜	ɕi3	
喝	xua7	～酒
喝	xua7	～采，吆～
喧	ɕyan1	
噴	pʰan1	～水
噴	pʰan3	～香，～嚏
喻	i5	
嗅	tɕʰiə2	
嗅	ɕiə2	
嗜	sɿ2	
嗣	sɿ2	
嗤	tsʰɿ2	
嘉	kɑ1	
噓	ɕi2	
囑	tə7	
嘴	tse3	
噎	se7	
器	tɕʰi9a	
囂	ɕiɔ1	
嚷	lɔŋ5	
嚼	tɕʰio5	
囊	lɔŋ2	
囚	tɕʰiə2	
四	sɿ2	
回	fue2	
因	in1	
团	tʰuɔn2	團，～队
团	tʰuɔn2	糰，面～子
囤	tun3	
園	yan9a	
困	kʰun2	睏，～觉
困	kʰun3	～难
囱	tʰəŋ1	
圍	ve2	
固	ku2	
國	kue7	
圖	tʰə2	
圓	yan2	
圈	tɕʰyan1	圆～
圈	tɕʰyan1	猪～
土	tʰə3	
聖	sin5	
在	tsʰuai5	
圭	kue1	
地	tʰe5	
場	tʰɔŋ3	
址	tsɿ3	
均	tɕyn1	
坍	tʰan1	～下来
壞	fai5	
坐	tsʰo5	
坑	kʰɑŋ1	
塊	kʰuai2	队韵
塊	kʰuai2	怪韵
堅	tɕiɛn1	
坛	tʰan2	
壩	pɑ5	
墳	fiɛn2	
坡	pʰo1	
坤	kʰun1	
坪	pʰiɑŋ2	
坯	pʰe1	
坳	ŋɔ1	
垂	tsʰue2	
壟	ləŋ3	
型	sin2	
垒	lue3	
垛	to3	柴～
墾	kʰiɛn3	
墊	tʰiɛn5	
垮	kʰuɑ2	
埂	kiɛn3	
埋	mai2	
城	ɕiɑŋ2	又读：tʰin221
域	i7	
埠	pʰə3	
培	pʰe2	
基	tɕi1	
堂	tɔŋ1	
堆	tue1	
堡	pɔ3	
堤	tʰe2	
堪	kʰuɔn1	
堰	iɛn5	
堵	tə3	
塌	tʰa7	
塍	sin5	
塑	so2	
塔	tʰa7	
塘	xɔŋ2	
塞	se7	
填	tʰiɛn2	
境	tɕin3	
墓	mə3	
增	tsan1	
墟	ɕi1	
墨	me7	
墩	tun1	
壁	pia7	
壕	xɔ2	
壤	lɔŋ5	
士	sɿ5	
壬	in5	
壯	tsɔŋ2	
聲	ɕiɑŋ1	又读：sin44
殼	kʰo7	
壺	fu2	
處	kʰu5	相～，～所
處	kʰu5	
備	pʰe9a	
复	fu2	復，～兴
复	fu7	複，重～
复	fu7	復，～原
夏	xɑ5	春～
夏	xɑ5	
夕	se7	
外	ŋuai2	
多	to1	
夜	ia5	
够	kiɔ2	足～
够	kiɔ3	彀，～不着
大	xai2	～夫；～黄，药名
大	xai5	～小
天	tʰiɛn1	
太	tʰai2	
夫	fu1	
央	iɔŋ1	
夯	tsɔŋ1	
失	sɿ7	
頭	xia2	
夷	i2	
夾	ka7	
奪	xua7	
奇	tɕʰi2	
奈	lai5	
奉	fəŋ5	
奮	fiɛn5	
奎	kʰue2	
奏	tɕia2	
契	tɕʰi2	
奔	pen1	～跑
奔	pen3	逩，投～
獎	tɕiɔŋ3	
套	tʰɔ3	
奚	ɕi1	
奠	tiɛn2	
奢	se2	
奧	ŋɔ5	
女	le3	
奴	nə2	
奶	lai5	
奸	kan1	
好	xɔ3	～坏
如	ʮ2	
妃	fue1	
妄	vɔŋ5	
婦	fu9a	
媽	mɑ1	
妒	tə3	
妓	tsɿ3	
妖	iɔ1	
妙	miɔ5	
妥	tʰo3	
妨	fɔŋ2	
妹	muai2	
妻	tsʰe2	
妾	tɕʰie7	
姊	tsɿ5	
始	sɿ3	
姐	tse1	
姑	ku1	
姓	i1	
姓	tsan1	
姓	ɕiɑŋ2	
姓	pɔ3	
委	ve3	
姘	pʰin3	
姚	iɔ2	
姜	tɕiɔŋ1	生～
姜	tɕiɔŋ2	姓
姨	i2	
姻	in1	
姿	tsɿ1	
威	ve1	
嬌	tɕiɔ1	
娘	ȵiɔŋ2	
娠	tsʰin2	
娩	uan3	
娶	tsʰe3	
婆	pʰo2	
婚	fun1	
婢	pʰe3	
嬰	in1	
嬸	sin3	
婿	se5	
媒	me2	
媚	me2	
媳	se7	
嫁	kɑ2	
嫂	sɔ3	
嫌	ɕiɛn2	
嫖	pʰiɔ9a	
嫡	te7	
嫩	lun5	
嬉	ɕi2	
孀	sɔŋ1	
子	kʰu2	
子	tsɿ3	
孔	kʰuəŋ3	
孕	yn5	
字	tsʰɿ5	
存	tsʰun2	
孫	sun1	～子
孝	xɔ9a	
孟	man2	
季	tɕi9a	
學	xo7	
孩	xai2	
孵	fu2	
孽	ȵie7	
寧	tin2	安～，沪～
寧	tin5	～可
宇	i5	
守	ɕiə3	
安	ŋuɔn1	
宋	səŋ2	
完	uɔn2	
宏	fəŋ2	
宗	tsəŋ1	
官	kuɔn1	
宙	tɕʰiə2	
定	tʰiɑŋ5	
宛	van3	
宜	le2	
寶	pɔ3	
實	sɿ7	
寵	tʰəŋ3	
審	sin3	
客	kʰɑ7	
宣	ɕyan1	
室	sɿ7	
宦	fan5	
宪	ɕiɛn5	
宮	kuəŋ1	
宰	tsuai5	
害	xuai5	
宵	ɕiɔ1	
家	kɑ1	
容	iəŋ2	
寬	kʰuɔn1	
賓	pin1	
宿	ɕiə2	星～
宿	ɕiə7	住～，～舍
寂	tsʰe7	
寄	tɕi2	
寅	in2	
密	me7	
寇	kʰiɔ5	
富	fu9a	
寐	me3	
寒	xuɔn2	
寓	i5	
寢	tsʰin3	
寞	mo7	
察	tsʰa7	
寡	kuɑ3	
寥	liɔ2	
寨	tsai5	
寸	tsʰun2	
對	tue2	
寺	sɿ5	
尋	tsʰin2	
導	tʰɔ2	
壽	ɕiə5	
封	fəŋ1	
射	ɕia5	
將	tɕiɔŋ1	～来
將	tɕiɔŋ2	大～
尊	tsun1	
小	ɕiɔ3	
少	ɕiɔ3	多～
少	ɕiɔ5	～年
尔	ʮ3	
尖	tɕiɛn1	
尘	tʰin2	
尚	sɔŋ5	
嘗	ɕiɔŋ2	
尤	iə2	
就	tɕʰiə2	
尷	kan2	
屍	sɿ2	
尹	in3	
尺	tʰa7	
尼	le1	
尽	tsʰin5	儘，～管
尽	tsʰin5	盡，～职
尾	me3	
尿	liɔ5	
局	tɕʰiə7	
屁	pʰe2	
層	tsʰan2	
居	tɕi2	
屈	tɕʰi7	
屉	tʰe5	
屆	kai1	
屋	vu7	
屎	ɕi3	
屏	pʰin2	
屐	tɕi7	
屑	ɕya7	木～
展	tan3	
屬	ɕiə7	
屠	tʰə1	
屯	tun2	
山	san1	
歲	se2	
豈	tɕʰi3	
岐	tsɿ1	
岑	tsʰan2	
崗	kɔŋ1	
島	tɔ3	
岩	ŋai2	
岭	tiɑŋ3	
岳	iɔ7	～父
岳	ŋo7	嶽，五～
岸	ŋuɔn1	
峯	fəŋ1	
崇	tsʰəŋ2	
崔	tsʰue1	
崖	ŋai2	
崩	pʰəŋ5	
嵌	tɕʰiɛn5	
嵩	ɕiəŋ1	
川	tʰuan1	
州	tɕiə1	
巡	sun1	
巢	tsʰɔ2	
工	kuəŋ1	
左	tso3	
巧	tɕʰiɔ3	
巨	tɕʰi3	
鞏	kuəŋ3	
巫	vu1	
差	tsʰɑ1	
差	tsʰai1	出～
己	tɕi3	
已	i3	
巳	sɿ5	
巴	pɑ1	
巷	xɔŋ5	
巾	tɕin1	
幣	pʰe9a	
市	sɿ5	
布	pə9a	
帥	sai2	
帆	fan2	
師	sɿ1	
希	ɕi1	
帳	tɔŋ3	
帕	pʰɑ2	
帖	tʰie7	
帘	liɛn2	
帚	tɕiə5	
帛	pʰɑ7	
帝	te5	
帶	ɕi2	
帶	tai2	动词
席	tɕʰia7	
幫	pɔŋ1	
常	tsʰɔŋ5	
帽	mɔ5	
幅	fu7	
幔	muɔn5	
干	kuɔn1	～涉
干	kuɔn1	乾，～湿
干	kuɔn2	幹，树～，～活
平	pʰin2	又读pʰiaŋ221
年	ȵiɛn2	
并	pin2	倂，合～
并	pin3	並，肩～肩
幸	sin5	
幻	fuɔn2	
幼	iə9a	
幽	iə2	
廣	kuɔŋ3	
莊	tɔŋ1	
慶	tɕʰin9a	
庇	pʰe9a	
牀	sɔŋ2	
序	se5	
廬	le2	
應	in2	
底	te3	
店	tiɛn2	
廟	miɔ5	
庚	kiɛn1	
府	fu3	
龐	pʰɔŋ2	
廢	fue2	
度	tʰə5	
座	tsʰo5	
庭	tʰin2	
庵	ŋuɔn1	
康	kʰɔŋ1	
庸	iəŋ1	
廉	liɛn2	
廊	lɔŋ2	
廓	kʰuo7	
廖	tiɔ2	
延	iɛn2	
廷	tʰin2	
建	tɕiɛn2	
開	kʰuai1	
弃	tɕʰi9a	
弄	ləŋ5	
弊	pʰe9a	
式	sɿ7	
弓	tɕiəŋ1	
引	in3	
弘	fəŋ1	
弟	tʰe5	
張	tɔŋ1	
弦	ɕyan2	
彎	van1	
弱	ȵio7	
彈	tʰan2	～琴
彈	tʰan5	子～
强	tɕʰiɔŋ2	
弼	pe7	
歸	kue1	
當	tɔŋ1	～时，应～
當	tɔŋ3	～作，典～
录	nə7	
形	sin2	
彩	tsʰuai3	
彪	piɔ1	
彬	pin1	
彭	pʰɑŋ1	
役	i7	
徹	tsʰe7	
彼	pe3	
往	vɔŋ3	
征	tin1	
徑	tɕin1	
待	tʰuai5	
很	xan3	
律	tue7	
徐	se2	
徒	tʰə1	
得	te7	
徙	ɕi3	
徛	tɕʰi3	
御	i5	
循	tun2	
微	ve2	
德	te7	
徽	fe1	
心	sin1	
必	se2	～需
必	pe7	
憶	i5	
忌	tɕi5	
忍	lin3	
忖	tsʰun3	
志	tsɿ5	
忘	vɔŋ3	
忙	mɔŋ2	
忠	təŋ1	
憂	iə1	
快	kʰuai2	
念	ȵiɛn5	
忽	fu7	
懷	fai2	
態	tʰai1	
慫	səŋ3	
慪	ŋiɔ2	
怒	nə5	
怕	pʰɑ2	
怖	pə2	
憐	tiɛn2	
思	sɿ1	
思	sɿ2	
怠	tʰuai5	
急	tɕi7	
性	ɕin5	
怨	yan2	
怪	kuai2	
怯	tɕʰie7	
總	tsəŋ3	
恃	tsʰɿ3	
戀	tʰyan2	
恐	kʰuəŋ3	
恆	xan2	
恢	fue1	
恤	ɕia7	
恨	xan5	
恩	ŋiɛn1	
恭	kuəŋ1	
息	se7	
恰	tɕʰia7	
懇	kʰiɛn3	
恶	ŋo2	可～
恶	ŋo7	形，入声
惱	lɔ5	
悄	tɕʰiɔ1	
悉	se7	
悔	fue3	
悟	vu2	
悠	iə1	
患	fan5	
悅	ya7	
懸	ɕyan5	
憫	min2	
悲	pe1	
情	tsʰin2	
驚	tɕin1	
惑	fe7	
惜	se7	
惟	ve2	
惠	fue5	
懼	tɕʰi5	
慘	tsʰan3	
懲	tʰin3	
慚	tsʰan2	
慣	kuan5	
惰	tʰo5	
想	ɕiɔŋ3	
惹	ȵia3	
愁	tɕʰia2	
愈	i3	
愉	i2	
意	i9a	
愚	le2	
感	kuɔn3	
憤	fiɛn1	
愧	kʰue5	
願	ȵyan5	
慈	tsʰɿ2	
慌	fɔŋ1	
慎	sin5	
慕	mə3	
慢	man5	
慧	fue5	
慨	kʰuai2	
慰	ve2	
憋	pie7	
憎	tsan1	
憨	xuɔn1	
憾	xan5	
懂	təŋ3	
懈	kai2	
懊	ŋɔ5	
懶	lan3	
懵	məŋ1	
戈	kuo2	
戊	miɔ5	
戌	vu7	
戍	fu2	
戎	ləŋ3	
戲	tɕʰi2	
成	tsʰin2	
我	ŋo3	
戒	kai2	
或	fe7	
戰	tan9a	
戚	tsʰe7	
戟	tɕi7	
截	tɕʰie7	
戳	tsʰo7	
戴	tuai2	
戶	fu5	
房	fɔŋ2	
所	so3	
扁	piɛn3	
扇	ɕiɛn2	
手	ɕiə3	
才	tsʰuai2	～能
才	tsʰuai2	纔，刚～
扎	tsa7	
扑	pʰə7	
打	tɑ3	
扔	ȵin5	
托	tʰo7	
扛	kɔŋ1	
扣	kʰiɔ2	
執	tsɿ7	
擴	kʰuo7	
掃	sɔ2	～帚
掃	sɔ3	～地
揚	iɔŋ2	
扭	liə3	
扮	pan2	
扯	tsʰe3	
擾	liɔ3	
扳	pan1	～手
扶	fu2	
批	pʰe1	
扼	ŋie7	
找	tsɔ3	～零钱
承	tsʰin2	
技	tɕʰi3	
抄	tsʰɔ1	
把	pɑ2	欛，刀～
把	pɑ3	量词
抑	i5	
抓	tso7	用手～牌
投	xia2	
抖	tia3	
抗	kʰɔŋ2	
折	te7	
撫	fu5	
抛	pʰɔ1	
摳	kʰiɔ1	
護	fu3	
報	pɔ2	
披	pʰe1	
抬	tʰuai2	
抵	te3	
抹	mua7	～布、～桌子、涂～
押	ŋa7	
抽	tɕʰiə1	
抿	min2	
拄	ku3	
擔	tan1	～任
擔	tan2	挑～
拆	tsʰɑ7	
拇	mə3	
拈	ȵiɛn1	
拉	lɑ1	
拌	pʰuɔn5	
拍	pʰɑ7	
拐	kuai3	
拒	tɕʰi3	
拔	pʰa7	
拖	tʰo1	
拘	tɕi1	
招	tia1	
拜	pai2	
擬	le3	
攏	ləŋ3	
揀	tɕiɛn3	
擁	iəŋ2	
攔	lan2	
撥	pua7	
擇	tsʰe7	
括	kʰua7	
拱	kuəŋ3	
拳	tɕʰyan2	
拴	suɔn1	
拼	pʰin1	～音
拽	ie2	拉
拽	ie7	拖
拾	sɿ7	
拿	lɑ2	
持	tsʰɿ2	
挂	kuɑ2	
指	tsɿ3	
按	ŋuɔn2	
挑	tʰiɔ1	
挖	va7	
撓	lɔ2	
擋	tɔŋ2	
揮	fe1	
挨	ŋai1	
挨	ŋai2	
振	tin2	
挺	tʰin3	
挽	van3	
捅	tʰəŋ3	
捆	kʰun3	
捉	tso7	
捎	ɕiɔ1	
捏	ȵie7	
捐	tɕyan1	
捕	pʰə2	
撈	lɔ1	
損	sun3	
換	fuɔn5	
捧	pəŋ3	
据	tɕi2	
捷	tɕʰie7	
捺	lan5	
捻	ȵiɛn5	
掀	ɕiɛn1	
掂	tiɛn5	
掇	ȵiɛn1	拾～，两手～起
掇	tʰiɛn5	掂～
授	ɕiə5	
掉	tiɔ5	
掌	tɔŋ3	
掏	tʰɔ3	
掐	tɕʰia7	
排	pʰai2	
掘	tɕya7	
掘	tɕʰie7	
掠	tiɔ7	
探	tʰan1	
接	tɕie7	
控	kʰuəŋ2	
掩	iɛn3	
掬	tɕiə7	
掮	tɕʰyan1	
擲	tʰin5	
撣	tʰan5	
揉	ȵiə2	
描	miɔ2	
提	tʰe2	
插	tsʰa7	
揖	i7	
揞	mɑŋ3	
握	vo7	
揩	kʰai2	
揪	tɕiə1	
揭	tɕʰie7	
援	yan2	
攬	lan3	
攙	tsʰan1	
擱	ko7	
摟	lia2	
攪	tɕiɔ3	
搜	ɕia1	
搡	tsʰɔŋ3	
搬	puɔn1	
搭	ta7	
携	ɕie2	
搽	tsʰɑ2	
攝	se7	
摆	pai3	
摇	iɔ2	
攤	xan1	
摔	suai1	
摘	tsɑ7	
摞	lo5	
摩	mo2	
摸	mo1	
撑	tsʰɑŋ1	支～
撕	tse1	
撞	tsʰɔŋ5	
撤	tsʰe7	
撩	liɔ2	
撮	tsue7	
攆	ȵiɛn3	
撼	xan5	
擀	kuɔn3	
操	tsʰɔ1	
擒	tɕʰin2	
擦	tsʰa7	
攀	pʰan1	
攢	tsʰan5	
攘	lɔŋ3	
支	tsɿ2	
收	ɕiə1	
改	kuai3	
攻	kuəŋ1	
放	kɑ2	～架
放	fɔŋ2	
政	tin5	
故	ku5	
效	xɔ5	
敵	tʰe7	
敏	min2	
救	tɕiə2	
教	kɔ1	～书
教	kɔ2	～育，～他去
斂	liɛn5	
敝	pʰe9a	
敢	kuɔn3	
散	san2	分～
散	san3	鞋带～了
敦	tun1	
敬	tɕin5	
數	sə3	动词
數	sə9a	名词
敲	tɕʰiɔ1	
整	tɑŋ3	又读tʰin31
敷	fu2	
文	viɛn3	
斋	tsai1	
斑	pan1	
斗	tia2	～争
斗	tia3	一～米
料	tiɔ5	
斛	vəŋ1	
斜	tɕʰia2	
斟	tsen1	
斤	tɕin1	
斥	tsʰɿ7	
斧	fu5	
斬	tsan3	
斷	tʰuɔn5	绳～了
斷	tʰuɔn5	～绝
斯	sɿ1	
新	sin1	
方	fɔŋ1	
施	sɿ2	
旁	pʰɔŋ2	
旅	te5	
旋	ɕyan2	～转
族	tsʰə7	
旗	tɕʰi2	
既	tɕi2	
日	le7	
旦	tan2	
舊	tɕʰiə5	
