#漢字	音標	解釋
廂	ɕiɔ1	
厥	tɕyəʔ7	
厦	sa3	
厦	ɕia5	～门
廚	tsʰu2	
厮	sɿ1	
去	kəʔ7-	
去	kʰəʔ8-	
去	tsʰu5	
縣	ɕiɪ5	
参	tsʰæ1	
参	sʌŋ1	人～
又	iʌu5	
叉	tsʰa1	
及	tɕiəʔ7	
友	iʌu3	
雙	suo1	～方
雙	suo5	～生
反	xuæ3=	～复
发	xuaʔ7	
叔	suəʔ7	
取	tsʰu3	
取	tsʰəʔ7	
受	sʌu5	
變	piɪ5	
敘	su5	
叛	pʰæ5	
叟	sʌu1	
疊	tʰiəʔ8	
口	kʰʌu3	
古	ku3	
句	tsu5	
另	liɪ5-	～开：独自生活
另	liʌŋ5=	
叨	tou1	
叩	kʰʌu5	
只	tsɿ3	～有
只	tsəʔ7	量词
叫	tɕiou5	
召	tsou1	
可	kʰɔ3	～以：不错
可	kʰɔ5	～好:正好
台	tʰɐɪ2	
史	sɿ3	
右	iʌu5	
葉	iəʔ8	
號	xou5	～码
司	sɿ1	
嘆	tʰæ5	
吁	zu2	
吃	tsʰəʔ7	
各	kəʔ7	
吆	iou1	
合	kəʔ7-	十合一升
合	xəʔ8	～作
吉	tɕiəʔ7	
吊	tiou5	
同	tʰuʌŋ2	
名	mɿ2-	官～：大名
名	miʌŋ2=	
后	xʌu5	
吏	liɪ5	
吐	tʰu3	
向	ɕiɔ5	
嚇	xa5-	
吕	lu3	
君	tɕyʌŋ1	
吝	liʌŋ5	
吞	tʰʌŋ1	
吟	iʌŋ2	
吠	xuɐɪ5	
吣	tɕʰiʌŋ3	
否	xu3	
含	xæ2=	
听	tʰɿ1-	
听	tʰiʌŋ1=	
启	tsʰɿ3	
吴	u2	
吵	tsʰou3	
吸	ɕiəʔ7	
吹	tsʰu1	
吻	uʌŋ3	
吼	xʌu3	
吾	u3	
呆	tɐɪ1	
呈	tsʰʌŋ2	
告	kou5	
嘔	ŋʌu1	
員	yɪ2	
周	tsʌu1	
味	uɐɪ5	
呵	xɔ1	
呼	xu1	
命	mɿ5-	
命	miʌŋ5=	
和	xou5-	我～他
和	xuo2	
咎	tɕiʌu1	
咏	yʌŋ3	
咒	tsʌu5	
咨	tsɿ1	
咬	niou3	
咳	kʰəʔ7	
咸	xæ2-	
咸	ɕiæ2=	
咽	iɪ5	
哀	ŋɐɪ3	
品	pʰiʌŋ3	
哄	xuʌŋ3	～骗
哄	xuʌŋ5	
響	ɕiɔ3	
啞	nia3	
噦	yɪ1	
哥	kɔ1	
哪	na3	
哭	kʰuəʔ7	
哲	tsəʔ7	
唆	suo3	
脣	tsʰuʌŋ2	
唐	tʰɔ2	
嘮	lou2	
喚	xou5-	～客：延请宾客
喚	xuæ5=	
售	sʌu5	
唯	uɐɪ2	
唱	tsʰɔ5	
唵	ŋiɪ3	
唾	tʰuo5	
啃	kʰuʌŋ3	
啄	tsuəʔ7	
商	sɔ1	
啤	pʰɿ1	
嗇	saʔ7	
啼	tʰɿ2	
喂	zu5-	
喂	uɐɪ5	
喃	zæ2	唠叨，嚼
善	ɕiɪ5-	～：温和善良
善	sæ5=	
喉	xʌu2	
喊	xæ3	
喘	tɕʰyɪ3-	
喘	tsʰuæ3=	
喜	sɿ3	
喝	xəʔ7	
喧	ɕyɪ1	
噴	pʰu1	～喷水
噴	pʰʌŋ5	～嚏
噴	pʰʌŋ1=	～泉
喻	zu2	
嗅	ɕiʌu5	
嗉	sʌu5	
嗓	sɔ3	
嗜	sɿ5	
嗣	sɿ5	
嗤	tsʰɘr3	
嗽	sʌu5	
嘉	tɕia1	
噓	su1	
囑	tsuəʔ7	
嘲	tsʰou2	
嘴	tsu3	
嘹	liou2	
噍	tɕiou5	
噎	iəʔ7	
器	tsʰɿ5	
嚎	xou2	
嚏	tʰɿ5	
囂	ɕiou1	
嚷	zɔ3	
嚼	tɕiəʔ7	
囊	nɔ2	
囚	ɕiʌu2	
四	sɿ5	
回	xuɐɪ2	
回	xuəʔ7	又读
因	iʌŋ1	
团	tʰou2-	
团	tʰuæ2=	
囤	tuʌŋ5	
園	yɪ2	
困	kʰuʌŋ5	
圍	zu2-	～起来
圍	uɐɪ2	
固	ku5	
國	kuəʔ7	
圖	tʰu2	
圓	yɪ2	
圈	tɕʰyɪ1	圆～
圈	tɕyɪ5	兽阑
土	tʰu3	
聖	sʌŋ5	
在	tsɐɪ5	
圭	kuɐɪ1	
地	tɿ5	
場	tsʰɔ2	
址	tsɿ3	
均	tɕyʌŋ3	
坎	kʰæ3	
壞	xyɛ5	
坐	tsuo5	
坑	tɕʰiɛ1-	
坑	kʰʌŋ1=	
塊	kʰyɛ3	
塊	kʰuɐɪ3=	
堅	tɕiɪ1	
坛	tʰæ2	
壩	pa5	
墳	xuʌŋ2	
墜	tsu5-	耳～
墜	tsuɐɪ5=	
坡	pʰuo1	
坤	kʰuʌŋ1	
