#漢字	音標	解釋
瞳	tʰuʌŋ2	
瞻	tsæ1=	
瞿	tsʰu2	
矛	mʌu2	
矢	sɿ5	
矣	zɿ3	
知	tsɘr1	
矩	tsu5	
矯	tɕiou1	
短	tu3-	
短	tuæ3=	
矮	ŋɐɪ3	
石	səʔ8	
礬	xuæ2	
礦	kʰuo5	
碼	ma3	
砌	tsʰɿ5	
砌	tɕʰiəʔ7	
砍	kʰiɪ3	
砑	nia5	
研	niɪ2-	
研	iɪ2=	
磚	tɕyɪ1	
硯	niɪ5	
砣	tʰuo2	轮子
破	pʰuo5	
礎	tsʰu3	
碩	səʔ8	
硝	ɕiou1	
硫	liʌu2	
硬	niɛ5-	～柴
硬	niʌŋ5=	
確	tɕʰiaʔ7	的～良
礙	ŋɐɪ3	
碎	suɐɪ5	
碑	pɐɪ1	
碗	uou3-	
碗	uæ3=	
碟	tʰiəʔ8	
碡	tsʰuəʔ8	碌～
碧	piəʔ7	
鹼	tɕiæ3	
碾	iɪ3-	
碾	niɪ3=	
磁	tsʰɿ2	
磕	kʰəʔ7	
磨	muo2	
磨	muo5	石～
磷	liʌŋ2	
示	sɿ5	
禮	liɪ3	
社	ɕiɛ5	
祀	sɿ5	
祁	tsʰɿ2	
祆	ŋou3	
祈	tsʰɿ2	
祐	iʌu5	
祖	tsʌu3	
祝	tsuəʔ7	
神	sʌŋ2	
祠	sɿ1	又读
祠	tsʰɿ2=	
祥	ɕiɔ2	
票	pʰiou5	车～
祭	tsɿ5	
禱	tou3	
禍	xuo5	
禀	piʌŋ3	
禁	tɕiʌŋ5	
禄	luəʔ8	
禪	ɕiɪ2-	～在居舍：呆在家里
禪	sæ5	～让
禪	tsʰæ2=	～宗
福	xuəʔ7	
禹	zu3	
离	liɪ2	
禽	tɕʰiʌŋ2	
禾	xuo2	
秀	ɕiʌu5	
私	sɿ1	
禿	tʰuəʔ7	
秆	kiɪ3	麦～
秆	kæ3=	
秉	piʌŋ3	
秋	tɕʰiʌu1	
種	tsuʌŋ3	～类
種	tsuʌŋ5	～植
科	kʰuo1	
秒	miou3	
秕	pɿ3	
秘	miəʔ8	
租	tsʌu1	
秤	tsʰɘr5-	
秤	tsʰʌŋ5=	
秦	tsʰʌŋ2-	
秦	tɕʰiʌŋ2	
秧	iɔ1	
秩	tsəʔ7	
積	tɕiəʔ7	
稱	tsʰɘr1-	
稱	tsʰʌŋ1=	
稱	tsʰʌŋ5=	相～
秸	tɕiɛ1	
移	zɿ2	
稀	sɿ1	
程	tsʰʌŋ2	
稍	sou1	
稅	su5	～务局
稗	piɛ5-	
稗	pɐɪ5=	
稙	tsəʔ7	
稚	tsɘr5	
稠	tsʰʌu2	
種	tsəʔ7	
穩	uʌŋ3	
稻	tou3	
稼	tɕia5	
稽	tsɿ1	
稿	kou3	
穆	məʔ8	
穗	su5-	
穗	suɐɪ5=	
穴	ɕyəʔ8	
究	tɕiʌu3	
窮	tɕʰyʌŋ2	
空	kʰuʌŋ1	～虚
空	kʰuʌŋ5	～缺
穿	tɕʰyɪ1-	
穿	tsʰuæ1=	
突	tʰuəʔ7	
竊	tɕʰiəʔ7	
窄	tsaʔ7	
竅	tɕʰiou5	
窑	iou2	
窖	tɕiou5	
窗	tsʰuo1	
竄	tɕʰyɛ5-	
竄	tsʰuæ5=	
窩	uo1	
窟	kʰuəʔ7	
窠	kʰuo1	
窺	kʰuɐɪ1	
窨	iʌŋ5	
立	liəʔ8	
豎	su5	
站	tsæ5	
競	tɕiʌŋ5	
竟	tɕiʌŋ5	
章	tsɔ1	
童	tʰuʌŋ2	
竭	tɕiəʔ7	
端	tu1-	
端	tuæ1=	
竹	tsuəʔ7	
竿	kiɪ1-	
竿	kæ1=	
笊	tsou5	
笋	suʌŋ3	
笑	ɕiou5	
笔	piəʔ7	
笙	sʌŋ1	
笛	tʰiəʔ8-	
笛	tiəʔ7=	
符	xu2	
笨	pʌŋ5	
第	tɿ5	
籠	luʌŋ2	
等	tʌŋ3	
筋	tɕiʌŋ1	
筏	xuaʔ8	
筐	kʰuo1	
筑	tsuəʔ7	
筒	tʰuʌŋ3	
答	taʔ7	
策	tsʰaʔ7	
篩	ɕiɛ1-	
篩	sɐɪ1=	
箏	tsʌŋ1	
筵	iɪ2	
筷	kʰyɛ5	
籌	tsʰʌu2	
签	tɕʰiɪ1	
簡	tɕiæ3	
箅	pɿ5	
箍	ku1	
算	sou5-	
算	suæ5=	
管	kou3-	总～
管	kuæ3=	
籮	lɔ2	
簫	ɕiou1	
箭	tɕiɪ5	
箱	ɕiɔ1	
篆	tɕyɪ5-	
篆	tsuæ5=	
篇	pʰiɪ1	
簍	lʌu3	
篡	tsʰuæ5	
篦	pɿ3	
籃	læ2	
篱	liɪ2	
篷	pʰʌŋ2	
簟	tiɪ5	
簧	xuo2	
簪	tsæ1	
簸	puo3	～一～
簸	puo5	～箕
簿	pu5	
籍	tɕiəʔ7	
米	mɿ3	
籴	tiəʔ7	
类	lu5-	分～
类	luɐɪ5=	
粉	xuʌŋ3	
粒	liəʔ7	
粗	tsʰʌu1	
粘	tɕiɪ1-	～贴
粘	tsæ1=	～贴
糶	tʰiou5	
粤	yəʔ8	
粥	tsuəʔ7	
粥	tsʌu1=	
糞	xuʌŋ5	
糧	liɔ2	
粱	liɔ2	
粹	tsʰu5-	纯～
粹	tsʰuɐɪ5=	
糉	tɕyʌŋ5	
精	tsɿ1-	明～：清楚
精	tɕiʌŋ1=	
糊	xu2	
糕	kou1	
糖	tʰɔ2	
糙	tsʰou5	
糜	mɿ2	
糟	tsou1	
糠	kʰɔ1	
系	sɿ5	
素	sʌu5	
索	saʔ7	
緊	tɕiʌŋ3	
紫	tsɿ3	
累	lu3-	积～
累	lu5-	～人
累	luɐɪ3=	积～
累	luɐɪ5=	劳～
絍	zʌŋ5	
絮	su5	
繁	xuæ2	
纂	tsuæ5	
糾	tɕiʌu1	
紅	xuʌŋ2	
紂	tsʌu5	
纤	ɕiɪ2	～维
約	iou1-	～摸
約	iəʔ7=	
級	tɕiəʔ7	
紀	tsɿ5	
緯	zu5-	
緯	uɐɪ3=	
純	tsʰuʌŋ2	
紗	sa1	
綱	kɔ1	
納	naʔ8	
縱	tsuʌŋ5	
紛	xuʌŋ1	
紙	tsɿ3	
紋	uʌŋ2	
紡	xuo3	
紐	niʌu3	
線	ɕiɪ5	
練	liɪ5	
組	tsʌu1	
細	sɿ5	
織	tsəʔ7	
終	tsuʌŋ1	
縐	tsʌu5	
絆	pou5-	
絆	pæ5=	
紹	sou3	
經	tsɿ1-	
經	tɕiʌŋ1	
綁	puo3	
絨	zuʌŋ2	
結	tɕiəʔ7	
繞	zou3	围～
繪	xuɐɪ5	
給	iəʔ7-	
給	tɕiəʔ7=	供～
絡	laʔ8	
絕	tɕyəʔ7	
絞	tɕiou3	
統	tʰuʌŋ3	
絹	tɕyɪ5	
繡	ɕiʌu5	
綏	su1-	
綏	suɐɪ2=	
繼	tsɿ5	
績	tɕiəʔ7	
緒	su5	
綾	liʌŋ2	
續	ɕyəʔ8	
綽	tsʰaʔ7	
繩	sɘr2-	
繩	sʌŋ2	
維	uɐɪ2	
綿	miɪ2	
绷	piɛ1-	弹射
绷	pʌŋ1=	
綢	tsʰʌu2	
綜	tsuʌŋ1	
綻	tsæ5	
綠	luəʔ8	
綴	tsu5-	～扣扣
綴	tsuɐɪ5=	
緬	miɪ3	
纜	læ3	
緝	tɕʰiəʔ7	
緞	tu5-	
緞	tuæ5=	
緩	xuæ3	
編	piɪ1	
緣	iɪ2	
縫	xuʌŋ5	～隙
纏	tɕʰiɪ2-	
纏	tsʰæ2=	
纓	iʌŋ1	
縮	suaʔ7	
繮	tɕiɔ1	
繰	tɕʰiou1	
繳	tɕiou1	
缺	tɕʰyəʔ7	
罐	kou5-	
罐	kuæ5=	
网	uo3	
罕	xæ3	
羅	lɔ2	
罰	xuaʔ8	
罷	pa5	
罩	tsou5	
罪	tsuɐɪ5	
置	tsɘr5	
署	tsʰu3	
羊	iɔ2	
美	mɐɪ3	
羔	kou1	
羞	ɕiʌu1	
羡	ɕiɪ5	
羣	tɕʰyʌŋ2	
羶	ɕiɪ1	
羹	tɕiɛ1	抿～
羹	kʌŋ3=	
羽	zu3	
翁	uʌŋ2	
翅	tsʰɿ5	
翎	liɪ2-	鸡～
翎	liʌŋ2=	
翔	ɕiɔ2	
翟	tsʰaʔ8-	～家窑
翠	tsʰu5-	
翠	tsʰuɐɪ5=	
翡	xuɐɪ1	
翰	xæ5	
翻	xuæ1	
耀	iou5	
老	lou3	
考	kʰou3	
者	tɕiɛ3	
而	ɐr2	
耍	sua3	
耐	nɐɪ5	
耕	tɕiɛ1-	
耕	kʌŋ1=	
耗	xou2	
耙	pʰa2	
耬	lʌu2	
耩	tɕiɔ3	
耳	zɿ3-	
耳	ɐr3=	
耵	tɿ3-	～耳：耳垢
恥	tsʰɘr3	
耽	tæ1	
耿	kʌŋ3	
聶	niəʔ8	
聊	liou2	
聾	luʌŋ2	
職	tsəʔ7	
聒	kuəʔ7	
聯	luæ2-	妇～
聯	liɪ2=	
聘	pʰiʌŋ5	
聚	tsu5	
聰	tsʰuʌŋ1	
肅	ɕyəʔ7	
肄	zɿ2	
肆	sɿ5	
肉	zʌu5	
肉	zuəʔ8=	
肋	luəʔ8-	～支：肋骨
肋	ləʔ8=	
肌	tsɿ1	
肘	tsʌu3	
肚	tu3	～子：胃
肚	tu5	腹
肝	kiɪ1	
肝	kæ1=	
腸	tsʰɔ2	
股	ku3	
肢	tsɿ1	
肤	xu2	
肥	sɿ2-	
肥	xuɐɪ2=	
肩	tɕiɪ1	
肪	xuo1	
肯	kʰʌŋ3	
育	yəʔ7	
肺	xuɐɪ5	
腎	sʌŋ5	
腫	tsuʌŋ3	
脹	tsɔ5	
脅	ɕiaʔ7	
胃	uɐɪ5	
膽	tæ3	
背	pɐɪ1	～东西
背	pɐɪ5	～面
胎	tʰɐɪ1	
胖	pʰaʔ7-	
胖	pʰuo5	
胚	pʰɐɪ1	
胛	tɕiaʔ7	
勝	sʌŋ5	
胞	pʰou2	同～
胡	xu2	
胭	iɪ1	
胮	pʰuo1	肿
胯	kʰua3	
胳	kəʔ8	
膠	tɕiou1	
胸	ɕyʌŋ2	
能	nʌŋ2	
脂	tsɿ3	
脆	tsʰu5-	干～
脆	tsʰuɐɪ5=	
脉	miəʔ8	
脊	tsəʔ7-	～背
脊	tɕiəʔ7=	
脏	tsɔ1	不干净
脏	tsɔ5	五～
臍	tsʰɿ2	
腦	nou2-	头也
腦	nou3	
膿	nuʌŋ2	
脖	pʰaʔ8	～子
腳	tɕiəʔ7	
脯	pʰu2	
脯	xu3	果～
脫	tʰuəʔ7	
臉	liɪ3	
脾	pʰɿ3	
臘	laʔ8	
腋	iɛ5	
腌	iɪ1	
腐	xu3	
腑	xu3	
腔	tɕʰiɔ1	
腕	uou3-	手～子
腕	uou5-	手脚扭伤
腕	uæ3=	
腥	sɿ1-	猪～：猪肉
腥	ɕiʌŋ1=	
腭	ŋəʔ7	
腮	sɐɪ1	
腰	iou1	
腹	xuəʔ7	
膩	zɿ5-	油～：油污；～：稀饭熬到较浓稠
膩	nɿ5=	
騰	tʰʌŋ1	
騰	tʰʌŋ2	～开：让开
腿	tʰuɐɪ3	
膀	pʰuo2	翅～
膏	kou1	
膏	kou3	
膏	ŋou5	～车
膘	piou1	
膜	mu2	
膝	ɕiəʔ7	
膨	pʰʌŋ2	
膳	sæ5=	
臂	pɿ5	
臂	pɐɪ5	
臊	sou1	
臣	tsʰʌŋ2	
自	tsɿ5	
臭	tsʰʌu5	
至	tsɿ5	
致	tsɘr5	
臻	tsʌŋ1	
臼	tɕiʌu5	
舀	iou3	
舅	tɕiʌu5	
舌	səʔ8	
舍	ɕiɛ3	
舍	ɕiɛ5	
舒	su1	
舔	tʰiɪ3	
舜	suʌŋ5	
舞	u3	
舟	tsʌu1	
航	xɔ2	
般	pou1-	
般	pæ1=	
艦	tɕiæ5	
舵	tʰɔ2	
船	tɕʰyɪ2-	轮～
船	tsʰuæ2=	
良	liɔ2	
艱	tɕiæ1	
色	saʔ7	
艳	iɪ5	
藝	zɿ5	
艾	ŋɐɪ5	
節	tɕiəʔ7	
芋	zu2	
芍	suəʔ8	
芒	muo2	
芒	uo2	麦～儿
芙	xu1	
芝	tsɿ1	
芡	tɕʰiɪ5	
芥	tɕiɛ5	
蘆	lʌu2	
芬	xuʌŋ5	
芭	pa1	
芮	zu5-	活～～：鲜嫩
芮	zuɐɪ5=	
花	xua1	
芳	xuo1	
芹	tɕʰiʌŋ2	
芽	nia2	
葦	zu3-	
葦	uɐɪ3=	
蒼	tsʰɔ1	
苏	sʌu1	
苔	tʰɐɪ2	
苗	miou2	
苟	kʌu3	
若	zəʔ8	
苦	kʰu3	
英	iʌŋ1	
蘋	pʰiʌŋ2	
茂	mou5	
范	xuæ5	
茄	tɕʰiɛ2	
茅	mou2	
莖	tɕiʌŋ5	
塋	zu2-	
塋	iʌŋ2=	
繭	tɕiɪ3	
茫	muo2	
茬	tsʰa2	
茴	xuɐɪ2	
茶	tsʰa2	
茸	zuʌŋ2	
荀	ɕyʌŋ2	
荆	tsɿ1-	～家村
荆	tɕiʌŋ1	
草	tsʰou3	
薦	tɕiɪ5	
荒	xuo1	
荔	liɪ5	
蕎	tɕʰiou2	
蕩	tɔ5	
榮	yʌŋ2	
葷	xuʌŋ1	
荫	iʌŋ1	
藥	iəʔ8	
荷	xa3-	～上
荷	xɔ2	
莓	mɐɪ2	
莠	iʌu3	
莫	məʔ8	
蓮	liɪ2	
获	xuaʔ8	
鶯	iʌŋ1	
莽	muo3	
菁	tsɿ1	蔓～
菊	tɕʰyəʔ7	
菌	tɕyʌŋ3	
菜	tsʰɐɪ5	
菠	puo1	
菢	pu5	
菩	pʰu2	
菱	liʌŋ2	
萄	tʰou2	
萌	mʌŋ2	
萍	pʰiʌŋ2	
萎	uɐɪ3	
蘿	lɔ2	
螢	yʌŋ2	
營	zɿ2-	～生
營	iʌŋ2=	
蕭	ɕiou1	
薩	sɔ3-	菩～
萱	ɕyɪ1	
落	laʔ8	
著	tsu5	
葛	kəʔ7	
葡	pʰu2	
董	tuʌŋ3	
葫	xu2	
葬	tsɔ5	
葱	tsʰuʌŋ1	
葵	kʰuɐɪ1	
葺	tɕʰiəʔ7	～垒：装修
蒂	tɿ5	
蔣	tɕiɔ1	
蒙	mʌŋ1	
蒜	sou5	
蒜	suæ5=	
蒲	pʰu2	
蒸	tsɘr1-	
蒸	tsʌŋ1=	
蒿	xou1	
蓄	ɕyəʔ7	
蓉	yʌŋ2	
蓖	pɿ3	
藍	læ2	
蓬	pʰʌŋ2	
蔓	uæ5	
蔗	tɕiɛ5	
蔡	tsʰɐɪ5	
蔫	iɪ1	
蔬	su1	
藹	ŋɐɪ3	
蔽	pɿ5	
蕉	tɕiou1	
蕊	zuɐɪ5	
蕨	tɕyəʔ7	
薄	pʰəʔ8	
薛	ɕiəʔ7	
薪	ɕiʌŋ1	
薯	su3	
薰	ɕyʌŋ1	
藉	tɕiɛ5	
藉	tɕiəʔ7	
藋	tiou5	
藏	tsʰɔ2	
藏	tsɔ5	
藐	miou3	
藕	ŋʌu3	
藤	tʰʌŋ1	
藩	xuæ1	
藻	tsou3	
藿	xuəʔ7	
蘸	tsæ5	
虎	xu3	
虜	lʌu2	
虐	iəʔ7	
虑	lu5	
虔	tɕʰiɪ2	
虛	su1	
虞	zu2	
蟲	tsʰuʌŋ2	
虱	saʔ7	
虹	tɕiɔ3-	～：虹也
虹	xuʌŋ2	
虻	miɛ2-	～蝇：牛虻
雖	su1	～然
雖	suɐɪ1=	
蝦	ɕia1	
蝕	səʔ8	
蚊	uʌŋ2	
蚌	puo5	
蚓	iʌŋ3	
蠶	tsʰæ2	
蚣	kuʌŋ1	
蚤	tsou3	
蛀	tsu5	
蛆	tsʰu1	
蛇	ɕiɛ2	
蛋	tæ5	
蛙	ua1	
蛛	tsu1	
蛤	kəʔ7	
蠻	mæ2	
蟄	tsəʔ7	
螄	sɿ1	
蛾	ŋɔ2	
蜂	xuʌŋ1	
蜈	u2	
蜓	tʰiʌŋ2	
蛻	tʰuɐɪ5	
蝸	uo1	
蜘	tsɘr1	
蜜	miəʔ8	
蠟	laʔ8	
蜻	tɕʰiʌŋ1	
蠅	zɿ2-	
蠅	iʌŋ2=	
蟬	tsʰæ2=	
蝎	ɕiəʔ7	
蝗	xuo2	
蝙	pʰiɪ1-	
蝙	piɪ1=	
蝠	xuəʔ7	
蝴	xu2	
蝶	tʰiəʔ8	
螂	lɔ2	
螃	pʰuo2	
融	yʌŋ2	
螳	tʰɔ2	
螺	luo2	
蟀	suaʔ7	
蟆	ma2	
蟋	ɕiəʔ7	
蟒	muo3	
蟥	xuo2	
蠓	mʌŋ3	
血	ɕyəʔ7	
衅	ɕiʌŋ5	
行	ɕiɛ2-	～～走走：小孩开始走路
行	xɔ2	～伍
行	ɕiʌŋ2=	
衍	iɪ3	
銜	xæ2-	
銜	ɕiæ2=	
街	tɕiɛ1	
衙	nia2-	
衙	ia2=	
衡	xʌŋ2	
衣	zɿ1	
補	pu3	
表	piou3	
衫	sæ3	
襯	tsʰʌŋ5	
衰	suɐɪ1	
衷	tsuʌŋ1	
袁	yɪ2	
袋	tɐɪ5	
袍	pʰou2	
袖	ɕiʌu5	
袜	uaʔ8	
被	pɿ5	
襲	ɕiəʔ8	
裁	tsʰɐɪ2	
裂	liəʔ8	
裝	tsuo1	
襠	tɔ1	
裕	yəʔ7	
裙	tɕʰyʌŋ2	
褲	kʰu5	
裳	sɔ2	
裴	pʰɐɪ2	
裸	luo3	
裹	kuo3	
褒	pou3	
褚	tsʰu3	
褥	zuəʔ8	
褪	tʰuɐɪ5	
褯	tɕiɛ5	
褶	tsəʔ7	
襟	tɕiʌŋ1	
襻	pʰæ5	
西	sɿ1	
要	iou1	～求
要	iou5	重～
覆	xuəʔ7	
見	tɕiɪ5	
觀	kou1-	
觀	kuæ1=	参～
觀	kuæ5=	寺～
規	kʰuɐɪ1-	
規	kuɐɪ1	
覓	miəʔ8	
視	sɿ5	
覽	læ3	
覺	tɕiou5	～来：醒来
覺	tɕiaʔ7	感～
角	tɕiaʔ7	
解	tɕiɛ3	～开
解	xiɛ5	～下：晓也
解	ɕiɛ5=	
觸	tsuəʔ7	
言	niɪ2-	～～：说话
言	iɪ2=	
譽	zu5	
謄	tʰʌŋ2	
誓	sɘr5	
警	tɕiʌŋ3	
譬	pʰɿ5	
計	tsɿ5	
訂	tiʌŋ5	
訃	pʰəʔ7	
認	zʌŋ5	
譏	tsɿ1	
討	tʰou3	
讓	zɔ5	
訖	tɕʰiəʔ7	
訓	ɕyʌŋ5	
議	zɿ5	
訊	ɕiʌŋ5	
記	tsɿ5	
講	tɕiɔ3	
諱	xuɐɪ3	
許	su3	
訛	ŋɔ2	
論	luʌŋ2	～语
論	luʌŋ5	议～
訟	suʌŋ3	
諷	xuʌŋ3	
設	səʔ7	
訪	xuo3	
訣	tɕyəʔ7	
证	tsʌŋ5	
評	pʰiʌŋ2	
識	səʔ7	
詐	tsa5	
訴	sʌu5	
診	tsʌŋ1	
詞	tsʰɿ2	
詔	tsou1	
譯	iəʔ7	
試	sɿ5	
詩	sɿ1	
誠	tsʰʌŋ2	
誅	tsu1	
話	xua5	
誕	tæ5	
詭	kyɛ3-	
詭	kuɐɪ3	
該	kɐɪ1	
詳	ɕiɔ2	
誣	u5	
語	nu3-	言～
語	zu3=	
誤	u5	
誘	iʌu5	
說	ɕyəʔ7	
誦	suʌŋ5	
請	tɕʰiʌŋ3	
諸	tsu1	
諾	naʔ8	
讀	tuəʔ7	
課	kʰuo5	
誰	su2	
調	tʰiou2	～和
調	tiou5	～动
諒	liɔ5	
談	tʰæ2	
誼	zɿ5	
謀	mu2	
諜	tiəʔ7	
謊	xuo1	
諫	tɕiæ5	
諧	ɕiɛ2	
謂	uɐɪ5	
讒	tsʰæ2	
諺	iɪ5	
謎	mɐɪ2	猜～
謎	mɿ2=	
謝	ɕiɛ5	
謠	iou2	
謗	puo3	
謙	tɕʰiɪ1	
謹	tɕiʌŋ3	
謬	niou3	
譚	tʰæ2	
譜	pʰu3	
谷	kuəʔ7	
豁	xuəʔ7	
豆	tʌu5	
豇	tɕiɔ1	
豌	uou1-	
豌	uæ1=	
豕	sɿ3	
象	ɕiɔ5	
豪	xou2	
豫	zu5	
豹	pou5	
豺	tsʰɐɪ2=	
貂	tiou1	
貌	mou5	
貒	tʰou1	～子：獾
贏	zɿ2-	
贏	iʌŋ2	
貝	pɐɪ5	
貞	tsʌŋ1	
負	xu2-	欺～
負	xu5=	
貢	kuʌŋ5	
財	tsʰɐɪ2	
責	tsaʔ7	
賢	ɕiɪ2	
敗	piɛ5-	～兴
敗	pɐɪ5=	
賬	tsɔ5	
貨	xuo5	
質	tsəʔ7	
販	xuæ5	
貪	tʰæ1	
貧	pʰiʌŋ2	
貶	piɪ3	
購	ŋʌu5	
貫	kou5-	
貫	kuæ5=	
貳	ɐr5	
賤	tɕiɪ5	
貼	tʰiəʔ7	
貴	kuɐɪ5	
貸	tɐɪ5	
貿	mou5	
費	sɿ5-	
費	xuɐɪ5=	
賀	xɔ5	
賊	tsɐɪ1	
賈	tɕia3	
賄	xuɐɪ5	
賃	zʌŋ5	
賃	liʌŋ5=	
賂	lʌu5	
資	tsɿ1	
賒	ɕiɛ1	
賦	xu5	
賭	tu3	
贖	suəʔ8	
賞	sɔ3	
賜	tsʰɿ5	
賠	pʰɐɪ2	
賴	liɛ5-	
賴	lɐɪ5=	
贅	tsu5-	
贅	tsuɐɪ5=	
賺	tsuæ5	
賽	sɐɪ5	
赞	tsæ5	
贈	tsʌŋ1	
贍	sæ5	
赤	tsʰəʔ7	
赦	ɕiɛ5	
赫	xəʔ7	
走	tsʌu3	
赴	xu5	
趙	tsou5	
趕	kiɪ3	
起	tsʰɿ3	
趁	tsʰʌŋ5	
超	tsʰou1	
越	yəʔ8	
趨	tsʰu1	
趟	tʰɔ5	
趣	tsʰu3	
足	tɕyəʔ7	
趾	tsɿ3	
躍	iou5	
跌	tiəʔ7	
跑	pʰou3	奔～
跗	xu1	
距	tsu5	
跟	kʌŋ1	
跨	kʰua5	
路	lʌu5	
跳	tʰiou5	
踐	tɕiɪ5	
蹺	tɕʰiou1	
踊	yʌŋ3	
踏	tʰaʔ8	
踢	tʰiəʔ7	
踩	tɕʰiɛ3	
蹤	tsuʌŋ1	
踱	tu5	
蹄	tʰɿ2	
蹅	tsa1	
蹑	niəʔ8	
蹦	piɛ5-	
蹦	pʌŋ5=	
蹭	tsʰʌŋ3	
蹲	tuʌŋ1	
躁	tsʰou5	
身	sʌŋ1	
躬	kuʌŋ1	
躲	tuo3	
躺	tʰɔ3	
車	tsu1	～马炮
車	tɕʰiɛ1	～辆
軋	tsaʔ8	
軌	kuɐɪ1	
轉	tɕyɪ5-	轮子～
轉	tɕyɪ3	～账
轉	tsuæ3=	～变
轉	tsuæ5=	
軛	ŋəʔ7	
輪	luʌŋ2	
軟	zuɐɪ3-	
軟	zuæ3=	
轟	xuʌŋ5	
軸	tsʌu3	
輕	tɕʰiʌŋ1	
載	tsɐɪ3	
轎	tɕiou5	
較	tɕiou5	
輔	xu3	
輛	lia5	
輩	pɐɪ5	
輝	xuɐɪ1	
輻	xuəʔ7	
輯	tɕiəʔ7	
輸	su1	
轅	yɪ2	
轄	ɕiaʔ7	
轍	tsəʔ7	
辛	ɕiʌŋ1	
辭	tsʰɿ2	
辟	pʰiəʔ7	
辣	laʔ8	
辨	piɪ5	
辯	piɪ5	
辮	piɪ5	
辰	tsʰʌŋ2	
辱	zuəʔ8	
邊	piɪ1	
邊	pʰiɪ1	
遼	liou2	
达	taʔ7	
迁	tɕʰiɪ1	
迂	zu2	
迅	ɕiʌŋ5	
過	kuo5	
邁	miɛ5-	
邁	mɐɪ5=	
迎	iʌŋ2	
運	yʌŋ5	
近	tɕiʌŋ5	
返	xuæ3	
還	xæ2	～是
還	xuæ2	～原
進	tɕiʌŋ5	
遠	yɪ3	
違	uɐɪ1	
連	liɪ2	
遲	tsʰɘr2	
迥	tɕyʌŋ3	
迫	piəʔ7	
述	suəʔ7	
迷	mɿ2	
迸	piɛ5-	～开
迸	pʌŋ5=	～发
迹	tɕiəʔ7	
追	tsu1-	督促
追	tsuɐɪ1=	～求
退	tʰuɐɪ5	
送	suʌŋ5	
適	səʔ7	
逃	tʰou2	
逆	niəʔ8	
選	ɕyɪ3	
遜	ɕyʌŋ5	
透	tʰʌu5	
逐	tsuəʔ7	
遞	tɿ5	
途	tʰu2	
逗	tʌu5	
通	tʰuʌŋ1	
逛	kɔ5-	
逝	sɘr5	
逞	tsʰʌŋ1	
速	suəʔ7	
造	tsʰou5	
逢	xuʌŋ2	缝～补
逵	kʰuɐɪ1	
逸	iəʔ7	
逼	piəʔ7	
逾	zu2	
遁	tuʌŋ5	
遂	su5-	半身不～
遂	suɐɪ5=	
遇	nu5-	～上
遇	zu5=	
遍	piɪ5	
遏	ŋəʔ7	
遐	ɕia2	
道	tou5	
遺	zɿ2	
遢	tʰaʔ7	
遣	tɕʰiɪ3	
遥	iou2	
遭	tsou1	
遮	tɕiɛ1	
遵	tsuʌŋ1	
避	pɿ5	
邀	iou1	
邋	laʔ7	
邓	tʌŋ5	
那	na3	
邦	puo1	
邪	ɕiɛ2	
郵	iʌu2	
邵	sou2	
鄒	tsʌu1	
鄰	liʌŋ2	
郁	yəʔ7	
郊	tɕiou1	
郎	lɔ2	
鄭	tsʌŋ5	
郝	xəʔ7	
郡	tɕyʌŋ3	
部	pu5	
郭	kuəʔ7	
都	tu1	
都	tʌu1	～是
鄂	ŋəʔ7	
鄙	pɿ3	
酉	iʌu3	
酌	tsuəʔ7	
配	pʰɐɪ5	
酒	tɕiʌu3	
酥	sʌu1	
酪	lou5	
酬	tsʰʌu2	
醬	tɕiɔ5	
酵	ɕiou5	～母
酷	kʰuəʔ7	
酸	sou1-	
酸	suæ1=	
釅	niɪ5	颜色深
醇	tsʰuʌŋ2	
醉	tsu5	
醋	tsʰʌu5	
醒	sɿ3-	
醒	ɕiʌŋ3	
醭	pʰəʔ7	
采	tsʰɐɪ3	
釉	iʌu5	
釋	səʔ7	
里	liɪ3	
重	tsʰuʌŋ2	～复
重	tsuʌŋ5	轻～
野	iɛ3	
量	liɔ2	～米
量	liɔ5	容～
金	tɕiʌŋ1	
釜	xu3	
鉴	tɕiæ5	
鑾	luæ2	
鏨	tsæ5	
鏊	ŋou5	
钁	tɕyəʔ7	～头：镢头
针	tsʌŋ1	
釘	tɿ1-	
釘	tɿ5-	钉住
釘	tiʌŋ1=	
釣	tiou5	
釵	tsʰa1	
鈍	tuʌŋ5	
鈔	tsʰou2	
钟	tsuʌŋ1	
鋼	kɔ1	～铁
鋼	kɔ5	～刀
鑰	iəʔ8	
欽	tɕʰiʌŋ2	
鈞	tɕyʌŋ3	
鉤	kʌu1	
鈕	niʌu3	
錢	tɕʰiɪ2	
鉗	tɕʰiɪ2	
鉢	pəʔ7	
鈸	pəʔ7	
鑽	tsou1-	
鑽	tsou5-	～子
鑽	tsuæ5	～石
鑽	tsuæ1=	～研
鐵	tʰiəʔ7	
鈴	liɪ2-	
鈴	liʌŋ2=	
鉛	tɕʰiæ1	
鐃	nou2	
銅	tʰuʌŋ2	
鍘	tsʰaʔ8	
鏵	xua2	
銘	miʌŋ2	
鉸	tɕiou3	
铲	tsʰæ3	
銀	niʌŋ2	
鑄	tsu5	
鋪	pʰu1	
鋪	pʰu5	店铺
銷	ɕiou1	
鎖	suo3	
鋤	tsʰu2	
鍋	kuo1	
鏽	ɕiʌu5	
銼	tsʰuo5	
