#漢字	音標	解釋
䘆	ɕya3	～子：蚯蚓
場	tsʰaŋ2	文读
圾	tɕiɛ3	垃～
址	tɕi3	
坊	faŋ1	
坎	xua3	碓～：碓臼
壞	xuai6	
坐	tsʰo1	
坑	kʰaŋ1	白读，粪～
坑	xaŋ1	白读
坑	kʰɛŋ1	文读
塊	kʰuai3	
塊	kʰuai5	
堅	tɕia1	
坛	ta2	
壩	po5	
坡	pu1	
坦	tʰa3	
坪	piŋ2	
坳	au5	
垃	lɛ3	～圾
壟	loŋ3	
型	ɕiŋ2	
垣	ya2	
墾	kʰɛŋ3	
墊	tia6	
埋	mai2	
城	sɛŋ2	
域	uəi5	
埠	pu6	～头：地名
基	tɕi1	
堂	taŋ2	
堆	tuəi1	
堤	ti1	
堵	tu3	
塌	tʰa3	
塍	sɛŋ2	
塑	su5	
塔	tʰa3	
塘	taŋ2	
塞	sai5	边～
塞	sɛ3	
塞	sɛ5	～唧
填	tia2	
境	tɕiŋ5	
牆	tɕʰiaŋ2	
增	tsɛŋ1	
墟	ɕy1	
墨	mɛ6	
墩	tuəŋ1	
壁	pi5	
士	sɿ6	
壯	tsaŋ5	
聲	sɛŋ1	
殼	kʰu5	
殼	kʰu2	又音，脑～：头
壺	xu2	
處	tɕʰy3	～理
處	tɕʰy5	
備	pi6	
复	fu5	
夏	xo6	
夕	sɿ5	七～节
外	uai5	白读，～甥
外	uai6	文读
多	tu1	
夜	io6	
够	kɛu5	
大	tai6	
天	tʰia1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
失	sɛ3	
頭	tɛu2	
夾	ka3	
奪	tuɛ1	
奇	tɕʰi2	
奈	nai6	
奉	foŋ6	
奏	tsɛu5	
奕	i5	
獎	tɕiaŋ3	
套	tʰau5	
奠	tia6	
奧	ŋau5	
女	ȵy3	
奴	nu2	
奶	nai3	
奸	ka1	
好	xau3	
好	xau5	
如	y2	
妃	fuəi1	
妝	tsaŋ1	
婦	fu1	白读
婦	fu6	文读
媽	ma1	
妣	pi3	
嬀	xuəi6	～水陈氏
妹	muəi5	
妻	tɕʰi1	
姊	tɕi3	
始	tɕʰi3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	uəi3	
姜	tɕiaŋ1	
姨	i2	
姻	iŋ1	
姿	tɕi1	
嬌	tɕiau1	
娘	ȵiaŋ2	
娟	tɕya1	
娠	sɛŋ2	
娥	ŋu2	
娛	ȵy2	老派
娛	y2	新派
娶	tɕʰy3	
娼	tsʰaŋ1	
婆	pu2	
婚	kʰuəŋ1	
婷	tiŋ2	
媒	muəi2	
媳	sɿ5	
嫁	ko5	
嫂	sau3	
嫌	ɕia2	
嫖	piau2	
嫡	ti5	
嫩	nuəŋ6	
嬉	tɕʰi1	
子	tɕi3	
孔	kʰoŋ3	
字	tɕʰi6	
存	tsʰuəŋ2	
孫	suəŋ1	
孝	kʰau5	白读，大～子
孝	ɕiau5	文读
孟	mɛŋ6	
季	tɕi5	
孤	ku1	
學	xu6	
孩	xai2	
寧	ȵiŋ2	
宇	y3	
守	tsɛu3	白读，～屋：看家
守	sɛu3	文读
安	ua1	白读
安	ŋa1	文读
宋	soŋ5	
完	ua2	
完	ya2	又音
宗	tsoŋ1	
官	kua1	
定	tiŋ6	
宜	ȵi2	
宜	ȵia2	又音，便～
寶	pau3	
實	sɛ1	
審	sɛŋ3	
客	kʰo5	白读
客	kʰɛ5	文读
宣	ɕya1	
室	sɛ3	
宮	tɕioŋ1	老派
宮	koŋ1	新派
害	xuai6	白读
害	xai6	文读
宴	ia5	
宵	ɕiau1	
家	ko1	
家	ko5	又音，马～、赵～
容	ioŋ2	
寬	kʰua1	
寬	xua1	～量：地名
賓	piŋ1	
宿	ɕiəu5	白读
宿	su5	文读，～舍
寄	tɕi5	
密	muɛ1	白读
密	miɛ1	文读
富	fu5	
寒	xua2	
寢	tɕʰiŋ3	
察	tsʰa3	
寨	tsʰai6	
寮	liau2	
寸	tsʰuəŋ5	
對	tuəi5	
寺	tɕʰi6	
尋	ɕiŋ2	
導	tau6	领～
壽	sɛu6	
封	foŋ1	
射	so6	
將	tɕiaŋ1	
尊	tsuəŋ1	
小	ɕiau3	
少	sau3	
少	sau5	
尔	ɛ3	
尖	tɕia1	
尘	tsʰɛŋ2	
尚	saŋ6	
嘗	saŋ2	
尬	kai5	尴～
就	tɕʰiəu6	
尷	ka1	
屍	sɿ1	
尺	tɕʰi5	
尻	kʰau1	屁股
尽	tɕʰiŋ6	
尾	muəi1	白读
尾	uəi3	文读
尿	ȵiau6	
局	tɕʰiəu6	
屁	pʰi5	
層	tsʰɛŋ2	
居	tɕy1	
屈	tɕʰyɛ3	
屆	kai5	
屋	u5	
屎	sɿ3	
屏	piŋ2	
屐	tɕʰi2	
屑	ɕiɛ2	碎末
展	tsa3	
屙	u1	
屬	su6	～于
屠	tu2	
山	sa1	
歲	suəi5	
岔	tsʰo5	
崗	kaŋ1	
崗	kaŋ2	又音，伞石～：地名
島	tau3	
岩	ŋa2	溶洞
岩	ŋai2	～石
岭	liŋ1	白读
岭	liŋ3	文读
岳	ŋu6	
峽	xa3	
峯	foŋ1	
崇	soŋ2	
崖	ŋai2	
崩	pɛŋ1	塌～
嶄	tsa3	
崽	tsɛi3	
川	tsʰua1	
州	tsɛu1	
工	koŋ1	
左	tsu3	
巧	kʰau2	白读
巧	tɕʰiau3	文读
巨	tɕʰy6	
差	tsʰa1	
差	tsʰai1	出～
己	tɕi3	
已	i3	
巴	po1	
巷	xaŋ6	
巾	kɛŋ1	白读
巾	tɕiŋ1	文读
市	sɿ6	
布	pu5	
帥	suai5	
帆	fa2	
帳	tsaŋ5	
帕	pʰo2	
帖	tʰiɛ2	
帘	lia2	
帚	tsɛu2	～唧：小扫帚
帝	ti5	
帶	tai5	
席	tɕʰi6	
幫	paŋ1	
常	saŋ2	
帽	mau6	
幅	fu5	
干	kua1	白读
干	ka1	文读，～净
干	kua5	～部
干	kua2	又音
平	piŋ2	
年	ȵia2	
并	piŋ5	
幸	xɛŋ6	
幻	xua6	
幼	iəu5	
廣	kuaŋ3	
莊	tsaŋ1	
慶	tɕʰiŋ5	
牀	tsʰaŋ2	
序	tɕʰy6	秩～
庫	kʰu5	
應	iŋ5	
底	tɛi3	白读
底	ti3	文读
店	tia5	
廟	miau6	
庚	kɛŋ1	
府	fu3	
廢	fuəi5	
度	tu6	
座	tsʰu6	
庭	tiŋ2	
康	kʰaŋ1	
廩	liŋ3	～生
廷	tʰiŋ1	朝～
廷	tiŋ2	
建	tɕia5	
開	xuai1	白读
開	kʰai1	文读
開	kʰuai1	～山：地名
异	i6	
弃	tɕʰi5	
弄	loŋ6	
弈	i5	
式	sɿ5	
弓	tɕioŋ1	老派
弓	koŋ1	新派
引	iŋ3	
弟	tʰɛi1	白读
弟	ti6	文读
張	iaŋ1	白读，装
張	tsaŋ1	文读
彎	ua1	
彈	ta2	
彈	ta6	子～
强	tɕʰiaŋ2	
歸	kuəi1	
當	taŋ1	
當	taŋ5	上～
录	lu6	
形	ɕiŋ2	
彩	tsʰai3	
彪	piau1	
彭	pɛŋ2	
彰	tsaŋ1	
影	iŋ3	
徹	tsʰɛ3	
往	ua3	朝、向
往	uaŋ3	～年
征	tsɛŋ1	
待	tuai6	白读
待	tai6	文读
很	kʰɛŋ3	老派
很	xɛŋ3	新派
律	luɛ1	
徐	tɕʰy2	
得	tɛ5	～奖
得	tɛ3	又音
徛	tɕʰi1	站
微	mi2	白读，～风细雨
微	uəi1	文读
德	tɛ5	
徽	xuəi1	
心	ɕiŋ1	
必	piɛ3	
憶	i5	
忌	tɕʰi6	
忍	ȵiŋ3	
志	tɕi5	
忘	uaŋ2	
忙	maŋ2	
忠	tsoŋ1	
憂	iəu1	
快	kʰuai5	
念	ȵia6	
忽	kʰuɛ3	老派
忽	xuɛ3	新派
懷	xuai2	
態	tʰai5	
怕	pʰo5	
憐	lia2	
思	sɿ1	
怡	i2	
急	tɕiɛ3	
性	ɕiŋ5	
怨	ya5	
怪	kuai5	
怯	tɕʰiɛ3	怕
總	tsoŋ3	
戀	lua2	
恐	ɕioŋ3	白读，怕
恐	kʰoŋ3	文读
恩	ŋɛŋ1	
恭	tɕioŋ1	老派
恭	koŋ1	新派
息	sɿ5	出～
恰	xa3	
懇	kʰɛŋ3	
恶	u5	
惱	nau3	
悉	sɿ5	熟～
悔	xuəi3	
悔	xuəi5	
懸	ɕya2	
慳	kʰa1	
憫	miŋ3	
悲	puəi1	
情	tɕʰiŋ2	
惜	sɿ5	可～
惠	xuəi6	
懲	tsʰɛŋ3	
慣	kua5	
想	ɕiaŋ3	
愁	tsʰɛu2	
意	i5	
感	ka3	
願	ȵya6	
願	ȵya5	又音
慌	xuaŋ1	
慢	ma6	
慧	xuəi6	
懂	toŋ3	
懶	la1	
懿	i5	
戌	ɕyɛ1	
戲	tɕʰi5	
成	sɛŋ2	
我	ŋɛi1	白读
我	ŋo3	文读
戒	kai5	
或	xuɛ1	
戰	tsa5	
戚	tɕʰi5	
截	tɕʰiɛ1	
截	tɕiɛ3	一～路
戴	tuai5	白读
戴	tai5	文读
戶	xu6	
戽	fu5	
房	faŋ2	
所	su3	
扁	pia3	
扇	sa5	
手	sɛu3	
才	tsʰai2	
扎	tsa3	
打	to3	
托	tʰu5	
扛	kaŋ1	
扣	kʰɛu5	
執	tsɛ3	
擴	kʰu5	
掃	sau3	
掃	sau5	动词
揚	iaŋ2	
扮	pua5	
扯	tsʰo3	白读
扯	tsʰɛ3	文读，～皮
擾	iau3	
扳	pua1	～手
扳	pua2	动词
扶	fu2	
批	pʰi1	
找	tsau3	
承	sɛŋ2	
技	tɕʰi6	
抄	tsʰau1	
把	po3	
投	tɛu2	
抖	tɛu3	
抗	kʰaŋ5	
折	sɛ1	～本
折	tsɛ3	
抛	pʰau1	
搶	tɕʰiaŋ3	
護	xu6	
報	pau5	
抵	tɛi3	白读
抵	ti3	文读
抹	ma3	
抻	suəŋ1	
押	a3	
抽	tsʰɛu1	
擔	ta1	挑
擔	ta5	量词
拆	tsʰo5	
拉	lai1	白读
拉	la1	文读
拉	lɛ3	文读，～链
拌	pua6	
拍	pʰo5	
拐	kuai3	
拒	tɕʰy6	
拔	pʰa1	
拖	tʰai1	白读
拖	tʰu1	文读
拗	au3	折
拘	tɕy1	
招	tsau1	
拜	pai5	
擬	ȵi3	
揀	ka3	
攔	la2	
擇	tu6	白读，～菜
擇	tsʰɛ6	文读
括	kuɛ3	
拱	tɕioŋ3	
拳	tɕʰya2	
拼	pʰiŋ1	
拾	sɛ1	
拿	no2	加～大
持	tɕʰi2	
挂	ko2	
挂	ko5	
指	tɕi3	
挑	tʰiau1	
挖	uai1	
擋	taŋ3	
擠	tɕi3	
挨	ŋai1	
振	tsɛŋ3	
捋	luɛ1	
捐	tɕya1	
撈	lau2	
撿	tɕia3	
換	xua6	
搗	tau3	
据	tɕy5	
授	sɛu6	
掉	tiau6	摆动
掌	tsaŋ3	
掐	kʰa3	
排	pai2	
探	tʰa5	
接	tɕiɛ3	
控	kʰoŋ5	
推	tʰuəi1	
掩	ia3	
措	tsʰu5	
摻	tsʰa1	
描	miau2	
提	tɛi2	白读
提	ti2	文读
插	tsʰa3	
握	u5	
揩	kʰɛi1	
揭	tɕiɛ3	
搜	sɛu1	
搞	kau2	
搞	kau3	
搣	miɛ3	
搬	pua1	
搭	ta3	
搽	tsʰo2	
攝	sɛ3	
摆	pai3	
摇	iau2	
攤	tʰa1	
摘	tsɛ2	
摩	mu2	
摸	mu1	
撅	tɕyɛ3	
撇	pʰiɛ3	
撑	tsʰɛŋ5	
撕	sɿ1	
撞	tsʰaŋ6	
撤	tsʰɛ3	
撬	tɕʰiau6	
播	pu5	
攆	ȵia3	
操	tsʰau1	
擎	tɕʰiŋ2	
擤	ɕiŋ5	
擦	tsʰa3	
攢	tsa3	
攢	tsaŋ3	又音，～劲
支	tɕi1	
收	sɛu1	
攸	iəu1	
改	kai3	
攻	koŋ1	
放	faŋ5	
政	tsɛŋ5	
故	ku5	
效	xau6	
敏	miŋ3	
救	tɕiəu5	
教	kau5	
斂	lia3	
敢	kua3	白读
敢	ka3	文读
散	sa3	
散	sa5	
敨	tʰɛu3	～气
敬	tɕiŋ5	
數	su5	
敲	kʰau1	～杠：打劫
敲	kʰau2	又音，打
整	tsɛŋ3	
文	uəŋ2	
斋	tsai1	
斌	piŋ1	
斗	tɛu3	量词
斗	tɛu5	凑；撞
料	liau6	
斜	tɕʰio2	
斤	tɕiŋ1	
斧	fu3	
斫	tsu5	
斷	tʰua1	白读
斷	tua6	文读
新	ɕiŋ1	
方	faŋ1	
施	sɿ1	
旁	paŋ2	
旅	ly3	
旋	tɕʰya6	
族	tsʰu6	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	ȵiɛ3	
旦	ta6	
舊	tɕʰiəu6	
旨	tɕi3	
早	tsau3	
旭	ɕiəu5	
旱	xua6	
時	sɿ2	
旺	uaŋ6	
昊	xau6	
昌	tsʰaŋ1	
明	miŋ2	
易	i5	交～
易	i6	～得：容易
星	ɕiŋ1	
映	iŋ5	
春	tsʰuəŋ1	
昨	tsʰu6	
是	sɿ6	
晝	iəu5	白读
晝	tsɛu5	文读
顯	ɕia3	
晉	tɕyŋ5	老派
晉	tɕiŋ5	新派
晏	a5	
曬	sai5	
曉	ɕiau3	
晚	ua3	
晡	pu1	
晨	sɛŋ2	
普	pʰu3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tɕi5	
暫	tsʰa6	
暑	ɕy3	
暖	nua1	白读
暖	nua3	文读
暗	ua5	白读
暗	ŋa5	文读
暴	pau6	
曲	tɕʰiəu5	
更	kɛŋ1	
更	kɛŋ5	
曹	tsʰau2	
曾	tsɛŋ1	姓
曾	tsʰɛŋ2	
替	tʰɛi5	白读
替	tʰi5	文读
最	tsuəi5	
月	ȵyɛ1	
月	ȵyɛ2	又音，～唧：月子
有	iəu1	白读
有	iəu3	文读
朋	poŋ2	
服	fu6	～气
朗	laŋ3	
望	maŋ6	白读
望	uaŋ6	文读
朝	iau1	白读
朝	tsau1	文读
朝	tsʰau2	
期	tɕʰi2	
木	mu5	
未	uəi6	
末	muɛ3	
本	puəŋ3	
术	ɕyɛ1	
朱	tɕy1	
朵	tu3	
機	tɕi1	
朽	ŋɛu3	白读，木头腐烂
朽	ɕiəu3	文读
殺	sa3	
雜	tsa3	
權	tɕʰya2	
杆	kua1	
杈	tsʰo1	
杉	so1	～树
李	li3	
杏	xɛŋ6	
材	tsʰai2	
村	tsʰuəŋ1	
束	su5	
束	tsʰu5	又音
杠	kaŋ5	
杠	kaŋ2	又音，～嘴：斗嘴
條	tiau2	
來	lɛi2	白读
來	lai2	文读
楊	iaŋ2	
杯	puəi1	
杰	ɕiɛ1	
杲	kau3	～塘：地名
杵	ɕy3	
杷	po2	
松	tɕʰioŋ2	～树
松	soŋ1	～紧
板	pa3	
板	pa2	又音
極	tɕʰi6	
構	kɛu5	
枇	pi2	
枉	uaŋ3	
枕	tsɛŋ3	
林	liŋ2	
果	ku3	
棗	tsau3	
槍	tɕʰiaŋ1	
枯	ku1	夏～草
架	ko5	
枷	ko1	
柄	piŋ5	
柏	pɛ5	
某	mɛu3	
柑	kua2	～唧
染	ȵia1	
柚	iəu2	
櫃	kʰuəi6	
查	tsʰo2	
柩	tɕʰiəu6	
柱	tʰy1	白读
柱	tɕʰy6	文读
柳	liəu3	
柴	tsʰai2	
柿	tsʰɛi2	白读
柿	sɿ6	文读
標	piau1	
棧	tsʰa6	
棟	toŋ5	
欄	la2	
樹	ɕy6	
栗	lia1	板～唧
校	xau6	
樣	iaŋ6	
核	uɛ1	白读，～唧：果核
核	xɛ5	文读
根	kɛŋ1	
格	kɛ5	
栽	tsuai1	白读
栽	tsai1	文读
桂	kuəi5	
桃	tau2	
框	kʰuaŋ1	
案	ŋa5	
桑	saŋ1	
檔	taŋ3	
橋	tɕʰiau2	
桶	tʰoŋ3	
梁	liaŋ2	
梅	muəi2	
梆	paŋ1	
梗	kuaŋ3	白读
梗	kɛŋ3	文读
夢	moŋ5	
梨	li2	
梯	tʰuai1	白读
梯	tʰi1	文读
械	kai5	
梳	su1	
檢	tɕia3	
棉	mia2	
棋	tɕʰi2	
棍	kuəŋ5	
棒	paŋ5	
棕	tsoŋ1	
棚	poŋ2	
森	sɛŋ1	
棺	kua1	
椅	i3	
植	tɕʰi6	
椑	pi1	～膏：柿子
椒	tɕiau1	
椽	sua2	
楚	tsʰu3	
楷	kʰai3	
樓	lɛu2	
概	kʰai5	
欖	la3	
櫚	ly3	
榜	paŋ3	
榴	liəu2	
槌	ty2	
槐	xuai2	～米
檳	piŋ1	
櫧	tɕy1	苦～
模	mu2	
橫	uaŋ2	～迳：地名
橫	xuəŋ2	
櫻	iŋ1	
橘	tɕyɛ2	～唧：金桔
橙	tsʰɛŋ2	
檐	ia2	
欠	tɕʰia5	
欠	ɕia5	又音，开～：打哈欠
次	tɕʰi5	
歡	xua1	
欣	ɕiŋ1	
歐	ɛu1	
欺	tɕʰy1	白读
欺	tɕʰi1	文读
