#漢字	音標	解釋
一	il	
仗	jang	
付	bu	
仙	seon	
仚	heon	
仚	seon	
仛	tak	
仛	ta	
仛	cha	
仜	hong	
仝	dong	
仞	in	
仟	cheon	
仠	han	
仠	gan	
仡	heul	
仡	ol	
仢	jak	
仢	bak	
代	dae	
令	ryeong(yeong)	
以	i	
仦	cho	
仧	jang	
仨	sam	
仩	sang	
儀	ui	
仫	mu	
們	mun	
仭	in	
仮	ga	
仮	ban	
仯	cho	
仯	myo	
仰	ang	
仱	geom	
仱	geum	
仲	jung	
仳	bi	
仴	wol	
仵	o	
件	geon	
价	gae	
价	ga	
仸	yo	
仹	bong	
仹	pung	
仺	chang	
任	im	
仼	wang	
份	bin	
份	bun	
仾	jeo	
仿	bang	
伀	jong	
企	gi	
伂	pae	
伃	yeo	
伄	jo	
伅	don	
伆	mun	
伇	yeok	
伈	sim	
伉	hang	
伊	i	
伋	geup	
伋	pa	
伌	ae	
伍	o	
伎	gi	
伏	bok	
伏	bu	
伐	beol	
休	hyu	
休	hu	
伒	geun	
伓	bae	
伔	chim	
伕	bu	
伖	no	
伖	tang	
众	jung	
优	u	
伙	hwa	
伙	gwa	
會	hoe	
傴	gu	
伜	swi	
伜	jol	
伝	jeon	
傘	san	
偉	wi	
傳	jeon	
俥	geo	
伢	a	
俔	hyeon	
傷	sang	
倀	chang	
倫	ryun(yun)	
傖	chang	
伨	sun	
伩	sin	
伩	yu	
僞	wi	
僞	wa	
佇	jeo	
伬	taek	
伬	cheok	
伭	hyeon	
伮	no	
伯	baek	
伯	pae	
伯	maek	
估	go	
伱	ni(i)	
伲	tak	
伲	ni(i)	
伳	seol	
伴	ban	
伵	hyeok	
伶	ryeong(yeong)	
伷	ju	
伸	sin	
伹	jeo	
伹	dan	
伺	sa	
伻	paeng	
似	sa	
伽	ga	
伾	bi	
伿	i	
佀	sa	
佁	i	
佁	chi	
佁	si	
佂	jeong	
佃	jeon	
佄	gam	
佅	mae	
但	dan	
但	tan	
佇	jeo	
佈	po	
佉	gu	
佉	geo	
佉	ga	
佊	pi	
佋	so	
佌	cha	
位	wi	
位	ri(i)	
低	jeo	
住	ju	
佐	jwa	
佑	u	
佒	ang	
体	bun	
体	che	
佔	jeom	
佔	cheom	
何	ha	
佖	pil	
佗	ta	
佗	i	
佘	sa	
佘	yeo	
余	yeo	
佚	il	
佚	jil	
佛	bul	
佛	bal	
佛	pil	
作	jak	
作	jeo	
作	ju	
佝	gu	
佝	hu	
佞	nyeong(yeong)	
佟	tung	
佟	tong	
佟	dong	
你	ni(i)	
佡	heon	
佢	geo	
佣	yong	
佣	chong	
佤	wa	
僉	cheom	
佦	seok	
佧	ka	
佨	po	
佩	pae	
佪	hoe	
佫	gak	
佬	ryo(yo)	
佬	ro(no)	
佭	hang	
佮	hap	
佯	yang	
佰	baek	
佰	maek	
佱	beop	
佲	myeong	
佳	ga	
佴	i	
佴	nae	
併	byeong	
佶	gil	
佷	han	
佷	heun	
佸	gwal	
佸	hwal	
佹	gwe	
佺	jeon	
佻	jo	
佻	yo	
佼	gyo	
佽	cha	
佾	il	
使	sa	
使	si	
侀	hyeong	
侁	sin	
侂	tak	
侃	gan	
侄	jil	
侅	hae	
來	rae(nae)	
侇	i	
侈	chi	
侉	gwa	
侊	gwang	
例	rye(ye)	
侌	eum	
侌	am	
侍	si	
侎	mi	
侏	ju	
侐	hyeok	
侑	yu	
侒	an	
侓	ryul(yul)	
侔	mo	
侕	i	
侖	ryun(yun)	
侗	dong	
侗	tong	
侘	cha	
侙	chik	
侚	sun	
供	gong	
侜	ju	
依	ui	
侞	yeo	
侟	cheon	
侟	jon	
俠	hyeop	
価	ga	
侢	jae	
侣	ryeo(yeo)	
侤	go	
僥	yo	
偵	jeong	
側	cheuk	
僑	gyo	
儈	kwae	
儕	je	
侫	nyeong(yeong)	
儂	nong	
儘	jin	
侮	mo	
侯	hu	
侯	hye	
侰	gun	
侱	jeong	
侲	jin	
侳	jwa	
侴	chu	
侵	chim	
侶	ryeo(yeo)	
侷	guk	
侸	du	
侸	su	
侹	jeong	
侺	sim	
侻	tal	
侻	tae	
侼	bal	
侽	nam	
侾	hyo	
便	pyeon	
便	byeon	
俀	toe	
俁	u	
係	gye	
促	chok	
促	chak	
俄	a	
俅	gu	
俆	seo	
俇	gwang	
俈	gok	
俉	o	
俊	jun	
俊	sun	
俋	eup	
俌	bo	
俍	ryang(yang)	
俎	jo	
俏	so	
俏	cho	
俐	ri(i)	
俑	yong	
俒	heun	
俓	gyeong	
俔	hyeon	
俕	sam	
俖	bae	
俗	sok	
俘	bu	
俙	hui	
俚	ri(i)	
俛	myeon	
俛	bu	
俜	bing	
保	bo	
俞	yu	
俞	su	
俟	sa	
俟	gi	
俠	hyeop	
信	sin	
俢	su	
俁	o	
俁	u	
俤	je	
俥	geo	
儔	ju	
俧	ji	
儼	eom	
倆	ryang(yang)	
儷	ryeo(yeo)	
倈	rae(nae)	
俬	ri(i)	
儉	geom	
修	su	
俯	bu	
俰	hwa	
俱	gu	
俲	hyo	
俳	bae	
俴	cheon	
俵	pyo	
俶	suk	
俶	cheok	
俷	bi	
俸	bong	
俹	a	
俺	eom	
俺	am	
俻	bi	
俼	juk	
俼	yuk	
俽	heun	
俾	bi	
俿	chi	
俿	ho	
倀	chang	
倁	ji	
倂	byeong	
倃	gu	
倄	hyo	
倅	swi	
倅	jol	
倆	ryang(yang)	
倇	won	
倈	rae(nae)	
倉	chang	
倊	jong	
個	gae	
倌	gwan	
倍	bae	
倍	pae	
倎	jeon	
倏	suk	
倐	suk	
們	mun	
倒	do	
倓	dam	
倔	gul	
倕	su	
倖	haeng	
倗	bung	
倘	dang	
倘	sang	
候	hu	
倚	ui	
倚	gi	
倛	gi	
倜	cheok	
倜	ju	
倝	gan	
倞	gyeong	
倞	ryang(yang)	
借	cha	
倠	hyu	
倡	chang	
倢	cheop	
倣	bang	
値	chi	
倥	gong	
倦	gwon	
倧	jong	
倨	geo	
倩	cheon	
倩	cheong	
倪	ye	
倫	ryun(yun)	
倬	tak	
倭	wae	
倭	wi	
倭	wa	
倮	ra(na)	
倮	gwa	
倯	song	
倰	reung(neung)	
倱	hon	
倲	dong	
倳	sa	
倴	bun	
倵	mu	
倶	gu	
倷	ni(i)	
倸	chae	
儉	geom	
債	chae	
倻	ya	
值	chi	
倽	sa	
傾	gyeong	
倿	cheop	
倿	nyeong(yeong)	
偀	yeong	
偀	ang	
偁	ching	
偂	jeon	
偃	eon	
偄	nan	
偄	na	
偄	yeon	
偅	dong	
偅	jong	
偆	jun	
假	ga	
假	ha	
假	gyeok	
偈	ge	
偈	geol	
偉	wi	
偊	u	
偋	byeong	
偌	ya	
偍	je	
偎	oe	
偏	pyeon	
偐	an	
偑	pung	
偒	tang	
偓	ak	
偔	ak	
偕	hae	
偖	cha	
偗	seong	
偘	gan	
偙	je	
做	ju	
偛	sap	
停	jeong	
偝	bae	
偞	yeop	
偞	hyeop	
偟	hwang	
偠	yo	
偡	dam	
偢	cho	
偣	yeom	
偤	yu	
健	geon	
偦	seo	
偦	su	
偧	cha	
偨	cha	
偨	chi	
偩	bu	
偪	pip	
偪	bok	
偫	chi	
偬	chong	
偭	myeon	
偮	jip	
偯	ui	
偰	seol	
偱	sun	
偲	si	
偳	dan	
側	cheuk	
偵	jeong	
偶	u	
偷	tu	
偸	tu	
偹	bi	
偺	chal	
僂	ru(nu)	
偼	cheop	
僞	wi	
僞	wa	
僨	bun	
償	sang	
傀	goe	
傀	hoe	
傁	su	
傂	chi	
傃	so	
傄	hal	
傄	ryo(yo)	
傅	bu	
傆	won	
傇	yong	
傈	ryul(yul)	
傉	nok	
傊	won	
傋	gang	
傋	gu	
傌	ma	
傌	mae	
傍	bang	
傎	jeon	
傏	dang	
傐	ho	
傑	geol	
傒	hye	
傓	seon	
傔	gyeom	
傕	gak	
傖	chang	
傗	chuk	
傘	san	
備	bi	
傚	hyo	
傛	yong	
傜	yo	
傝	tap	
傝	tam	
傞	sa	
傟	ang	
傠	beol	
傡	byeong	
傢	ga	
傣	tae	
儎	jae	
儻	dang	
傦	gol	
儐	bin	
儲	jeo	
儺	na	
傪	cham	
傫	roe(noe)	
傫	ru(nu)	
催	choe	
傭	yong	
傭	chong	
傮	jo	
傮	ju	
傯	chong	
傰	bung	
傱	jong	
傲	o	
傳	jeon	
傴	gu	
債	chae	
傶	cheok	
傷	sang	
傸	sang	
傹	gyeong	
傹	gang	
傺	je	
傻	sa	
傼	han	
傽	jang	
傾	gyeong	
傿	eon	
僀	je	
僁	seol	
僂	ru(nu)	
僃	bi	
僄	pyo	
僅	geun	
僆	ryeon(yeon)	
僇	ryuk(yuk)	
僈	man	
僉	cheom	
僊	seon	
僋	tam	
僌	ung	
働	dong	
僎	seon	
僎	jun	
像	sang	
僐	seon	
僑	gyo	
僒	gun	
僓	toe	
僔	jun	
僕	bok	
僖	hui	
僗	ro(no)	
僘	chang	
僙	gwang	
僚	ryo(yo)	
僛	gi	
僜	deung	
僝	jan	
僞	wi	
僞	wa	
僟	gi	
僠	beon	
僡	hye	
僢	cheon	
僣	cham	
僤	tan	
僤	seon	
僤	cheon	
僥	yo	
僥	gyo	
僦	chu	
僧	seung	
僨	bun	
僩	han	
僪	gyeol	
僪	gyul	
僫	ak	
僫	o	
僬	cho	
僭	cham	
僮	dong	
僯	rin(in)	
僰	buk	
僱	go	
僱	ho	
僲	seon	
僳	sok	
僴	han	
僵	gang	
僶	min	
僷	yeop	
僸	geum	
僸	eum	
價	ga	
僺	cho	
僻	byeok	
僻	pi	
僼	pung	
僽	chu	
僾	ae	
僿	sa	
僿	sae	
儀	ui	
儁	jun	
儂	nong	
儃	cheon	
儃	dan	
儃	seon	
億	eok	
儅	dang	
儆	gyeong	
儇	hyeon	
儈	kwae	
儉	geom	
儊	cho	
儊	che	
儋	dam	
儌	gyo	
儌	yo	
儍	sa	
儎	jae	
儏	chan	
儐	bin	
儑	ap	
儑	am	
儒	yu	
儓	dae	
儔	ju	
儕	je	
儖	ram(nam)	
儗	ui	
儗	ae	
儘	jin	
儙	gyeon	
儚	maeng	
儚	mong	
儛	mu	
儜	nyeong(yeong)	
儝	gyeong	
儞	ni(i)	
償	sang	
儠	ryeop(yeop)	
儡	roe(noe)	
儢	ryeo(yeo)	
儣	gwang	
儤	po	
儥	yuk	
儦	pyo	
儧	chan	
儨	jil	
儩	sa	
優	u	
儫	ho	
儬	chin	
儭	cheun	
儭	chin	
儮	ryeok(yeok)	
儯	deung	
儰	wi	
儱	rong(nong)	
儱	ryong(yong)	
儲	jeo	
儳	cham	
儴	yang	
儴	sang	
儵	suk	
儶	hyu	
儶	hye	
儷	ryeo(yeo)	
儸	ra(na)	
儹	chan	
儺	na	
儻	dang	
儼	eom	
儽	rae(nae)	
儽	ru(nu)	
儾	nang	
儿	in	
儿	a	
儿	ye	
兀	ol	
允	yun	
允	yeon	
兂	jam	
元	won	
兄	hyeong	
兄	hwang	
充	chung	
兆	jo	
兇	hyung	
先	seon	
光	gwang	
兊	tae	
兊	ye	
兊	yeol	
克	geuk	
兌	tae	
兌	ye	
兌	yeol	
免	myeon	
免	mun	
兎	to	
兏	jang	
兒	a	
兒	ye	
兌	tae	
兌	ye	
兌	yeol	
兒	a	
兒	ye	
兓	chim	
兔	to	
兕	si	
兖	yeon	
兗	yeon	
兘	si	
兙	sip	
党	dang	
兛	cheon	
兜	du	
兜	do	
兝	bun	
兞	mo	
兟	sin	
兠	du	
兡	baek	
兢	geung	
兣	ri(i)	
兤	hwang	
入	ip	
兦	mang	
兦	mu	
內	nae	
內	nap	
全	jeon	
兩	ryang(yang)	
兩	nyang(yang)	
兪	yu	
兪	su	
八	pal	
公	gong	
六	ryuk(yuk)	
兮	hye	
兯	han	
蘭	ran(nan)	
共	gong	
兲	cheon	
關	so	
關	gwan	
興	heung	
興	heun	
兵	byeong	
其	gi	
具	gu	
典	jeon	
兹	ja	
養	yang	
兼	gyeom	
獸	su	
兾	gi	
兿	ye	
冀	gi	
囅	cheon	
冂	gyeong	
冃	mo	
冄	yeom	
內	nae	
內	nap	
圓	en	
圓	won	
岡	gang	
冉	yeom	
冊	chaek	
冋	gyeong	
冊	chaek	
再	jae	
冎	gwa	
冏	gyeong	
冐	mo	
冐	muk	
冑	ju	
冒	mo	
冒	muk	
冓	gu	
冔	hu	
冕	myeon	
冖	myeok	
冗	yong	
冘	yu	
冘	im	
寫	sa	
冚	gam	
軍	gun	
農	nong	
冝	ui	
冞	mi	
冟	seok	
冠	gwan	
冡	mong	
冡	chong	
冢	chong	
冣	chwi	
冣	choe	
冤	won	
冥	myeong	
冥	myeon	
冦	gu	
冧	rim(im)	
冨	bu	
冩	sa	
冪	myeok	
冫	bing	
冫	eung	
冬	dong	
冭	tae	
冮	gang	
馮	pung	
馮	bing	
冰	bing	
冰	eung	
冱	ho	
冲	chung	
决	gyeol	
决	hyeol	
冴	ho	
况	hwang	
冶	ya	
冷	raeng(naeng)	
冷	ryeong(yeong)	
冸	ban	
冹	bul	
冹	bal	
冺	min	
冺	myeon	
凍	dong	
冼	seung	
冽	ryeol(yeol)	
冽	rye(ye)	
冾	hyeop	
冿	cheom	
淨	jeong	
凁	su	
凂	mae	
凃	do	
凄	cheo	
凅	go	
准	jun	
准	jeol	
凇	song	
凈	jeong	
凉	ryang(yang)	
凊	cheong	
凊	jeong	
凋	jo	
凌	reung(neung)	
凍	dong	
凎	geum	
減	gam	
凐	in	
湊	ju	
凒	ui	
凒	ae	
凓	ryul(yul)	
凔	chang	
凕	myeong	
凖	jun	
凖	jeol	
凗	choe	
凘	si	
凙	tak	
凚	geum	
凛	reum(neum)	
凜	reum(neum)	
凝	eung	
凞	hui	
凟	dok	
几	gwe	
几	gi	
几	beom	
凡	beom	
凢	beom	
凣	beom	
鳳	bong	
凥	geo	
凥	gi	
處	cheo	
凧	gwe	
凨	pung	
凩	mok	
凪	ji	
鳧	bu	
凬	pung	
凭	bing	
凮	pung	
凱	gae	
凰	hwang	
凱	gae	
凲	gam	
凳	deung	
凴	bing	
凵	gam	
凶	hyung	
凷	goe	
凸	cheol	
凹	yo	
出	chul	
出	cheok	
擊	gyeok	
凼	dang	
凼	gam	
函	ham	
凾	ham	
鑿	chak	
鑿	jo	
鑿	chok	
刀	do	
刁	jo	
刁	do	
刂	do	
刃	in	
刄	in	
刄	ryang(yang)	
刅	chang	
刅	in	
分	bun	
分	pun	
切	jeol	
切	che	
刈	ye	
刉	gi	
刊	gan	
刋	cheon	
刋	gan	
刌	chon	
芻	chu	
刎	mun	
刏	gi	
刐	dan	
刑	hyeong	
划	hwa	
划	hoek	
刓	wan	
刔	gyeol	
刕	ri(i)	
刖	wol	
列	ryeol(yeol)	
劉	ryu(yu)	
則	chik	
則	jeuk	
剛	gang	
創	chang	
刜	bul	
初	cho	
刞	cheo	
刟	jo	
刟	cho	
刪	san	
刡	min	
刢	ryeong(yeong)	
刣	jong	
判	pan	
別	byeol	
刦	geop	
刧	geop	
刨	po	
利	ri(i)	
刪	san	
别	byeol	
剗	jan	
剗	jeon	
剄	gyeong	
刮	gwal	
刯	geung	
到	do	
刱	chang	
刲	gyu	
刳	go	
刴	ta	
刵	i	
制	je	
刷	swae	
券	gwon	
刹	chal	
刺	ja	
刺	cheok	
刺	ra(na)	
刺	che	
刻	gak	
刼	geop	
劊	hoe	
刾	ja	
刾	cheok	
刾	ra(na)	
刾	che	
劌	gwi	
劌	gwe	
剴	gae	
剁	ta	
劑	je	
劑	ja	
剃	che	
剄	gyeong	
剅	du	
剆	ra(na)	
則	chik	
則	jeuk	
剈	yeon	
剉	jwa	
削	sak	
削	so	
削	cho	
剋	geuk	
剋	gak	
剌	ral(nal)	
剌	ra(na)	
前	jeon	
剎	chal	
剏	chang	
剮	gwa	
劍	geom	
剒	chak	
剓	ri(i)	
剔	cheok	
剔	che	
剕	bi	
剖	bu	
剗	jan	
剗	jeon	
剘	gi	
剙	chang	
剚	sa	
剛	gang	
剜	wan	
剝	bak	
剞	gi	
剟	cheol	
剠	gyeong	
剠	ryang(yang)	
剠	ryak(yak)	
剡	seom	
剡	yeom	
剢	tak	
劍	geom	
劑	je	
劑	ja	
剝	bak	
剦	eom	
劇	geuk	
剨	goek	
剩	ing	
剪	jeon	
剫	tak	
剬	dan	
剬	je	
剭	ok	
剮	gwa	
副	bu	
副	bok	
副	pip	
剩	ing	
剱	geom	
割	hal	
剳	dap	
剳	cha	
剴	gae	
創	chang	
剶	cheon	
剷	san	
剷	chan	
剷	jan	
剸	jeon	
剸	dan	
剹	ryuk(yuk)	
剹	gu	
剺	ri(i)	
剻	bu	
剼	sam	
剽	pyo	
剾	gu	
剾	u	
剿	cho	
劀	gwal	
劁	cho	
劂	gwe	
劂	gwol	
劃	hoek	
劄	cha	
劅	tak	
劆	ryeom(yeom)	
劇	geuk	
劈	byeok	
劉	ryu(yu)	
劊	hoe	
劋	cho	
劌	gwi	
劌	gwe	
劍	geom	
劎	geom	
劏	dang	
劐	hwak	
劑	je	
劑	ja	
劒	geom	
劓	ui	
劔	geom	
劕	jil	
劖	cham	
劗	chan	
劗	jeon	
劘	ma	
劘	mi	
劙	ri(i)	
劙	ryeo(yeo)	
劚	chok	
力	ryeok(yeok)	
劜	al	
勸	gwon	
辦	pan	
功	gong	
加	ga	
務	mu	
務	mo	
勱	mae	
劣	ryeol(yeol)	
劤	geun	
劥	gaeng	
劦	hyeop	
劧	ji	
動	dong	
助	jo	
助	seo	
努	no	
劫	geop	
劬	gu	
劭	cho	
劭	so	
劮	il	
劯	jeo	
劰	mak	
勵	ryeo(yeo)	
勁	gyeong	
勞	ro(no)	
勞	ro(no)	
劵	gwon	
劶	gu	
劷	yang	
劸	wae	
效	hyo	
劺	mu	
劻	gwang	
劼	hal	
劼	gwal	
劽	ryeol(yeol)	
劾	haek	
劾	hae	
勢	haek	
勢	se	
勀	geuk	
勁	gyeong	
勂	go	
勃	bal	
勄	min	
敕	chik	
勆	rang(nang)	
勇	yong	
勈	yong	
勉	myeon	
勊	geuk	
勋	hun	
勌	gwon	
勍	gyeong	
勎	ryuk(yuk)	
勏	bu	
勐	maeng	
勑	rae(nae)	
勑	chik	
勒	reuk(neuk)	
勓	gae	
勔	myeon	
動	dong	
勖	uk	
勗	uk	
勘	gam	
務	mu	
務	mo	
勩	ye	
勩	i	
勛	hun	
勜	ong	
勝	seung	
勞	ro(no)	
募	mo	
勠	ryuk(yuk)	
勡	pyo	
勢	se	
勣	jeok	
勤	geun	
勥	gang	
勦	cho	
勸	gwon	
勨	yang	
勩	ye	
勩	i	
勪	gyak	
勫	beon	
勬	gwon	
勭	dong	
勮	geo	
勯	dan	
勰	hyeop	
勱	mae	
勳	hun	
勳	hun	
勴	ryeo(yeo)	
勵	ryeo(yeo)	
勶	cheol	
勷	yang	
勸	gwon	
勹	po	
勺	jak	
勻	gyun	
勻	yun	
勻	un	
勼	gu	
勽	mun	
勾	gu	
勾	gwi	
勿	mul	
勿	mol	
勻	gyun	
勻	yun	
勻	un	
匁	mun	
匂	nae	
匃	gae	
匃	gal	
匄	gae	
包	po	
匆	chong	
匇	seok	
匈	hyung	
匉	pyeong	
匊	guk	
匋	do	
匋	yo	
匌	hap	
匍	po	
匎	ap	
匏	po	
匐	bok	
匑	gung	
匒	dap	
匓	gu	
匔	gung	
匕	bi	
化	hwa	
化	wa	
北	buk	
北	bae	
匘	noe	
匙	si	
匚	bang	
匛	gu	
匜	i	
匝	jap	
匞	jang	
匟	gang	
匠	jang	
匡	gwang	
匡	wang	
匢	hol	
匣	gap	
匤	gok	
匤	gwang	
匥	byeon	
匭	gwe	
匧	hyeop	
匨	jang	
匩	gwang	
匩	wang	
匪	bi	
匪	bun	
匫	hol	
匬	yu	
匭	gwe	
匱	gwe	
匯	hoe	
匰	dan	
匱	gwe	
匲	ryeom(yeom)	
匳	ryeom(yeom)	
匴	san	
匵	dok	
匶	gu	
匷	geo	
匷	gak	
匸	hye	
匹	pil	
匹	mok	
匹	bi	
區	gu	
區	u	
医	ui	
医	ye	
匼	am	
匼	ap	
匼	gap	
匽	eon	
匾	pyeon	
匿	nik(ik)	
匿	teuk	
區	gu	
區	u	
十	sip	
卂	sin	
千	cheon	
卄	ip	
卅	sap	
卆	jol	
卆	swi	
升	seung	
午	o	
卉	hwe	
卉	hul	
半	ban	
卋	se	
卌	sip	
卍	man	
華	hwa	
協	hyeop	
卐	man	
卑	bi	
卒	jol	
卒	swi	
卓	tak	
協	hyeop	
單	dan	
單	seon	
賣	mae	
南	nam	
南	na	
單	dan	
單	seon	
卙	jip	
博	bak	
卛	sol	
卛	ryul(yul)	
卛	su	
卜	bok	
卜	jim	
卝	gwan	
卝	gwang	
卞	byeon	
卟	gye	
占	jeom	
卡	jap	
卡	ga	
盧	ro(no)	
卣	yu	
卤	ro(no)	
卤	seo	
卥	seo	
卦	gwae	
臥	wa	
卨	seol	
卩	jeol	
卪	jeol	
衛	wi	
卬	ang	
卭	gong	
卮	chi	
卯	myo	
印	in	
危	wi	
卲	so	
即	jeuk	
卻	gak	
卵	ran(nan)	
卶	chi	
卷	gwon	
卷	gon	
卸	sa	
卹	hyul	
卹	sol	
卺	geun	
卻	gak	
卼	ol	
卽	jeuk	
卾	ak	
卿	gyeong	
厀	seul	
厁	san	
厂	eom	
厂	han	
厂	chang	
厃	cheom	
厃	wi	
厄	aek	
廳	cheong	
历	ryeok(yeok)	
厇	chaek	
厈	eom	
厲	ryeo(yeo)	
厲	ra(na)	
厊	a	
壓	ap	
壓	yeom	
壓	yeop	
壓	nyeop(yeop)	
厭	yeom	
厭	yeop	
厭	am	
厙	sa	
厙	go	
厎	ji	
厏	cha	
龎	rong(nong)	
龎	bang	
厒	gap	
厓	ae	
厔	jil	
廁	cheuk	
厖	bang	
厗	je	
厘	ri(i)	
厘	jeon	
厙	sa	
厙	go	
厚	hu	
厛	cheong	
厜	su	
厝	jo	
厝	chak	
厞	bi	
原	won	
廁	cheuk	
厡	won	
廂	sang	
厴	yeom	
厤	ryeok(yeok)	
厥	gwol	
厦	ha	
厧	jeon	
廚	ju	
厩	gu	
厪	geun	
厫	o	
厬	gwe	
厬	gu	
厭	yeom	
厭	yeop	
厭	am	
厮	si	
厯	ryeok(yeok)	
厰	chang	
厱	gam	
厱	ram	
厱	eom	
厲	ryeo(yeo)	
厲	ra(na)	
嚴	eom	
厴	yeom	
厵	won	
厶	sa	
厶	mo	
厷	goeng	
厸	rin(in)	
厹	gu	
厹	yu	
厺	geo	
去	geo	
厼	myeo	
厼	i	
厽	ru(nu)	
厾	ju	
縣	hyeon	
叀	jeon	
叄	cham	
叄	sam	
参	cham	
参	sam	
參	cham	
參	sam	
叄	cham	
叄	sam	
叅	cham	
叅	sam	
靉	ae	
靉	ui	
靆	che	
又	u	
叉	cha	
及	geup	
友	u	
雙	ssang	
反	ban	
反	beon	
反	pan	
收	su	
叏	kwae	
叏	gyeol	
叐	bal	
发	bal	
叒	yak	
叓	sa	
叔	suk	
叕	cheol	
取	chwi	
受	su	
變	byeon	
敘	seo	
叚	ga	
叚	ha	
叚	dan	
叛	ban	
叜	su	
叝	go	
叞	wi	
叞	ul	
叟	su	
疊	cheop	
叡	ye	
叢	chong	
口	gu	
古	go	
句	gu	
句	gwi	
另	ryeong(yeong)	
叧	gwae	
叧	gwa	
叧	ryeong(yeong)	
叨	do	
叩	go	
只	ji	
只	cheok	
叫	gyu	
召	so	
召	jo	
叭	pal	
叮	jeong	
可	ga	
可	geuk	
