#漢字	音標	解釋
㐄	cʰᴀ2	跨
儀	jʱi2	文读
億	jʱi4	
儉	tɕiɛ̃3	
儒	zʋ3	
儡	l̃uɘi3	
優	jʱɘu1	
儲	tsʰʋ2	
儺	l̃ɔ2	
兀	vʋ2	
元	jʱɛ̃2	
兆	tsᴀɔ4	
先	ɕiɛ̃1	
先	ɕiɛ̃4	姓氏
克	cʰɛ1	～娃娃，指管束；～书，指攻读
克	cʰɛ2	
兌	d̥uɘi4	
免	mᵇiɛ̃3	
兒	ɛ˞2	
兔	tʰʋ4	
兜	d̥ɘu1	
入	zɿᵊ2	性交，粗语
入	zʋ2	
內	l̃uɘi4	
全	tɕʰiɛ̃2	
八	b̥ᴀ1	王～
八	b̥ᴀ2	
六	l̃ʋ2	
兮	ɕi1	
兮	ɛ2	即“唉”
其	tɕʰi2	
具	tɕi4	
典	d̥iɛ̃3	
兼	tɕiɛ̃1	
冀	jʱi4	
冇	b̥i̹u3	“不有”合音
冉	zɐ̃3	
冊	tsʰɛ2	
再	tsɐɛ4	
冒	mᵇᴀɔ4	
冚	cʰɐ̃3	即“㝩”
冤	jʱɛ̃1	
冶	jʱɛ3	
冶	jʱɛ̃3	～炼
凝	nᵈi2	～定，指发呆走神
几	tɕi1	
凡	fɐ̃2	
凱	cʰɐɛ3	
凸	tʰʋ2	
凹	wʱᴀ4	
凹	ɣɔ1	～进去
出	tsʰʋ2	
函	çɐ̃2	
刀	d̥ᴀɔ1	
刁	d̥iᴀɔ1	
切	tsʰɛ2	白读
切	tɕʰiɛ2	文读
刈	jʱi4	
刊	cʰɐ̃1	
列	nᵈiɛ2	
初	tsʰʋ1	
初	tsʰɔ1	～～，指刚开始的时候
判	pʰɐ̃4	
別	b̥iɛ2	
別	b̥iɛ4	～车
別	b̥ɐɛ4	白读，即“嫑”
刨	b̥ᴀɔ4	～床；～子
刨	pʰᴀɔ2	
利	nᵈi4	
刮	ɟ̊uᴀ2	
到	d̥ᴀɔ3	白读
到	d̥ᴀɔ4	文读
制	tsɿᵊ4	
刷	suᴀ2	
券	tɕiɛ̃4	
刺	tsʰɿᵊ4	
刻	cʰɛ2	
剁	d̥ɔ4	
剃	tʰi4	
則	tsɛ2	
削	ɕiɔ2	白读
削	ɕiɛ2	文读
剋	cʰɛ1	
剌	tɕʰi2	文读，即“刺”
剌	l̃ᴀ1	构词法“……～沙”
前	tɕʰiɛ̃1	白读
前	tɕʰiɛ̃2	文读
剎	sᴀ2	
剔	tʰi1	白读
剔	tʰi2	文读
剖	pʰɔ3	文读
剖	pʰɔ4	白读
剖	pʰiɘu1	～直白，即讲解清楚
剝	b̥ɔ2	
剟	d̥ɔ2	文读，即“戳”
剟	tsuɐɛ2	白读
剮	ɟ̊uᴀ3	扒衣服
副	pʰʋ1	扑克牌量词：一～牌，即完整一套扑克牌
副	fʋ2	量词，一～
副	fʋ4	
割	ɟ̊ɔ2	
剳	tsᴀ2	
剴	cʰɐɛ3	
剽	b̥iᴀɔ1	
剿	tɕiᴀɔ3	
劁	tɕʰiᴀɔ1	
劃	çuᴀ2	～船
劃	çuᴀ4	笔～；～分；～钱
劄	tsᴀ2	
劈	pʰi2	
劈	pʰiᴀ3	～一字腿，瑜伽动作
劉	nᵈiɘu2	
劊	cʰuɐɛ4	
劍	tɕiɛ̃4	
力	nᵈi2	
加	tɕiᴀ1	
劣	nᵈiɛ2	
助	tsʋ4	
努	l̃ʋ3	
劫	tɕʰiɛ2	
勃	pʰʋ2	
勉	mᵇiɛ̃3	
勒	lɛ2	
勘	cʰɐ̃1	
務	vʋ4	
勞	l̃ᴀ2	～慰
勞	l̃ᴀɔ2	
募	mᵇʋ4	
勠	l̃ʋ2	
勢	sɿᵊ4	
勸	tɕʰiɛ̃4	
勺	sɔ2	
勾	ɟ̊iɘu1	
勾	ɟ̊iɘu4	～当；姓氏；地名
勿	vʋ2	
包	b̥ᴀɔ1	
包	b̥ᴀɔ4	土～子
匍	pʰʋ2	
匐	fʋ2	
匕	pʰi3	
化	çuᴀ1	叫～子
化	çuᴀ4	
北	b̥ɛ2	
匙	sɿᵊ1	钥～
匙	sɿᵊ2	
匣	tɕʰiᴀ2	
匪	fɘi3	
匯	çuɘi4	
匹	pʰi2	
匾	b̥iɛ̃3	
匿	nᵈi2	
區	tɕʰi1	
區	ɲᶡiɘu1	姓氏
十	sɿᵊ2	
千	tɕʰiɛ̃1	
卅	sᴀ2	
午	vʋ3	
卉	çuɘi4	
半	b̥ɐ̃4	
卑	b̥ɘi1	
卒	tɕi̹u2	
卓	tsɔ2	
協	ɕiɛ2	
南	l̃ᴀ2	～无，佛教用语
南	l̃ɐ̃2	
博	b̥ɔ2	
卜	pʰʋ2	
占	tsɐ̃1	
卡	ɟ̊ᴀ3	篮球或足球比赛中的防守动作
卡	cʰᴀ3	
卡	tɕʰiᴀ3	大拇指和食指张至最大时可衡量的长度
卦	ɟ̊uᴀ4	
卯	mᵇᴀɔ3	
卯	mᵇɘu3	地支
危	wʱɘi2	
即	tɕi2	
卷	tɕiɛ̃4	
卸	ɕiɛ4	
卻	tɕʰiɔ2	
厄	ɲᶡɛ2	
厚	çiɘu4	
原	jʱɛ̃2	
厥	tɕiɛ2	
厭	jʱɛ̃4	
厶	sɿᵊ1	
厶	mᵇʋ3	
去	tɕʰi4	文读
去	cʰɛ4	白读
去	tɕʰiɘu4	～年
參	tsʰɐ̃1	
叄	tsʰɐ̃1	及“参”
叄	sɐ̃1	
又	jʱɘu4	
叉	tsʰᴀ1	
及	tɕi2	
友	jʱɘu3	
反	fɐ̃3	
叒	zɔ2	
叔	sʋ2	
叕	tsuɛ2	
取	tɕʰi3	
受	sɘu4	
叛	pʰɐ̃4	
叟	sɘu3	
口	cʰiɘu3	
古	ɟ̊ʋ3	
句	tɕi4	
句	ɟ̊iɘu4	姓氏
叨	tʰᴀɔ1	
叩	cʰiɘu4	
只	tsɿᵊ2	～差
只	tsɿᵊ3	
叫	ɟ̊ᴀɔ4	～化子，即乞丐
叫	tɕiᴀɔ4	
召	tsᴀɔ4	
叭	b̥ᴀ1	
叭	b̥ɛ2	六字真言读音
可	cʰɔ3	
台	tʰɐɛ2	
叱	tsʰɿᵊ2	
史	sɿᵊ3	
右	jʱɘu4	
叵	pʰɔ3	
叶	ɕiɛ2	佛教名称译音
司	sɿᵊ1	
吁	jʱi1	
吁	jʱi2	喝倒彩的声音
吁	çɔ3	语气词，表示不屑一顾
吃	tsʰɿᵊ2	
各	ɟ̊ɔ2	
吆	jʱᴀɔ1	
吇	tɕy3	拟声词，模仿鸟鸣
合	ɟ̊ɔ2	体积单位，一合相当于一百毫升
合	çɔ2	
吉	tɕi1	小宅～
吉	tɕi2	
吊	d̥iᴀɔ4	
吏	nᵈi4	
吐	tʰʋ3	
吒	tsuᴀ1	哪～
吒	tsuᴀ2	
吔	jʱɛ4	
吘	ɔ4	
吘	ɘu4	
吠	fɘi4	
吡	pʰi3	
否	pʰi3	臧～；～极泰来
否	fʋ3	
吧	b̥ᴀ1	文读
吧	b̥ᴀ4	白读
吧	b̥iᴀ2	～嗒
含	çɐ̃2	
吱	tsɿᵊ1	
吳	vʋ2	
吵	tsʰᴀɔ3	
吶	l̃ᴀ1	唢～
吶	l̃ᴀ2	
吸	tɕi2	
吸	ɕi2	～铁石；～鼻子
吹	tsʰuɘi1	
吼	çiɘu1	镇压
吼	çiɘu3	
吽	çiɘu1	
吾	vʋ3	
呀	jʱᴀ1	
呀	jʱᴀ2	哎～
呂	l̃uɘi3	
呃	ɛ2	语气词，表示正在思考
告	ɟ̊ᴀɔ4	
呋	fʋ1	
嘔	ɘu1	句末语气词，表示提醒或警告
唄	b̥ɛ1	白读
唄	b̥ɘi4	文读
呢	nᵈi2	直贡～
呢	lɛ1	疑问语气词
呢	lɛ3	语气助词，表示惊讶
呢	lɐ̃1	疑问语气词
呢	l̃ɐ̃3	语气助词，表示惊讶
周	tsɘu1	
呱	ɟ̊uᴀ1	
呲	tsʰɿᵊ1	
味	wʱɘi4	
呴	tɕi1	叫～，即口哨
呴	çiɘu1	即“齁”
呵	çɔ1	文读
呵	çɔ3	白读
呸	pʰɘi3	
呼	fʋ1	
呼	fʋ2	咋～，即嘱咐
呼	fʋ3	～～～，拟声词，形容呼啸而过
呼	çɔ1	呜～
咀	tɕi̹u2	即“㰵”
咀	tsuɘi3	
咂	tsᴀ2	吮吸
咄	d̥ɔ2	
咋	tsᴀ1	～翻翻；咋咋呼呼，指说话声音很大
咋	tsᴀ2	
咋	tsᴀ4	“咋个”合音
咋	tsɐ̃2	～个
和	fʋ2	～牌，麻将用语
和	çɔ1	即“乎”
和	çɔ2	
和	çɔ4	加～；～面
咍	çɐɛ1	
咎	tɕiɘu4	
咒	tsɘu4	
咕	ɟ̊ʋ1	
咕	cʰʋ1	叽叽～～
咖	ɟ̊ᴀ1	～喱
咖	cʰᴀ1	～啡
咖	tɕiᴀ1	
咤	tsʰᴀ4	
咦	jʱi1	
咧	nᵈiɛ2	
咨	tsɿᵊ1	
咪	mᵇi1	
咪	mᵇi4	猫猫～，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
咪	mᵇɘi2	六字真言读音
咬	ɲᶡᴀɔ3	白读
咬	nᵈiᴀɔ3	文读
咯	l̃ɔ1	～嘛，疑问句句尾，相当于“吗”
咯	l̃ɔ2	句末语气词
咯	ɟ̊ɔ2	文读
咯	ɟ̊ɔ4	鸡～～
咯	cʰɔ4	呛
咯	ɟ̊ɛ2	～啊～地笑
咱	tsᴀ1	白读，“自家”的合音
咱	tsᴀ2	文读
咳	cʰɛ2	
咸	çᴀ4	～时～下，即每时每刻；～是～扒，即到处都是
咸	çɐ̃2	
咹	ɣɔ2	
咹	ɐ̃1	表示没听清，希望对方重复
咻	ɕiɘu3	
咻	çiɘu1	即“齁”
咽	jʱɛ̃1	
咽	jʱɛ̃4	吞～
咾	l̃ᴀɔ3	
咿	jʱi1	
哀	ɲᶡɐɛ1	
哆	d̥ɔ1	
哇	wʱᴀ1	夜～子，即猫头鹰幼崽
哇	wʱᴀ3	唤牛、马停住声音
哇	wʱᴀ4	婴儿啼哭声
哈	çᴀ1	
哈	çᴀ3	疑问语气助词，即“好”；姓氏
哈	çɐɛ3	～巴狗
哎	ɐɛ1	～哟，表示惊讶
哎	ɐɛ2	～呀
哎	ɐɛ3	～哟，表示疼痛
哞	mᵇʋ2	文读
員	jʱɛ̃2	
哥	ɟ̊ɔ1	
哦	ɔ1	句末语气词，表示提醒或警告
哦	ɔ2	～呵，即“呜呼”，表示感叹
哦	ɔ3	应答语，表示“知道了”
哨	sᴀɔ4	
哩	nᵈi1	叽～咕噜
哩	nᵈi3	
哪	l̃ᴀ1	音译
哪	l̃ᴀ2	～吒
哪	l̃ᴀ3	
哪	lɛ3	～样
哪	l̃ɐ̃3	“哪样”合音
哭	cʰʋ2	
哲	tsɛ2	
哳	tsᴀ2	
哺	pʰʋ3	
唁	nᵈiɛ̃4	
唆	sɔ1	
唉	ɲᶡɐɛ2	～声叹气
唉	ɐɛ2	叹气声；～哟，表示无奈
唊	tɕiᴀ2	指人轻言妄语或口音不纯
唑	tsʰɔ4	
唧	tɕi1	
唬	fʋ3	
售	tsʰɘu2	白读
售	sɘu4	文读
唯	wʱɘi2	
唰	tsʰuᴀ3	
唳	nᵈi4	
唵	ɲᶡɐ̃3	
唸	nᵈiɛ̃4	
唻	lɛ3	即“呢”
唻	l̃ɐɛ2	
唾	tʰɔ3	
啄	tsᴀ1	鸡～食，形容人吃饭不专注，吃一会儿停一会儿
啄	tsuᴀ2	
啊	ᴀ1	文读
啊	ᴀ2	动词或形容词重叠“……啊……”，表示轻微
啊	ᴀ3	句尾疑问语气词，如“是不是～？”
啐	tsʰʮ3	语气词，撵走人或动物
啐	tɕʰi3	语气词，表示不服气
啐	tɕʰiɛ3	语气词，表示不服气
啐	tsʰuɘi4	
啓	tɕʰi3	
啜	tsʰɔ2	
啜	tsuɐɛ2	姓氏
啜	tsuɐɛ3	皮皮～～，即果皮纸屑
啞	jʱᴀ3	
啟	tɕʰi3	
啤	pʰi2	
啥	sᴀ4	
啦	l̃ᴀ1	
啦	l̃ᴀ3	相当于“了”
啩	ɟ̊uᴀ4	
啪	pʰᴀ3	文读
啪	pʰiᴀ3	白读
啫	tsɛ1	
啵	b̥ɔ1	
啹	tɕi̹u2	即“㰵”
啼	tʰi2	
喀	cʰᴀ2	
喂	jʱi4	白读
喂	wʱɘi3	语气词，用于电话接通时打招呼
喂	wʱɘi4	文读
喃	l̃ɐ̃2	
善	sɐ̃4	
喇	l̃ᴀ2	～嘛
喇	l̃ᴀ3	～叭
喉	çiɘu2	文读
喊	çɐ̃3	
喏	l̃ɔ1	即“搙”
喏	l̃ɔ2	
喔	ɣɔ1	
喘	tsʰuɐɛ3	白读
喜	ɕi3	
喝	cʰɔ2	鬼声～气
喝	çɔ1	～鼾
喝	çɔ2	
喧	ɕiɛ̃1	
喫	tsʰɿᵊ2	
喫	tɕʰiᴀ2	～䏵䏵；～亏；～苦
喬	tɕʰiᴀɔ2	
喭	nᵈiɛ̃4	
單	d̥ɐ̃1	
單	sɐ̃2	～于
單	sɐ̃4	姓氏
喱	nᵈi2	
喲	jʱɔ2	哎～，表示惊讶
喲	jʱɔ2	唉～，表示无奈；哎～，表示疼痛
喲	jʱɔ3	文读
喳	tsᴀ1	
喵	mᵇiᴀɔ1	
喻	jʱi4	
嗄	sᴀ3	嗓音嘶哑
嗅	ɕiɘu4	文读
嗇	tɕiᴀ2	形容人差劲或不讲义气；～抠，即小气
嗇	sɛ2	
嗉	sʋ4	
嗎	mᵇᴀ1	句尾疑问语气词
嗎	mᵇᴀ3	文读
嗑	cʰɔ2	侃天～地
嗒	d̥ᴀ2	
嗖	sɘu1	
嗚	vʋ1	
嗚	ɔ2	～呼
嗝	ɟ̊ɛ2	
嗝	ɟ̊ɛ3	打～
嗞	tsɿᵊ1	
嗤	tsʰɿᵊ1	
嗦	sɔ1	
嗨	çɐɛ1	
嗩	sᴀ3	
嗲	d̥iᴀ3	文读
嗲	nᵈiᴀ1	白读
嗶	b̥i1	拉丁字母B
嗶	b̥i2	
嗷	ɲᶡᴀɔ2	文读
嗷	ᴀɔ3	白读
嗽	sɘu4	
嗾	tsʰɔ3	～狗
嘁	tɕʰi2	
嘉	tɕiᴀ1	
嘌	pʰiᴀɔ1	
嘍	l̃ɘu1	白读
嘍	l̃ɘu3	文读
嘎	ɟ̊ᴀ2	
嘓	ɟ̊uᴀ2	
嘔	ɲᶡiɘu3	
嘖	tsɛ2	
嘛	mᵇᴀ1	喇～
嘛	mᵇᴀ2	
嘞	lɛ1	即“的”
嘞	lɛ2	文读
嘞	lɛ3	即“呢”
嘟	d̥ʋ1	
嘟	tɕi̹u1	肥～～
嘩	çuᴀ3	
嘬	tsʰuɐɛ4	
嘮	l̃ᴀɔ2	
嘰	ɟ̊i1	
嘰	cʰi1	～～咕咕
嘲	tsʰᴀɔ2	
嘴	tsuɘi3	
嘹	nᵈiᴀɔ2	
嘻	çi1	文读
嘻	çɛ1	白读
嘿	mᵇɛ2	
嘿	çɛ1	白读
嘿	çɛ3	文读
噁	ɣɔ2	
噎	jʱɛ2	
噓	sʮ1	语气词，提醒他人保持安静
噓	ɕi1	
噠	d̥ᴀ2	
噢	ɔ1	
噢	ɔ3	
噦	jʱɛ1	打干～
噦	jʱɛ3	
器	tɕʰi4	
噩	ɣɔ2	
噪	tsʰᴀɔ4	
噫	jʱi4	
噯	ɛ2	肯定语气词，相当于“嗯”
噯	ɘi3	应答语气词
噱	tɕiɔ2	
噶	ɟ̊ᴀ3	“该是好”的合音，向对方询问对自身观点的接受度
噻	sɛ2	
嚇	ɕiᴀ2	～唬
嚇	çɛ2	
嚎	çᴀɔ2	
嚏	tʰi4	
嚒	mᵇɔ2	
嚕	l̃ʋ1	
嚜	mᵇɛ2	
嚱	ɕi4	
嚴	ɲᶡɐ̃2	白读
嚴	nᵈiɛ̃2	文读
嚼	tɕiᴀɔ4	
囂	ɕiᴀɔ1	
囉	l̃ɔ1	
囋	tsᴀ2	～起，表示力挺
囍	ɕi3	
囑	sʋ2	
囘	çuɘi2	
囚	tɕʰiɘu2	
四	sɿᵊ4	
回	fɘi2	～锅肉
回	çuɘi2	
固	ɟ̊ʋ4	
圈	tɕiɛ̃4	
圈	tɕʰiɛ̃1	
國	ɟ̊uɛ2	
圍	wʱɘi2	
園	jʱɛ̃2	
圓	jʱɛ̃2	
圖	tʰʋ2	
團	tʰuɐ̃2	
土	tʰʋ3	
在	d̥ɐɛ4	白读
在	tsɐɛ4	文读
圭	ɟ̊uɘi1	
圮	pʰi3	
地	d̥i4	
地	l̃ɘi1	同“的”
圾	tɕi2	
圿	ɟ̊ɛ2	～泥，出汗后皮肤上搓出的污垢
址	tsɿᵊ3	
坂	b̥ɐ̃3	
坍	tʰɐ̃2	
坎	cʰɐ̃3	
坐	tsɔ4	
坡	pʰɔ1	
坦	tʰɐ̃3	
坨	tʰɔ2	
坯	pʰɘi1	
坳	ɲᶡᴀɔ4	
坷	cʰɔ3	
垂	tsʰuɘi2	
垃	l̃ᴀ1	
垢	ɟ̊iɘu4	
垣	jʱɛ̃2	
垮	cʰuᴀ3	
垰	cʰᴀ1	即“旮”
垻	b̥ᴀ4	
埃	ɲᶡɐɛ1	
埆	tɕʰiɔ2	
埋	mᵇɐɛ2	
埔	pʰʋ3	
域	jʱu2	
埠	b̥ʋ4	
埠	fɘu4	商～
執	tsɿᵊ2	
培	pʰɘi2	
基	tɕi1	
堅	tɕiɛ̃1	
堆	d̥uɘi1	
堞	d̥iɛ2	
堡	pʰʋ3	地名
堡	b̥ᴀɔ3	
堤	tʰi2	
堦	ɟ̊ɐɛ1	
堪	cʰɐ̃1	
堯	jʱᴀɔ2	
堰	jʱɛ̃4	
報	b̥ᴀɔ4	
堵	d̥ʋ3	
堺	ɟ̊ɐɛ4	
塊	cʰuɐɛ3	
塌	tʰᴀ2	
塏	cʰɐɛ3	
塑	sʋ4	
塔	tʰᴀ2	
塗	tʰʋ2	
塙	cʰɔ2	
塞	sɛ1	～包袱，指行贿或麻烦别人；支垫
塞	sɛ2	
塞	sɐɛ1	支垫
塞	sɐɛ4	要～
塢	vʋ1	
填	tʰiɛ̃2	
塹	tɕʰiɛ̃4	
墅	sʋ3	
墊	d̥iɛ̃4	
墓	mᵇʋ4	
墜	tsuɘi4	
墨	mᵇɛ2	
墮	d̥ɔ4	
壁	b̥i2	
壇	tʰɐ̃2	
壑	çɔ2	
壓	ɲᶡᴀ4	白读
壓	nᵈiᴀ4	～根儿
壓	jʱᴀ2	～岁
壓	jʱᴀ4	文读
壕	çᴀɔ2	
壘	l̃uɘi3	
壞	çuɐɛ4	
士	sɿᵊ4	
壹	jʱi2	
壺	fʋ2	
壽	sɘu4	
夀	sɘu4	
夏	ɕiᴀ4	
夑	ɕiɛ2	
夔	cʰuɘi2	
夕	ɕi2	
外	wʱɐɛ4	
多	d̥ɔ1	
夜	jʱᴀ3	～郎
夜	jʱɛ4	
夠	ɟ̊iɘu4	
夥	çɔ3	
大	d̥ᴀ4	文读
大	d̥ɐɛ4	～夫；山～王
大	tʰɐɛ3	白读
天	tʰiɛ̃1	
太	tʰɐɛ4	
夫	fʋ1	
夭	jʱᴀɔ1	
央	jʱᴀɔ1	恳求
失	sɿᵊ2	
夷	jʱi1	老百～，即傣族
夷	jʱi2	
夸	cʰuᴀ1	
夾	ɟ̊ᴀ2	白读
夾	tɕiᴀ1	即“茄”，～克衫
夾	tɕiᴀ2	文读
奄	jʱɛ̃1	
奇	tɕi1	
奇	tɕʰi2	
奈	l̃ɐɛ4	
奎	cʰuɘi2	
奏	tsɘu4	
契	tɕʰi2	～丹
契	tɕʰi4	
奒	çɐɛ1	即“大”
奓	tsᴀ1	张开
套	tʰᴀɔ4	
奚	tɕʰi1	
