#漢字	音標	解釋
□	ŋan5	～菜：一种腌制的放在坛子里的菜
晉	tɕin5	
晌	saŋ3	
晏	iɛn5	
曬	sai5	
曉	ɕiɔu3	
暈	yn1	
晚	uan3	
晦	xuei5	
晨	dzen2	
普	pʰu3	
景	tɕin3	
晴	dʑin2	
晶	tɕin1	
智	tsɿ5	
暫	tsan5	
暑	su3	
暖	luan3	
暗	ŋan5	
暮	mu7	
暴	pau5	
曰	yɛ7	
曲	tɕʰy7	
更	ken1	～换
更	ken5	～加
曹	dzɔu2	
曾	tsen1	(姓)
曾	dzen2	～经
替	tʰi5	
最	tsuei5	
月	yɛ7	
有	ieu3	
朋	boŋ2	
服	fu7	
朔	so5	
朗	laŋ3	
望	uaŋ5	
朝	tsɔu1	今～
朝	dzɔu2	～代
期	dʑi2	
木	mu7	
未	uei5	
末	mo7	
本	pen3	
札	tsa7	
术	su5	
术	tsu7	苍～：中药
朱	tsu1	
朴	pʰu7	
朵	to3	
机	tɕi1	
朽	ɕieu3	
殺	sa7	
雜	tsa7	
權	dʑyɛn2	
杆	kan3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	xen5	
材	dzɛi2	
村	tsʰuen1	
杖	tsaŋ5	
杜	tu5	
束	tsʰu7	
杠	kaŋ5	
條	diɔu2	
來	lɛi2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ7	
杳	iɔu3	
杵	tsʰu3	
