#漢字	音標	解釋
□	ŋan5	～菜：一种腌制的放在坛子里的菜
踐	tɕiɛn5	
踏	tʰa7	
踢	tʰi7	
踱	to7	
蹄	di2	
蹑	liɛ7	
蹭	tsʰen5	
蹲	tuen1	
躁	tsʰau5	
身	sen1	
躬	koŋ1	
躺	tʰaŋ3	
車	tɕy1	～马炮
車	tsʰɛi1	～马
軌	kuei3	
軒	ɕyɛn1	
轉	tsuan3	～送
轉	tsuan5	～圈
輪	luen2	
軟	zuan3	
轟	xoŋ1	
軸	tsʰu7	
輕	tɕʰin1	
載	tsai5	
轎	tɕiau5	
輔	fu3	
輛	liaŋ5	
輦	liɛn3	
輩	pei5	
輝	xuei1	
輜	tsɿ1	～重
輯	tɕi7	
輸	su1	
轅	yɛn2	
轄	ɕia7	
轍	tsai7	
辛	ɕin1	
辭	dzɿ2	
辟	pʰi5	
辣	la7	
辨	piɛn5	
辯	piɛn5	
辮	piɛn5	
辰	dzen2	
辱	zu3	
邊	piɛn1	
遼	liɔu2	
达	ta7	
迁	tɕʰiɛn1	
迂	y1	
迅	ɕyn5	
過	ko5	
邁	mai5	
迎	in2	
运	yn5	
近	tɕin5	
还	uan2	～原，～钱
还	xai7	～有
進	tɕin5	
遠	yɛn3	
違	uei2	
連	liɛn2	
遲	dzɿ2	
迥	tɕioŋ3	
迫	pʰai7	
述	su5	
迷	mi2	
追	tsuei1	
退	tʰuei5	
送	soŋ5	
适	sɿ7	
逃	dɔu2	
逆	li5	
選	ɕyɛn3	
遜	ɕyn5	
透	tʰeu5	
逐	tsu7	
遞	ti5	
途	du2	
逗	teu5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	sɿ5	
逞	tsʰen3	
速	su7	
造	tsau5	
逢	foŋ2	
逵	ɡuei2	
逸	i5	
逼	pi7	
逾	y2	
遁	tuen5	
遂	suei2	
遇	y5	
遍	piɛn5	
遐	ɕia2	
道	tau5	
遺	i2	
遣	tɕʰiɛn3	
遭	tsɔu1	
遮	tsɛi1	
遵	tsuen1	
避	pi5	
邀	iɔu1	
邓	ten5	
那	la5	
邦	paŋ1	
邪	ɕiɛ2	
邮	ieu2	
邵	sau5	
鄒	tseu1	
鄰	lin2	
郊	tɕiɔu1	
郎	laŋ2	
鄭	tsen5	
郝	xɔu3	
郡	tɕyn5	
部	pu5	
郭	ko7	
都	teu1	
鄂	o5	
鄙	pi3	
酉	ieu3	
酌	tso7	
配	pʰei5	
酒	tɕieu3	
酣	xan1	
酥	su1	
醬	tɕiaŋ5	
酷	kʰu5	
酸	suan1	
釀	liaŋ5	
醇	dzuen2	
醉	tsuei5	
醋	tsʰu5	
醒	ɕin3	
采	tsʰɛi3	
釉	ieu5	
釋	sɿ5	
里	li3	
重	dzoŋ2	～复
重	tsoŋ5	～量
野	iɛ3	
量	liaŋ2	～长短
量	liaŋ5	数～
金	tɕin1	
鏨	tsan5	
鐾	pi5	～刀布
针	tsen1	
釘	tin1	
釣	tiau5	
釵	tsʰɛi1	
鈍	tuen5	
鈔	tsʰɔu1	
钟	tsoŋ1	
鋼	kaŋ1	
鑰	io7	
欽	tɕʰin1	
鈞	tɕyn1	
鉤	keu1	
鈀	ba2	
錢	dʑiɛn2	
鉗	dʑiɛn2	
鉢	po7	
钻	tsuan5	
鐵	tʰiɛ7	
鈴	lin2	
鉛	tɕʰiɛn1	(一种矿物)
鉛	yɛn2	～笔
鐸	to7	
銅	doŋ2	
鍘	tsa7	
銘	min2	
鉸	tɕiɔu3	
铲	tsʰan3	
銃	tsʰoŋ5	
銀	lin2	
鑄	tsu5	
鋪	pʰu1	(动词)
鋪	pʰu5	(名词)
銷	ɕiɔu1	
鎖	so3	
鋤	dzu2	
鍋	ko1	
鏽	ɕieu5	
鋒	foŋ1	
銳	zuei5	
鋦	tɕy1	～碗：把瓷器、陶器、器皿等破裂的地方锔合在一起，是一门手艺
錯	tsʰo5	
錨	mɔu2	
錫	ɕi7	
鑼	lo2	
錘	dzuei2	
錐	tsuei1	
錦	tɕin3	
錠	tin5	
鍵	tɕiɛn5	
鋸	kɛ5	
鍬	tɕʰiɔu1	
鍬	tɕʰieu1	
鍛	tuan5	
鍍	tu5	
鎮	tsen5	
鑷	liɛ7	
鎔	ioŋ2	
鏡	tɕin5	
鐙	ten5	
鐲	tso7	～子
镰	liɛn2	
鑲	ɕiaŋ1	
長	dzaŋ2	～短
長	tsaŋ3	生～
門	men2	
閂	suan1	
閃	san3	
閉	pi5	
問	ven5	
闖	tsʰuaŋ3	
閏	zuen5	
闲	ɕiɛn2	
間	tɕiɛn1	
悶	men5	
閘	tsa7	
鬧	lau5	
閨	kuei1	
聞	ven2	
閩	min3	
閣	ko7	
鬮	tɕieu1	
閱	yɛ7	
閹	iɛn1	
閻	iɛn2	
闊	kʰo7	
隊	tuei5	
阮	zuan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tsen5	
階	kɛi1	
阻	tsu3	
阿	a1	
附	fu5	
際	tɕi5	
陸	lu7	
隴	loŋ3	
陳	dzen2	
陋	leu5	
陌	mai7	
降	ɕiaŋ2	投～
降	tɕiaŋ5	下～
限	ɕiɛn5	
陝	san3	
陛	pi5	
陡	teu3	
院	yɛn5	
除	dzu2	
險	ɕiɛn3	
陪	bei2	
陵	lin2	
陶	dɔu2	
陷	xan5-	
陷	ɕiɛn5=	
隆	loŋ2	
隨	suei2	
隱	in3	
隔	kai7	
隘	ŋai5	
障	tsaŋ5	
隧	suei5	
隶	li5	
難	lan2	
難	lan2	艰～
難	lan5	患～
雀	tɕʰio7	
雁	iɛn5	
雄	ɕioŋ2	
雅	ia3	
集	tɕi7	
雇	ku5	
雉	tsɿ5	～鸡
雌	dzɿ2	
雍	ioŋ1	
雛	dzu2	
雕	tiɔu1	
雨	y3	
雪	ɕyɛ7	
零	lin2	
雷	luei2	
雹	pau5	
霧	u5	
需	ɕy1	
霄	ɕiɔu1	
震	tsen3	
霉	mei2	
霜	suaŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰin1	
靖	tɕin5	
靜	tɕin5	
非	fei1	
靠	kʰau5	
靡	mi2	
面	miɛn5	
革	kai7	
靴	ɕyɛ1	
鞋	xɛi2	
鞍	ŋan1	
鞘	tɕʰiau5	
鞭	piɛn1	
韓	xan2	
韭	tɕieu3	
音	in1	
韵	yn5	
韶	sɔu2	
頁	iɛ7	
頂	tin3	
頃	tɕʰyn1	
項	ɕiaŋ5	
順	suen5	
须	ɕy1	
頑	uan2	
顧	ku5	
頓	tuen5	
頒	pan1	
頌	soŋ5	
預	y5	
領	lin3	
頗	pʰo1	
頸	tɕin3	
頻	bin2	
穎	in3	
顆	kʰo3	
題	di2	
顏	ŋan2-	
顏	iɛn2=	
額	ŋai7	
顛	tiɛn1	
顫	tsan5	
顴	dʑyɛn2	
風	foŋ1	
颼	seu1	
飄	pʰiɔu1	
飛	fei1	
食	sɿ7	
餐	tsʰan1	
饥	tɕi1	
飩	duen2	
飯	fan5	
飲	in3	
餞	tɕiɛn5	
飾	sɿ5	
飽	pɔu3	
飼	sɿ5	
飴	i2	
餌	ɚ3	
饒	zɔu3	
餃	tɕiɔu3	
餅	pin3	
餓	ŋo5	
餓	o5=	
餛	xuen2	
餡	ɕiɛn5	
館	kuan3	
餿	seu1	
饃	mo2	
餾	lieu1	
饅	man2	
首	seu3	
香	ɕiaŋ1	
馬	ma3	
馱	do2	
馳	dzɿ2	
驅	tɕʰy1	
駁	po7	
驢	ly2	
駛	sɿ3	
駒	tɕy1	
駐	tsu5	
駝	do2	
駕	tɕia5	
罵	ma5	
驕	tɕiɔu1	
駱	lo7	
驗	liɛn5	
騎	dʑi2	
騙	pʰiɛn5	
騷	sɔu1	
騾	lo2	
驟	tseu5	
骨	ku7	
骸	xai5	
髓	suei2	
高	kɔu1	
髻	tɕi5	
鬃	tsoŋ1	
鬢	pin1	
鬼	kuei3	
魂	xuen2	
魄	pʰai7	
魘	iɛn5	
魏	uei5	
魔	mo2	
魚	y2	
魯	lu3	
鮎	liɛn2	
鮑	pau5	
鮮	ɕyɛn1	
鯉	li3	
鰣	sɿ2	
鯽	tɕi7	
鯨	tɕin1	
鰓	sɛi1	
鰭	dʑi2	
鰥	kuan1	
鱗	lin2	
鳥	liɔu3	
鳩	tɕieu1	
雞	tɕi1	
鳴	min2	
鴉	ua7-	老～溪：地名
鴉	ia1	
鸕	lu2	
鴨	ŋa7	
鴿	ko7	
鸞	luan2	
鴻	xoŋ2	
鵝	o2	
鵡	u3	鹦～
鵲	tɕʰio7	
鷂	iau5	
鶴	xo5	～城
鶴	xo7	～鸣山：老地名
鸚	in1	
鷺	lu5	
鷹	in1	
鹿	lu7	
麝	sai5	
麥	mai7	
麻	ma2	
黃	xuaŋ2	
黍	su7	
黎	li2	
黏	lia1	(粘贴)
黑	xai7	
默	mai7	
鼎	tin3	
鼓	ku3	
鼠	su3	
鼬	ieu5	黄～子：黄鼠狼
鼻	pi7	
鼾	xan1	
齊	dʑi2	
齒	tsʰɿ3	
龍	loŋ2	
龕	kʰan1	
龜	kuei1	
𨃅	pɛi1	
