#漢字	音標	解釋
㐴	pʰɐ̞n1	
㡿	t͡sʰe7	
㢒	t͡sʰɑ2	
㢓	t͡sɑŋ5	
㢵	ɕi̯e7	
㢸	pi̯e7	
㢼	pi̯e7	
㣂	ŋɐ̟7	
㣎	mᵇe7	
㣙	ti̯e7	
㣟	ɕi̯e7	
㣮	nɐ̞n2	
㣱	t͡sɐ̟7	
㣿	t͡sɔ7	
㤄	pɔ7	
㤄	fɑ7	
㤕	t͡swɛ7	
㤞	tɔ7	
㤩	kʰɔ7	
㤲	t͡ɕʰi̯e7	
㤴	t͡sʰɐ̟7	
㤸	ɕi̯e7	
㥁	tɐ̟7	
㥂	tʰɐ̟7	
㥃	mᵇɛn1	～黑：昧良心，使手段
㥈	ti̯e7	
㥌	t͡ɕy̑ɛ7	
㥒	t͡sʰɐ̞ɪ̯3	
㥛	t͡ɕi̯e7	
㥡	t͡sʰɹe̠ᶦ5	
㥦	t͡ɕʰi̯e7	
㥶	sɐ̟7	
㥽	t͡sʰɐ̟7	
㥾	n̠ʲi̯e7	
㦅	ti̯e7	
㦇	nwɛ7	
㦌	xwɛ7	
㦎	xwɛ7	
㦜	xɔ7	
㦝	mᵇɔ7	
㦦	ɕi̯e7	
㦯	xwɛ7	
㦱	ŋɔ3	
㦴	kɐ̟7	
㦺	zwɛ7	
㦼	swɑŋ5	
㧀	t͡ɕi̯e7	
㧊	pʰɔ7	
㧍	fɑŋ1	不給某人面子，使某人下不來台
㧍	fɑŋ1	不給人面子，使某人下不了台
㧒	jɔ7	
㧖	ŋɐ̟7	
㧚	wɑ3	動詞，表示舀
㧦	ɕy̑ɐ̟n5	粉刷，塗牆，給牆（等）上色
㧧	su1	
㧯	nɑʊ̯3	動詞
㧹	tʰɐ̟7	
㧺	tʰɑ7	
㧻	t͡swɑ7	動詞，表示踢
㧾	kʰwɛ7	
㨁	t͡se7	
㨂	tɔŋ1	表示慫恿，煽動之意
㨂	tɔŋ2	又音，表示慫恿，煽動
㨎	zwɛ7	
㨝	ɕi̯e7	
㨡	xwɛ7	
㨣	ɔŋ1	覆蓋
㨤	kʰwɐ̞ɪ̯1	
㨥	nɑ7	
㨦	sɔŋ3	
㨹	ɕy̑ɛ7	
㩆	t͡ɕi̯ɜ̟ʊ̯5	1.表示扭傷。2.表示（頸部）呈歪曲狀
㩉	nɑ7	
㩋	ɕy̑ɛ7	
㩐	tɛn5	動詞，同（扽）
㩚	mᵇɔŋ3	動詞，如：把眼睛～著
㩛	tʰwɐ̞n3	～隴：使～聚集
㩢	mᵇi̯e7	
㩧	pʰɔ7	
㩧	pɔ7	
㩩	t͡ɕʰy̑in3	
㩭	kɑʊ̯5	白讀，動詞。表示嘗試。或作（𫽊）。正字作（校）
㩱	t͡ɕi̯ɔ7	
㩳	sɔŋ3	
㩵	t͡sɑ7	
㩵	ŋɔ7	
㩹	ti̯e7	
㩼	t͡sɹe̠ᶦ1	
㩿	kʰwɛ7	
㪉	kɔ7	
㪍	pɔ7	
㪐	nwɛ7	
㪑	je7	
㪖	nwɛ7	
㪗	tʰɜ̟ʊ̯3	抻～，1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。2.作形容詞，形容衣著或人的（形象）等大方得體有風度。又作（敨）
㪤	pi̯e7	
㪧	ɕi̯e7	
㪩	ɕy̑ɛ7	
㪪	sɑ7	
㪬	t͡sʰɔ7	
㫏	jɑʊ̯3	
㫐	jɑʊ̯3	
㫛	kʰwɑŋ5	
㫽	nwɛ7	
㬎	ŋɔ7	
㬤	t͡ɕʰi̯e7	
㬽	ŋɔ7	
㭈	t͡ɕy̑ɛ7	
㭊	ɕi̯e7	
㭘	xɔ7	
㭩	nɐ̟7	
㭭	pi̯e7	
㭯	t͡sɐ̟7	
㭼	tʰɑ7	
㮂	t͡ɕy̑ɛ7	
㮇	tʰi̯ɐ̟n5	
㮖	t͡ɕi̯ɑ7	
㮙	ŋɔ7	
㮚	ni̯e7	
㮝	xɐ̟7	
㮟	kʰɑ1	
㮦	sɔ7	
㮨	t͡ɕi̯e7	
㮩	ɕi̯e7	
㮰	pʰi2	
㮰	pi̯e7	
㮶	sɔ7	
㮿	pi̯e7	
㯃	t͡ɕʰi̯e7	
㯄	t͡sɹe̠ᶦ1	
㯋	ɥin3	
㯐	tʰɔ3	
㯓	tʰɑ7	
㯔	t͡sʰwɛ̝ɪ̯5	
㯙	t͡sɐ̟7	
㯚	tɑ7	
㯿	ni̯e7	
㰰	ɕi̯ɑ7	
㰱	sɑ7	
㰲	ɕy̑ɛ7	
㰲	ɥɛ7	
㰵	t͡ɕy̑ɛ7	動詞，表示吮吸
㰼	sɑ7	
㰼	sɐ̟7	
㱄	xɐ̟7	
㱇	sɐ̟7	
㱖	t͡sʰwɛ̝ɪ̯5	
㱚	wɑ7	
㱜	t͡sɑ7	
㱞	n̠ʲi̯e7	
㱤	ɕi̯e7	
㱳	mᵇɐ̟7	
㱸	pi̯e7	
㱿	kʰɔ7	
㲄	kʰwɛ7	
㲉	t͡ɕʰi̯ɔ7	
㲉	kʰwɛ7	
㲋	t͡sʰɔ7	
㲍	t͡sɹe̠ᶦ1	
㲔	ɕi̯ɐ̟n1	
㲕	nɐ̟7	
㲙	sɜ̟ʊ̯1	
㲞	swɛ7	
㲫	pʰe7	
㲱	ni̯e7	
㲲	ti̯e7	
㲳	t͡se7	
㲺	t͡ɕi̯e7	
㳁	t͡sɐ̟7	
㳐	t͡sɑ7	
㳧	t͡sʰɐ̟7	
㳨	t͡sɑ7	
㳻	sɐ̟7	
㳻	t͡sɐ̟7	
㴒	je7	
㴧	ɕi̯e7	
㴹	mᵇi5	扎入水中埋頭猛進.打～子:潜泳 ～起腦殼整:潜水專攻某事.正字或作(沕)
㴽	ɕi̯e7	
㵋	mᵇi̯e7	
㵐	t͡ɕʰy̑ɛ7	
㵣	kʰɔ7	
㵧	kɔ7	
㵫	n̠ʲi̯e7	
㶁	kwɛ7	
㶅	ɕi̯ɔ7	
㶖	swɛ7	
㶰	xɐ̞n1	用文炖食物火，加热
㶿	pɔ7	
㷅	t͡sʰɑ7	
㷋	tʰɐ̞n2	
㷠	nin2	
㷤	xwɛ7	
㷮	t͡sɑʊ̯1	
㷵	mᵇɐ̟7	
㸅	t͡ɕi̯e7	
㸉	ɕi̯e7	
㸎	n̠ʲi̯e7	
㸑	t͡sʰwɐ̞n5	
㸣	n̠ʲi̯e7	
㸲	t͡sɔ7	
㸹	nɐ̟7	
㹂	ɕi̯e7	
㹄	t͡ɕi̯e7	
㹊	jɔ7	
㹍	ti̯e7	
㹒	pʰɔ7	
㹘	zu5	
㹜	n̠ʲin2	
㹤	t͡ɕʰi̯e7	
㹮	mᵇɐ̟7	
㹱	t͡ɕʰi̯ɔ7	
㹺	tʰɑ7	
㹼	t͡ɕy̑ɛ7	
㺟	t͡sɔ7	
㺪	pʰɔ7	
㺴	pɑ7	
㻝	nɑ7	
㻫	pi̯e7	
㻶	pi̯e7	
㻷	t͡ɕi̯e7	
㻿	swɛ7	
㼚	kɑŋ1	
㼟	pɐ̟7	
㼪	t͡ɕi̯ɑ7	
㼲	ni̯e7	
㼾	nwɛ7	
㽁	ni̯e7	
㽇	xwɛ7	
㽚	t͡sʰe7	
㽣	ɥɛ7	
㽤	t͡ɕy̑ɛ7	
㽺	xɔ7	
㽺	t͡ɕi̯e7	
㽻	t͡sɹe̠ᶦ1	
㽾	wɛ7	
㾀	t͡ɕʰi̯e7	
㾁	xwɛ7	
㾄	twɛ7	
㾇	mᵇe7	
㾊	sɐ̟7	
㾐	ni5	
㾑	tɑ7	疙～(瘩)，表示身上隆起的小包
㾑	xɔ7	
㾘	kɛn3	
㾜	t͡ɕʰi̯e7	
㾨	t͡ɕʰi3	
㾶	kwɛ7	
㾹	t͡sʰɐ̞ɪ̯2	瘦，少肉，皮包骨
㿑	jɔ7	
㿓	t͡ɕi̯ɑ7	
㿣	xɔ7	
㿥	xɔ7	
㿥	xwɛ7	
㿭	t͡sʰɐ̟7	
㿯	tɑ7	
㿱	ɕy̑ɛ7	
㿴	tɑ7	
䀄	mᵇɔŋ2	
䀌	ɕi̯e7	
䀗	t͡ɕy̑ɛ7	
䀛	mᵇɔ7	
䀡	ti̯ɐ̟n5	
䀣	mᵇɑ7	
䀨	xwɑ7	
䀩	nɔ7	
䀫	t͡ɕi̯ɑ7	
䀰	kwɛ7	
䀴	jɑ7	
䀶	ni̯ɑŋ5	
䀷	t͡ɕi̯e7	
䀹	t͡ɕi̯e7	
䀿	t͡sɐ̟7	
䁁	ni̯ɑŋ5	
䁆	je7	
䁇	mᵇi̯e7	
䁊	ɔ7	
䁋	ti̯e7	
䁌	ɥɛ7	
䁍	t͡ɕʰi̯ɑ7	
䁒	t͡ɕi̯e7	
䁘	jɑʊ̯3	
䁝	ɥin2	
䁨	xɔ7	
䁷	t͡ɕi̯ɔ7	
䁷	wɛ7	
䁺	se7	
䁻	sɔ7	
䁽	ni̯e7	
䁿	mᵇɐ̟7	
䂄	ɕi̯ɔ7	
䂇	nwɛ7	
䂎	t͡sʰwɐ̞n3	
䂐	t͡swɛ7	
䂒	t͡ɕʰi̯ɑ7	
䂮	ni̯ɔ7	
䂸	kwɛ7	
䂹	sɐ̟7	生三
䂿	tʰɑ7	
䃊	t͡ɕy3	
䃒	xɐ̟7	
䃕	nɔ7	
䃗	t͡sʰɔ7	
䃚	t͡ɕʰy̑ɛ7	
䃞	swɛ7	
䃤	ɕy̑ɛ7	
䃳	ni̯e7	
䄆	xɔ7	
䄩	je7	
䄶	pɔ7	
䄷	se7	
䅀	ni̯e7	
䅂	xɔ7	
䅑	zwɛ̝ɪ̯2	
䅥	kʰɔ7	
䅥	t͡ɕi̯e7	
䅵	t͡sɔ7	
䅻	ni2	
䆊	t͡sʰwɛ̝ɪ̯5	
䆕	ɥɛ7	
䆘	jɑ7	
䆝	ɕy̑ɛ7	
䆞	jɑʊ̯3	
䆟	kʰɔ7	
䆢	ɥɛ7	
䆷	ɕy̑ɛ7	
䇎	t͡ɕʰi̯ɔ7	
䇐	ni̯e7	
䇷	pi̯e7	
䇼	je7	
䈉	sɑ7	
䈉	t͡ɕi̯e7	
䈋	tʰɑ7	
䈎	je7	
䈏	pɔ7	
䈓	kɔ7	
䈙	t͡sɜ̟ʊ̯5	
䈪	ɕi̯e7	
䈱	tʰɑʊ̯1	
䈳	tʰɑ7	
䈸	xwɛ7	
䈿	mᵇi̯e7	
䉈	sɑ7	
䉛	ɥɛ7	
䉢	sɐ̟7	
䉭	ni̯e7	
䊝	ɕi̯e7	
䊞	t͡sɐ̟7	
䊟	mᵇɛn2	
䊦	je7	
䊬	t͡sʰwɑ3	
䊮	ti̯e7	
䊰	t͡sʰu2	
䋈	nɑ3	
䋉	ɕy̑ɛ7	
䋏	t͡sɔ7	
䋐	ɥɛ7	
䋖	ɥɛ7	
䋢	pi̯e7	
䋢	pʰi̯e7	
䋤	jɔ7	
䋭	ɥɛ7	
䋰	t͡ɕy̑ɛ7	
䋾	t͡sɑ3	
䌌	t͡ɕʰi̯e7	
䌎	ni̯ɔ7	
䌐	mᵇi̯e7	
䌖	t͡ɕi̯e7	
䌘	pi̯e7	
䌜	n̠ʲi̯e7	
䌟	pɐ̟7	
䌦	ti̯e7	
䌨	t͡sʰɑ7	
䌵	t͡swɛ7	
䍃	jɑʊ̯2	
䍃	jɜ̟ʊ̯2	
䍇	tʰɑ7	
䍊	t͡ɕʰi̯e7	
䍍	kʰwɛ7	
䍝	tʰɑ7	
䍥	ni̯e7	
䍨	pʰɔ7	
䍸	pɔ7	
䍼	t͡sɑ7	
䍽	ni̯e7	
䎀	ɕy̑ɛ7	
䎉	ɕy̑ɛ7	
䎌	t͡sʰwɛ7	
䎎	nɐ̟7	
䎑	nwɛ7	
䎘	ɕy̑ɛ7	
䎤	t͡ɕy̑ɛ7	
䎨	je7	
䎪	nɐ̟7	
䎰	t͡sɔ7	
䎳	wɑ7	
䏉	se7	
䏐	t͡ɕy̑ɛ7	
䏘	pʰi̯e7	
䏙	tʰɐ̞n3	
䏟	pi̯e7	
䏧	nɑ5	
䏳	t͡sɐ̟7	
䏵	mᵇɑŋ1	1.泛指已煮好的食物，如：吃～～。2.，形容人體魁梧
䐁	t͡sɔ7	
䐈	t͡se7	
䐑	t͡sɐ̟7	
䐘	t͡ɕi̯ɔ7	
䐚	t͡ɕi̯e7	
䐞	zɔ7	
䐨	kwɛ7	
䐲	t͡se7	
䐸	xwɛ7	
䐼	ɕi̯e7	
䐾	tɔ7	
䑁	wɛ7	
䑂	jɐ̞ɪ̯3	
䑇	t͡se7	
䑈	pɔ7	
䑑	pʰe7	
䑔	fɑ7	
䑜	tʰi̯e7	
䑢	wɛ7	
䑥	ŋɔ7	
䑶	t͡ɕʰi̯ɐ̟n5	
䑿	ɕy̑ɛ7	
䒁	ɕi̯e7	
䒆	t͡sʰɐ̟7	
䒗	t͡ɕʰi̯e7	
䒷	kɔ7	
䒸	ɕy̑ɛ7	
䒼	t͡ɕʰy̑ɛ7	
䓃	je7	
䓄	jin2	
䓈	ɥɛ7	
䓛	kwɛ7	
䓠	tʰɑ7	
䓠	tɑ7	
䓭	t͡sʰɑ7	
䓲	zwɛ̝ɪ̯5	
䓶	nɑ7	
䔁	ni̯e7	
䔎	swɛ7	
䔛	t͡ɕʰy̑in3	
䔞	nwɛ7	
䔡	jy2	
䔰	fe7	
䔴	t͡sʰɐ̟7	
䔸	pi̯ɑʊ̯3	
䔾	mᵇɔ7	
䕈	ɕi̯e7	
䕓	t͡sʰɑ7	
䕙	t͡ɕi̯e7	
䕪	t͡sʰɐ̟7	
䕸	ɕi̯ɑ7	
䕹	t͡sɑ7	
䕹	t͡ɕi̯e7	
䖃	jɔ7	
䖐	n̠ʲin2	
䖑	mᵇi̯e7	
䖡	nwɛ7	
䖦	t͡swɛ7	
䖧	nɑ7	
䖩	pi̯e7	
䗇	t͡ɕy̑ɛ7	
䗔	xɜ̟ʊ̯2	～𧈵兒：指螳螂
䗘	kɔ7	
䗚	pɔ7	
䗱	pʰe7	
䗶	nɑ7	
䗷	je7	
䘃	mᵇɐ̟7	蚊蟲的另一種稱呼
䘅	nɐ̟7	
䘌	n̠ʲi̯e7	
䘏	ɕy̑ɛ7	
䘚	t͡swɛ7	
䘝	je7	
䘷	pi̯e7	
䘸	je7	
䘿	t͡ɕy̑ɛ7	
䙄	t͡sɑ7	
䙄	t͡sʰɐ̟7	初三
䙏	pɔ7	
䙐	kʰɐ̟7	
䙘	t͡ɕy̑ɛ7	
䙱	swɛ7	
䙷	tɐ̟7	
䙽	ɕi̯e7	
䚄	nwɛ7	
䚐	tʰi̯e7	
䚐	t͡ɕi̯e7	
䚝	t͡swɛ7	
䚢	t͡sʰɐ̟7	
䚥	nɔ7	
䚦	t͡sɹe̠ᶦ5	
䚨	pʰɑ7	
䚫	t͡ɕi̯ɔ7	
䚫	ɕi̯e7	
䚴	wɑ7	
䚹	pʰɛ̝ɪ̯3	～整，表示慢打扮，耗時耗力去做某事。2.表示批評，斥責
䛀	pɐ̞n1	作動詞，表示與他人發生口角，進行（言語上的）爭論，或作（𰵐）（掰）
䛅	ɕi̯ɑ7	
䛎	ɕy̑ɛ7	
䛚	ni̯ɔ7	
䛢	tʰwɛ7	
䛥	ɕi̯e7	
䛽	t͡sɑ7	
䜅	swɛ̝ɪ̯2	
䜆	t͡sɐ̟7	
䜉	t͡sʰe7	
䜚	tʰɑ7	
䜯	t͡ɕy̑ɛ7	
䜲	ni̯e7	
䜺	t͡sʰɐ̟7	初三
䜼	kwɛ7	
䝕	t͡sɐ̟7	
䝟	jɑ7	
䞙	t͡sɑ7	
䞞	fe7	
䞠	t͡se7	
䞥	jɜ̟ʊ̯5	
䞦	xɐ̟7	
䞨	kʰwɛ̝ɪ̯3	
䞩	ɕi̯ɑ7	
䞰	t͡swɛ7	
䞳	pɐ̟7	
䞵	t͡ɕy̑ɛ7	
䞷	t͡ɕy̑ɛ7	
䞽	sɔ7	生三
䟃	t͡sʰɑ7	
䟄	t͡ɕʰi̯e7	
䟆	pi̯e7	
䟉	t͡swɛ7	
䟏	sɔ7	
䟏	ni̯e7	
䟐	ni̯e7	
䟑	jɔ7	
䟕	t͡sʰɑ1	表示用腳（踩）的動作，又作（蹅）
䟘	xɑŋ3	
䟘	xɑŋ5	
䟙	t͡ɕʰi̯e7	
䟛	pʰɑ7	
䟠	ɕy̑ɛ7	
䟣	t͡sʰwɛ7	
䟯	kwɑ7	
䟵	t͡ɕʰi̯ɜ̟ʊ̯2	
䟷	t͡sʰɹe̠ᶦ5	
䟹	nɐ̟7	
䟾	t͡swɛ7	
䟿	nwɛ7	
䠇	t͡ɕy̑ɛ7	
䠈	tʰwɛ7	
䠍	ɕi̯ɑ2	
䠐	t͡ɕʰy̑ɛ7	
䠑	kʰwɛ̝ɪ̯3	
䠚	wɑ5	
䠛	jɑʊ̯2	
䠟	ti̯e7	
䠯	jɔ7	
䠷	tʰi̯ɑʊ̯3	指下半身衹穿一條內褲（尤指男性）甚至不穿內褲裸露的樣子又作（朓）2.作形容詞，指身材修長
䡈	t͡ɕi̯ɔ7	
䡜	nwɛ7	
䡞	t͡ɕy̑ɛ7	
䡾	n̠ʲi̯e7	
䢅	sɛn2	
䢌	pɔ7	
䢔	xɔ7	
䢖	ɥɛ7	
䢡	je7	
䢡	ɕi̯e7	
䢦	sɔ7	
䢮	ti̯e7	
䢰	tʰi̯e7	
䢱	twɛ7	
䢲	jɔ7	
䢵	ɥin2	
䣅	sɛn2	
䣛	t͡ɕʰi̯e7	
䣟	t͡sɑ7	
䣢	t͡ɕi̯e7	
䣤	t͡ɕi̯ɔ7	
䣧	je7	
䣩	swɛn2	
䣪	pʰɔ7	
䣮	pʰɑ7	
䣹	fɑ7	
䤉	mᵇi̯e7	
䤎	t͡ɕy̑ɛ7	
䤕	ɕi̯ɔ7	
䤙	ni̯e7	
䤢	pɑ7	
䤨	pʰɐ̟7	
䤨	pʰi̯e7	
䤶	je7	
䥍	t͡se7	
䥑	mᵇɐ̟7	
䥗	kʰwɐ̞n5	
䥛	t͡ɕi̯e7	
䥡	ti̯e7	
䥬	pɔ7	
䥶	ni̯e7	
䦑	ɕy̑ɛ7	
䦖	ɕi̯e7	
䦗	ɕy̑ɛ7	
䦝	xwɛ7	
䦧	ɕi̯e7	
䦪	jɑ7	
䧊	kʰwɛ7	
䧤	pʰe7	
䧨	n̠ʲi̯e7	
䧪	t͡sʰɐ̟7	
䧴	t͡sɹe̠ᶦ1	
䧼	kwɛ7	
䨌	pɔ7	
䨐	t͡ɕʰi̯ɑ7	
䨗	fɜ̟ʊ̯2	
䨛	sɐ̟7	
䨣	kɐ̟7	
䨥	xɔ7	
䨮	ɕy̑ɛ7	
䨰	pʰɔ7	
䩊	ɔ7	
䩏	mᵇi̯e7	
䩐	xwɛ7	
䩛	pi̯e7	
䩞	tʰi̯e7	
䩞	ti̯e7	
䩡	t͡ɕi̯ɑ7	
䩢	t͡sɐ̟7	
䩤	ɕi̯e7	
䩯	t͡ɕʰi̯e7	
䩹	ŋɐ̟7	
䪁	pʰe7	
䪂	kɐ̟7	
䪉	ni̯e7	
䪏	nɑ7	
䪙	pʰɔ7	
䪚	tɑ7	
䪝	wɛ7	
䪝	ɥɛ7	
䪞	t͡sɑ7	
䪬	pʰɔ7	
䪯	ɥin2	
䪼	t͡swɛ7	
䫄	t͡sʰwɑ7	
䫒	mᵇɛn2	
䫘	xɔ7	
䫦	kɔ7	
䫳	twɛ7	
䫻	jɔ7	
䫾	pi̯e7	
䬂	ɕy̑ɛ7	
䬆	ni̯e7	
䬉	xwɛ7	
䬊	t͡sɑ7	
䬍	xwɛ7	
䬎	kwɛ7	
䬑	ɥɛ7	
䬴	mᵇɔ7	
䭂	je7	
䭆	nɐ̟7	
䭒	ɕi̯e7	
䭦	pɔ7	
䭮	fe7	
䭱	pi̯e7	
䭱	pʰi̯e7	
䭿	je7	
䮀	pɔ7	
䮂	pʰɑ7	
䮙	ɥɛ7	
䮠	pi̯e7	
䮢	t͡sɑ7	
䮤	xɔ7	
䮤	t͡ɕi̯ɔ7	
䮥	ni̯e7	
䮩	kwɛ7	
䮭	mᵇi̯e7	
䮱	t͡swɛ7	
䮷	twɛ7	
䮸	t͡ɕi̯ɔ7	
䮸	ɔ7	
䮸	wɛ7	
䯂	t͡sɐ̟7	崇三
䯂	sɛn1	
䯇	kʰwɑ7	
䯉	wɑ7	
䯋	pʰɑ7	
䯏	kɔ7	
䯐	xɐ̞ɪ̯2	
䯒	xɛn2	
䯜	ɕi̯e7	
䯜	tʰi̯e7	
䯦	mᵇɑ7	
䯰	kɐ̞ɪ̯5	
䰖	t͡sɑ7	
䰥	xwɛ7	
䰲	jɑ7	
䰴	t͡ɕi̯e7	
䱅	mᵇɔ7	
䱏	tʰɜ̟ʊ̯3	
䱐	fɜ̟ʊ̯2	
䱒	je7	
䱚	nwɛ7	
䱜	t͡sʰɔ7	
䱜	t͡ɕʰi̯ɔ7	
䱡	t͡ɕy̑ɛ7	
䱡	t͡ɕʰy̑ɛ7	
䱣	t͡ɕy̑ɛ7	
䱮	ŋɐ̟7	
䱻	xwɑ7	
䲌	kʰwɐ̞n5	
䲙	t͡ɕi̯e7	
䲚	tʰɑ7	
䲜	n̠ʲi̯e7	
䲯	t͡ɕi̯e7	
䲽	se7	
䳀	je7	
䳊	pʰɑ7	
䳔	t͡ɕy̑ɛ7	
䳕	fɜ̟ʊ̯2	
䳖	n̠ʲi̯e7	
䳚	kʰɔ7	
䳤	pi̯e7	
䳳	ɕy̑ɛ7	
䳴	tʰɑ7	
䴆	pʰe7	
䴑	ti̯e7	
䴰	je7	
䴰	ɕy̑ɛ7	
䴲	mᵇɔ7	
䴳	xwɑ7	
䵁	t͡ɕʰi̯ɑŋ5	
䵂	ti̯e7	
䵈	kʰwɛ7	
䵋	wɛ̝ɪ̯3	
䵑	n̠ʲi̯e7	
䵒	n̠ʲi̯e7	
䵗	pɐ̟7	
䵣	tɑ7	
䵬	tʰɑ7	
䵱	ɕi̯e7	
䵵	t͡sʰwɑ7	
䵵	t͡swɛ7	
䵽	t͡sʰɑ7	
䶀	tʰɑ7	
䶂	t͡sɔ7	
䶅	nɔ7	
䶅	xɔ7	
䶎	ɕi̯ɑ7	
䶘	nɑ7	
䶘	ni̯e7	
䶛	nɑ7	
䶜	kwɛ7	
䶢	t͡ɕi̯ɑ7	
䶢	t͡ɕʰi̯ɑ7	
䶦	t͡sʰɐ̟7	
䶬	n̠ʲi̯e7	
丁	tin1	
丈	t͡sɑŋ5	
三	sɐ̞n1	
上	sɑŋ5	
下	ɕi̯ɑ5	
下	xɑ5	一下 等下
下	ɕi̯ɑ2	地下
下	xe5	白讀，如：打一～
不	pe7	
丐	kɐ̞ɪ̯5	
且	t͡ɕʰi3	
丕	pʰɛ̝ɪ̯1	
世	sɹe̠ᶦ5	
丗	sɹe̠ᶦ5	
丘	t͡ɕʰi̯ɜ̟ʊ̯1	
丙	pin3	
丞	t͡sʰɛn2	
丟	ti̯ɜ̟ʊ̯1	
並	pin3	白讀，如：～做一坨(進行趸售)
並	pin5	
丫	ɕi̯ɑ1	
中	t͡sɔŋ1	
中	t͡sɔŋ5	
丮	t͡ɕi̯e7	
丯	kɐ̞ɪ̯5	
串	t͡sʰwɐ̞n5	
丵	t͡sɔ7	
丸	wɐ̞n2	
丹	tɐ̞n1	
主	t͡su3	
丿	pʰi̯e7	
乀	fe7	
乂	n̠ʲi5	
乃	nɐ̞ɪ̯3	
久	t͡ɕi̯ɜ̟ʊ̯3	
之	t͡sɹe̠ᶦ1	
乍	t͡sɑ5	
乎	fv̩2	
乏	fɑ7	
乖	kwɐ̞ɪ̯1	
乘	sɛn2	
乘	sɛn5	千～之國
乙	je7	
九	t͡ɕi̯ɜ̟ʊ̯3	
乞	t͡ɕʰi̯e7	
也	ji3	
乯	fv̩2	
乳	zu3	
亂	nwɐ̞n5	
