#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪，地名
僥	jau4	僬僥，短人，西南夷別名
僧	tsɐŋ1	
僮	hʊŋ4	書僮
僮	tsɔŋ6	僮族
僱	ku1	
僵	kœŋ1	
價	ka1	
僻	pʰɪk7a	
儀	ji4	
億	jɪk7a	
儉	kim6	
儒	ji4	
儘	tsɐn6	
償	sœŋ4	
儡	lui1	
優	jiu1	
儲	tsʰi1	
儸	lu4	
儼	jam4	
兀	ŋɐt8	
允	wun1	
允	wun2	姓氏
元	jan4	
兄	hɪŋ1	
充	tsʰʊŋ1	
兆	siu6	
兇	hʊŋ1	
先	sin1	
光	kwɐŋ1	
克	hɪk7a	
兌	tui1	
免	min2	
兒	ji4	
兔	hu1	
兜	tou1	
兢	kɪŋ1	
入	jip8	
內	nui6	
全	tsʰin4	
兩	lœŋ2	
八	pɛt7a	八卦
八	pɛt7b	數字八
公	kʊŋ1	
六	lʊk8	
兮	hei4	
共	kʊŋ6	
兵	pɪŋ1	
其	kʰi4	
具	kui6	
典	tin2	
兼	kim1	
冀	kʰi1	
冉	jam1	
冊	tsʰɐk7b	
再	tsui1	
冑	tsiu6	
冒	mau6	冒犯
冒	mɐk8	冒頓
冕	min2	
冚	hɐm5	冚家鏟
冚	hɐm6	全部
冠	kun1	
冢	tsʰʊŋ2	
冤	jan1	
冥	mɪŋ4	
冬	tʊŋ1	
冰	pɪŋ1	
冶	jia5	
冷	lɐŋ1	
冽	lit8	
准	tsɐn2	
凋	tiu1	
凌	lɛŋ4	雪凌，冰錐
凌	lɪŋ4	
凍	tʊŋ1	
凜	lɐm1	
凝	jɪŋ4	
几	ki1	
凡	fan4	
凰	wɐŋ4	
凱	hui2	
凳	tɐŋ1	
凶	hʊŋ1	
凸	tɐt8	
凹	nɐp7a	
出	tsʰɐt7a	
函	ham4	
刀	tau1	
刁	tiu1	
刃	jin6	
分	fun1	分開
分	fun6	本分
切	tsʰei1	一切
切	tsʰit7b	急切
刊	hun1	
刎	mɐn1	
刑	jɪŋ4	
划	wa1	划船
列	lit8	
初	tsʰu1	
判	pʰun1	
別	pit8	
刨	pʰɛu4	
利	lei6	
利	li6	
刪	san1	
刮	kwɛt7b	
到	tau1	
制	tsei1	
刷	tsʰat9	
刷	tsʰat7b	
券	kin1	
券	kʰin1	
刺	tsʰi1	
刻	hɪk7a	
剃	hei1	
則	tsɪk7a	
削	sœk7b	
剋	hɪk7a	
前	tsʰin4	
剎	sat7b	
剔	hɪk7a	
剖	fou2	
剛	kɔŋ1	
剝	mɔk7a	
剩	sɪŋ6	文讀
剩	tsɪŋ6	
剪	tsin2	
副	fu1	
割	kut7b	
創	tsʰɔŋ1	
剷	tsʰan2	
劃	wɐk8	
劇	kʰɛk8	
劇	kʰɛk9	
劈	pʰɪk7a	
劉	lɐu4	
劍	kim1	
劑	tsei1	
力	lɪk8	
功	kʊŋ1	
加	ka1	
劣	lit8	
助	tsu6	
努	nu2	
劫	kip7b	
劭	siu6	
劾	hɐt8	
勁	kɪŋ6	
勃	put8	
勇	jʊŋ5	
勉	min1	
勒	lɐk8	
動	tʊŋ6	
勘	hɐm1	
務	mu6	
勛	fun1	
勝	sɪŋ1	
勞	lau4	
募	mu6	
勢	sei1	
勢	sei5	手勢，變調
勤	kʰɐn4	
勵	lei6	
勸	hin1	
勺	tsœk7b	
勻	wun4	
勾	kou1	勾當
勾	ŋou1	勾劃
勿	mɐt8	
包	pɛu1	
匆	tsʰʊŋ1	
匈	hʊŋ1	
匍	pʰu4	
匐	fʊk8	
化	fa1	
北	pɪk7a	
匙	si4	茶匙，湯匙，一本作“瓷”
匙	su4	鑰匙
匠	tsœŋ6	
匣	hap8	
匪	fi2	
匯	wui6	
匱	kwi6	
匹	pʰɐt7a	
匾	pin2	
匿	ni2	
匿	nɪk7a	躲藏
匿	nɪk7a	匿名
區	kʰui1	區別
區	ʔou1	姓區
十	sɐp8	
千	tsʰin1	
卅	sa1	
升	sɪŋ1	
午	m2	
卉	wi2	
半	pun1	
卑	pi1	
卒	tsɐt7a	士卒
卓	tsʰœk7b	
協	hip7b	
南	nam4	
博	pɔk7a	
博	pɔk7b	
卜	pɐk8	萝卜
卜	pɔk7a	
卜	pʊk7a	
占	tsim1	
卡	kʰa2	
卦	kwa1	
卬	ŋɔk9	我哋
卯	mau1	
印	jin1	
危	ŋei4	
即	tsɪk7a	
即	tsɪk7b	又音
卵	lun2	
卷	kin2	卷曲
卷	kin6	試卷
卸	sia1	
卻	kʰœk7b	
卿	hɪŋ1	
厄	ʔɪk7a	
厘	li4	
厚	hou1	
厝	tsʰu1	
原	jan4	
厥	kʰœk9	佢哋
厭	jam1	
厲	lei6	
去	hui1	
參	tsʰam1	
參	tsʰɐm1	參差
參	sam1	三的大寫
參	sɐm1	人參
又	jiu6	
叉	tsʰa1	
及	kʰɐp8	
友	jiu5	
反	fan2	
叒	jœk8	
叔	sʊk7a	
叕	tsit7b	
取	tsʰui2	
受	siu6	
叛	pun6	
叟	sou2	
叢	tsʰʊŋ4	
口	hou2	
古	ku2	
句	kui1	
另	lɪŋ6	
叨	tau1	嘮叨
叨	hau1	叨擾
叩	kʰou1	
只	tsi2	
叫	kiu1	
召	siu6	召南
召	tsiu6	召喚
叭	pɛt7b	
叮	tɛŋ1	
叮	tɪŋ1	
可	hɪk7a	可汗
可	hu2	可以
台	hui1	天台，地名
台	ji4	
叱	tsʰɪk7a	叱石，地名
史	si2	
右	jiu6	
司	si1	
叻	lɛk7a	聰明
叼	tiu1	
吁	hui1	
吃	kɐt8	口吃
吃	hɛk7b	吃飯
各	kɔk7a	
各	kɔk7b	
吆	jau1	
合	kɐp8	一合
合	hɐp8	合格
吉	kɐt7a	
吊	tiu1	
同	hʊŋ4	
名	mɛŋ2	你叫乜名？
名	mɛŋ4	名聲，白讀
名	mɪŋ4	
后	hou6	
吏	lei6	
吏	li6	
吐	hu1	
向	hœŋ1	
吒	tsʰɪk7a	叱吒
吒	tsa1	哪吒
吔	ja1	
君	kun1	
吝	lɐn6	
吞	hun1	
吟	jim4	
吠	fi6	
否	fou2	否定
否	pʰi2	否極泰來
吧	pa6	
吩	fun1	
含	hɐm4	
吭	hɔŋ1	吭聲
吭	hɔŋ4	引吭高歌
吱	tsi1	
吳	m4	
吵	tsʰau2	
吶	nap8	
吸	kʰɐp7a	
吹	tsʰui1	
吻	mɐn1	
吼	hou1	
吾	m4	
呀	ʔa1	
呂	lui2	
呂	lui5	
呃	ʔɪk7a	
呆	ŋui4	
呈	tsʰɪŋ4	
告	kau1	報告
呢	nɛ1	語氣助詞
呢	nɛ5	語氣助詞
呢	ni4	呢喃
周	tsiu1	
呱	kwa1	
味	mi6	
呵	hu1	
呻	sɐn1	
呼	fu1	
命	mɛŋ6	一條命
命	mɪŋ6	
咀	tsui2	
咄	tɐt7a	
咆	pʰɛu4	
和	wa4	和諧
和	wa6	唱和
咎	kɐu1	
咐	fu1	
咒	tsou1	
咕	ku1	
咖	ka1	
咚	tʊŋ1	
咦	ji2	
咩	mia1	
咪	mi1	
咫	tsi2	
咬	ŋau2	
咯	kɔk7b	咯咯笑
咯	hɐk7b	咯血
咯	lu1	
咱	tsa1	
咳	hui4	
咳	kʰɐt7a	咳嗽
咸	ham4	
咻	hui2	噢咻
咻	jiu1	一傅眾咻
咽	jan1	
咽	jat7b	哽咽
哀	ʔui1	
品	pɐn2	
哄	hʊŋ1	
哇	wa1	
哈	ha1	
哉	tsui1	
哎	ʔai2	
哞	mɐu4	
員	jan4	
哥	ku1	
哦	ŋu4	
哦	ʔɔ4	
哨	sau1	
哩	li1	哩嚕
哩	li4	
哪	na1	天哪
哪	na5	哪吒
哪	nai1	哪，哪裏
哭	hʊk7a	
哮	hɛu1	
哲	tsit7b	
哺	pu6	
哼	hɐŋ1	哼歌
哼	ŋ1	
哽	kɐŋ2	
唉	ʔai2	
唐	hɔŋ4	
唔	m5	
唥	lɐŋ1	唥衫，羊毛衫
唥	lɐŋ6	
唧	tsɪk7a	
唬	fu2	
售	siu6	
唯	wi4	
唱	tsʰœŋ1	
唷	ju1	
唸	tin1	
唸	nim6	吟誦
唾	hu1	
啁	tsɐu1	
啃	hɐŋ2	
啄	tœk7b	
商	sœŋ1	
啊	ʔa1	
問	mɐn6	
啕	hau4	
啜	tsut7b	
啞	ʔa1	嘔啞
啞	ʔa2	聾啞
啞	ʔɪk7a	啞然而笑
啟	kʰei2	
啡	fia1	
啤	pia1	
啦	la1	
啪	pʰɪk7a	
啲	nit7a	一些
啼	hei4	
啾	tsɐu1	
喀	hɪk7a	
喂	wi1	
喃	nam4	
善	sin6	
喇	la1	喇叭
喇	la4	語氣詞
喇	la5	喇嘛
喉	hou4	
喊	ham1	
喋	tip8	
喔	wu1	
喘	tsʰun2	
喙	fi1	
喚	wun6	
喜	hi2	
喝	hut7a	
喟	wi2	
喧	hin1	
喪	sɔŋ1	
喫	hɛk7b	喫飯
喬	kʰiu4	
單	tan1	單純
單	sin4	單于
單	sin6	姓單
喲	ju1	
喳	tsa1	
喵	miu1	
喻	ji6	
嗅	tsʰɐu1	
嗆	tsʰœŋ1	
嗇	sɪk7a	
嗎	ma1	是嗎
嗎	ma5	
嗑	hɐp7a	
嗓	sɔŋ2	
嗖	sou1	
嗚	wu1	
嗜	si1	
嗡	jʊŋ1	
嗣	tsi6	
嗤	tsʰi1	
嗦	su1	
嗨	hui1	
嗯	m1	
嗯	m2	
嗶	pɐt7a	
嗽	su1	
嘀	tɪk8	
嘅	kɛ1	
嘅	kə1	語流變讀
嘆	han1	
嘈	tsʰau4	
嘉	ka1	
嘍	lou4	
嘎	kat7b	
嘔	ʔou1	嘔氣
嘔	ʔou2	嘔啞
嘔	ʔou2	嘔吐
嘖	tsɪk7a	
嘗	sœŋ4	
嘛	ma5	嗎啡
嘟	tu1	
嘩	wa1	
嘩	wa4	
嘮	lau4	
嘯	siu1	
嘰	ki1	
嘲	tsau2	
嘴	tsui2	
嘶	sei1	
嘹	liu4	
嘻	hi1	
嘿	hɪk7a	嘿嘿
嘿	mɐk8	通「默」
噎	jat7b	
噓	hui1	噓寒問暖
噢	ʔau1	
器	hi1	
噩	ŋɔk8	
噪	tsʰau1	
噬	sei6	
噴	pʰun1	
噸	tɐn1	
噹	tɔŋ1	
嚀	nɪŋ4	
嚅	ji4	
嚇	hɐk7b	
嚎	hau4	
嚏	hei1	
嚐	sœŋ4	
嚕	lu1	
嚟	lei4	
嚟	li4	
嚥	jan1	
嚨	lʊŋ4	
嚮	hœŋ1	
嚮	hœŋ2	
嚴	jam4	
嚷	jœŋ6	
嚼	tsœk7b	
囁	tsip7b	
囂	hiu1	
囉	lu1	囉嗦
囉	lu4	嘍囉
囊	nɔŋ4	
囑	tsʊk7a	
囚	tsʰɐu4	
四	si1	
回	wui4	
因	jin1	
囡	nam5	困難
囪	tsʰʊŋ1	
囫	fut7a	
困	kʰun1	
固	ku1	
圃	pʰu2	
圇	lɐn4	
圈	kin6	豬圈
圈	hin1	圓圈
國	kwɐk7b	
圍	wi4	
園	jan4	
圓	jan4	
圖	hu4	
團	hun4	
土	hu2	
在	tsui6	
圭	kwi1	
圮	pʰi2	
地	ti6	
圳	tsɐn1	
圾	sap7a	
址	tsi2	
均	kun1	
坊	fɐŋ1	街坊
坊	fɐŋ4	堤坊
坎	hɐm2	
坏	pʰui1	
坐	tsʰu1	
坐	tsu6	
坑	hɐŋ1	
坡	pu1	
坤	kʰun1	
坦	han2	
坪	pʰɪŋ4	
坭	nɛ4	紫坭，地名
坷	hu2	
坼	tsʰɐk7b	
垂	sui4	
垃	lap8	
型	jɪŋ4	
垠	ŋɐn4	
垢	kou1	
垣	fun4	
垮	kʰwa1	
埂	kɐŋ2	
埃	ʔui1	
埋	mai4	
城	sɛŋ4	白讀
城	sɪŋ4	
埔	pu1	
埕	tsʰɪŋ4	
域	wɪk8	
埠	pou6	埠頭
埠	fou6	商埠
埡	ʔa1	
執	tsɐp7a	
培	pʰui4	
基	ki1	
堂	hɔŋ4	
堅	kin1	
堆	tui1	
堆	tui5	變調；沙堆，地名
堊	ʔɔk7b	
堡	pau2	
堤	hei4	
堪	hɐm1	
堯	jau4	
堰	jan2	
報	pau1	
場	tsʰœŋ4	
堵	tu2	
塊	fai1	
塌	hap7b	
塑	sɔk7b	塑料
塑	su1	塑造
塔	hap7b	
塗	hu4	
塘	hɔŋ4	
塚	tsʰʊŋ2	
塞	tsʰui1	塞外
塞	sɪk7a	塞車
塢	wu2	山塢
塢	ʔou1	船塢
填	hin4	
塭	wun1	
塵	tsʰɐn4	
塹	tsʰim1	
塾	sʊk8	
境	kɪŋ2	
墅	jia5	
墅	sui6	
墊	tin1	
墊	tsin1	白讀
墓	mu6	
墜	tsui6	
增	tsɐŋ1	
墟	hui1	
墟	hui4	
墨	mɐk8	
墩	tun1	
墮	tu6	
墳	fun4	
墾	hɐn2	
壁	pɪk7b	
壇	han4	
壑	hɔk7b	
壑	kʰɔk7b	
壓	ʔat7b	
壘	lɐt8	神荼鬱壘
壘	lui2	深壘，地名
壘	lui5	堡壘
壞	wai6	
壟	lʊŋ5	
壤	jœŋ6	
壩	pa1	
士	si6	
壬	jim4	
壯	tsɔŋ1	
壹	jit7a	
壺	wu4	
壼	kʰun2	
壽	siu6	
夏	ha6	
夕	tsɪk8	
外	ŋui6	
夙	sʊk7a	
多	tu1	
夜	jia6	
夠	kou1	
夢	mʊŋ6	
夥	fa2	
大	tai6	
天	hin1	
太	hai1	
夫	fu1	農夫
夫	fu4	
夭	jau1	
央	jœŋ1	
失	sɐt7a	
夷	ji4	
夸	kʰwa1	
夾	kɛp9	變調
夾	kɛp7b	
奄	jam1	奄有
奄	jam2	奄奄一息
奇	ki1	奇數
奇	kʰi4	奇怪
奈	nui6	
奉	fʊŋ6	
奏	tsou1	
奐	wun6	
契	kʰei1	契約
契	kʰit7b	契丹
契	sit7b	
奔	pun1	
奕	jɪk8	
套	hau1	
奘	tsɔŋ6	
奚	hei4	
奠	tin6	
奢	tsʰia1	
奧	ʔau1	
奪	tut8	
奮	fun1	
奮	fun6	
女	nui2	
奴	nu4	
奶	nai5	
奸	kan1	
她	ha1	
奼	tsʰa1	
好	hau1	好客
好	hau2	友好
如	ji4	古代第一人稱
妃	fi1	
妄	mɔŋ6	
妍	jan4	
妒	tu6	
妓	ki6	
妖	jau2	
妙	miu6	
妝	tsɔŋ1	
妞	nɐu2	
妣	pi2	
妥	hu1	
妨	fɐŋ4	
妮	ni4	
妳	ni1	
妹	mui6	
妻	tsʰei1	
妾	tsʰip7b	
姆	mu5	
姊	tsi2	
姊	tsi2	姐姐，白讀
始	tsʰi2	
姍	san1	
姐	tsia2	
姑	ku1	
姒	tsʰi1	
姓	sɪŋ1	
委	wi1	虛與委蛇，委委佗佗
委	wi2	委託
姚	jau4	
姜	kœŋ1	
姦	kan1	
姨	ji4	
姪	tsɐt8	
姬	ki1	
姻	jin1	
姿	tsi1	
威	wi1	
娃	wa1	
娑	su1	
娓	mi2	
娘	nœŋ4	
娛	ji4	
娜	na4	
娜	nu5	
娟	kin1	
娥	ŋu4	
娶	tsʰu2	娶老婆、娶新婦
娶	tsʰui2	
婆	pʰu4	
婉	jan2	
婚	fun1	
婢	pʰi1	
婢	pʰi2	
婦	fu1	
婦	pʰu5	新婦，新娘
婪	lam4	
婷	hɪŋ4	
婺	mu6	
婿	sei1	
媒	mui4	
媚	mi6	
媧	wa1	
媲	pʰi1	
媳	sɪk7a	
媽	ma1	
媽	ma2	
嫁	ka1	
嫂	sau2	
嫉	tsɐt8	
嫌	jam4	
嫗	ji2	
嫣	jan1	
嫦	sœŋ4	
嫩	nun6	
嫻	han4	
嬉	hi1	
嬌	kiu1	
嬛	hin1	便嬛
嬛	kʰɪŋ4	美好
嬛	wan4	嫏嬛
嬤	ma1	
嬰	jɪŋ1	
嬸	sɐm2	
子	tsi2	
孔	hʊŋ2	
孔	kʰʊŋ2	又音
孕	jin6	
字	tsi6	
存	tsʰun4	
孜	tsi1	
孝	hɛu1	
孟	mɐŋ6	
孢	pɛu1	
季	kwi1	
孤	ku1	
孩	hai4	
孫	sun1	
孰	sʊk8	
孵	fu1	
學	hɔk8	
孺	ji4	
它	ha1	
宅	tsɐk8	
宇	ji5	
守	siu2	
安	ʔun1	
宋	sʊŋ1	
完	jan4	
宏	wɐŋ4	
宕	tɔŋ6	
宗	tsʊŋ1	
官	kun1	
宙	tsiu6	
定	tɛŋ6	落定，白讀
定	tɪŋ6	安定
宛	jan1	大宛
宛	jan2	宛然
宜	ji4	
客	hɪk7a	
宣	sin1	
室	sɐt7a	
宮	kʊŋ1	
宰	tsui2	
害	hui6	
宴	jan1	
宵	siu1	
家	ka1	家人
家	ku1	曹大家
宸	sɐn4	
容	jʊŋ4	
宿	sɐu1	星宿
宿	sʊk7a	住宿
寂	tsɪk8	
寄	ki1	
寅	jin4	
密	mɐt8	
寇	kʰou1	
富	fu1	
寐	mi6	
寒	hun4	
寓	ji6	
寞	mɔk8	
察	tsʰat7b	
寡	kwa2	
寢	tsʰɐm2	
寤	m6	
寥	liu4	
實	sɐt8	
寧	nɪŋ4	
寨	tsai6	
審	sɐm2	
寫	sia2	
寬	fun1	
寮	liu4	
寰	wan4	
寵	tsʰʊŋ2	
寶	pau2	
寸	tsʰun1	
寺	tsi6	
封	fʊŋ1	
射	jia6	僕射
射	jɪk8	
射	sia6	發射
射	sɪk8	
將	tsœŋ1	將來
專	tsun1	
尉	ji6	尉遲
尉	wi1	
尉	wut7a	
尊	tsun1	
尋	tsʰɐm4	
對	tui1	
導	tau6	
小	siu2	
少	siu1	年少
少	siu2	多少
尖	tsim1	
尚	sœŋ6	
尤	jiu4	
尬	kai1	
就	tsɐu6	
就	ʔɐ2	
尷	kam1	
尹	wun2	姓氏
尹	wun5	
尺	tsʰɛk7b	
尼	ni4	
尾	mi2	
尿	niu6	
局	kʊk8	
屁	pʰi1	
居	kui1	
屆	kai1	
屈	wut7a	
屋	ʔʊk7a	
屍	si1	
屎	si2	
屏	pɪŋ2	屏除
屏	pʰɪŋ4	屏幕
屑	sit7b	
展	tsin2	
屜	hei1	
屠	hu4	
屢	lui1	
層	tsʰɐŋ4	
履	lui5	
屬	sʊk8	屬於
屬	tsʊk8	屬文
屯	hun4	
屯	tsɐn1	
山	san1	
屹	ŋɐt8	
岌	kʰɐp7a	
岑	sɐm4	
岔	tsʰa1	
岡	kɔŋ1	
岩	ŋam4	
岱	tui6	
岳	ŋɔk8	
岷	mɐn4	
岸	ŋun6	
峇	pa1	
峙	si6	
峨	ŋu4	
峪	jʊk8	
峭	tsʰiu1	
峯	fʊŋ1	
島	tau2	
峻	tsɐn1	
峽	hap8	
崁	hɐm1	
崇	sʊŋ4	
崎	kʰi1	崎嶇
崎	kʰi4	長崎
崑	kʰun1	
崔	tsʰui1	
崖	ŋai4	
崗	kɔŋ1	
崙	lɐn4	
崛	kut8	
崢	tsɐŋ1	
崩	pɐŋ1	
嵌	hɐm6	
嵐	lam4	
嵩	sʊŋ1	
嵬	ŋei4	
嶄	tsam2	
嶇	kʰui1	
嶸	wɪŋ4	
嶺	lɛŋ5	南嶺，白讀
嶺	lɪŋ1	嶺澳
嶺	lɪŋ5	嶺南
嶼	ji5	大嶼山，山名
嶼	tsui6	島嶼
嶽	ŋɔk8	
巉	tsʰam4	
巍	ŋei4	
巒	lun4	
巔	tin1	
巖	ŋam4	
川	tsʰun1	
州	tsiu1	
巡	tsʰɐn4	
巢	tsʰau4	
工	kʊŋ1	
左	tsu2	
巧	hɛu2	
巨	kui6	
巫	mu4	
差	tsʰa1	差別
差	tsʰai1	出差
差	tsʰi1	參差
己	ki2	
已	ji5	
巳	tsi6	
巴	pa2	
巷	hɔŋ6	
巾	kɐn1	
市	si5	
布	pu1	
帆	fan4	
希	hi1	
帕	pʰɐk7b	
帖	hip7b	
帛	pɐk8	
帝	tei1	
帥	sɐt7a	
帥	sui1	
師	si1	
席	tsɛk8	涼席
席	tsɛk9	又音
席	tsɪk8	席位
帳	tsœŋ1	
帶	tai1	
帶	tai5	
帷	wi4	
常	sœŋ4	
帽	mau6	
幅	fʊk7a	
幌	fɐŋ2	
幔	man6	
幕	mɔk8	
幟	tsʰi1	
幢	tsʰɔŋ4	幡幢
幢	tʊŋ6	一幢樓
幢	hɔŋ4	海幢寺
幣	pei6	
幫	pɔŋ1	
干	kun1	
平	pʰɛŋ4	便宜；平嶺，地名
平	pʰɪŋ4	
年	nin4	
并	pɪŋ6	
幸	hɐŋ6	
幹	kun1	
幻	wan6	
幼	jiu1	
幽	jiu1	
幾	ki1	幾乎
幾	ki2	幾個
广	jam2	
庄	tsɔŋ1	
庇	pi1	比較
牀	tsʰɔŋ4	
序	tsui6	
底	tei2	
店	tim1	
庚	kɐŋ1	
府	fu2	
庠	tsʰɔŋ4	
度	tɔk8	量度
度	tu6	度量衡
座	tsu6	
庫	fu1	
庭	hɪŋ4	
庵	ʔɐm2	茶庵
庶	si1	
康	hɔŋ1	
庸	jʊŋ4	
廁	su1	
廂	sœŋ1	
廈	ha6	
廉	lim4	
廊	lɔŋ4	
廓	kʰwɐk7b	
廖	liu6	
廚	tsʰi4	
廚	tsʰui4	
廝	si1	
廟	miu6	
廠	tsʰɔŋ2	
廢	fi1	
廣	kwɐŋ2	
廩	lɐm5	
廬	lu4	
廳	hɛŋ1	
延	jan4	
廷	hɪŋ4	
建	kin1	
廿	ja6	
廿	jia6	
弄	nʊŋ6	
弇	jam2	
弊	pei6	
式	sɪk7a	
弓	kʊŋ1	
弔	tiu1	
引	jin2	
弗	fut7a	
弘	wɐŋ4	
弛	tsʰi4	
弟	tei6	
弦	jan4	
弧	wu4	
弩	nu5	
弱	jœk8	
張	tsœŋ1	
強	kœŋ6	倔強
強	kʰœŋ1	勉強
強	kʰœŋ4	強壯
彆	pit7b	
彈	tan6	彈丸
彈	han4	彈劾
彌	mi4	
彌	ni4	
彎	wan1	
彗	wi6	
彙	wui6	
形	jɪŋ4	
彤	hʊŋ4	
彥	jan6	
彩	tsʰui2	
彪	piu1	
彬	pɐn1	
彭	pʰɐŋ4	
彰	tsœŋ1	
影	jɛŋ2	人影，白讀
影	jɪŋ2	
彷	fɐŋ2	
彷	pʰɔŋ4	
役	jɪk8	
彼	pi2	
彿	fut7a	
往	wɐŋ5	
征	tsɪŋ1	
