#漢字	音標	解釋
埠	pu5	商埠
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堆	tei1	
堡	pɔ3	
堤	ti1	
堪	kʰan1	
堰	iɛn5	
堵	tu3	
塌	tʰa1	
塍	tʂʰəŋ2	田塍
塑	suo1	塑像
塔	tʰa3	
塘	tʰaŋ2	
塞	sɛ1	
填	tʰiɛn2	
境	tɕiŋ5	
墓	mu5	
牆	tɕʰiaŋ2	
增	tsəŋ1	
墟	ɕy3	墟市
墨	mei1	
墩	tuen1	
壁	pi5	
壕	xɔ2	
壤	ʐaŋ3	土壤
士	ʂʅ5	
壬	ʐən2	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰɤ1	
壺	xu2	
處	tʂʰu3	相处
處	tʂʰu5	处所
備	pei5	
复	fu1	复兴
复	fu1	
复	fu5	复原
夏	ɕia5	姓
夏	ɕia5	春夏
夕	ɕi1	
外	uɛ5	
多	tuo1	
夜	iɛ5	
够	kou5	
大	ta5	
大	tɛ5	大夫；大黄，药名
天	tʰiɛn1	
太	tʰɛ5	
夫	fu1	
央	iaŋ1	
夯	xaŋ1	打夯
失	ʂʅ1	
頭	tʰou2	
夷	i2	
夸	kʰua1	
夾	tɕia2	
奪	tuo2	
奇	tɕʰi2	
奈	nɛ5	
奉	fəŋ5	
奋	fən5	
奎	kʰuei2	
奏	tsou5	
契	tɕʰi5	契約
奔	pən1	
奔	pən5	
獎	tɕiaŋ3	
套	tʰɔ5	
奚	ɕi1	
奠	tiɛn5	
奢	ʂɤ1	
奤	tʰɛ3	奤子
奧	ɔ5	
女	ny3	
奴	nu2	
奶	nɛ3	
奸	tɕiɛn1	
好	xɔ3	好坏
好	xɔ5	喜好
如	ʐu2	
妃	fei1	
妄	uaŋ5	
婦	fu1	
媽	ma1	
妒	tu5	
妓	tɕi5	
妖	iɔ1	
妗	tɕin5	舅母
妙	miɔ5	
妥	tʰuo3	
妨	faŋ2	妨害
妹	mei5	
妻	tɕʰi1	
妾	tɕʰiɛ5	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姑	ku1	
姓	ɕiŋ5	
委	uei3	
姘	pʰin5	姘头
姚	iɔ2	
姜	tɕiaŋ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
嬌	tɕiɔ1	
娘	niaŋ2	
娠	ʂən1	
娩	miɛn3	分娩
娛	y2	
娶	tɕʰy3	
婆	pʰo2	
婚	xuen1	
婢	pi5	
嬰	iŋ1	
嬸	ʂən3	
婿	ɕy5	女壻
媒	mei2	
媚	mei5	
媳	ɕi2	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiɛn2	
嫖	pʰiɔ2	嫖赌
嫡	ti2	
嫩	luen5	
嬉	ɕi1	
嬎	fan5	鸟下蛋
孀	ʂuaŋ1	
子	tsɿ3	
孔	kʰoŋ3	
孕	yn5	
字	tsɿ5	
存	tsʰuen2	
孫	suen1	
孝	ɕiɔ5	
孟	məŋ5	
季	tɕi5	
孤	ku2	
學	ɕyo2	
孩	xɛ2	
孵	fu2	孵小鸡
孽	niɛ5	
宁	niŋ2	安宁，沪宁
宁	niŋ5	宁可
宅	tʂɛ2	
宇	y3	
守	ʂou3	
安	an1	
宋	soŋ5	
完	uan2	
宏	xoŋ2	
宕	taŋ5	延宕
宗	tsoŋ1	
官	kuan1	
宙	tʂou5	
定	tiŋ5	
宛	uan3	
宜	i2	
寶	pɔ3	
實	ʂʅ2	
寵	tsʰoŋ3	
審	ʂən3	
客	kʰɤ1	
客	tɕʰiɛ1	2
宣	ɕyɛn1	
室	ʂʅ3	
宦	xuan5	
宪	ɕiɛn5	
宮	koŋ1	
宰	tsɛ3	
害	xɛ5	
宴	iɛn5	
宵	ɕiɔ1	
家	tɕia1	
家	tɕia1	家具
容	ʐoŋ2	
寬	kʰuan1	
賓	pin1	
宿	su5	
宿	ɕiou5	星宿
寂	tɕi5	
寄	tɕi5	
寅	in2	
密	mi1	
寇	kʰou5	
富	fu5	
寐	mei5	
寒	xan2	
寓	y5	
寢	tɕʰin3	
寞	mo1	
察	tʂʰa2	
寡	kua3	
寥	liɔ2	
寨	tʂɛ5	
寸	tsʰuen5	
對	tei5	
寺	sɿ5	
尋	ɕyn2	
導	tɔ3	
壽	ʂou5	
封	fəŋ1	
射	ʂɤ5	
將	tɕiaŋ1	将来
將	tɕiaŋ5	大将
尊	tsuen1	
小	ɕiɔ3	
少	ʂɔ3	多少
少	ʂɔ5	少年
尔	ɚ3	
尖	tɕiɛn1	
尘	tʂʰən2	
尚	ʂaŋ5	
尝	tʂʰaŋ2	
尤	iou2	
尥	liɔ5	马尥蹶子
堯	iɔ2	
尬	ka5	
就	tɕiou5	
尷	kan1	尴尬
尷	ka5	
尸	ʂʅ1	
尹	in3	
尺	tʂʰʅ3	
尼	ni2	
尽	tɕin5	尽前
尽	tɕin5	
尾	uei3	
尿	niɔ5	
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
居	tɕy1	
屈	tɕʰy1	
屉	tʰi5	抽屜，籠屜
屆	tɕiɛ5	
屋	u1	
屎	ʂʅ3	
屏	pʰiŋ2	围屛
屐	tɕi1	木屐
屑	ɕiɛ5	不屑
屑	ɕiɛ5	木屑
展	tʂan3	
屬	ʂu3	
屠	tʰu2	
屢	ly3	
履	ly3	
屯	tʰuen2	
山	ʂan1	
歲	suei5	
豈	tɕʰi3	
