#漢字	音標	解釋
籰	yɛ5	收丝器
米	mi3	
籴	ti2	
类	lei5	
粉	fən3	
粒	li5	
粗	tsʰu1	
粘	tʂan1	粘贴
粟	su5	
粤	yɛ5	
粥	tʂou1	
糞	fən5	
糧	liaŋ2	
粳	tɕiŋ1	粳米
粹	tsʰuei5	纯粹
糉	tsoŋ5	
精	tɕiŋ1	
糍	tsʰɿ2	
糕	kɔ1	
糖	tʰaŋ2	
糗	tɕʰiou3	面煮糗了
糙	tsʰɔ1	粗糙，糙米
糜	mi2	粥
糟	tsɔ1	
糠	kʰaŋ1	
糯	nuo5	糯米
系	tɕi5	系鞋帶
系	ɕi5	
系	ɕi5	连系
紝	ʐən5	缝紝
素	su5	
索	suo3	绳索
緊	tɕin3	
紫	tsɿ3	
累	lei3	累积
累	lei5	极困
累	lei5	连累
絮	ɕy5	
綑	kʰuen3	
繁	fan2	
纂	tsuan3	编纂
糾	tɕiou1	纠缠
糾	tɕiou3	纠正
紅	xoŋ2	
紂	tʂou5	桀纣
約	yo1	
級	tɕi2	
紀	tɕi5	紀律，世紀，年紀
緯	uei3	
純	tsʰuen2	
紗	ʂa1	
綱	kaŋ1	
納	na1	
縱	tsoŋ5	纵横
縱	tsoŋ5	放纵
紛	fən1	
紙	tʂʅ3	
紋	uen2	
紡	faŋ3	
紐	niou3	
線	ɕiɛn5	
練	liɛn5	
組	tsu3	
細	ɕi5	
織	tʂʅ1	
終	tʂoŋ1	
縐	tsou3	
絆	pan5	
紹	ʂɔ5	
經	tɕiŋ1	
經	tɕiŋ1	经纬，经线
綁	paŋ3	
絨	ʐoŋ2	
結	tɕiɛ2	
繞	ʐɔ5	围绕
繞	ʐɔ5	绕线
繪	xuei5	
給	tɕi2	供给
絡	luo5	
絕	tɕyɛ2	
絞	tɕiɔ3	
統	tʰoŋ3	
絹	tɕyɛn5	
繡	ɕiou5	
綏	suei2	
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
續	ɕy5	
綽	tʂʰuo5	宽绰
繩	ʂəŋ2	
維	uei2	
綿	miɛn2	
綢	tʂʰou2	
綜	tsoŋ1	织布机上的综
綻	tsan5	破绽
綠	ly1	
綴	tʂuei5	点缀
緬	miɛn3	
纜	lan3	
緝	tɕi2	缉鞋口
緞	tuan5	
緩	xuan3	
縷	ly3	丝缕
編	piɛn1	
緣	yɛn2	
縛	fu5	
縫	fəŋ2	缝衣服
縫	fəŋ5	一条缝
纏	tʂʰan2	
縊	i5	
纓	iŋ1	
縮	suo1	
繮	tɕiaŋ1	繮绳
繰	tɕʰiɔ1	缲边
繳	tɕiɔ3	上缴
缸	kaŋ1	
缺	tɕʰyɛ1	
罐	kuan5	
网	uaŋ3	
罕	xan3	
羅	luo2	
罰	fa2	
罷	pa5	
罩	tʂɔ5	
罪	tsuei5	
置	tʂʅ5	
署	ʂu3	专署
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kɔ1	
羞	ɕiou1	
羡	ɕiɛn5	
羣	tɕʰyn2	
羹	kəŋ1	
羽	y3	
翁	uoŋ1	
翅	tʂʰʅ5	
翎	liŋ2	
翠	tsʰuei5	
翡	fei2	翡翠
翰	xan5	
翻	fan1	
翼	i5	
耀	iɔ5	
老	lɔ3	
考	kʰɔ3	
者	tʂɤ3	
而	ɚ2	
耍	ʂua3	
耐	nɛ5	
耕	kəŋ1	
耗	xɔ5	
耙	pʰa2	犁耙，耙地
耬	lou2	播种用的农具
耩	tɕiaŋ3	耩地
耳	ɚ3	
耶	iɛ1	
恥	tʂʰʅ3	
耽	tan1	
耿	kəŋ3	
聶	niɛ5	姓
聊	liɔ2	
聾	loŋ2	
職	tʂʅ2	
聒	kuo1	聒耳朵
聯	liɛn2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	su5	
肄	i5	肄业
肆	sɿ5	
肉	ʐou5	
肋	lei5	
肌	tɕi1	
肘	tsou3	
肚	tu5	鱼肚，猪肚
肚	tu5	腹肚
肝	kan1	
腸	tʂʰaŋ2	
股	ku3	
肢	tʂʅ1	
肤	fu1	
肥	fei2	
肨	pʰaŋ3	肿
肩	tɕiɛn1	
肪	faŋ2	脂肪
肫	tʂuen1	肫肝
肮	aŋ1	肮脏
肯	kʰən3	
育	y5	
肴	iɔ2	
肺	fei5	
腎	ʂən5	
腫	tʂoŋ3	
脹	tʂaŋ5	
脅	ɕiɛ2	
胃	uei5	
胆	tan3	
背	pei5	
背	pei5	背诵
胎	tʰɛ1	
胖	pʰaŋ5	
胚	pʰei1	胚胎
胛	tɕia3	肩胛
胜	ʂəŋ5	胜任
胜	ʂəŋ5	胜败
胞	pɔ1	
胡	xu2	
胳	kɤ1	胳臂
胶	tɕiɔ1	
胸	ɕyoŋ1	
能	nəŋ2	
脂	tʂʅ1	
脆	tsʰuei5	
脉	mɛ1	
脊	tɕi1	
脏	tsaŋ1	不干净
脏	tsaŋ1	
臍	tɕʰi2	
腦	nɔ3	
膿	noŋ2	
腳	tɕyo1	
脣	tsʰuen2	
脯	pʰu1	胸脯
脯	fu3	杏脯
脫	tʰuo1	
腡	luo2	手指文
臉	liɛn3	
脾	pʰi2	
腆	tʰiɛn3	腆肚子
腊	la1	
腋	iɛ1	
腌	iɛn1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan5	
腥	ɕiŋ1	
腮	sɛ1	
腰	iɔ1	
腱	tɕiɛn5	
腹	fu5	
膩	ni5	
騰	tʰəŋ2	
腿	tʰei3	
膏	kɔ1	
膏	kɔ5	膏车，膏油
膜	mo2	
膝	ɕi1	
膞	tʂuan1	鸡膞
膨	pʰəŋ2	膨胀
膳	ʂan5	
膻	ʂan1	
臀	tʰuen2	
臂	pi5	
臊	sɔ5	臊气
臕	piɔ1	肥臕
臣	tʂʰən2	
自	tsɿ5	
臭	tʂʰou5	香臭
至	tʂʅ5	
致	tʂʅ5	
臻	tʂən1	
臼	tɕiou5	
舀	iɔ3	舀水
舁	y2	抬
舂	tʂʰoŋ1	舂米
舅	tɕiou5	
舌	ʂɤ2	
舍	ʂɤ3	
舍	ʂɤ5	
舐	ʂʅ5	以舌取物
舒	ʂu1	
舔	tʰiɛn3	以舌取物
舜	ʂuen5	
舞	u3	
舟	tʂou1	
航	xaŋ2	
般	pan1	
艦	tɕiɛn5	
舵	tuo5	
船	tʂʰuan2	
艇	tʰiŋ3	
良	liaŋ2	
艱	tɕiɛn1	
色	sɛ1	
艳	iɛn5	
藝	i5	
艾	ɛ5	
節	tɕiɛ2	
芋	y5	
芍	ʂɔ2	芍药花
芒	maŋ2	
芒	maŋ2	麦芒儿
芙	fu2	芙蓉
芝	tʂʅ1	
芥	tɕiɛ5	
芦	lu2	芦苇
芬	fən1	
芭	pa2	
芮	ʐuei5	姓
花	xua1	
芳	faŋ1	
芹	tɕʰin2	
芽	ia2	
葦	uei3	芦苇
莧	ɕiɛn5	苋菜
蒼	tsʰaŋ1	
苧	tʂu5	苎麻
苏	su1	
苔	tʰɛ2	舌苔，青苔
苗	miɔ2	
苘	tʰoŋ2	苘麻
苟	kou3	
若	ʐuo1	
苦	kʰu3	
英	iŋ1	
苶	niɛ2	发苶
茂	mɔ5	
范	fan5	
茄	tɕʰiɛ2	茄子
茅	mɔ2	
莖	tɕiŋ5	
塋	iŋ2	
茧	tɕiɛn3	
茫	maŋ2	
茬	tʂʰa2	
茴	xuei2	茴香
茶	tsʰa2	
茸	ʐoŋ2	参茸
荀	ɕyn2	
荆	tɕiŋ1	
草	tsʰɔ3	
荐	tɕiɛn5	
荒	xuaŋ1	
荔	li5	荔支
蕎	tɕʰiɔ2	
薺	tɕi5	
蕩	taŋ5	放荡
榮	ʐoŋ2	
葷	xuen1	
滎	ɕiŋ2	荥阳
荫	in1	屋子很荫
药	yo1	
荷	xɤ2	薄荷
荷	xɤ2	荷花
莎	ʂa1	莎草
莝	tsʰuo1	莝草，切碎的草
莠	iou5	
莫	mo5	
蓮	liɛn2	
获	xuɛ2	
鶯	iŋ1	
蓴	tʂʰuen2	蒓菜
莽	maŋ3	
菊	tɕy2	
菌	tɕuen3	
菖	tʂʰaŋ1	菖蒲
菜	tsʰɛ5	
菠	po1	菠菜
菢	pɔ5	菢小鸡
菩	pʰu2	菩萨
菱	liŋ2	
萄	tʰɔ2	
萌	məŋ2	
萍	pʰiŋ2	
萎	uei3	气萎，买卖萎
螢	iŋ2	
營	iŋ2	
蕭	ɕiɔ1	
薩	sa5	
落	luo1	
葚	ʂən5	桑葚
葛	kɤ2	
董	toŋ3	
葫	xu2	瓠卢
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	kʰuei2	
蔣	tɕiaŋ3	
蒙	məŋ2	
蒜	suan5	
蒯	kʰuɛ3	
蒲	pʰu2	
蒸	tʂəŋ1	
蒿	xɔ1	蓬蒿
蓄	ɕy5	储蓄
蓉	ʐoŋ2	芙蓉
蓑	suo1	
蓖	pi5	蓖麻
藍	lan2	
蓬	pʰəŋ2	
蔓	man5	瓜蔓子
蔗	tʂɤ1	
蔡	tsʰɛ5	
蔫	niɛn1	食物不新鲜
蔫	niɛn1	花萎
蔬	ʂuo1	
藹	ɛ3	和蔼
蔽	pi5	
蕉	tɕiɔ1	芭蕉，香蕉
蕊	ʐuei3	
薄	po2	薄荷
薄	po2	
薅	xɔ1	除田草
薛	ɕyɛ1	
薪	ɕin1	
薯	ʂu3	白薯
薰	ɕyn1	
藉	tɕi1	狼藉
藉	tɕiɛ5	借故
藋	tiɔ5	灰藋菜
藏	tsʰaŋ2	隐藏
藏	tsaŋ5	西藏
藐	miɔ3	
藕	ou3	
藤	tʰəŋ2	
藩	fan1	
藿	xuo1	藿香
蘸	tʂan5	蘸酱油
虎	xu3	
虜	lu3	
虐	nyɛ5	
虑	ly5	
虔	tɕʰiɛn2	
虛	ɕy1	
虞	y2	
虢	kuo2	虞虢
虫	tʂʰoŋ2	
虱	ʂɛ1	
虹	xoŋ2	天上的虹
虹	xoŋ2	
虻	məŋ2	牛虻
雖	suei1	
蝦	ɕia1	鱼虾
蝦	xa2	
蝕	ʂʅ2	
蟻	i5	
蚊	uen2	
蚌	pʰaŋ5	
蚌	pəŋ5	
蚕	tsʰan2	
蚣	koŋ1	蜈蚣
蚤	tsɔ3	
蚶	xan1	蚶子
蛀	tʂu5	
蛆	tɕʰy1	生蛆
蛇	ʂɤ1	
蛋	tan5	
蟶	tʂʰəŋ1	蛏子
蛙	ua1	
蛛	tʂu1	
蛤	kɤ2	蛤蜊
蠻	man2	
蟄	tʂɤ2	惊蛰
蛾	ɤ2	
蜀	ʂu3	
蜂	fəŋ1	
蜇	tʂɤ1	蝎子蜇人
蜈	u2	蜈蚣
蜓	tʰiŋ2	蜻蜓
蛻	tʰei5	蛇蜕皮，蝉蜕
蝸	uo1	
蜘	tʂʅ1	蜘蛛
蜜	mi1	
蜡	la1	
蜻	tɕʰiŋ1	蜻蜓
蠅	iŋ2	
蟬	tʂʰan2	
蝎	ɕiɛ1	
蝗	xuaŋ2	
蝙	piɛn1	
蝠	fu2	蝙蝠
蝶	tiɛ2	
螂	laŋ2	
螃	pʰaŋ2	螃蟹
融	ʐoŋ2	
螳	tʰaŋ2	螳螂
螺	luo2	螺蛳
蟀	ʂuɛ5	
蟆	ma2	蛤蟆
蟆	xa2	
蟒	maŋ3	
蟢	ɕi3	蟢子
蟹	ɕiɛ5	
蟾	tʂʰan2	蟾酥
蠓	məŋ3	蠓虫
蠚	xɤ1	蜂蠚人
蠢	tʂʰuen3	
血	ɕyɛ3	
衅	ɕin5	挑衅
行	xaŋ2	行列，银行
行	ɕiŋ2	行爲
行	ɕiŋ2	品行
銜	ɕiɛn2	
街	tɕiɛ1	
衙	ia2	
衡	xəŋ2	
衣	i1	
補	pu2	
表	piɔ3	
衫	ʂan1	
襯	tʂʰən5	
衰	ʂuɛ1	
袁	yɛn2	
襖	ɣɔ3	
袋	tɛ5	
袍	pʰɔ2	
袖	ɕiou5	
袜	ua1	
被	pei5	被卧，被子
被	pei5	被打，被迫
襲	ɕi2	
裁	tsʰɛ2	
裂	lɛ1	
裝	tʂuaŋ1	
裌	tɕia2	裌衣
裕	y3	
裙	tɕʰyn2	
褲	kʰu5	
裥	tɕiɛn3	
裳	ʂaŋ3	衣裳
裴	pʰei2	
裸	luo3	裸体
裹	kuo3	
褒	pɔ1	褒奖
褚	tʂʰu3	姓
褥	ʐu5	
褪	tʰei5	
褯	tɕiɛ5	褯子
褶	tʂɤ2	褶子，皱纹
襄	ɕiaŋ1	
襟	tɕin1	
襻	pʰan5	纽襻
西	ɕi1	
要	iɔ1	要求
要	iɔ5	想要，重要
覆	fu5	反覆
見	tɕiɛn5	
觀	kuan1	参观
觀	kuan5	寺观
規	kuei1	
覓	mi5	
視	ʂʅ5	
覽	lan3	
覺	tɕyɛ2	知觉
覺	tɕiɔ5	睡觉
角	tɕyo3	
解	tɕiɛ3	讲解，解开
解	tɕiɛ3	晓也
解	ɕiɛ5	姓
觸	tʂʰu5	
言	iɛn2	
譽	y5	荣誉
謄	tʰəŋ2	
誓	ʂʅ5	
謠	iɔ2	
警	tɕiŋ3	
譬	pʰi5	譬喻
計	tɕi5	
訂	tiŋ5	订约
訃	fu5	
認	ʐən5	
譏	tɕi1	
討	tʰɔ3	
讓	ʐaŋ5	
訖	tɕʰi5	
訓	ɕyn5	
議	i3	
訊	ɕyn5	
記	tɕi5	
講	tɕiaŋ3	
諱	xuei5	
許	ɕy3	
訛	ɤ1	
論	luen5	论语
論	luen5	议论
訟	soŋ5	
諷	fəŋ3	
設	ʂɤ5	
訪	faŋ3	
訣	tɕyɛ2	
证	tʂəŋ5	
評	pʰiŋ2	
識	ʂʅ3	
詐	tʂa5	
訴	su5	
診	tʂən3	
詞	tsʰɿ2	
詔	tʂɔ5	
譯	i2	
試	ʂʅ5	
詩	ʂʅ1	
誠	tʂʰəŋ2	
誅	tʂu1	
話	xua5	
誕	tan5	
詭	kuei3	
該	kɛ1	
詳	ɕiaŋ2	
誣	u1	
語	y3	
誤	u5	
誘	iou5	
說	ʂuo1	说话
誦	soŋ5	
請	tɕʰiŋ3	
諸	tʂu1	
諾	nuo5	
讀	tu2	
課	kʰuo5	
誰	ʂei2	
調	tʰiɔ2	调和
調	tiɔ5	音调
調	tiɔ5	调动
諒	liaŋ5	
談	tʰan2	
誼	i3	
謀	mou2	
諜	tiɛ2	
謊	xuaŋ3	
諫	tɕiɛn5	
諧	ɕiɛ2	
謂	uei5	
讒	tʂʰan2	
諺	iɛn5	
謎	mi2	
謝	ɕiɛ5	
謗	paŋ5	
謙	tɕʰiɛn1	
謹	tɕin3	
謬	miou5	
譚	tʰan2	
譜	pʰu3	
谷	ku3	
豁	xuo1	豁然，豁嘴，豁口
豆	tou5	
豇	tɕiaŋ1	豇豆
豉	tʂʰʅ3	豆豉
豌	uan1	豌豆
豕	ʂʅ3	
豚	tʰuen2	
象	ɕiaŋ5	
豪	xɔ2	
豫	y5	
豶	fən2	牡豕
豹	pɔ5	
豺	tsʰɛ2	
貂	tiɔ1	
貌	mɔ5	
貝	pei5	
貞	tʂən1	
負	fu1	
貢	koŋ5	
財	tsʰɛ2	
責	tʂɛ2	
賢	ɕiɛn2	
敗	pɛ5	
賬	tʂaŋ5	
貨	xuo5	
質	tʂʅ1	
販	fan5	
貪	tʰan1	
貧	pʰin2	
貶	piɛn3	
購	kou5	
貫	kuan5	
貳	ɚ5	贰心
賤	tɕiɛn5	
貼	tʰiɛ2	
貴	kuei5	
貸	tɛ5	
貿	mɔ5	
費	fei5	费用
賀	xɤ5	
賊	tsei2	
賈	tɕia3	姓
賄	xuei5	
賃	lin5	租赁
賂	lu1	
贓	tsaŋ1	
資	tsɿ1	
賒	ʂɤ1	
賦	fu5	
賭	tu3	
贖	ʂu2	
賞	ʂaŋ3	
賜	tsʰɿ5	
賠	pʰei2	
賴	lɛ5	
贅	tʂuei5	
賺	tsuan5	
賽	sɛ5	
赞	tsan5	
贈	tsəŋ5	
贏	iŋ2	
赤	tʂʰʅ5	
赦	ʂɤ5	
赫	xɤ5	
走	tʂou3	
赴	fu5	
趙	tʂɔ5	
赶	kan3	
起	tɕʰi3	
趁	tsʰən5	
超	tʂʰɔ1	
越	yɛ1	
趨	tɕʰy1	
趟	tʰaŋ5	一趟
趣	tɕʰy5	
足	tsu2	
趼	tɕiɛn3	
趾	tʂʅ3	
躍	iɔ5	
跌	tiɛ1	
跑	pʰɔ3	
跗	fu1	跗面，脚面
跛	po1	跛足
距	tɕy5	
跟	kən1	
跨	kʰua5	
跪	kuei5	
路	lu5	
跳	tʰiɔ5	
踐	tɕiɛn5	
踏	tʰa5	
踒	uɛ2	踒了脚
踢	tʰi1	
蹤	tsoŋ1	
踱	tuo2	
蹄	tʰi2	
蹑	niɛ1	蹑脚走
蹭	tsʰəŋ5	磨蹭
蹲	tuen1	
躁	tsɔ5	
身	ʂən1	
躬	koŋ1	
躲	tuo3	
躺	tʰaŋ3	
車	tɕy1	车马砲
車	tʂʰɤ1	马车
軋	ia5	被车轧，轧棉花
軌	kuei3	
軒	ɕyɛn1	
轉	tʂuan3	转眼，转送
轉	tʂuan5	转螺丝，转圆圈
軛	ɤ5	
輪	luen2	
軟	ʐuan3	
轟	koŋ1	
轟	koŋ1	揈出去
軸	tʂou2	
輕	tɕʰiŋ1	轻重，年轻
載	tsɛ3	年载
載	tsɛ5	载重
載	tsɛ5	满载
轎	tɕʰiɔ5	
較	tɕiɔ5	
輔	fu3	
輛	liaŋ5	
輦	niɛn3	
輩	pei5	
輝	xuei1	
輞	uaŋ3	车辋
輜	tsɿ1	輜重
輯	tɕi2	编辑
輸	ʂu1	
輸	ʂu1	运输
轡	pʰei5	
轅	yɛn2	
轄	ɕia2	管辖
轍	tʂɤ2	
辛	ɕin1	
辭	tsʰɿ2	
辟	pʰi5	
辣	la1	
辨	piɛn5	
辯	piɛn5	
辮	piɛn5	
辰	tʂʰən2	
辱	ʐu3	
邊	piɛn1	
遼	liɔ2	
达	ta2	
迁	tɕʰiɛn1	
迂	y1	
迅	ɕyn5	
過	kuo5	
邁	mɛ5	
迎	iŋ2	
运	yn5	
近	tɕin5	
还	xɛ2	还有
还	xuan2	还原
進	tɕin5	
遠	yɛn3	
違	uei2	
連	liɛn2	
遲	tʂʰʅ2	
迥	tɕyuŋ3	迥然不同
迫	pʰo5	
述	ʂu2	
迷	mi2	
迸	pəŋ5	迸裂
迹	tɕi5	
追	tʂuei1	
退	tʰei5	
送	soŋ5	
适	ʂʅ3	
逃	tʰɔ2	
逆	ni5	順逆，逆風
選	ɕyɛn3	
遜	ɕuen5	
透	tʰou5	
逐	tʂu2	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰoŋ1	
逛	kuaŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	逞能
速	su1	
造	tsɔ5	建造
逢	fəŋ2	
逵	kʰei2	
逸	i5	
逼	pi1	
逾	y2	
遁	tuen5	
遂	suei5	
遇	y5	
遍	piɛn5	一遍
遍	piɛn5	遍地
遐	ɕia2	
道	tɔ5	
遺	i2	
遣	tɕʰiɛn3	
遭	tsɔ1	
遮	tʂɤ1	
遵	tsuen1	
避	pi5	
邀	iɔ1	
邓	təŋ5	
那	na5	
邦	paŋ1	
邪	ɕiɛ2	
邮	iou1	
邵	ʂɔ5	
鄒	tsou1	
鄰	lin2	
郁	y5	
郊	tɕiɔ1	
郎	laŋ2	
鄭	tʂəŋ5	
郝	xɔ3	姓
郡	tɕyn5	
部	pu5	
郭	kuo1	
都	tu1	都城
都	tou1	都是
鄂	ɤ5	
鄙	pi3	
酉	iou3	
酌	tʂuo2	
配	pʰei5	
酒	tɕiou3	
酣	xan1	
酥	su1	
酪	lɔ5	
酬	tʂʰou2	
醬	tɕiaŋ5	
酵	tɕiɔ5	
酷	kʰu5	
酸	suan1	
釅	iɛn5	酽茶
釀	niaŋ5	
醇	tʂʰuen2	酒味醇
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ3	
醭	pu2	醋生白醭
醮	tɕiɔ5	打醮，再醮
采	tsʰɛ3	
釉	iou5	
釋	ʂʅ5	
里	li3	
重	tʂʰoŋ2	重复
重	tʂoŋ5	轻重
野	iɛ3	
量	liaŋ2	量长短
量	liaŋ5	数量
金	tɕin1	
釜	fu3	
鉢	po1	
鉴	tɕiɛn5	
鋭	ʐuei5	
鏨	tsan5	錾花
鏊	ɔ5	烙饼用具
鐾	pei5	鐾刀布，把刀鐾鐾
鑞	la5	锡鑞
针	tʂən1	
釘	tiŋ1	铁钉
釘	tiŋ5	钉住
釤	ʂan5	大鎌
釣	tiɔ5	
釵	tʂʰɛ1	
鈍	tuen5	
鈔	tʂʰɔ1	钱钞
钟	tʂoŋ1	
鋼	kaŋ1	
鋼	kaŋ1	刀钝了，钢钢
鑰	yo1	钥匙
欽	tɕʰin1	
鈞	tɕyn1	
鉤	kou1	
鈀	pʰa2	钯子
錢	tɕʰiɛn2	
鉗	tɕʰiɛn2	
鈸	pʰo2	
钻	tsuan1	动词
钻	tsuan5	木工用具
鐵	tʰiɛ3	
鈴	liŋ2	
鉛	tɕʰiɛn1	
鐸	tuo2	
鐃	nɔ2	
鐺	tʂʰəŋ1	烙饼用具
銅	tʰoŋ2	
鍘	tʂa2	铡刀
鏵	xua2	
銘	miŋ2	
鉸	tɕiɔ3	
铲	tʂʰan3	
銃	tʂʰoŋ5	放铳
銀	in2	
鑄	tʂu5	
鋪	pʰu1	铺设
鋪	pʰu5	店铺
銷	ɕiɔ1	
鎖	suo3	
鋥	tsəŋ5	锃光
鋤	tʂʰuo2	
鍋	kuo1	
鏽	ɕiou5	铁锈
銼	tsʰuo1	
鋒	fəŋ1	
鐧	tɕiɛn5	车锏
鋦	tɕy1	锔碗
錯	tsʰuo5	错误
錯	tsʰuo5	错杂
錨	mɔ2	
錛	pən1	
錫	ɕi1	
錮	ku5	锢露锅
鑼	luo2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕin3	
鍁	ɕiɛn1	锹属
錠	tiŋ5	
鍵	tɕiɛn5	
鋸	tɕy5	锯子，锯木头
鍬	tɕʰiɔ1	
鍛	tuan5	锻鍊
鍍	tu5	
鎮	tʂən5	
鑷	niɛ1	镊子
鏡	tɕiŋ5	
鏇	ɕuan5	
镢	tɕyɛ2	镢头，大锄
鐙	təŋ5	鞍镫
鑊	xuo5	锅
鐲	tʂuo2	镯子
镰	liɛn2	
鑲	ɕiaŋ1	
長	tʂaŋ2	生长
長	tʂʰaŋ2	长短
門	mən2	
閂	ʂuan1	
閃	ʂan3	
閉	pi5	
問	uen5	
闖	tsʰuaŋ3	
閏	yn5	
闲	ɕiɛn2	
間	tɕiɛn1	空间，中间
間	tɕiɛn5	间断，间或
悶	mən5	
閘	tʂa2	
鬧	nɔ5	
閨	kuei1	
聞	uen2	
閩	min3	闽越
閣	kɤ1	
鬮	tɕiou1	拈阄
閱	yɛ1	
閹	iɛn1	
閻	iɛn2	
闊	kʰuo5	
阜	fu5	
隊	tei5	
阮	ʐuan3	
防	faŋ2	
陽	iaŋ2	
陰	in1	
陣	tʂən5	
階	tɕiɛ1	
阻	tsu3	
阿	a3	阿胶，阿哥
附	fu5	
際	tɕi5	
陸	lu1	
隴	loŋ3	
陳	tʂʰən2	
陘	ɕiŋ2	井陉
陋	lou5	
陌	mo5	陌生
降	ɕiaŋ2	降伏，投降
降	tɕiaŋ5	下降
限	ɕiɛn5	
陝	ʂan3	陕西
陛	pi5	陛下
陡	tou3	
院	yɛn5	
除	tsʰu2	
險	ɕiɛn3	
陪	pʰei2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕiɛn5	
隆	loŋ1	
隨	suei2	
隱	in3	
隔	kɤ2	
隘	ɛ5	
障	tʂaŋ5	保障
隧	suei5	隧道
隶	li5	
難	nan2	难易
難	nan5	患难
雀	tɕʰy1	麻雀
雁	iɛn5	
雄	ɕyoŋ2	
雅	ia3	
集	tɕi2	
雇	ku5	
雉	tʂʅ5	雉鸡
雌	tsʰɿ2	
雍	yuŋ1	
雛	tʂʰu2	
雕	tiɔ1	
雨	y3	
雪	ɕyɛ3	
零	liŋ2	
雷	lei1	
雹	pɔ2	
霧	u5	
需	ɕy1	
霄	ɕiɔ1	
震	tʂən5	
霉	mei2	
霍	xuo5	
霜	ʂuaŋ1	
霞	ɕia2	
露	lu5	
霸	pa5	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei1	
靠	kʰɔ5	
靡	mi3	
面	miɛn5	
靨	iɛ5	酒靥
革	kɤ2	
靪	tiŋ1	
靭	ʐən5	
靴	ɕyɛ1	
靿	iɔ5	靴靿
鞋	ɕiɛ2	
鞍	an1	
鞘	tɕʰiɔ5	刀鞘
鞧	tɕʰiou1	牛鞦
鞭	piɛn1	
韛	pɛ5	风箱
韓	xan2	
韭	tɕiou3	
音	in1	
韵	yn5	
韶	ʂɔ2	韶关
頁	iɛ1	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiaŋ5	
順	ʂuen5	
须	ɕy1	
頑	uan2	顽皮，顽固
顧	ku5	
頓	tuen5	
頒	pan1	
頌	soŋ5	
預	y5	
領	liŋ3	
頗	pʰo1	
頸	tɕiŋ5	
頻	pʰin2	频繁
穎	iŋ3	
顆	kʰɤ1	一颗珠
題	tʰi3	
顏	iɛn2	
額	ɛ2	
顛	tiɛn1	
顫	tʂʰan5	
顴	tɕʰyɛn2	颧骨
風	fəŋ1	
颼	sou1	
飄	pʰiɔ1	
飛	fei1	
食	ʂʅ2	
餐	tsʰan1	
餜	kuo3	
餧	uei5	
饥	tɕi1	
饥	tɕi1	饥荒
飩	tʰuen2	馄饨
飭	tʂʰʅ5	
飯	fan5	
飲	in3	饮酒
飲	in3	米汤
飲	in5	饮马
餞	tɕiɛn5	饯行
飾	ʂʅ5	
飽	pɔ3	
飼	sɿ5	
飴	i2	高粱饴
餌	ɚ3	
饒	ʐɔ2	
餉	ɕiaŋ3	
餃	tɕiɔ3	饺子
餅	piŋ3	
餑	po1	面饽
餓	ɤ5	
餛	xuen2	馄饨
餡	ɕiɛn5	
館	kuan3	
餿	sou1	饭馊了
饞	tʂʰan2	
饃	mo2	
餾	liou5	
饅	man2	馒头
首	ʂou3	
香	ɕiaŋ1	
馨	ɕin1	
騇	ʂɤ5	母的牛马
馬	ma3	
馱	tʰuo2	拿，驮起来
馱	tʰuo2	驮子
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	po2	
驢	ly2	
駛	ʂʅ3	
駒	tɕy1	
駐	tʂu5	
駝	tʰuo2	
駕	tɕia5	
罵	ma5	
驕	tɕiɔ1	
駱	luo1	
駭	xɛ5	惊骇
驗	iɛn5	
騎	tɕʰi2	
騙	pʰiɛn5	骗马
騙	pʰiɛn5	欺骗
騷	sɔ1	
騾	luo2	
驟	tʂou5	
骨	ku3	筋骨，骨头
髓	suei3	
高	kɔ1	
髻	tɕi5	
髽	tʂua1	髽髻
鬃	tsoŋ1	马鬃，猪鬃
鬏	tɕiou1	梳个鬏儿
鬢	pin5	
鬼	kuei3	
魁	kʰuei2	
魂	xuen2	
魄	pʰo5	
魘	iɛn3	
魏	uei5	
魔	mo2	
鮎	niɛn2	鮎鱼
魚	y2	
魯	lu3	
鮑	pɔ5	姓，鲍鱼
鮮	ɕyɛn1	新鲜
鮮	ɕyɛn1	鲜少
鯗	ɕiaŋ3	
鯉	li3	
鰣	ʂʅ2	
鯽	tɕi1	
鯨	tɕiŋ1	
鰓	sɛ1	
鰭	tɕʰi2	
鰥	kuan1	鳏寡
鰾	piɔ5	
鱉	piɛ1	
鱖	kuei5	鳜鱼
鱗	lin2	
鳥	niɔ3	
鳩	tɕiou1	
