#漢字	音標	解釋
㝓	kʰap7	用器皿覆蓋、扣住
份	hun6	
仿	vɔŋ3	
企	kʰi3	
伊	i1	
伍	ŋu5	
伏	pʰək8	
伏	hək8	
伐	vat8	
休	hiu1	
伙	vɔ3	
伢	ŋa1	
伢	ŋa3	
伯	pak7	
估	ku3	
伴	pʰɔn6	
伶	liaŋ2	
伶	leŋ2	
伸	sin1	
似	tsʰi5	
似	ɬi1	
但	tʰan6	
佈	pu5	
位	wui6	
低	tɛi1	
住	tsʰi6	
住	tsʰy6	
佐	tsɔ3	
佑	jiu6	
佔	tsiɛm5	
何	hɔ2	荷～花
佘	sa2	
余	jy2	
佛	hut8	
作	tsɔk7	著～
你	ŋi5	
你	ŋi9	
佢	kʰi2	
佢	kʰi9	
佣	jəŋ6	
佩	pʰɔi6	
佬	lau3	
佯	jyœŋ2	
佳	kai1	
併	peŋ5	
使	sɛi3	
侄	tsʰit8	
侄	tsʰat8	
侄	tsʰiɛt8	
侅	hɔi2	癢
來	lɔi1	
侈	tsʰi3	
例	lɛi6	
侍	sɛi6	
侏	tsy1	
侖	lun2	
侗	tʰəŋ6	
供	kəŋ1	～求
供	kəŋ5	上～
依	i1	
依	i3	
侮	mu3	
侯	həø2	
侵	tsʰim1	
侶	ly5	
便	pʰiɛn2	～宜
便	pʰiɛn6	方～
係	hɛi6	
促	tsʰək7	
俄	ŋɔ2	
俊	tsun5	
俏	tsʰiɛu5	
俗	tsʰək8	
俘	hu1	
保	pau3	
信	ɬin5	
修	ɬiu1	
俯	hu3	
俾	pi3	
倉	tsʰɔŋ1	
個	kɔ5	
個	kə5	
個	kɔi5	那個、那兒
倌	kɔn1	
倍	pʰɔi5	
們	kʰi9	
們	ŋi9	
倒	tau3	顛～
倒	tau5	
倔	kʰut8	
倘	tʰɔŋ3	
候	həø2	
候	həø6	
倚	i3	
借	tsɛ5	
倡	tsʰɔŋ5	
倣	vɔŋ3	
倦	kʰyœn6	
倪	ŋɛi2	
倫	lun2	
倭	jɔ1	
值	tsʰek8	
假	ka3	
假	ka5	
偈	kɛi3	
偉	wui5	
偌	jyœk8	
偏	pʰiɛn1	
做	tsu5	
停	tʰeŋ2	
健	kʰiɛn6	
側	tsat7	
偵	tseŋ1	
偶	ŋəø5	
偷	tʰəø1	
傅	hu5	
傅	hu9	
傍	pɔŋ2	～水：要錢
傍	pʰɔŋ6	
傑	kiɛt7	
傑	kʰiɛt8	
備	pʰi6	
傢	ka1	
傣	tai3	
催	tsʰui1	
催	tsʰɔi1	
傭	jəŋ6	
傲	ŋau6	
傳	tsʰɔn2	謠～
傳	tsʰɔn6	～記
債	tsai5	
傷	sɔŋ1	
傻	sɔ2	
傾	kʰeŋ1	
僅	kin3	
像	tsʰyœŋ6	
僑	kʰiɛu2	
僕	pʰək8	
僚	liɛu2	
僞	ŋui6	
僥	kiɛu3	
僧	tsan1	
僱	ku5	
僵	kyœŋ1	
價	ka5	
僻	pʰek7	
儀	ji2	
儂	nəŋ2	
億	ek7	
儋	tam1	
儒	jy2	
償	sɔŋ2	
優	iu1	
儲	tsʰy5	
允	jun3	
元	jyœn2	
兄	heŋ1	
充	tsʰəŋ1	
兇	həŋ1	
先	ɬiɛn1	
光	kɔŋ1	
克	kat7	
克	hat7	
兌	tʰɔi6	
免	miɛn5	
兒	ŋi2	
兒	ji2	
兔	tʰu5	
兜	təø1	
入	ŋip8	
入	jip8	
內	nui6	
內	nɔi6	
全	tsʰyœn2	
兩	lyœŋ3	～萬
兩	lyœŋ5	斤～
八	pat7	
八	pat8	八卦、說是非
公	kəŋ1	
六	lək8	
共	həŋ6	
兵	peŋ1	
其	kʰi2	
其	kɛ1	
典	tiɛn3	
兼	kiɛm1	
冀	ki5	
冇	mau5	
冉	ŋiɛm5	
冊	tsʰak7	
再	tsɔi5	
冒	mau6	
冗	tsəø5	
冗	jəŋ3	
冚	kʰam3	蓋
冚	ham6	全部
冠	kɔn1	衣～
冠	kɔn5	～軍
冢	tsʰəŋ3	
冤	jyœn1	
冥	meŋ2	
冬	təŋ1	
冰	peŋ1	
冶	jɛ5	
冷	laŋ5	
准	tsun3	
凌	leŋ2	
凍	təŋ5	
凜	lim3	
几	ki1	
凡	van2	
凱	kʰɔi3	
凱	hɔi3	
凳	tan5	
凶	həŋ1	
凸	tut8	
凹	au1	
出	tsʰut7	
函	ham2	
刀	tau1	
刁	tiɛu1	
刃	ŋin6	
分	hun1	
切	tsʰœ6	歎詞，表不屑
切	tsʰiɛt7	～開
刊	hɔn1	
刎	mun3	
刑	heŋ2	
列	niɛt8	
初	tsʰɔ1	
判	pʰɔn5	
別	pʰiɛt8	
刨	pʰau2	
利	li6	
刪	san1	
刮	kat7	
到	tau5	
到	tsʰək8	
制	tsɛi5	
刷	tsʰat7	
刷	sat7	
券	kyœn3	
刺	tsʰi5	
刻	hat7	
剁	tɔ5	
剁	tɔk8	
剃	tʰɛi5	
則	tsat7	
削	ɬyœk7	
剌	la3	味道濃、刺激；皮膚受到刺激
前	tsʰiɛn2	
剎	sat7	
剔	tʰek7	
剛	kɔŋ1	
剝	pɔk7	
剝	mɔk7	
剩	seŋ6	
剪	tsiɛn3	
剮	ka3	
副	hu5	一～
副	hu6	～作用
割	kɔt7	
創	tsʰɔŋ5	
剷	tsʰan3	
剿	tsiɛu3	
劃	wak8	
劇	kʰiak8	
劈	pʰiak7	
劉	liu2	
劍	kiɛm5	
劏	tʰɔŋ1	
劑	tsɛi5	
劑	tsʰɛi6	
力	lek8	
功	kəŋ1	
加	ka1	
助	kɛ1	
助	tsʰɔ6	
努	nu3	
劫	kiɛp7	
勁	keŋ5	
勃	pʰɔt8	
勇	jəŋ3	
勉	miɛn5	
勒	lak8	
動	tʰəŋ6	
勘	ham1	
務	mu6	
勝	seŋ1	～任
勝	seŋ5	～利
勞	lau2	
募	mu6	
勢	sɛi5	
勤	kʰin2	
勳	hun1	
勵	lɛi6	
勸	hyœn5	
勺	sɔk8	
勻	jun2	
勾	kəø1	
勿	mɔt8	
包	pau1	
匆	tsʰəŋ1	
匈	həŋ1	
化	va5	
北	pat7	
匙	tsʰi2	湯～
匙	si2	
匠	tsyœŋ5	
匠	tsʰyœŋ6	
匣	hap8	
匪	vi3	
匯	wɔi6	
匹	pʰit7	
匾	piɛn3	
匿	nek7	
區	kʰi1	
區	kʰy1	
區	əø1	姓
十	sip8	
千	tʰɛi3	
千	tsʰiɛn1	
升	seŋ1	
午	ŋu3	
半	pɔn5	
卑	pi1	
卒	tsut7	
卓	tsʰɔk7	
協	hiɛp8	
南	nam2	
博	pɔk7	
卜	pək7	
占	tsiɛm1	
卡	kʰa3	
卡	kʰa9	
卦	ka5	
卯	mau5	
印	in5	
危	ŋui2	
即	tsek7	
卵	lɔn3	
卷	kyœn3	
卸	ɬɛ5	
卻	kʰyœk7	
卿	heŋ1	
厒	kʰap8	壓、夾
厓	ŋai2	
厚	həø6	
原	ŋyœn2	
原	jyœn2	
厭	jiɛm5	
厭	iɛt7	
厲	li6	
厲	lɛi6	
去	hi5	
厾	tək7	
參	tsʰam1	～加
參	sam1	人～
參	siɛm1	
叄	ɬam1	
又	tsʰi2	
又	tsʰi3	
又	tsʰi6	
又	ki1	
又	ki3	
又	ki5	
又	ŋi2	
又	ŋi3	
又	ŋi6	
又	hi1	
又	hi3	
又	ji2	
又	i3	
又	hu5	
又	kʰy5	
又	jy3	
又	kʰœ2	
又	kui1	
又	jiu3	
又	jiu6	
又	mau9	
又	hau3	
又	hau6	
又	man2	
又	ɔn5	
又	sɔŋ1	
又	tsyœŋ5	
叉	tsʰa1	
及	kʰip8	
友	jiu3	
友	jiu5	
反	van3	
叔	sək7	
取	tsʰy3	
叛	pʰɔn6	
叡	jui6	
叢	tsʰəŋ2	
古	ku3	
句	ki5	
句	ky5	
另	liaŋ6	
另	leŋ6	
叨	tau1	
叩	kʰəø5	
只	tsi3	
叫	kiɛu5	
召	tsʰiɛu6	
叭	pa1	
可	hɔ3	
史	sɛi3	
右	jiu6	
叵	pʰɔ3	
司	ɬi1	
叻	liak7	
叼	tiɛu1	
各	kɔk7	
合	kap7	組合
合	hap8	
吉	kit7	
吊	tiɛu5	
同	tʰəŋ2	
名	miaŋ2	姓名
名	meŋ2	～詞
后	həø6	
吏	li6	
吐	tʰu5	
向	hyœŋ5	
吒	tsa1	
君	kun1	
吞	tʰun1	
吟	ŋim2	
吟	ŋam2	
吠	vɛi6	
吠	pʰɔi5	
否	vəø3	
吧	pa1	
吧	pʰa1	語氣詞，表推測，相當於普通話的“吧”
吧	lɛ1	
含	ham2	
吳	ŋu2	
吵	tsʰau3	
吸	kʰip7	
吹	tsʰui1	
吻	mun3	
吾	ŋu2	
呂	li5	
呂	ly5	
呃	ŋak7	騙
呆	ŋɔi2	
呈	tsʰeŋ2	
告	kau5	
呔	tʰai1	領帶；輪胎
周	tsiu1	
呱	ka1	
味	mi6	
呵	hɔ1	
呼	hu1	
命	miaŋ6	人～
命	meŋ6	～令
咄	tsʰɔt7	騙
咈	vɛ2	
和	jɔ2	
咎	kʰiu6	
咐	hu5	
咐	hu6	
咒	tsiu5	
咧	lɛ1	
咨	tsi1	
咩	mɛ1	
咪	mi1	
咬	ŋau5	
咳	kat7	
咸	ham2	
咽	iɛn1	
哀	ɔi1	
品	pʰin3	
哄	həŋ3	
哇	wa1	
哈	ha1	
哈	ha3	語氣詞，表驚訝、疑問
員	jyœn2	
哥	kɔ1	
哨	sau5	
哪	nɛi3	哪裡，怎麼
哭	hək7	
哲	tsiɛt7	
哴	lɔŋ5	漱、洗
哽	kʰaŋ3	
哾	sɔt7	喝
唆	ɬɔ1	
唇	sun2	
唐	tʰɔŋ2	
唔	m2	表否定
售	siu6	
唯	wui2	
唰	sœ3	擬聲詞，表快速
唱	tsʰɔŋ5	
唵	am5	兒語，吃
唸	niɛm6	
啃	han3	
啄	tyœŋ1	
啄	tyœk8	砸
商	sɔŋ1	
啊	a1	
問	mɔn6	
啞	a3	
啟	kʰɛi3	
啤	pɛ1	～酒
啦	la1	
啱	ŋam1	
啼	tʰɛi2	
喂	ui5	
善	siɛn5	
喇	la3	～ 叭；～型：打扮不正經
喊	ham5	
喘	tsʰɔn3	
喚	wɔn6	
喜	hi3	
喝	hɔt7	
喧	hyœn1	
喪	ɬɔŋ1	～禮
喪	ɬɔŋ5	～失
喫	hiak7	
喬	kʰiɛu2	
單	pʰi5	
單	tan1	
單	siɛn6	姓
喻	jy6	
嗆	tsʰyœŋ5	
嗆	tsʰək8	
嗓	ɬɔŋ3	
嗜	si6	
嗝	ək8	打飽嗝
嗟	tsɛ1	
嗣	tsʰi6	
嗦	ɬɔ1	
嗩	ɬɔ3	
嗲	tɛ3	
嘆	tʰan5	
嘈	tsʰau2	
嘉	ka1	
嘔	əø3	
嘗	sɔŋ2	
嘜	mai1	麥克風
嘜	mɛi1	
嘟	tu1	
嘢	jɛ1	出糗
嘢	jɛ5	東西
嘥	sai1	浪費
嘥	sai2	牙～～：嬉皮笑臉
嘮	lau1	
嘴	tsui3	
噍	tsʰiɛu6	咀嚼
噎	iɛt7	
噏	hip7	
噓	hy1	
器	hi5	
噬	sɛi6	
噴	pʰun5	
噴	mun5	
噶	kɔt7	吞
噸	tun1	
嚇	hak7	
嚕	lu1	
嚙	ŋat7	
嚥	iɛn5	
嚴	ŋiɛm2	
囂	hiɛu1	
囉	lɔ1	～嗦
囊	nɔŋ2	
囑	tsək7	
囚	tsʰiu2	
四	ɬi5	
回	wɔi2	
因	in1	
囤	tʰun2	
囪	tsʰəŋ1	
困	kʰun5	
固	ku5	
圈	hyœn1	
國	kat7	
圍	wui2	
園	jyœn2	
圓	jyœn2	
圖	tʰu2	
團	tʰɔn2	
土	tʰu3	
在	tsʰɔi5	
在	tsʰɔi6	
圩	hy1	
圭	kui1	
地	tʰi6	
圳	tsun5	
址	tsi3	
均	kun1	
坍	tʰan1	
坐	tsʰɔ5	
坐	tsʰɔ6	
坑	haŋ1	
坡	pʰɔ1	
坤	kʰun1	
坦	tʰan3	
坪	pʰiaŋ2	
坪	pʰeŋ2	
坳	au1	
垂	tsʰui2	
垂	sui2	又
垃	lap8	
型	heŋ2	
型	jeŋ2	
垚	jiɛu2	
垮	kʰa3	
垻	pa5	
埃	ɔi1	
埃	tsəø5	
埋	mai2	
城	saŋ2	
城	seŋ2	
埔	pʰu5	
域	wek8	
埠	pʰu6	
執	tsip7	
執	tsap7	撿、抓；收拾
培	pʰɔi2	
基	ki1	
堂	tʰɔŋ2	
堅	kiɛn1	
堆	tui1	
堆	tɔi1	
堡	pau3	
堤	tɛi1	
堤	tʰɛi2	
堪	ham1	
堯	jiɛu2	
堰	iɛn5	
報	pau5	
場	tsʰɔŋ2	
堵	tu3	
塊	vai5	
塌	tʰap7	
塑	sɔk7	
塔	tap7	
塗	tʰu2	
塘	tʰɔŋ2	
塞	ɬat7	
塢	u1	
填	tʰiɛn2	
塵	tsʰin2	
境	keŋ3	
墅	ɬy6	
墊	tiɛn5	
墊	tʰiɛn6	
墓	mu6	
墜	tsʰui6	
增	tsan1	
墟	hi1	
墟	hy1	
墨	mat8	
墩	tun1	
墩	tun3	
墮	tʰɔ6	
墳	vun2	
墳	hun2	
墻	tsʰyœŋ2	
墾	han3	
壁	piak7	
壅	əŋ1	埋、掩蓋
壇	tʰan2	
壓	at7	
壕	hau2	
壘	lui5	
壞	wai6	
壟	ləŋ3	
壤	jyœŋ5	
壩	pa5	
士	sɛi6	
壬	ŋim2	
壯	tsɔŋ5	
壹	it7	
壽	siu6	
夏	ha6	
夕	tsʰek8	
外	ŋɔi6	
多	tɔ1	
夜	ja6	
夠	kəø5	
夢	məŋ6	
夥	vɔ3	
大	tʰai6	
天	tʰiɛn1	
太	tʰai5	
夫	hu1	
夭	jiɛu1	
央	jyœŋ1	
夯	hɔŋ1	
失	sit7	
夷	ji2	
夸	kʰa1	
夾	kap7	
奀	ŋan1	
奇	kʰi2	
奈	nɔi6	
奎	kʰui2	
契	kʰɛi5	
奔	pun1	
套	tʰau5	
奢	tsʰa1	
奧	au5	
奪	tʰɔt8	
奮	hun5	
女	jy3	
奴	nu2	
奶	nai5	
奸	kan1	
她	tʰa1	
好	hau3	～壞
好	hau5	喜～
如	jy2	
妃	vi1	
妄	mɔŋ6	
妊	ŋim6	
妒	tu5	
妓	kʰi6	
妖	jiɛu1	
妗	kʰim5	
妙	miɛu6	
妥	tʰɔ3	
妨	vɔŋ2	
妹	mɔi6	
妻	tsʰɛi1	
妾	tsʰiɛp7	
姆	mu5	
姊	tsi3	
始	tsʰi3	
姍	san1	
姐	tsɛ3	
姑	ku1	
姓	tsan1	
姓	ɬiaŋ5	
姓	ɬeŋ5	
委	ui3	
姜	kyœŋ1	
姣	hau2	
姦	kan1	
姨	ji2	
姪	tsʰit8	
姪	tsʰat8	
姪	tsʰiɛt8	
姻	in1	
姿	tsi1	
姿	jiɛn6	
威	ui1	
娉	pʰeŋ5	
娘	nyœŋ2	
娛	jy2	
娜	na2	
娟	kyœn1	
娠	sin2	
娩	miɛn5	
娶	tsʰi3	
娶	tsʰy3	
娼	tsʰɔŋ1	
婁	ləø2	
婆	pʰɔ2	
婉	jyœn3	
婊	piɛu3	
婚	hun1	
婦	hu5	
婧	tsʰeŋ6	
婭	a5	
婿	ɬɛi5	
媒	mɔi2	
媚	mi6	
媽	ma1	
嫁	ka5	
嫂	ɬau3	
嫉	tsʰit8	
嫌	hiɛm2	
嫖	pʰiɛu2	
嫡	tek7	
嫣	iɛn1	
嫦	sɔŋ2	
嫩	nɔn6	
嬉	hi1	
嬋	siɛm2	
嬌	kiɛu1	
嬤	ma2	奶奶
嬤	ma3	
嬪	pʰin2	
嬰	eŋ1	
嬲	nau1	生氣，惱怒
嬸	sim3	
孀	ɬɔŋ1	
孃	nyœŋ2	
子	tsi3	
子	tsu3	
孔	həŋ3	
孖	ma1	
字	tsʰi6	
存	tsʰun2	
孝	hau5	
孝	hau6	
孟	maŋ6	
季	kui5	
孤	ku1	
孥	nu2	
孩	hai2	
孫	ɬɔn1	
孬	nau1	
孭	mɛ1	揹，負擔
孭	mɛ3	
孵	pu1	
孵	hu1	
學	hɔk8	
孻	lai1	
它	tʰa1	
宅	tsʰak8	
宇	jy5	
守	siu3	
安	ɔn1	
宊	lut7	脫落、掉色；拋、甩
宋	ɬəŋ5	
完	wɔn2	
宏	waŋ2	
宕	tʰɔŋ6	
宗	tsəŋ1	
官	kɔn1	
宙	tsʰiu6	
定	tʰiaŋ6	～制
定	tʰeŋ6	一～
宛	jyœn3	
宜	ji2	
客	hak7	
宣	ɬyœn1	
室	sit7	
宦	wan6	
宮	kəŋ1	
宰	tsɔi3	
害	hɔi6	
宴	iɛn5	
宵	ɬiɛu1	
家	ka1	
容	jəŋ2	
宿	ɬək7	
寂	tsʰek8	
寄	ki5	
寅	jin2	
密	mit8	
富	hu6	
寍	neŋ2	
寐	mi6	
寒	hɔn2	
察	tsʰat7	
寡	ka3	
寢	tsʰim3	
寥	liɛu2	
實	sit8	
寧	neŋ2	
寧	neŋ6	
寨	tsʰai6	
審	sim3	
寫	ɬɛ3	
寬	vɔn1	
寬	kʰɔn1	
寵	tsʰəŋ3	～物
寶	pau3	
寸	tsʰɔn5	
寺	tsʰi6	
射	sa6	
將	tsyœŋ1	～軍
將	tsyœŋ5	大～
專	tsɔn1	
尊	tsɔn1	
尋	tsʰim2	
對	tui5	
對	tɔi5	
導	tʰau3	
導	tʰau6	
小	ɬiɛu3	
少	siɛu3	多～
少	siɛu5	～爺
尖	tsiɛm1	
尚	sɔŋ6	
尤	jiu2	
尬	kai5	
就	tsʰiu6	
尲	kam1	
尸	si1	
尺	tsʰak7	
尼	ni2	
尼	nɛi9	量詞，些、點兒
尾	mi5	
尿	niɛu6	
局	kək8	設局騙（錢）
局	kʰək8	
屁	pʰi5	
屄	hɛi1	陰部
居	ki1	
居	ky1	
屆	kai5	
屈	ut7	
屋	ək7	
屌	tiɛu3	
屍	si1	
屎	si3	
屏	pʰeŋ2	
屐	kʰiak8	
屑	ɬiɛt7	
展	tsiɛn3	
屙	ɔ1	
屜	tʰɛi5	
屠	tʰu2	
屢	ly6	
層	tsʰan2	
履	li5	
屬	sək8	
屯	tʰɔn2	
山	san1	
岋	ŋap7	台階、腳步
岑	sim2	
岔	tsʰa5	
岡	kɔŋ1	
岩	ŋam2	
岳	ŋɔk8	
岸	ŋɔn6	
峨	ŋɔ2	
島	tau3	
峽	hap8	
崇	ɬəŋ2	
崑	kʰun1	
崔	tsʰɔi1	
崗	kɔŋ1	
崙	lun2	
崩	pəŋ1	
崴	wai3	借自普通話
崽	tsɛi3	
嵇	kʰɛi1	
嵩	ɬəŋ1	
嶺	liaŋ5	
嶺	leŋ5	
嶽	ŋɔk8	
巔	tiɛn1	
川	tsʰɔn1	
州	tsiu1	
巡	tsʰun2	
巢	tsʰau2	
工	kəŋ1	
左	tsɔ3	
巧	hau3	
巧	kʰiɛu3	
巨	kʰy6	
巫	mu2	
差	tsʰa1	～不多
差	tsʰai1	
己	ki3	
已	ji5	
巴	pa1	
巷	hɔŋ6	
巷	hɔŋ9	
巾	kin1	
市	si5	
布	pu5	
帆	van2	
希	hi1	
帕	pʰa5	
帖	tʰiɛp7	
帚	tsiu3	
帛	pʰak8	
帝	tɛi5	
帥	sɔi5	
師	sɛi1	
席	tsʰek8	
帳	tsɔŋ5	
帶	tai5	
常	sɔŋ2	
帽	mau6	
帽	mau9	
幅	hək7	
幔	man6	
幢	tsʰɔŋ6	
幣	pʰɛi6	
幫	pɔŋ1	
干	na1	
干	kɔn1	
平	pʰiaŋ2	
平	pʰeŋ2	
年	niɛn2	
幸	haŋ6	
幹	kɔn5	
幻	wan6	
幼	jiu6	
幽	iu1	
幾	ki1	
幾	ki3	
庇	pi5	
牀	tsʰɔŋ2	
序	tsʰy6	
底	tɛi3	
店	tiɛm5	
庚	kaŋ1	
府	hu3	
度	tʰu6	
度	tɔk7	比較
座	tsʰɔ5	
座	tsʰɔ6	
庫	hu5	
庭	tʰiaŋ2	
庭	tʰeŋ2	
庰	piaŋ5	躲藏
庵	am1	
庶	sy5	
康	hɔŋ1	
庸	jəŋ1	
廁	tsʰi5	
廂	ɬyœŋ1	
廈	ha6	
廉	liɛm2	
廊	lɔŋ2	
廓	kʰɔk7	
廖	liɛu6	
廚	tsʰy2	
廝	ɬi1	
廟	miɛu6	
廠	tsʰɔŋ3	
廢	vɛi5	
廣	kɔŋ3	
廬	lu2	
廳	tʰiaŋ1	
延	jiɛn2	
廷	tʰiaŋ2	
廷	tʰeŋ2	
建	kiɛn5	
廿	ŋip8	
弄	nəŋ6	
弄	ləŋ6	
弊	pʰɛi6	
弎	ɬam1	
式	sek7	
弓	kəŋ1	
引	jin3	
弗	hut8	
弘	waŋ2	
弟	ti3	
弟	tʰɛi6	
弦	hiɛn2	
弩	nu5	
弱	ŋyœk8	
弱	jyœk8	
張	tsɔŋ1	
強	kʰyœŋ2	～大
強	kʰyœŋ3	勉～
彈	tʰan2	～琴
彈	tʰan6	子～
彎	wan1	
彙	wui6	
形	heŋ2	
彩	tsʰɔi3	
彪	piɛu1	
彬	pin1	
彭	pʰaŋ2	
彰	tsɔŋ1	
影	jiaŋ3	影子
影	jeŋ3	
彷	pʰɔŋ2	～徨
彷	vɔŋ3	～佛
役	jek8	
彼	pi3	
彿	hut7	
往	wɔŋ5	
征	tseŋ1	
待	tʰɔi6	
很	han3	
律	lut8	
後	həø6	
徐	tsʰi2	
徐	tsʰy2	
徑	keŋ5	
徒	tʰu2	
得	tat7	
徙	ɬai3	
徛	kʰi5	
從	tsʰəŋ2	～此
御	jy6	
復	hək8	～原
循	tsʰun2	
微	mi2	
徵	tseŋ1	
德	tat7	
徹	tsʰiɛt7	
徽	hui1	
心	ɬim1	
必	pit7	
忌	kʰi6	
忍	ŋin3	
志	tsi5	
忘	mɔŋ6	
忙	mɔŋ2	
忠	tsəŋ1	
忤	ŋu5	
快	vai5	
念	niɛm6	
忽	hut7	
忿	hun5	
怒	nu6	
怕	pʰa5	
怖	pu5	
思	ɬi1	
怠	tʰɔi6	
急	kip7	
性	ɬeŋ5	
怨	jyœn6	
怪	kai5	
恁	nam3	想，思考
恃	si6	
恆	haŋ2	
恐	həŋ3	
恕	sy5	
恢	vɔi1	
恤	sut7	
恤	ɬut7	
恥	tsʰi3	
恨	han6	
恬	tʰiɛm2	
恭	kəŋ1	
息	ɬek7	
恿	jəŋ3	
悄	tsʰiɛu1	
悉	ɬek7	
悔	vɔi3	
悟	ŋu6	
患	wan6	
悲	pi1	
情	tsʰeŋ2	
惘	mɔŋ2	
惜	tsʰiɛt7	
惜	ɬiak7	疼愛
惜	sek7	
惟	wui2	
惠	wui6	
惡	u5	可～
惡	ɔk7	～人
惦	tiɛm5	
惰	tʰɔ6	
惱	nau3	
想	ɬyœŋ3	
惹	ja5	
愁	ɬiu2	
愈	jy6	
愉	jy2	
意	i6	
愕	ŋɔk7	
愚	jy2	
愛	ɔi5	
感	kam3	
愧	kʰui5	
愫	ɬu5	
愷	kʰɔi3	
愷	hɔi3	
慈	tsʰi2	
態	tʰai5	
慌	vɔŋ1	
慎	sin6	
慕	mu6	
慘	tsʰam3	
慢	man6	
慣	kan5	
慧	wui6	
慨	kʰɔi5	
慫	ɬəŋ3	
慮	ly6	
慮	lui6	
慰	ui5	
慳	han1	
慳	kʰiaŋ6	
慵	jəŋ1	
慷	hɔŋ1	
慾	jək8	
憂	iu1	
憋	piɛt7	
憎	tsan1	
憐	liɛn2	
憤	hun5	
憧	tsʰəŋ1	
憨	ŋɔŋ6	
憫	min5	
憬	keŋ3	
憲	hiɛn5	
憶	ek7	
憾	ham6	
懂	təŋ3	
懇	han3	
懈	hai6	
應	eŋ1	～該
應	eŋ5	～聲
懦	nɔ6	
懵	məŋ3	
懶	lan5	
懷	wai2	
懸	jyœn2	
懼	ky5	
戈	kɔ1	
戈	kʰɔ1	
戍	sy5	
戍	sut7	
戎	jəŋ2	
成	saŋ2	一～，兩～
成	seŋ2	～功
我	ŋɔ3	
我	ŋɔi5	
我	ŋɔi9	我們
戒	kai5	
戚	tsʰek7	
戟	kʰiak7	刺激；絆、繞
截	tsiɛt7	
戮	lək8	
戲	hi5	
戴	tai5	
戶	hu6	
房	vɔŋ2	
所	sɔ3	
扁	piɛn3	
扇	siɛn5	
手	siu3	
才	tsʰɔi2	
扎	tsat7	
打	ta1	量詞，一～酒
打	ta3	動詞
托	tʰɔk7	
扣	kʰəø5	
扭	niu3	
扭	nəø3	算計，思考
扮	pʰan6	
扯	tsʰa3	
扳	pan1	
扳	pʰan1	摔、打
扶	pʰu2	
扶	hu2	
批	pʰɛi1	
扻	kʰam3	用手打
扽	tun5	
找	tsau3	
承	seŋ2	
技	kʰi6	
抄	tsʰau1	
把	pa3	
抐	nap7	捉住、逮著
抑	jek7	
抒	sy1	
抓	tsa1	
投	tʰəø2	
抖	təø3	
抗	hɔŋ5	
折	tsiɛt7	打～
折	siɛt8	～本
披	pʰi1	
抬	tʰɔi2	
抱	pʰau5	
抵	tɛi3	
抹	mat7	～乾淨
抹	mɔt8	～茶
押	ap7	
抽	tsʰiu1	
拄	tsy3	
拆	tsʰak7	
拇	mu3	
拈	niɛm1	
拉	lai1	
拋	pʰau1	
拌	pʰɔn6	
拌	kaŋ5	
拍	pʰak7	
拎	leŋ1	
拐	kai5	
拒	kʰy6	
拖	tʰɔ1	
拗	au3	～斷
拗	au5	～交
拘	ki1	
拘	ky1	
拙	tsɔt7	
招	tsiɛu1	
拜	pai5	
括	kat7	
括	kʰɔt7	
拯	tsʰeŋ3	
