#漢字	音標	解釋
㞎	pɔ3	屎～～
佐	tso3	
體	tʰi3	
何	xo2	
佘	sɘi2	
余	ʑi2	
佛	fʉ2	
你	ni3	
佣	ʑiõ4	
佩	pʰɘi4	
佳	tɕiɔ1	
併	pĩ4	
使	sɿᵊ3	
侃	kʰuɐ̃3	白
例	li4	
侍	sɿᵊ4	
供	kõ1	
供	kõ4	
依	ʑi1	
偵	tsɐ̃1	
侮	vʉ3	
侵	tsĩ1	
便	pʰiɛ2	～宜
便	piɛ4	方～
俄	ɣo2	
俊	tsĩ4	
俏	tɕʰiɑ4	
俑	ʑiõ3	
俗	sʉ2	
保	pɑ3	
俞	ʑi2	
信	sĩ4	
儉	tɕiɛ3	
修	ɕiɘ1	
俯	fʉ3	
俱	tɕi1	
俸	fõ4	
倌	kuɐ̃1	
倍	pɘi4	
倒	tɑ3	颠～
倒	tɑ4	～水
候	xɘ˞2	
候	xɘ˞4	
借	tɕi4	
倡	tsʰã1	
倦	tɕiɛ4	
倪	ni2	
倭	ɣo1	
倯	sõ2	
債	tsᴀ4	
傾	tsʰĩ3	
假	tɕiɔ3	
偏	pʰiɛ1	
做	fã3	
做	tso4	
停	tʰĩ2	
偶	ɣɘ˞3	
偷	tʰɘ˞1	
償	sã3	
傀	kʰuɘi3	
傅	fʉ4	
傍	pʰã2	～边；～晚
傢	tɕiɔ1	
催	tʃʰuɘi1	
傲	ɣɑ4	
像	tɕʰiã4	
僧	sɐ̃1	
僵	tɕiã1	
僻	pʰi2	
儒	zʉ3	
儒	zʉ4	～家
儡	luɘi3	
兒	ɣɯ˞2	
允	zĩ3	
元	ʑiɛ2	
兄	ɕiõ1	
充	tsʰõ1	
兆	tsɑ4	
先	tɕʰiɛ1	～走
先	ɕiɛ1	～生
光	kuã1	
克	kʰɘi2	
免	miɛ3	
兔	tʰʉ4	
黨	tã3	
兜	tɘ˞1	
入	zɿᵊ2	白
入	zʉ2	
全	tɕʰiɛ2	
八	pɔ2	
公	kõ1	
蘭	lã2	
共	kõ4	
關	kuɐ̃1	
興	sĩ1	～旺
興	sĩ4	高～
兵	pĩ1	
其	tɕʰi2	
具	tɕi4	
典	tiɛ3	
養	ʑiã3	
兼	tɕiɛ1	
獸	sɘ˞4	
冀	ʑi4	
內	nuɘi4	
岡	kã1	
冊	tsʰɘi2	
再	tsᴀ4	
冒	mɑ4	
冗	zõ2	
寫	ɕi3	
軍	tsĩ1	
農	nõ2	
冠	kuɐ̃1	衣～
冠	kuɐ̃4	～军
冤	ʑiɛ1	
冥	mĩ2	
冬	tõ1	
馮	fõ2	
冰	pĩ1	
冲	tsʰõ1	
冲	tsʰõ4	
决	tɕi2	
况	kʰuã4	
冷	lɐ̃3	
凍	tõ4	
淨	tsĩ4	
準	tsõ3	
凉	liã2	
凌	lĩ2	
減	tɕiɛ3	
凛	lĩ3	
凝	nĩ2	
几	tɕi1	
几	tɕi3	～个人
凡	fã2	
鳳	fõ4	
凭	pʰĩ2	
凱	kʰᴀ3	
凳	tɐ̃4	
凶	ɕiõ1	
出	tsʰʉ2	
函	xã2	
鑿	tso2	
刀	tɑ1	
刁	tiɑ1	
刃	zɐ̃3	
分	fɐ̃1	
分	fɐ̃4	水～
切	tɕʰi2	
刊	kʰã1	
刎	vɐ̃3	
刑	sĩ2	
划	xuɔ2	～船
划	xuɔ4	计～
列	li2	
劉	liɘ2	
則	tsɘi2	
剛	kã1	
創	tʃʰuã4	
初	tsʰʉ1	～中
初	tsʰo1	～ー
刪	sã1	
判	pʰã4	
刨	pʰɑ2	
利	li4	
别	pi2	
刮	kuɔ2	
到	tɑ4	
刷	ʃuɔ2	
券	tɕiɛ4	
刺	tsʰɿᵊ4	
刻	kʰɘi2	
劊	kʰuᴀ4	～子手
剁	to4	
劑	tɕi4	
剃	tʰi4	
削	ɕio2	
前	tɕʰiɛ2	
剮	kuɔ3	
劍	tɕiɛ4	
剔	tʰi1	
剖	pʰo3	
剟	to2	
剝	po2	
剩	sɐ̃4	
剪	tɕiɛ3	
副	fʉ4	
割	ko2	
剿	tɕiɑ3	
勸	tɕʰiɛ4	
辦	pã4	
加	tɕiɔ1	
務	vʉ4	
劣	li2	
動	tõ4	
助	tsʉ4	
努	nʉ3	
劫	tɕi2	
勵	li4	
勁	tsĩ4	
勞	lɑ2	
勃	pʰʉ2	
勇	ʑiõ3	
勉	miɛ3	
勋	sĩ1	
勒	lɘi2	
勘	kʰã1	
募	mo4	
勤	tsʰĩ2	
勺	so2	
勾	kɘ˞1	
勻	zĩ2	
包	pɑ1	
匈	ɕiõ1	
化	xuɔ4	
北	pɘi2	
匙	sɿᵊ1	钥～
匠	tɕiã4	
匡	kʰuã1	
匪	fɘi3	
匹	pʰi1	
區	tɕʰi1	
醫	ʑi1	
匾	piɛ3	
十	sɿᵊ2	
千	tɕʰiɛ1	
升	sɐ̃1	
午	vʉ3	
半	pã4	
華	xuɔ2	
協	ɕi2	
卒	tsʉ2	
卓	tso2	
單	tã1	～薄
單	sã4	姓
賣	mᴀ4	
南	nã2	
博	po2	
卜	pʰʉ2	
占	tsã1	～卜
占	tsã4	
卡	kʰɔ3	
盧	lʉ2	
卤	lʉ3	
卦	kuɔ4	
臥	ɣo4	
衛	uɘi4	
卯	mɑ3	
印	zĩ4	
危	uɘi2	
即	tɕi2	
卻	tɕʰio2	
卵	luɐ̃3	
卷	tɕiɛ4	
卸	ɕi4	
卿	tsʰĩ1	
廠	tsʰã3	
廳	tʰĩ1	
厲	li4	
壓	ʑiɔ2	
厭	ʑiɛ4	
厘	li2	
厚	xɘ˞4	
原	ʑiɛ2	
廂	ɕiã1	
厦	sɔ3	偏～
去	tɕʰi4	文
去	kʰɘi4	白
縣	ɕiɛ4	
参	sɐ̃1	人～
参	tsʰã1	～加
又	ʑiɘ4	
叉	tsʰɔ1	
及	tɕi2	
友	ʑiɘ3	
雙	ʃuã1	
反	fã3	
发	fɔ2	
叔	sʉ2	
取	tɕʰi3	
受	sɘ˞4	
變	piɛ4	
敘	ɕi4	
叛	pʰã4	
疊	ti2	
口	pʰᴀ3	两臂左右平伸，两手之间的距离
口	kʰɘ˞3	
口	tʃʰuᴀ4	恶
古	kʉ3	
句	tɕi4	
另	lĩ4	
叨	tɑ1	
叩	kʰɘ˞4	
叫	tɕiɑ4	
召	tsɑ4	
叮	tĩ1	
可	kʰo3	
台	tʰᴀ2	
史	sɿᵊ3	
右	ʑiɘ4	
葉	ʑi2	
號	xɑ4	
司	sɿᵊ1	
嘆	tʰã4	
叼	tiɑ1	
吁	ɕi1	喘～～
吃	tsʰɿᵊ2	
各	ko2	
吆	ʑiɑ1	
合	ko2	十～一升
合	xo2	
吉	tɕi2	
吊	tiɑ4	
同	tʰõ2	
名	mĩ2	
后	xɘ˞4	
吏	li4	
吐	tʰʉ3	一痰
吐	tʰʉ4	呕～
向	ɕiã4	
吕	luɘi3	
君	tsĩ1	
吝	lĩ4	
吞	tʰõ1	
吟	nĩ2	
吠	fɘi4	
否	fɘ˞3	
含	xã2	
听	tʰĩ1	～课
听	tʰĩ4	～任
吭	kʰɐ̃1	
启	tɕʰi3	
吴	vʉ2	
吵	tsʰɑ3	
吸	ɕi2	
吹	tʃʰuɘi1	
吺	nɘ˞4	啰嗦
吻	vɐ̃3	
吼	xɘ˞3	
吾	vʉ2	
呃	ɣɘi2	
呆	tᴀ1	
告	kɑ4	
嘔	ɣɘ˞3	
員	ʑiɛ2	
嗆	tɕʰiã4	
嗚	mĩ2	
呢	ni2	
周	tsɘ˞1	
味	vɘi4	
呵	xɔ1	打～欠
呻	sɐ̃1	
呼	xʉ1	
命	mĩ4	
和	xo2	
咒	tsɘ˞4	
咖	kʰɔ1	
嚨	lõ1	
咧	lᴀ3	龇牙～嘴
咪	mi1	
咬	ʑiɑ3	
咳	kʰɘi2	
咸	ɕiɛ2	
哀	ɣᴀ1	
品	pʰĩ3	
哄	xõ3	
哆	to1	
哇	uɔ2	
哈	xɔ1	
響	ɕiã3	
啞	ʑiɔ3	
哥	ko1	
哨	sɑ4	
哩	li1	
哪	nɘi3	～个
哭	kʰʉ2	
哼	xɐ̃1	
哽	kɐ̃3	
唆	so1	
唉	ɣᴀ1	
唐	tʰã2	
嘮	lɑ2	
喚	xuɐ̃4	
售	sɘ˞4	
唯	vɘi2	
唱	tsʰã4	
啃	kʰɐ̃3	
商	sã1	
囉	lo1	
啼	tʰi2	
喂	uɘi4	
善	sã4	
喉	xɘ˞2	
喊	xã3	
喏	no1	睡～～
喘	tʃʰuɐ̃3	
喜	ɕi3	
喝	xo1	
喵	miɑ1	
噴	pʰɐ̃1	～水
噴	pʰɐ̃4	～噬
喻	ʑi4	
嘍	lɘ˞1	
嗅	ɕiɘ4	
嗑	kʰo4	～瓜子
嗓	sã3	
嗜	sɿᵊ4	
嗡	ɣõ1	
嗣	sɿᵊ4	
嗤	tsʰɿᵊ1	
嗨	xᴀ1	
嗽	sɘ˞4	
嘉	tɕiɔ1	
噓	ɕi1	
囑	tsʉ2	
嘴	tʃuɘi3	
嘻	ɕi1	
嘿	xɘi1	
噎	ʑi2	
器	tɕʰi4	
嚎	xɑ2	
嚓	tsʰɔ3	
囂	ɕiɑ1	
嚷	zã3	
嚼	tɕio2	
嚼	tɕiɑ2	～筋：小气
囊	nã2	
囚	tɕʰiɘ2	
四	sɿᵊ4	
回	xuɘi2	
囟	sĩ4	～门儿
因	zĩ1	
囡	nʉ1	
团	tʰuɐ̃2	
囤	tʰõ2	
園	ʑiɛ2	
困	kʰõ4	
囱	tsʰõ1	
圍	uɘi2	
固	kʉ4	
國	kuɘi2	
圖	tʰʉ2	
圓	ʑiɛ2	
圈	tɕʰiɛ1	圆～
圈	tɕiɛ4	牛～
土	tʰʉ3	
聖	sɐ̃4	
在	tsᴀ4	
地	ti4	
場	tʰi2	
場	tsʰã2	
均	tsĩ1	
坎	kʰã3	
壞	xuᴀ4	
坐	tso4	
坑	kʰɐ̃1	
塊	kʰuᴀ3	
堅	tɕiɛ1	
壩	pɔ4	
墳	fɐ̃2	
墜	tʃuɘi4	
坡	pʰo1	
坤	kʰõ1	
坦	tʰã3	
坨	tʰo2	
坪	pʰĩ2	
坯	pʰi1	打～子
垂	tʃʰuɘi2	
壟	lõ3	
型	sĩ2	
垒	luɘi3	
墾	kʰɐ̃3	
墊	tiɛ4	
垮	kʰuɔ3	
埂	kɐ̃3	
埄	pʰõ1	
埋	mᴀ2	
城	tsʰɐ̃2	
域	zʉ2	
培	pʰɘi2	
基	tɕi1	
堂	tʰã2	
堆	tuɘi1	
堡	pɑ3	
堤	tʰi2	
堪	kʰã1	
堰	ʑiɛ4	
堵	tʉ3	
塃	xuã1	
塌	tʰɔ2	
塑	sʉ4	
塔	tʰɔ2	
塘	tʰã2	
塞	sɘi2	
填	tʰiɛ2	
境	tsĩ3	
墓	mo4	
牆	tɕʰiã2	
增	tsɐ̃1	
墨	mɘi2	
墩	tõ1	
壕	xɑ2	
壤	zã3	
士	sɿᵊ4	
壬	zɐ̃2	
壯	tʃuã4	
聲	sɐ̃1	
殼	kʰo2	
壺	xʉ2	
處	tsʰʉ3	相～
處	tsʰʉ4	所
備	pi4	
复	fʉ2	
夏	ɕiɔ4	
夕	ɕi2	
外	uᴀ4	
多	to1	
夜	ʑi4	
够	kɘ˞4	
大	tɔ4	
天	tʰiɛ1	
太	tʰᴀ4	
夫	fʉ1	
夭	ʑiɑ1	
央	ʑiã1	
夯	xã1	
失	sɿᵊ2	
頭	tʰɘ˞2	
夷	ʑi2	
夸	kʰuɔ1	
夾	tɕiɔ2	
奪	to2	
奐	xuɐ̃4	
奈	nᴀ4	
奉	fõ4	
奮	fɐ̃4	
奎	kʰuɘi2	
奏	tsɘ˞4	
契	tɕʰi4	
奓	tsɔ1	～开嘴
奔	pɐ̃1	
獎	tɕiã3	
套	tʰɑ4	
奢	sɘi1	
奧	ɣɑ4	
女	ni3	
奴	nʉ2	
奶	nᴀ1	阿～
奶	nᴀ3	
奸	tɕiɛ1	
好	xɑ3	～坏
好	xɑ4	爱～
如	zʉ2	
妃	fɘi1	
妄	vã4	
妝	tʃuã1	
婦	fʉ4	
媽	mɔ1	
妒	tʉ4	
妓	tɕi4	
妖	ʑiɑ1	
妙	miɑ4	
妞	niɘ1	
妥	tʰo3	
妨	fã2	
妹	mɘi4	
妻	tɕʰi1	
妾	tɕʰi2	
始	sɿᵊ3	
姐	tɕi3	
姑	kʉ1	
委	uɘi3	
姘	pʰĩ1	
姚	ʑiɑ2	
姜	tɕiã1	
姨	ʑi2	
姻	zĩ1	
威	uɘi1	
娃	uɔ2	
嬌	tɕiɑ1	
娘	niã2	
娛	ʑi2	
娶	tɕʰi3	
婆	pʰo2	
婊	piɑ3	
婚	xõ1	
婢	pɘi4	
嬰	zĩ1	
嬸	sɐ̃3	
婷	tʰĩ2	
媒	mɘi2	
媚	mɘi4	
媳	ɕi2	
嫁	tɕiɔ4	
嫂	sɑ3	
嫌	ɕiɛ2	
嫑	piɑ4	
嫖	pʰiɑ2	
嫩	nõ4	
孃	niã1	
孔	kʰõ3	
孕	zĩ4	
存	tsʰõ2	
孫	sõ1	
孝	ɕiɑ4	
孟	mõ4	
季	tɕi4	
孤	kʉ1	
學	ɕio2	
孩	xᴀ2	
孵	fʉ2	
孽	ni2	
寧	nĩ2	
寧	lĩ2	
宅	tsɘi2	
宇	ʑi3	
守	sɘ˞3	
安	ɣã1	
完	uɐ̃2	
宏	xõ2	
宗	tsõ1	
官	kuɐ̃1	
官	kõ1	
宙	tsɘ˞4	
定	tĩ4	
宜	ni2	
寶	pɑ3	
實	sɿᵊ2	
寵	tsʰõ3	
審	sɐ̃3	
客	kʰɘi2	
宣	ɕiɛ1	
室	sɿᵊ2	
宦	xuɐ̃4	
宪	ɕiɛ4	
宰	tsᴀ3	
害	xᴀ4	
宴	ʑiɛ4	
宵	ɕiɑ1	
家	tɕi1	白
家	tɕiɔ1	
容	ʑiõ2	
寬	kʰuɐ̃1	
賓	pĩ1	
宿	sʉ2	
宿	sʉ2	～舍
宿	ɕiɘ4	星～
寄	tɕi4	
寅	zĩ2	
密	mi2	
富	fʉ4	
寒	xã2	
寓	ʑi4	
寢	sĩ3	
察	tsʰɔ2	
寡	kuɔ3	
寨	tsᴀ4	～子
寸	tsʰõ4	
對	tuɘi4	
寺	sɿᵊ4	
尋	sĩ2	
導	tɑ4	
壽	sɘ˞4	
封	fõ1	
射	sɘi4	
將	tɕiã1	～要
將	tɕiã4	大～
尊	tsõ1	
小	ɕi3	～儿；～老二
小	ɕiɑ3	大～
少	sɑ3	多～
少	sɑ4	～年
尔	ɣɯ˞3	
尖	tɕiɛ1	
尘	tsʰɐ̃2	
尚	sã4	
嘗	tsʰã2	
尤	ʑiɘ2	
堯	ʑiɑ2	
尬	kɔ4	
就	tɕiɘ4	
屍	sɿᵊ1	
尹	zĩ3	
尼	ni2	
尽	tsĩ4	
尾	vɘi3	
尿	ʃuɘi1	
尿	niɑ4	文
局	tsʉ2	
屁	pʰi4	
層	tsʰɐ̃2	
屄	pi1	
居	tɕi1	
屉	tʰi1	抽～
屆	kᴀ4	
屋	vʉ2	
屌	tiɑ3	蛋
屎	sɿᵊ3	
屏	pʰĩ2	
展	tsã3	
屙	ɣo1	
屬	tsʉ2	
屬	sʉ2	
屠	tʰʉ2	
屢	luɘi3	
屨	li3	
屯	tʰõ2	
山	sɔ1	～药
山	sã1	
歲	ʃuɘi4	
豈	tɕʰi3	
岑	tsʰɐ̃3	羞
岔	tsʰɔ3	～巴：爱岔嘴的人
岔	tsʰɔ4	
崗	kã1	
島	tɑ3	
岩	ɣᴀ2	
岭	lĩ3	
岳	ʑio2	
岸	ɣã4	
峯	fõ1	
崇	tsʰõ2	
崔	tʃʰuɘi1	
崖	ɣᴀ2	
崩	pɐ̃1	
崴	uᴀ3	
嵌	tɕʰiɛ4	
嵩	sõ1	
巍	uɘi1	
川	tʃʰuɐ̃1	
州	tsɘ˞1	
巡	sĩ2	
巢	tsʰɑ2	
工	kõ1	
左	tso3	
巧	tɕʰiɑ3	
巨	tɕi4	
鞏	kõ3	
巫	vʉ1	
差	tsʰɔ1	～别
差	tsʰᴀ1	出～
已	tɕi3	
已	ʑi3	
已	sɿᵊ4	
巴	pɔ1	
巷	xã4	
巾	tsĩ1	
幣	pi4	
市	sɿᵊ4	
布	pʉ4	
帥	ʃuᴀ4	
帆	fã2	
師	sɿᵊ1	
希	ɕi1	
帳	tsã4	
帕	pʰɔ4	
帖	tʰi2	
帘	liɛ2	
帚	tsʉ3	
帛	pɘi2	
帝	ti4	
帶	tᴀ4	
席	ɕi2	
幫	pã1	
常	tsʰã2	
帽	mɑ4	
幅	fʉ2	
幕	mo4	
干	kã1	～燥
干	kã4	
平	pʰĩ2	
年	niɛ2	
并	pĩ4	
幸	sĩ4	
幺	ʑiɑ1	～二三
幻	xuɐ̃4	
幼	ʑiɘ4	
幽	ʑiɘ1	
廣	kuã3	
莊	tʃuã1	
慶	tsʰĩ4	
牀	tʃʰuã2	
序	ɕi4	
廬	lʉ2	
庫	kʰʉ4	
應	zĩ4	
底	ti3	
店	tiɛ4	
廟	miɑ4	
庚	kɐ̃1	
府	fʉ3	
龐	pʰã2	
廢	fɘi4	
度	tʉ4	
座	tso4	
庭	tʰĩ2	
庵	ɣã1	
庶	sʉ4	
康	kʰã1	
庸	ʑiõ1	
廊	lã2	
廓	ko2	
廖	liɑ4	
延	ʑiɛ2	
廷	tʰĩ2	
建	tɕiɛ4	
開	kʰᴀ1	
异	ʑi4	
弃	tɕʰi4	
弄	lõ4	
弊	pi4	
弓	kõ1	
引	zĩ3	
弟	ti4	
張	tsã1	
弥	mi2	
弦	ɕiɛ2	
弩	nʉ3	
彎	uɐ̃1	
弱	zo2	
彈	tʰã2	～琴
彈	tã4	子～
强	tɕʰiã2	
彀	kɘ˞4	往上～
歸	kuɘi1	
當	tã1	～面
當	tã4	～作
录	lʉ2	
形	sĩ2	
彤	tʰõ2	
彪	piɑ1	
彬	pĩ1	
影	zĩ3	
彼	pi3	
往	uã3	
征	tsɐ̃1	
待	tᴀ4	
很	xɐ̃3	
律	li2	
徐	ɕi2	
徒	tʰʉ2	
得	tɘi2	
御	ʑi4	
循	sĩ2	
微	mi1	白
微	vɘi2	
德	tɘi2	
徽	xuɘi1	
心	sĩ1	
必	pi2	
忌	tɕi4	
忍	zɐ̃3	
忘	vã2	
忙	mã2	
忠	tsõ1	
快	kʰuᴀ4	
念	niɛ4	
忽	xʉ2	
懷	xuᴀ2	
態	tʰᴀ4	
慫	sõ3	
慪	ɣɘ˞4	
怎	tsɐ̃3	
怒	nʉ4	
怕	pʰɔ4	
怖	pʉ4	
憐	liɛ2	
思	sɿᵊ1	
急	tɕi2	
性	sɐ̃1	
怨	ʑiɛ4	
怪	kuᴀ4	
總	tsõ3	
恁	ni4	
戀	liɛ4	
恐	kʰõ3	
恆	xɐ̃2	
恕	sʉ4	
恢	xuɘi1	
恤	ɕi2	
恨	xɐ̃4	
恩	ɣɐ̃1	
恭	kõ1	
息	ɕi2	
恰	tɕʰiɔ2	
懇	kʰɐ̃3	
恶	ɣo2	凶～
恶	vʉ4	可～
惱	nɑ3	
恿	ʑiõ3	
悉	ɕi2	
悔	xuɘi3	
悟	vʉ2	
悟	vʉ4	
悠	ʑiɘ1	
患	xuɐ̃4	
悅	ʑi2	
懸	ɕiɛ2	
憫	mĩ3	
悲	pɘi1	
驚	tsĩ1	
惑	xuɘi2	
惜	ɕi2	
惟	vɘi2	
惠	xuɘi4	
慘	tsʰã3	
懲	tsʰɐ̃3	
慣	kuɐ̃4	
惰	to4	
想	ɕiã3	
惶	xuã2	
惹	zɘi3	
愁	tsʰɘ˞2	
愉	ʑi2	
感	kã3	
愣	lɐ̃4	
憤	fɐ̃4	
愧	kʰuɘi4	
願	ʑiɛ4	
慈	tsʰɿᵊ2	
慌	xuã1	
慕	mo4	
慢	mã4	
慧	xuɘi4	
慰	uɘi4	
慷	kʰã3	
憎	tsɐ̃1	
憨	xã1	
懂	tõ3	
懊	ɣɑ4	
懶	lã3	
懵	mõ3	
戍	sʉ2	
戍	vʉ4	
戎	zõ2	
戲	ɕi4	
成	tsʰɐ̃2	
我	ɣo3	
戒	kᴀ4	
或	xuɘi2	
戰	tsã4	
戥	tɐ̃3	～子
截	tɕi2	
戳	to2	
戴	tᴀ4	
戶	xʉ4	
房	fã2	
所	so3	
扁	piɛ3	
扇	sã4	
手	sɘ˞3	
才	tsʰᴀ2	
扎	tsɔ2	
扑	pʰʉ2	
扒	pɔ1	用手～
扒	pʰɔ2	～手
打	tɔ2	一～
打	tɔ3	
打	tĩ4	白
扔	zɐ̃1	
托	tʰo2	
扚	ti2	～头发
扛	kʰã2	
扣	kʰɘ˞4	
捫	mɐ̃2	
掃	sɑ3	～地
掃	sɑ4	～帚
揚	ʑiã2	
扭	niɘ3	
扮	pã4	
扯	tsʰɘi3	
擾	zɑ3	
扳	pã1	
扶	fʉ2	
批	pʰi1	
扼	ɣɘi2	
找	tsɑ3	
承	sɐ̃2	
技	tɕi4	
抄	tsʰɑ1	
把	pɔ3	一～刀
把	pɘi3	介词：～门关好
把	pɔ4	刀～
抓	tʃuɔ1	
投	tʰɘ˞2	
抖	tɘ˞3	
抗	kʰã4	
撫	fʉ3	
抛	pʰɑ1	
摳	kʰɘ˞1	
摳	ɣɘ˞1	～黄鳝
搶	tɕʰiã3	
護	xʉ4	
報	pɑ4	
披	pʰi1	
抬	tʰᴀ2	
抱	pɑ4	
抵	ti3	
抹	mɔ2	～布
抹	mo3	
抻	tsʰɐ̃1	
押	ʑiɔ2	
抽	tsʰɘ˞1	
抿	mĩ3	
拂	fʉ2	
拃	tsɔ3	一～长
拄	tsʰʉ3	～拐棍
拄	tsʉ4	
擔	tã1	～心
擔	tã4	一～水
拆	tsʰɘi2	
拇	mʉ3	
拈	niɛ1	～起来
拉	lɔ1	
拌	pã4	
拍	pʰɘi2	
拎	lĩ1	
拐	kuᴀ3	说～了
拒	tɕi4	
拓	tʰo2	
拔	pɔ2	
拖	tʰo1	
拗	niɘ4	
拘	tɕi1	
招	tsɑ1	
拜	pᴀ1	
拜	pᴀ4	
攏	lõ3	
揀	tɕiɛ3	
拤	kʰɔ1	
擁	ʑiõ3	
攔	lã2	
撥	po2	
擇	tsʰɘi2	
括	kuɔ2	
拯	tsɐ̃3	
拱	kõ3	
拳	tɕʰiɛ2	
拴	ʃuɐ̃1	
拼	pʰĩ1	
拽	tʃuᴀ3	
拾	sɿᵊ2	
拿	nɔ2	
持	tsʰɿᵊ2	
按	ɣã4	
挑	tʰiɑ1	
挖	uɔ1	
挖	uɔ2	打人
掗	ʑiɔ1	～饭
挾	tɕiɔ2	
擋	tã3	
掙	tsɐ̃4	
擠	tɕi3	
擠	tɕi4	
揮	xuɘi1	
挨	ɣᴀ1	
挪	no2	
振	tsɐ̃4	
挺	tʰĩ3	
挽	vã3	
捅	tʰõ3	
捆	kʰõ3	
捉	tsʉ2	～猫～人
捎	sɑ1	
捏	ni2	
捐	tɕiɛ1	
捕	pʉ3	
撈	lɑ1	
撈	lɑ2	打～
損	sõ3	
換	xuɐ̃4	
捧	pʰõ3	
捨	sɘi3	
捱	ɣᴀ2	
捲	tɕiɛ3	
捷	tɕi2	
捺	nɔ4	
掀	ɕiɛ1	
掂	tiɛ1	
授	sɘ˞4	
掉	tiɑ4	
掌	tsã3	
掏	tʰɑ1	
掐	tɕʰiɔ1	～脖子
掐	tɕʰiɔ2	
排	pʰᴀ2	
掛	kuɔ4	
掠	lio2	
採	tsʰᴀ3	
探	tʰã4	
接	tɕi2	
控	kʰõ4	
推	tʰuɘi1	
掩	ʑiɛ3	
措	tsʰo4	
掭	tʰiɛ4	
擄	lʉ3	～松毛
摑	kuɔ2	
撣	tã3	
摜	kuɐ̃4	
揉	zɘ˞2	
描	miɑ2	
提	tʰi2	
插	tsʰɔ2	
揖	ʑi2	作～
揞	ɣã4	
握	ɣo2	
揣	tʃʰuᴀ1	～进去
揣	tʃʰuᴀ3	～摸
揩	kʰᴀ1	～干净
揪	tɕiɘ1	
揭	tɕi2	
攙	tsʰã1	
擱	ko2	
摟	lɘ˞3	
攪	tɕiɑ3	
攪	lã3	
搊	tsʰɘ˞1	～上去
搌	tsã3	
