#漢字	音標	解釋
炊	tɕʰy	tɕʰy炊煙
炊	tsʰue	tsʰue炊事班
炎	iẽ	
炒	tsʰɐɯ	
炕	kʰɔ̃	
炙	tsɐʔ	
炭	tʰã	
炮	pʰɐɯ	
炸	tsa	
爲	ue	
爲	uɐi	
烈	liɐʔ	
烏	uə	
烘	xoŋ	
烙	lɐʔ	
烤	kʰɐɯ	
烹	pʰæ̃	
焉	iẽ	
焚	fæ̃	
焚	væ̃	
無	vuə	vuə無常鬼
無	muə	muə無（没有）
無	mɐɯ	敲南無mɐɯ（木鱼）
無	mo	南無mo阿弥陀佛
無	uə	uə無聊
焦	tɕiɐɯ	
焰	iẽ	
然	ʑiẽ	
然	iẽ	
煉	liẽ	
煎	tɕiẽ	
煙	iẽ	
煠	zɐʔ	烫、煮
煥	xuã	
照	tɕiɐɯ	
煨	uɐi	
煩	vã	
煩	fab	
煮	tɕye	tɕye煮粉
煮	iẽ	iẽ煮粥
熄	seʔ	
熄	ɕiɐʔ	
熊	ɦioŋ	
熏	xioŋ	xioŋ熏火
熏	kʰioŋ	煙熏kʰioŋ
熏	kʰoŋ	kʰoŋ熏蚊蟲
熏	ɕioŋ	ɕioŋ薰衣草
熏	tsʰəɯ	tsʰəɯ熏豆腐
熔	ioŋ	
熙	xi	
熟	ʑioʔ	ʑioʔ熟透
熟	dʑiɐʔ	dʑiɐʔ熟年
熨	ioŋ	ioŋ熨斗
熨	yɐʔ	yɐʔ熨帖（妥當、妥帖、好）
熬	ŋɐɯ	
熱	ȵiɐʔ	
燃	ʑiẽ	
燃	iẽ	
燈	tɪŋ	
燈	tæ̃	
燈	tɪŋ	板龍燈tɪŋ(舞橋燈)
燈	tæ̃	舞龍燈tæ̃
燎	liɐɯ	
燒	ɕiɐɯ	
燕	iẽ	
燕	iẽ	iẽ燕兒
燙	tʰɔ̃	
營	ioŋ	
燥	tsɐɯ	tsɐɯ燥熱
燥	sɐɯ	乾燥sɐɯ
燦	tsʰã	
燭	tɕiɐʔ	
爆	pɐɯ	
爊	ɐɯ	
爐	luə	
爛	lã	
爪	tsɐɯ	
爬	ba	ba爬山
爬	bie	bie爬上
爭	tsɪŋ	
爭	tsæ̃	
爵	tɕiɐʔ	
爵	tɕyɐʔ	
父	vuə	vuə父親大儂
父	uə	師父uə
爸	pa	
爹	tie	
爺	ye	老爺ye（義父、乾爹）
爺	ie	老天爺ie大爺ie
爽	ɕiɔ̃	ɕiɔ̃爽快
爽	sɔ̃	清爽sɔ̃
爾	ŋ	
爾	ȵi	
爾	ʑi	
牆	ʑiã	
片	pʰiẽ	
版	pã	
牌	bai	
牒	diɐʔ	
牘	dɐʔ	
牙	ŋa	
牛	ŋəɯ	
牝	bɪŋ	
牡	məɯ	
牡	mɐɯ	
牡	muə	
牢	lɐɯ	
牧	mɐʔ	
牧	moʔ	
物	vɐʔ	
牲	sæ̃	
特	dɐʔ	
牽	kʰiẽ	
犀	ɕi	
犁	li	
犁	lie	
犁	lɐi	
犒	kʰɐɯ	
犧	xi	
犬	kʰyẽ	
犯	vã	
犯	fã	
狀	dʑiɔ̃	dʑiɔ̃狀元
狀	zɔ̃	罪狀zɔ̃
狂	ɡɔ̃	
狄	dɐʔ	
狎	ɦɐʔ	
狐	uə	
狗	ku	
狡	kiɐɯ	
狹	ɦɐʔ	
狼	lɔ̃	
猛	mæ̃	
猛	moŋ	
猜	tsʰai	
猝	tsʰɐʔ	
猝	tsʰuɐʔ	
猢	ɦəɯ	
猴	ɦəɯ	
猶	iəɯ	
猾	uɐʔ	
獄	ȵiɐʔ	
獅	sə	sə獅子頭
獅	ɕi	舞獅ɕi子
獅	səɯ	螺獅səɯ山
獎	tɕiã	
獨	dɐʔ	
獲	ɦɐʔ	
獲	ɦuɐʔ	
獵	liɐʔ	
獸	səɯ	
獺	tʰɐʔ	
獻	xiẽ	
玄	ɦyẽ	
率	suai	統率suai
率	lɐʔ	效率lɐʔ
率	suai	兜率suai宮
率	sɐʔ	表率sɐʔ
玉	ȵioʔ	ȵioʔ玉佩
玉	ȵiɐʔ	ȵiɐʔ玉山
王	ɦɔ̃	
王	ɦɔ̃	ɦɔ̃王道
王	ɔ̃	ɔ̃王八
玥	ȵiɐʔ	
玩	uã	
玫	mɐi	
玻	po	
珀	pʰɐʔ	
珊	sã	
珍	tsɪŋ	
珠	tɕye	
班	pã	
現	ɦiẽ	
現	ʑiẽ	
球	ɡəɯ	
理	li	
琉	ləɯ	
琛	sɪŋ	
琛	tæ̃	
琢	tiɐʔ	
琢	tɕiɐʔ	
琴	ɡɪŋ	
琵	bi	
琶	ba	
瑕	ɦa	
瑞	zue	
瑟	sɐʔ	
瑣	so	
瑤	iɐɯ	
瑰	kuɐi	
瑰	kue	
璃	li	
璞	pʰɐʔ	
璧	pɐʔ	
環	uã	
璽	ɕi	
瓊	ɡioŋ	
瓜	kua	
瓠	ɦuə	
瓠	uə	
瓢	biɐɯ	
瓣	bã	
瓤	ʑiã	
瓦	ua	
瓶	bɪŋ	
瓷	zə	
甌	əɯ	
甌	iəɯ	
甕	oŋ	
甘	kæ̃	
甚	sɪŋ	
甜	diẽ	
生	sɪŋ	
生	sæ̃	
產	tsʰã	
甥	sæ̃	
用	ioŋ	
甩	xuɐʔ	xuɐʔ甩手（擺手、揮手）
甩	suai	suai甩幹
甫	pʰuə	
甫	fuə	
甬	ioŋ	
田	diẽ	
由	iəɯ	
甲	ka	
申	sɪŋ	
男	nã	
男	nuã	
町	tʰɪŋ	
界	kai	
畏	ue	
留	ləɯ	
畜	xioʔ	xioʔ畜牧
畜	tɕʰioʔ	tɕʰioʔ畜生
畝	məɯ	
畝	muə	
畢	pieʔ	
略	liɐʔ	
番	fã	fã番鴨
番	pʰã	pʰã番禺
畫	ua	
畬	ʑie	
異	i	
當	tɔ̃	
疆	kiã	
疏	ɕye	ɕye疏通
疏	suə	suə疏遠
疑	ȵi	
疝	sã	
疤	pa	
疥	kai	
疫	ioʔ	
疫	yɐʔ	
疲	bi	
疵	tsʰə	
疹	tsɪŋ	
疼	dæ̃	
疽	tɕʰye	
疾	dzɐʔ	
病	bɪŋ	bɪŋ病毒
病	bæ̃	生病bæ̃
症	tsɪŋ	
痊	dʑyẽ	
痔	dʑi	
痕	ɦæ̃	
痛	tʰoŋ	
痢	l	
痣	tɕi	
痰	dã	
痱	fi	
痱	pi	
痹	pi	
痺	bi	
瘋	foŋ	
瘟	uə̃	
瘡	tsʰɔ̃	
瘦	səɯ	
瘦	ɕiɐɯ	
瘧	ȵiɐʔ	
瘸	ɡye	
癡	tɕʰi	
癢	iã	
癢	ɕiɔ̃	
癩	lai	lai癩皮蛤蟆
癩	lɐʔ	lɐʔ瘌痢頭
癩	lɐʔ	
癩	lai	
癬	ɕiẽ	
癸	ɡue	
登	tɪŋ	
登	tæ̃	
發	fɐʔ	
白	pɐʔ	
白	bɐʔ	
百	pɐʔ	
皂	tsɐɯ	
的	teʔ	
皆	kai	
皇	ɦɔ̃	
皌	mɐʔ	
皖	uã	
皮	bi	
皴	tsʰæ̃	
皺	tsəɯ	
皿	mɪŋ	
盂	ye	
盅	tɕioŋ	酒盅tɕioŋ
盆	bæ̃	
盈	ɦɪŋ	
益	ieʔ	
盍	ɦɐʔ	
盒	ɦɐʔ	
盔	kuɐi	
盔	kue	
盛	zɪŋ	興盛zɪŋ
盛	zæ̃	zæ̃盛（姓氏）
盜	dɐɯ	
盞	tsã	
盟	mɪŋ	
盡	dzɪŋ	
監	kã	kã監督
監	kiẽ	kiẽ監控
盤	pæ̃	算盤pæ̃子
盤	bæ̃	窗盤bæ̃
盧	luə	
目	meʔ	
目	moʔ	
盯	tɪŋ	
盲	mɔ̃	
直	dzɐʔ	
相	ɕiã	
盼	pʰã	
盾	duə̃	
盾	dæ̃	
省	sɪŋ	反省sɪŋ
省	sæ̃	江西省sæ̃
眉	mi	
眉	mɐi	
看	kʰã	
看	kʰuə̃	
真	tsɪŋ	
眠	miẽ	
眥	zə	
眨	tsɐʔ	
眩	ɦyẽ	
眷	kyẽ	
眸	məɯ	
眸	mo	
眼	ŋã	
眾	tɕioŋ	
睏	kʰuə̃	
睚	ŋa	
睛	zɪŋ	
睜	dzæ̃	
睡	zue	
督	teʔ	監督teʔ
督	toʔ	toʔ督查
督	tuə	基督tuə教
睬	tsʰɐi	
睬	tsʰeʔ	
瞎	xɐʔ	
瞖	i	
瞞	mæ̃	
瞧	dʑiɐɯ	
瞧	ʑiɐɯ	
瞪	tæ̃	
瞪	tɪŋ	
瞬	ɕioŋ	
瞬	sæ̃	
瞭	liɐɯ	
瞰	kæ̃	
瞳	doŋ	
瞻	tɕiẽ	
瞻	tsã	
瞿	kye	kye瞿（姓氏）
瞿	ɡye	通瞿ɡye
矛	mɐɯ	
矢	ɕi	
矣	i	
知	tɕi	tɕi知識
知	tsə	tsə知了
矩	kye	
矬	tsʰo	
短	tuə̃	tuə̃短淺
短	ti	長短ti
短	ta	短命鬼
矮	ai	
矯	kiɐɯ	
石	zɐʔ	zɐʔ石榴
石	ʑiɐʔ	ʑiɐʔ石頭
石	dʑiɐʔ	bæ̃石dʑiɐʔ（一種石子）
砌	tɕʰi	
砌	tsʰeʔ	
砍	kʰæ̃	
研	ȵiẽ	
硝	ɕiɐɯ	
硫	ləɯ	
硬	ŋæ̃	
硯	ȵiẽ	
硯	iẽ	
碇	dɪŋ	
碎	suɐi	
碎	se	
碑	pi	pi碑記
碑	pue	紀念碑pue
碗	uã	
碧	pɐʔ	
碩	dʑiɐʔ	
確	kʰɐʔ	
碼	ma	
碾	ȵiẽ	
磁	zə	
磕	kʰɐʔ	
磚	tɕyẽ	
磨	mo	mo磨石
磨	mie	mie磨刀
磨	mie	
磬	kʰɪŋ	
磷	lɪŋ	
礙	ŋɐi	
礬	vã	
礬	fã	
示	ʑi	
社	ʑie	
祀	zə	
祀	ʑi	
祈	ɡi	
祖	tsuə	
祝	tɕioʔ	
神	zɪŋ	
祠	zə	
祥	ʑiã	
票	pʰiɐɯ	
祭	tɕi	
祭	tɕie	
祭	tsəɯ	
祿	lɐʔ	
禁	kɪŋ	
禍	ɦua	
福	fɐʔ	
禦	yə	防禦yə
禧	xi	
禪	ʑiẽ	
禮	li	
禱	dɐɯ	
禹	ye	
禽	ɡɪŋ	
禾	uə	uə禾鐮
禾	uai	ua禾稿（稻草）
禾	o	o禾苗
禿	tʰɐʔ	
秀	səɯ	
私	sə	
秈	ɕiẽ	
秉	pɪŋ	
秋	tsʰəɯ	
科	kʰua	kʰua科目
科	kʰo	kʰo科學
秒	miɐɯ	
秘	pi	
秘	mi	
租	tsuə	
秣	mɐʔ	
秤	tsʰɪŋ	
秦	dʑioŋ	dʑioŋ秦始皇
秦	dzɪŋ	dzɪŋ秦香蓮（姓名）
秦	dʑioŋ	dʑioŋ秦峰（地名）
秦	dzɪŋ	dzɪŋ秦叔寶（姓名）
秧	iã	
秩	dzeʔ	
秫	ʑioʔ	
秸	kai	
移	i	
稀	xi	
稅	suɐi	
稅	ɕy	
稈	kã	
程	dzɪŋ	
稍	sɐɯ	等稍sɐɯ
稗	ba	
稚	dʑi	
稟	pɪŋ	
稠	dzəɯ	
種	tɕioŋ	tɕioŋ種菜
種	ioŋ	老種ioŋ寶
種	tɕioŋ	tɕioŋ種菜tɕioŋ種豬（養豬）
種	ioŋ	老子種ioŋ（父種）老種ioŋ寶（心肝寶)
稱	tsʰɪŋ	
稱	tsʰæ̃	
稷	tɕiɐʔ	
稷	tsɐʔ	
稻	dɐɯ	
稼	ka	
稽	ki	
稿	kɐɯ	禾稿kɐɯ（稻草）
穀	koʔ	五穀koʔ
穀	kɐʔ	稻穀kɐʔ
穀	kuə	山谷kuə
穄	tɕi	
穄	tɕie	
穆	mɐʔ	
穆	moʔ	
積	tsɐʔ	
穎	ioŋ	
穗	zue	
穗	zəɯ	
穗	dʑy	
穢	ɦuə	
穢	ue	
穩	uə̃	
穴	ɦyɐʔ	
究	kəɯ	
穹	ɡioŋ	
空	kʰoŋ	
穿	tɕʰyẽ	tɕʰyẽ穿山甲
穿	tɕʰioŋ	tɕʰioŋ穿針
突	dɐʔ	
窄	tsɐʔ	
窒	tɕiʔ	
窒	tɐʔ	
窖	kɐɯ	
窗	tɕʰiɔ̃	tɕʰiɔ̃窗盤
窗	tsʰɔ̃	tsʰɔ̃窗軒
窘	kʰioŋ	
窘	kʰyn	
窟	kʰoʔ	
窟	kʰuɐʔ	
窟	kʰyeʔ	
窠	kʰua	背窠kʰua
窠	kʰo	kʰo窠(量詞）
窨	ɪŋ	
窩	uə	
窪	ua	
窮	ɡioŋ	
窯	iɐɯ	
窺	kue	
竄	tsʰæ̃	
竄	tɕʰyẽ	
竅	kʰiɐɯ	
立	lɐʔ	
站	dzã	
竟	kɪŋ	
章	tɕiã	
竣	tsʰæ̃	
童	doŋ	
竭	ɡiɐʔ	
端	tæ̃	
競	ɡɪŋ	
竹	tioʔ	tioʔ竹床
竹	tɕyɐʔ	tɕyɐʔ竹工
竿	kã	
竿	kɔ̃	
笊	tsa	
笊	dza	
笑	tɕʰiɐɯ	
笑	ɕiɐɯ	
笙	sæ̃	
笙	sɪŋ	
笛	dɐʔ	
笤	diɐɯ	
符	vuə	vuə符籙
符	fuə	fuə符號
笨	bɪŋ	bɪŋ笨重
笨	bæ̃	bæ̃笨蛋
笨	boŋ	boŋ笨車車
第	di	門第di
第	die	die第幾
筅	ɕiẽ	
筆	pɐʔ	
等	tæ̃	
筋	kɪŋ	
筍	ɕioŋ	
筏	vɐʔ	
筐	kʰɔ̃	
筒	doŋ	
答	tɐʔ	
策	tsʰɐʔ	
筲	sɐɯ	sɐɯ筲箕
筵	iẽ	
筷	kʰuai	
箅	pi	
箋	tɕiẽ	
箍	kʰuə	kʰuə箍桶匠
箏	tsæ̃	
算	suə̃	
算	sæ̃	
算	suə̃	suə̃算數
算	sæ̃	sæ̃算盤
管	kuã	
管	kuə̃	
箭	tɕiẽ	
箱	ɕiã	
箲	ɕiẽ	
箸	dʑie	筷子
節	tɕiɐʔ	
範	vã	
範	fã	
篆	dʑyẽ	
篇	piẽ	
篇	pʰiẽ	
築	tiɐʔ	
篡	tsʰuə̃	
篡	tsʰæ̃	
篤	tɐʔ	
篦	pi	
篦	piẽ	
篩	seʔ	
篩	tɕiɐʔ	
篷	boŋ	
篾	miɐʔ	
簍	ləɯ	
簡	kã	清間kã（漂亮）
簡	kiẽ	kiẽ簡譜
簪	tsæ̃	tsæ̃簪花
簪	tsæ̃	
簫	ɕiɐɯ	
簷	iẽ	
簸	pɐʔ	pɐʔ簸籃
簸	pɐʔ	顛簸po
簽	tɕʰiẽ	
簾	liẽ	
簿	buə	
籃	lã	
籌	dzəɯ	
籍	dzɐʔ	
籠	loŋ	
籤	tɕʰiẽ	
籬	li	
籬	lie	
籮	la	箕籮la
籮	lo	簸籮lo
籲	xye	
籲	ye	
米	mi	
粉	fæ̃	
粒	lɐʔ	
粗	tsuə	
粗	tsʰuə	
粘	ȵiẽ	
粘	tɕiẽ	
粟	seʔ	
粟	seʔ	苞粟seʔ（玉米）
粥	tɕioʔ	
粱	liã	
粵	yɐʔ	
粹	dzue	
糉	tɕioŋ	
糉	tsoŋ	
精	tsɪŋ	
精	kɪŋ	
糍	zə	麻糍zə粿
糕	kɐɯ	
糖	dɔ̃	
糜	mi	
糞	fæ̃	fæ̃糞箕
糞	pæ̃	大糞pæ̃
糟	tsɐɯ	
糠	kʰɔ̃	
糧	liã	
糯	no	
糴	deʔ	
糶	tʰiɐɯ	
系	ɦi	譜系ɦi
系	ɕi	ɕi系統
糾	kəɯ	
紀	ki	
紂	dzəɯ	
約	iɐʔ	
約	yeʔ	
約	lɐʔ	
紅	ɦoŋ	
紈	uã	
紋	voŋ	
納	nɐʔ	
紐	ŋɐɯ	
紐	ŋəɯ	
純	ʑioŋ	清純ʑioŋ
純	zuə̃	zuə̃純牛奶
紗	sa	
紙	tɕi	
紙	tɕie	
級	kiɐʔ	
紛	fæ̃	
素	suə	
紡	fɔ̃	
索	sɐʔ	
索	soʔ	
紫	tsə	
紮	tsɐʔ	
紮	tsʰɐʔ	
累	luɐi	
累	lue	
累	lɐi	
累	ləɯ	ləɯ累積
累	lɐi	累lɐi
累	lɐʔ	勞累lɐʔ命
細	ɕi	大細ɕi（大家）
細	ɕie	ɕie細姨（小姨）
細	sɐi	sɐi細麥（小麥）
細	səɯ	səɯ細薄
細	sa	sa细姑姑（小姑姑）
紹	ʑiɐɯ	
紹	zɐɯ	
絀	tsʰɐʔ	
絀	tɐʔ	
終	tɕioŋ	
組	tsuə	
絆	pæ̃	
結	kiɐʔ	
絕	dzɐʔ	dzɐʔ絕色
絕	dʑyɐʔ	dʑyɐʔ絕頂聰明
絞	kiɐɯ	
絡	lɐʔ	
給	kiɐʔ	
絨	ioŋ	
絮	ɕiɐʔ	
絮	ɕye	
絮	ɕye	啰嗦、嘮叨
統	tʰoŋ	
絲	sə	
絹	kyẽ	
綁	pɔ̃	
綏	sue	
綏	səɯ	
經	kɪŋ	
綠	loʔ	loʔ綠林好漢
綠	lɐʔ	碧綠lɐʔ
綢	dzəɯ	
維	vi	
維	ue	
綱	kɔ̃	
網	mɔ̃	
網	moŋ	
綴	tsue	
綻	dzæ̃	
綽	tsʰɐʔ	
綿	miẽ	
緊	kɪŋ	
緖	ʑye	
線	ɕiẽ	
緝	tsʰɐʔ	
緝	tɕiɐʔ	
緞	duə̃	
緣	ȵyẽ	
緣	yẽ	
編	piẽ	
緩	uã	
緩	xuã	
緬	miẽ	
緯	ue	
練	liẽ	
縊	i	
縊	iʔ	
縐	tsəɯ	
縛	vɐʔ	姓氏
縛	biɐʔ	捆、綁
縣	ɦiẽ	上饒縣ɦiẽ
縣	yẽ	玉山縣yẽ
縫	foŋ	
縫	fɔ̃	
縮	ɕyɐʔ	萎縮ɕiɐʔ
縮	seʔ	seʔ縮水
縱	tɕioŋ	
縱	tsoŋ	
縴	kʰiẽ	
縷	lye	
縷	ləɯ	
總	tsoŋ	
績	tseʔ	
繁	vã	
繁	fã	
繃	pæ̃	
繃	poŋ	
繫	ki	
織	tsɐʔ	
繞	ʑiɐɯ	
繞	ȵiɐɯ	
繡	səɯ	
繩	zɪŋ	
繪	kuɐi	
繪	ɡue	
繫	ɡi	ɡi系鞋帶
繭	kiẽ	
繰	tɕʰiɐɯ	
繳	kiɐɯ	
繼	ki	
纂	tsuə̃	
纂	tsuã	
纂	tɕyẽ	
續	ʑioʔ	
纏	tɕyẽ	盤纏tɕiẽ（路費）
纏	dʑyẽ	弄、搞
纓	ɪŋ	
纔	zɐi	
纖	ɕiẽ	
纖	tɕʰiẽ	
纖	kʰiẽ	
纜	lã	
缸	kɔ̃	
缺	kʰyɐʔ	
缺	kʰiɐʔ	
缽	pɐʔ	花缽pɐʔ
缽	poʔ	衣缽poʔ
罄	kʰɪŋ	
罐	kuã	
罕	xã	
罩	tsɐɯ	
罪	zuɐi	
罪	dzuɐi	
置	tɕi	
置	tsə	
罰	vɐʔ	
罰	fɐʔ	
署	ɕye	
罵	ma	咒駡ma
罵	mie	mie罵儂
罷	ba	
羅	lo	
羈	ʑi	
羊	iã	
羌	kʰiã	
美	mi	
美	mɐi	
羔	kɐɯ	
羞	səɯ	
羣	ɡioŋ	
羨	ʑiẽ	
義	ȵi	
義	i	
羯	kiɐʔ	
羹	kæ̃	
羽	ye	
翁	oŋ	
翅	tɕʰi	
翅	tsʰə	
習	zɐʔ	
翠	tsʰue	
翰	ɦæ̃	
翻	fã	
翼	iɐʔ	
翼	ieʔ	
翼	ɕiɐʔ	
耀	iɐɯ	
老	lɐɯ	
考	kʰɐɯ	
者	tɕia	之乎者tɕia也
者	tɕie	第三者tɕie
耆	ɡi	
而	ʑi	
而	ə	
耍	sa	
耐	nɐi	
耕	kæ̃	
耗	xɐɯ	
耨	nəɯ	
耩	kɔ̃	
耳	ȵi	
耳	ʑi	
耳	ə	
耶	ie	
耽	tã	
耿	kæ̃	
聊	liɐɯ	
聖	sɪŋ	
聘	pʰɪŋ	
聚	dʑye	
聚	ʑye	
聞	voŋ	
聞	væ̃	
聞	mæ̃	
聯	liẽ	
聰	tsʰoŋ	
聲	sɪŋ	
聶	ȵiɐʔ	
職	tseʔ	
聽	tʰɪŋ	
聾	loŋ	
肄	i	
肅	seʔ	
肅	soʔ	
肆	ɕi	
肆	sə	
肇	dʑiɐɯ	
肇	dzɐɯ	
肉	ȵioʔ	紅燒肉ȵioʔ
肉	ȵiɐʔ	ȵiɐʔ肉丸
肋	lɐʔ	
肌	ki	
肘	təɯ	手肘təɯ
肘	tsəɯ	三肘tsəɯ
肚	tuə	豬肚tuə
肚	duə	duə肚腹
肛	kɔ̃	
肝	kã	kã肝腹水
肝	kuə̃	心肝kuə̃寶
股	kuə	
肢	tɕi	
肥	fi	
肥	bi	
肥	vi	
肩	kiẽ	
肪	fɔ̃	
肫	tsã	
肫	tɕiã	
肯	kʰæ̃	
育	ioʔ	
肴	ɦiɐɯ	
肴	iɐɯ	
肺	fi	
胃	ue	
背	pɐi	pɐi背脊
背	bɐi	bɐi背書
胎	tʰɐi	
胖	pʰɔ̃	
胚	pʰɐi	
胞	pɐɯ	
胡	uə	
胥	sye	
胥	ɕye	
胳	kɐʔ	
胸	xioŋ	
能	næ̃	
脂	tɕi	胭脂tɕi
脂	tsə	血脂tsə
脅	iɐʔ	
脆	tsʰue	
脈	mɐʔ	
脊	tseʔ	
脖	bɐʔ	
脫	tʰɐʔ	
脮	nuɐi	
脯	buə	buə脯頭（胸脯）
脯	pʰuə	pʰuə脯果
脹	tɕiã	
脾	bi	
腋	iɐʔ	
腎	zɪŋ	
腐	vuə	vuə腐爛
腐	uə	豆腐uə
腑	fuə	
腔	kʰiã	
腕	uã	
腡	lo	
腥	sɪŋ	
腦	nɐɯ	
腫	tɕioŋ	tɕioŋ腫瘤
腫	ioŋ	腫ioŋ（症狀）
腮	sɐi	
腰	iɐɯ	
腱	kiẽ	
腳	kiɐʔ	
腳	kɐʔ	
腸	dʑiã	
腹	poʔ	
腺	ɕiẽ	
腿	tʰuɐi	
膏	kɐɯ	
膚	fuə	
膜	mɐʔ	
膝	ɕyeʔ	
膠	kɐɯ	
膨	bæ̃	
膩	ȵi	
膳	ʑiẽ	
膻	ɕiẽ	
膽	tã	
膿	loŋ	
膿	nen	
臀	duə̃	
臀	dæ̃	
臂	pi	
臂	piʔ	
臉	liẽ	
臊	sɐɯ	
臍	dʑi	
臍	zə	
臟	zɔ̃	內臟zɔ̃
臘	lɐʔ	
臣	zɪŋ	
臥	ŋo	ŋo臥鋪
臥	ŋua	ŋua臥倒
臧	tsɔ̃	
臨	lɪŋ	
自	zə	zə自舒（自在、舒爽）
自	dzeʔ	dzeʔ自家（自己）
臭	tsʰɐɯ	
至	tɕi	
致	tɕi	
致	tsəɯ	
臻	tɕioŋ	
臼	ɡəɯ	
舀	iɐɯ	
舂	ʑioŋ	ʑioŋ舂揄
舂	ioŋ	米舂ioŋ
舅	ɡəɯ	ɡəɯ舅爹
舅	ɡiɐʔ	ɡiɐʔ舅奶
與	ye	
與	ieʔ	
興	xɪŋ	
舉	kye	中舉kye
舊	ɡəɯ	
舌	dʑiɐʔ	豬舌dʑiɐʔ頭
舌	zɐʔ	zɐʔ舌苔
舍	səɯ	
舍	ɕie	ɕie舍弗得宿舍ɕie
舒	ɕye	自舒ɕye（舒服）
舒	suə	suə舒慶春（姓名）
舔	tʰiẽ	
舛	tɕʰioŋ	
舜	ɕioŋ	
舞	vu	vu舞弊
舞	moŋ	moŋ舞龍燈
舞	muə	鼓舞muə
舞	uə	跳舞uə
舟	tsəɯ	
航	ɦɔ̃	
般	pæ̃	
舵	do	
船	ʑyẽ	
艇	tʰɪŋ	
艦	kʰã	
艦	kiã	
艦	kiẽ	
良	liã	
艱	kã	
艱	kiẽ	
色	sɐʔ	
藝	ȵi	
艾	ŋai	
芋	ye	
芍	ʑiɐʔ	
芒	moŋ	moŋ芒花（藥材）
芒	mɔ̃	mɔ̃芒果
芝	tɕi	靈芝tɕi
芝	tsə	麻芝tsə
芥	kai	
芬	fæ̃	
芭	pa	
花	xua	
芳	fɔ̃	
芳	pɔ̃	
芹	ɡɪŋ	
芻	tsʰue	
芽	ŋa	
苔	tʰɐi	
苗	miɐɯ	
苗	mɐɯ	
苛	kʰa	kʰa苛責
苛	kʰo	kʰo苛稅
苛	xɐʔ	xɐʔ苛斥
苟	kəɯ	
若	ʑiɐʔ	
苦	kuə	
苧	dye	苧麻
苧	dʑye	苧麻
英	ɪŋ	
茂	mɐɯ	
茄	ɡie	茄
茄	ka	雪茄
茅	mɐɯ	
茉	mɐʔ	
茫	mɔ̃	
茲	tsə	
茶	dza	
茸	ʑioŋ	鹿茸ʑioŋ
茸	ioŋ	ioŋ茸毛
荀	ɕioŋ	
荀	ɕiã	
草	tsʰɐɯ	tsʰɐɯ草坪
草	tsʰuə	茅草tsʰuə
草	tsɐɯ	tsɐɯ草坪
荊	kɪŋ	
荒	xɔ̃	
荔	li	
荷	ɦo	
荷	xɐʔ	負荷xɐʔ
荷	xo	薄荷xo
莊	tsɔ̃	
莊	tɕiɔ̃	
莊	tiɔ̃	
莊	tiɔ̃	tiɔ̃莊家
莊	tɕiɔ̃	石家莊tɕiɔ̃
莖	kɪŋ	
莠	iəɯ	
莠	səɯ	
莧	xã	
莫	mɐʔ	
莫	muə	
莽	mɔ̃	
菊	kioʔ	
菌	kioŋ	
菌	kʰioŋ	
菌	kʰyn	
菜	tsʰɐi	
菩	buə	
華	ua	中華ua
華	ua	ua華國鋒
菱	lɪŋ	
菲	fi	
萄	dɐɯ	
萌	mæ̃	
萌	moŋ	
萬	vã	
萬	mã	
萬	uã	
落	lɐʔ	
葉	iɐʔ	
著	dɐʔ	dɐʔ著力
著	tɐʔ	tɐʔ著衫（穿衣服）
著	tɕyeʔ	名著tɕyeʔ
著	dʑyɐʔ	dʑyɐʔ著急
著	tɕye	名著tɕye
葚	zɪŋ	
葛	kɐʔ	
葛	kuɐʔ	
董	toŋ	
葦	ue	
葬	tsɔ̃	
葵	ɡue	
葷	xuə̃	
蒙	moŋ	
蒜	sæ̃	
蒯	kuai	
蒲	buə	菖蒲buəbuə蒲扇
蒸	tsɪŋ	
蒹	kiẽ	
蒼	tsʰɔ̃	
蒿	xɐɯ	
蓄	xioʔ	養精蓄xioʔ銳
蓄	xyeʔ	蓄xyeʔ錢（存錢）
蓋	kɪŋ	kɪŋ蓋（動詞）
蓋	kɐi	鍋蓋kɐi
蓋	kuai	kuai蓋住
蓑	so	
蓬	boŋ	
蓮	liẽ	
蓴	ʑioŋ	
蔔	bɐʔ	
蔗	tɕie	
蔡	tsʰai	
蔣	tɕiã	
蔥	tsʰoŋ	
蔫	iẽ	
蔬	suə	
蔭	ɪŋ	
蔻	kʰəɯ	
蔽	bi	
蕈	zɪŋ	
蕈	ʑioŋ	
蕊	lue	
蕩	dɔ̃	
蕭	ɕiɐɯ	
蕹	oŋ	
薄	bo	bo薄荷
薄	biɐʔ	細薄biɐʔ
薅	xɐɯ	
薇	vi	紫薇vi星
薇	mi	薔薇mi花
薑	kiã	
薛	ɕiɐʔ	
薦	tɕiẽ	
薦	tsæ̃	
薩	sɐʔ	
薪	sɪŋ	
薯	ʑye	
薺	ʑi	荸薺ʑi粿
薺	dʑi	dʑi薺菜（馬蹄菜）
薺	dʑie	薺
藉	dzɐʔ	
藉	ʑiɐʔ	
藍	lã	
藏	zɔ̃	躲藏zɔ̃
藏	sɔ̃	sɔ̃藏子（醃鹹蛋）
藏	tsɔ̃	西藏tsɔ̃
藐	miɐɯ	
藕	ŋiəɯ	
藝	ȵi	
藝	i	
藤	dæ̃	dæ̃藤條
