#漢字	音標	解釋
唇	ʑioŋ	
唉	ɐi	
唐	dɔ̃	
售	dzəɯ	
唯	vi	
唯	ue	
唱	tɕʰiã	
唾	tʰo	tʰo唾駡
唾	tʰi	tʰi唾沫
啄	tiɐʔ	tiɐʔ啄木鳥
啄	tɐʔ	雞啄tɐʔ米
啄	tɕiɐʔ	tɕiɐʔ啄目
啄	tioʔ	tioʔ啄木鳥
啄	tɕyɐʔ	tɕyɐʔ啄子（器具、套具）
商	ɕiã	
問	mæ̃	
問	væ̃	
啞	u	
啞	a	
啟	kʰi	
啻	ɕi	
啼	di	di啼笑
啼	die	die啼哭
喂	ue	
善	ʑiẽ	
喉	ɦəɯ	
喊	xã	
喘	tɕʰyẽ	
喚	xuã	
喜	xi	
喝	xɐʔ	
喝	xuɐʔ	
喧	xyẽ	
喪	sɔ̃	
喬	ɡiɐɯ	
單	tã	tã單雙
單	ʑiẽ	ʑiẽ單（姓氏）
單	ʑiẽ	姓氏
單	tã	打單tã身
單	dã	姓氏
喻	ye	
嗅	xiəɯ	
嗉	suə	
嗓	sɔ̃	
嗜	ʑi	
嗟	tsə	
嗟	tɕie	
嗣	zə	
嗣	ʑi	
嗤	tɕʰi	
嗽	səɯ	
嘉	ka	
嘔	əɯ	
嘗	ʑiã	
嘮	lɐɯ	
嘯	ɕiɐɯ	
嘴	tɕy	
嘻	xi	
嘻	ɕi	
噎	iɐʔ	
噓	xye	
噦	xue	
器	kʰi	
噴	pʰæ̃	pʰæ̃噴泉
噴	pʰoŋ	pʰoŋ噴香
嚇	xɐʔ	
嚴	ȵiẽ	
嚷	nɔ̃	
嚼	ʑiɐʔ	
囂	xiɐɯ	
囈	ȵi	
囉	lo	
囊	nɔ̃	
囑	tɕioʔ	
囚	zəɯ	
四	ɕi	
四	sə	
回	uɐi	
因	ɪŋ	
囤	duə̃	
囤	dæ̃	
囪	tɕʰioŋ	
囪	tsʰoŋ	
困	kʰuə̃	
困	kʰɪŋ	
固	kuə	
圈	kyẽ	
國	kuɐʔ	
圍	ue	
園	yẽ	公園yẽ
園	xoŋ	菜園xoŋ
圓	yẽ	
圖	duə	
團	duə̃	
土	tʰuə	
在	zɐi	自在zɐi
在	dzɐi	實在dzɐi
圭	kue	
地	di	土地di公（社神、社公）
地	die	地die方底（本地方）
地	di	土地di
地	die	掃地die
址	tɕi	
址	tsə	
均	kioŋ	
坊	fɔ̃	
坍	tʰã	
坎	kʰæ̃	
坐	zo	zo坐倒
坐	dzo	dzo坐位
坑	kʰæ̃	
坡	pu	東坡pu肉
坡	pʰo	pʰo坡度
坡	po	上坡po
坤	kʰuə̃	
坦	tʰã	
坯	pʰɐi	
坳	ɐɯ	
垂	dzue	
型	ɦɪŋ	
垢	kəɯ	
垣	yẽ	
垮	kʰua	
埃	ɐi	
埋	mai	
埋	maa	
城	zɪŋ	
域	ioʔ	
域	yɐʔ	
埠	buə	
執	tsɐʔ	
培	bɐi	
基	ki	
堂	dɔ̃	
堅	kiẽ	
堆	tuɐi	
堡	pɐɯ	
堤	di	
堪	kʰæ̃	
堯	ȵiɐɯ	
堰	iẽ	
報	pɐɯ	
場	dʑiã	
堵	tuə	
塊	kʰuai	
塋	ioŋ	
塌	tʰɐʔ	
塑	suə	
塔	tʰɐʔ	
塘	dɔ̃	
塚	tɕioŋ	
塞	sɐʔ	
塢	uə	
填	diẽ	
塵	dzɪŋ	
境	kɪŋ	
墅	ʑye	
墊	diẽ	
墓	muə	
墜	dzue	
墜	dʑy	
增	tsæ̃	
墟	xə	趕墟xə（趕集）
墨	mɐʔ	
墩	tuə̃	
墮	do	do墮胎
墮	dɐʔ	dɐʔ墮顛
墳	fæ̃	
墳	væ̃	
墾	kʰæ̃	
壁	peʔ	
壇	dã	
壑	xɐʔ	
壓	ɐʔ	
壘	lue	
壞	uai	
壟	loŋ	
壤	ʑiã	
壩	pa	
士	ʑi	
士	zəɯ	
壬	zɪŋ	
壯	tɕiɔ̃	
壺	uə	
壽	zəɯ	
夏	ɦa	
夔	ɡue	
夕	ʑi	
夕	ʑiɐʔ	
外	ŋai	
外	ŋuai	
外	uai	
夙	seʔ	
多	to	
夜	ie	
夠	kəɯ	
夢	moŋ	
夥	xua	xua夥計
大	da	da大象da大學
大	dai	dai大夫dai大王dai大蒜
大	do	do大腹do大小
大	tʰai	
天	tʰiẽ	
太	tʰai	
夫	puə	
夫	fuə	
夭	iɐɯ	
央	iã	
失	seʔ	
夷	i	
夾	kɐʔ	
奇	ɡi	
奈	nai	
奉	voŋ	
奉	foŋ	
奎	kʰuɐi	
奏	tsəɯ	
契	kʰi	地契kʰi
契	kʰiɐʔ	kʰiɐʔ契（姓氏）
奔	poŋ	跑
奔	pæ̃	pæ̃奔馳
套	tʰɐɯ	
奚	ȵi	
奚	ʑi	
奠	diẽ	
奢	səɯ	
奢	ɕie	
奧	ɐɯ	
奩	liẽ	
奪	dɐʔ	
奮	fæ̃	
女	na	兒女nana女婿
女	nã	nã女兒nã女兒毛
女	ȵye	ȵye女廁婦女ȵye
女	ȵye	婦女ȵye
女	nã	nã女兒
女	na	na女婿
奴	nuə	
奶	nɐi	
奶	nəɯ	
奸	kã	
好	xɐɯ	
如	ʑye	諸如ʑye
如	ye	ye如果
如	lo	lo如意
妃	fi	
妄	mɔ̃	
妊	zɪŋ	
妒	tuə	
妓	ɡi	
妖	iɐɯ	
妗	ɡɪŋ	
妙	miɐɯ	
妥	tʰo	tʰo妥當
妥	tʰa	tʰa妥帖
妨	fɔ̃	
妹	mɐi	
妹	muɐi	
妺	mɐʔ	
妻	tɕʰi	
妾	tɕʰiɐʔ	
姊	tsə	
姊	tɕi	
始	ʑi	
始	zəɯ	
姐	tɕi	
姐	tsəɯ	
姑	kuə	
姓	sɪŋ	
委	ue	
姘	pʰɪŋ	
姚	iɐɯ	
姦	kã	
姨	i	
姬	ki	
姻	iẽ	iẽ姻親
姻	ɪŋ	婚姻ɪŋ
姿	tsə	
威	ue	
娃	ua	
娑	so	婆娑so
娑	sa	sa娑婆訶
娒	mɐi	
娒	muɐi	
娒	ma	
娒	muə	
娘	ȵiã	
娛	ȵye	
娞	nuɐi	
娠	zɪŋ	
娩	miẽ	
娶	tɕʰye	
婆	bo	外婆bo
婆	bie	妗婆bie
婉	uæ̃	
婚	xuə̃	
婢	bi	
婦	vuə	
婦	fuə	
婦	uə	
婪	lã	
婿	sɐi	國婿sɐi
婿	ɕi	女婿ɕi
媒	mɐi	
媚	mi	
媚	mɐi	
媳	seʔ	
媽	ma	媽ma（婆婆）
媽	ma	癲媽ma（瘋女）
媽	ma	媽ma（祖母）
媽	ma	老媽ma（妻子）
媽	ma	沙溪媽ma（婦女）
媽	mi	媽mi（母親）
媽	mɐi	媽mɐi（母親）
媾	kəɯ	
嫁	ka	
嫂	sɐɯ	
嫂	suə	
嫌	ɦiẽ	
嫌	iẽ	
嫖	biɐɯ	
嫡	tɐʔ	
嫩	nuə̃	
嫩	næ̃	
嬉	xi	
嬌	kiɐɯ	
嬰	ɪŋ	
嬴	ɦɪŋ	ɦɪŋ嬴（姓氏）
嬴	ɪŋ	輸贏ɪŋ
嬸	sɪŋ	
孀	ɕiɔ̃	
子	tsə	
孑	kiɐʔ	
孓	kyɐʔ	
孔	kʰoŋ	
孕	ioŋ	
孕	yn	
字	zə	
存	zuə̃	
孝	xɐɯ	
孟	moŋ	
季	kue	
季	ky	
季	ki	
孤	kuə	
孩	ɦai	
孫	suə̃	
孰	dzɐʔ	dzɐʔ孰儂（誰人、什麼人）
孵	buə	buə孵子（孵蛋）
孵	fuə	fuə孵化
學	ɦɐʔ	
孺	ʑye	ʑye孺子
孽	ȵiɐʔ	
宅	dzɐʔ	
宇	ye	
守	səɯ	
安	æ̃	
宋	soŋ	
完	yẽ	
完	uã	
宏	ɦoŋ	
宕	dɔ̃	
宗	tɕioŋ	tɕioŋ宗家
宗	tsoŋ	tsoŋ宗族
官	kuã	
官	kuə̃	
宙	dzəɯ	
定	dɪŋ	
宛	uæ̃	
宜	ȵi	合宜ȵi
宜	i	小便宜i
客	kʰɐʔ	
宣	ɕyẽ	
室	seʔ	
宥	iəɯ	
宦	uã	
宮	kioŋ	kioŋ宮正楠（姓名）
宮	koŋ	故宮koŋ
宰	tsɐi	
害	ɦɐi	
宴	iẽ	
宵	ɕiɐɯ	
家	ɡa	自家ɡa（自己）
家	ka	大家ka
容	ioŋ	
宿	səɯ	星宿səɯ
宿	soʔ	soʔ宿舍
宿	seʔ	住宿seʔ
宿	soʔ	住宿soʔ
寂	dzɐʔ	
寂	dʑiʔ	
寄	ki	
寄	kie	
寅	ɦɪŋ	
密	mɐʔ	
密	meʔ	
寇	kʰəɯ	
富	fuə	
寐	mi	
寐	mɐi	
