#漢字	音標	解釋
㲃	tɕiəu5	拧
努	nəu3	
劫	tɕie2	
劭	tsau5	
劾	he2	
勁	tɕin5	
勃	po2	
勇	ʑoŋ3	
勉	mien3	
勒	le5	
動	toŋ5	
勘	kʰan1	
務	vu5	
勛	ɕyn1	
勝	sən1	
勝	sən5	
勞	lau2	
募	mu5	
勢	sɿ5	
勤	tɕʰin2	
勦	tɕiau3	新
勦	tsiau3	老
勵	li5	
勸	tɕʰyen5	
勺	sau2	
勻	ʑyn2	
勾	kəu1	
勿	vu5	
包	pau1	
包	pəu1	白
匆	tsʰoŋ1	
匈	ɕioŋ1	
匏	pʰau2	
匕	pi3	
化	fa1	怀化
化	fa5	
北	pe2	
匙	sɿ2	
匚	faŋ1	
匝	tsa2	
匠	tɕiaŋ5	新
匠	tsiaŋ5	老
匡	kʰuaŋ1	
匣	ɕia2	
匪	fəi3	
匯	fəi5	
匱	kʰuəi5	
匹	pʰi2	
匾	pien3	
匿	ȵi5	
區	ŋəu1	
區	tɕʰy1	
十	sɿ2	
千	tsʰen1	老
千	tɕʰien1	新
卅	sa2	
升	sən1	
午	vu3	
卉	fəi5	
半	pan5	新
半	puan5	老
卑	pəi1	
卒	tsəu2	
卓	tso2	
協	ɕie2	
南	nan2	
博	po2	
卜	pu3	占卜
卜	pu5	萝卜
卞	pien5	
占	tsan5	新
占	tsen5	老
卡	kʰa3	
卦	kua5	
卯	mau3	
印	ʑin5	
危	vəi2	
即	tɕi2	
卵	luan3	
卷	tɕyen5	
卸	sie5	老
卸	ɕie5	新
卹	ɕy5	
卻	tɕʰio2	
卿	tɕʰin1	
厄	ɣo2	
厚	həu5	
原	ʑyen2	
厥	tɕye2	
厭	ʑen5	
厲	li5	
去	tɕʰi5	
叄	san1	
參	tsʰan1	
又	ʑəu5	
叉	tsʰa1	打叉
及	tɕi2	
友	ʑəu3	
反	fan3	
叔	səu2	
取	tɕʰi3	老
取	tɕʰy3	新
受	səu5	
叛	pʰan5	新
叛	pʰuan5	老
叢	tsʰoŋ2	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tʰau1	
叩	kʰəu5	
只	tsɿ1	
只	tsɿ3	
叫	tɕiau5	
召	tsau5	
叮	tin1	
可	kʰo3	
台	tʰai1	台州
叱	tsʰa5	
史	sɿ3	
右	ʑəu5	
叵	pʰo3	
司	sɿ1	
叻	le5	
叼	tiau1	
吁	ɕy1	
吃	tɕʰi2	
各	ko2	
吆	ʑau1	
合	ho2	
吉	tɕi2	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	həu5	
吏	li5	
吐	tʰəu3	
吐	tʰəu5	
向	ɕiaŋ5	
君	tɕyn1	
吝	lin5	文
吝	ȵi5	白
吞	tʰən1	
吟	ȵin2	
吠	fəi5	
吡	pʰi3	
否	fəu3	
否	pʰi3	
吧	pa1	
吩	fən1	
含	han2	
吭	kʰən1	
吮	sən3	
吱	tsɿ1	
吳	vu2	
吵	tsʰau3	
吸	ɕi2	
吹	tsʰəi1	
吹	tɕʰy1	
吻	vən3	
吼	həu3	
吾	vu2	
呀	ʑia1	
呂	li3	老
呂	ly3	新
呆	ŋai2	
呈	tsʰən2	
告	kau5	
呐	na5	
呢	ȵi2	
呤	lin2	
周	tsəu1	
呱	ku1	
味	vəi5	
呵	ho1	
呸	pʰəi3	
呻	sən1	
呼	fu1	
命	min5	
咀	tɕy3	
咄	to2	
咆	pʰau2	
咋	tsaŋ2	咋个
咋	tse2	
和	ho2	
和	ho5	
咎	tɕiəu5	
咐	fu5	
咒	tsəu5	
咕	ku1	
咖	tɕia1	
咖	kʰa1	
咚	toŋ1	
咣	kuaŋ1	
咧	lie2	
咨	tsɿ1	
咪	mi1	
咬	ŋau3	
咯	ko2	
咱	tsan2	
咳	kʰe2	
咸	han2	老
咸	ɕien2	新
咽	ʑen1	
哀	ŋai1	
品	pʰin3	
哂	sən3	
哄	hoŋ3	
哆	to1	
哇	va1	
哈	ha1	
哉	tsai1	
哎	ŋai3	
哚	to3	
哞	məu2	
員	ʑyen2	
哥	ko3	
哦	ɣo3	
哨	sau5	
哩	li3	
哪	na3	
哭	kʰu2	
哮	ɕiau5	
哲	tse2	
哺	pʰu3	
哼	hən1	
哽	kən3	
唄	pəi5	
唆	so1	
唉	ŋai1	
唐	tʰaŋ2	
唚	tsʰin5	老
唚	tɕʰin5	新
唧	tɕi1	
售	səu5	
唯	vəi2	
唱	tsʰaŋ5	
唸	ȵien5	
唾	tʰo5	
啃	kʰən3	
啄	tso1	鸡啄人
啄	tso2	啄木鸟（普）
商	saŋ1	
啊	ŋa1	
問	vən5	
啞	ŋa3	
啟	tɕʰi3	
啡	fəi1	
啡	pʰəi3	
啣	han2	老
啣	ɕien2	新
啤	pʰi2	
啥	sa2	
啦	la1	
啪	pʰa1	
啷	laŋ1	
啼	tʰi2	
喀	kʰa1	
喂	vəi5	
喃	nan2	
善	san5	新
善	sen5	老
喇	la2	
喉	həu2	
喊	han3	
喋	tie2	
喘	tɕʰyen3	
喙	fəi5	
喚	fan5	
喜	ɕi3	
喝	ho1	
喧	ɕyen1	
喪	saŋ1	
喪	saŋ5	
喬	tɕʰiau2	
單	tan1	
喱	li2	
喳	tsa1	
喵	miau1	
喻	ʑy5	
嗅	ɕioŋ5	白
嗅	ɕiəu5	文
嗆	tsʰiaŋ5	
嗇	se2	
嗌	ʑi5	
嗍	ho1	吸允
嗎	ma1	
嗓	saŋ3	
嗚	vu1	
嗜	sɿ5	
嗝	ke2	
嗡	ɣoŋ1	
嗣	sɿ5	
嗤	tsʰɿ1	
嗦	so1	
嗨	hai3	
嗯	ʔən1	
嗯	ŋən1	
嗶	pi5	
嗷	ŋau2	
嗽	səu5	
嘀	ti2	
嘆	tʰan5	
嘈	tsʰau2	
嘉	ka1	
嘉	tɕia1	
嘌	pʰiau1	
嘍	ləu2	
嘔	ŋəu3	
嘗	tsʰaŋ2	文读
嘗	saŋ2	白读
嘛	ma2	
嘞	le1	语气词
嘟	təu1	
嘣	poŋ1	
嘩	fa1	
嘩	fa2	
嘮	lau2	
嘯	siau5	老
嘯	ɕiau5	新
嘰	tɕi1	
嘲	tsʰau2	
嘴	tɕyəi3	
嘴	tɕy3	
嘴	tsəi3	
嘶	sɿ1	
嘹	liau2	
嘻	ɕi1	
嘿	he2	
噁	ɣo2	
噎	ʑe1	
噓	ɕy1	
噘	tɕye2	
噢	ŋau5	
噤	tɕin5	
噥	noŋ1	哝𤆵
噥	nəu2	哝訽
器	tɕʰi5	
噩	ɣo2	
噪	tsʰau2	
噪	tsʰau5	噪音
噬	sɿ5	
噯	ŋai5	
噴	pʰən1	
噴	pʰən5	喷饭
噶	ka2	
噸	tən5	
噹	taŋ1	
嚀	ȵin2	
嚇	he2	
嚎	hau2	
嚏	tʰi5	
嚐	tsʰaŋ2	文读
嚐	saŋ2	白读
嚕	ləu3	
嚨	loŋ2	文读
嚨	ləu2	白读
嚮	ɕiaŋ5	
嚴	ŋan2	白
嚴	ȵien2	文
嚷	ɣaŋ3	
嚼	tɕiau2	白读
嚼	tɕʰio5	文读
囂	ɕiau1	
囉	lo2	
囊	naŋ2	
囌	səu1	
囑	tɕy3	
囑	tsəu3	
囚	tɕʰiəu2	
四	sɿ5	
回	fəi2	
因	ʑin1	
囤	tʰən2	
囥	kʰaŋ5	
囪	tsʰoŋ1	
囫	fu2	
困	kʰuən5	
囹	lin2	
固	ku5	
圃	pu3	
圇	nən2	
圈	tɕʰyen1	
國	kue2	
圍	vəi2	
園	ʑyen2	
圓	ʑyen2	
圖	tʰəu2	
團	tʰuan2	
土	tʰəu3	
在	tsai5	
圭	kuəi1	
地	ti5	
圾	tɕi2	
址	tsʰɿ3	老
址	tsɿ3	新
均	tɕyn1	
坊	faŋ1	
坋	pʰən1	灰尘
坌	pən5	
坍	tʰan1	
坎	kʰan3	
坏	fai5	
坐	tso5	
坑	kʰən1	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
坯	pʰəi1	
坳	ŋau5	
坷	kʰo3	
垂	tsʰəi2	
垂	tɕʰy2	
垃	la1	
型	ɕin2	
垛	to3	
垟	ʑaŋ2	
垡	fa2	
垢	kəu5	
垣	ʑyen2	
垮	kʰua3	
垵	ŋan1	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tsʰən2	
埔	pʰu3	
域	ʑy5	
埠	pu5	
埤	pʰi2	
執	tsɿ2	
培	pʰəi2	
基	tɕi1	
堂	tʰaŋ2	
堅	tɕien1	
堆	təi1	
堊	ɣo2	
堋	poŋ5	
堋	pʰoŋ2	
堡	pau3	
堤	ti1	
堪	kʰan1	
堯	ʑau2	
堰	ʑen5	
報	pau5	
場	tsʰaŋ2	
堵	təu3	
塊	kʰuai3	一块钱
塊	ke5	白读，一～肉
塌	tʰa2	
塑	səu5	
塒	sɿ2	
塔	tʰa2	
塗	tʰəu2	
塘	tʰaŋ2	
塞	se2	
塢	vu1	
填	tʰien2	
塵	tsʰən2	
塹	tsʰien5	老
塹	tɕʰien5	新
塾	səu2	
境	tɕin5	
墅	ɕy5	
墊	tien5	
墓	mu5	
墜	tsəi5	
增	tsən1	
墟	ɕy1	
墨	me2	
墩	tən1	
墮	to5	
墳	fən2	
墾	kʰən3	
壁	pi2	壁头
壁	pi5	和氏璧
壅	ŋoŋ1	埋
壇	tʰan2	
壑	ho5	
壓	ʑia2	
壕	hau2	
壘	ləi3	
壞	fai5	
壟	loŋ3	
壤	ɣaŋ3	
壩	pa5	
士	sɿ5	
壬	ɣən2	白
壯	tsaŋ5	tɕiang45
壹	ʑi2	
壺	fu2	
壽	səu5	
夏	ɕia5	
夔	kʰuəi2	
夕	si1	老
夕	ɕi1	新
外	vai5	
多	to1	
夜	ʑe5	
夠	kəu5	
夢	moŋ5	
夥	ho3	
大	ta5	
天	tʰien1	
太	tʰai5	
夫	fu1	
夭	ʑau1	
央	ʑaŋ1	
夯	haŋ1	
失	sɿ2	
夷	ʑi2	
夸	kʰua1	
夾	ka2	老
夾	tɕia2	新
奄	ʑen3	
奇	tɕi2	
奇	tɕʰi2	
奈	nai5	
奉	hoŋ5	
奎	kʰuəi2	
奏	tsəu5	
契	tɕʰi5	
奔	pən1	
奔	pən5	
奕	ȵi5	老
奕	ʑi5	新
套	tʰau5	
奠	tien5	
奢	se1	
奧	ŋau5	
奪	to2	
奮	fən5	
女	ȵy3	
奴	nəu2	
奶	nai1	
奸	kan1	
她	tʰa1	
好	hau3	
好	hau5	
妁	so5	
如	ɣəu2	白
如	ʑy2	文
妃	fəi1	
妄	vaŋ5	
妊	ɣən5	
妒	təu5	
妓	tɕi5	
妖	ʑau1	
妗	tɕin5	
妙	miau5	
妝	tɕyaŋ1	
妝	tsaŋ1	
妞	ȵiəu1	
妣	pi3	
妥	tʰo3	
妨	faŋ2	
妮	ȵi2	
妹	məi5	
妻	tsʰəi1	
妾	tsʰie5	老
妾	tɕʰie5	新
姆	mu3	
姊	tsɿ3	
始	sɿ3	
姍	san1	
姐	tɕie3	新
姐	tsie3	老
姑	ku1	
姒	sɿ5	
姓	sin5	老
姓	ɕin5	新
委	vəi3	
姘	pʰin1	
姚	ʑau2	
姜	tɕiaŋ1	
姝	səu1	
姣	tɕiau1	
姥	mu3	
姦	tɕien1	
姨	ʑi2	
姪	tsɿ2	
姬	tɕi1	
姻	ʑin1	
姿	tsɿ1	
威	vəi1	
娃	va2	
娉	pʰin5	
娌	li3	
娑	so1	
娘	ȵiaŋ2	
娛	ʑy2	
娜	na5	
娟	tɕyen1	
娠	sən1	
娣	ti5	
娥	ɣo2	
娩	mien3	
娶	tɕʰi3	老
娶	tɕʰy3	新
娼	tsʰaŋ1	
婀	ŋa1	
婁	ləu2	
婆	pʰo2	
婉	van3	
婊	piau3	
婚	fən1	
婢	pi5	
婦	fu5	
婪	lan2	
婿	ɕi5	
媒	məi2	
媚	məi5	
媳	ɕi2	
媼	ŋau3	
嫁	ka5	
嫁	tɕia5	
嫂	sau3	
嫉	tɕi2	
嫌	ɕien2	
嫖	pʰiau2	
嫡	ti2	
嫦	tsʰaŋ2	
嫦	saŋ2	白读
嫩	nəi5	
嫫	mo2	
嬉	ɕi1	
嬋	tsʰen2	老
嬌	tɕiau1	
嬖	pi5	
嬗	san5	新
嬗	sen5	老
嬝	ȵiau3	
嬡	ŋai5	
嬤	mo3	
嬪	pʰin2	
嬰	ʑin1	
嬲	ȵiau3	
嬸	sən3	
孀	saŋ1	ɕiang13
孌	luan2	
子	tsɿ3	
孑	tɕie2	
孓	tɕie2	
孔	kʰoŋ3	文读
孔	loŋ3	白读
孕	ʑyn5	
字	tsɿ5	
存	tsʰən2	
孜	tsɿ1	
孝	ɕiau5	
孟	moŋ5	
孢	pau1	
季	tɕi5	
孤	ku1	
孥	nəu2	
孩	hai2	
孫	sən1	
孰	səu2	
孵	fu2	
學	ɕio2	
孺	ɣəu2	白
孺	zəu2	文
孽	ȵie2	作孽
孽	ȵie5	孽障
孿	luan2	
它	tʰa1	
宅	tsai2	白读
宅	tse2	文读
宇	ʑy3	
守	səu3	
安	ŋan1	
宋	soŋ5	
完	van2	
宏	hoŋ2	
宗	tsoŋ1	
官	kuan1	
宙	tsəu5	
定	tin5	
宛	van1	
宛	van3	
宜	ȵi2	老
宜	ʑi2	新
客	kʰe2	
宣	ɕyen1	
室	sɿ2	
宦	fan5	
宮	koŋ1	
宰	tsai3	
害	hai5	
宴	ȵien5	老
宴	ʑen5	新
宵	siau3	老
宵	ɕiau1	新
家	ka1	家公
家	tɕia1	
宸	tsʰən2	
容	ɣoŋ2	
容	ʑoŋ2	
宿	siəu5	老
宿	səu2	
宿	ɕiəu5	新
寂	tɕi5	新
寂	tsi5	老
寄	tɕi5	
寅	ʑin2	
密	mi2	
寇	kʰəu5	
富	fu5	
寐	məi5	
寒	han2	
寓	ʑy5	
寞	mo5	
察	tsʰa2	
寡	kua3	
寢	tsʰin3	老
寢	tɕʰin3	
寢	tɕʰin3	新
寥	liau2	
實	sɿ2	
寧	ȵin2	
寨	tsai5	
審	sən3	
寫	sie3	老
寫	ɕie3	新
寬	kʰuan1	
寮	liau2	
寵	tsʰoŋ3	
寶	pau3	
寸	tsʰən5	
寺	sɿ5	
封	hoŋ1	
射	se5	
將	tɕiaŋ1	新
將	tɕiaŋ5	新
將	tsiaŋ1	老
將	tsiaŋ5	老
專	tɕyen1	
尉	vəi5	
尊	tsən1	
尋	ɕyn2	
對	təi5	
導	tau3	
導	tau5	领导
小	siau3	老
小	ɕiau3	新
少	sau3	
少	sau5	
尖	tɕien1	新
尖	tsien1	老
尚	saŋ5	
尤	ʑəu2	
尬	ka5	
就	təu5	白
就	tɕiəu5	文
尷	kan1	
尸	sɿ1	
尹	ʑin3	
尺	tsʰɿ2	
尻	kʰau1	
尼	ȵi2	
尾	vəi3	
尿	ȵiau5	
局	tɕy2	
屁	pʰi5	
居	tɕy1	
屆	kai5	
屈	tɕʰy1	
屋	vu2	
屍	sɿ1	
屎	sɿ3	
屏	pʰin2	
屐	tɕi1	
屑	ɕie5	新
屑	ɕye5	老
展	tan3	白，展开
展	tsan3	新
展	tsen3	老
屙	ɣo1	
屙	ɣo1	拉
屛	pʰin2	
屜	tʰi5	
屠	tʰəu2	
屢	li3	老
屢	ly3	新
層	tsʰən2	
履	li3	
屬	səu2	
屯	tʰən2	
山	san1	
屹	ȵi5	老
屹	ʑi5	新
岌	tɕi2	
岔	tsʰa5	
岡	kaŋ1	
岩	ȵien2	老
岩	ʑen2	新
岱	tai5	
岳	ʑo2	
岸	ŋan5	
峙	tsɿ5	
峨	ɣo2	
峪	ʑy5	
峭	tsʰiau5	老
峭	tɕʰiau5	新
峯	hoŋ1	
島	tau5	
峻	tɕyn5	
峽	ɕia2	
崆	kʰoŋ1	
崇	tsʰoŋ2	
崍	lai2	
崎	tɕʰi2	
崑	kʰuən1	
崔	tsʰəi1	
崖	ŋai2	
崗	kaŋ1	
崙	nən2	
崛	tɕye2	
崩	poŋ1	
崽	tsai3	新
崽	tsəi3	老，儿
嵇	tɕi1	
嵊	sən5	
嵋	məi2	新
嵋	mi2	老
嵌	tɕʰien5	
嵐	lan2	
嶁	ləu2	
嶄	tsan3	新
嶄	tsen3	老
嶇	tɕʰy1	
嶗	lau2	
嶙	lin2	
嶴	ŋau5	
嶺	lin3	
嶼	ʑy3	
嶽	ʑo2	
巋	kʰuəi1	
巍	vəi1	
巒	luan2	
巔	tien1	
川	tɕʰyen1	
州	tsəu1	
巡	ɕyn2	
巢	tsʰau2	
工	koŋ1	
左	tso3	
巧	tɕʰiau3	
巨	tɕy5	
巫	vu1	
差	tsʰa1	
差	tsʰa3	差不多
差	tsʰɿ1	
己	tɕi3	
已	ʑi3	
巳	sɿ5	
巴	pa1	
巷	haŋ5	
巾	tɕin1	
市	sɿ5	
布	pu5	
帆	fan1	帆船
帆	fan2	帆布袋
希	ɕi1	
帕	pʰa5	
帖	tʰie2	
帘	lien2	
帚	tsəu3	
帛	po2	
帝	tʰi5	
帥	sai5	
帥	ɕyai5	
師	sɿ1	
席	si2	老
席	ɕi2	新
帳	tsaŋ5	
帶	tai5	
常	tsʰaŋ2	文读
常	saŋ2	白读
帽	mau5	
幀	tsən1	
幅	fu2	
幌	faŋ3	
幔	man5	新
幔	muan5	老
幕	mu5	
幗	ko2	
幟	tsɿ5	
幢	tsaŋ5	
幣	pi5	
幫	paŋ1	
干	kan1	
平	pʰin2	
年	ȵien2	
并	pin5	
幸	ɕin5	
幹	kan5	
幻	fan5	
幼	ʑəu5	
幽	ʑəu1	
幾	tɕi1	
幾	tɕi3	
庇	pi5	
牀	tsʰaŋ2	
牀	tɕʰyaŋ2	
序	ɕy5	
底	ti3	
庖	pʰau2	
店	tien5	
庚	kən1	
府	fu3	
度	təu5	
座	tso5	
庫	kʰu5	
庭	tʰin2	
庳	pi5	
庵	ŋan1	
庶	səu5	
康	kʰaŋ1	
庸	ʑoŋ1	
廁	tsʰe2	
廂	siaŋ1	老
廂	ɕiaŋ1	新
廄	tɕiəu5	
廈	ɕia5	
廉	lien2	
廊	laŋ2	
廒	ŋau2	
廓	ko1	
廖	liau5	
廚	tɕʰy2	
廝	sɿ1	
廟	miau5	
廠	tsʰaŋ3	
廢	fəi5	
廣	kuaŋ3	
廬	ləu2	
廳	tʰin1	
延	ȵien2	
廷	tʰin2	
建	tɕien5	
廿	ɣə5	
弄	noŋ5	
弊	pi5	
式	sɿ5	
弓	koŋ1	
弔	tiau5	
引	ʑin3	
弗	fu2	
弘	hoŋ2	
弛	tsʰɿ2	
弟	ti5	
弦	ɕien2	新
弦	ɕyen2	老
弧	fu2	老
弩	nəu3	
弭	mi3	
弱	zo5	
張	tsaŋ1	
強	tɕʰiaŋ2	
強	tɕʰiaŋ3	勉强
弼	pi2	
彆	pie2	
彈	tan5	
彈	tʰan2	
彌	mi2	
彎	van1	
彗	fəi5	
彙	fəi5	
彞	ʑi2	
形	ɕin2	
彤	tʰoŋ1	
彥	ȵie5	
彩	tsʰai3	
彪	piau1	
彫	tiau1	
彬	pin1	
彭	pʰən2	新派
彭	pʰoŋ2	老派
彰	tsaŋ1	
影	ʑin3	
彷	faŋ2	
役	ʑi5	
彼	pi3	
彿	fu2	
往	vaŋ3	
征	tsən1	
