#漢字	音標	解釋
另	leŋ6	
叩	kʰau5	
只	tsɿ7	～有
只	tɕi7	量词，两～脚
叫	tɕyø5	
可	kʰo3	
台	tʰe1	～州
台	de2	
史	sɿ3	
右	ɦiau6	
葉	ɦie8	
號	ɦɛ6	
司	sɿ1	
嘆	tʰɔ5	
吃	tɕʰi7	
各	ko7	
合	ɦe8	
吉	tɕie7	
吊	tuɔ5	
同	doŋ2	
名	meŋ2	
后	ɦau4	
吏	lei6	
吐	tʰəy3	～痰
吐	tʰəy5	呕～
向	ɕiɛ5	
嚇	ho7	
吕	ləy4	
君	tɕyŋ1	
吝	leŋ6	～啬
吞	tʰø1	
吟	ȵiaŋ2	
否	fɛ3	
吨	taŋ5	
含	ɦø2	
听	tʰeŋ1	
启	tɕʰi3	
吴	ŋ2	
吵	tsʰɔ3	
吸	ɕie7	
吻	vaŋ4	
吼	hau3	
呆	ŋe2	
呈	dzeŋ2	
告	kɛ5	
嘔	ˀau1	
員	ɦyø2	
嗆	tɕʰiɛ5	
周	tsəu1	
味	mei6	
呼	fu1	
命	meŋ6	
和	vu2	
咎	dʑiau4	
咏	ˀioŋ3	
咨	tsɿ1	
咬	ŋɔ4	
咸	ɦɔ2	
哀	ˀe1	
品	pʰeŋ3	
哄	hoŋ3	
響	ɕiɛ3	
啞	ˀo3	
哥	ku1	
哨	sɔ5	
哭	kʰu7	
哲	tɕie7	
哽	ka3	
脣	zəŋ2	
唐	do2	
喚	ɕyø5	
售	dzəu2	
唱	tɕʰiɛ5	
唾	tai5	痰～
啃	kʰaŋ1	
商	ɕiɛ1	
嗇	se7	
啼	dei2	
喂	y5	
善	ɦie4	
喉	ɦau2	
喊	hɔ3	
喘	tɕʰyø3	
喜	ɕi3	
喝	hɔ7	白读
喝	hø7	～釆
喝	hø7	～水
喧	ɕyø1	
噴	pʰaŋ1	
喻	ɦy6	
嗅	ɕiau5	～觉
嗅	hoŋ5	白读，闻
嗜	zɿ2	
嗽	sau5	咳〜
嘉	ko1	
噓	ɕy1	
嘴	tɕy3	
噎	ˀie7	
器	tɕʰi5	
囂	ɕyø1	
嚼	ɦiɔ2	
囊	no2	
囚	dzəu2	
四	sɿ5	
回	vai2	
因	ˀiaŋ1	
团	dø2	
園	ɦyø2	
困	kʰaŋ5	
囱	tsʰoŋ1	
圍	ɦy2	
固	ku5	
國	ke7	
圖	dəy2	
圓	ɦyø2	
圈	tɕʰyø1	
土	tʰəy3	
聖	seŋ5	
在	ze4	
地	dei6	
場	dʑiɛ2	
址	tsɿ3	
均	tɕyŋ1	
坌	baŋ2	灰尘起扬
坍	tʰɔ1	
坎	kʰø3	
壞	va6	
坐	zo4	
坑	kʰa1	
塊	kʰai5	
堅	tɕie1	
坛	dɔ2	
壩	puo5	
墳	vaŋ2	
坡	pu1	
坤	kʰaŋ1	
坦	tʰɔ3	～白
坪	beŋ2	
坯	pʰai1	土～
垂	zəy2	
壟	luo4	
壠	loŋ4	
型	ɦiaŋ2	
垒	lai4	
垢	kau3	
墾	kʰaŋ3	
垮	kʰuɔ1	
埋	ma2	
城	zeŋ2	
埠	bu6	
培	bai2	
基	tɕi1	
堂	do2	
堆	tai1	
堡	pɛ3	
堤	dei2	
堪	kʰø1	
堵	təy3	
塌	tʰɔ7	
塑	səy5	
塔	tʰɔ7	
塘	do2	
塞	se5	边～
塞	se7	～住
填	die2	
境	tɕiaŋ5	
墓	mu6	
牆	ɦiɛ2	
增	tsaŋ1	
墨	me8	
墩	tø1	
壁	pei7	
壕	ɦɛ2	
壤	ɦiɛ6	
士	zɿ4	
壯	tso5	文读
壯	tɕyo5	白读
聲	seŋ1	
殼	kʰo7	
壺	vu2	
處	tɕʰy5	
備	bei6	
复	fu7	
夏	ɦo6	
外	va6	
多	təu1	
夜	i6	
够	kau5	
大	da6	文读
大	dəu6	白读
天	tʰie1	
太	tʰa5	
夫	fu1	
央	ˀiɛ1	
失	sɛ7	
頭	dəu2	
夷	i2	
夸	kʰuɔ1	
夾	kɔ7	
奪	dø8	
奇	dʑi2	
奈	na6	
奉	voŋ4	
奮	faŋ5	
奏	tsau5	
契	tɕʰi5	
奔	paŋ1	
獎	tɕiɛ3	
套	tʰɛ5	
奚	i2	
奧	ˀɛ5	
女	ȵy4	
奴	nəu2	
奶	na1	母亲
奶	na4	
奸	kɔ1	
好	hɛ3	
好	hɛ5	爱～
