#漢字	音標	解釋
頂	teŋ3	
頃	tsʰoŋ3	
項	ɦo4	
順	ɦyŋ6	
须	səy1	
頑	ɦuɔ8	
顧	ku5	
頓	taŋ5	
頒	pɔ1	
頌	ɦyo6	
預	ɦy6	
領	leŋ4	
頗	pʰu3	
頸	tɕiaŋ3	
頻	beŋ2	
顆	kʰu1	
題	dei2	
顏	ŋɔ2	
額	ŋa8	
顛	tie1	
風	foŋ1	
颼	sau1	
飄	pʰie1	
飛	fei1	
食	zei8	
餐	tsʰɔ1	
饥	tɕi1	
飩	daŋ2	馄～
飯	vɔ6	
飲	ˀiaŋ3	
飽	pɔ3	
飼	zɿ2	
饒	ȵiɔ2	
餅	peŋ3	
餓	ŋai6	白读
餓	ŋ6	
館	kyø3	
餿	sau1	
饞	zɔ2	
饅	mø2	～头
首	səu3	
香	ɕiɛ1	
馬	mo4	
馱	dəu2	
馳	dzɿ2	
驅	tɕʰy1	
駁	puo7	
驢	ləy2	
駛	sɿ3	文读
駛	sa3	
駒	tɕy1	
駐	tɕy5	
駝	dəu2	
駕	ko5	
罵	mɔ6	
驕	tɕyø1	
驗	ȵi6	
駿	tɕyŋ5	
騎	dʑi2	
騎	lo8	
騙	pʰie5	
騷	sɛ1	
驟	dzau6	
骨	kyø7	
骰	dəu2	～子
高	kɛ1	
鬃	tsoŋ1	
鬼	tɕy3	
魁	kʰai1	
魂	ɦyø2	
魄	pʰa7	
魏	ŋai6	
魔	mu2	
魚	ȵy2	
魯	ləu4	
鮑	bɔ4	
鱟	hau5	虹
鮮	ɕie1	
鯗	ɕiɛ3	
鯉	lei4	
鰲	ŋɛ2	
鱗	leŋ2	
鳥	ȵiɔ4	文读
鳥	tuɔ3	白读
鳩	tɕiau1	
雞	tɕi1	
鳴	meŋ2	
鴉	ˀo1	
鴨	ˀɔ7	
鴿	ke7	
鸞	lø2	
鴻	ɦoŋ2	
鵝	ŋ2	
鵡	vu4	
鵲	tɕʰiɔ1	喜～
鶴	ŋo8	
鸚	ˀiaŋ1	
鷹	ˀiaŋ1	
鹿	ləu8	
麒	dʑi2	
麥	ma8	
麩	fu1	
麻	mo2	
黃	ɦo2	
黎	lei2	
黑	he5	
默	mie8	
鼎	teŋ3	
鼓	ku3	
鼠	tɕʰi3	
鼻	bie8	
鼾	hø1	～声
齊	zei2	
齒	tsʰɿ3	
龍	luo2	
龜	tɕy1	
