#调值	[1]³¹ [2]²⁴ [3]²¹³ [5]⁵³ [6]⁴² [7]⁵																										
#ɿ																											
t	[1]都兜[3]肚赌堵犊陡斗抖[5]逗妒斗[6]度渡镀牍杜豆踱[7]笃督毒独读																										
tʰ	[1]偷[2]屠徒途涂投头[3]土敨[5]吐兔透[7]突秃																										
n	[2]庐卢炉芦鸬奴楼[3]鲁撸卤努搂[5]陋[6]路露鹭赂怒漏[7]六陆绿录鹿禄																										
k	[1]鸠勾钩沟[3]狗苟[5]构够购彀																										
kʰ	[1]抠眍[3]口[5]寇扣叩																										
ŋ	[1]欧瓯殴[3]呕藕[5]沤怄																										
x	[2]侯喉猴瘊[3]吼[6]候后厚																										
ts	[1]租绉邹[3]组祖阻走[5]奏骤皱[6]助[7]卒足																										
tsʰ	[1]初粗[2]愁锄[3]褚楚[5]醋凑[7]猝族促																										
s	[1]梳疏蔬搜馊飕蔸苏酥[3]数叟[5]数素漱诉塑嗦瘦嗽[7]续肃宿速俗粟																										
tʂ	[1]周舟州洲[3]帚肘[5]咒宙纣昼																										
tʂʰ	[1]抽[2]仇酬稠绸筹[3]丑[5]臭																										
ʂ	[1]收[3]手首守[5]兽[6]受寿																										
ʐ	[2]揉柔[7]辱褥肉入																										
#iəɯ																											
m	[5]谬																										
t	[1]丢																										
n	[1]溜妞[2]牛刘留馏榴流硫琉[3]柳纽扭[5]绺熘																										
tɕ	[1]纠阉揪[3]酒久九韭灸[5]咎救究[6]舅臼就旧枢																										
tɕʰ	[1]丘邱秋瞅[2]囚泅虬仇{姓}求球裘[3]糗																										
ɕ	[1]休修羞[3]朽[5]袖[6]嗅诱秀绣锈[7]畜蓄																										
#o																											
p	[1]波菠卜[3]跛[5]簸[6]薄[7]剥勃驳膊饽博钵拨帛																										
pʰ	[1]坡[2]婆[3]颇剖[5]破[7]泼																										
m	[1]摸[2]磨摩馍模摹谋[3]某亩牡母拇[6]莫暮慕墓募幕[7]没寞膜木末沫																										
#io																											
n	[7]略掠虐疟																										
tɕ	[7]爵觉脚																										
tɕʰ	[6]嚼[7]确却雀鹊																										
ɕ	[6]学[7]削																										
Ø	[7]岳药钥约																										
#o																											
k	[1]锅[3]果裹[5]过[6][7]																										
kʰ	[1]科窠窝棵稞颗[5]课[7]扩阔																										
x	[2]荷河何和禾[3]火伙[5]贺货藿霍[6]祸鹤盒活[7]喝豁合																										
#uo																											
Ø	[1]蜗倭卧斡沃[7]杌																										
#ɛ																											
p	[3]摆[5]拜[6]败稗																										
pʰ	[2]排牌[5]派																										
m	[2]埋[3]买[6]卖迈																										
t	[1]呆[5]带戴[6]代袋贷待殆大{～夫}怠																										
tʰ	[2]台苔邰苔抬[5]太泰[6]胎态																										
n	[1]奶{祖母}[2]来莱[3]乃奶[6]赖癞奈耐鼐																										
k	[1]该街[3]解改[5]概溉盖丐戒																										
kʰ	[1]开揩[3]凯楷																										
x	[2]孩还[3]蟹海[6]亥害																										
ŋ	[1]挨捱[3]矮蔼[5]爱[6]碍隘艾																										
ts	[1]灾栽[3]载宰[5]载再[6]在																										
tsʰ	[1]猜[2]才财材裁[3]采彩睬踩[5]蔡																										
s	[1]腮鳃[5]赛																										
tʂ	[1]斋[5]债[6]寨宅																										
tʂʰ	[1]差钗[2]豺柴																										
ʂ	[1]筛[5]晒																										
#iɛ																											
tɕ	[1]阶[3]解{文}[5]介疥芥[6]界届戒{文}[7]																										
ɕ	[2]鞋{文}谐																										
Ø	[2]岩癌																										
#uɛ																											
k	[1]乖[3]拐[5]怪																										
kʰ	[5]块快筷会{～计}																										
x	[2]怀淮槐[6]坏																										
Ø	[1]歪[6]外																										
#ʯɛ																											
tʂ	[5]拽																										
tʂʰ	[5]踹[6]揣																										
ʂ	[1]摔衰[3]甩[5]率帅																										
#ɔ																											
p	[1]包胞苞[3]保宝褒堡煲饱[5]豹报[6]爆暴雹鲍抱																										
pʰ	[1]抛[2]跑袍刨咆[5]泡炮																										
m	[1]猫[2]毛矛茅锚髦[3]卯铆 □{漏掉}[5]冒[6]茂贸貌帽																										
t	[1]刀叨鱽[3]倒{～下}导岛祷蹈捣[5]到悼倒{～立}[6]盗道稻																										
tʰ	[1]涛掏滔[2]陶淘逃桃洮{~米}萄[3]讨[5]套																										
n	[1]孬捞唠[2]挠劳牢痨[3]脑恼瑙老姥佬[5]□{动}[6]闹涝烙酪痨																										
tʂ	[1]招昭朝{～气}沼钊[3]找爪[5]照罩肇[6]召赵兆诏																										
tʂʰ	[1]抄超钞[2]朝{朝代}潮巢嘲[3]吵炒[5]耖																										
ʂ	[1]烧捎稍烧梢筲[2]勺韶[3]少{~有}[5]哨少{~年}邵[6]绍																										
ts	[1]遭糟[3]早枣澡藻[5]噪燥躁灶[6]皂造																										
tsʰ	[1]操{～心}糙[2]曹槽[3]草驊[5]操{姓}																										
s	[1]骚臊{腥～}[3]嫂扫{打～}[5]扫{～地}臊{害～}																										
k	[1]高篙膏羔糕跤{白}跤茭{~白}交{遍:洗两~ }[3]搞稿搅{打~ :打扰}[5]叫{~花子:乞丐}较{~秤}告觉{白}珓{占卜用具}																										
kʰ	[1]敲[3]考烤[5]铐搞靠拷																										
x	[1]蒿薅[2]豪毫嚎壕[3]好郝[5]好耗昊皓浩[6]号																										
ŋ	[2]熬鳌[3]袄咬[5]傲澳奥坳[6]懊																										
Ø	[2]儿[3]耳[6]二贰																										
#iɔ																											
p	[1]标彪飙镖镳[3]表裱婊																										
pʰ	[1]漂{~流}飘[2]缥瓢[3]漂{~白}[5]漂{~亮}票																										
m	[1]瞄[2]描苗描[3]秒渺藐[6]妙庙																										
t	[1]叼刁凋貂雕碉[3]屌[5]钓掉吊																										
