	字	IPA	吴拼	注释	声母	韵母	调值	吴拼声	吴拼韵	调类	原注	校注	多音字
2629	□	ho³⁵		脱：~帽	h	o	³⁵			3	脱：~帽		127
2630	晃	ho⁵³			h	o	⁵³			5			
2631	吓	ho⁴²⁴			h	o	⁴²⁴			7			2
2632	霍	ho⁴²⁴			h	o	⁴²⁴			7			
2633	藿	ho⁴²⁴			h	o	⁴²⁴			7			
2634	鸦	o⁴⁴				o	⁴⁴			1			
2635	丫	o⁴⁴		树~		o	⁴⁴			1	树~		3
2636	桠	o⁴⁴				o	⁴⁴			1			
2637	蛙	o⁴⁴				o	⁴⁴			1			
2638	洼	o⁴⁴				o	⁴⁴			1			
2639	屙	o⁴⁴				o	⁴⁴			1			2
2640	肮	o⁴⁴				o	⁴⁴			1			
2641	汪	o⁴⁴				o	⁴⁴			1			
2642	哑	o³⁵				o	³⁵			3			
2643	下	o³⁵		1		o	³⁵			3	1		2
2644	亚	o⁵³				o	⁵³			5			
2645	□	o⁵³		眼~：羡慕		o	⁵³			5	眼~：羡慕		127
2646	恶	o⁴²⁴				o	⁴²⁴			7			
2647	□	o⁴²⁴		都		o	⁴²⁴			7	都		127
2648	行	ɦo³¹		行列	ɦ	o	³¹			2	行列		2
2649	航	ɦo³¹			ɦ	o	³¹			2			
2650	杭	ɦo³¹			ɦ	o	³¹			2			
2651	黄	ɦo³¹		2	ɦ	o	³¹			2	2		2
2652	簧	ɦo³¹			ɦ	o	³¹			2			
2653	皇	ɦo³¹			ɦ	o	³¹			2			
2654	蝗	ɦo³¹			ɦ	o	³¹			2			
2655	笐	ɦo³¹		~干	ɦ	o	³¹			2	~干		
2656	下	ɦo¹³		2	ɦ	o	¹³			4	2		2
2657	项	ɦo¹³			ɦ	o	¹³			4			
2658	厦	ɦo¹³		~门	ɦ	o	¹³			4	~门		
2659	霞	ɦo²¹²			ɦ	o	²¹²			6			
2660	瑕	ɦo²¹²			ɦ	o	²¹²			6			
2661	遐	ɦo²¹²			ɦ	o	²¹²			6			
2662	夏	ɦo²¹²			ɦ	o	²¹²			6			
2663	旺	ɦo²¹²			ɦ	o	²¹²			6			
2664	巷	ɦo²¹²			ɦ	o	²¹²			6			
2665	蛤	ɦo³¹³		~蟆	ɦ	o	³¹³			8	~蟆		2
2666	镬	ɦo³¹³			ɦ	o	³¹³			8			
2667	学	ɦo³¹³			ɦ	o	³¹³			8			
2668	峃	ɦo³¹³			ɦ	o	³¹³			8			
2669	瓜	kuo⁴⁴			k	uo	⁴⁴			1			
2670	□	uo⁵³		一~儿：一会儿		uo	⁵³			5	一~儿：一会儿		127
2671	华	ɦuo³¹			ɦ	uo	³¹			2			
2672	铧	ɦuo³¹			ɦ	uo	³¹			2			
2673	花	ɦuo³¹		黄~：乐清镇名	ɦ	uo	³¹			2	黄~：乐清镇名		3
2674	桦	ɦuo³¹			ɦ	uo	³¹			2			
2675	画	ɦuo²¹²			ɦ	uo	²¹²			6			
2676	话	ɦuo²¹²			ɦ	uo	²¹²			6			
2677	滑	ɦuo³¹³			ɦ	uo	³¹³			8			
2678	猾	ɦuo³¹³			ɦ	uo	³¹³			8			
2679	活	ɦuo³¹³			ɦ	uo	³¹³			8			
2680	伐	ɦuo³¹³			ɦ	uo	³¹³			8			
2681	筏	ɦuo³¹³			ɦ	uo	³¹³			8			
2682	罚	ɦuo³¹³			ɦ	uo	³¹³			8			
2683	缚	ɦuo³¹³			ɦ	uo	³¹³			8			
2684	乏	ɦuo³¹³			ɦ	uo	³¹³			8			
2685	龙	lɦyo³¹			lɦ	yo	³¹			2			
2686	垄	lɦyo¹³			lɦ	yo	¹³			4			
2687	绿	lɦyo³¹³			lɦ	yo	³¹³			8			
2688	录	lɦyo³¹³			lɦ	yo	³¹³			8			
2689	桩	tʃyo⁴⁴			tʃ	yo	⁴⁴			1			
2690	纵	tʃyo⁴⁴		~横	tʃ	yo	⁴⁴			1	~横		2
2691	庄	tʃyo⁴⁴		芳~乡：当地乡名	tʃ	yo	⁴⁴			1	芳~乡：当地乡名		2
2692	怂	tʃyo⁴⁴			tʃ	yo	⁴⁴			1			
2693	钟	tʃyo⁴⁴			tʃ	yo	⁴⁴			1			
2694	恭	tʃyo⁴⁴			tʃ	yo	⁴⁴			1			
2695	供	tʃyo⁴⁴		供给，供不起	tʃ	yo	⁴⁴			1	供给，供不起		2
2696	□	tʃyo⁴⁴		做	tʃ	yo	⁴⁴			1	做		127
2697	种	tʃyo³⁵		~类	tʃ	yo	³⁵			3	~类		2
2698	肿	tʃyo³⁵			tʃ	yo	³⁵			3			
2699	壮	tʃyo⁵³		肥	tʃ	yo	⁵³			5	肥		2
2700	□	tʃyo⁵³		山~：栖于小山涧里的一种蛙	tʃ	yo	⁵³			5	山~：栖于小山涧里的一种蛙		127
2701	种	tʃyo⁵³		~树	tʃ	yo	⁵³			5	~树		2
2702	供	tʃyo⁵³		~养，上~	tʃ	yo	⁵³			5	~养，上~		2
2703	绰	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2704	桌	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2705	卓	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2706	琢	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2707	啄	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			2
2708	捉	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2709	烛	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2710	足	tʃyo⁴²⁴			tʃ	yo	⁴²⁴			7			
2711	匡	tʃʰyo⁴⁴			tʃʰ	yo	⁴⁴			1			
2712	筐	tʃʰyo⁴⁴			tʃʰ	yo	⁴⁴			1			
2713	眶	tʃʰyo⁴⁴			tʃʰ	yo	⁴⁴			1			
2714	窗	tʃʰyo⁴⁴			tʃʰ	yo	⁴⁴			1			
2715	闯	tʃʰyo³⁵			tʃʰ	yo	³⁵			3			
2716	恐	tʃʰyo³⁵			tʃʰ	yo	³⁵			3			
2717	戳	tʃʰyo⁴²⁴			tʃʰ	yo	⁴²⁴			7			
2718	触	tʃʰyo⁴²⁴			tʃʰ	yo	⁴²⁴			7			
2719	曲	tʃʰyo⁴²⁴			tʃʰ	yo	⁴²⁴			7			2
2720	狂	dʒɦyo³¹			dʒɦ	yo	³¹			2			
2721	逛	dʒɦyo³¹			dʒɦ	yo	³¹			2			
2722	茬	dʒɦyo³¹		麦~，草~，竹~	dʒɦ	yo	³¹			2	麦~，草~，竹~		
2723	重	dʒɦyo¹³		轻~	dʒɦ	yo	¹³			4	轻~		2
2724	状	dʒɦyo²¹²			dʒɦ	yo	²¹²			6			
2725	共	dʒɦyo²¹²			dʒɦ	yo	²¹²			6			
2726	撞	dʒɦyo²¹²			dʒɦ	yo	²¹²			6			
2727	重	dʒɦyo²¹²		~复	dʒɦ	yo	²¹²			6	~复		2
2728	浊	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2729	嘱	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2730	蜀	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2731	属	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2732	锔	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2733	局	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2734	焗	dʒɦyo³¹³			dʒɦ	yo	³¹³			8			
2735	霜	ʃyo⁴⁴			ʃ	yo	⁴⁴			1			
2736	孀	ʃyo⁴⁴			ʃ	yo	⁴⁴			1			
2737	双	ʃyo⁴⁴			ʃ	yo	⁴⁴			1			
2738	胸	ʃyo⁴⁴			ʃ	yo	⁴⁴			1			
2739	凶	ʃyo⁴⁴			ʃ	yo	⁴⁴			1			
2740	爽	ʃyo³⁵			ʃ	yo	³⁵			3			
2741	况	ʃyo⁵³			ʃ	yo	⁵³			5			
2742	缩	ʃyo⁴²⁴			ʃ	yo	⁴²⁴			7			
2743	粟	ʃyo⁴²⁴			ʃ	yo	⁴²⁴			7			
2744	束	ʃyo⁴²⁴			ʃ	yo	⁴²⁴			7			
2745	朔	ʃyo⁴²⁴			ʃ	yo	⁴²⁴			7			2
2746	□	ʃyo⁴²⁴		躲藏	ʃ	yo	⁴²⁴			7	躲藏		127
2747	玉	ɲyo⁴²⁴		1	ɲ	yo	⁴²⁴			7	1		2
2748	狱	ɲyo⁴²⁴		1	ɲ	yo	⁴²⁴			7	1		2
2749	浓	ɲɦyo³¹			ɲɦ	yo	³¹			2			3
2750	玉	ɲɦyo³¹³		2	ɲɦ	yo	³¹³			8	2		2
2751	狱	ɲɦyo³¹³		2	ɲɦ	yo	³¹³			8	2		2
2752	痈	yo⁴⁴				yo	⁴⁴			1			
2753	甬	yo³⁵				yo	³⁵			3			
2754	勇	yo³⁵				yo	³⁵			3			
2755	涌	yo³⁵				yo	³⁵			3			
2756	壅	yo⁵³				yo	⁵³			5			
2757	床	ɦyo³¹			ɦ	yo	³¹			2			
2758	王	ɦyo³¹			ɦ	yo	³¹			2			
2759	松	ɦyo³¹		1。~树	ɦ	yo	³¹			2	1。~树		2
2760	往	ɦyo¹³			ɦ	yo	¹³			4			
2761	诵	ɦyo¹³			ɦ	yo	¹³			4			
2762	颂	ɦyo¹³			ɦ	yo	¹³			4			
2763	讼	ɦyo¹³			ɦ	yo	¹³			4			
2764	从	ɦyo²¹²		跟从	ɦ	yo	²¹²			6	跟从		2
2765	用	ɦyo²¹²			ɦ	yo	²¹²			6			
2766	籰	ɦyo³¹³			ɦ	yo	³¹³			8			
2767	俗	ɦyo³¹³			ɦ	yo	³¹³			8			
2768	续	ɦyo³¹³			ɦ	yo	³¹³			8			
2769	赎	ɦyo³¹³			ɦ	yo	³¹³			8			
2770	欲	ɦyo³¹³			ɦ	yo	³¹³			8			
2771	浴	ɦyo³¹³			ɦ	yo	³¹³			8			
2772	□	pø⁴⁴		后~：后边	p	ø	⁴⁴			1	后~：后边		127
2773	□	pø³⁵		女阴	p	ø	³⁵			3	女阴		127
2774	半	pø⁵³			p	ø	⁵³			5			
2775	钵	pø⁴²⁴			p	ø	⁴²⁴			7			
2776	拨	pø⁴²⁴			p	ø	⁴²⁴			7			
2777	潘	pʰø⁴⁴			pʰ	ø	⁴⁴			1			
2778	□	pʰø³⁵		束寻~：儿童游戏之一	pʰ	ø	³⁵			3	束寻~：儿童游戏之一		127
2779	判	pʰø⁵³			pʰ	ø	⁵³			5			
2780	泼	pʰø⁴²⁴			pʰ	ø	⁴²⁴			7			
2781	搬	bɦø³¹			bɦ	ø	³¹			2			
2782	盘	bɦø³¹			bɦ	ø	³¹			2			
2783	盆	bɦø³¹			bɦ	ø	³¹			2			
2784	绊	bɦø¹³			bɦ	ø	¹³			4			
2785	伴	bɦø¹³			bɦ	ø	¹³			4			
2786	拌	bɦø¹³			bɦ	ø	¹³			4			
2787	叛	bɦø¹³			bɦ	ø	¹³			4			
2788	胖	bɦø¹³			bɦ	ø	¹³			4			
2789	般	bɦø²¹²			bɦ	ø	²¹²			6			
2790	皺	bɦø³¹³			bɦ	ø	³¹³			8			
2791	抹	mø⁴²⁴		1	m	ø	⁴²⁴			7	1		2
2792	末	mø⁴²⁴		1	m	ø	⁴²⁴			7	1		2
2793	沫	mø⁴²⁴		1	m	ø	⁴²⁴			7	1		2
2794	没	mø⁴²⁴		1	m	ø	⁴²⁴			7	1		2
2795	物	mø⁴²⁴		2。~事	m	ø	⁴²⁴			7	2。~事		3
2796	瞒	mɦø³¹			mɦ	ø	³¹			2			
2797	馒	mɦø³¹			mɦ	ø	³¹			2			2
2798	满	mɦø¹³			mɦ	ø	¹³			4			
2799	□	mɦø¹³		淹	mɦ	ø	¹³			4	淹		127
2800	抹	mɦø³¹³		2	mɦ	ø	³¹³			8	2		2
2801	末	mɦø³¹³		2	mɦ	ø	³¹³			8	2		2
2802	沫	mɦø³¹³		2	mɦ	ø	³¹³			8	2		2
2803	没	mɦø³¹³		2	mɦ	ø	³¹³			8	2		2
2804	物	mɦø³¹³		3。~事	mɦ	ø	³¹³			8	3。~事		3
2805	端	tø⁴⁴		东西的头	t	ø	⁴⁴			1	东西的头		2
2806	敦	tø⁴⁴			t	ø	⁴⁴			1			
2807	墩	tø⁴⁴			t	ø	⁴⁴			1			
2808	□	tø⁴⁴		阉	t	ø	⁴⁴			1	阉		127
2809	短	tø³⁵			t	ø	³⁵			3			
2810	锻	tø⁵³			t	ø	⁵³			5			
2811	答	tø⁴²⁴			t	ø	⁴²⁴			7			
2812	掇	tø⁴²⁴			t	ø	⁴²⁴			7			
2813	端	tø⁴²⁴		动词	t	ø	⁴²⁴			7	动词		2
2814	贫	tʰø⁴⁴			tʰ	ø	⁴⁴			1			2
2815	吞	tʰø⁴⁴			tʰ	ø	⁴⁴			1			
2816	探	tʰø⁵³			tʰ	ø	⁵³			5			
2817	脱	tʰø⁴²⁴		2	tʰ	ø	⁴²⁴			7	2		2
2818	团	dɦø³¹			dɦ	ø	³¹			2			
2819	屯	dɦø³¹			dɦ	ø	³¹			2			
2820	豚	dɦø³¹			dɦ	ø	³¹			2			
2821	臀	dɦø³¹			dɦ	ø	³¹			2			
2822	囤	dɦø³¹			dɦ	ø	³¹			2			
2823	沌	dɦø³¹			dɦ	ø	³¹			2			
2824	断	dɦø¹³		1	dɦ	ø	¹³			4	1		2
2825	段	dɦø²¹²			dɦ	ø	²¹²			6			
2826	缎	dɦø²¹²			dɦ	ø	²¹²			6			
2827	椴	dɦø²¹²			dɦ	ø	²¹²			6			
2828	钝	dɦø²¹²			dɦ	ø	²¹²			6			
2829	遁	dɦø²¹²			dɦ	ø	²¹²			6			
2830	夺	dɦø³¹³		2	dɦ	ø	³¹³			8	2		2
2831	突	dɦø³¹³			dɦ	ø	³¹³			8			
2832	纳	nø⁴²⁴		1	n	ø	⁴²⁴			7	1		2
2833	□	nø⁴²⁴		1。~~：小猪【按】或为“囡”	n	ø	⁴²⁴			7	1。~~：小猪【按】或为“囡”		127
2834	暖	nɦø¹³		1	nɦ	ø	¹³			4	1		2
2835	嫩	nɦø²¹²			nɦ	ø	²¹²			6			
2836	纳	nɦø³¹³		2	nɦ	ø	³¹³			8	2		2
2837	□	nɦø³¹³		2。~~儿：小猪	nɦ	ø	³¹³			8	2。~~儿：小猪		127
2838	粒	lø⁴²⁴		1	l	ø	⁴²⁴			7	1		2
2839	鸾	lɦø³¹			lɦ	ø	³¹			2			
2840	卵	lɦø¹³		1。男阴	lɦ	ø	¹³			4	1。男阴		2
2841	乱	lɦø²¹²			lɦ	ø	²¹²			6			
2842	论	lɦø²¹²			lɦ	ø	²¹²			6			
2843	粒	lɦø³¹³		2	lɦ	ø	³¹³			8	2		2
2844	簪	tsø⁴⁴			ts	ø	⁴⁴			1			
2845	尊	tsø⁴⁴			ts	ø	⁴⁴			1			
2846	遵	tsø⁴⁴			ts	ø	⁴⁴			1			
2847	钻	tsø⁵³			ts	ø	⁵³			5			
2848	参	tsʰø⁴⁴			tsʰ	ø	⁴⁴			1			2
2849	汆	tsʰø⁴⁴		~丸子	tsʰ	ø	⁴⁴			1	~丸子		
2850	村	tsʰø⁴⁴			tsʰ	ø	⁴⁴			1			
2851	焯	tsʰø⁴⁴			tsʰ	ø	⁴⁴			1			
2852	惨	tsʰø³⁵			tsʰ	ø	³⁵			3			
2853	窜	tsʰø³⁵			tsʰ	ø	³⁵			3			
2854	篡	tsʰø³⁵			tsʰ	ø	³⁵			3			
2855	忖	tsʰø³⁵			tsʰ	ø	³⁵			3			
2856	寸	tsʰø⁵³			tsʰ	ø	⁵³			5			
2857	揣	dzɦø²¹²		藏在衣服里	dzɦ	ø	²¹²			6	藏在衣服里		
2858	酸	sø⁴⁴			s	ø	⁴⁴			1			
2859	闩	sø⁴⁴			s	ø	⁴⁴			1			
2860	拴	sø⁴⁴			s	ø	⁴⁴			1			
2861	孙	sø⁴⁴			s	ø	⁴⁴			1			
2862	损	sø³⁵			s	ø	³⁵			3			
2863	逊	sø³⁵			s	ø	³⁵			3			
2864	算	sø⁵³			s	ø	⁵³			5			
2865	蒜	sø⁵³			s	ø	⁵³			5			
2866	涮	sø⁴²⁴			s	ø	⁴²⁴			7			
2867	刷	sø⁴²⁴			s	ø	⁴²⁴			7			
2868	蚕	zɦø³¹			zɦ	ø	³¹			2			
2869	存	zɦø³¹			zɦ	ø	³¹			2			
2870	凿	zɦø³¹³			zɦ	ø	³¹³			8			
2871	堪	kʰø⁴⁴			kʰ	ø	⁴⁴			1			
2872	刊	kʰø⁴⁴			kʰ	ø	⁴⁴			1			
2873	□	kʰø⁴⁴		脚~头：膝盖	kʰ	ø	⁴⁴			1	脚~头：膝盖		127
2874	砍	kʰø³⁵			kʰ	ø	³⁵			3			
2875	勘	kʰø³⁵			kʰ	ø	³⁵			3			
2876	款	kʰø³⁵			kʰ	ø	³⁵			3			
2877	看	kʰø⁵³			kʰ	ø	⁵³			5			
2878	困	kʰø⁵³		睡	kʰ	ø	⁵³			5	睡		2
2879	丐	kʰø⁴²⁴		~儿：叫花子	kʰ	ø	⁴²⁴			7	~儿：叫花子		
2880	窟	kʰø⁴²⁴			kʰ	ø	⁴²⁴			7			
2881	憨	hø⁴⁴			h	ø	⁴⁴			1			
2882	酣	hø⁴⁴			h	ø	⁴⁴			1			
2883	鼾	hø⁴⁴			h	ø	⁴⁴			1			
2884	罕	hø³⁵			h	ø	³⁵			3			
2885	汉	hø⁵³			h	ø	⁵³			5			
2886	喝	hø⁴²⁴		2	h	ø	⁴²⁴			7	2		2
2887	安	ø⁴⁴				ø	⁴⁴			1			
2888	鞍	ø⁴⁴				ø	⁴⁴			1			
2889	恩	ø⁴⁴				ø	⁴⁴			1			
2890	豌	ø³⁵				ø	³⁵			3			2
2891	碗	ø³⁵				ø	³⁵			3			2
2892	腕	ø³⁵				ø	³⁵			3			2
2893	宛	ø³⁵				ø	³⁵			3			2
2894	远	ø³⁵				ø	³⁵			3			2
2895	按	ø⁵³				ø	⁵³			5			
2896	案	ø⁵³				ø	⁵³			5			
2897	蔼	ø⁴²⁴				ø	⁴²⁴			7			
2898	哕	ø⁴²⁴				ø	⁴²⁴			7			
2899	寒	ɦø³¹			ɦ	ø	³¹			2			
2900	韩	ɦø³¹			ɦ	ø	³¹			2			
2901	痕	ɦø³¹			ɦ	ø	³¹			2			
2902	含	ɦø³¹			ɦ	ø	³¹			2			
2903	撼	ɦø³¹			ɦ	ø	³¹			2			
2904	翰	ɦø³¹			ɦ	ø	³¹			2			
2905	旱	ɦø¹³			ɦ	ø	¹³			4			
2906	憾	ɦø²¹²			ɦ	ø	²¹²			6			
2907	汗	ɦø²¹²			ɦ	ø	²¹²			6			
2908	焊	ɦø²¹²			ɦ	ø	²¹²			6			
2909	岸	ɦø²¹²			ɦ	ø	²¹²			6			
2910	核	ɦø³¹³		果核	ɦ	ø	³¹³			8	果核		3
2911	欢	fʏø⁴⁴			f	ʏø	⁴⁴			1			
2912	昏	fʏø⁴⁴			f	ʏø	⁴⁴			1			
2913	婚	fʏø⁴⁴			f	ʏø	⁴⁴			1			
2914	荤	fʏø⁴⁴			f	ʏø	⁴⁴			1			
2915	䘆	fʏø³⁵		糖~：蚯蚓	f	ʏø	³⁵			3	糖~：蚯蚓		
2916	唤	fʏø⁵³			f	ʏø	⁵³			5			
2917	焕	fʏø⁵³			f	ʏø	⁵³			5			
2918	血	fʏø⁴²⁴			f	ʏø	⁴²⁴			7			
2919	忽	fʏø⁴²⁴			f	ʏø	⁴²⁴			7			
2920	玩	ɲɦʏø³¹			ɲɦ	ʏø	³¹			2			
2921	甘	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2922	干	kʏø⁴⁴			k	ʏø	⁴⁴			1			2
2923	肝	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2924	官	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2925	棺	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2926	观	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2927	冠	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2928	根	kʏø⁴⁴			k	ʏø	⁴⁴			1			
2929	竿	kʏø³⁵			k	ʏø	³⁵			3			
2930	杆	kʏø³⁵			k	ʏø	³⁵			3			
2931	秆	kʏø³⁵			k	ʏø	³⁵			3			
2932	擀	kʏø³⁵			k	ʏø	³⁵			3			
2933	赶	kʏø³⁵			k	ʏø	³⁵			3			
2934	干	kʏø³⁵		~部	k	ʏø	³⁵			3	~部		2
2935	管	kʏø³⁵			k	ʏø	³⁵			3			
2936	馆	kʏø³⁵			k	ʏø	³⁵			3			
2937	贯	kʏø⁵³			k	ʏø	⁵³			5			
2938	灌	kʏø⁵³			k	ʏø	⁵³			5			
2939	罐	kʏø⁵³			k	ʏø	⁵³			5			
2940	割	kʏø⁴²⁴			k	ʏø	⁴²⁴			7			
2941	葛	kʏø⁴²⁴			k	ʏø	⁴²⁴			7			
2942	骨	kʏø⁴²⁴			k	ʏø	⁴²⁴			7			
2943	冤	ʏø⁴⁴				ʏø	⁴⁴			1			
2944	渊	ʏø⁴⁴				ʏø	⁴⁴			1			
2945	温	ʏø⁴⁴				ʏø	⁴⁴			1			
2946	瘟	ʏø⁴⁴				ʏø	⁴⁴			1			
2947	豌	ʏø³⁵				ʏø	³⁵			3			2
2948	碗	ʏø³⁵				ʏø	³⁵			3			2
2949	腕	ʏø³⁵				ʏø	³⁵			3			2
2950	宛	ʏø³⁵				ʏø	³⁵			3			2
2951	远	ʏø³⁵				ʏø	³⁵			3			2
2952	稳	ʏø³⁵				ʏø	³⁵			3			
2953	怨	ʏø⁵³				ʏø	⁵³			5			
2954	完	ɦʏø³¹			ɦ	ʏø	³¹			2			
2955	丸	ɦʏø³¹			ɦ	ʏø	³¹			2			
2956	圆	ɦʏø³¹			ɦ	ʏø	³¹			2			
2957	员	ɦʏø³¹			ɦ	ʏø	³¹			2			
2958	缘	ɦʏø³¹			ɦ	ʏø	³¹			2			
2959	园	ɦʏø³¹			ɦ	ʏø	³¹			2			
2960	魂	ɦʏø³¹			ɦ	ʏø	³¹			2			
2961	县	ɦʏø²¹²			ɦ	ʏø	²¹²			6			
2962	眩	ɦʏø²¹²			ɦ	ʏø	²¹²			6			
2963	院	ɦʏø²¹²			ɦ	ʏø	²¹²			6			
2964	玄	ɦʏø²¹²			ɦ	ʏø	²¹²			6			
2965	悬	ɦʏø²¹²			ɦ	ʏø	²¹²			6			
2966	媛	ɦʏø²¹²		~主：老姑娘	ɦ	ʏø	²¹²			6	~主：老姑娘		
2967	悦	ɦʏø³¹³			ɦ	ʏø	³¹³			8			
2968	阅	ɦʏø³¹³			ɦ	ʏø	³¹³			8			
2969	越	ɦʏø³¹³			ɦ	ʏø	³¹³			8			
2970	穴	ɦʏø³¹³			ɦ	ʏø	³¹³			8			
2971	卷	tʃyø̆³⁵			tʃ	yø̆	³⁵			3			
2972	转	tʃyø̆³⁵			tʃ	yø̆	³⁵			3			
2973	眷	tʃyø̆⁵³			tʃ	yø̆	⁵³			5			
2974	倦	tʃyø̆⁵³			tʃ	yø̆	⁵³			5			
2975	厥	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2976	憠	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2977	决	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2978	诀	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2979	鳜	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			2
2980	拙	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2981	咄	tʃyø̆⁴²⁴		吸	tʃ	yø̆	⁴²⁴			7	吸		
2982	□	tʃyø̆⁴²⁴		笨。本字许是“拙”	tʃ	yø̆	⁴²⁴			7	笨。本字许是“拙”		127
2983	蕨	tʃyø̆⁴²⁴			tʃ	yø̆	⁴²⁴			7			
2984	穿	tʃʰyø̆⁴⁴		1	tʃʰ	yø̆	⁴⁴			1	1		2
2985	川	tʃʰyø̆⁴⁴			tʃʰ	yø̆	⁴⁴			1			
2986	圈	tʃʰyø̆⁴⁴			tʃʰ	yø̆	⁴⁴			1			
2987	犬	tʃʰyø̆³⁵			tʃʰ	yø̆	³⁵			3			
2988	喘	tʃʰyø̆³⁵			tʃʰ	yø̆	³⁵			3			
2989	劝	tʃʰyø̆⁵³			tʃʰ	yø̆	⁵³			5			
2990	券	tʃʰyø̆⁵³			tʃʰ	yø̆	⁵³			5			
2991	缺	tʃʰyø̆⁴²⁴			tʃʰ	yø̆	⁴²⁴			7			
2992	出	tʃʰyø̆⁴²⁴			tʃʰ	yø̆	⁴²⁴			7			
2993	传	dʒɦyø̆³¹			dʒɦ	yø̆	³¹			2			
2994	椽	dʒɦyø̆³¹			dʒɦ	yø̆	³¹			2			2
2995	篆	dʒɦyø̆³¹			dʒɦ	yø̆	³¹			2			
2996	拳	dʒɦyø̆³¹			dʒɦ	yø̆	³¹			2			
2997	权	dʒɦyø̆³¹			dʒɦ	yø̆	³¹			2			
2998	术	dʒɦyø̆³¹³		白~	dʒɦ	yø̆	³¹³			8	白~		2
2999	宣	ʃyø̆⁴⁴			ʃ	yø̆	⁴⁴			1			
3000	喧	ʃyø̆⁴⁴			ʃ	yø̆	⁴⁴			1			
3001	楦	ʃyø̆⁴⁴			ʃ	yø̆	⁴⁴			1			
3002	选	ʃyø̆³⁵			ʃ	yø̆	³⁵			3			
3003	雪	ʃyø̆⁴²⁴			ʃ	yø̆	⁴²⁴			7			
3004	说	ʃyø̆⁴²⁴			ʃ	yø̆	⁴²⁴			7			
3005	戌	ʃyø̆⁴²⁴			ʃ	yø̆	⁴²⁴			7			
3006	恤	ʃyø̆⁴²⁴			ʃ	yø̆	⁴²⁴			7			
3007	阮	ɲyø̆³⁵			ɲ	yø̆	³⁵			3			
3008	软	ɲyø̆³⁵			ɲ	yø̆	³⁵			3			
3009	阬	ɲyø̆³⁵		疲倦	ɲ	yø̆	³⁵			3	疲倦		
3010	月	ɲyø̆⁴²⁴		1	ɲ	yø̆	⁴²⁴			7	1		2
3011	元	ɲɦyø̆³¹			ɲɦ	yø̆	³¹			2			
3012	原	ɲɦyø̆³¹			ɲɦ	yø̆	³¹			2			
3013	源	ɲɦyø̆³¹			ɲɦ	yø̆	³¹			2			
3014	愿	ɲɦyø̆²¹²			ɲɦ	yø̆	²¹²			6			
3015	月	ɲɦyø̆³¹³		2	ɲɦ	yø̆	³¹³			8	2		2
3016	船	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3017	全	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3018	泉	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3019	袁	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3020	辕	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3021	援	jɦyø̆³¹			jɦ	yø̆	³¹			2			
3022	缓	jɦyø̆¹³			jɦ	yø̆	¹³			4			
3023	旋	jɦyø̆²¹²			jɦ	yø̆	²¹²			6			
3024	镟	jɦyø̆²¹²			jɦ	yø̆	²¹²			6			
3025	绝	jɦyø̆³¹³			jɦ	yø̆	³¹³			8			
3026	术	jɦyø̆³¹³			jɦ	yø̆	³¹³			8			2
3027	述	jɦyø̆³¹³			jɦ	yø̆	³¹³			8			
3028	秫	jɦyø̆³¹³			jɦ	yø̆	³¹³			8			
3029	刁	tyœ⁴⁴			t	yœ	⁴⁴			1			
3030	貂	tyœ⁴⁴			t	yœ	⁴⁴			1			
3031	雕	tyœ⁴⁴			t	yœ	⁴⁴			1			
3032	鸟	tyœ³⁵		2。~儿	t	yœ	³⁵			3	2。~儿		2
3033	钓	tyœ⁵³			t	yœ	⁵³			5			
