来源：	贺梅梅 2017《临县车赶乡话语音研究》；灰原哀 整理录入
tɕʰ	［1］圈{～子}汆川-穿-疮-窗-［2］全泉传-椽拳权颧床-船-诠痊颧［3］喘-犬闯-舛［5］窜-串-劝券创-篡
ɕ	［1］酸-宣喧双-霜-［2］旋{～转}玄悬［3］选［5］旋{～风}炫眩双-{～生}
Ø	［1］冤渊［2］圆员缘元原源袁援［3］软-远［5］院愿怨苑
#ei	
m	［3］美
f	［1］飞非妃［2］肥=淝［3］匪诽斐［5］费=废肺吠狒沸
l	［2］犁黎厘离篱璃狸梨量-{～长短}凉-铃-□{圪～：挠痒痒}粮-梁-［3］里理李鲤两礼娌岭-两-［5］例厉励丽隶荔利痢晾-另-梨吏栗戾莉砺莅郦
ts	［1］精-{明～：明白}睛-贼菁-［3］井-挤虮［5］净-济剂际祭
tsʰ	［1］妻清-青-凄［2］齐-晴-墙-脐［3］抢-［5］呛-炝-
s	［1］西星-腥-箱-相{～女婿}镶-犀镶-［2］□{～上看：凑近看}［3］洗想-省-［5］细像-婿相-象-
tʂ	［1］知蜘蒸-张-正-{～月}这［3］长{～大}整-涨-［5］智志置制致账-正-{～好}丈-杖-帐-涨-滞胀-
tʂʰ	［1］称-{～重}［2］池驰持常-长-裤-肠-驰迟［3］场-{排～}厂-耻侈［5］唱-秤-
ʂ	［1］声-伤-商-{～量}升-［2］尝-裳-绳-盛{～满了}常-［5］上-势世-剩-誓逝绱尚-晌-
ɻ	［2］瓤-{瓜～}攘-［3］嚷-［5］□{～tsou：形容小孩麻烦}
#uei	
l	［2］驴［3］垒吕铝侣捋旅履屡［5］类泪虑滤累{～人}
ts	［1］锥追［3］嘴=［5］缀赘坐惴缒醉=
tsʰ	［1］吹炊［2］锤槌垂陲捶［5］趣-
s	［1］虽=［2］谁绥=随=［3］水髓=［5］睡税隧岁=瑞-遂祟邃穗=
z	［3］蕊［5］瑞锐睿
k	［1］归龟规闺圭皈［3］鬼轨诡［5］贵桂柜=
kʰ	［1］亏窥盔葵馗魁［5］跪溃愧匮聩
Ø	［1］□{火～了：火很旺}危兀微威危［2］围唯维惟违微帷［3］伟萎委伪猬纬猥痿娓苇尾=［5］未为味位胃卫慰魏畏喂尉蔚谓
#ou	
p	［1］包胞苞刨煲［3］保饱宝褒鸨［5］鲍豹暴爆报抱={拥～}曝
pʰ	［1］抛剖泡{圪～}［2］袍狍刨袍胞庖炮［3］跑［5］泡炮抛-{滚}
m	［2］毛={～笔}茅矛谋=锚［3］卯牡-峁铆［5］冒帽贸茂猫瑁貌茂袤
t	［1］刀［2］叨［3］捣导岛祷倒蹈［5］到倒盗道悼稻=
tʰ	［1］掏滔涛韬［2］桃{～子}焘陶淘逃涛［3］讨［5］桃{变调，吃～}套稻-{稻黍：高粱}
n	［2］脑挠孬［3］恼脑□{抗}［5］闹□{中毒}孬
l	［1］□{～是：真的是}［2］劳捞牢唠崂［3］老姥佬［5］涝烙痨骆醪
ts	［1］遭糟［2］□{～～～：形容人叽叽喳喳}［3］早枣澡找藻［5］造=燥灶皂噪罩□{～住：纠缠住不放}笊
tsʰ	［1］抄钞操糙绰［2］曹槽嘈□{脏}［3］草炒吵［5］造-躁
s	［1］捎梢骚搔臊稍［2］□{缩}［3］嫂扫{～地}［5］扫{～帚}哨臊
tʂ	［1］招朝{今～}昭钊［3］沼［5］赵照兆召诏肇
tʂʰ	［1］超朝{圪～：撅起}［2］潮朝早嘲巢□{～子：呆子}
ʂ	［1］烧稍［3］少{多～}晌-{～午}尚-{和～}［5］哨少{～年}绍邵□{掉色}劭
ɻ	［2］饶［3］扰［5］绕
k	［1］高膏糕羔篙皋［3］稿搞镐［5］告郜浩
kʰ	［3］考烤［5］靠拷犒
ŋ	［1］熬{～夜}［2］熬{～药}爊凹敖遨［3］祆□{～价：搞价}［5］鏊傲奧奥澳懊坳□{撬}
x	［1］蒿薅［2］嚎豪毫蒿号濠蚝［3］好{～看}郝［5］好{喜～}耗号浩镐孝-{～长：地名；～衫}昊
Ø	［2］哦
#iou	
p	［1］膘标彪飙镖镳［3］表裱婊
pʰ	［1］飘漂{～走}［2］瓢［3］漂{～白}瞟［5］漂{～亮}票瓢{水瓢}
m	［2］苗描瞄喵［3］秒渺藐邈［5］庙妙
t	［1］雕碉貂叼刁凋［3］屌［5］调{～头}掉钓鱼吊
tʰ	［1］挑{～选}［2］条调{～和}迢笤［3］挑{～担}［5］跳眺
n	［1］那［3］咬痒袅［5］尿
l	［2］聊疗燎{名词，～焦：烧烫起的泡}撩辽僚獠［3］了{～解}燎{动词}［5］撂料廖瞭地镇
ts	［1］焦蕉椒礁樵［5］□{～笔}□{用拳头蘸水压面使其变软}醮噍
tsʰ	［1］锹悄缲［2］樵瞧憔劁［3］雀［5］俏峭俏鞘
s	［1］消萧箫肖霄宵硝销逍销潇[3]小［5］笑肖
tɕ	［1］教{～书}交郊娇胶跤浇蛟［3］绞狡搅饺剿缴皎矫［5］教{～师}叫觉{睡～}轿较窖酵校
tɕʰ	［1］敲跷□{迈：～出去就不怕了}［2］乔桥荞侨翘［3］巧［5］俏翘撬窍壳
ɕ	［1］嚣枵枭骁［2］学{教：谁学你这地家做来该；学：学会哩不}□{让人从自己位置上起来：～起}［3］晓筱［5］校效啸孝
Ø	［1］妖邀腰吆约{～摸：揣测}尧要{～求}［2］摇谣瑶遥窑姚鹞尧爻肴［3］舀杳窈［5］要{～饭}耀鹞曜靿跃
#ʌɯ	
p	［1］搬-［3］绑-［5］半-拌-伴-
pʰ	［1］潘-［2］盘-
m	［1］□{～～嚎：嚎啕大哭}［2］瞒-蔓-［3］满-［5］漫-
t	［1］兜［3］斗抖陡［5］斗豆逗痘窦斗{抽～：抽屉}抖{～开：剥开，展开}
tʰ	［1］偷［2］头投［5］透□{交媾}
n	［2］奴□{可爱}［3］努［5］怒
l	［2］庐炉芦楼搂{抱，拿}卢娄鸬蝼颅喽［3］鲁虏搂篓卤橹［5］路露-漏陋痿喽{嗝～：打嗝}镂赂
ts	［1］租掫{端}诌{～经：说谎}邹鲰［3］祖组走阻［5］就{～是}奏骤揍
tsʰ	［1］粗抽［2］愁瞅{从窄孔或小缝中看人或东西}［3］瞅{给人白眼}［5］醋措凑
s	［1］苏酥搜馊飕［2］嫊{～子：媳妇，新妇子的合音}［3］擞叟薮［5］素诉塑嗽瘦谡夙
tʂ	［1］周舟州洲粥［3］肘轴［5］纣昼宙皱咒冑
tʂʰ	［2］绸稠仇={～恨}酬筹［3］丑［5］臭
ʂ	［1］收［2］仇-{～人}［3］手首守［5］受兽寿售授狩
ɻ	［2］揉柔蹂糅[214]肘-{圪~:肘关节}扭{折，拧}［5］肉
k	［1］沟勾钩篝［3］狗苟［5］够
kʰ	［1］抠［3］口［5］扣寇叩蔻
ŋ	［1］欧瓯讴殴鸥［3］藕偶□{坏}□{焦糊}［5］构沤{腐烂}购垢
x	［2］猴{美～王}侯瘊□{小}篌喉［3］吼［5］后厚猴{一条～}候逅
Ø	［3］缶
#iʌɯ	
t	［1］丢［2］提
n	［2］牛［3］扭钮妞纽［5］拗
l	［2］流刘留榴硫琉瘤馏浏［3］柳绺［5］溜六绺
ts	［1］揪蹴［3］酒［5］就{～菜}
tsʰ	［1］秋邱蚯湫［2］囚泅
s	［1］修羞［5］秀宿{星～}绣锈袖
tɕ	［1］纠究鸠［3］九久韭［5］救旧疚柩舅鹫臼［1］鸠{班～}灸{针～}
tɕʰ	［1］丘蚯［2］求球裘仇{姓}□{歪，斜}
ɕ	［1］休［3］朽［5］嗅
Ø	［1］优忧悠幽［2］由油游尤莜邮犹鱿［3］有友酉莠黝［5］又幼右佑柚釉诱宥
#uʌɯ	
k	［1］官-棺-冠-{鸡～}［3］管-馆-［5］罐-灌-
kʰ	［1］宽-［3］款-
x	［1］欢-［5］换-唤-焕-
Ø	［1］剜［2］完-丸-□{～跤：摔跎}［3］碗-［5］捥-腕-□{～脚：崴脚}
#æ	
p	［1］班颁斑扳搬=般掰［3］板版扁-{扁担}［5］扮瓣办伴=绊=拌=
pʰ	［1］攀潘=襻{扣住纽扣的套}盘=［5］盼叛判袢畔=
m	［2］蛮馒瞒=［5］慢慢曼慢谩蔓=漫=
f	［1］翻番幡藩发-{头~}［2］凡帆烦繁樊蕃［3］反返［5］泛范犯饭贩梵
