				#调值 [1]33 [2]24 [3]213 [5]55 [6]342 [7]4
犁	n	iᶽ	55	
西	ɕ	iᶽ	33	
洗	ɕ	iᶽ	213	
鸡	tɕ	iᶽ	33	
溪	tɕʰ	iᶽ	33	
契	tɕʰ	iᶽ	55	
系	ɕ	iᶽ	55	
杯	p	ei	33	
配	pʰ	ei	55	
赔	β	ei	24	
背	p	ei	55	
煤	m	ei	24	
妹	m	ei	55	
对	t	ei	55	
雷	l	ei	55	
罪	z	ei	342	
碎	s	ei	55	
灰	x	uei	33	
回	β	ei	24	
外	Ǿ	uɛ	55	
会	v	ei	55	
怪	k	uɛ	55	
块	kʰ	uɛ	55	
怀	hɦ	uɛ	24	
坏	Ǿ	uɛ	55	
拐	k	uɛ	213	
挂	k	ua	55	
歪	Ǿ	uɛ	33	
画	Ǿ	ua	55	
快	kʰ	uɛ	55	
话	Ǿ	ua	55	
岁	s	ei	55	
卫	v	ei	55	
肺	x	uei	55	
桂	k	uei	55	
碑	p	ei	33	
皮	ʑ	iᶽ	24	
被	β	ei	342	
紫	ts	ɿ	213	
刺	tsʰ	ɿ	55	
知	ts	ɿ	33	
池	z	ɿ	24	
纸	ts	ɿ	213	
儿	Ǿ	ɛ	24	
寄	tɕ	iᶽ	55	
骑	ʑ	iᶽ	24	
蚁	Ǿ	iᶽ	24	
义	Ǿ	iᶽ	55	
戏	ɕ	iᶽ	55	
移	Ǿ	iᶽ	24	
比	p	iᶽ	213	
屁	pʰ	iᶽ	55	
鼻	ʑ	ieʔ	4	
眉	m	ei	24	
地	ɾʱ	iᶽ	24	
梨	l	iᶽ	24	
资	ts	ɿ	33	
死	s	ɿ	213	
四	s	ɿ	55	
迟	z	ɿ	24	
师	s	ɿ	33	
指	ts	ɿ	213	
二	Ǿ	ɛ	55	
饥	tɕ	iᶽ	33	
器	tɕʰ	iᶽ	55	
姨	Ǿ	iᶽ	24	
李	l	iᶽ	213	
子	ts	ɿ	213	
字	z	ɿ	24	
丝	s	ɿ	33	
祠	z	ɿ	24	
寺	z	ɿ	55	
治	ts	ɿ	55	
柿	z	ɿ	342	
事	z	ɿ	24	
使	s	ɿ	213	
试	s	ɿ	55	
时	z	ɿ	24	
市	z	ɿ	342	
耳	Ǿ	ɛ	24	
记	tɕ	iᶽ	55	
棋	ʑ	iᶽ	24	
喜	ɕ	iᶽ	213	
意	Ǿ	iᶽ	55	
几	tɕ	iᶽ	213	
气	tɕʰ	iᶽ	55	
希	ɕ	iᶽ	33	
衣	Ǿ	iᶽ	33	
嘴	ts	ei	213	
随	z	ei	24	
吹	tsʰ	ei	33	
垂	z	ei	24	
规	k	uei	33	
亏	kʰ	uei	33	
跪	x	uei	55	
跪	kʰ	uei	24	
危	v	ei	55	
类	l	ei	55	
醉	ts	ei	55	
追	ts	ei	33	
锤	z	ei	24	
水	s	ei	213	
龟	k	uei	33	
季	tɕ	iᶽ	55	
柜	β	ei	24	
柜	k	uei	55	
位	v	ei	55	
飞	x	uei	33	
费	x	uei	55	
肥	β	ei	24	
尾	v	ei	213	
味	v	ei	55	
鬼	k	uei	213	
贵	k	uei	55	
围	v	ei	55	
胃	v	ei	55	
宝	p	ɔ	213	
抱	β	ɔ	342	
毛	m	ɔ	24	
帽	m	ɔ	55	
刀	t	ɔ	33	
讨	tʰ	ɔ	213	
桃	ɾʱ	ɔ	24	
道	ɾʱ	ɔ	342	
脑	l	ɔ	213	
老	l	ɔ	213	
早	ts	ɔ	213	
灶	ts	ɔ	55	
草	tsʰ	ɔ	213	
糙	tsʰ	ɔ	55	
造	z	ɔ	342	
嫂	s	ɔ	213	
高	k	ɔ	33	
靠	kʰ	ɔ	55	
熬	ŋ	ɔ	24	
好	x	ɔ	213	
号	hɦ	ɔ	24	
包	p	ɔ	33	
饱	p	ɔ	213	
炮	pʰ	ɔ	55	
猫	m	ɔ	33	
闹	l	ɔ	55	
罩	ts	ɔ	55	
抓	ts	a	33	
找	ts	ɔ	213	
抄	tsʰ	ɔ	33	
交	tɕ	iɔ	33	
敲	kʰ	ɔ	33	
孝	ɕ	iɔ	55	
校	ʑ	iɔ	24	
表	p	iɔ	213	
票	pʰ	iɔ	55	
庙	m	iɔ	55	
焦	tɕ	iɔ	33	
小	ɕ	iɔ	213	
笑	ɕ	iɔ	55	
朝	z	ɔ	24	
照	ts	ɔ	55	
烧	s	ɔ	33	
绕	n	iɔ	55	
桥	ʑ	iɔ	24	
轿	ʑ	iɔ	24	
腰	Ǿ	iɔ	33	
要	Ǿ	iɔ	55	
摇	Ǿ	iɔ	24	
鸟	n	iɔ	213	
钓	t	iɔ	55	
条	ɾʱ	iɔ	24	
料	n	iɔ	55	
箫	ɕ	iɔ	33	
叫	tɕ	iɔ	55	
母	m	ɯᵝ	213	
抖	t	ɵ	213	
偷	tʰ	ɵ	33	
头	ɾʱ	ɵ	24	
豆	ɾʱ	ɵ	24	
楼	l	ɵ	24	
走	ts	ɵ	213	
凑	tɕʰ	iɵ	55	
钩	k	iɵ	33	
狗	k	iɵ	213	
够	k	iɵ	55	
口	kʰ	iɵ	213	
藕	ŋ	ɵ	213	
后	hɦ	ɵ	342	
厚	hɦ	ɵ	342	
富	x	ɯᵝ	55	
副	x	ɯᵝ	55	
浮	hɦ	ɯᵝ	24	
妇	β	ɯᵝ	342	
流	n	iɵ	24	
酒	tɕ	iɵ	213	
修	ɕ	iɵ	33	
袖	ʑ	iɵ	24	
抽	tsʰ	ɵ	33	
绸	z	ɵ	24	
愁	z	ɵ	24	
瘦	s	ɵ	55	
州	ts	ɵ	33	
臭	tsʰ	ɵ	55	
手	s	ɵ	213	
寿	z	ɵ	24	
九	tɕ	iɵ	213	
球	ʑ	iɵ	24	
舅	ʑ	iɵ	342	
旧	ʑ	iɵ	24	
牛	n	iɵ	24	
休	ɕ	iɵ	33	
优	Ǿ	iɵ	33	
有	Ǿ	iɵ	213	
右	Ǿ	iɵ	24	
油	Ǿ	iɵ	24	
丢	t	iɵ	33	
幼	Ǿ	iɵ	55	
贪	tʰ	ã	33	
潭	ɾʱ	ã	24	
南	n	ɞ	24	
南	n	ã	24	
蚕	z	ɞ	24	
感	k	ã	213	
含	hɦ	ã	24	
暗	ŋ	ã	55	
搭	t	aʔ	4	
踏	tʰ	aʔ	4	
拉	l	a	33	
杂	z	aʔ	4	
鸽	k	eʔ	4	
盒	hɦ	əʔ	4	
胆	t	ã	213	
毯	tʰ	ã	213	
淡	ɾʱ	ã	342	
蓝	l	ã	24	
三	s	ã	33	
甘	k	ɪ	33	
敢	k	ɪ	213	
喊	x	ã	213	
塔	tʰ	aʔ	4	
蜡	l	aʔ	4	
赚	ts	ã	55	
杉	s	ã	33	
减	tɕ	ɪ	213	
咸	hɦ	ã	24	
插	tsʰ	aʔ	4	
闸	z	aʔ	4	
夹	k	aʔ	4	
衫	s	ã	33	
监	tɕ	ɪ	33	
岩	Ǿ	ie	24	
甲	k	aʔ	4	
鸭	ŋ	aʔ	4	
黏	n	ɪ	24	
尖	tɕ	ɪ	33	
签	tɕʰ	ɪ	33	
占	ts	ã	33	
染	n	ɪ	213	
钳	ʑ	ɪ	24	
验	n	ɪ	55	
险	ʑ	ɪ	213	
厌	Ǿ	ɪ	33	
炎	Ǿ	ɪ	24	
盐	Ǿ	ɪ	24	
接	tɕ	ieʔ	4	
折	ts	eʔ	4	
叶	Ǿ	ieʔ	4	
剑	tɕ	ɪ	55	
欠	tɕʰ	ɪ	55	
严	Ǿ	ɪ	24	
业	Ǿ	ieʔ	4	
点	t	ɪ	213	
店	t	ɪ	55	
添	tʰ	ɪ	33	
甜	ɾʱ	ɪ	24	
念	n	ɪ	55	
嫌	ʑ	ɪ	24	
跌	t	ieʔ	4	
贴	tʰ	ieʔ	4	
碟	ɾʱ	ieʔ	4	
协	ɕ	ieʔ	4	
犯	β	ã	342	
法	x	uaʔ	4	
品	pʰ	iən	213	
林	l	iən	213	
浸	tɕʰ	iən	55	
心	ɕ	iən	33	
寻	ʑ	iən	24	
沉	z	ən	24	
参	s	ən	33	
针	ts	ən	33	
深	s	ən	33	
任	z	ən	55	
金	tɕ	iən	33	
琴	ʑ	iən	24	
音	Ǿ	iən	33	
立	n	ieʔ	4	
集	tɕ	ieʔ	4	
习	ɕ	ieʔ	4	
汁	ts	eʔ	4	
十	s	əʔ	4	
入	z	uoʔ	4	
急	tɕ	ieʔ	4	
及	tɕ	ieʔ	4	
吸	ɕ	ieʔ	4	
单	t	ã	33	
炭	tʰ	ã	55	
弹	ɾʱ	ã	24	
难	l	ã	24	
兰	l	ã	24	
懒	l	ã	213	
烂	l	ã	55	
伞	s	ã	213	
肝	k	ɪ	33	
看	kʰ	ɪ	55	
岸	ŋ	ã	55	
汉	x	ã	55	
汗	ʑ	ɪ	24	
安	ŋ	ã	33	
达	t	aʔ	4	
辣	l	aʔ	4	
擦	tsʰ	aʔ	4	
割	k	eʔ	4	
渴	kʰ	eʔ	4	
扮	p	ã	55	
办	β	ã	24	
铲	tsʰ	ã	213	
山	s	ã	33	
产	tsʰ	ã	213	
间	k	ã	33	
眼	ŋ	ã	213	
限	ɕ	iã	342	
八	p	aʔ	4	
扎	ts	aʔ	4	
杀	s	aʔ	4	
班	p	ã	33	
板	p	ã	213	
慢	m	ã	55	
奸	tɕ	ɪ	33	
颜	Ǿ	ɪ	24	
瞎	x	aʔ	4	
变	p	ɪ	55	
骗	pʰ	ɪ	55	
便	ʑ	ɪ	24	
棉	m	ɪ	24	
面	m	ɪ	55	
连	n	ɪ	24	
剪	tɕ	ɪ	213	
浅	tɕʰ	ɪ	213	
钱	ʑ	ɪ	24	
鲜	ɕ	ɪ	33	
线	ɕ	ɪ	55	
缠	z	ɞ	24	
战	ts	ã	55	
扇	s	ɞ	55	
善	s	ã	55	
件	ʑ	ɪ	342	
延	Ǿ	ɪ	24	
别	ʑ	ieʔ	4	
灭	m	ieʔ	4	
列	n	ieʔ	4	
撤	tsʰ	eʔ	4	
舌	s	əʔ	4	
设	s	eʔ	4	
热	n	ieʔ	4	
杰	tɕ	ieʔ	4	
孽	n	ieʔ	4	
建	tɕ	ɪ	55	
健	tɕ	ɪ	55	
言	Ǿ	ɪ	24	
歇	ɕ	ieʔ	4	
扁	p	ie	213	
片	pʰ	ɪ	55	
面	m	ɪ	55	
典	t	ɪ	213	
天	tʰ	ɪ	33	
田	ɾʱ	ɪ	24	
垫	ɾʱ	ɪ	24	
年	n	ɪ	24	
莲	n	ɪ	24	
前	ʑ	ɪ	24	
先	ɕ	ɪ	33	
肩	tɕ	ɪ	33	
见	tɕ	ɪ	55	
牵	tɕʰ	ɪ	33	
显	ɕ	ɪ	213	
现	ʑ	ɪ	24	
烟	Ǿ	ɪ	33	
憋	p	ieʔ	4	
篾	m	ieʔ	4	
铁	tʰ	ieʔ	4	
捏	n	ieʔ	4	
节	tɕ	ieʔ	4	
切	tɕʰ	ieʔ	4	
截	tɕ	ieʔ	4	
结	tɕ	ieʔ	4	
搬	p	ɞ	33	
半	p	ɞ	55	
判	pʰ	ɞ	55	
盘	β	ɞ	24	
满	m	ɞ	213	
端	t	ɞ	33	
短	t	ɞ	213	
断	ɾʱ	ɞ	342	
暖	n	ɞ	213	
乱	n	ɞ	55	
酸	s	ɞ	33	
算	s	ɞ	55	
官	k	uɞ	33	
宽	kʰ	uɞ	33	
欢	x	uɞ	33	
完	Ǿ	uɞ	24	
换	Ǿ	uɞ	55	
碗	Ǿ	uɞ	213	
拨	p	oʔ	4	
泼	pʰ	oʔ	4	
末	m	oʔ	4	
脱	tʰ	eʔ	4	
夺	t	eʔ	4	
阔	kʰ	uoʔ	4	
活	Ǿ	uɤʔ	4	
顽	Ǿ	uã	24	
滑	hɦ	uaʔ	4	
挖	Ǿ	uɤʔ	4	
挖	Ǿ	uaʔ	4	
闩	s	ɞ	33	
关	k	uã	33	
惯	k	uã	55	
还	hɦ	uã	24	
还	x	a	33	
弯	Ǿ	uã	33	
刷	s	aʔ	4	
刮	k	uaʔ	4	
全	ʑ	ɪ	24	
选	ɕ	ɪ	213	
转	ts	ɞ	55	
传	z	ɞ	24	
传	ts	ɞ	55	
砖	ts	ɞ	55	
船	z	ɞ	24	
软	n	ɪ	213	
卷	tɕ	ɪ	213	
圈	tɕʰ	ɪ	33	
权	ʑ	ɪ	24	
圆	Ǿ	ɪ	24	
院	Ǿ	ɪ	55	
铅	kʰ	ã	33	
绝	tɕ	ieʔ	4	
雪	ɕ	ieʔ	4	
反	x	uã	213	
翻	x	uã	33	
饭	β	ã	24	
晚	m	ã	213	
万	Ǿ	uã	55	
劝	tɕʰ	ɪ	55	
原	Ǿ	ɪ	24	
冤	Ǿ	ɪ	33	
园	Ǿ	ɪ	24	
远	Ǿ	ɪ	213	
发	x	uaʔ	4	
罚	β	aʔ	4	
袜	Ǿ	uaʔ	4	
月	Ǿ	ie	4	
越	Ǿ	ieʔ	4	
县	ʑ	ɪ	24	
决	tɕ	iɞʔ	4	
缺	tɕʰ	ieʔ	4	
血	ɕ	ieʔ	4	
吞	tʰ	ən	33	
根	k	ən	33	
恨	hɦ	ən	24	
恩	ŋ	ən	33	
贫	ʑ	iən	24	
民	m	iən	24	
邻	l	iən	24	
进	tɕ	iən	55	
亲	tɕʰ	iən	33	
新	ɕ	iən	33	
镇	ts	ən	55	
陈	z	ən	24	
震	ts	ən	55	
神	z	ən	24	
身	s	ən	33	
辰	z	ən	24	
人	n	iən	24	
认	n	iən	55	
紧	tɕ	iən	213	
银	Ǿ	iən	24	
印	Ǿ	iən	55	
引	Ǿ	iən	213	
笔	p	ieʔ	4	
匹	p	iᶽ	33	
密	m	ieʔ	4	
栗	n	ieʔ	4	
七	tɕʰ	ieʔ	4	
侄	z	eʔ	4	
虱	s	eʔ	4	
实	s	əʔ	4	
失	s	eʔ	4	
日	n	ieʔ	4	
吉	tɕ	ieʔ	4	
一	Ǿ	ieʔ	4	
筋	tɕ	iən	33	
劲	tɕ	iən	55	
勤	ʑ	iən	24	
近	ʑ	iən	342	
隐	Ǿ	iən	213	
本	p	ən	213	
盆	β	ən	24	
门	m	ən	55	
墩	t	ən	33	
嫩	n	ən	55	
村	tsʰ	ən	33	
寸	tsʰ	ən	55	
蹲	t	ən	33	
孙	s	ən	33	
滚	k	uən	213	
困	kʰ	uən	55	
婚	x	uən	33	
魂	β	ən	24	
温	v	ən	33	
卒	ts	eʔ	4	
骨	k	uoʔ	4	
轮	l	ən	24	
俊	tɕ	ɪ	55	
笋	s	ən	213	
准	ts	ən	213	
春	tsʰ	ən	33	
唇	z	ən	24	
顺	z	ən	24	
纯	z	ən	24	
闰	n	ɪ	55	
均	tɕ	ɪ	33	
匀	Ǿ	iən	24	
律	n	ieʔ	4	
出	tsʰ	oʔ	4	
橘	tɕ	iɞʔ	4	
分	x	uən	33	
粉	x	uən	213	
粪	x	uən	55	
坟	β	ən	24	
蚊	m	ən	24	
问	v	ən	55	
军	tɕ	iən	33	
裙	ʑ	iən	24	
熏	ɕ	iən	33	
云	Ǿ	iən	24	
运	Ǿ	iən	55	
佛	β	oʔ	4	
物	Ǿ	uɤʔ	4	
帮	p	ã	33	
忙	m	ã	24	
党	t	ã	213	
汤	tʰ	ã	33	
糖	ɾʱ	ã	24	
浪	l	ã	55	
仓	tsʰ	ã	33	
钢	k	ã	33	
糠	kʰ	ã	33	
薄	p	ɞʔ	4	
摸	m	ʊ	33	
托	tʰ	ɞʔ	4	
落	l	ɞʔ	4	
作	ts	ɞʔ	4	
索	s	ɞʔ	4	
各	k	ɞʔ	4	
鹤	Ǿ	ɞʔ	4	
恶	Ǿ	ɞʔ	4	
娘	n	iã	24	
两	n	iã	213	
亮	n	iã	55	
浆	tɕ	iã	33	
抢	tɕʰ	iã	213	
匠	ʑ	iã	55	
想	ɕ	iã	213	
像	ɕ	iã	342	
张	ts	ã	33	
长	z	ã	24	
装	ts	ã	33	
壮	ts	ã	55	
疮	tsʰ	ã	33	
床	z	ã	24	
霜	s	ã	33	
章	ts	ã	33	
厂	tsʰ	ã	213	
唱	tsʰ	ã	55	
伤	s	ã	33	
尝	z	ã	24	
上	z	ã	55	
让	n	iã	55	
姜	tɕ	iã	33	
响	ɕ	iã	213	
向	ɕ	iã	55	
秧	Ǿ	iã	33	
痒	Ǿ	iã	213	
样	Ǿ	iã	55	
雀	tɕʰ	iɞʔ	4	
削	ɕ	iɵ	33	
着	z	oʔ	4	
弱	z	oʔ	4	
脚	tɕ	iɞʔ	4	
约	Ǿ	iɞʔ	4	
药	Ǿ	iɞʔ	4	
光	k	uã	33	
慌	x	uã	33	
黄	Ǿ	uã	24	
郭	k	oʔ	4	
霍	x	ʊ	55	
方	x	uã	33	
放	x	uã	55	
纺	x	uã	213	
房	β	ã	24	
防	β	ã	24	
网	m	ã	213	
筐	kʰ	uã	33	
狂	kʰ	uã	213	
王	v	ã	24	
旺	v	ã	55	
缚	p	oʔ	4	
绑	p	ã	213	
胖	pʰ	ã	33	
棒	p	ã	342	
桩	ts	ã	33	
撞	ts	ã	55	
窗	tsʰ	ã	33	
双	s	ã	33	
江	tɕ	iã	33	
讲	k	ã	213	
降	ʑ	iã	24	
项	ʑ	iã	24	
剥	p	oʔ	4	
桌	ts	oʔ	4	
镯	z	oʔ	4	
角	k	oʔ	4	
壳	kʰ	uoʔ	4	
学	ɕ	iɞʔ	4	
握	Ǿ	oʔ	4	
朋	β	oŋ	24	
灯	t	ən	33	
等	t	ən	213	
凳	t	ən	55	
藤	ɾʱ	ən	24	
能	l	ən	24	
层	z	ən	24	
僧	s	ən	33	
僧	ts	ən	33	
肯	kʰ	ən	213	
北	p	eʔ	4	
墨	m	eʔ	4	
得	t	eʔ	4	
特	tʰ	eʔ	4	
贼	z	ei	24	
塞	s	eʔ	4	
刻	kʰ	eʔ	4	
黑	x	eʔ	4	
冰	p	iən	33	
证	ts	ən	55	
秤	tsʰ	ən	55	
绳	z	ən	24	
剩	z	ən	24	
升	s	ən	33	
兴	ɕ	iən	55	
蝇	Ǿ	iən	24	
逼	p	ieʔ	4	
力	n	ieʔ	4	
息	ɕ	ieʔ	4	
直	z	eʔ	4	
侧	tsʰ	əʔ	4	
测	tsʰ	əʔ	4	
色	s	əʔ	4	
织	ts	əʔ	4	
食	s	əʔ	4	
式	s	ɿ	55	
极	tɕ	ieʔ	4	
国	k	oʔ	4	
或	hɦ	uoʔ	4	
猛	m	oŋ	213	
打	t	a	213	
冷	l	ən	213	
生	s	ən	33	
省	s	ən	213	
更	k	ən	33	
梗	k	ən	213	
坑	kʰ	ən	33	
硬	ŋ	ən	55	
行	ɕ	iən	24	
百	p	eʔ	4	
拍	pʰ	oʔ	4	
白	β	eʔ	4	
拆	tsʰ	eʔ	4	
择	tsʰ	eʔ	4	
窄	ts	eʔ	4	
格	k	eʔ	4	
客	kʰ	eʔ	4	
额	ŋ	eʔ	4	
棚	β	oŋ	24	
争	ts	ən	33	
耕	k	ən	33	
麦	m	eʔ	4	
摘	ts	eʔ	4	
策	tsʰ	eʔ	4	
隔	k	eʔ	4	
兵	p	iən	33	
柄	p	iən	213	
平	ʑ	iən	24	
病	ʑ	iən	24	
明	m	iən	24	
命	m	iən	55	
镜	tɕ	iən	55	
庆	tɕʰ	iən	55	
迎	Ǿ	iən	24	
影	Ǿ	iən	213	
剧	tɕ	yᵝ	55	
饼	p	iən	213	
名	m	iən	24	
领	l	iən	213	
井	tɕ	iən	213	
清	tɕʰ	iən	33	
静	tɕ	iən	342	
姓	ɕ	iən	55	
贞	ts	ən	33	
程	z	ən	24	
整	ts	ən	213	
正	ts	ən	55	
声	s	ən	33	
城	z	ən	24	
轻	tɕʰ	iən	33	
赢	Ǿ	iən	55	
积	tɕ	ieʔ	4	
惜	ɕ	ieʔ	4	
席	ɕ	ieʔ	4	
尺	tsʰ	eʔ	4	
石	z	eʔ	4	
益	Ǿ	ieʔ	4	
瓶	ʑ	iən	24	
钉	t	iən	33	
顶	t	iən	213	
厅	tʰ	iən	33	
听	tʰ	iən	33	
停	ɾʱ	iən	24	
挺	tʰ	iən	342	
定	ɾʱ	iən	24	
零	l	iən	24	
青	tɕʰ	iən	33	
星	ɕ	iən	33	
经	tɕ	iən	33	
形	ʑ	iən	24	
壁	p	ieʔ	4	
劈	pʰ	ieʔ	4	
踢	tʰ	ieʔ	4	
笛	ɾʱ	ieʔ	4	
历	n	ieʔ	4	
锡	ɕ	ieʔ	4	
击	tɕ	ieʔ	4	
吃	tɕʰ	ieʔ	4	
横	hɦ	uən	24	
划	Ǿ	uaʔ	4	
兄	ɕ	ioŋ	33	
荣	Ǿ	ioŋ	24	
永	Ǿ	ioŋ	213	
营	Ǿ	iən	24	
蓬	β	oŋ	24	
东	t	oŋ	33	
懂	t	oŋ	213	
冻	t	oŋ	55	
通	tʰ	oŋ	33	
桶	tʰ	oŋ	213	
痛	tʰ	oŋ	55	
铜	ɾʱ	oŋ	24	
动	ɾʱ	oŋ	55	
洞	ɾʱ	oŋ	24	
聋	l	oŋ	24	
弄	l	oŋ	55	
粽	ts	oŋ	55	
葱	tsʰ	oŋ	33	
送	s	oŋ	55	
公	k	oŋ	33	
孔	kʰ	oŋ	213	
烘	x	oŋ	33	
红	hɦ	oŋ	24	
翁	Ǿ	oŋ	33	
木	m	ɞʔ	4	
读	t	eʔ	4	
鹿	l	ɞʔ	4	
族	tsʰ	ɞʔ	4	
谷	k	oʔ	4	
哭	kʰ	oʔ	4	
屋	Ǿ	oʔ	4	
冬	t	oŋ	33	
统	tʰ	oŋ	213	
脓	l	oŋ	24	
松	s	oŋ	33	
宋	s	oŋ	55	
毒	ɾʱ	ɵ	55	
风	x	oŋ	33	
丰	x	oŋ	33	
凤	β	oŋ	24	
梦	m	oŋ	55	
中	ts	oŋ	33	
虫	z	oŋ	24	
终	ts	oŋ	33	
充	tsʰ	oŋ	33	
宫	k	oŋ	33	
穷	ʑ	ioŋ	24	
熊	ʑ	ioŋ	24	
雄	ʑ	ioŋ	24	
福	x	ɞʔ	4	
服	β	ɞʔ	4	
目	m	oʔ	4	
六	l	ɞʔ	4	
宿	s	ɞʔ	4	
竹	ts	ɞʔ	4	
畜	tsʰ	ɞʔ	4	
缩	s	ɞʔ	4	
粥	ts	ɞʔ	4	
叔	s	ɞʔ	4	
熟	z	ɵ	55	
肉	n	iɵ	55	
菊	tɕ	iɞʔ	4	
育	Ǿ	iɞʔ	4	
封	x	oŋ	33	
蜂	x	oŋ	33	
缝	β	oŋ	24	
浓	n	oŋ	24	
龙	n	oŋ	24	
松	s	oŋ	33	
重	z	oŋ	342	
肿	ts	oŋ	213	
种	ts	oŋ	55	
冲	tsʰ	oŋ	33	
恭	k	oŋ	33	
共	k	oŋ	55	
凶	ɕ	ioŋ	33	
拥	Ǿ	ioŋ	33	
容	Ǿ	ioŋ	24	
用	Ǿ	ioŋ	55	
绿	l	ɞʔ	4	
足	ts	ɞʔ	4	
烛	ts	ɞʔ	4	
赎	z	ɵ	55	
属	s	ɞʔ	4	
