繁體	简体	聲韻	聲調	注釋		阴平324	阳平423
□	□	bã	423	跨		阴上53	阳上21
□	□	bu	423	朵		阴去55	阳去223
傍	傍	bɔ̃	423			阴入5	阳入24
坪	坪	biŋ	423			轻声0	
培	培	bei	423				
塳	塳	bəŋ	423	～塵：灰塵			
婆	婆	bu	423				
嫖	嫖	biɑɔ	423				
巴	巴	bo	423	下～			
平	平	biŋ	423				
彭	彭	bɛ	423				
憑	凭	biŋ	423				
排	排	bɑ	423				
旁	旁	bɔ̃	423				
朋	朋	bɛ	423				
杷	杷	bo	423				
枇	枇	bi	423				
棚	棚	bəŋ	423				
棚	棚	bɛ	423				
滂	滂	bɔ̃	423				
爬	爬	bo	423				
爿	爿	bã	423				
牌	牌	bɑ	423				
琵	琵	bi	423				
琶	琶	bo	423				
瓢	瓢	biɑɔ	423				
疲	疲	bi	423				
皮	皮	bi	423				
盆	盆	bɛ	423				
盤	盘	bɛ	423				
篷	篷	bəŋ	423				
簰	簰	bɑ	423				
緶	缏	bie	423				
肥	肥	bi	423	洋～皂			
脾	脾	bi	423				
膨	膨	bɛ	423				
菩	菩	bu	423				
蒲	蒲	bu	423				
蓬	蓬	bəŋ	423				
薸	薸	biɑɔ	423	浮萍			
螃	螃	bɔ̃	423				
袍	袍	bɑɔ	423				
評	评	biŋ	423				
貔	貔	bi	423	～貅：刺蝟			
貧	贫	biŋ	423				
賠	赔	bei	423				
鈀	钯	bo	423				
陪	陪	bei	423				
頻	频	biŋ	423				
龐	庞	bɔ̃	423				
□	□	duɛ	423	濕			
□	□	dəŋ	423	～雨：下雨			
亭	亭	diŋ	423				
停	停	diŋ	423				
同	同	doŋ	423				
唐	唐	dɔ̃	423				
啼	啼	di	423				
圖	图	du	423				
團	团	duɛ	423				
團	团	dəŋ	423	面精～			
堂	堂	dɔ̃	423				
堤	堤	di	423				
塗	涂	du	423				
塘	塘	dɔ̃	423				
屠	屠	du	423				
屯	屯	dəŋ	423				
庭	庭	diŋ	423				
廷	廷	diŋ	423				
徒	徒	du	423				
投	投	dəu	423				
抬	抬	da	423				
掏	掏	dɑɔ	423				
提	提	di	423				
桃	桃	dɑɔ	423				
桐	桐	doŋ	423				
條	条	diɑɔ	423				
棠	棠	dɔ̃	423				
淘	淘	dɑɔ	423				
滕	滕	dəŋ	423				
潭	潭	duɛ	423				
濤	涛	dɑɔ	423				
甜	甜	die	423				
田	田	die	423				
瞳	瞳	doŋ	423				
童	童	doŋ	423				
筒	筒	doŋ	423				
糖	糖	dɔ̃	423				
膛	膛	dɔ̃	423				
臀	臀	dəŋ	423				
臺	台	da	423	～灣			
舵	舵	du	423				
苔	苔	da	423	青～衣：青苔			
萄	萄	dɑɔ	423				
藤	藤	dəŋ	423				
蜓	蜓	diŋ	423				
螳	螳	dɔ̃	423				
調	调	diɑɔ	423	～和			
謄	誊	dəŋ	423				
謄	誊	dɛ	423				
豚	豚	dəŋ	423				
蹄	蹄	di	423				
逃	逃	dɑɔ	423				
途	途	du	423				
鈿	钿	die	423				
銅	铜	doŋ	423				
錢	钱	die	423	一～			
長	长	dɛ	423	～短			
陀	陀	du	423				
陶	陶	dɑɔ	423				
頭	头	dəu	423				
題	题	di	423				
飩	饨	dəŋ	423				
馱	驮	du	423				
駝	驼	du	423				
騰	腾	dəŋ	423				
騰	腾	dɛ	423				
□	□	guã	423	拎，提			
□	□	guəŋ	423	米粒完整飽滿			
□	□	gəu	423	刮			
懷	怀	guɑ	423	～裏			
渠	渠	gi	423	他			
狂	狂	gɔ̃	423				
癸	癸	guei	423				
繪	绘	guei	423				
葵	葵	guei	423				
軌	轨	guei	423				
逵	逵	guei	423				
銜	衔	gã	423				
凡	凡	vã	423				
唯	唯	vi	423				
墳	坟	vəŋ	423				
帆	帆	vã	423				
惟	惟	vi	423				
房	房	vɔ̃	423				
扶	扶	vu	423				
撫	抚	vu	423				
浮	浮	vu	423				
煩	烦	vã	423				
礬	矾	vã	423				
符	符	vu	423				
維	维	vi	423				
縫	缝	vəŋ	423	動詞			
繁	繁	vã	423				
肥	肥	vi	423	～皂，～料			
芙	芙	vu	423				
藩	藩	vã	423				
逢	逢	vəŋ	423				
防	防	vɔ̃	423				
馮	冯	vəŋ	423				
□	□	dzəŋ	423	兩臂左右平伸時兩手之間的距離			
□	□	dzɿ	423	蕃～：白薯			
其	其	dzɿ	423				
塵	尘	dzəŋ	423				
奇	奇	dzɿ	423				
持	持	dzɿ	423				
搽	搽	dzo	423				
旗	旗	dzɿ	423				
期	期	dzɿ	423				
查	查	dzo	423				
棋	棋	dzɿ	423				
池	池	dzɿ	423				
沉	沉	dzəŋ	423				
祁	祁	dzɿ	423				
祈	祈	dzɿ	423				
縱	纵	dzoŋ	423	放～			
茶	茶	dzo	423				
蘄	蕲	dzɿ	423	～蛇：五步蛇			
遲	迟	dzɿ	423				
陳	陈	dzəŋ	423				
馳	驰	dzɿ	423				
騎	骑	dzɿ	423				
□	□	zoŋ	423	～相：差，無能			
□	□	zo	423	□l223～：涎布			
□	□	zɑɔ	423	乖			
□	□	zɿ	423	拾			
侍	侍	zɿ	423				
剿	剿	zɑɔ	423				
匙	匙	zɿ	423				
叢	丛	zoŋ	423				
存	存	zuɛ	423				
尋	寻	zəŋ	423				
層	层	zɛ	423				
崇	崇	zoŋ	423				
巉	巉	zã	423				
巢	巢	zɑɔ	423				
愁	愁	zəu	423				
慈	慈	zɿ	423				
慚	惭	zã	423				
才	才	za	423				
時	时	zɿ	423				
晨	晨	zəŋ	423				
曹	曹	zɑɔ	423				
曾	曾	zɛ	423	～經			
材	材	za	423				
柴	柴	zɑ	423				
槽	槽	zɑɔ	423				
殘	残	zã	423				
瓷	瓷	zɿ	423				
磁	磁	zɿ	423				
神	神	zəŋ	423				
祠	祠	zɿ	423				
秦	秦	zəŋ	423				
糍	糍	zɿ	423				
纔	纔	za	423				
臍	脐	zɿ	423				
臣	臣	zəŋ	423				
茸	茸	zoŋ	423				
薺	荠	zɿ	423				
藏	藏	zɔ̃	423	隱～			
蠶	蚕	zuɛ	423				
裁	裁	za	423				
詞	词	zɿ	423				
讒	谗	zã	423				
豺	豺	za	423				
財	财	za	423				
辭	辞	zɿ	423				
辰	辰	zəŋ	423				
鋤	锄	zo	423				
饞	馋	zã	423				
鰣	鲥	zɿ	423				
齊	齐	zɿ	423				
充	充	tʃʰioŋ	423				
沖	冲	tʃʰioŋ	423				
傷	伤	ʃiã	423				
商	商	ʃiã	423				
廂	厢	ʃiã	423				
湘	湘	ʃiã	423				
瓖	瓖	ʃiã	423				
相	相	ʃiã	423	互～			
箱	箱	ʃiã	423				
襄	襄	ʃiã	423				
鄉	乡	ʃiã	423				
香	香	ʃiã	423				
□	□	dʒio	423	大聲呵斥			
傳	传	dʒyɛ	423	～達			
僅	仅	dʒiŋ	423				
僑	侨	dʒiɑɔ	423				
勤	勤	dʒiŋ	423				
呈	呈	dʒiŋ	423				
喬	乔	dʒiɑɔ	423				
囚	囚	dʒiu	423				
場	场	dʒiã	423				
岑	岑	dʒiŋ	423				
幹	干	dʒie	423	～隆			
廚	厨	dʒy	423				
強	强	dʒiã	423	～盜			
拳	拳	dʒyɛ	423				
擎	擎	dʒiŋ	423	引～			
擒	擒	dʒiŋ	423				
朝	朝	dʒiɑɔ	423	～代			
椽	椽	dʒyɛ	423				
槌	槌	dʒy	423				
橋	桥	dʒiɑɔ	423				
橙	橙	dʒiŋ	423				
權	权	dʒyɛ	423				
求	求	dʒiu	423				
泅	泅	dʒiu	423				
潮	潮	dʒiɑɔ	423				
澄	澄	dʒiŋ	423				
球	球	dʒiu	423				
琴	琴	dʒiŋ	423				
瓊	琼	dʒyɪŋ	423				
禽	禽	dʒiŋ	423				
程	程	dʒiŋ	423				
稠	稠	dʒiu	423				
窮	穷	dʒioŋ	423				
籌	筹	dʒiu	423				
紂	纣	dʒiu	423				
綢	绸	dʒiu	423				
繩	绳	dʒiŋ	423				
纏	缠	dʒie	423				
羣	羣	dʒyɪŋ	423				
腸	肠	dʒiã	423				
芹	芹	dʒiŋ	423				
茄	茄	dʒio	423				
蕎	荞	dʒiɑɔ	423				
蟲	虫	dʒioŋ	423				
裙	裙	dʒyɪŋ	423				
謹	谨	dʒiŋ	423				
逞	逞	dʒiŋ	423				
酬	酬	dʒiu	423				
重	重	dʒiɔ̃	423	～復			
鉗	钳	dʒie	423				
錘	锤	dʒy	423				
錢	钱	dʒie	423	姓			
長	长	dʒiã	423	～短			
除	除	dʒy	423				
顴	颧	dʒyɛ	423				
□	□	ʒy	423	蕃～：白薯			
丞	丞	ʒiŋ	423				
乘	乘	ʒiŋ	423	～法			
仇	仇	ʒiu	423				
償	偿	ʒiã	423				
全	全	ʒyɛ	423				
前	前	ʒie	423				
唇	唇	ʒyɪŋ	423				
單	单	ʒie	423	姓			
嘗	尝	ʒiã	423				
垂	垂	ʒy	423				
城	城	ʒiŋ	423				
塍	塍	ʒiŋ	423				
巡	巡	ʒyɪŋ	423				
常	常	ʒiã	423				
床	床	ʒiɔ̃	423				
徐	徐	ʒy	423				
從	从	ʒiɔ̃	423	～容，跟～			
循	循	ʒyɪŋ	423				
情	情	ʒiŋ	423				
成	成	ʒiŋ	423				
承	承	ʒiŋ	423				
拯	拯	ʒiŋ	423				
斜	斜	ʒio	423				
旋	旋	ʒyɛ	423	凱～			
晴	晴	ʒiŋ	423				
松	松	ʒiɔ̃	423	～樹			
殊	殊	ʒy	423				
泉	泉	ʒyɛ	423				
潛	潜	ʒie	423				
然	然	ʒie	423				
燃	燃	ʒie	423				
牆	墙	ʒiã	423				
祥	祥	ʒiã	423				
禪	禅	ʒie	423	～宗			
純	纯	ʒyɪŋ	423				
繩	绳	ʒiŋ	423				
船	船	ʒyɛ	423				
蒓	蒓	ʒyɪŋ	423				
蛇	蛇	ʒio	423				
蟬	蝉	ʒie	423				
蟾	蟾	ʒie	423				
裳	裳	ʒiã	423				
詳	详	ʒiã	423				
誠	诚	ʒiŋ	423				
誰	谁	ʒy	423				
邪	邪	ʒio	423				
醇	醇	ʒyɪŋ	423				
隨	随	ʒy	423				
髓	髓	ʒy	423				
鶉	鹑	ʒyɪŋ	423				
亡	亡	mɔ̃	423				
名	名	miŋ	423				
埋	埋	mɑ	423				
妄	妄	mɔ̃	423				
媒	媒	mei	423				
嫲	嫲	mo	423	雞～：母雞			
忘	忘	mɔ̃	423				
忙	忙	mɔ̃	423				
拇	拇	mo	423				
描	描	miɑɔ	423				
摩	摩	m	423				
文	文	məŋ	423				
明	明	miŋ	423	清～			
明	明	məŋ	423	～朝：明天			
枚	枚	mei	423				
梅	梅	mei	423				
棉	棉	mie	423				
模	模	m	423				
母	母	mo	423	老～：老婆			
毛	毛	mɑɔ	423				
民	民	miŋ	423				
煤	煤	mei	423				
痲	痲	mo	423				
盟	盟	məŋ	423				
盲	盲	mɔ̃	423				
盲	盲	mɛ	423				
眠	眠	mie	423				
瞞	瞒	mɛ	423				
矛	矛	mɑɔ	423				
磨	磨	m	423	～刀			
糜	糜	mi	423				
紋	纹	məŋ	423				
綿	绵	mie	423				
聞	闻	məŋ	423				
芒	芒	mɔ̃	423				
苗	苗	miɑɔ	423				
茅	茅	mɑɔ	423				
茫	茫	mɔ̃	423				
萌	萌	miŋ	423				
萌	萌	məŋ	423				
蒙	蒙	məŋ	423				
虻	虻	mɔ̃	423				
虻	虻	mɛ	423				
蚊	蚊	məŋ	423				
蟆	蟆	mo	423				
蠓	蠓	məŋ	423	～西：一種小昆蟲			
蠻	蛮	mã	423	野～			
謀	谋	məu	423				
謎	谜	mi	423				
貓	猫	mɑɔ	423	大～：老虎			
迷	迷	mi	423				
銘	铭	miŋ	423				
錨	锚	mɑɔ	423				
門	门	məŋ	423				
饅	馒	mɛ	423				
魔	魔	m	423				
鰻	鳗	mɛ	423				
鳴	鸣	miŋ	423				
麻	麻	mo	423				
黴	霉	mei	423				
□	□	nu	423	搓揉			
人	人	nɛ	423				
南	南	nuɛ	423				
囊	囊	nɔ̃	423				
奴	奴	nu	423				
拿	拿	no	423				
拿	拿	nɑ	423				
挪	挪	nɑ	423	～用			
撓	挠	nɑɔ	423				
濃	浓	noŋ	423				
瓤	瓤	nɔ̃	423				
男	男	nuɛ	423				
能	能	nɛ	423				
膿	脓	noŋ	423				
農	农	noŋ	423				
難	难	nã	423	～易			
齈	齈	noŋ	423				
人	人	ɲiŋ	423				
仍	仍	ɲiŋ	423				
倪	倪	ɲi	423				
元	元	ɲyɛ	423				
凝	凝	ɲi	423				
原	原	ɲyɛ	423				
吟	吟	ɲiŋ	423				
嚴	严	ɲie	423				
堯	尧	ɲiɑɔ	423				
如	如	ɲy	423				
娘	娘	ɲiã	423				
寧	宁	ɲiŋ	423	安～			
尼	尼	ɲi	423				
年	年	ɲie	423				
扔	扔	ɲiŋ	423				
柔	柔	ɲiu	423				
泥	泥	ɲi	423				
源	源	ɲyɛ	423				
漁	渔	ɲy	423				
濃	浓	ɲiɔ̃	423				
牛	牛	ɲiu	423				
疑	疑	ɲi	423				
硯	砚	ɲyɛ	423				
虞	虞	ɲy	423				
蜈	蜈	ɲy	423				
言	言	ɲie	423				
迎	迎	ɲiŋ	423				
銀	银	ɲiŋ	423				
饒	饶	ɲiɑɔ	423				
魚	鱼	ɲy	423				
鮎	鮎	ɲyɛ	423				
□	□	ŋa	423	停			
俄	俄	ŋ	423				
吳	吴	ŋ	423				
吾	吾	ŋ	423				
呆	呆	ŋa	423				
崖	崖	ŋã	423				
巖	巖	ŋã	423				
昂	昂	ŋɑ	423				
梧	梧	ŋ	423				
涯	涯	ŋɑ	423				
熬	熬	ŋɑɔ	423	～油			
牙	牙	ŋo	423				
芽	芽	ŋo	423				
蛾	蛾	ŋ	423				
蜈	蜈	ŋ	423				
顔	顔	ŋã	423				
鵝	鹅	ŋ	423				
鼇	鳌	ŋɑɔ	423				
□	□	lei	423	滾			
□	□	liɔ̃	423	瓜藤			
□	□	lɑɔ	423	在			
□	□	lɔ̃	423	～萁：蕨			
□	□	ləŋ	423	圓			
了	了	liɑɔ	423				
伶	伶	liŋ	423				
來	来	la	423	十～日			
來	来	li	423	～去			
侖	仑	ləŋ	423				
傖	伧	ləŋ	423				
劉	刘	liu	423				
勞	劳	lɑɔ	423				
厘	厘	li	423				
嚨	咙	loŋ	423				
壟	垄	loŋ	423				
寥	寥	liɑɔ	423				
寮	寮	liɑɔ	423				
廉	廉	lie	423				
廊	廊	lɔ̃	423				
廬	庐	lu	423				
憐	怜	lie	423				
憐	怜	liŋ	423				
撈	捞	lɑɔ	423				
撩	撩	liɑɔ	423				
攔	拦	lã	423				
林	林	liŋ	423				
梁	梁	liã	423				
梨	梨	li	423				
楝	楝	lie	423	苦～樹			
榴	榴	liu	423				
樓	楼	ləu	423				
欄	栏	lã	423				
流	流	liu	423				
涼	凉	liã	423				
淋	淋	liŋ	423				
淩	凌	liŋ	423				
澇	涝	lɑɔ	423				
燎	燎	liɑɔ	423				
燐	燐	liŋ	423				
爐	炉	lu	423				
牢	牢	lɑɔ	423				
犁	犁	li	423				
狸	狸	li	423				
狼	狼	lɔ̃	423				
琉	琉	liu	423				
璃	璃	li	423				
留	留	liu	423				
瘤	瘤	liu	423				
療	疗	liɑɔ	423				
盧	卢	lu	423				
硫	硫	liu	423				
碌	碌	lei	423	～碡			
礱	砻	loŋ	423				
簾	帘	lie	423				
籃	篮	lã	423				
籠	笼	loŋ	423				
籬	篱	li	423				
籮	箩	lu	423				
籮	箩	lɑ	423				
粱	粱	liã	423				
糧	粮	liã	423				
羅	罗	lu	423				
聊	聊	liɑɔ	423				
聯	联	lie	423				
聾	聋	loŋ	423				
腡	脶	lei	423				
腡	脶	lu	423				
臨	临	liŋ	423				
良	良	liã	423				
菱	菱	liŋ	423				
蓮	莲	lie	423				
藍	蓝	lã	423				
蘆	芦	lu	423				
蘭	兰	lã	423				
蘿	萝	lu	423				
螂	螂	lɔ̃	423				
螺	螺	lu	423				
輪	轮	liŋ	423	水碓～			
輪	轮	ləŋ	423	車～			
連	连	lie	423				
遼	辽	liɑɔ	423				
郎	郎	lɔ̃	423				
鄰	邻	liŋ	423				
量	量	liã	423	～長短			
鈴	铃	liŋ	423				
鐐	镣	liɑɔ	423				
鐮	镰	lie	423				
鑼	锣	lu	423				
陵	陵	liŋ	423				
隆	隆	loŋ	423				
離	离	li	423				
零	零	liŋ	423				
雷	雷	lei	423				
靈	灵	liŋ	423				
驢	驴	lu	423				
驢	驴	ly	423	街狗～：較小的驢			
鰱	鲢	lie	423				
鱗	鳞	liŋ	423				
鸕	鸬	lu	423				
鸞	鸾	luɛ	423				
黎	黎	li	423				
龍	龙	liɔ̃	423				
□	□	ã	423	討厭			
□	□	ã	423	～少：鮮少			
丸	丸	yɛ	423				
乎	乎	u	423				
也	也	a	423				
何	何	u	423				
侯	侯	əu	423				
函	函	ɛ	423				
刑	刑	iŋ	423				
劃	划	o	423	～船			
勻	匀	yɪŋ	423				
危	危	uei	423				
含	含	ɛ	423				
和	和	o	423	～氣			
員	员	yɛ	423				
唯	唯	y	423				
喉	喉	əu	423				
回	回	uei	423				
圍	围	uei	423				
園	园	yɛ	423				
圓	圆	yɛ	423				
型	型	iŋ	423				
垟	垟	iã	423				
塋	茔	iŋ	423				
壕	壕	əu	423				
壺	壶	u	423				
夷	夷	i	423				
姚	姚	iɑɔ	423				
姨	姨	i	423				
嫌	嫌	ie	423				
孩	孩	a	423				
完	完	yɛ	423				
宏	宏	oŋ	423				
容	容	ioŋ	423				
寅	寅	iŋ	423				
寒	寒	uɛ	423				
尤	尤	iu	423				
庸	庸	ioŋ	423				
延	延	ie	423				
弘	弘	oŋ	423				
弦	弦	ie	423				
形	形	iŋ	423				
恒	恒	uɛ	423				
惟	惟	y	423				
愈	愈	y	423				
懷	怀	uɑ	423	讀字			
懸	悬	yɛ	423				
戎	戎	ioŋ	423				
揚	扬	iã	423				
援	援	yɛ	423				
搖	摇	iɑɔ	423				
桓	桓	uɛ	423				
楊	杨	iã	423				
榮	荣	ioŋ	423				
槐	槐	uɑ	423				
樺	桦	o	423				
橫	横	uɛ	423				
毫	毫	əu	423				
沂	沂	i	423				
河	河	u	423				
油	油	iu	423				
沿	沿	ie	423				
洋	洋	iã	423				
洪	洪	oŋ	423				
淫	淫	iŋ	423				
淮	淮	uɑ	423				
混	混	uəŋ	423				
渾	浑	uəŋ	423				
湖	湖	u	423				
炎	炎	ie	423				
烊	烊	iã	423				
熊	熊	ioŋ	423				
熔	熔	ioŋ	423				
營	营	iŋ	423				
爲	爲	uei	423	行～			
爲	爲	y	423	行～			
爺	爷	io	423	父親			
狐	狐	u	423				
猢	猢	u	423				
猴	猴	əu	423				
猶	犹	iu	423				
玄	玄	yɛ	423				
王	王	iɔ̃	423				
環	环	uã	423				
由	由	iu	423				
痕	痕	ɛ	423				
瘍	疡	iã	423				
皇	皇	ɔ̃	423				
盈	盈	iŋ	423				
禾	禾	o	423				
移	移	i	423				
穎	颖	iŋ	423				
窰	窰	iɑɔ	423				
筵	筵	ie	423				
簧	簧	ɔ̃	423				
簷	檐	ie	423				
糊	糊	u	423				
紅	红	oŋ	423				
絎	绗	ɔ̃	423	～棉襖			
絨	绒	ioŋ	423				
維	维	y	423				
緣	缘	yɛ	423				
羊	羊	iã	423				
肴	肴	iɑɔ	423				
胡	胡	u	423				
芫	芫	ie	423				
茴	茴	uei	423				
荷	荷	u	423				
華	华	o	423				
葫	葫	u	423				
蓉	蓉	ioŋ	423				
虹	虹	oŋ	423				
蚘	蚘	iu	423	～蟲：蚜蟲			
蛔	蛔	uei	423				
蝗	蝗	ɔ̃	423				
融	融	ioŋ	423				
螢	萤	iŋ	423				
蠅	蝇	iŋ	423				
行	行	ɛ	423	～爲			
衙	衙	o	423				
衡	衡	ɛ	423				
袁	袁	yɛ	423				
詒	诒	i	423				
諱	讳	uei	423				
謡	謡	iɑɔ	423				
豪	豪	əu	423				
賢	贤	ie	423				
贏	赢	iŋ	423				
轅	辕	yɛ	423				
遊	游	iu	423				
違	违	uei	423				
遺	遗	y	423				
還	还	a	423	～有			
還	还	uã	423	～原			
郵	邮	iu	423				
鎔	镕	ioŋ	423				
鏵	铧	o	423				
閑	闲	ã	423				
閻	阎	ie	423				
阮	阮	yɛ	423				
降	降	ɔ̃	423	投～			
陽	阳	iã	423				
雄	雄	ioŋ	423				
雲	云	yɪŋ	423				
鞋	鞋	ɑ	423				
韓	韩	uɛ	423				
飴	饴	i	423				
餘	余	y	423				
餛	馄	uəŋ	423				
魂	魂	uɛ	423				
鴻	鸿	oŋ	423				
鷳	鹇	ã	423	白～：一種鳥			
鹹	咸	ã	423				
鹽	盐	ie	423	名詞			
黃	黄	uɛ	423	～：蚯蚓			
黃	黄	ɔ̃	423				
並	并	piŋ	55				
半	半	pɛ	55				
報	报	pɑɔ	55				
壩	坝	po	55				
布	布	pu	55				
怖	怖	pu	55				
扮	扮	pã	55				
拜	拜	pɑ	55				
柄	柄	pɛ	55				
欛	欛	po	55				
殯	殡	piŋ	55	～殮：入殮			
爸	爸	pɑ	55				
犇	犇	pəŋ	55	大～：地名			
痹	痹	pi	55				
禙	禙	pei	55				
糞	粪	pɛ	55	～缸			
絆	绊	pɛ	55				
背	背	pei	55	駝～			
蔽	蔽	pi	55				
變	变	pie	55				
豹	豹	pɑɔ	55				
貝	贝	pei	55				
輩	辈	pei	55				
遍	遍	pie	55				
閉	闭	pi	55				
霸	霸	po	55				
□	□	pʰɑɔ	55	用油炸			
判	判	pʰɛ	55				
剖	剖	pʰu	55				
噴	喷	pʰəŋ	55	～香			
姘	姘	pʰiŋ	55				
屁	屁	pʰi	55				
拼	拼	pʰiŋ	55				
沛	沛	pʰei	55				
泡	泡	pʰɑɔ	55	～茶；起～			
派	派	pʰɑ	55				
炮	炮	pʰɑɔ	55				
片	片	pʰie	55				
盼	盼	pʰã	55				
破	破	pʰu	55				
破	破	pʰɑ	55				
碰	碰	pʰəŋ	55				
票	票	pʰiɑɔ	55				
聘	聘	pʰiŋ	55				
胖	胖	pʰɔ̃	55				
襻	襻	pʰã	55				
配	配	pʰei	55				
鋪	铺	pʰu	55	店～			
騙	骗	pʰie	55				
□	□	tioŋ	55	堤			
□	□	tiŋ	55	沉澱			
□	□	ti	55	《集韻》去聲禦韻陟慮切：「吳俗謂盛物於器曰」。～飯：盛飯			
□	□	ti	55	滴落			
□	□	təu	55	我～你：我和你			
□	□	təŋ	55	～重：沉重			
倒	倒	təu	55	～水			
凍	冻	toŋ	55				
凳	凳	tɛ	55				
到	到	təu	55				
剁	剁	tu	55				
叨	叨	tɑɔ	55	嘮～			
叨	叨	təu	55	嘮～			
吊	吊	tiɑɔ	55				
對	对	tei	55				
帝	帝	ti	55				
帳	帐	tiã	55				
帶	带	tɑ	55				
店	店	tie	55				
戴	戴	tɑ	55	～帽；姓			
拄	拄	ty	55				
掂	掂	tie	55				
擔	担	tã	55	名詞			
旦	旦	tã	55				
棟	栋	tioŋ	55	～梁			
棟	栋	toŋ	55				
檔	档	tɔ̃	55				
漲	涨	tiã	55				
當	当	tɔ̃	55	～作			
瞪	瞪	təŋ	55				
砧	砧	təŋ	55				
碓	碓	tei	55				
脹	胀	tiã	55				
蒂	蒂	ti	55				
訂	订	tiŋ	55				
賬	账	tiã	55				
踮	踮	tie	55				
釘	钉	tiŋ	55	～住			
釣	钓	tiɑɔ	55				
頓	顿	təŋ	55				
鬥	斗	təu	55	～爭			
兔	兔	tʰu	55				
剃	剃	tʰi	55				
吐	吐	tʰu	55	～痰，嘔～			
太	太	tʰɑ	55				
套	套	tʰɑɔ	55				
屜	屉	tʰi	55				
態	态	tʰa	55				
探	探	tʰuɛ	55				
替	替	tʰi	55				
橢	椭	tʰu	55				
歎	叹	tʰã	55				
泰	泰	tʰɑ	55				
涕	涕	tʰei	55	□l44～：痰			
涕	涕	tʰi	55	鼻頭～：鼻涕			
炭	炭	tʰã	55				
燙	烫	tʰɔ̃	55				
痛	痛	tʰoŋ	55				
糶	粜	tʰiɑɔ	55				
聽	听	tʰiŋ	55	～見，～任			
褪	褪	tʰei	55	～色			
褪	褪	tʰəŋ	55	～殼：蛻殼			
趟	趟	tʰɔ̃	55				
跳	跳	tʰiɑɔ	55				
退	退	tʰei	55				
透	透	tʰəu	55				
□	□	koŋ	55	～氣：慪氣			
□	□	kuəŋ	55	紮～：結實			
□	□	kuəŋ	55	鞋～：鞋裏子			
□	□	kɑ	55	～～卵：松子			
丐	丐	ka	55				
介	介	kɑ	55				
個	个	kei	55	一～			
個	个	ki	55	一～			
個	个	ku	55	～體戶			
價	价	ko	55				
劊	刽	kuei	55				
卦	卦	ko	55				
告	告	kəu	55				
哽	哽	kɛ	55				
固	固	ku	55				
埂	埂	kɛ	55				
夠	够	kəu	55				
尬	尬	kɑ	55	尷～			
屆	届	kɑ	55				
崗	岗	kɔ̃	55				
幹	干	kuɛ	55				
怪	怪	kuɑ	55				
慣	惯	kuã	55				
慨	慨	ka	55				
戒	戒	kɑ	55				
掛	挂	ko	55	～念			
故	故	ku	55				
教	教	kɑɔ	55	～育			
教	教	kɑɔ	55	～書			
暕	暕	kã	55				
更	更	ka	55	～加			
更	更	kɛ	55	～加			
會	会	kuei	55	～計			
杠	杠	kɔ̃	55				
架	架	ko	55				
校	校	kɑɔ	55	～對；上～			
桂	桂	kuei	55				
棍	棍	kuəŋ	55				
概	概	ka	55				
構	构	kəu	55				
檜	桧	kuei	55				
汞	汞	koŋ	55				
溉	溉	ka	55				
溝	沟	kəu	55				
澗	涧	kã	55				
灌	灌	kuã	55				
界	界	kɑ	55				
監	监	kã	55				
粳	粳	kɛ	55				
罐	罐	kuã	55				
芥	芥	kɑ	55				
茛	茛	kɛ	55	柳頭～：地名			
蓋	盖	ka	55				
解	解	kɑ	55	押～			
諫	谏	kã	55				
貢	贡	koŋ	55				
貫	贯	kuã	55				
貴	贵	kuei	55	高～			
賈	贾	ko	55				
購	购	kəu	55				
較	较	kɑɔ	55				
過	过	ko	55				
錮	锢	ku	55				
鑒	鉴	kã	55				
間	间	kã	55	～斷			
降	降	kɔ̃	55	下～			
雇	雇	ku	55				
顧	顾	ku	55				
駕	驾	ko	55				
鸛	鹳	kuã	55				
龜	龟	kuei	55				
□	□	kʰei	55	收拾			
□	□	kʰoŋ	55	鳥啄物			
乞	乞	kʰa	55	給；被			
勘	勘	kʰɛ	55				
去	去	kʰi	55				
叩	叩	kʰəu	55				
啃	啃	kʰəŋ	55				
囥	囥	kʰɔ̃	55	放，藏			
困	困	kʰuəŋ	55				
塊	块	kʰuei	55				
寇	寇	kʰəu	55				
嵌	嵌	kʰã	55				
庫	库	kʰu	55				
快	快	kʰuɑ	55				
慷	慷	kʰɔ̃	55				
扣	扣	kʰəu	55				
抗	抗	kʰɔ̃	55				
曠	旷	kʰɔ̃	55				
看	看	kʰã	55	～見，～守			
睏	睏	kʰuɛ	55	睡			
磡	磡	kʰɛ	55	田～：地名			
礦	矿	kʰɔ̃	55				
空	空	kʰoŋ	55	有～			
筷	筷	kʰuɑ	55				
褲	裤	kʰu	55				
課	课	kʰo	55				
銬	铐	kʰəu	55				
靠	靠	kʰəu	55				
付	付	fu	55				
傅	傅	fu	55				
副	副	fu	55				
奮	奋	fəŋ	55				
富	富	fu	55				
廢	废	fi	55				
放	放	fɔ̃	55				
泛	泛	fã	55				
狒	狒	fi	55				
痱	痱	fi	55				
糞	粪	fəŋ	55	讀字			
肺	肺	fi	55				
訃	讣	fu	55				
販	贩	fã	55				
費	费	fi	55				
賦	赋	fu	55				
赴	赴	fu	55				
□	□	tsa	55	什麼			
□	□	tsei	55	～有：只有			
□	□	tsɛ	55	骨頭～：骨哽在喉			
□	□	tsɿ	55	～手：左手			
佐	佐	tsu	55				
