来源：	张长江 2020《山西屯留方言语音研究》；Hynuza, Skanda 整理录入
tɕ	［1］居车{车马炮}拘驹［2］聚具惧据巨钜距俱剧矩［3］举［5］锯拒句
tɕʰ	［1］蛆渠趋区驱苣{苣苣菜}［2］瞿［3］取娶［5］趣
ȵ	［3］女
ɕ	［1］墟虚嘘须鬚需［2］絮徐序叙绪浒-{北浒庄}［3］许［5］续婿=
Ø	［1］淤迂愚［2］于鱼渔御余誉预豫愚虞娱遇寓于盂羽芋榆逾愉喻裕域如-{如果}吁［3］语舁与雨宇禹羽={羽毛球}
#a
p	［1］巴芭疤爸扒吧{网吧}［2］罢{吃罢饭}［3］把{把握}靶粑［5］霸欛坝把{刀把}
pʰ	［1］趴{趴下}［2］爬琶杷钯耙［5］怕帕
m	［1］妈［2］麻痲蟆骂［3］马码玛{玛瑙}
v	［1］蛙漥挖娲{女娲}洼{东洼：地名}哇娃［3］瓦［5］□{~进：陷进去}
t	［2］大{大小}［3］打
tʰ	［1］他她它
n	［1］呐{没呐}［2］拿［3］哪［5］娜
l	［1］拉={拉面}［3］喇［5］落{落下}
ts	［1］渣喳蹅{踩}［2］楂咱-{咱妈}栅={栅栏}［3］闸{电闸}搾{一搾长}铡［5］诈{诈骗}榨炸={炸弹}
tsʰ	［1］杈差{差距}嚓［2］茶茬查镲［3］衩叉-{叉开腿}［5］差{错}岔叉={交叉}
s	［1］萨沙莎纱砂痧［3］洒［5］厦{大厦}
k	［3］尕嘎［5］尬{尴尬}
kʰ	［3］咖卡{卡车}
#ia
p	［1］□{拟声词，形容打人发出的声音}
pʰ	［1］□{拟声词，形容打人发出的声音}
l	［3］俩
tɕ	［1］家加痂嘉傢佳袈{袈裟}［3］假贾［5］假架驾嫁稼价
tɕʰ	［1］揢{揢起来：抱起来}［3］卡{卡子}［5］恰洽
ȵ	［3］娘{妈妈}
ɕ	［1］虾霞瑕遐狭峡［2］下夏厦{厦门}暇辖［5］吓
Ø	［1］丫［2］牙芽衙伢鸦桠崖涯衙［3］雅哑［5］压={压强}亚
#ua
ts	［1］抓［3］爪
tsʰ	［1］□{拟声词，用来形容速度快}
s	［3］耍撒{撒面粉}
k	［1］瓜刮={刮皮}［3］寡剐［5］挂卦褂
kʰ	［1］夸［3］侉垮胯［5］跨挎
x	［1］花铧哗［2］化华桦画话划{划船}［5］划{计划}
#ie
p	［2］别{别针}［3］蹩{形容人比较古怪}
pʰ	［3］撇{撇嘴}
t	［1］爹
tɕ	［1］街［3］姐解{讲解}［5］借芥{芥末}界械-{机械}介
tɕʰ	［2］茄［3］且
ȵ	［1］□{“你家”合音}
ɕ	［1］些［2］邪斜解{姓}蟹谢携胁协鞋挟［3］写［5］泻卸懈泄屑
Ø	［1］椰［2］夜爷［3］惹也野
#ye
ɕ	［1］靴
#ɤ
ts	［1］遮［3］者褶{褶子，皱纹}
tsʰ	［1］车{车辆}［3］扯［5］撤侧={侧面}
s	［1］奢赊［2］蛇射麝社舍{宿舍}摄佘［3］舍{舍得}
k	［1］歌［3］哥葛［5］个={个别}
kʰ	［1］科=窠［2］棵=颗=［3］可{可点了形容病轻了}［5］课=
x	［1］吓{恐吓}呵［2］和{和解}河何荷{荷花}禾=饸［5］贺赫荷{负荷}
ŋ	［1］屙娿阿{阿胶}［2］蛾鹅俄饿讹恶{善恶}扼娥{嫦娥}鳄峨{峨眉山}
#uɤ
p	［1］波菠玻播□{动词，相当于打人的打}［3］跛簸{动词}［5］簸{簸箕}
pʰ	［1］坡颇［2］婆［5］破
m	［1］馍［2］磨魔磨{磨面，石磨}模{规模}茉{茉莉花}蘑={蘑菇}［3］膜{白膜}幕{报幕}
t	［1］多［2］舵惰垛堕［3］朵躲［5］剁
tʰ	［1］拖［2］驼驮椭砣{秤砣}鸵{鸵鸟}［3］妥［5］唾
n	［2］挪糯［3］诺
l	［2］罗锣箩骡螺摞［3］裸
ts	［2］坐座［3］左佐阻［5］助-
tsʰ	［1］初搓［2］锄［3］楚礎{柱下石}础［5］错措挫
s	［1］梳疏蔬梭［3］所数{数清楚}锁琐索唢［5］数{数字}硕{硕士}朔
k	［1］锅［3］果裹［5］过
kʰ	［1］科-窠［2］棵-［5］课-
x	［2］和{和面，和尚}禾-{禾苗}祸［3］火伙［5］货
Ø	［1］倭窝蜗［2］卧{卧下}
#ɛe
p	［1］白-{白跑}［2］败{败兴}［3］摆［5］拜{拜天地}
pʰ	［1］迫{迫击炮}［2］牌排［5］派
m	［1］□{我，我的}［2］卖迈［3］买
v	［1］歪{身体不舒服}［2］外［3］歪{不正}崴{崴脚}□{两只手折断}
t	［1］呆［2］大{大夫}贷待代怠黛［3］逮歹掸{鸡毛掸子}［5］戴带袋黛
tʰ	［1］胎苔态［2］抬台［5］太泰汰
l	［2］来赖癞莱［3］□{弄脏}
m	［1］□{我，我的}［2］卖［3］买
n	［1］□{挨了一顿打}［2］耐奈［3］乃奶
ts	［1］灾栽斋［2］在寨宅［3］宰崽载{年载}［5］债再载{载重，满载}
tsʰ	［1］猜钗差{出差}［2］才材财裁豺柴［3］彩睬采［5］菜蔡
s	［1］腮鳃筛［3］□{甩一甩水}［5］赛晒
k	［1］该赅［3］改［5］概溉盖丐钙
kʰ	［1］开［3］凯慨揩楷
ŋ	［1］哀埃{埃及}挨矮唉癌艾{艾叶}唉{唉声叹气}［3］蔼［5］爱隘碍瞹
x	［1］嗨［2］孩害还{还有}［3］海［5］亥骇
#uɛe
ts	［2］拽［3］□{时髦}
tsʰ	［3］揣{揣摩}［5］踹
s	［1］衰摔［3］甩{甩干}［5］帅率蟀{蟋蟀}
k	［1］乖［3］拐［5］怪
kʰ	［5］会{会计}块快筷
x	［2］怀槐淮坏徊{徘徊}［3］□{语气词}
#ei
p	［1］杯碑卑悲背{背上包}北{北京}［2］背{背诵}被={被打}备=倍贝{贝壳}［3］背-{形容地方偏僻}［5］辈狈贝{宝贝}
pʰ	［1］胚{胚胎}坯={土坯}裴［2］培陪赔［5］配佩辔沛
m	［2］埋梅枚媒煤妹昧{昧良心}楣霉媚眉=玫酶莓魅［3］美每镁［5］寐
f	［1］非飞妃翡{翡翠}菲啡{咖啡}［2］肥榧{榧子}［3］匪［5］疿{疿子}费{费用，表顽皮}废肺吠痱
v	［1］桅{船桅杆}煨危萎微威伟违［2］卫位维惟唯未味魏畏慰违围胃谓外{外后天}为{作为，为什么}［3］伪委纬猬苇{芦苇}尾={收尾}［5］餧喂
n	［2］内=［3］馁{气馁}
ts	［1］贼［3］怎-{怎见}
s	［2］谁
x	［1］嘿
#uei
t	［1］堆［2］队兑［5］对
tʰ	［1］推［2］颓{颓废}［3］腿［5］退蜕{蛇蜕皮，蝉蜕}褪煺{煺猪}
n	［2］内-［3］馁
l	［2］雷累{极困}类泪瑞［3］儡{傀儡}累{累积}蕊垒磊［5］锐
ts	［1］追锥［2］罪赘坠［3］嘴［5］缀醉最
tsʰ	［1］催崔{姓}吹炊［2］垂锤槌［5］脆翠粹悴
s	［1］虽［2］随髓隋绥睡遂隧{隧道}穗{谷穗}［3］水［5］岁碎税婿-{女婿}荽{芫荽}
k	［1］圭闺规龟归硅轨［2］跪柜［3］诡癸鬼［5］桂贵{价格高}贵{贵人}瑰{玫瑰}
kʰ	［1］盔魁{魁首}奎亏逵葵窥［3］傀{傀儡}［5］愧溃{溃疡}馈
x	［1］恢灰麾挥辉徽诙晖［2］会{开会}绘回茴{茴香}蛔［3］悔毁［5］刽桧晦惠慧秽讳溃{溃脓}贿烩卉汇
#ɔo
p	［1］褒{褒奖}包胞［2］抱=暴爆鲍{姓，鲍鱼}刨{刨子}龅{龅牙}雹{冰雹}［3］保堡{城堡}宝饱［5］报豹曝
pʰ	［1］泡{灯泡}抛剖{剖腹}疱［2］袍刨{减去}［3］跑［5］炮{枪炮}泡{泡在水里}
m	［1］瞄{看}［2］毛冒帽茅猫{动物}貌茂贸矛蘑{蘑菇}［3］卯铆{铆钉}
t	［1］刀叨［2］道稻盗导{导师}［3］祷岛倒{打倒，颠倒}捣导{指导}［5］到倒{倒水}□{圪~：坑}
tʰ	［1］掏{掏出来}滔涛［2］桃逃淘{淘米}陶萄［3］讨［5］套
n	［1］孬［2］铙{铙镲}挠闹［3］脑恼瑙{玛瑙}
l	［1］唠{唠叨}落{落枕}［2］劳捞牢唠{唠叨}涝{旱涝}痨佬［3］老姥
ts	［1］遭糟朝{今朝}召昭招沼{池沼，沼气}［2］皂造{建造}罩赵［3］早枣蚤澡爪{爪牙，爪子}找［5］躁灶笊{笊篱}兆照诏
tsʰ	［1］操{操作}抄{略取，抄写}钞{钱钞}超焯勺-{勺儿}［2］曹槽{马槽}朝{朝代}潮巢䄚{脏}［3］草騲炒吵［5］糙{粗糙，糙米}操{操蛋}肏
s	［1］骚梢{树梢}捎{捎带}稍潲{猪食}烧［2］少{少年}韶{韶关}绍邵［3］扫{扫地}嫂少{多少}［5］潲{潲雨}扫{扫帚}臊{臊气}
k	［1］高膏{雪花膏}羔糕睾［3］稿搞镐［5］告膏{膏车，膏油}
kʰ	［3］考烤［5］靠犒铐
ŋ	［1］熬{熬人，熬白菜}［2］熬{熬米汤}傲奥鏊{烙饼用具}［3］袄［5］坳{山坳}懊{懊恼}
x	［1］蒿{蓬蒿}薅{除田草}［2］耗豪壕毫号{吹号}浩号{号数}蚝嚎{表示大哭}［3］好{好坏}［5］好{好耍}昊
#iɔo
p	［1］臕{肥臕}标彪镖飙{飙车}［2］嫑□{与某人较劲}［3］表錶褾婊裱
pʰ	［1］飘漂{漂浮}鳔［2］瓢嫖{嫖赌}［3］漂{漂白}瞟［5］票{车票}漂{漂亮}
m	［2］苗描庙喵［3］藐渺秒妙
t	［1］刁貂雕叼凋碉{碉堡}［2］掉{掉地上，丢东西}调{音调}［3］屌［5］钓吊调{调动}悼-{悼念}
tʰ	［1］挑{挑选}［2］条调{调和}笤{笤帚}迢［3］挑{挑拨}［5］跳粜
l	［1］料{圪料，表示弯曲了}［2］燎疗聊辽撩{撩起来}瞭料{材料}尥{马尥蹶子}潦僚獠撂［3］燎{火燎眉毛}了{了结}
tɕ	［1］交郊胶教{教书}焦蕉{芭蕉，香蕉}椒娇矫{矫诈}浇骄缴{上缴}［2］嚼=教{教他去}［3］绞狡铰搅剿侥{侥幸}饺={饺子}［5］教{教育}较窖觉{睡觉}轿叫
tɕʰ	［1］锹悄{悄悄地}劁{劁猪}［2］樵瞧乔侨桥荞跷{高跷}［3］悄{静悄悄}巧［5］俏偢{傻}鞘{刀鞘}窍翘撬
ȵ	［2］尿［3］鸟
ɕ	［1］消宵霄硝销嚣萧箫肖逍潇［2］效校{学校,上校}校-{校对}淆酵-{酵母}［3］小晓［5］孝笑
Ø	［1］妖邀腰要{要求}幺{幺二三}吆{吆喝}［2］肴饶桡{桨}绕{围绕}绕{绕线}摇谣窑姚尧耀［3］咬扰舀{舀水}杳{杳无音信}［5］靿{靴靿}要{想要，重要}鹞{鹞鹰}
#əu
t	［1］兜都{都是}［2］豆痘{青春痘}［3］斗{北斗星}抖陡［5］斗{争斗}逗
tʰ	［1］偷［2］头投［5］透
l	［2］楼搂{搂取}耧{播种用的农具}漏陋露{露出来}笼-{灯笼}［3］篓搂{抱}
ts	［1］周舟州洲粥诌{圪诌：胡说}［2］揍{打人}［3］走肘［5］奏纣{桀纣}昼宙皱骤咒
tsʰ	［1］抽搊{搊起来}□{~头，戴在牲口嘴上防止吃庄稼的用具}［2］绸稠筹愁仇酬［3］丑瞅［5］凑臭{香臭}
s	［1］搜飕馊{饭馊了}搜{搜集}收［2］兽受寿授售［3］叟手首守擞{甩一甩衣服上的灰}［5］嗽{咳嗽}瘦
k	［1］勾钩沟购篝{篝火}［3］狗茍枸［5］彀{往上彀}够构垢
kʰ	［1］抠眍{眼眍}［3］口［5］叩{叩头}扣{扣住}寇蔻{豆蔻}
ŋ	［1］欧瓯呕{呕吐}殴［3］藕偶{偶然}偶{配偶}［5］沤{久浸在水中}怄{怄气}
x	［2］侯喉猴瘊{瘊子}后厚候［3］吼{大喊，哭}
#iəu
m	［2］谬={荒谬}
t	［1］丢
l	［1］溜{溜冰}［2］流刘留榴{石榴}硫{硫黄}琉{琉璃}溜馏［3］柳［5］六=
tɕ	［1］揫{一把揫住}鸠阄{拈阄}纠{纠缠}究纠{纠正}灸{针灸}［2］就臼舅咎旧柩［3］酒九久韭［5］救
tɕʰ	［1］秋{秋天，秋千}囚泅{游水}丘蚯{蚯蚓}邱丘［2］求球仇{姓}［3］糗{麺煑糗了}
ȵ	［1］妞［2］牛=［3］纽扭
ɕ	［1］修羞休［2］袖［3］朽［5］秀绣宿{星宿}锈{铁锈}嗅{用鼻嗅}
Ø	［1］柔忧优尤邮游犹悠{悠悠}幽［2］揉牛-又右佑由油柚釉幼［3］有友酉莠［5］诱肉鼬{黄鼬}柚
#æ̃
p	［1］班斑颁扳般搬［2］扮瓣办伴拌［3］板版［5］半绊
pʰ	［1］攀潘蟠磐［2］盘［3］□{~地，锄地}［5］盼襻{纽襻}判叛
m	［2］蛮慢瞒馒{馒头}漫幔蔓{瓜蔓子}埋{埋怨}［3］满
f	［1］凡帆藩翻番{几番}返［2］范犯泛烦繁矾饭［3］反［5］贩□{起~：身上起疙瘩}
v	［1］豌{豌豆}剜弯湾［2］万完丸{肉丸，弹丸}玩{古玩，游玩}顽{顽皮，顽固}烷［3］晚挽碗宛婉［5］腕
t	［1］耽担{担任}丹单{单独}但［2］淡诞弹{子弹}蛋［3］胆［5］担旦石{一石粮食}
tʰ	［1］贪滩摊坍［2］潭谭谈痰檀坛弹{弹琴}坦{坦克}［3］毯坦忐袒［5］炭叹碳探
n	［2］南男难{难易}［3］暖{暖鞋}
l	［2］滥蓝篮兰拦栏烂阑澜岚{岚水，地名}婪［3］览揽榄{橄榄}懒缆
ts	［1］沾粘{粘贴}簪毡［2］暂錾{錾花}站{立}站{车站}绽{破绽}栈战［3］斩盏展崭{崭新}［5］蘸{蘸酱油}占赞颤
tsʰ	［1］搀参{参加}餐惨［2］蚕惭谗馋蟾{蟾酥}残缠蝉禅{禅宗}［3］铲产［5］灿
s	［1］三衫杉珊山删膻{膻气}搧叁煽［2］疝{疝气}善膳单{姓}禅{禅让}蟮{蛐蟮}［3］陜{陜西}闪散{散架}伞［5］散{分散}扇骟
k	［1］甘柑泔{泔水}尴{尴尬}肝竿{竹竿}干{干湿}［3］感敢橄{橄榄}杆秆{稻秆}擀{擀面}赶［5］干{干活}
kʰ	［1］勘{勘误，勘探}堪龛看{看守}刊［3］坎砍［5］看{看见}
ŋ	［1］庵安鞍鹌氨［5］揞{收覆，揞住}暗埯{坑}岸按案
x	［1］蚶{蚶子}憨{痴}酣鼾{睡时鼾声}涎{涎水}［2］含函寒韩旱汗焊{焊铁壶}翰邯{邯郸}涵［3］喊罕［5］撼憾汉
#iæ̃
p	［1］鞭编边［2］辨辩汴便{方便}遍{遍地}辫［3］扁匾缏{缏袖子}贬［5］变遍{一遍}
pʰ	［1］篇偏翩［2］便{便宜}［5］骗片
m	［2］绵棉面眠麺［3］免勉娩{分娩}缅渑{渑池}
t	［1］掂{掂掇}颠［2］电殿奠佃垫{垫钱}［3］点典［5］店甸
tʰ	［1］添天［2］甜田填［3］舔腆{腆肚子}
l	［2］廉镰帘连联怜莲练炼链恋鲢［3］敛殓脸
tɕ	［1］监{监察，监视监牢}尖歼{歼灭}兼搛{搛菜}艰间{空间，中间}奸煎肩坚秸-{麦秸}［2］贱间{间或}［3］减鹻检俭简裥柬拣捡剪茧趼碱{碱面}［5］鉴监{国子监}舰剑苋{苋菜}谏涧锏{车锏}践件箭溅{溅一身水}渐饯{饯行}犍{犍子}建键健腱笺荐见毽
tɕʰ	［1］籖签谦迁千牵铅锨骞杄{木杄}［2］钳钱乾{乾坤}虔掮前黔［3］浅遣谴潜［5］嵌欠歉芡倩纤
ȵ	［2］黏{黏米，黏起来}鲇{鲇鱼}念年［3］辇捻{以指捻碎}撵
ɕ	［1］仙掀先鲜=纤［2］咸鹹衔嫌馅=闲限贤弦现县［3］险显［5］陷线羡宪献
Ø	［1］淹阉腌蔫{食物不新鲜}焉{心不在焉}蔫{花萎}烟燕{燕京，姓}［2］岩验炎盐阎檐艳焰{盐腌}严颜雁碾延筵谚言研砚沿燕{燕子}宴然燃［3］掩俨{俨然}眼演染冉奄［5］厌堰咽
#uæ̃
t	［1］端［2］断{断绝}段缎椴［3］短［5］锻{锻炼}
tʰ	［2］团
n	［3］暖={温暖}
l	［2］鸾乱峦銮［3］卵
ts	［1］钻{动词}专砖膞{鸡膞}［2］赚［3］攒={积攒}转{转眼，转送}［5］纂{编纂}钻{木工用具}转{转螺丝，转圆圈}篆传{传记}撰
tsʰ	［1］川穿撺{撺掇}［2］汆{汆汤}传{传达}椽船［3］喘［5］窜篡串
s	［1］酸闩拴［5］算蒜涮
k	［1］官观{参观}棺冠{凤冠霞帔}关［3］管馆［5］贯灌观{道观}冠{冠军}罐鳏{鳏寡}惯
kʰ	［1］宽［3］款
x	［1］欢獾［2］唤桓换环患宦还{还钱}唤［3］缓［5］焕幻
#yæ̃
tɕ	［1］捐［2］圈{猪圈}倦［3］卷{卷起}啳{啳人，骂人}［5］眷卷{一卷}绢
tɕʰ	［1］圈{圆圈}［2］拳颧{颧骨}权全［3］犬［5］劝券
ɕ	［1］喧鲜-{新鲜}轩□{干~：徒劳地白跑}［2］楦{鞋楦}玄悬眩旋镟［3］癣鲜{朝鲜}选
Ø	［1］冤渊鸳援{援救}［2］元原源袁辕园圆员院缘愿{愿意}芫{芫荽}［3］阮远［5］怨
#ẽ
p	［1］奔锛逩［2］笨［3］本苯
pʰ	［1］喷{喷水}［2］盆［3］喷{香喷喷}
m	［1］闷{闷人}焖［2］门
f	［1］分芬纷［2］焚坟豮{牡豕}［3］粉［5］粪奋愤忿份{一份两份}
v	［1］温瘟［2］文纹蚊闻问璺{裂璺}［3］稳吻刎
tʰ	［5］退-
n	［2］嫩=
ts	［1］针斟珍榛臻真贞侦［2］阵［3］枕{头枕}诊疹［5］枕{动词}镇振震
tsʰ	［1］岑深-{深井}抻［2］沉陈尘辰晨臣［5］趁衬碜{寒碜}称{称心}
s	［1］森参{人参}深=身申伸糁{玉米糁，磨成颗粒的粮食}［2］甚慎神［3］沈审婶［5］渗{水渗透}瘆{瘆人，令人害怕}
k	［1］跟根
kʰ	［3］恳垦啃{老鼠啃}肯
ŋ	［1］恩［5］摁{摁住}
x	［2］痕恨［3］很狠
#iẽ
p	［1］彬宾槟{槟榔}［5］鬓{鬓角}殡{出殡}
pʰ	［2］贫频{频繁}［1］拼{拼命}［3］品［5］聘
m	［2］民［3］闽{闽越}悯敏抿泯
l	［2］林淋{淋漓，淋湿}临邻鳞磷琳［3］檩凛［5］赁={租赁}
tɕ	［1］今金襟巾斤筋［2］妗{舅母}尽近［3］锦紧仅谨［5］浸禁{禁止}进晋劲{有劲}
tɕʰ	［1］钦亲{亲人}［2］琴禽擒秦勤芹噙［3］寝侵［5］亲{亲家}沁{沁县}
ɕ	［1］心辛新薪欣芯忻馨［2］寻-［5］信衅{挑衅}囟{囟门蛋，额头}
Ø	［1］音阴因姻洇殷茵［2］吟淫人仁认银寅赁-龈{牙龈}［3］壬任{姓}饮{饮料}忍引隐瘾允尹蚓{蚯蚓}［5］任{责任}纴{缝纴}荫{屋子很荫}饮{饮砖}印{印章}韧
#uẽ
t	［1］敦{敦厚}墩蹲［2］顿饨{馄饨}囤盾{矛盾，赵盾}沌钝遁炖{炖肉}
tʰ	［1］吞［2］屯豚臀
l	［2］嫩-{嫩玉茭}论{论语}仑论{议论}伦沦轮=囵{囫囵}
ts	［1］尊遵谆肫{肫肝}［3］准
tsʰ	［1］村皴{脸皴}椿{椿树}春［2］存纯醇{酒味醇}莼{莼菜}唇［3］忖蠢［5］寸
s	［1］孙［2］顺舜瞬
k	［3］滚［5］棍
kʰ	［1］昆崑坤［3］捆［5］困
x	［1］昏婚荤［2］魂馄{馄饨}浑{浑浊}横-{横顺}［3］混{相混，混沌}
#yẽ
l	［2］轮-
tɕ	［1］均钧君军［3］菌［5］俊郡骏
tɕʰ	［2］群裙
ɕ	［1］熏勋薰［2］荀旬循巡寻=［3］笋榫{榫头}损［5］讯迅训逊驯汛
Ø	［1］晕［2］润闰匀云韵运孕［3］允陨{陨落}
#ɑŋ
p	［1］帮傍{傍黑会：天擦黑}邦浜{一条浜}梆{上党梆子}［2］棒蚌{河蚌}［3］榜绑{捆绑}［5］谤
pʰ	［1］肨{肿}［2］滂{滂沱}旁螃{螃蟹}庞［5］胖
m	［1］盲虻{牛虻}□{形容小孩儿胖乎乎，~忽忽[xuəʔ1]}［2］忙芒茫芒{麦芒儿}［3］莽蟒
f	［1］方肪{脂肪}芳［2］妨{妨害}房防［3］仿{仿效，仿佛}纺仿{相似}访［5］放
v	［2］忘妄望汪{一汪水}亡王旺{兴旺，火旺}［3］网辋{车辋}往［5］枉
t	［1］当{当时，应当}裆{裤裆}［2］当{典当}荡{放荡}［3］党挡{阻挡}档-{档案}
tʰ	［1］汤［2］堂棠螳{螳螂}唐糖塘螳溏［3］倘{倘使}躺［5］烫趟{一趟}
n	［2］囊曩［3］攮{用刀子攮}暖{暖和}
l	［2］郎廊狼蜋浪螂{螳螂}榔{槟榔}［3］朗
ts	［1］赃脏{不干净}脏张章樟［2］丈仗杖［3］长{生长}涨掌［5］葬藏{西藏}帐账胀障{保障}瘴{瘴气}臧
tsʰ	［1］仓苍昌菖{菖蒲}［2］藏{隐藏}长{长短}肠常{经常}尝偿{偿还}［3］场厂［5］畅唱倡{提倡}
s	［1］桑丧{丧事}商伤［2］上{上山}上{上头}裳={衣裳}［3］嗓搡赏晌{晌午}饷偿-{赔偿}［5］丧{丧失}尚
k	［1］冈岗刚=纲钢缸杠［2］钢{刀钝了，钢钢}□{~饭：蹭饭}□{耍赖}［3］港{港口}
kʰ	［1］康糠慷{慷慨}［5］抗炕囥{藏}
ŋ	［1］骯{骯脏}［2］昂
x	［1］夯{打夯}［2］行{行列，银行}航杭
#iɑŋ
ȵ	［2］娘{娘家}酿
l	［2］良凉量{量长短}粮梁粱两{几两几钱}亮谅辆量{数量}［3］两{两个}
tɕ	［1］将{将来}疆僵姜礓{礓石}缰{缰绳}姜{强}江豇{豇豆}刚-{刚刚，刚才}［2］强{倔}将{大将}匠［3］浆蒋奖桨讲耩{耩地}［5］酱降{下降}虹-{天上的虹}
tɕʰ	［1］枪羌腔［2］墙强{强大}［3］抢强{勉强}
ɕ	［1］箱厢湘襄镶香乡［2］相{互相}详祥象像橡{橡树}降{降伏，投降}常-{常村：地名}尝-{尝尝}裳-{衣裳}［3］想享响［5］相{相貌}向项巷
Ø	［1］央秧殃鸯{鸳鸯}［2］羊洋杨阳扬疡{溃疡}样瓤{瓜瓤}穰{禾茎}让［3］仰养痒攘嚷壤{土壤}
#uɑŋ
ts	［1］庄装桩［2］撞{撞车}状{状元}［5］壮
tsʰ	［1］疮窗［2］床［3］闯［5］创撞{撞到}
s	［1］霜孀双［3］爽［5］双{双生}
k	［1］光［2］逛桄{一桄线}［3］广
kʰ	［1］匡筐眶{眼眶}框诓{诓骗}［2］狂［5］旷况矿
x	［1］荒慌［2］黄簧{锁簧}皇蝗晃{晃眼}磺{硫磺}［3］谎幌{挂幌子}
#əŋ
p	［1］崩迸{迸裂}绷［2］泵［5］蹦
pʰ	［1］烹［2］朋彭膨{膨胀}篷蓬棚鹏［3］捧［5］碰
m	［1］懵{懵懂}［2］孟萌盟蒙梦［3］猛
