澄海大新话字表，属于闽南区——潮汕片	
kʰ	[33]箍圈（圆圈）[53]苦（东西～；辛～）[213]库裤
ɡ	[11]误[55]吴
∅	[11]芋[55]湖
h	[35]户雨后（皇～）[55]胡[213]戽（戽水）
p	[33]铺（铺设）埠（商埠）[35]部[11]步[53]补脯（胸～肉）脯（果～）斧[213]布
pʰ	[35]簿[53]谱普甫剖[213]铺（店铺）
b	[11]戊[55]模（模子）[53]亩
n	[55]奴
s	[33]苏[53]瘦
m	[55]谋摸[213]贸
ŋ	[35]五[53]午藕偶（偶然）
ts	[33]租
#u	
t	[33]堆[53]赌[213]著（显著）
tʰ	[55]徒途储（储蓄）
l	[55]庐（茅庐）[53]鲁屡
ts	[33]组蛆（生蛆）诸株朱[35]聚住[53]拄主[213]注注蛀
tsʰ	[33]趋雏[53]取趣[213]处（相处）处（处所）
k	[33]龟[35]俱具舅[11]旧[53]韭[213]故固顾句灸（针灸）
kʰ	[33]枢拘区（区域）丘
ɡ	[55]牛
∅	[33]污[35]有[55]吾娱[53]宇[213]恶（可恶）
h	[33]呼壶肤敷孵（孵小鸡）麸（麦麸子）腐（豆～）[35]互护父辅[55]符扶[53]府釜[213]付（～校长）赋傅赴附副（一～）
p	[35]捕妇[213]怖（恐怖）富
pʰ	[55]菩（菩萨）浮（漂浮）
b	[35]务[11]雾[55]巫[53]抚武舞（～工）
s	[33]需输[35]竖[55]殊[53]绪褚（姓）杵暑署（专署）[213]素絮序恕
z	[35]喻[55]如儒愉[53]乳（腐～）愈（病愈）
#ok	
t	[4]独[2]督
l	[4]洛录
ts	[4]族粥[2]足
tsʰ	[2]捉促触
k	[2]国谷
kʰ	[2]酷
∅	[4]屋（房屋）[2]握沃
h	[4]复（复兴）或服[2]福复
p	[2]卜（姓）
pʰ	[2]扑仆
s	[4]续俗续赎属[2]塑（塑像）寂速肃缩束
m	[4]没（1沉没；2没有）莫（约～）寞疫
z	[4]辱
#oũ	
h	[53]虎
#eŋ	
t	[33]灯钉（铁钉）[35]断（断绝）邓[55]重（重复）[53]等顶[213]装凳订（订约）
tʰ	[33]窗[55]澄停庭[53]惩艇颖
l	[35]令[55]能凌灵零另龙[53]垄
ts	[33]增曾（曾经）僧征（征求）蒸睛（眼睛）贞侦征钟[35]净[53]种（种类）肿[213]证政众种（种树）
tsʰ	[33]称（称呼）清[55]橙（橙子）情[213]刺秤（一杆秤）铳（放铳）
k	[33]更（1更换；2五更）宫供（供给）[35]竞[55]穷[53]境景[213]更（更加）敬
kʰ	[33]筐卿[53]肯[213]庆
∅	[33]英[11]用[55]萤[213]应（1应当；2应用）
h	[33]兴（兴旺）亨馨胸[35]杏幸[55]恒形雄[213]兴（高兴）
p	[35]并（～行～讲）
pʰ	[33]朋烹拼（拼命）[55]凭评萍
n	[35]蛋[55]宁（安宁）[53]女
s	[33]升甥[35]乘盛（兴盛）[55]剩蝇松（～木）[213]胜胜（胜败）
m	[35]孟[55]萌明盟铭[53]皿
ŋ	[55]迎
#ɯ	
t	[33]猪[11]箸（筷子）[55]除锄
l	[35]吕[55]劳[53]你你
ts	[33]书资滋辎（辎重）之[35]自[55]薯（白薯）[53]子[213]次
tsʰ	[55]餈（餈巴）慈
k	[33]居车（车马炮）[35]据巨距[53]举矩（规矩）[213]锯（锯子）
kʰ	[55]渠瞿[213]去（来去）
ɡ	[35]御[53]语
∅	[33]于（于此）[35]誉（荣誉）预[55]余[53]与（给与）
h	[33]墟（墟市）虚[35]许[55]鱼
s	[33]斯撕私思思（意思）[35]伺似祀（祭祀）士[11]事[55]词祠[53]史
z	[55]而
#i	
t	[33]低[35]弟隶[11]地治[55]池[213]帝智致置
tʰ	[55]啼持[53]体[213]替剃翅
l	[35]励丽（美丽）利[11]例吏[55]离（离别）离（离开半寸）厘[53]旅李里（～头）理
ts	[53]紫只（只有）姊指止址只[213]祭际制济剂（一剂药）至志
tsʰ	[33]鳃妻痴[35]舐（以舌取物，舔）市[11]饲[55]迟[53]侈（奢侈）耻[213]试
k	[33]稽枝饥（饥饿）基机讥[35]技妓冀忌[55]旗[53]齿己（自～）纪（纪律，世纪）杞[213]继（过～）痣记既
kʰ	[33]欺[55]奇祁期（时期）祈[53]启起[213]器
ɡ	[55]疑
∅	[33]于衣[35]异[55]移姨[213]肄（肄业）意
h	[33]牺熙希[35]系（联系）携[53]喜[213]戏
p	[33]蓖（蓖麻）碑[35]币毙闭陛（陛下）婢备[11]避[55]脾枇[53]彼比（比较）[213]箅（箅子）臂秘（～书）庇痹
pʰ	[33]披[213]譬（譬喻）
b	[11]味[53]米
n	[35]奶（牛～）[55]泥尼年（～岁：年龄）[53]弥染
s	[33]施尸丝[35]是视（近～眼）侍[11]誓豉（豆豉）示[55]匙（1汤匙；2钥匙）诗时[53]死始[213]世四
m	[35]谜[11]面[55]迷棉[53]靡
ŋ	[35]义[11]砚[55]倪宜（～山）[213]毅
z	[35]二[11]牸（牸牛）寺[55]儿（表“小、时间短”如鸡～,一会儿）[213]字
#iu	
t	[35]苎（苎麻）宙[55]绸
tʰ	[33]抽[55]涛[53]丑丑
l	[53]柳[213]馏
ts	[33]周州[35]就（～去）[53]酒[213]咒
tsʰ	[33]锹秋（秋天）[11]树[55]囚仇[53]手
k	[35]纠（～正）[213]救
kʰ	[55]求
∅	[33]忧[35]贿右[11]柚（洋～）[55]邮由油[53]酉诱
p	[33]彪
n	[35]谬[53]纽扭（～干）
s	[33]梳（梳头）修羞收[35]受[11]寿[53]守[213]秀宿袖兽
z	[11]柔
#iau
t	[35]柱
k	[53]饺（饺子）
p	[33]表（手～）
s	[213]数（动词）数（名词）
#oi	
t	[33]堤[55]题[53]底
tʰ	[213]代
l	[55]黎[53]礼
ts	[55]齐
k	[33]街鸡[11]易（难易）[53]改解（解开）解（晓也）[213]界计易（交易）
kʰ	[33]揩溪[213]契（契约）
ɡ	[11]艺
∅	[55]鞋[53]矮
h	[35]蟹
pʰ	[33]批
b	[11]卖[53]买
s	[53]洗[213]细
#aĩ	
∅	[213]爱（自找的）
#oĩ	
t	[35]第[213]殿
ts	[55]前[53]剪
tsʰ	[33]千[55]蚕
k	[53]拣茧[213]间（间断，间或）
kʰ	[213]盖
∅	[55]闲
h	[11]苋（苋菜）[55]还（还原）
p	[53]板反（相反）
