#注释	《苍南方言志》中的龙港字表，其成书时龙港尚未脱离苍南，转录人落橙，龙港：太保人
#声调	[1]⁴⁴[2]²¹[3]⁵⁴[4]⁴⁵[5]⁴²[6]²²[7]²⁴[8]²¹³
#ɿ	
pʰ	[1]坡铺{床～}[3]普颇浦[5]铺{店～}破[7]扑{又读}
b	[2]婆蒲葡菩[4]部簿[6]步埠捕孵{白读}[8]□{皮肤被蚊虫等咬后起的块儿}
m	[2]摸磨{～刀}摩魔牧[3]某母[6]磨{石～}幕墓募慕[8]木目
f	[1]夫肤麸呼俘敷孵[3]府俯腑斧辅[5]傅富副付赋[7]复腹覆幅福
v	[2]符抉胡湖糊蝴葫狐弧壶无浮{白读}禾和河何荷[4]符抉胡湖糊蝴葫狐弧壶无浮禾和河何荷父妇负舞武鹉祸户泸毋侮[6]附腐互护务雾贺[8]伏服
t	[1]多[5]剁[7]督笃
tʰ	[1]拖[3]妥[7]秃{又读}
d	[2]鸵陀徒驮[4]舵惰堕[6]大{百读}[8]毒独读牍
n	[2]奴努[6]怒糯
l	[1]噜[2]罗锣箩骡螺[3]鲁橹卤[6]陆鹿禄
ts	[3]左阻组[5]做[7]竹祝筑粥
tsʰ	[1]初搓[3]楚础[5]锉{～刀}错[7]畜{白读，～牲}促
dz	[7]轴
s	[1]疏蔬梳{木～}靴[3]锁琐数{～一～}[5]素{平～}数{～量}[7]畜{～牧}蓄叔肃宿速
z	[2]助[8]熟辱褥族
k	[1]哥歌估姑辜孤戈[3]古股鼓果裹[5]故固雇顾过[7]谷
kʰ	[1]科蝌窠枯柯轲颗[3]苦[5]课库裤[7]哭
ŋ	[2]吴娱吾梧衙蛾俄鹅[3]我五伍午[5]卧误悟饿
h	[3]火伙虎[5]货
	[1]乌污窝{燕～}[5]恶{可～}屎{白读}[7]屋
#y	
t	[1]都[3]赌堵[5]肚{～妒}
tʰ	[1]土[5]兔吐
d	[2]途涂图屠[4]肚杜[6]度渡镀
l	[2]卢炉芦驴[3]吕旅屡[6]路露虑滤类
tɕ	[1]追朱侏诛珠株蛛诸锥车{～马炮}龟规轨居驹拘[3]主祖举嘴鬼[5]注蛀驻铸蓍醉{白读}句锯据桂贵季
tɕʰ	[1]吹炊区驱粗[3]取娶[5]去醋处趣
dʑ	[2]槌锤葵渠厨除炬[4]柱储巨拒距跪[6]具惧柜矩住垂危愚虞
ȵ	[2]危愚虞[3]女语[6]寓遇御伪
ɕ	[1]须虚需书虽苏舒酥输尿{白读}[3]许水[5]岁税絮恕暑塑诉素{白读}穗毁讳
ʑ	[2]谁如隋随需遂[4]序竖乳绪聚叙[6]瑞树
ɦ	[2]余遗围违苇伟维锥帷盂[4]雨羽禹宇与尉[6]喻渝输与{参～}誉预裕胃谓猬卫惠位
	[1]于威[3]与{给～}[5]畏喂{白读}
#a	
p	[1]爸[7]不百柏伯
pʰ	[7]迫拍魄
b	[8]白
m	[1]妈[8]麦脉陌
f	[7]勿弗沸
v	[7]挖[8]佛划获或物滑罚乏
t	[7]□{～米:鸡啄米}搭
tʰ	[7]脱{白读}塔塌
d	[8]夺{白读}达踏
n	[8]拿挪
l	[8]捋腊辣
ts	[7]卒资摘质汁执札扎轧
tsʰ	[7]七漆策册拆插察擦
dz	[8]择泽宅侄
s	[7]率{统～}涩瑟室虱失湿杀
z	[8]入疾集习实十拾日闸
k	[7]革隔格括
kʰ	[7]客恰
ɡ	[8]夹{～牢：搁住了}
h	[7]瞎哈喝{白读}呷
ŋ	[8]额
	[7]也
#ia	
tɕ	[7]吉级激击给{供～}急橘
dʑ	[8]及极剧
ȵ	[7]捏[8]日逆疟虐
ɕ	[7]吸闪
	[7]乙益约[8]钥药跃
#o	
p	[1]巴疤邦帮[3]把榜绑[5]霸坝磅[7]八剥驳博
pʰ	[5]怕[7]扑泊璞
b	[2]爬杷旁彷琶雹[6]罢[8]拔薄瀑{～布}
m	[1]妈{伯母}[2]麻芒茫忙么[3]马蚂码莽蟒[8]牧{白读}摸袜
t	[1]当{应～}[3]党朵躲挡[5]当{上～}
tʰ	[1]汤[3]倘躺[5]烫趟[7]秃托
d	[2]堂棠唐塘糖[4]宕荡{涮洗衣裳}[6]荡[8]铎
n	[2]囊[6]喏
l	[2]狼郎螂晾{白读}[3]朗[6]浪[8]乐{快～}洛骆络落酪
ts	[1]渣装庄赃[3]□{拿}[5]葬壮诈榨炸{～弹}窄[7]作
tsʰ	[1]车差{～不多}叉仓苍[5]创岔
dz	[2]查茶搽
s	[1]沙纱桑丧{婚～}[3]所爽[5]丧{～失}洒[7]索
z	[2]藏[4]坐座[6]昨脏藏{西～}
k	[1]瓜光江缸肛佳加嘉冈刚纲钢[3]寡广讲港假{真～}[5]挂卦价嫁稼驾假{放～}贾架降{～落伞}杠[7]角各阁觉郭
kʰ	[1]夸康糠慷筐[3]可[5]跨扩矿杭炕[7]壳确
ɡ	[2]旷{耽搁}[4]戆{蠢}[6]架{白读，～起}
ŋ	[2]牙芽昂衙{白读}[3]瓦雅[6]□{～牢：手被压住}[8]岳乐{音～}鹤鄂
h	[1]花方芳妨虾荒慌谎[3]晃访仿纺[5]化放[7]吓霍
ɦ	[2]华铧黄皇蝗忘忘行{银～}航杭房防[6]画话夏旺望巷[8]缚{白读}学镬{锅}
	[1]蛙洼亚汪鸦[3]下哑项[7]恶
#yo	
tɕ	[1]桩恭供钟锺[3]纵肿种{品～}[5]种{～树}拱[7]卓桌足捉烛
tɕʰ	[1]疮窗[3]闯恐[7]曲戳触
dʑ	[2]狂[4]重[6]共撞状{～元}讼[8]浊局属嘱镯
ȵ	[2]浓[8]玉狱
ɕ	[1]匈胸凶霜双[3]怂[5]况[7]朔束缩粟
ʑ	[2]从床[6]诵颂[8]俗续赎
ɦ	[2]王[6]用佣[8]欲浴
	[3]往勇涌[5]壅{～田:往田里施肥}
#ø	
p	[5]半[7]钵拔
pʰ	[1]潘[5]判[7]泼
b	[2]盆盘般搬[4]伴拌叛[8]勃脖
m	[2]瞒鳗[3]满[6]幔{～起：遮起来}[7]抹[8]没末沫
t	[1]端敦墩[3]短[5]断{～断}锻[7]答
tʰ	[1]吞贪[3]□{嗅}[5]探{7}脱
d	[2]团臀屯[4]断{～绝}[6]段遁[8]突夺
n	[2]囡{3}暧{6}嫩{8}纳
l	[2]峦[6]乱论[8]粒
ts	[1]尊钻
tsʰ	[1]村参{～加}[3]忖惨[5]寸
s	[1]酸孙闩拴[3]损[5]算蒜[7]刷
z	[2]蚕存[8]杂
k	[1]甘千肝竿根观冠{衣～}官[3]杆秆赶感敢管馆[5]干{～部}贯灌罐观{寺～}冠{～}军[7]割国骨
kʰ	[1]刊堪[3]款坎砍[5]看勘睏{睡}[7]咳渴
ŋ	[2]鱼渔
h	[1]酣昏婚荤欢[5]罕汉唤焕[7]忽喝
ɦ	[2]寒含韩[4]旱[6]汗岸[8]合盒核
	[1]鞍安恩温瘟[3]碗稳[5]案按[7]褐
#yø	
p	[1]标彪[3]表
pʰ	[1]漂{～亮}飘[3]漂{～白}[5]票
b	[2]嫖瓢[4]鳔
m	[2]苗描[3]秒渺藐[6]庙妙
t	[1]刁貂雕碉[3]典点鸟{白读}[5]店吊钓
tʰ	[1]挑添[3]舔挑{～拣}[5]跳[7]帖贴
d	[2]条甜[6]掉垫调[8]叠蝶谍碟
l	[2]辽疗燎聊龙[3]了{～解}[6]料[8]略掠猎录绿
tɕ	[1]捐绢专昭招朝{～夕}浇骄娇焦蕉椒[3]转卷{～心菜}缴[5]叫照眷卷{考～}[7]拙决诀厥
tɕʰ	[1]川穿超圈[3]犬喘[5]劝窍[7]出屈缺
dʑ	[2]权拳传篆椽朝{～代}潮乔侨桥[4]赵兆肇[6]召倦传{～记}轿[8]掘
ȵ	[2]元原源[3]软阮[6]愿绕[8]月
ɕ	[1]烧消宵霄硝销萧箫宣[3]选小少[5]少{～年}笑楦[7]血恤雪说
ʑ	[2]全泉船[4]扰[6]绍旋[8]术述
ɦ	[2]员圆园魂袁辕玄缘完丸摇谣窑遥姚饶绕[4]援缓皖[6]县院
	[1]妖邀要{～求}腰幺冤渊鸳[3]远舀[5]怨要[7]穴阅悦越粵绝
#e	
p	[7]北必毕逼笔壁壁鳖臂
pʰ	[7]匹劈撇
b	[8]别
m	[8]灭密觅墨默
t	[5]戴[7]得德
tʰ	[1]台{～州}胎[5]态贷[7]铁跌踢剔□{罩住}
d	[8]迭
n	[2]男南[8]日{白读}
l	[2]来萊[7]裂[8]劣肋勒立栗列烈律
ts	[1]灾裁[3]宰[5]再载[7]则
tsʰ	[1]猜[3]采睬彩[5]菜[7]厕侧测
s	[1]塞[5]赛[7]色塞{～住}嗇
z	[2]才材财裁[6]在[8]贼
k	[1]该泔柑[3]改[5]盖概[7]□{这}鸽
kʰ	[1]开[3]凯恺[5]概溉[7]刻克□{捡起来}
ɡ	[4]倚{立, 站}
ŋ	[2]呆[3]蔼霭[6]艾碍
h	[3]海[7]黑□{那}
ɦ	[2]孩亥[6]害
	[1]哀[5]爱暗
#iᴇ	
l	[2]良凉晾量{～米}粮梁梁[3]兩辆[6]亮谅量{度～}
tɕ	[1]张章樟障姜疆僵将{～来}[3]掌长{生～}涨{～水}[5]帐账胀涨将{大～}奖酱浆仗{白读}
tɕʰ	[1]昌枪腔[3]抢厂[5]唱倡畅呛
dʑ	[2]强长{～短}[4]丈仗杖[6]浆{～纱}
ȵ	[2]娘[3]仰[6]让{白读}
ɕ	[1]商箱厢湘伤襄镶香乡[3]享响饷想赏[5]向相
ʑ	[2]尚常尝偿详祥翔墙壤嚷攘[4]象像橡[6]上匠
ɦ	[2]羊洋扬杨阳降{投～}
	[1]央秧殃[3]养痒[6]样恙
#ɜ	
p	[1]褒[3]宝保堡[5]报
b	[2]袍[4]抱[6]暴爆
m	[2]毛谋[3]亩[6]冒帽贸茂
f	[3]否[7]□{“不好”的合音}
v	[2]浮[4]阜[6]复
t	[1]刀[3]岛捣祷倒{打～}[5]倒{～水}到
tʰ	[1]滔韬[3]讨[5]套
d	[2]逃桃萄陶涛[4]道稻[6]导盗
n	[1]□{小孩儿撒娇}[3]恼脑
l	[1]捞涝[2]牢劳[3]老
ts	[1]遭糟脏[3]早枣澡[5]灶躁
tsʰ	[1]操[3]草[5]糙
s	[1]骚臊[3]嫂扫[5]扫
z	[2]曹槽[4]皂造 
k	[1]高膏羔糕[3]搞稿[5]告
kʰ	[1]烤[3]考[5]靠
ɡ	[2]□{斜靠}
ŋ	[2]敖熬鳌[6]傲
h	[1]蒿[3]好[5]好{爱～}耗
ɦ	[2]豪毫[4]浩[6]号
	[1]燠[3]袄[5]岙奥懊
#ɛ	
p	[3]摆[5]拜
pʰ	[1]烹[5]派破{白读}
b	[2]排牌彭膨[6]败
m	[2]埋盲迈[3]买孟猛[6]卖
f	[1]□{煮烂}
v	[1]歪[2]怀槐淮横衡[6]外坏
t	[3]打[5]带戴{白读}
tʰ	[5]泰太
d	[6]大
n	[3]乃[6]奈耐
l	[3]冷两[6]赖
ts	[1]争睁筝斋[5]债
tsʰ	[1]差{出～}撑
dz	[2]□{争夺}[6]□{口角}
s	[1]生牲甥[3]省[5]晒帅
z	[2]柴豺[6]瘦{白读}
k	[1]皆街阶耕更{～改}羹庚乖[3]拐解耿[5]介界芥疥戒更{～加}怪
kʰ	[1]揩坑铅[5]快块卡
ɡ	[2]□{～里，怀里}
ŋ	[6]硬
h	[1]亨[3]蟹
ɦ	[2]鞋行{～为}[4]幸杏[6]械
	[1]埃挨[3]矮
#ɔ	
p	[1]包班斑颁扳[3]饱板版[5]扮豹
pʰ	[1]抛攀[3]跑[5]盼泡炮
b	[2]爿瓣[4]棒鲍[6]办刨
m	[1]猫[2]矛茅锚蛮漫[3]卯[6]漫慢貌骂
f	[1]番翻[3]反[5]贩[7]发法
v	[1]弯湾[2]还环凡帆矾烦繁[3]晚挽[4]范犯[6]饭患宦万顽换[8]物滑罚乏
t	[1]担{～任}丹单[3]胆[5]旦担{挑～}
tʰ	[1]它他坍滩摊[3]坦毯[5]炭叹[7]脱塔塌
d	[2]檀弹{～琴}谈痰谭[4]淡[6]但蛋弹{子～}[8]夺达踏
n	[2]挠难{～易}[3]那[6]闹难{患～}[8]纳挪
l	[1]拉[2]兰拦栏蓝篮[3]览榄懒[6]烂滥
ts	[1]抓[3]爪找盏斩[5]罩蘸赞
tsʰ	[1]抄钞搀餐[3]产铲吵炒[5]谶{咒骂}
dz	[2]残惭暂赚[6]栈站
s	[1]山衫三删稍[3]伞散{鞋带～了}晓{～得}[5]散[7]杀
z	[2]巢馋
k	[1]艰间交郊胶关奸[3]减较绞狡简涧柬拣[5]碱教校{～对}鉴监[7]括甲夹
kʰ	[1]敲宽[3]巧舰[5]嵌[7]阔掐
ɡ	[2]衔[6]甩
ŋ	[2]颜岩崖涯[3]眼咬[6]雁
h	[3]喊[5]孝[7]瞎哈喝{白读}呷
ɦ	[2]函闲咸[4]限[6]陷馅效校{学～}[8]匣辖洽狭
	[1]凹[5]□{答应的声音}[7]压鸭押
#iɔ	
tɕ	[7]脚
tɕʰ	[7]鹊怯却
dʑ	[8]着
ȵ	[3]鸟[6]尿
ɕ	[3]晓[7]削
ɦ	[8]若弱
#ai	
p	[1]悲卑碑杯背{～包}[5]贝背辈
pʰ	[1]坯[5]配沛
b	[2]培陪赔[4]倍[6]佩背{～书}焙
m	[1]□{小孩儿}[2]梅霉玫枚媒煤[3]每美尾[6]妹昧
f	[1]灰徽挥辉□{不要,别}[3]悔[5]贿晦
v	[1]煨[2]回桅[3]委萎溃[5]□厌弃[6]汇会
t	[1]堆[3]□{拉，拽}[5]对
tʰ	[1]推[3]腿[5]退
d	[2]颓[6]队兑
n	[2]□{用手捺揉}[6]内
l	[2]雷擂[3]累儡[6]泪□{～倒：摔了}
ts	[1]□结子[5]最醉
tsʰ	[1]崔催摧[3]脆[5]翠
dz	[6]□{～嵌：摔倒}
s	[1]衰[3]小[5]碎
z	[2]罪[6]锐睡
k	[1]归[5]个会{～计}刽绘 
kʰ	[1]亏奎盔恢魁[3]傀[5]块愧瑰
ɡ	[6]跪
ŋ	[6]饿魏
#au	
t	[1]兜[3]斗抖蚪院[5]斗{～争}
tʰ	[1]偷[5]透
d	[2]投[6]窦□{～：:用药毒死}
n	[4]冇{没有}
l	[1]□{挖洞，钻孔}[2]楼[3]搂篓[6]漏陋
ts	[1]邹[3]走[5]皱绉奏
tsʰ	[5]凑
dz	[6]骤
s	[1]搜馊[3]叟瘐漱[5]嗽
z	[2]愁
k	[1]勾沟钩[3]狗苟[5]够构购媾
kʰ	[3]口[5]扣叩寇蔻
ɡ	[2]□{刨}[4]厚
ŋ	[2]牛[3]偶藕
h	[1]佝{～背: 驼背}[3]那边[5]吼□{重重地打}
ɦ	[2]侯喉猴[4]厚
	[1]欧呕瓯殴[3]后[5]哦{应答声}□{埋藏}
#iau	
tɕ	[1]纠鸠[3]九久韭[5]救灸究
tɕʰ	[1]丘[3]讨{白读}
dʑ	[2]求球[4]臼舅咎[6]旧
ȵ	[1]扭[3]钮纽[6]□{哪}
ɕ	[1]休[3]朽[5]嗅
ɦ	[2]尤犹由油邮游[6]又右佑诱
	[1]优忧幼悠幽[3]有友
#eu	
t	[1]丢
d	[2]头骰{～子}[6]豆痘
l	[1]溜[2]留榴流琉硫刘[3]柳[6]□{一～(田垄)}[8]六
s	[1]收修羞[3]手首守[5]秀锈绣宿{星～}兽
z	[2]泅[4]受[6]袖寿授[8]就
#ieu	
tɕ	[1]周舟州洲揪[3]帚酒[5]昼咒
tɕʰ	[1]秋抽[3]丑[5]臭
dʑ	[2]绸稠筹酬仇售
ȵ	[8]肉
ɦ	[8]域疫役
	[7]育毓
#aŋ	
p	[1]奔[3]本
pʰ	[1]喷 [5]喷{～香}
b	[2]笨
m	[2]门蚊{～虫}[6]闷
f	[1]分芬纷[3]粉[5]粪奋
v	[2]文坟纹蚊闻[4]吻刎愤焚忿[6]混浑问
t	[1]登灯[3]等[5]顿蹬
tʰ	[3]蹬{用脚踢}[5]蜕{白读}
d	[2]腾藤誊邓[3]断[6]遁{丢失}
n	[2]能人[3]暖{白读}□{夹～：这样}
l	[2]仑伦沦轮[3]卵蛋
ts	[1]曾{姓}增真珍针津[3]诊疹枕斟[5]振震镇晋浸进
tsʰ	[1]亲[3]侵衬[5]趁寝
dz	[2]沉陈尘臣秦[6]阵曾{～经}
s	[1]新薪心辛深僧参{人～}身申伸森[3]审婶沈迅讯[5]信渗
z	[2]寻层人仁辰晨神[4]尽甚肾[6]任刃慎赠赁
k	[1]跟[3]滚棍□{高声大骂}
kʰ	[1]坤昆啃[3]肯垦恳捆[5]困
ɡ	[2]盖{白读}[4]溃{白读，～脓}
h	[3]很狠
ɦ	[2]恒[6]恨
#iaŋ	
tɕ	[1]京惊荆经斤金巾襟筋[3]紧景锦[5]禁竟境敬警镜
tɕʰ	[1]轻[3]寝{又读}[5]庆
dʑ	[2]勤芹琴禽擒竞[4]近赚[6]仅
ȵ	[2]宁凝银迎[3]忍[6]认
ɕ	[1]兴欣掀凶[5]兴{高～}
ɦ	[4]盈赢刑型寅淫孕
	[1]应蝇英殷因姻婴缨鹦樱音阴[3]饮引影隐[5]印应{答～}
#eŋ	
p	[1]兵宾殡槟彬[3]丙饼秉禀[5]并柄
pʰ	[1]乒[3]品[5]拼聘
b	[2]平评坪苹萍屏瓶频凭贫[4]並并
m	[2]名铭民鸣明盟[3]敏泯抿悯
t	[1]丁疔钉{铁～}[3]顶鼎[5]订钉{～钉}
tʰ	[1]厅听[3]挺艇[5]听{打～}
d	[2]亭停廷庭蜓[4]锭淀{沉～}[6]定
l	[1]拎扔[2]林淋琳凌伶陵怜铃临邻零灵鳞[3]领岭凛[6]另令吝
ts	[1]正{～月}整井拯征贞侦燕晶旌睛精[3]整井拯[5]正政证症
tsʰ	[1]青清蜻称{～呼}[5]秤称{相～}
dz	[2]呈程澄[6]郑剩
s	[1]升星腥声[3]醒省{反～}[5]姓性圣胜
z	[2]绳承丞成诚城仍情睛[4]静靖[6]净盛
#øŋ	
v	[2]云匀唇[3]允尹[4]韵[6]运晕闰
s	[3]笋
z	[2]旬循巡纯醇[6]顺润
#iøŋ	
tɕ	[1]均钧军君肫{鸡～皮}[3]准[5]俊骏
tɕʰ	[1]春[3]蠢[5]串
dʑ	[2]裙[4]吮盾[6]群郡
ɕ	[1]勋熏薰[5]训
#oŋ	
p	[1]崩[5]蹦
pʰ	[1]乓□{～起: 凸起来}[3]棒[5]碰
b	[2]朋鹏棚篷[4]□{饭滚后溢出}碰{白读}
m	[2]蒙[3]懵[6]梦
f	[1]丰峰锋蜂封[3]俸[5]讽
v	[2]冯逢缝[4]奉[6]凤缝{一条～}
t	[1]东冬[3]董懂[5]冻栋
tʰ	[1]通[3]统[5]痛
d	[2]同桐铜简童瞳[4]动桶[6]洞
n	[2]农浓脓[6]软{白读}□{～代:形容人软弱，不求上进}
l	[2]隆龙聋笼[3]垅陇拢[6]弄
ts	[1]宗棕踪鬃[3]总[5]粽
tsʰ	[1]匆葱聪
s	[1]松嵩[5]宋送
z	[2]丛崇戎绒茸
k	[1]弓躬工功攻公[3]汞[5]贡巩供{～养}
kʰ	[1]空[3]孔[5]控空{～缺} 
h	[1]烘轰风讽疯[3]哄[5]嗅{白读，闻}
ɦ	[2]红虹弘宏洪
	[1]翁[5]瓮
#ioŋ	
tɕ	[1]中忠终宫[5]众中{～意}囟
tɕʰ	[1]冲充春顷倾[3]宠
dʑ	[2]虫穷琼
ɕ	[1]兄
ɦ	[2]雄荣营萤融熊容蓉榕
	[1]拥臃[3]永泳
#m	
	[2]无
#ŋ	
	[2]儿[3]耳儿[6]二
