#符号说明：-白=文/书*俗?待考	
#调值	［1］13［2］53［3］44［5］21
#ɑ	
ts	[2]捽[3]作嘬撮[5]左坐座昨
tsʰ	[1]搓[2]矬[3]撮[5]错锉措
s	[1]蓑梭挲[2]唆 4 锁索嗦[5]蜶{~~子,索状虫便}
#yə	
l	[3]掠[5]略
tɕ	[1]掘[2]倔橛[3]觉=决厥䦆噘撅
tɕʰ	[2]瘸[3]缺却确
ȵ	[5]虐
ɕ	[1]靴[2]学=穴噱{使地~~地}[3]噱{~~乎乎}
ts	[2]绝
tsʰ	[1]踅[3]鹊=雀=
s	[2]踅{~摸}[3]雪薛削=
∅	[3]哕约=[5]月悦越乐阅
#ɿ	
ts	[1]资姿滋{~味儿}[2]自恣[3]紫子籽仔姊[5]字恣
tsʰ	[1]呲疵滋{~一身水}火□[2]词祠辞磁瓷慈雌此次[5]伺刺次{~品}
s	[1]私思撕丝司厕[3]死[5]四肆寺饲
#ʅ	
tʃ	[1]芝支枝肢知只{一~}淄{~川:地名}[2]直值植殖侄[3]止址趾纸旨指脂只{~有}汁帜质淄{~博:地名}[5]志痣智至致治痔制置稚
tʃʰ	[1]痴眵稀{~皮儿}[2]池持斥赤[3]齿吃尺炽[5]翅
ʃ	[1]尸诗师狮[2]时十拾石食实饰[3]史使驶始屎施虱湿失释室适式涩[5]是士世市柿试誓事势氏
ʒ	[1]□{~~地窜}[5]日
#ɯ	
∅	[2]儿[3]耳理-{答~}[5]二而
#i	
p	[2]鼻荸逼[3]匕比鄙笔毕必[5]篦弊币毙闭壁碧辟避
pʰ	[1]批纰[2]皮貔脾匹裴[3]披{竹杆~了}劈廦霹噼僻痞擗[5]屁
m	[2]迷谜=眯弥靡篾[3]米[5]密蜜秘
t	[1]低提{~溜}[2]敌笛的{~确}荻[3]底牴滴嘀的{目~}[5]弟递第帝地
tʰ	[1]梯[2]提题蹄惕涕[3]体踢剔[5]替剃
l	[2]篱梨犁黎藜厘[3]李里理哩鲤礼[5]利痢莉厉励丽例立粒笠栗力历沥
tɕ	[1]基饥机肌鸡击[2]及极急激给[3]己几急棘激叽[5]季技忌记纪计继寄
tɕʰ	[1]欺期企{~图}蹊{~跷}[2]其旗棋奇骑歧[3]起启企{~业}祈[5]气汽器契去
ȵ	[2]尼呢{~子}泥拟[3]你妮[5]腻
ɕ	[1]稀吸[2]畦[3]喜嘻牺熙[5]系戏吸{~铁石}熹{阳光刺目}
ts	[1]缉{长~:耍赖}[2]集疾嫉[3]脊唧积缉辑绩迹际剂济鲫即[5]祭荠既济{~性儿}
tsʰ	[1]缉{~鞋帮}凄[2]齐脐[3]七柒漆妻[5]沏砌
s	[1]西[2]习席[3]洗膝悉蟋息熄析惜夕锡[5]细
∅	[1]衣依揖邑[2]姨胰移疑毅役疫亿忆屹异[3]以倚椅尾一壹乙[5]意义艺易
#u	
p	[1]卟[2]醭[3]补卜不[5]布步部簿抱
pʰ	[1]铺谱{打~}[2]葡蒲[3]普捕扑朴脯{胸~儿}仆谱[5]铺
m	[2]模没谋[3]亩母拇牡某[5]木睦目苜穆牧幕牟
f	[1]夫麸[2]扶符附浮伏服芾[3]府斧俘福幅辐缚=复腹馥覆[5]付妇负父副富傅孵
v	[1]乌呜[2]吴蜈[3]五伍午武舞诬屋梧[5]无误务雾物
t	[1]都督[2]毒独犊[3]堵赌肚{牛~子}读[5]杜肚度渡
tʰ	[2]途涂徒图[3]土吐秃突凸屠[5]兔吐
n	[2]奴努农[5]怒
l	[2]芦炉卢鲁[3]橹噜虏卤搂[5]路露鹿录陆搂{~个儿}
k	[1]姑沽菇箍[2]咕{~~头子}[3]古估辜鼓骨谷[5]故固雇顾
kʰ	[1]枯叶[3]苦哭窟[5]库裤
x	[1]乎呼烀弧[2]胡{~咙}湖葫蝴糊壶互囫核[3]虎唬忽惚狐畅[5]户护瓠糊{~弄}□{这~儿的我不要:样}
tʃ	[1]朱珠蛛猪[2]轴妯[3]主煮拄嘱竹[5]住注驻柱助著铸祝筑烛
tʃʰ	[1]樗[2]厨橱锄畜触殊[3]楚杵初出绌[5]处憷
ʃ	[1]梳输舒书束[2]秫熟[3]暑鼠黍数叔属漱[5]树数竖术述
ʒ	[3]儒孺乳[5]入褥如
ts	[1]租组阻诅[2]族卒祖[3]祖{~宗}[5]做
tsʰ	[1]粗[3]促[5]醋促{~蚱儿}
s	[1]苏酥速[5]素诉嗉塑
#y	
l	[2]驴[3]吕侣铝旅缕捋绺[5]虑滤律绿碌
tɕ	[1]居驹车拘[2]局[3]举莒鞠锔菊桔[5]巨拒距炬句具俱据锯剧
tɕʰ	[2]渠[3]曲区岖驱躯趋屈
ȵ	[3]女
ɕ	[1]虚嘘[3]许熙煦{~着了}畜蓄{~牧}旭
ts	[3]足[5]聚
tsʰ	[1]蛆黢{~黑}[3]取娶蹴[5]趣
s	[1]胥[2]徐栩俗[3]需须宿[5]叙序絮婿绪续肃
∅	[1]淤迂窳{~瓜}[2]余榆鱼渔愚[3]雨羽语屿熨[5]于与宇芋誉预喻裕遇育玉狱
#ε	
p	[3]摆[5]败拜稗
pʰ	[2]排牌[3]排{~一脚}[5]派
m	[2]埋[3]买[5]卖
v	[1]歪哑[2]□{花里~:青蛙}[3]崴[5]外
t	[1]呆怠[3]歹逮待{~上一霎儿}[5]代袋贷大{~夫}待带戴
tʰ	[1]胎态[2]台抬薹[5]太泰
n	[3]奶[5]乃奈耐奶{~孩子}
l	[1]赖{不~}[2]来莱[3]□{~嘴}[5]赖癞
k	[1]该[3]改[5]盖概溉
kʰ	[1]开
ŋ	[1]哀癌[2]癌[5]爱艾碍
x	[1]嗨[2]孩核=[3]海[5]害
tʃ	[1]斋[2]泽=择=[3]责=[5]寨□{~子}㩟{~□子}
tʃʰ	[1]差钗搋{~面}[2]柴[3]踩策=[5]搋{~猪}
ʃ	[1]筛[3]色[5]晒
ts	[1]灾栽再[3]宰载崽[5]载在赛
tsʰ	[1]猜[2]才材财裁[3]采睬彩[5]菜蔡
s	[1]腮
∅	[1]哎
#iε	
tɕ	[1]秸皆街[3]解阶[5]介芥界疥戒
ɕ	[2]鞋[5]解{~事}澥懈蟹{~子}械
∅	[1]挨{~号}[2]挨{~饿}崖{~头}[3]矮[5]挨{~和}
#uε	
l	[1]□{~出去:扔}
k	[1]掴{用手碰}乖蝈{~子}[3]拐[5]怪
kʰ	[3]㧟[5]块快筷会{~计}
x	[2]怀槐淮踝[5]坏
tʃ	[1]拽{~出去}[5]拽
tʃʰ	[1]揣[3]揣{~摩}[5]踹膪{囊~}揣{囊~}
ʃ	[1]衰[3]甩[5]帅
#ɪ	
p	[1]碑杯悲[2]白[3]北掰百伯[5]贝倍悖{~晦}背褙{揭~}备被
pʰ	[1]丕呸坯披[2]培赔陪[3]拍迫[5]配佩
m	[2]媒煤玫霉梅眉 4 美每[5]妹昧谜-{猜~儿}麦迈脉墨默
f	[1]非诽匪翡飞妃[2]肥[5]沸费肺废
v	[1]煨偎[2]为{~人}围潍危{~险}卫[3]威揻{~破脸}微委危{~害}桅韦伟违苇惟唯维尾[5]为未味喂胃猬位魏尉慰纬
t	[2]嘚[3]得德
k	[3]格隔嗝各{~自}
kʰ	[3]刻克-客-剋尅蝌
ŋ	[3]□{与俺相对的第二人称}馁
x	[3]黑嘿
tʃ	[2]宅翟择[3]摘窄侧-{~棱}责-
tʃʰ	[3]拆醋册-
ʃ	[3]色落{~儿}
ts	[2]贼则-{里~}
s	[3]塞
#uɪ	
t	[3]对{~和}[5]兑对队
tʰ	[1]推[3]腿[5]退蜕褪
l	[2]雷[3]垒蕾[5]泪类累肋勒
k	[1]归龟瑰轨[3]鬼诡[5]桂贵柜跪
kʰ	[1]亏[2]葵[5]㚍愧
x	[1]灰恢咴挥[2]回[3]悔毁[5]汇惠会
tʃ	[1]追锥[5]赘{~脚}坠
tʃʰ	[1]吹炊[2]槌锤捶
ʃ	[3]水[5]税睡
ts	[1]堆[3]嘴[5]罪最醉
tsʰ	[1]崔催[5]翠淬脆
s	[1]尿[2]随遂虽[5]岁秽{耳~}穗碎
#ɔ	
p	[1]包[2]薄[3]宝保饱炮{~干了}[5]报暴爆豹刨{~子}
pʰ	[1]抛剖泡{灯~}脬[2]袍跑{~槽}刨[3]跑坡-[5]泡疱炮
m	[2]毛猫矛茅[3]卯铆□毽球[5]冒帽貎摸
f	[3]否
t	[1]刀鱽[2]捯[3]倒岛捣导叨[5]道稻盗到倒{~车}
tʰ	[1]涛掏讨[2]逃桃淘陶[3]庹托-[5]套
n	[1]孬[2]挠[3]恼脑[5]闹
l	[2]牢劳痨唠[3]老姥[5]涝耢捞落{~色}络
k	[1]羔糕膏高[3]搞镐稿[5]告
kʰ	[3]考烤[5]靠犒铐
ŋ	[1]熬{~白菜}[2]熬嗷[3]袄恶-{~心}[5]鏊傲
x	[1]蒿薅[2]豪嚎毫[3]好[5]号好耗
tʃ	[1]召招沼朝[2]着[3]找爪[5]照赵罩兆笊
tʃʰ	[1]抄超[2]朝{~代}潮嘲[3]吵炒绰
ʃ	[1]捎梢筲稍烧[2]勺苕芍[3]少[5]少哨潲
ʒ	[2]饶[3]扰绕[5]绕{~远道}弱
ts	[1]糟遭蚤[2]凿[3]早枣澡[5]灶躁造皂
tsʰ	[1]操[2]曹槽[3]草[5]操
s	[1]臊[3]扫嫂[5]扫
#iɔ	
p	[1]标膘镖彪[3]表裱婊[5]标
pʰ	[1]漂飘[2]瓢嫖[5]票漂{~亮}
m	[2]苗描瞄[3]秒[5]庙妙
t	[1]刁叼雕貂[5]调碉掉吊钓
tʰ	[1]挑{~选}[2]条调笤[3]挑{~起来}[5]跳粜
l	[1]撩[2]燎疗廖[3]了燎[5]料撂
tɕ	[1]交胶狡娇矫浇教缴[3]绞饺铰较搅脚角=觉-[5]窖觉教叫轿
tɕʰ	[1]敲悄[2]乔桥荞侨[3]巧[5]窍撬翘跷俏
ȵ	[3]鸟[5]尿
ɕ	[1]羞-绡{很~儿}[2]学[3]晓[5]校效孝
ts	[1]焦蕉椒绞{挑~}[2]爵嚼
tsʰ	[1]劁[2]瞧[3]雀鹊[5]缲
s	[1]肖消宵硝销萧箫[3]小削-[5]笑
∅	[1]腰妖幺吆[2]姚肴窑谣摇[3]咬舀约-[5]要药钥耀勒岳跃
#ʊ	
t	[1]都嘟兜[3]斗抖蚪陡[5]斗豆逗窦
tʰ	[1]偷[2]头投[5]透
l	[1]搂{~板机}[2]耧楼蝼[3]篓搂[5]漏露
k	[1]勾沟钩鳅{泥~}[3]狗苟槆[5]够构购
kʰ	[1]抠眍{~䁖}[2]抠[3]口[5]扣
ŋ	[1]欧偶呕[3]藕炬
x	[1]齁{~哭了:别}[2]侯猴瘊候吼[3]候{用眼盯着等待}[5]厚后
tʃ	[1]州洲周诌邹粥[3]肘[5]皱咒
tʃʰ	[1]抽[2]仇愁绸筹酬售[3]丑□[5]臭
ʃ	[1]收[3]守首手[5]瘦兽寿受
ʒ	[2]柔揉[5]肉
ts	[3]走[5]奏揍
tsʰ	[1]凑{~着了}[5]凑
s	[1]搜艘
#iʊ	
t	[1]丢
l	[1]溜镏[2]刘留榴瘤流硫琉[3]柳绺[5]六溜{~口}遛馏
tɕ	[1]阄究鸠纠[3]韭九久灸[5]救旧臼舅
tɕʰ	[1]鞘丘邱囚[2]求球[3]糗
ȵ	[1]妞[2]牛[3]扭[5]拗
ɕ	[1]休朽
ts	[1]揪鬏[3]酒[5]就
tsʰ	[1]秋瞅鞦
s	[1]修[5]袖秀绣
∅	[1]优忧悠邮[2]由油游釉鼬蚰{~子}[3]有莠{谷谷~子}友[5]又右佑幼诱蚰{~蜒}
#ʌ̃	
p	[1]般搬斑癍班扳{~子}[3]板[5]半拌伴绊办扮瓣
pʰ	[1]攀{~伴儿}潘[2]盘蟠[5]判袢{~囤子}襻盼
m	[1]颟[2]蛮埋瞒蔓鞔[3]满[5]慢漫
f	[1]番{~瓜}幡翻帆[2]烦繁凡樊矾[3]反返[5]饭贩犯泛范
v	[1]剜豌弯湾[2]完玩顽丸[3]碗剜{~菜}挽晚绾[5]万蔓腕
t	[1]单耽担丹旦但[3]胆疸[5]弹淡石担蛋
tʰ	[1]贪摊滩瘫坦{~白}[2]谈痰坛檀弹坦{~克}抟-{~楞}[3]毯坦{两头都~了,耽误}[5]叹炭探
n	[1]喃[2]南楠男难[5]难
l	[2]兰拦栏蓝篮[3]揽懒漤婪[5]烂
k	[1]干杆竿肝甘柑泔[3]赶杆{称~子}感擀敢[5]干
kʰ	[1]堪龛刊[3]坎砍[5]看
ŋ	[1]安鞍氨鹌[3]俺埯揞[5]案暗岸
x	[1]憨罕[2]寒韩含[3]喊[5]汉汗旱焊
tʃ	[1]沾粘毡[3]盏斩断崭黵展[5]占站战蘸绽{鞋开~}
tʃʰ	[1]搀[2]缠馋[3]产铲[5]颤
ʃ	[1]山扇苫衫膻删[3]闪陕[5]善蟮鳝扇骟苫疝钐
ʒ	[2]然燃[3]染
ts	[1]簪[3]咱攒[5]暂赞
tsʰ	[1]餐[2]蚕残参[3]
s	[1]三[3]散馓伞[5]散{~心}
#iʌ̃	
p	[1]边编鞭煸[3]扁萹匾贬[5]遍便变辫
pʰ	[1]偏篇片{相~儿}[2]便{~宜}[3]谝[5]片骗
m	[2]棉眠绵[3]免勉腼缅{~进去}[5]面
t	[1]颠癫掂[3]点典碘[5]垫店惦电簟{干粮~子}殿
tʰ	[1]添天[2]填田甜[3]舔觍
l	[2]连莲鲢帘镰联[3]脸敛[5]练炼恋殓连链
tɕ	[1]肩间坚奸犍艰监[3]简茧拣减碱趼捡检俭[5]间见剑件建毽健
tɕʰ	[1]谦牵签铅遣[2]钳[5]欠堑歉
ȵ	[2]黏鲇年[3]撵捻埝碾{~碎}[5]念
ɕ	[1]掀锨[2]弦闲咸贤嫌[3]显险[5]献县现馅限
ts	[1]尖煎[3]剪践[5]渐贱溅荐箭
tsʰ	[1]千迁潜[2]前钱[3]浅
s	[1]先仙鲜[5]羡线
∅	[1]蔫-{叶~}淹腌阉烟胭[2]颜谚言阎盐严檐辕[3]眼演[5]沿宴堰艳燕厌酽雁咽砚验延蜒掩
#uʌ̃	
t	[1]端[3]短[5]段缎锻断
tʰ	[2]团
n	[3]暖
l	[2]栾娈孪卵[5]乱
k	[1]官棺关冠{鸡~子}观[3]管馆[5]冠{~军}灌罐贯惯
kʰ	[1]宽[3]款
x	[1]欢獾[2]还环桓[3]缓[5]换
tʃ	[1]砖[3]专转{~脸}[5]转{~悠}传赚篆
tʃʰ	[1]穿川[2]传船[3]喘[5]串□涮-簒
ʃ	[1]拴栓
ʒ	[3]软
ts	[1]钻[3]纂{挽~}[5]钻{~头}攥
tsʰ	[1]蹿窜汆[2]攒[5]窜
s	[1]酸[5]蒜算
#yʌ̃	
tɕ	[1]捐娟[3]卷锩[5]圈绢
tɕʰ	[1]圈[2]拳鬈蜷[3]犬绻{~着脖子}权[5]劝券
ɕ	[1]暄{~和}[2]玄炫悬[5]碹{起~}
tsʰ	[2]全泉
s	[2]旋漩[3]选癣宣喧[5]旋{~风}
∅	[1]冤渊鸳[2]元园袁猿原源员圆援缘[3]远[5]院愿怨箢
#ə̃	
p	[1]锛奔{~娄}[2]甭[3]本[5]奔笨
pʰ	[1]喷[2]盆[5]喷{~香}
m	[1]闷[2]门[3]门{~日|~回}[5]闷焖
f	[1]分芬纷[2]坟[3]粉焚汾{用水~开}[5]分{本~}份奋愤粪
v	[1]温瘟[2]文蚊蚊闻[3]稳[5]问璺
t	[1]吨{~紧绳子}[5]吨{~住别松开}
tʰ	[3]腆
n	[3]奶{老~~}
k	[1]根跟[3]艮
kʰ	[3]肯啃
ŋ	[1]恩[3]恁[5]摁
x	[3]很狠[5]恨
tʃ	[1]针真斟砧贞[3]疹珍诊[5]震振镇阵
tʃʰ	[1]抻伸趁{~~:等等}[2]陈沉晨臣尘鸩辰[5]衬趁称
ʃ	[1]伸绅身深参森[2]神[3]沈审婶[5]慎渗肾疹葚
ʒ	[2]人仁{~义}[3]忍[5]认任
#iə̃	
p	[1]宾滨镔傧[5]鬓殡
pʰ	[1]拼[2]贫频苹{~果}蘋{~果}[3]品拼{一刀~煞他}[5]拼{~音}聘
m	[2]民苠[3]抿敏[5]抿{~着耳朵}
l	[2]邻磷鳞林临[3]檩[5]淋{~石灰}赁
tɕ	[1]禁{鞋~穿}襟襟巾今金筋斤[3]谨紧锦仅[5]近劲禁妗
tɕʰ	[1]钦[2]勤芹禽噙琴
ɕ	[1]鑫
ts	[3]尽[5]进尽晋缙{破~}浸
tsʰ	[1]亲寝[2]秦侵[5]沁吣
s	[1]辛新心[2]寻{~思}[5]芯信
∅	[1]音因洇阴荫[2]银淫仁{长果~儿}[3]尹引瘾[5]印饮刃纫{~针}
#uə̃	
t	[1]敦墩蹲吨[3]盹趸顿{不~事}[5]炖砘饨囤钝顿盾
tʰ	[1]吞[2]囤[5]褪
l	[2]抡轮囵伦纶[5]论嫩
k	[1]闺[3]滚绲[5]棍
kʰ	[1]昆[5]困
x	[1]荤昏婚[2]浑魂馄横-{~立}[5]混
tʃ	[3]准谆
tʃʰ	[1]春椿[2]唇纯鹑醇蠢
ʃ	[5]顺
ʒ	[5]润=
ts	[1]尊遵[3]撙
tsʰ	[1]村[2]存[5]寸
s	[1]孙
#yə̃	
tɕ	[1]均军君[3]菌
tɕʰ	[2]群裙[3]捆
ɕ	[1]熏醺□{~你:哄骗}[5]训
ts	[5]俊峻骏津
tsʰ	[1]皴清-{看~了}[5]黢{~紫}
s	[2]旬巡寻迅汛讯殉[3]笋损
∅	[1]晕[2]云匀允[5]运孕韵熨闰润-{滋~}
#ɑ̃	
p	[1]帮梆[3]榜膀绑[5]棒傍磅
pʰ	[1]乓[2]旁螃庞[3]耪磅[5]胖
m	[1]莽蟒[2]忙芒{~种}氓[3]盲
f	[1]方芳妨{~作}[2]房[3]防纺仿访[5]放
v	[1]汪枉{冤~}[2]王芒[3]网往{来~}亡[5]忘妄望旺往{~后}
t	[1]当裆铛□{~螂}[3]挡{~风}党[5]当{上~}挡{~着不让过去}荡砀{~刀}
tʰ	[1]汤嘡趟[2]唐糖塘搪{~炉子}堂膛[3]淌躺帑{~枣儿}[5]烫趟
n	[1]囊{~揣}[2]囊[3]攮[5]齉□
l	[1]啷郎{~当}[2]郎廊榔{~头}螂狼[5]浪朗
k	[1]缸刚=钢缰-[2]刚{~好}[3]港岗膙{~子}[5]杠钢{~刀}戆{倔~}
kʰ	[1]康糠[5]炕抗扛
ŋ	[3]□{~柴禾}馕{~送}
x	[1]夯[2]行绗[5]杭航
tʃ	[1]章张[3]长涨掌[5]丈仗帐胀幛涨
tʃʰ	[1]昌娼鲳[2]尝偿常嫦长场{打~}肠[3]厂场敞氅[5]唱倡
ʃ	[1]商墒伤裳[3]赏晌垧[5]上绱{~鞋}
ʒ	[2]瓤穰[3]壤嚷酿-[5]让
ts	[1]脏赃[5]葬藏脏
tsʰ	[1]仓苍舱[2]藏
s	[1]丧桑[3]嗓搡[5]丧
#iɑ̃	
l	[2]粱梁凉良粮量{打~}[3]两[5]凉谅晾亮辆量{海~}
tɕ	[1]江缰=刚-姜疆僵[3]讲耕耩[5]降强糨犟
tɕʰ	[1]腔[2]强
ȵ	[1]□{乜个样的合音}[2]娘[5]酿=
ɕ	[1]香乡[2]降享[3]响饷[5]项巷向
ts	[1]将浆桨[3]蒋奖[5]酱将匠虹绛
tsʰ	[1]枪戗呛[2]墙[3]抢[5]炝呛
s	[1]镶相{~中}厢箱[2]详祥翔[3]想[5]相{长~}象橡像
∅	[1]央秧殃鸯[2]羊洋蛘{米~}阳杨扬[3]痒氧养仰[5]漾样扬{~了一地粮食}鞅
#uɑ̃	
k	[1]光咣洸{衣裳溻得~儿~儿的}[2]咣{~~镲}洸{地上湿得~~的}[3]广[5]桄{线~子}逛
kʰ	[1]诓哐{~啷}筐[2]狂[5]框眶况矿旷
x	[1]荒慌[2]黄皇凰[3]谎晃{~了腰}[5]晃
tʃ	[1]庄桩装妆[3]装{装模作样之意}[5]壮状幢
tʃʰ	[1]窗疮[2]床[3]闯[5]创撞
ʃ	[1]双霜[3]爽
#əŋ	
p	[1]崩绷嘣迸{~火星子}[3]绷{~~着脸}[5]泵蹦绷{~直立}
pʰ	[1]澎{打~~}怦{心跳声}嘭{敲门声}砰{重物落地声}[2]朋蓬篷彭膨棚蜂-{马~}[3]捧[5]碰
m	[1]蒙{瞎~}[2]蒙{~起眼来}[3]蒙{~古}猛[5]梦孟
f	[1]丰封蜂=风疯枫讽[2]冯逢缝{~补}[5]凤奉缝{~子}
v	[1]嗡[5]瓮{鞘~鞋}
t	[1]登灯噔蹬[2]噔{放~:屁}[3]等[5]澄磴瞪镫凳邓
tʰ	[1]熥腾{~楞,飞了}[2]疼眷腾藤
n	[2]能[5]弄
l	[1]扔楞{吱~}[3]冷[5]愣
k	[1]更=耕=[3]耿梗哽颈{脖勒~子}[5]更
kʰ	[1]坑吭{~气}[3]吭{~哧}
x	[1]哼[2]横=恒[5]横
tʃ	[1]正{~月}征侦争睁筝蒸拯[3]整怔[5]正症证政挣铮{~亮}
tʃʰ	[1]撑称蛏{~子}[2]成城诚盛程乘惩承逞[5]秤
ʃ	[1]声生甥牲升[2]绳[3]省[5]盛剩胜圣
ts	[1]曾增僧赠[3]怎-[5]缯锃综{递~}
tsʰ	[2]曾层[5]蹭
#iəŋ	
p	[1]冰兵丙[3]饼屏秉鼎[5]病并
pʰ	[1]乒姘[2]瓶屏平评苹=萍凭
m	[2]暝明鸣名[5]命
t	[1]丁叮盯钉疔靪[3]顶[5]定锭腚订钉
tʰ	[1]听厅程{~子}廷[2]亭停庭莛{~杆儿}艇{飞~}[3]挺[5]梃{通~子}
l	[1]另[2]凌菱绫陵〇{~蛋}零玲龄铃伶{~~俐俐}翎灵棂[3]领岭[5]令
tɕ	[1]耕-更-{五~}京惊鲸荆经[3]警景[5]镜竞敬径
tɕʰ	[1]卿轻顷[3]苘[5]庆
ȵ	[2]宁拧凝=[5]宁拧
ɕ	[1]兴[2]形邢刑型行[5]兴幸杏荇{一~疙瘩:层}
ts	[1]精睛菁晶[3]井[5]净静经{~子:经线}
tsʰ	[1]青清蜻[2]情晴䞍{~受}[3]请[5]亲{~家}
s	[1]星惺腥猩[3]醒擤[5]性姓
∅	[1]应鹰英婴樱缨[2]赢营萤蝇=盈迎凝-{~干儿:印痕}[3]瘿影[5]应硬映
#ʊŋ	
t	[1]冬东咚冻{~~:水}[3]董懂=[5]动冻栋洞
tʰ	[1]通嗵彤统[2]童瞳同茼桐铜[3]筒桶捅[5]痛通{~红}
n	[2]农=浓=脓[5]浓{地上很~}弄=
l	[2]龙=聋笼隆[3]拢垄=
k	[1]工攻功宫公蚣弓躬[3]拱巩[5]贡共供
kʰ	[1]空[3]孔恐[5]空控
x	[1]轰烘
