繁體	简体	聲韻調	註釋	聲	韻	調							
阸	阸	ŋe214		ŋ	e	214							
豟	豟	ŋe214		ŋ	e	214							
呝	呝	ŋe214		ŋ	e	214							
貖	貖	ŋe214		ŋ	e	214							
蚅	蚅	ŋe214		ŋ	e	214							
㣂	㣂	ŋe214		ŋ	e	214							
頟	頟	ŋe214		ŋ	e	214							
䱮	䱮	ŋe214		ŋ	e	214							
峉	峉	ŋe214		ŋ	e	214							
詻	詻	ŋe214		ŋ	e	214							
䩹	䩹	ŋe214		ŋ	e	214							
𩚬	𩚬	ŋe214		ŋ	e	214							
額	额	ŋe214	额头	ŋ	e	214							
額	额	ke214	额外	k	e	214							
殕	殕	ŋe214		ŋ	e	214							
北	北	pe214		p	e	214							
檗	檗	pe214		p	e	214							
擘	擘	pe214		p	e	214							
糪	糪	pe214		p	e	214							
百	百	pe214		p	e	214							
柏	柏	pe214		p	e	214							
迫	迫	pʰe214		pʰ	e	214							
栢	栢	pe214		p	e	214							
伯	伯	pe214		p	e	214							
珀	珀	pe214		p	e	214							
舶	舶	pe214		p	e	214							
鮊	鲌	pe214		p	e	214							
白	白	pe214		p	e	214							
帛	帛	pe214		p	e	214							
䤨	䤨	pʰe214		pʰ	e	214							
迫	迫	pʰe214		pʰ	e	214							
拍	拍	pʰe214		pʰ	e	214							
糪	糪	pʰe214		pʰ	e	214							
魄	魄	pʰe214		pʰ	e	214							
𧻙	𧻙	pʰe214		pʰ	e	214							
洦	洦	pʰe214		pʰ	e	214							
敀	敀	pʰe214		pʰ	e	214							
蛇	蛇	se21		s	e	21							
射	射	se214		s	e	214							
奢	奢	se45		s	e	45							
賒	赊	se45		s	e	45							
捨	舍	se42		s	e	42							
赦	赦	se214		s	e	214							
舍	舍	se214		s	e	214							
社	社	se214		s	e	214							
歙	歙	se214		s	e	214							
攝	摄	se214		s	e	214							
涉	涉	se214		s	e	214							
歰	歰	se214		s	e	214							
渋	涩	se214		s	e	214							
澁	涩	se214		s	e	214							
鈒	钑	se214		s	e	214							
雭	雭	se214		s	e	214							
濇	濇	se214		s	e	214							
㒊	㒊	se214		s	e	214							
澀	涩	se214		s	e	214							
揲	揲	se214		s	e	214							
蛥	蛥	se214		s	e	214							
舌	舌	se214		s	e	214							
榝	榝	se214		s	e	214							
蔎	蔎	se214		s	e	214							
設	设	se214		s	e	214							
折	折	se214	折本	s	e	214							
瑟	瑟	se214		s	e	214							
塞	塞	se214		s	e	214							
穡	穑	se214		s	e	214							
轖	轖	se214		s	e	214							
繬	繬	se214		s	e	214							
濇	濇	se214		s	e	214							
䉢	䉢	se214		s	e	214							
懎	懎	se214		s	e	214							
嗇	啬	se214		s	e	214							
色	色	se214		s	e	214							
在	在	te214	白讀	t	e	214							
德	德	te214		t	e	214							
得	得	te214		t	e	214							
忒	忒	tʰe214		tʰ	e	214							
貣	貣	tʰe214		tʰ	e	214							
慝	慝	tʰe214		tʰ	e	214							
㧹	㧹	tʰe214		tʰ	e	214							
㥂	㥂	tʰe214		tʰ	e	214							
鴏	鴏	tʰe214		tʰ	e	214							
螣	螣	tʰe214		tʰ	e	214							
特	特	tʰe214		tʰ	e	214							
蟄	蛰	tse214		ts	e	214							
嚞	嚞	tse214		ts	e	214							
喆	喆	tse214		ts	e	214							
悊	悊	tse214		ts	e	214							
蜇	蜇	tse214		ts	e	214							
哲	哲	tse214		ts	e	214							
㯙	㯙	tse214		ts	e	214							
轍	辙	tse214		ts	e	214							
𨵊	𨵊	tse214		ts	e	214							
晢	晢	tse214		ts	e	214							
晣	晣	tse214		ts	e	214							
䩢	䩢	tse214		ts	e	214							
䏳	䏳	tse214		ts	e	214							
䀿	䀿	tse214		ts	e	214							
浙	浙	tse214		ts	e	214							
屮	屮	tse214		ts	e	214							
折	折	tse214	折耳根	ts	e	214							
則	则	tse214		ts	e	214							
鱡	贼	tse214		ts	e	214							
蠈	蠈	tse214		ts	e	214							
鰂	鲗	tse214		ts	e	214							
崱	崱	tse214		ts	e	214							
溭	溭	tse214		ts	e	214							
萴	萴	tse214		ts	e	214							
夨	夨	tse214		ts	e	214							
㳁	㳁	tse214		ts	e	214							
仄	仄	tse214		ts	e	214							
稄	稄	tse214		ts	e	214							
側	侧	tse214	只用于“侧边”	ts	e	214							
宅	宅	tse214		ts	e	214							
賾	赜	tse214		ts	e	214							
葃	葃	tse214		ts	e	214							
㣱	㣱	tse214		ts	e	214							
矠	矠	tse214		ts	e	214							
耫	耫	tse214		ts	e	214							
嘖	啧	tse214		ts	e	214							
迮	迮	tse214		ts	e	214							
窄	窄	tse214		ts	e	214							
笮	笮	tse214		ts	e	214							
㳻	㳻	tse214		ts	e	214							
諎	諎	tse214		ts	e	214							
虴	虴	tse214		ts	e	214							
磔	磔	tse214		ts	e	214							
簀	箦	tse214		ts	e	214							
幘	帻	tse214		ts	e	214							
嘖	啧	tse214		ts	e	214							
謮	謮	tse214		ts	e	214							
𧐐	𧐐	tse214		ts	e	214							
𦟜	𦟜	tse214		ts	e	214							
嫧	嫧	tse214		ts	e	214							
責	责	tse214		ts	e	214							
摘	摘	tse214		ts	e	214							
謫	谪	tse214		ts	e	214							
讁	讁	tse214		ts	e	214							
這	这	tse45	俗字，做代词，本字不详	ts	e	45							
車	车	tsʰe45		tsʰ	e	45							
扯	扯	tsʰe42		tsʰ	e	42							
廁	厕	tsʰe214		tsʰ	e	214							
湁	湁	tsʰe214		tsʰ	e	214							
漐	漐	tsʰe214		tsʰ	e	214							
雴	雴	tsʰe214		tsʰ	e	214							
徹	彻	tsʰe214		tsʰ	e	214							
撤	撤	tsʰe214		tsʰ	e	214							
澈	澈	tsʰe214		tsʰ	e	214							
䚢	䚢	tsʰe214		tsʰ	e	214							
聅	聅	tsʰe214		tsʰ	e	214							
䒆	䒆	tsʰe214		tsʰ	e	214							
硩	硩	tsʰe214		tsʰ	e	214							
㔍	㔍	tsʰe214		tsʰ	e	214							
掣	掣	tsʰe214		tsʰ	e	214							
瘛	瘛	tsʰe214		tsʰ	e	214							
側	側	tsʰe214		tsʰ	e	214							
測	测	tsʰe214		tsʰ	e	214							
惻	恻	tsʰe214		tsʰ	e	214							
㿭	㿭	tsʰe214		tsʰ	e	214							
坼	坼	tsʰe214		tsʰ	e	214							
拆	拆	tsʰe214		tsʰ	e	214							
㡯	㡯	tsʰe214		tsʰ	e	214							
翟	翟	tsʰe214		tsʰ	e	214							
擇	择	tsʰe45	择菜；在菜市场买水果的时候要择一下果子是不是好的	tsʰ	e	45							
擇	择	tse214	选择题	ts	e	214							
澤	泽	tsʰe214		tsʰ	e	214							
笧	笧	tsʰe214		tsʰ	e	214							
柵	栅	tsʰe214		tsʰ	e	214							
策	策	tsʰe214		tsʰ	e	214							
冊	册	tsʰe214		tsʰ	e	214							
柵	栅	tsʰe214		tsʰ	e	214							
黑	黑	xe214		x	e	214							
劾	劾	xe214		x	e	214							
赫	赫	xe214		x	e	214							
爀	爀	xe214		x	e	214							
嚇	吓	xe214		x	e	214							
䞦	䞦	xe214		x	e	214							
垎	垎	xe214		x	e	214							
楁	楁	xe214		x	e	214							
覈	核	xe214		x	e	214							
䃒	䃒	xe214		x	e	214							
翮	翮	xe214		x	e	214							
㮝	㮝	xe214		x	e	214							
滆	滆	xe214		x	e	214							
蒚	蒚	xe214		x	e	214							
惹	惹	ze42		z	e	42							
顳	颞	ze214		z	e	214							
𦣀	𦣀	ze214		z	e	214							
熱	热	ze214		z	e	214							
苶	苶	ze214		z	e	214							
很	很	xe42		x	e	42							
的	的	le45		l	e	45							
遮	遮	tse45		ts	e	45							
者	者	tse42		ts	e	42							
疙	疙	ke214		k	e	214							
兒	儿	Øɚ21		Ø	ɚ	21							
爾	尔	Øɚ42		Ø	ɚ	42							
邇	迩	Øɚ42		Ø	ɚ	42							
二	二	Øɚ214或45		Ø	ɚ	214或45							
貳	贰	Øɚ214		Ø	ɚ	214							
而	而	Øɚ21		Ø	ɚ	21							
耳	耳	Øɚ42		Ø	ɚ	42							
邇	迩	Øɚ42		Ø	ɚ	42							
𥌃	𥅘	Øɚ42	~視：理睬	Ø	ɚ	42							
餌	饵	Øɚ42		Ø	ɚ	42							
誰	谁	səɪ21		s	əɪ	21							
廢	废	fəɪ214		f	əɪ	214							
肺	肺	fəɪ214		f	əɪ	214							
吠	吠	fəɪ214		f	əɪ	214							
飛	飞	fəɪ45		f	əɪ	45							
非	非	fəɪ45		f	əɪ	45							
匪	匪	fəɪ42		f	əɪ	42							
沸	沸	fəɪ214		f	əɪ	214							
痱	痱	fəɪ214		f	əɪ	214							
妃	妃	fəɪ45		f	əɪ	45							
菲	菲	fəɪ42		f	əɪ	42							
費	费	fəɪ214		f	əɪ	214							
肥	肥	fəɪ21		f	əɪ	21							
淝	淝	fəɪ21		f	əɪ	21							
媒	媒	məɪ21		m	əɪ	21							
枚	枚	məɪ21		m	əɪ	21							
玫	玫	məɪ21		m	əɪ	21							
梅	梅	məɪ21		m	əɪ	21							
每	每	məɪ42		m	əɪ	42							
昧	昧	məɪ214		m	əɪ	214							
妹	妹	məɪ214或45		m	əɪ	214或45							
眉	眉	məɪ21		m	əɪ	21							
楣	楣	məɪ21		m	əɪ	21							
黴	霉	məɪ21		m	əɪ	21							
美	美	məɪ42		m	əɪ	42							
媚	媚	məɪ214		m	əɪ	214							
寐	寐	məɪ214		m	əɪ	214							
未	未	məɪ45	一般写成“没”，未得，未有	m	əɪ	45							
貝	贝	pəɪ214		p	əɪ	214							
杯	杯	pəɪ45		p	əɪ	45							
背	背	pəɪ45		p	əɪ	45							
揹	揹	pəɪ45		p	əɪ	45							
輩	辈	pəɪ214		p	əɪ	214							
背	背	pəɪ214		p	əɪ	214							
倍	倍	pəɪ214		p	əɪ	214							
佩	佩	pəɪ214		p	əɪ	214							
卑	卑	pəɪ45		p	əɪ	45							
碑	碑	pəɪ45		p	əɪ	45							
臂	臂	pəɪ214		p	əɪ	214							
被	被	pəɪ214或45		p	əɪ	214或45							
悲	悲	pəɪ45		p	əɪ	45							
沛	沛	pʰəɪ214		pʰ	əɪ	214							
批	批	pʰəɪ45	避讳	pʰ	əɪ	45							
坯	坯	pʰəɪ45		pʰ	əɪ	45							
胚	胚	pʰəɪ45		pʰ	əɪ	45							
抔	抔	pʰəɪ42		pʰ	əɪ	42							
配	配	pʰəɪ214		pʰ	əɪ	214							
培	培	pʰəɪ21		pʰ	əɪ	21							
錇	锫	pʰəɪ21		pʰ	əɪ	21							
陪	陪	pʰəɪ21		pʰ	əɪ	21							
賠	赔	pʰəɪ21		pʰ	əɪ	21							
披	披	pʰəɪ45		pʰ	əɪ	45							
譬	譬	pʰəɪ214		pʰ	əɪ	214							
丕	丕	pʰəɪ45		pʰ	əɪ	45							
漫	漫	mẽn45	（水）要漫出来了。	m	ẽn	45							
拌	拌	pẽn45	拌饭	p	ẽn	45							
繩	绳	sẽn21		s	ẽn	21							
噴	喷	fẽn214	白讀，如：打～嚏	f	ẽn	214							
分	分	fẽn45		f	ẽn	45							
粉	粉	fẽn42		f	ẽn	42							
糞	粪	fẽn214		f	ẽn	214							
奮	奋	fẽn214		f	ẽn	214							
芬	芬	fẽn45		f	ẽn	45							
紛	纷	fẽn45		f	ẽn	45							
墳	坟	fẽn21		f	ẽn	21							
焚	焚	fẽn21		f	ẽn	21							
憤	愤	fẽn214		f	ẽn	214							
忿	忿	fẽn214		f	ẽn	214							
份	份	fẽn214		f	ẽn	214							
給	给	kẽn45	白讀	k	ẽn	45							
根	根	kẽn45		k	ẽn	45							
跟	跟	kẽn45		k	ẽn	45							
亙	亘	kẽn214		k	ẽn	214							
更	更	kẽn45	打更	k	ẽn	45							
庚	庚	kẽn45		k	ẽn	45							
羹	羹	kẽn45		k	ẽn	45							
哽	哽	kẽn42		k	ẽn	42							
鯁	鲠	kẽn42		k	ẽn	42							
埂	埂	kẽn214		k	ẽn	214							
梗	梗	kẽn42		k	ẽn	42							
更	更	kẽn214		k	ẽn	214							
耕	耕	kẽn45		k	ẽn	45							
耿	耿	kẽn42		k	ẽn	42							
墾	垦	kʰẽn42		kʰ	ẽn	42							
懇	恳	kʰẽn42		kʰ	ẽn	42							
肯	肯	kʰẽn42		kʰ	ẽn	42							
坑	坑	kʰẽn45		kʰ	ẽn	45							
冷	冷	lẽn42		l	ẽn	42							
嫩	嫩	nẽn214		n	ẽn	214							
論	论	lẽn21		l	ẽn	21							
崙	仑	lẽn21		l	ẽn	21							
論	论	lẽn214		l	ẽn	214							
綸	纶	lẽn21		l	ẽn	21							
倫	伦	lẽn21		l	ẽn	21							
淪	沦	lẽn21		l	ẽn	21							
輪	轮	lẽn21	輪胎	l	ẽn	21							
能	能	nẽn21		n	ẽn	21							
棱	棱	lẽn21		l	ẽn	21							
楞	楞	lẽn214		l	ẽn	214							
滿	满	mẽn42	又读	m	ẽn	42							
們	们	mẽn21		m	ẽn	21							
門	门	mẽn21		m	ẽn	21							
捫	扪	mẽn45		m	ẽn	45							
悶	闷	mẽn45	闷墩儿	m	ẽn	45							
悶	闷	mẽn214	闷热	m	ẽn	214							
明	明	mẽn21	白讀，如：～天，～朝，～年	m	ẽn	21							
恩	恩	ŋẽn45		ŋ	ẽn	45							
𥗊	𥗊	ŋẽn42	人體壓在硬物上，被凸突部分反壓後所造成的軀體不適感。	ŋ	ẽn	42							
硬	硬	ŋẽn214或45		ŋ	ẽn	214或45							
櫻	樱	ŋẽn45		ŋ	ẽn	45							
奔	奔	pẽn45		p	ẽn	45							
賁	贲	pẽn45		p	ẽn	45							
本	本	pẽn42		p	ẽn	42							
畚	畚	pẽn42		p	ẽn	42							
笨	笨	pẽn214		p	ẽn	214							
𨁼	𨁼	pẽn214	表示努力掙扎，擺脫束縛。如：～脫.同(捹)	p	ẽn	214							
捹	捹	pẽn214	表示努力掙扎，擺脫束縛。如：～脫.同(𨁼)	p	ẽn	214							
崩	崩	pẽn45		p	ẽn	45							
繃	绷	pẽn45	白讀，表示（褲腰帶等）約束過緊。如：～爛了	p	ẽn	45							
翉	翉	pʰẽn42		pʰ	ẽn	42							
噴	喷	pʰẽn45		pʰ	ẽn	45							
𫣶	𫣶	pʰẽn45	動詞，表示倚靠	pʰ	ẽn	45							
盆	盆	pʰẽn21		pʰ	ẽn	21							
抨	抨	pʰẽn45	文讀	pʰ	ẽn	45							
烹	烹	pʰẽn45		pʰ	ẽn	45							
彭	彭	pʰẽn21		pʰ	ẽn	21							
膨	膨	pʰẽn21		pʰ	ẽn	21							
森	森	sẽn45		s	ẽn	45							
參	参	sẽn45	人參	s	ẽn	45							
滲	渗	sẽn214		s	ẽn	214							
葚	葚	sẽn214		s	ẽn	214							
深	深	sẽn45		s	ẽn	45							
瀋	渖	sẽn42		s	ẽn	42							
瀋	沈	sẽn42		s	ẽn	42							
審	审	sẽn42		s	ẽn	42							
嬸	婶	sẽn42		s	ẽn	42							
甚	甚	sẽn214		s	ẽn	214							
什	什	sẽn214	什么	s	ẽn	214							
娠	娠	sẽn21		s	ẽn	21							
神	神	sẽn21		s	ẽn	21							
身	身	sẽn45		s	ẽn	45							
申	申	sẽn45		s	ẽn	45							
申	申	sẽn45		s	ẽn	45							
伸	伸	sẽn45		s	ẽn	45							
伸	伸	tsʰẽn45		tsʰ	ẽn	45							
辰	辰	sẽn21		s	ẽn	21							
晨	晨	sẽn21		s	ẽn	21							
腎	肾	sẽn214		s	ẽn	214							
荪	荪	sẽn45		s	ẽn	45							
孫	孙	sẽn45		s	ẽn	45							
損	损	sẽn42		s	ẽn	42							
筍	笋	sẽn42		s	ẽn	42							
僧	僧	sẽn45		s	ẽn	45							
乘	乘	sẽn21		s	ẽn	21							
剩	剩	sẽn214或45		s	ẽn	214或45							
升	升	sẽn45		s	ẽn	45							
勝	胜	sẽn214		s	ẽn	214							
承	承	sẽn21		s	ẽn	21							
生	生	sẽn45		s	ẽn	45							
牲	牲	sẽn45		s	ẽn	45							
笙	笙	sẽn45		s	ẽn	45							
甥	甥	sẽn45		s	ẽn	45							
聲	声	sẽn45		s	ẽn	45							
聖	圣	sẽn214		s	ẽn	214							
盛	盛	sẽn214		s	ẽn	214							
敦	敦	tẽn45		t	ẽn	45							
墩	墩	tẽn45		t	ẽn	45							
吨	吨	tẽn214		t	ẽn	214							
頓	顿	tẽn214		t	ẽn	214							
飩	饨	tẽn214		t	ẽn	214							
囤	囤	tẽn214	動詞，表示把物品放置在某處	t	ẽn	214							
扽	扽	tẽn214	動詞，表示把物品放置在某處	t	ẽn	214							
沌	沌	tẽn214		t	ẽn	214							
盾	盾	tẽn214		t	ẽn	214							
鈍	钝	tẽn214		t	ẽn	214							
燉	炖	tẽn214		t	ẽn	214							
遁	遁	tẽn214		t	ẽn	214							
蹲	蹲	tẽn45		t	ẽn	45							
登	登	tẽn45		t	ẽn	45							
燈	灯	tẽn45		t	ẽn	45							
等	等	tẽn42		t	ẽn	42							
凳	凳	tẽn214		t	ẽn	214							
鄧	邓	tẽn214		t	ẽn	214							
瞪	瞪	tẽn214		t	ẽn	214							
瞪	瞪	tẽn214		t	ẽn	214							
澄	澄	tẽn45		t	ẽn	45							
鐺	铛	tẽn45		t	ẽn	45							
箏	筝	tẽn45	仅用于口语词组“风筝”	t	ẽn	45							
吞	吞	tʰẽn45		tʰ	ẽn	45							
屯	屯	tʰẽn21		tʰ	ẽn	21							
豚	豚	tʰẽn21		tʰ	ẽn	21							
臀	臀	tʰẽn21		tʰ	ẽn	21							
囤	囤	tʰẽn21		tʰ	ẽn	21							
沌	沌	tʰẽn21		tʰ	ẽn	21							
黗	黗	tʰẽn42	說話或其他動作不流暢	tʰ	ẽn	42							
旽	旽	tʰẽn214	互相拖，等別人先行動	tʰ	ẽn	214							
藤	藤	tʰẽn21		tʰ	ẽn	21							
騰	腾	tʰẽn21		tʰ	ẽn	21							
疼	疼	tʰẽn21		tʰ	ẽn	21							
謄	誊	tʰẽn21		tʰ	ẽn	21							
朕	朕	tsẽn214		ts	ẽn	214							
針	针	tsẽn45		ts	ẽn	45							
斟	斟	tsẽn45		ts	ẽn	45							
枕	枕	tsẽn42		ts	ẽn	42							
今	今	tsẽn45	白讀，仅用于～朝	ts	ẽn	45							
珍	珍	tsẽn45		ts	ẽn	45							
鎮	镇	tsẽn214		ts	ẽn	214							
陣	阵	tsẽn214		ts	ẽn	214							
榛	榛	tsẽn45		ts	ẽn	45							
臻	臻	tsẽn45		ts	ẽn	45							
真	真	tsẽn45		ts	ẽn	45							
診	诊	tsẽn45	門～	ts	ẽn	45							
疹	疹	tsẽn42	濕～	ts	ẽn	42							
縝	缜	tsẽn42		ts	ẽn	42							
振	振	tsẽn42		ts	ẽn	42							
震	震	tsẽn214		ts	ẽn	214							
臣	臣	tsẽn21		ts	ẽn	21							
尊	尊	tsẽn45		ts	ẽn	45							
遵	遵	tsẽn45		ts	ẽn	45							
諄	谆	tsẽn45		ts	ẽn	45							
肫	肫	tsẽn45		ts	ẽn	45							
增	增	tsẽn45		ts	ẽn	45							
憎	憎	tsẽn45		ts	ẽn	45							
曾	曾	tsẽn45		ts	ẽn	45							
贈	赠	tsẽn214		ts	ẽn	214							
甄	甄	tsẽn45		ts	ẽn	45							
甑	甑	tsẽn214	~子飯	ts	ẽn	214							
徵	征	tsẽn45		ts	ẽn	45							
蒸	蒸	tsẽn45		ts	ẽn	45							
拯	拯	tsẽn42		ts	ẽn	42							
證	证	tsẽn214		ts	ẽn	214							
症	症	tsẽn214		ts	ẽn	214							
撐	撑	tsʰẽn45		tsʰ	ẽn	45							
爭	争	tsẽn45		ts	ẽn	45							
睜	睁	tsẽn45		ts	ẽn	45							
貞	贞	tsẽn45		ts	ẽn	45							
蟶	蛏	tsẽn45		ts	ẽn	45							
偵	侦	tsẽn45		ts	ẽn	45							
鄭	郑	tsẽn214		ts	ẽn	214							
征	征	tsẽn45		ts	ẽn	45							
整	整	tsẽn42		ts	ẽn	42							
政	政	tsẽn214		ts	ẽn	214							
正	正	tsẽn214		ts	ẽn	214							
城	城	tsẽn21		ts	ẽn	21							
成	成	tsẽn21		ts	ẽn	21							
誠	诚	tsẽn21		ts	ẽn	21							
盛	盛	tsẽn21		ts	ẽn	21							
琛	琛	tsʰẽn45		tsʰ	ẽn	45							
沉	沉	tsʰẽn21		tsʰ	ẽn	21							
岑	岑	tsʰẽn21		tsʰ	ẽn	21							
趁	趁	tsʰẽn214		tsʰ	ẽn	214							
陳	陈	tsʰẽn21		tsʰ	ẽn	21							
塵	尘	tsʰẽn21		tsʰ	ẽn	21							
襯	衬	tsʰẽn214		tsʰ	ẽn	214							
伸	伸	tsʰẽn45	白讀	tsʰ	ẽn	45							
慎	慎	tsʰẽn214		tsʰ	ẽn	214							
村	村	tsʰẽn45		tsʰ	ẽn	45							
忖	忖	tsʰẽn42		tsʰ	ẽn	42							
寸	寸	tsʰẽn214		tsʰ	ẽn	214							
存	存	tsʰẽn21		tsʰ	ẽn	21							
曾	曾	tsʰẽn21		tsʰ	ẽn	21							
層	层	tsʰẽn21		tsʰ	ẽn	21							
澄	澄	tsʰẽn21		tsʰ	ẽn	21							
懲	惩	tsʰẽn42		tsʰ	ẽn	42							
逞	逞	tsʰẽn42		tsʰ	ẽn	42							
𪮭	𪭧	tsʰẽn42	動詞，表示用手撐地	tsʰ	ẽn	42							
橙	橙	tsʰẽn21		tsʰ	ẽn	21							
稱	称	tsʰẽn45		tsʰ	ẽn	45							
稱	称	tsʰẽn214		tsʰ	ẽn	214							
秤	秤	tsʰẽn214		tsʰ	ẽn	214							
丞	丞	tsʰẽn21		tsʰ	ẽn	21							
睜	睁	tsʰẽn45		tsʰ	ẽn	45							
呈	呈	tsʰẽn21		tsʰ	ẽn	21							
程	程	tsʰẽn21		tsʰ	ẽn	21							
痕	痕	xẽn21		x	ẽn	21							
很	很	xẽn42		x	ẽn	42							
恨	恨	xẽn214		x	ẽn	214							
恆	恒	xẽn21		x	ẽn	21							
亨	亨	xẽn45		x	ẽn	45							
哼	哼	xẽn45		x	ẽn	45							
衡	衡	xẽn21		x	ẽn	21							
杏	杏	xẽn214		x	ẽn	214							
任	任	zẽn214		z	ẽn	214							
妊	妊	zẽn214		z	ẽn	214							
人	人	zẽn21		z	ẽn	21							
仁	仁	zẽn21		z	ẽn	21							
忍	忍	zẽn42		z	ẽn	42							
刃	刃	zẽn42		z	ẽn	42							
韌	韧	zẽn42		z	ẽn	42							
紉	紉	zẽn42		z	ẽn	42							
紉	纫	zẽn214		z	ẽn	214							
認	认	zẽn214或45		z	ẽn	214或45							
仍	仍	zẽn21		z	ẽn	21							
扔	扔	zẽn42		z	ẽn	42							
恁	恁	nẽn214或45		n	ẽn	214或45							
診	诊	tsẽn42	新	ts	ẽn	42							
診	诊	tsẽn45	老	ts	ẽn	45							
們	们	øẽn21	词语“我们”“你们”“他们”中可用此读音	ø	ẽn	21							
萌	萌	mẽn21		m	ẽn	21							
勾	勾	kəʊ45		k	əʊ	45							
鉤	钩	kəʊ45		k	əʊ	45							
溝	沟	kəʊ45		k	əʊ	45							
狗	狗	kəʊ42		k	əʊ	42							
苟	苟	kəʊ42		k	əʊ	42							
垢	垢	kəʊ214		k	əʊ	214							
彀	彀	kəʊ214		k	əʊ	214							
夠	够	kəʊ214		k	əʊ	214							
構	构	kəʊ214		k	əʊ	214							
購	购	kəʊ214		k	əʊ	214							
媾	媾	kəʊ214		k	əʊ	214							
摳	抠	kʰəʊ45		kʰ	əʊ	45							
口	口	kʰəʊ42		kʰ	əʊ	42							
叩	叩	kʰəʊ214		kʰ	əʊ	214							
扣	扣	kʰəʊ214		kʰ	əʊ	214							
寇	寇	kʰəʊ214		kʰ	əʊ	214							
蔻	蔻	kʰəʊ214		kʰ	əʊ	214							
縷	缕	ləʊ42		l	əʊ	42							
屢	屡	ləʊ42		l	əʊ	42							
耨	耨	ləʊ214		l	əʊ	214							
樓	楼	ləʊ21		l	əʊ	21							
摟	搂	ləʊ42		l	əʊ	42							
簍	篓	ləʊ42		l	əʊ	42							
漏	漏	ləʊ214或45		l	əʊ	214或45							
陋	陋	ləʊ214		l	əʊ	214							
撈	捞	ləʊ214	動詞	l	əʊ	214							
藕	藕	ŋəʊ42		ŋ	əʊ	42							
偶	偶	ŋəʊ42		ŋ	əʊ	42							
謳	讴	ŋəʊ45		ŋ	əʊ	45							
歐	欧	ŋəʊ45		ŋ	əʊ	45							
區	区	ŋəʊ45	姓氏	ŋ	əʊ	45							
漚	沤	ŋəʊ45		ŋ	əʊ	45							
毆	殴	ŋəʊ42		ŋ	əʊ	42							
嘔	呕	ŋəʊ42		ŋ	əʊ	42							
漚	沤	ŋəʊ214		ŋ	əʊ	214							
慪	怄	ŋəʊ214		ŋ	əʊ	214							
叟	叟	səʊ42		s	əʊ	42							
嗽	嗽	səʊ214		s	əʊ	214							
餿	馊	səʊ45		s	əʊ	45							
搜	搜	səʊ45		s	əʊ	45							
颼	飕	səʊ45		s	əʊ	45							
蒐	搜	səʊ45		s	əʊ	45							
瘦	瘦	səʊ214		s	əʊ	214							
收	收	səʊ45		s	əʊ	45							
手	手	səʊ42		s	əʊ	42							
首	首	səʊ42		s	əʊ	42							
守	守	səʊ42		s	əʊ	42							
獸	兽	səʊ214		s	əʊ	214							
受	受	səʊ214		s	əʊ	214							
壽	寿	səʊ214		s	əʊ	214							
授	授	səʊ214		s	əʊ	214							
售	售	səʊ214		s	əʊ	214							
兜	兜	təʊ45		t	əʊ	45							
斗	斗	təʊ42		t	əʊ	42							
抖	抖	təʊ42	抖音	t	əʊ	42							
陡	陡	təʊ42		t	əʊ	42							
鬥	斗	təʊ214		t	əʊ	214							
頭	头	tʰəʊ21		tʰ	əʊ	21							
頭	头	təʊ45	用于词组	t	əʊ	45							
豆	豆	təʊ214		t	əʊ	214							
逗	逗	təʊ45	白讀，作動詞，表示哄，挑逗	t	əʊ	45							
逗	逗	təʊ214		t	əʊ	214							
湊	湊	təʊ214	白讀，作動詞	t	əʊ	214							
就	就	təʊ45	白讀	t	əʊ	45							
抖	抖	tʰəʊ42	白讀	tʰ	əʊ	42							
偷	偷	tʰəʊ45		tʰ	əʊ	45							
透	透	tʰəʊ214		tʰ	əʊ	214							
投	投	tʰəʊ214	动词，双手拿住毛巾的两头,放在水盆中上下搓洗毛巾	tʰ	əʊ	214							
投	投	tʰəʊ21		tʰ	əʊ	21							
走	走	tsəʊ42		ts	əʊ	42							
奏	奏	tsəʊ214		ts	əʊ	214							
肘	肘	tsəʊ42		ts	əʊ	42							
晝	昼	tsəʊ214		ts	əʊ	214							
紂	纣	tsəʊ214		ts	əʊ	214							
宙	宙	tsəʊ214		ts	əʊ	214							
鄒	邹	tsəʊ45		ts	əʊ	45							
周	周	tsəʊ45		ts	əʊ	45							
舟	舟	tsəʊ45		ts	əʊ	45							
洲	洲	tsəʊ45		ts	əʊ	45							
州	州	tsəʊ45		ts	əʊ	45							
帚	帚	tsəʊ42		ts	əʊ	42							
咒	咒	tsəʊ214		ts	əʊ	214							
湊	凑	tsʰəʊ214		tsʰ	əʊ	214							
搊	搊	tsʰəʊ45	動詞，表示推	tsʰ	əʊ	45							
抽	抽	tsʰəʊ45		tsʰ	əʊ	45							
醜	丑	tsʰəʊ42		tsʰ	əʊ	42							
綢	绸	tsʰəʊ21		tsʰ	əʊ	21							
稠	稠	tsʰəʊ21		tsʰ	əʊ	21							
籌	筹	tsʰəʊ21		tsʰ	əʊ	21							
愁	愁	tsʰəʊ21		tsʰ	əʊ	21							
驟	骤	tsʰəʊ214		tsʰ	əʊ	214							
臭	臭	tsʰəʊ214		tsʰ	əʊ	214							
讎	雠	tsʰəʊ21		tsʰ	əʊ	21							
酬	酬	tsʰəʊ21		tsʰ	əʊ	21							
呴	呴	xəʊ45	即齁，鹽吃多了而得的病	x	əʊ	45							
