繁體	简体	聲韻調	註釋	聲	韻	調							
叛	叛	pã214		p	ã	214							
幫	帮	pã45		p	ã	45							
浜	浜	pã45		p	ã	45							
謗	谤	pã214		p	ã	214							
傍	傍	pã214		p	ã	214							
邦	邦	pã45		p	ã	45							
綁	绑	pã42		p	ã	42							
棒	棒	pã214		p	ã	214							
蚌	蚌	pã214	白讀1，如：～殼	p	ã	214							
蚌	蚌	pã214		p	ã	214							
盼	盼	pʰã214		pʰ	ã	214							
攀	攀	pʰã45		pʰ	ã	45							
襻	襻	pʰã214		pʰ	ã	214							
潘	潘	pʰã45		pʰ	ã	45							
坢	坢	pʰã42		pʰ	ã	42							
拚	拚	pʰã214		pʰ	ã	214							
判	判	pʰã214		pʰ	ã	214							
盤	盘	pʰã21		pʰ	ã	21							
𢸔	𭢋	pʰã21	動詞，表示搬運	pʰ	ã	21							
滂	滂	pʰã21		pʰ	ã	21							
旁	旁	pʰã21		pʰ	ã	21							
胖	胖	pʰã214		pʰ	ã	214							
龐	庞	pʰã21		pʰ	ã	21							
碰	碰	pʰã42	白讀，如：这个花瓶～不得	pʰ	ã	42							
三	三	sã45		s	ã	45							
陝	陕	sã42		s	ã	42							
閃	闪	sã42	閃爍	s	ã	42							
贍	赡	sã214		s	ã	214							
散	散	sã42		s	ã	42							
傘	伞	sã42		s	ã	42							
散	散	sã214		s	ã	214							
山	山	sã45		s	ã	45							
訕	讪	sã214		s	ã	214							
疝	疝	sã214		s	ã	214							
膻	膻	sã214		s	ã	214							
扇	扇	sã214		s	ã	214							
蟬	蝉	sã21		s	ã	21							
禪	禅	sã21		s	ã	21							
單	单	sã21	單于	s	ã	21							
單	单	sã214	作姓氏	s	ã	214							
善	善	sã214		s	ã	214							
膳	膳	sã214		s	ã	214							
擅	擅	sã214		s	ã	214							
桑	桑	sã45		s	ã	45							
喪	丧	sã45		s	ã	45							
嗓	嗓	sã42		s	ã	42							
喪	丧	sã214		s	ã	214							
商	商	sã45		s	ã	45							
傷	伤	sã45		s	ã	45							
賞	赏	sã42		s	ã	42							
餉	饷	sã42		s	ã	42							
常	常	sã21		s	ã	21							
嘗	尝	sã21		s	ã	21							
償	偿	sã21		s	ã	21							
償	偿	sã21	賠償	s	ã	21							
裳	裳	sã21		s	ã	21							
尚	尚	sã214		s	ã	214							
上	上	sã214或45		s	ã	214或45							
耽	耽	tã45		t	ã	45							
擔	担	tã45		t	ã	45							
膽	胆	tã42		t	ã	42							
擔	担	tã214		t	ã	214							
丹	丹	tã45		t	ã	45							
單	单	tã45		t	ã	45							
旦	旦	tã214		t	ã	214							
誕	诞	tã214		t	ã	214							
但	但	tã214或45		t	ã	214或45							
彈	弹	tã214		t	ã	214							
蛋	蛋	tã214或45		t	ã	214或45							
憚	惮	tã214		t	ã	214							
當	当	tã45		t	ã	45							
黨	党	tã42		t	ã	42							
擋	挡	tã42		t	ã	42							
擋	挡	tã214		t	ã	214							
當	当	tã214	当铺	t	ã	214							
蕩	荡	tã214		t	ã	214							
瞊	瞊	tã214	瞙瞊：眼部殘疾者	t	ã	214							
宕	宕	tã214		t	ã	214							
貪	贪	tʰã45		tʰ	ã	45							
探	探	tʰã45		tʰ	ã	45							
潭	潭	tʰã21		tʰ	ã	21							
譚	谭	tʰã21		tʰ	ã	21							
坍	坍	tʰã45		tʰ	ã	45							
毯	毯	tʰã42		tʰ	ã	42							
痰	痰	tʰã21		tʰ	ã	21							
談	谈	tʰã21		tʰ	ã	21							
淡	淡	tã214或45		t	ã	214或45							
灘	滩	tʰã45		tʰ	ã	45							
攤	摊	tʰã45		tʰ	ã	45							
坦	坦	tʰã42		tʰ	ã	42							
嘆	叹	tʰã214		tʰ	ã	214							
炭	炭	tʰã214		tʰ	ã	214							
檀	檀	tʰã21		tʰ	ã	21							
壇	坛	tʰã21		tʰ	ã	21							
壇	坛	tʰã21	地壇：一塊地方	tʰ	ã	21							
彈	弹	tʰã21		tʰ	ã	21							
湯	汤	tʰã45		tʰ	ã	45							
倘	倘	tʰã42		tʰ	ã	42							
躺	躺	tʰã42		tʰ	ã	42							
燙	烫	tʰã214		tʰ	ã	214							
趟	趟	tʰã214		tʰ	ã	214							
堂	堂	tʰã21		tʰ	ã	21							
唐	唐	tʰã21		tʰ	ã	21							
糖	糖	tʰã21		tʰ	ã	21							
塘	塘	tʰã21		tʰ	ã	21							
螳	螳	tʰã21		tʰ	ã	21							
簪	簪	tsã45		ts	ã	45							
暫	暂	tsã214		ts	ã	214							
站	站	tsã214		ts	ã	214							
斬	斩	tsã42		ts	ã	42							
蘸	蘸	tsã214		ts	ã	214							
瞻	瞻	tsã45		ts	ã	45							
佔	占	tsã214		ts	ã	214							
占	占	tsã214		ts	ã	214							
贊	赞	tsã214		ts	ã	214							
綻	绽	tsã214		ts	ã	214							
盞	盏	tsã42		ts	ã	42							
棧	栈	tsã214		ts	ã	214							
展	展	tsã42		ts	ã	42							
搌	搌	tsã42	動詞，表示用手抬動或移動物品，同時也可作形容詞表示用力的樣子，如：～勁	ts	ã	42							
氈	毡	tsã45		ts	ã	45							
戰	战	tsã214		ts	ã	214							
顫	颤	tsã214		ts	ã	214							
臧	臧	tsã45		ts	ã	45							
贓	赃	tsã45		ts	ã	45							
髒	脏	tsã45		ts	ã	45							
葬	葬	tsã214		ts	ã	214							
藏	藏	tsã214		ts	ã	214							
臓	脏	tsã214		ts	ã	214							
張	张	tsã45		ts	ã	45							
漲	涨	tsã42		ts	ã	42							
長	长	tsã42		ts	ã	42							
帳	帐	tsã214		ts	ã	214							
賬	账	tsã214		ts	ã	214							
脹	胀	tsã214		ts	ã	214							
丈	丈	tsã214或45		ts	ã	214或45							
杖	杖	tsã214或45		ts	ã	214或45							
仗	仗	tsã214或45		ts	ã	214或45							
章	章	tsã45		ts	ã	45							
