字目	读音	注释
□	ŋi8	tɕʰiŋ8~，干净
耳	ŋi8	~朵，~lɔ9
艺	ŋi6	
仪	ŋi9	
疑	ŋi9	
医	i1	
衣	i1	
一	i1	~定
□	i2	naŋ8mui2~，萤火虫
依	i2	~靠
已	i2	~经
意	i2	~思
姨	i2	~妈，~ma9
椅	i3	
揖	i8	作~
亿	i6	
译	i9	
易	i9	
役	i9	
斧	pu1	
□	pu1	kau8~tʰeu2，膝盖
腹	pu1	~肚，肚子
□	pu1	~tɕia8，后背
□	pu1	~头，~tʰeu2
□	pu1	~kʰan1，难堪，过分
布	pu2	
□	pu2	埋葬
煨	pu2	
□	pu2	用刀向下砍
剥	pu2	
□	pu2	~kʰyə1，瓢
簿	pu3	账~
补	pu9	
步	pu9	
瓠	pu9	
葡	pu8	~萄
部	pu8	~队
□	pu8	一~花，一朵花，量词
普	pʰu1	~通
铺	pʰu2	动
殕扑□	pʰu2	推
蒲	pʰu2	菖~
讣	pʰu2	~告
麸	pʰu2	麦~
谱	pʰu3	
覆	pʰu3	
伏	pʰu3	
曝	pʰu6	
抱	pʰu6	
捕	pʰu8	逮~
茉	mu2	~莉花
母	mu3	亲家~
墓	mu6	
雾	mu6	
木	mu8	
摸	mu8	
模	mu8	~型
妇	mu8	新~
□	mu8	tuŋ8~kyɔŋ3，男孩子
都	tu1	~是
肚	tu1	~量
□	tu2	~liaŋ8，脖子
□	tu2	xuan8~,吩咐
贮	tu3	
度	tu3	制~
苎	tu8	
毒	tu8	
徒	tu8	~弟
肚	tu6	猪~
渡	tu6	
镀	tu6	电~
赌	tu9	
图	tu9	
涂	tu9	
轴	tu9	
督	tu9	
独	tu9	孤~，孤僻
吐	tʰu2	呕~
土	tʰu2	~匪
读	tʰu6	
突	tʰu9	
奴	nu2	~才
□	nu2	~nai3，母亲
□	lu1	~tɕyə3，盒子
露	lu1	~水
鲁	lu1	~班
□	lu1	lɔ8~，阴沟
卢	lu2	
鸬	lu2	~鹚
炉	lu2	~子，~tɕyə3
卤	lu3	
□	lu3	tɔ1~，抽屉
鹿	lu9	
禄	lu9	
陆	lu9	
录	lu9	
□	lu9	pu1~，肚子
租	tsu1	
足	tsu2	
紫	tsu2	~菜
诸	tsu2	~葛亮
祖	tsu2	~翁
资	tsu2	~本
组	tsu3	
子	tsu3	
卒	tsu3	
君	tsu3	~子
□	tsu3	tɕie8~，栀子
慈	tsu8	
瓷	tsu9	
族	tsu9	
叔	tsu9	
祝	tsu9	
粗	tsʰu1	
醋	tsʰu2	
错	tsʰu2	
次	tsʰu2	
觑	tsʰu6	瞧，看
□	tsʰu6	凿
促	tsʰu9	
初	tsʰu8	~中
酥	su1	
梳	su1	
疏	su1	
斯	su1	
思	su1	
私	su1	
塑	su1	~料
宿	su1	~舍
驶	su1	驾~员
素	su2	
数	su2	动
赐	su2	
思	su2	意~
师	su2	老~
司	su2	~令
诉	su2	~苦
□	su2	~笋，茭白
□	su2	垃~,lɔ2~
巳	su3	
仕	su3	
戌	su3	
寺	su6	
士	su6	
事	su6	
六	su6	
素	su6	朴~
辞	su9	
嗣	su9	
俗	su9	
续	su9	
束	su9	
属	su9	
词	su8	
嗽	su8	
史	su8	历~
祠	su8	~堂
苏	su8	~州
□	su8	~tɕhy3，兔子
饲	su8	~料
处	tɕʰu2	家
枯	ku1	
□	ku1	~钯
鼓	ku1	~励
固	ku1	~定
姑	ku1	尼~
顾	ku2	
过	ku2	
□	ku2	~iou9，还有
故	ku2	~事
孤	ku2	~独，孤僻义
鼓	ku3	
估	ku3	
古	ku3	
角	ku3	
牯	ku9	
糊	ku9	米~
□	ku9	敷药
□	ku9	贴
窠	kʰu1	
裤	kʰu2	
瘸	kʰu3	驼，弯
苦	kʰu3	
壳	kʰu3	
库	kʰu3	水~
□	kʰu9	贴
窟	kʰu8	~窿
□	xu1	ka8~tʰiaŋ1，脚后跟
肤	xu1	皮~
武	xu1	~曲，本地名
货	xu2	
富	xu2	
幅	xu2	
付	xu2	
负	xu2	~担
府	xu3	
复	xu3	
福	xu3	
複	xu3	
□	xu3	sɔ1~，老虎
妇	xu3	~女
呼	xu6	
户	xu6	
护	xu6	
腐	xu6	
后	xu6	
父	xu6	师~
胡	xu9	
湖	xu9	
壶	xu9	
扶	xu9	
符	xu9	
斛	xu9	
袝	xu9	
复	xu9	恢~
芙	xu8	~蓉
抚	xu8	~养
狐	xu8	~狸
和	xu8	~牌
吴	ŋu2	
梧	ŋu2	~桐树
五	ŋu8	
服	ŋu8	佩~
鹉	ŋu8	鹦~
悟	ŋu8	孙~空
误	ŋu6	
乌	u1	
污	u1	~蔑
□	u2	~tseu3，跳蚤
舞	u3	
武	u3	
巫	u8	
□	u8	学
佛	u8	阿弥陀~
菇	u8	
脚	u8	~癣
无	u8	~耻
□	u6	躲
狗	u9	
□	ty1	tʰian8~，蜘蛛
橱	ty2	
筑	ty2	
锄	ty2	~头
竹	ty3	
蘸	ty3	
主	ty3	
辣	ty8	
箸	ty6	
□	ty6	燃
□	ty6	讲~，讲话
着	ty6	碰~
路	ty9	
除	ty9	
屠	tʰy2	~猪
揣	tʰy3	
堵	tʰy9	
汝	ny8	
肉	ny8	
女	ny3	妇~
旅	ly1	~游
驴	ly2	
吕	ly3	
绿	ly8	
虑	ly6	
律	ly9	
率	ly9	
珠	tɕy1	
薯	tɕy1	
□	tɕy1	kʰau2~tai3，脚底
蛀	tɕy2	
铸	tɕy2	
烛	tɕy3	
借	tɕy3	
主	tɕy3	
粥	tɕy3	
齿	tɕy3	牙~
石	tɕy6	
熟	tɕy6	
出	tɕʰy2	
鼠	tɕʰy2	
处	tɕʰy2	~所
□	tɕʰy2	~tɕie8，舌头
尺	tɕʰy3	
□	tɕʰy3	su8~,兔子
书	ɕy1	
需	ɕy1	
鬚	ɕy1	
输	ɕy1	
□	ɕy1	~tʰɔ2，认识
□	ɕy1	~ia8，飞蛾
□	ɕy2	吃
穗	ɕy2	麦~
暑	ɕy2	小~ɕiu2ɕy2
瑞	ɕy3	
□	ɕy3	pʰɔŋ2~，不饱满的谷子
□	ɕy6	喂
□	ɕy6	擦
序	ɕy6	
席	ɕy6	草~
徐	ɕy9	
术	ɕy9	
绪	ɕy8	光~
居	ky1	
車	ky1	
菊	ky1	~花
□	ky1	~牯，阉割过的牛
茄	ky2	
拘	ky2	
计	ky2	
锯	ky2	
剧	ky2	~烈
句	ky2	tɕi8~ty35，一~话
□	ky2	~lə6，锉刀
别	ky3	~针
矩	ky3	规~
佢	ky8	他
据	ky6	
具	ky6	家~
局	ky9	
区箕	kʰy1	puŋ2~，粪箕，圆的指纹
趋	kʰy2	~势
□	kʰy3	折被子
曲	kʰy3	酒~
曲	kʰy3	歌~
嬉	xy1	
□	xy1	pai2~，簸箕
浒	xy1	水~传
畜	xy1	~牧
许	xy3	姓
雨	xy6	
语	ŋy1	~文
□	ŋy1	~pɔ2，外婆
鱼	ŋy2	
玉	ŋy9	
汝	ŋy8	第二人称
□	y1	~雨，淋雨
预	y1	~备
芋	y2	~头
熨	y3	
喻	y3	比~
誉	y6	荣~
娱	y8	~乐
如	y8	~果
伯	pa1	
疤	pa1	结~
爸	pa2	阿~，面称
爬	pa2	
耙	pa2	
钯	pa2	~nia2，钉耙
柏	pa3	
百	pa3	
白	pa6	
坝	pa6	
	pa9	窄
巴	pa8	~掌
芭	pa8	~蕉
□	pʰa3	睁
□	ma2	kɛ8~tsə2，荠菜
马	ma3	
脉	ma8	
麦	ma8	
□	ma8	打
□	ma8	~豆，豌豆
□	ma8	~ma6，姑姑
□	ma8	~pai2tsʰu3，疟疾
骂	ma6	
□	ma9	saŋ1~，妻子
爹	ta1	背称
茶	ta2	
答	ta3	
搭	ta6	
踏	ta6	
达	ta9	
	ta8	kiu1~，舅舅
□	tʰa1	~ɛ8tai2，缉鞋底
他	tʰa1	其~
䖳	tʰa2	
塔	tʰa3	
帖	tʰa3	
□	tʰa8	~muŋ2，窗户
纳	na9	
□	na9	抓
哪	na8	~吒
□	la3	舔
腊	la3	
蜡	la3	
猎	la8	
粒	la9	一~
渣	tsa1	
做	tsa1	
楂	tsa1	山~
榨	tsa1	~菜
蚱	tsa1	~蜢
炸	tsa1	~弹
□	tsa3	撩起
察	tsa3	
铡	tsa3	
查	tsa8	
诈	tsa6	
杂	tsa9	
闸	tsa9	
叉	tsʰa1	
钗	tsʰa1	
差	tsʰa1	
岔	tsʰa1	
册	tsʰa3	
□	tsʰa3	~man2，瞎子
沙	sa1	
痧	sa1	
撒	sa3	
煠	sa8	
杀	sa9	自~
家	ka1	
□	ka1	~tɕyə2，割稻谷的刀
□	ka1	tɕia1~li3，裸体
蛤	ka1	~tɕyə3，蛤蜊
驾	ka2	
嫁	ka2	出~
价	ka2	~钱
架	ka2	~起来
格	ka3	
甲	ka3	
葛	ka3	
荚	ka3	豆~
假	ka9	真~
隔	ka9	
客	kʰa3	
脚	kʰa3	~指头
虾	xa2	
霞	xa2	
合	xa9	
厦	xa8	~门
牙	ŋa2	
芽	ŋa2	
□	ŋa2	paŋ1~，哑巴
□	ŋa2	~neŋ2，中介
雅	ŋa3	
岔	a1	甲亭~，地名
□	a1	tsʰau2~，枝杈
押	a2	
压	a2	
轭	a3	
□	a3	pian3~tɕyə2，编辫子
阿	a6	~弥陀佛
下	a8	~面
阿	a8	~姐
壁	pia3	
榨	tia2	~油
粜	tia2	~米
拆	tʰia3	
坼	tʰia3	
镊	nia3	
□	nia3	眨
□	nia3	pa2~，钉耙
历	lia9	
遮	tɕia1	
蔗	tɕia2	甘~
	tɕia2	一~，tɕi3~，一个
脊	tɕia3	
迹	tɕia3	
籍	tɕia9	
车	tɕʰia1	
刺	tɕʰia1	~毛衣，织毛衣
赊	ɕia1	
麝	ɕia1	~香
赦	ɕia2	
写	ɕia3	
射	ɕia3	
□	ɕia3	lɔ8~，喜鹊
谢	ɕia6	
社	ɕia6	
舍	ɕia6	宿~
畲	ɕia8	~客
加	kia1	
□	kia8	~lia3，披衣服
蟢	xia2	
	ŋia1	~tɕyə3，夹子
□	ŋia1	~su6,惹事
镊	ŋia2	
额	ŋia9	
□	ia3	sɔi2~，闪电
也	ia9	
胁	ia9	威~
□	ia8	ia8ɕian2扇扇子
□	ia8	ɕy1~，飞蛾
爷	ia8	少~
钵	pua3	
拨	pua3	
泼	pʰua3	
摩	mua2	
瓜	kua1	
挂	kua2	
卦	kua2	
芥	kua2	~菜
褂	kua2	~子
寡	kua2	ɕiu2~ma9，寡妇
夸	kʰua1	
阔	kʰua3	
花	xua1	
划	xua2	
化	xua2	
华	xua2	~山
□	xua2	~yŋ9，彩虹
法	xua3	
血	xua3	
发	xua3	
□	xua3	~peŋ2，远指“那边”
华	xua8	中~
罚	xua9	
瓦	ua8	名
画	ua8	动
活	ua9	
拔	pɛ2	
瓶	pɛ9	
□	mɛ2	yɔŋ2~tɕyə2，蛤蟆
密	mɛ8	
抿	mɛ6	
大	tɛ1	~概
抵	tɛ3	
渧	tɛ3	
第	tɛ6	
题	tɛ9	
体	tʰɛ3	
□	nɛ3	凹
黏	nɛ6	
尼	nɛ8	~姑
荔	lɛ1	~枝
励	lɛ2	鼓~
礼	lɛ3	
励	lɛ3	鼓~
厘	lɛ9	
□	lɛ8	ua8li1~，瓦砾片
济	tsɛ1	~公
节	tsɛ3	
汁	tsɛ3	
笊	tsɛ3	~篱
齐	tsɛ9	
脐	tsʰɛ2	
涩	sɛ3	
塞	sɛ3	
锡	sɛ3	
□	sɛ3	木~，蚜虫
师	sɛ8	~父
漆	tɕʰɛ3	
□	kɛ8	iu2~tɕyə2，孵小鸡
□	kɛ8	~ma2tsə2，荠菜
□	kʰɛ3	掐
□	kʰɛ8	~sai1，河里的螺蛳
□	xɛ1	xɛ1sui3,洒水
按	ɛ3	
鞋	ɛ8	
别	pie1	~人
币	pie3	
毙	pie3	
弊	pie3	
毙	pie3	枪~
□	pʰie3	用手劈开
撇	pʰie3	
废	pʰie6	残~
灭	mie9	
铁	tʰie3	
	nie3	夹菜
例	lie3	
列	lie9	
烈	lie9	
支	tɕie1	
芝	tɕie1	
□	tɕie1	su9~，子嗣
枝	tɕie1	桂~
浙	tɕie1	~江
制	tɕie1	~度
□	tɕie2	ŋan2~蝉
脂	tɕie2	~肪
接	tɕie3	
疖	tɕie3	
□	tɕie8	tɕʰy2~，舌头
栀	tɕie8	~tsu3，栀子
砌	tɕʰie1	~砖
湿	tɕʰie2	湿
施	ɕie2	措~
势	ɕie6	趋~
穴	ɕie9	~位
及	kie2	~时
劫	kie3	
吉	kie3	
结	kie3	
极	kie9	
杰	kie9	
□	kʰie3	小缺口
惠	xie3	
慧	xie3	
系	xie2	中文~
夹	ŋie3	动
议	ŋie6	会~
义	ŋie6	情~
业	ŋie9	
严	ŋie9	
□	ie3	撕
易	ie6	容~
移	ie9	
叶	ie9	
逼	pei3	
笔	pei3	
滗	pei3	
僻	pʰei3	
匹	pʰei3	
职	tɕei3	
七	tɕʰei3	
□	tɕʰei2	mi2~，睡觉
熄	ɕei3	
息	ɕei3	
式	ɕei3	
适	ɕei3	
释	ɕei3	
失	ɕei3	
惜	ɕei3	
激	kei3	
急	kei3	
级	kei3	一年~
□	kʰei3	liaŋ8~，台阶
吸	xei3	
揖	ei2	作~
益	ei3	
乙	ei3	
一	ei3	
北	pə3	
卜	pə6	萝~
迫	pʰə3	
魄	pʰə3	
□	pʰə9	或者
墨	mə3	
□	mə8	~sə2tə3，不舍得
多	tə1	~余
得	tə2	
德	tə2	
特	tə2	~殊
竖	tə6	
直	tə6	
戴	tə9	
踢	tʰə3	
剔	tʰə3	
□	nə8	踩
□	nə9	逆
来	lə2	
萝	lə2	~卜
力	lə8	
□	lə6	ky2~，锉刀
栽	tsə1	
责	tsə1	~任
搓	tsʰə1	
菜	tsʰə2	
侧	tsʰə3	
测	tsʰə3	
策	tsʰə3	
撤	tsʰə3	
贼	tsʰə6	
舍	sə2	~得
色	sə3	
刻	kʰə3	
客	kʰə3	
葛	kə1	诸~亮
革	kə3	
□	xə1	喘
□	xə6	累
辣	tyə8	
獭	tʰyə9	
朱	tɕyə1	
硃	tɕyə1	
借	tɕyə1	~口
际	tɕyə2	
□	tɕyə2	nɔi8~，哪里
纸	tɕyə3	
□	tɕyə3	mui1~，一些
	tɕyə3	mui1~，女孩子
□	tɕyə3	kʰɔ1~，缸
□	tɕyə3	tsau2~，麻雀
□	tɕyə3	韭菜，xiu2~
	tɕyə3	seu1~，丈夫
□	tɕyə3	kiŋ2~，小孩子
指	tɕyə3	手~
吹	tɕʰyə1	
炊	tɕʰyə1	
□	ɕyə1	~pʰi8，翅膀
税	ɕyə2	
雪	ɕyə3	
说	ɕyə3	小~
髓	ɕyə3	骨~
□	ɕyə9	砍
寄	kyə2	
决	kyə3	
诀	kyə3	
饥	kyə8	
徛	kyə8	站立
	kyə8	陡
□	kyə8	~kʰə2lə2，起来
开	kʰyə1	
□	kʰyə1	pu9~，葫芦瓢
快	kʰyə2	
岁	kʰyə2	
剧	kʰyə9	
歇	xyə2	
鹅	ŋyə2	
蚁	ŋyə8	
月	ŋyə8	
箬	ŋyə8	
外	ŋyə6	
魏	ŋyə6	
艾	ŋyə6	
箬	ŋyə9	
弱	ŋyə9	
蛇	yə2	
蜈	yə2	~蚣
药	yə8	
□	yə8	摔
约	yə9	
蕨	yə9	
越	yə9	
播	pɔ1	传~
报	pɔ2	
蝠	pɔ2	蝙~
婆	pɔ2	外~
鲍	pɔ2	~鱼
玻	pɔ2	~璃
宝	pɔ3	
□	pɔ3	换
发	pɔ3	头~
部	pɔ3	干~
薄	pɔ8	荷~
薄	pɔ8	厚~
□	pɔ8	~lɔ2，玉米
保	pɔ9	
波	pʰɔ1	
坡	pʰɔ1	
莓	pʰɔ1	
告	pʰɔ2	讣~
拍	pʰɔ3	
抱	pʰɔ6	
□	pʰɔ6	浮
袍	pʰɔ9	
菠	pʰɔ8	~菜
□	mɔ2	无
毛	mɔ2	
膜	mɔ3	
戊	mɔ6	
帽	mɔ6	
幕	mɔ9	
刀	tɔ1	
桌	tɔ1	
倒	tɔ2	~车
导	tɔ2	领~
岛	tɔ3	
倒	tɔ3	打~
卓	tɔ3	
啄	tɔ3	
躺	tɔ3	
□	tɔ8	远
道	tɔ8	~理
	tɔ6	ti8~，迟到
□	tɔ9	拿
掇	tɔ9	
桃	tʰɔ2	
涛	tʰɔ2	
套	tʰɔ2	
□	tʰɔ2	ɕy1~，认识
讨	tʰɔ3	
烫	tʰɔ3	
托	tʰɔ3	
□	tʰɔ8	阿弥~佛
挪	nɔ2	
□	nɔ6	东西
□	nɔ6	kiŋ8kua8~，丝瓜瓤
罗	lɔ2	
牢	lɔ2	
老	lɔ2	~师
啰	lɔ2	~嗦
楼	lɔ2	~梯
垃	lɔ2	~圾
□	lɔ2	pɔ8~，玉米
□	lɔ2	teŋ2~，丝瓜
□	lɔ3	teŋ2~，和尚
牢	lɔ8	
落	lɔ8	~下
□	lɔ8	~ɕia3，喜鹊
洛	lɔ8	~阳
□	lɔ8	~lu1，阴沟
□	lɔ6	寻，找
脏	tsɔ1	肮~
作	tsɔ1	~揖
槽	tsɔ2	
左	tsɔ3	
皂	tsɔ3	
枣	tsɔ3	红~
曹	tsɔ8	
早存	tsɔ9	~mi8，粳米
□	tsʰɔ1	荤
□	tsʰɔ1	一~钱，一块钱
措	tsʰɔ1	~施
错	tsʰɔ2	
撮	tsʰɔ3	
操	tsʰɔ6	曹~，tsɔ8~
梭	sɔ1	
□	sɔ1	缲边
所	sɔ1	~谓
嗦	sɔ1	啰~
□	sɔ1	~xu3，老虎
□	sɔ2	手指圆纹
脶	sɔ2	
蟀	sɔ2	蟋~
□	sɔ2	tsʰau2~木屑
潲	sɔ2	~水，猪食
嫂	sɔ3	
锁	sɔ3	
索	sɔ3	
镯	sɔ6	
歌	kɔ1	
糕	kɔ1	
膏	kɔ1	
篙	kɔ1	
□	kɔ1	~lɔ9，刚才
告	kɔ2	
郭	kɔ2	
稿	kɔ3	
骨	kɔ3	
各	kɔ3	
鸽	kɔ3	白~
高	kɔ3	~兴
哥	kɔ6	
搁	kɔ9	
□	kɔ8	~mɔŋ2tʰeu2,肩膀
爊	kʰɔ1	
□	kʰɔ1	~tɕyə3，缸
考	kʰɔ2	
去	kʰɔ2	
确	kʰɔ2	
鼾	kʰɔ2	
□	kʰɔ2	təŋ3~，等于
□	kʰɔ2	~uai8，快乐
可	kʰɔ3	
藿	kʰɔ3	
曲	kʰɔ3	武~
靠	kʰɔ6	
铐	kʰɔ6	
敲	kʰɔ9	
效	xɔ2	~率
□	xɔ2	~kʰui2，刺猬
好	xɔ2	~事
学	xɔ2	~徒
贺	xɔ3	
荷	xɔ6	薄~
号	xɔ6	~叫
浩	xɔ6	
毫	xɔ9	
何	xɔ9	
核	xɔ9	~对
阿	xɔ8	~胶
荷	xɔ8	~花
熬	ŋɔ2	
傲	ŋɔ3	
岳	ŋɔ8	
饿	ŋɔ6	
岳	ŋɔ9	
乐	ŋɔ9	
鹤	ŋɔ9	
庵	ɔ1	
澳	ɔ1	~门
暗	ɔ2	
鸭	ɔ2	
□	ɔ3	乖
袄	ɔ3	
恶	ɔ3	作~
高	ɔ9	形
肮	ɔ8	~脏
□	ɔ8	太~，太阳
部	puɔ2	干~
布	puɔ6	宣~
务	muɔ6	
冒	muɔ6	
磨	muɔ6	名
模	muɔ8	~范
过	kuɔ1	~滤
果	kuɔ3	
国	kuɔ3	
科	kʰuɔ1	
课	kʰuɔ2	
握	uɔ3	
拜	pai2	
摆	pai2	
八	pai2	
簸	pai2	~箕
□	pai2	ma8~tsʰu3，疟疾
败	pai6	
排	pai9	
派	pʰai2	
杮	pʰai3	木屑
□	pʰai3	miŋ1~，脸颊
稗	pʰai6	
买	mai3	
卖	mai6	
□	mai8	ai8~ai3，会不会
左	mai8	~手
逮	tai2	~捕
大	tai2	~学
底	tai3	
台	tai9	天~
胎	tʰai1	
苔	tʰai1	舌~
太	tʰai1	~阳
替	tʰai2	
蹄	tʰai2	
态	tʰai6	
沓	tʰai6	
叠	tʰai6	
碟	tʰai6	
耐	nai1	~心
□	nai2	土
乃	nai3	
□	nai3	nu2~,妈妈
犁	lai2	
赖	lai6	
斋	tsai1	
再	tsai2	~来
截	tsai6	
□	tsai9	多
差	tsʰai1	
蔡	tsʰai2	
彩	tsʰai3	
西	sai1	
狮	sai1	
蛳	sai1	
细	sai2	
小	sai2	
洗	sai3	
捞	sai3	
犀	sai8	~溪，地名
师	sai8	~父
该	kai1	
街	kai1	
鸡	kai1	
届	kai2	
界	kai2	
疥	kai2	
概	kai2	大~
改	kai3	
戒	kai3	
解	kai3	~释
系	kai8	绑
溪	kʰai1	
□	kʰai1	啃
楷	kʰai3	
□	kʰai9	给
海	xai3	
蟹	xai6	
矮	ai3	
□	ai8	会
鞋	ai9	
簸	puai2	
钹	puai8	
破	pʰuai2	
剖	pʰuai2	
劈	pʰuai2	
磨	muai2	动
痳	muai2	
麻	muai2	~袋
袜	muai8	
大	tuai6	~小
带	tuai9	
拖	tʰuai1	
灾	tsuai1	
□	tsuai8	蟑螂
坐	tsuai6	
座	tsuai6	
豺	tsuai9	
才	tsuai9	
财	tsuai9	
沙	suai1	
砂	suai8	~纸
怪	kuai2	
拐	kuai2	~杖
坏	xuai1	~人
亥	xuai6	
害	xuai6	
□	uai2	tʰɔ2uai8愉快，快乐
我	uai8	
划	uai9	
□	uai9	割
杯	pui1	
飞	pui1	
贝	pui2	
赔	pui2	
肥	pui2	
辈	pui8	上~
狈	pui8	狼~
背	pui8	~书
培	pui8	~训
□	pui8	~ia3，蝴蝶
焙	pui6	
陪	pui9	
倍	pui9	
胚	pʰui1	
坯	pʰui1	
佩	pʰui1	~服
皮	pʰui2	
屁	pʰui2	
痱	pʰui2	
□	pʰui2	ŋaŋ2~,悬崖
啡	pʰui6	吐痰
配	pʰui6	
雹	pʰui6	
被	pʰui6	名
□	mui1	~tɕyə3，一些
梅	mui2	
煤	mui2	
枚	mui2	
媒	mui2	
糜	mui2	
霉	mui2	
楣	mui2	
每	mui3	
尾	mui3	
妹	mui6	
危	mui8	~险
坠	tui6	
队	tui6	
□	tui6	冰锥
锤	tʰui2	
槌	tʰui2	
类	lui6	分~
蕊	lui9	
最	tsui6	
鸠	tsui6	斑~
醉	tsui9	
□	tsʰui1	tsʰui1mi32~米,糯米
□	tsʰui2	嘴
翠	tsʰui6	
水	sui3	
赎	sui8	
规	kui1	
龟	kui1	
归	kui1	当~
癸	kui2	
逵	kui2	
贵	kui2	
□	kui2	~tɕia2,几个
馃	kui3	
诡	kui3	
□	kui8	挖
规	kui8	~矩
柜	kui6	
桧	kui6	秦~
跪	kui9	
亏	kʰui1	
豨	kʰui3	
徽	xui1	国~
盔	xui1	头~
悔	xui2	
晦	xui2	
灰	xui2	~色
指	xui2	~挥
恢	xui2	~复
□	xui2	~tsuŋ2，包粽
火	xui3	
茴	xui8	~香
汇	xui6	
□	xui6	佛
会	xui6	开~
回	xui9	
威	ui1	
侮	ui1	~辱
委	ui1	~托
□	ui2	不
□	ui2	禾苗
谓	ui3	所~
卫	ui6	
位	ui6	
伟	ui6	
胃	ui6	
慰	ui6	安~
为	ui9	
沸	ui9	
包	peu1	
饱	peu3	
否	pʰeu1	~tiaŋ2，~定
泡	pʰeu2	~茶
炮	pʰeu2	
泡	pʰeu6	水~
鳔	pʰeu6	ŋy2~，鱼~
猫	meu1	
茂	meu2	
贸	meu2	外~
某	meu3	
亩	meu3	
谋	meu9	
雕	teu1	
兜	teu1	
□	teu1	kiŋ8~，附近
斗	teu3	升
斗	teu6	
豆	teu6	
痘	teu6	
偷	tʰeu1	
头	tʰeu2	
透	tʰeu2	
□	tʰeu2	~saŋ1，牲畜
㪗	tʰeu3	
□	neu2	ui2neu8,割水稻后留下的根
□	neu6	坳
楼	leu2	
料	leu3	塑~
漏	leu6	
搂	leu9	
糟	tseu1	
蚤	tseu3	u2~,跳蚤
□	tseu6	ian2~，燕子
凑	tsʰeu2	
臭	tsʰeu2	
草	tsʰeu3	
搜	seu1	
