繁	简	国际音标	吴语拼音	备注	调类	调值
睬	睬	tsʰe44	tshe3		3	44
菜	菜	tsʰe35	tshe5		5	35
才	才	ze22	ze2		2	22
財	财	ze22	ze2		2	22
材	材	ze22	ze2		2	22
裁	裁	ze22	ze2		2	22
在	在	ze213	ze4		4	213
載	载	ze13	ze6	满~。	6	13
賽	赛	sø35	soe5		5	35
該	该	ke53	ke1		1	53
改	改	ke44	ke3		3	44
概	概	ke44	ke3		3	44
開	开	kʰe53	khe1		1	53
慨	慨	kʰe44	khe3		3	44
礙	碍	ŋe13	nge6		6	13
隑	隑	ge13	ge6	倚靠。	6	13
戤	戤	ge13	ge6	王家~（上海松江地名）。同“隑”。	6	13
海	海	he44	he3		3	44
孩	孩	ɦe22	ghe2		2	22
哀	哀	e53	e1		1	53
愛	爱	e35	e5		5	35
貝	贝	ɓe35	pe5		5	35
沛	沛	pʰe35	phe5		5	35
帶	带	ɗɑ35	ta5		5	35
太	太	tʰɑ35	tha5		5	35
泰	泰	tʰɑ35	tha5		5	35
大	大	dɑ13	da6	~王。	6	13
奈	奈	nɑ13	na6	【白读】~何桥。	6	13
奈	奈	ne13	ne6	【文读】	6	13
瘌	瘌	læʔ23	laeq8		8	23
賴	赖	lɑ13	la6		6	13
蔡	蔡	tsʰɑ35	tsha5		5	35
蓋	盖	ke44	ke3		3	44
艾	艾	ŋe13	nge6		6	13
害	害	ɦe13	ghe6		6	13
拜	拜	ɓɑ35	pa5		5	35
排	排	bɑ22	ba2		2	22
埋	埋	mɑ22	ma2		2	22
齋	斋	tsɑ53	tsa1		1	53
豺	豺	zɑ22	za2		2	22
皆	皆	tɕiɑ53	cia1	【文读】	1	53
階	阶	tɕiɑ53	cia1	【文读】~段。	1	53
介	介	tɕiɑ35	cia5	【文读】~绍。	5	35
界	界	tɕiɑ35	cia5	【文读】~线。	5	35
戒	戒	tɕiɑ35	cia5	【文读】~严。	5	35
屆	届	tɕiɑ35	cia5	【文读】~时；第一~。	5	35
階	阶	kɑ53	ka1	【白读】	1	53
介	介	kɑ35	ka5	【白读】	5	35
界	界	kɑ35	ka5	【白读】	5	35
戒	戒	kɑ35	ka5	【白读】	5	35
屆	届	kɑ35	ka5	【白读】	5	35
械	械	ɦiɛ13	yae6	【文读】机~。	6	13
楷	楷	kʰɑ44	kha3		3	44
挨	挨	ɑ53	a1		1	53
擺	摆	ɓɑ44	pa3		3	44
派	派	pʰɑ35	pha5		5	35
牌	牌	bɑ22	ba2		2	22
罷	罢	bɑ213	ba4		4	213
稗	稗	bɑ13	ba6		6	13
買	买	mɑ213	ma4		4	213
賣	卖	mɑ13	ma6		6	13
奶	奶	nɑ213	na4	【白读】	4	213
奶	奶	ne213	ne4	【文读】	4	213
債	债	tsɑ35	tsa5		5	35
差	差	tsʰɑ53	tsha1	出~；~头。	1	53
釵	钗	tsʰiɔ53	tshiau1		1	53
柴	柴	zɑ22	za2		2	22
篩	筛	sɑ53	sa1		1	53
曬	晒	siɔ35	siau5		5	35
佳	佳	tɕiɑ53	cia1		1	53
街	街	kɑ53	ka1		1	53
解	解	kɑ44	ka3	【白读】	3	44
解	解	tɕiɑ44	cia3	【文读】~放。	3	44
解	解	kɑ35	ka5	押~。	5	35
解	解	ɦɑ13	gha6	姓。	6	13
解	解	gɑ213	ga4	~开；~鞋带；~山河。	4	213
涯	涯	ɦiɑ22	ya2		2	22
鞋	鞋	ɦɑ22	gha2		2	22
蟹	蟹	hɑ44	ha3		3	44
矮	矮	ɑ44	a3		3	44
隘	隘	e35	e5		5	35
隘	隘	kɑ35	ka5	多见于宁波地名。	5	35
敗	败	bɑ13	ba6		6	13
邁	迈	mɛ13	mae6		6	13
弊	弊	bi13	bi6		6	13
幣	币	bi13	bi6		6	13
斃	毙	bi13	bi6		6	13
例	例	li13	li6		6	13
厲	厉	li13	li6		6	13
祭	祭	tsi35	tsi5		5	35
際	际	tsi35	tsi5		5	35
制	制	tsɿ35	tsy5		5	35
製	制	tsɿ35	tsy5		5	35
世	世	sɿ35	sy5		5	35
