繁	简	国际音标	吴语拼音	备注	调类	调值
只	只	tsəʔ5	tseq7	~是；~有；~不过。	7	5
隻	只	tsɑk5	tsaq7	量词。	7	5
紙	纸	tsɿ44	tsy3		3	44
施	施	sɿ53	sy1		1	53
翅	翅	tsʰɿ35	tshy5		5	35
是	是	zɿ213	zy4		4	213
氏	氏	zɿ213	zy4		4	213
兒	儿	ȵi22	gni2	【白读】	2	22
兒	儿	əl22	er2	【文读】~童。	2	22
兒	儿	ŋ̍22	ng2	词后作儿尾：女~。	2	22
寄	寄	tɕi35	ci5	【文读】	5	35
寄	寄	ke35	ke5	【白读】	5	35
企	企	tɕʰi44	chi3		3	44
奇	奇	dʑi22	ji2		2	22
騎	骑	dʑi22	ji2	~马。	2	22
騎	骑	dʑi13	ji6	坐~。	6	13
岐	岐	dʑi22	ji2		2	22
歧	歧	dʑi22	ji2		2	22
技	技	dʑi213	ji4		4	213
妓	妓	dʑi213	ji4		4	213
宜	宜	ȵi22	gni2		2	22
儀	仪	ȵi22	gni2		2	22
儀	仪	ɦi22	yi2	~门；正~（江苏昆山地名）。	2	22
蟻	蚁	ȵi213	gni4		4	213
義	义	ȵi13	gni6		6	13
議	议	ȵi13	gni6		6	13
誼	谊	ȵi13	gni6		6	13
犧	牺	ɕi53	shi1		1	53
漪	漪	i53	i1		1	53
猗	猗	i53	i1		1	53
猗	猗	dʑi22	ji2	古~园（嘉定南翔的一座园林）。	2	22
倚	倚	i44	i3		3	44
椅	椅	y44	iu3		3	44
移	移	ɦi22	yi2		2	22
易	易	ɦi13	yi6		6	13
悲	悲	ɓe53	pe1		1	53
屄	屄	ɓi53	pi1		1	53
比	比	ɓi44	pi3		3	44
泌	泌	ɓi35	pi5		5	35
秘	秘	ɓi35	pi5		5	35
庇	庇	ɓi35	pi5		5	35
痺	痺	bi13	bi6	同“痹”。	6	13
痹	痹	bi13	bi6		6	13
屁	屁	pʰi35	phi5		5	35
備	备	be13	be6		6	13
鼻	鼻	bəʔ23	beq8		8	23
眉	眉	mi22	mi2		2	22
湄	湄	ȵi22	gni2	~浦桥（上海宝山地名）；~浦（上海宝山境内的一条河流）。	2	22
湄	湄	me22	me2		2	22
楣	楣	me22	me2		2	22
美	美	me44	me3		3	44
地	地	di13	di6		6	13
尼	尼	ȵi22	gni2		2	22
膩	腻	ȵi13	gni6		6	13
梨	梨	li22	li2		2	22
履	履	li213	li4		4	213
利	利	li13	li6		6	13
痢	痢	li13	li6		6	13
資	资	tsɿ53	tsy1		1	53
姿	姿	tsɿ53	tsy1		1	53
諮	咨	tsɿ53	tsy1		1	53
姊	姊	tsɿ44	tsy3	【文读】	3	44
次	次	tsʰɿ35	tshy5		5	35
瓷	瓷	zɿ22	zy2		2	22
自	自	zɿ13	zy6		6	13
私	私	sɿ53	sy1		1	53
死	死	sɿ44	sy3	【文读】~亡。	3	44
死	死	si44	si3	【白读】~人；~活；~尸。	3	44
四	四	sɿ35	sy5		5	35
致	致	tsɿ35	tsy5	导~。	5	35
緻	致	tsɿ35	tsy5	标~。	5	35
遲	迟	zɿ22	zy2		2	22
稚	稚	zɿ13	zy6		6	13
師	师	sɿ53	sy1		1	53
獅	狮	sɿ53	sy1		1	53
脂	脂	tsɿ53	tsy1		1	53
旨	旨	tsɿ44	tsy3		3	44
指	指	tsɿ44	tsy3		3	44
至	至	tsɿ35	tsy5		5	35
示	示	zɿ13	zy6		6	13
屍	尸	sɿ53	sy1		1	53
視	视	zɿ13	zy6		6	13
二	二	ȵi13	gni6	【白读】	6	13
二	二	əl13	er6	【文读】	6	13
飢	饥	tɕi53	ci1		1	53
器	器	tɕʰi35	chi5		5	35
棄	弃	tɕʰi35	chi5		5	35
夷	夷	ɦi22	yi2		2	22
姨	姨	ɦi22	yi2		2	22
你	你	ni53	ni1		1	53
狸	狸	li22	li2		2	22
李	李	li213	li4		4	213
裡	里	li213	li4		4	213
理	理	li213	li4		4	213
鯉	鲤	li213	li4		4	213
吏	吏	li13	li6		6	13
滋	滋	tsɿ53	tsy1		1	53
子	子	tsɿ44	tsy3		3	44
慈	慈	zɿ22	zy2		2	22
磁	磁	zɿ22	zy2		2	22
字	字	zɿ13	zy6		6	13
司	司	sɿ53	sy1		1	53
絲	丝	sɿ53	sy1		1	53
思	思	sɿ53	sy1	~考；~念。	1	53
思	思	sɿ35	sy5	意~；~绪；心~。	5	35
辭	辞	zɿ22	zy2		2	22
詞	词	zɿ22	zy2		2	22
祠	祠	zɿ22	zy2		2	22
似	似	zɿ213	zy4		4	213
寺	寺	zɿ13	zy6		6	13
飼	饲	zɿ13	zy6		6	13
嗣	嗣	zɿ13	zy6		6	13
置	置	tsɿ35	tsy5		5	35
恥	耻	tsʰɿ44	tshy3		3	44
持	持	zɿ22	zy2		2	22
治	治	zɿ13	zy6		6	13
廁	厕	tsʰɿ35	tshy5		5	35
士	士	zɿ213	zy4		4	213
柿	柿	zɿ213	zy4		4	213
事	事	zɿ13	zy6		6	13
史	史	sɿ44	sy3		3	44
使	使	sɿ44	sy3		3	44
使	使	sɿ35	sy5	出~；~者。	5	35
駛	驶	sɿ44	sy3		3	44
之	之	tsɿ53	tsy1		1	53
芝	芝	tsɿ53	tsy1		1	53
止	止	tsɿ44	tsy3		3	44
址	址	tsɿ44	tsy3		3	44
志	志	tsɿ35	tsy5		5	35
痣	痣	tsɿ35	tsy5		5	35
齒	齿	tsʰɿ44	tshy3		3	44
詩	诗	sɿ53	sy1		1	53
始	始	sɿ44	sy3		3	44
試	试	sɿ35	sy5		5	35
時	时	zɿ22	zy2		2	22
蒔	莳	zɿ22	zy2	~秧（插秧）。	2	22
市	市	zɿ213	zy4		4	213
恃	恃	zɿ213	zy4		4	213
而	而	əl22	er2	【文读】	2	22
耳	耳	ȵi213	gni4	【白读】~朵；木~。	4	213
耳	耳	əl213	er4	【文读】洗~恭听。	4	213
基	基	tɕi53	ci1		1	53
己	己	tɕi44	ci3		3	44
紀	纪	tɕi35	ci5		5	35
紀	纪	tɕi44	ci3		3	44
記	记	tɕi35	ci5		5	35
欺	欺	tɕʰi53	chi1		1	53
起	起	tɕʰi44	chi3		3	44
期	期	dʑi22	ji2		2	22
其	其	dʑi22	ji2		2	22
旗	旗	dʑi22	ji2		2	22
棋	棋	dʑi22	ji2		2	22
忌	忌	dʑi13	ji6		6	13
跽	跽	dʑi213	ji4		4	213
疑	疑	ȵi22	gni2		2	22
喜	喜	ɕi44	shi3		3	44
醫	医	i53	i1		1	53
意	意	i35	i5		5	35
已	已	i44	i3		3	44
以	以	i44	i3		3	44
異	异	ɦi13	yi6		6	13
幾	几	tɕi53	ci1	~乎。	1	53
幾	几	tɕi44	ci3	~个。	3	44
機	机	tɕi53	ci1		1	53
譏	讥	tɕi53	ci1		1	53
飢	饥	tɕi53	ci1		1	53
豈	岂	tɕʰi44	chi3		3	44
氣	气	tɕʰi35	chi5		5	35
汽	汽	tɕʰi35	chi5		5	35
希	希	ɕi53	shi1		1	53
稀	稀	ɕi53	shi1		1	53
衣	衣	i53	i1		1	53
依	依	i53	i1		1	53
嘴	嘴	tsɿ44	tsy3	【白读】	3	44
隨	随	zø22	zoe2		2	22
吹	吹	tsʰɿ53	tshy1	【白读】	1	53
吹	吹	tsʰø53	tshoe1	【文读】	1	53
炊	炊	tsʰɿ53	tshy1	【白读】	1	53
炊	炊	tsʰø53	tshoe1	【文读】	1	53
垂	垂	zø22	zoe2		2	22
睡	睡	zø13	zoe6		6	13
瑞	瑞	zø13	zoe6		6	13
規	规	kue53	kue1		1	53
詭	诡	kue44	kue3		3	44
虧	亏	tɕʰy53	chiu1	【白读】幸~；吃~。	1	53
虧	亏	kʰue53	khue1	【文读】~本；~损。	1	53
跪	跪	dʑy213	jiu4	【白读】	4	213
跪	跪	gue213	gue4	【文读】	4	213
危	危	ŋue22	ngue2		2	22
偽	伪	βe13	ve6		6	13
毀	毁	ɸe44	fe3		3	44
委	委	βe44	ve3		3	44
餵	喂	y35	iu5	【白读】~饭。	5	35
餵	喂	βe35	ve5	【文读】~养；叹词。	5	35
為	为	βe22	ve2	作~。	2	22
為	为	βe13	ve6	因~。	6	13
壘	垒	le213	le4		4	213
類	类	le13	le6		6	13
淚	泪	li13	li6		6	13
醉	醉	tsø35	tsoe5		5	35
翠	翠	tsʰø35	tshoe5		5	35
雖	虽	sø53	soe1		1	53
隧	隧	zø13	zoe6		6	13
追	追	tsø53	tsoe1		1	53
槌	槌	zɿ22	zy2	【白读】棒~。	2	22
鎚	鎚	zɿ22	zy2	【白读】棒~。	2	22
衰	衰	se53	se1		1	53
衰	衰	tsʰe53	tshe1	乡音无改鬓毛~。	1	53
揣	揣	tsʰe53	tshe1		1	53
摔	摔	se53	se1		1	53
帥	帅	se35	se5		5	35
錐	锥	tsɿ53	tsy1	【白读】尖头工具：~钻。	1	53
錐	锥	tsø53	tsoe1	【文读】~体。	1	53
水	水	sɿ44	sy3	【白读】	3	44
水	水	sø44	soe3	【文读】	3	44
誰	谁	zø22	zoe2		2	22
龜	龟	tɕy53	ciu1	【白读】乌~。	1	53
龜	龟	kue53	kue1	【文读】李~年。	1	53
龜	龟	tɕioŋ53	cion1		1	53
軌	轨	kue44	kue3		3	44
氿	氿	tɕiɤ44	cieu3	宜兴湖泊名：西~，团~，东~。	3	44
癸	癸	kue44	kue3		3	44
季	季	tɕi35	ci5		5	35
葵	葵	gue22	gue2		2	22
櫃	柜	dʑy213	jiu4	【白读】~台。	4	213
櫃	柜	gue213	gue4	【文读】	4	213
位	位	βe13	ve6		6	13
維	维	βi22	vi2		2	22
唯	唯	ɦi22	yi2	【白读】~亭（江苏苏州地名）。	2	22
唯	唯	βi22	vi2	【文读】	2	22
惟	惟	βi22	vi2		2	22
遺	遗	ɦi22	yi2		2	22
飛	飞	ɸi53	fi1		1	53
非	非	ɸi53	fi1		1	53
匪	匪	ɸi44	fi3		3	44
妃	妃	ɸi53	fi1		1	53
費	费	ɸi35	fi5	~用。	5	35
費	费	ɓi35	pi5	~县（山东地名）。	5	35
費	费	βi13	vi6	姓。	6	13
肥	肥	βi22	vi2		2	22
肥	肥	bi22	bi2	~皂。	2	22
微	微	mi22	mi2	【白读】一~~。	2	22
微	微	βi22	vi2	【文读】~小；~波；~信。（注意：“微信”不可以读成“威信”。）	2	22
尾	尾	mi213	mi4	【白读】	4	213
尾	尾	βi213	vi4	【文读】结~。	4	213
尾	尾	ȵi213	gni4	~巴。	4	213
未	未	βi13	vi6		6	13
味	味	mi13	mi6	【白读】~道。	6	13
味	味	βi13	vi6	【文读】~精。	6	13
歸	归	tɕy53	ciu1	【白读】姓。	1	53
歸	归	kue53	kue1	【文读】~去；~纳；回~。	1	53
鬼	鬼	tɕy44	ciu3	【白读】	3	44
鬼	鬼	kue44	kue3	【文读】装神弄~；~迷心窍。	3	44
魏	魏	ŋue13	ngue6		6	13
巍	巍	ŋue22	ngue2		2	22
巍	巍	ɦi22	yi2	~塔（江苏昆山地名）。	2	22
揮	挥	ɸe53	fe1		1	53
輝	辉	ɸe53	fe1		1	53
徽	徽	ɸe53	fe1		1	53
威	威	βe53	ve1		1	53
畏	畏	βe35	ve5		5	35
慰	慰	βe35	ve5		5	35
違	违	βe22	ve2		2	22
圍	围	ɦy22	yiu2	【白读】~巾。	2	22
圍	围	βe22	ve2	【文读】包~；~棋；~墙。	2	22
偉	伟	βe213	ve4		4	213
葦	苇	βe213	ve4		4	213
緯	纬	ɦy213	yiu4	【白读】~线；~纱。	4	213
緯	纬	βe213	ve4	【文读】经~；~度。	4	213
胃	胃	βe13	ve6		6	13
謂	谓	βe13	ve6		6	13
匯	汇	βe13	ve6	~集；~合。	6	13
褒	褒	ɓɔ53	pau1		1	53
寶	宝	ɓɔ44	pau3		3	44
保	保	ɓɔ44	pau3		3	44
堡	堡	ɓɔ44	pau3		3	44
堡	堡	ɓu44	pu3	【白读】~镇（上海崇明地名）。	3	44
報	报	ɓɔ35	pau5		5	35
袍	袍	bɔ22	bau2		2	22
抱	抱	bɔ213	bau4		4	213
暴	暴	bɔ13	bau6		6	13
毛	毛	mɔ22	mau2		2	22
冒	冒	mɔ13	mau6		6	13
帽	帽	mɔ13	mau6		6	13
刀	刀	ɗɔ53	tau1		1	53
島	岛	ɗɔ44	tau3		3	44
倒	倒	ɗɔ44	tau3		3	44
倒	倒	ɗɔ35	tau5		5	35
到	到	ɗɔ35	tau5		5	35
滔	滔	tʰɔ53	thau1		1	53
掏	掏	tʰɔ53	thau1		1	53
掏	掏	dɔ22	dau2		2	22
討	讨	tʰɔ44	thau3		3	44
套	套	tʰɔ35	thau5		5	35
濤	涛	dɔ22	dau2		2	22
桃	桃	dɔ22	dau2		2	22
逃	逃	dɔ22	dau2		2	22
陶	陶	dɔ22	dau2		2	22
道	道	dɔ213	dau4		4	213
稻	稻	dɔ213	dau4		4	213
導	导	dɔ13	dau6		6	13
盜	盗	dɔ13	dau6		6	13
腦	脑	nɔ213	nau4		4	213
惱	恼	nɔ213	nau4		4	213
撈	捞	lɔ53	lau1		1	53
勞	劳	lɔ22	lau2		2	22
牢	牢	lɔ22	lau2		2	22
老	老	lɔ213	lau4		4	213
老	老	lɔ53	lau1	【文读】~师；~兄。	1	53
澇	涝	lɔ13	lau6		6	13
遭	遭	tsɔ53	tsau1		1	53
糟	糟	tsɔ53	tsau1		1	53
早	早	tsɔ44	tsau3		3	44
棗	枣	tsɔ44	tsau3		3	44
灶	灶	tsɔ35	tsau5		5	35
操	操	tsʰɔ53	tshau1	姓；动词：~持，早~。	1	53
操	操	tsʰɔ35	tshau5	名词：节~，~守，情~。	5	35
草	草	tsʰɔ44	tshau3		3	44
糙	糙	tsʰɔ35	tshau5		5	35
曹	曹	zɔ22	zau2		2	22
槽	槽	zɔ22	zau2		2	22
皂	皂	zɔ213	zau4		4	213
造	造	zɔ213	zau4		4	213
騒	騒	sɔ53	sau1		1	53
掃	扫	sɔ44	sau3		3	44
嫂	嫂	sɔ44	sau3		3	44
高	高	kɔ53	kau1		1	53
膏	膏	kɔ53	kau1		1	53
糕	糕	kɔ53	kau1		1	53
羔	羔	kɔ53	kau1		1	53
稿	稿	kɔ44	kau3		3	44
告	告	kɔ35	kau5		5	35
考	考	kʰɔ44	khau3		3	44
烤	烤	kʰɔ44	khau3		3	44
靠	靠	kʰɔ35	khau5		5	35
熬	熬	ŋɔ22	ngau2		2	22
傲	傲	ŋɔ13	ngau6		6	13
好	好	hɔ44	hau3		3	44
好	好	hɔ35	hau5		5	35
豪	豪	ɦɔ22	ghau2		2	22
毫	毫	ɦɔ22	ghau2		2	22
號	号	ɦɔ22	ghau2		2	22
號	号	ɦɔ13	ghau6		6	13
襖	袄	ɔ44	au3		3	44
懊	懊	ɔ35	au5		5	35
奧	奥	ɔ35	au5		5	35
包	包	ɓɔ53	pau1		1	53
胞	胞	ɓɔ53	pau1		1	53
飽	饱	ɓɔ44	pau3		3	44
豹	豹	ɓɔ35	pau5		5	35
爆	爆	ɓɔ35	pau5	油~虾。	5	35
爆	爆	bɔ13	bau6	~炸。	6	13
拋	抛	pʰɔ53	phau1		1	53
泡	泡	pʰɔ53	phau1		1	53
泡	泡	pʰɔ35	phau5		5	35
砲	砲	pʰɔ35	phau5		5	35
炮	炮	pʰɔ35	phau5		5	35
炮	炮	bɔ22	bau2		2	22
跑	跑	bɔ22	bau2		2	22
鮑	鲍	bɔ213	bau4		4	213
刨	刨	bɔ13	bau6		6	13
貓	猫	mɔ22	mau2		2	22
貓	猫	mã22	man2	“猫”的儿化音。	2	22
茅	茅	mɔ22	mau2		2	22
錨	锚	mɔ22	mau2		2	22
卯	卯	mɔ213	mau4		4	213
鉚	铆	mɔ213	mau4		4	213
泖	泖	mɔ213	mau4	~口（浙江平湖地名）；~湾（上海金山地名）。	4	213
泖	泖	mo213	mo4	~港（上海松江地名）；横~头（上海金山地名）。	4	213
貌	貌	mɔ13	mau6		6	13
撓	挠	nɔ22	nau2		2	22
鬧	闹	nɔ13	nau6		6	13
罩	罩	tsɔ35	tsau5		5	35
抓	抓	tsɔ53	tsau1	【白读】~痒。	1	53
抓	抓	tsiɔ53	tsiau1	~牌。	1	53
抓	抓	tsɑ53	tsa1	【文读】~紧。	1	53
爪	爪	tsɔ44	tsau3		3	44
找	找	tsɔ44	tsau3		3	44
抄	抄	tsʰɔ53	tshau1		1	53
炒	炒	tsʰɔ44	tshau3		3	44
吵	吵	tsʰɔ44	tshau3		3	44
巢	巢	ziɔ22	ziau2		2	22
嘲	嘲	zɔ22	zau2	~笑。	2	22
梢	梢	sɔ53	sau1		1	53
捎	捎	sɔ53	sau1		1	53
稍	稍	sɔ53	sau1		1	53
交	交	kɔ53	kau1	【白读】	1	53
交	交	tɕiɔ53	ciau1	【文读】~通。	1	53
郊	郊	tɕiɔ53	ciau1	【文读】~区。	1	53
膠	胶	kɔ53	kau1	【白读】~水。	1	53
膠	胶	tɕiɔ53	ciau1	【文读】~州（山东地名）。	1	53
教	教	kɔ53	kau1	~书。	1	53
絞	绞	kɔ44	kau3	【白读】~圈（一种本地传统房屋形式）。	3	44
絞	绞	tɕiɔ44	ciau3	【文读】~刑。	3	44
絞	绞	gɔ213	gau4	~丝旁；~捩棒（麻花）。	4	213
狡	狡	tɕiɔ44	ciau3	【文读】~猾。	3	44
攪	搅	kɔ44	kau3	【白读】	3	44
攪	搅	tɕiɔ44	ciau3	【文读】	3	44
攪	搅	gɔ213	gau4	同“搞”。	4	213
搞	搞	gɔ213	gau4	同“搅”。	4	213
教	教	kɔ35	kau5	【白读】~化。	5	35
教	教	tɕiɔ35	ciau5	【文读】~育；~堂。	5	35
酵	酵	kɔ35	kau5	【白读】发~。	5	35
酵	酵	tɕiɔ35	ciau5	【文读】~素。	5	35
校	校	kɔ35	kau5	【白读】~正；~准；~秤。	5	35
校	校	tɕiɔ35	ciau5	【文读】~对；上~。	5	35
校	校	ɦiɔ13	yau6	【文读】学~；~长。	6	13
較	较	tɕiɔ35	ciau5		5	35
敲	敲	kʰɔ53	khau1		1	53
巧	巧	kʰɔ44	khau3	【白读】~果。	3	44
巧	巧	tɕʰiɔ44	chiau3	【文读】	3	44
咬	咬	ŋɔ213	ngau4		4	213
孝	孝	hɔ35	hau5	【白读】戴~。	5	35
孝	孝	ɕiɔ35	shiau5	【文读】~顺。	5	35
淆	淆	ɦiɔ22	yau2		2	22
效	效	ɦiɔ13	yau6		6	13
鎬	镐	ɦɔ213	ghau4	~京（古都名，在今陕西西安）。	4	213
鎬	镐	kɔ44	kau3	挖土的工具：洋~。	3	44
標	标	ɓiɔ53	piau1		1	53
表	表	ɓiɔ44	piau3	~面。	3	44
飄	飘	pʰiɔ53	phiau1		1	53
漂	漂	pʰiɔ53	phiau1		1	53
漂	漂	pʰiɔ35	phiau5		5	35
票	票	pʰiɔ35	phiau5		5	35
嫖	嫖	biɔ22	biau2		2	22
苗	苗	miɔ22	miau2		2	22
描	描	miɔ22	miau2		2	22
秒	秒	miɔ213	miau4		4	213
渺	渺	miɔ213	miau4		4	213
廟	庙	miɔ13	miau6		6	13
妙	妙	miɔ13	miau6		6	13
燎	燎	liɔ22	liau2		2	22
療	疗	liɔ22	liau2		2	22
焦	焦	tsiɔ53	tsiau1		1	53
蕉	蕉	tsiɔ53	tsiau1		1	53
椒	椒	tsiɔ53	tsiau1		1	53
鍬	锹	tsʰiɔ53	tshiau1		1	53
繰	缲	tsʰiɔ53	tshiau1		1	53
消	消	siɔ53	siau1		1	53
宵	宵	siɔ53	siau1		1	53
霄	霄	siɔ53	siau1		1	53
銷	销	siɔ53	siau1		1	53
小	小	siɔ44	siau3		3	44
笑	笑	siɔ35	siau5		5	35
朝	朝	tsɔ53	tsau1	明~（明天）。	1	53
朝	朝	zɔ22	zau2	~鲜；~向；~代。	2	22
超	超	tsʰɔ53	tshau1		1	53
潮	潮	zɔ22	zau2		2	22
趙	赵	zɔ213	zau4		4	213
兆	兆	zɔ213	zau4		4	213
昭	昭	tsɔ53	tsau1		1	53
照	照	tsɔ35	tsau5		5	35
少	少	sɔ35	sau5	~年。	5	35
少	少	sɔ44	sau3	多~。	3	44
紹	绍	zɔ213	zau4		4	213
邵	邵	zɔ13	zau6		6	13
饒	饶	ȵiɔ22	gniau2		2	22
繞	绕	ȵiɔ13	gniau6		6	13
喬	乔	dʑiɔ22	jiau2		2	22
橋	桥	dʑiɔ22	jiau2		2	22
僑	侨	dʑiɔ22	jiau2		2	22
轎	轿	dʑiɔ13	jiau6		6	13
妖	妖	iɔ53	iau1		1	53
邀	邀	iɔ53	iau1		1	53
要	要	iɔ53	iau1	~求。	1	53
要	要	iɔ35	iau5	重~。	5	35
揺	揺	ɦiɔ22	yau2		2	22
謠	谣	ɦiɔ22	yau2		2	22
窯	窑	ɦiɔ22	yau2		2	22
姚	姚	ɦiɔ22	yau2		2	22
舀	舀	ɦiɔ213	yau4		4	213
耀	耀	ɦiɔ13	yau6		6	13
鷂	鹞	ɦiɔ13	yau6		6	13
刁	刁	ɗiɔ53	tiau1		1	53
貂	貂	ɗiɔ53	tiau1		1	53
雕	雕	ɗiɔ53	tiau1		1	53
鳥	鸟	ɗiɔ44	tiau3		3	44
鳥	鸟	ȵiɔ44	gniau3	模仿北方官话的发音。	3	44
釣	钓	ɗiɔ35	tiau5		5	35
吊	吊	ɗiɔ35	tiau5		5	35
挑	挑	tʰiɔ53	thiau1		1	53
跳	跳	tʰiɔ35	thiau5		5	35
條	条	diɔ22	diau2		2	22
調	调	diɔ22	diau2		2	22
調	调	diɔ13	diau6		6	13
掉	掉	diɔ13	diau6		6	13
尿	尿	ȵiɔ44	gniau3	~素；糖~病。	3	44
尿	尿	sɿ53	sy1	拆~（小便）。	1	53
遼	辽	liɔ22	liau2		2	22
聊	聊	liɔ22	liau2		2	22
撩	撩	liɔ22	liau2		2	22
寥	寥	liɔ22	liau2		2	22
了	了	liɔ213	liau4		4	213
料	料	liɔ13	liau6		6	13
蕭	萧	siɔ53	siau1		1	53
簫	箫	siɔ53	siau1		1	53
澆	浇	tɕiɔ53	ciau1		1	53
繳	缴	kɔ53	kau1	【白读】~费。	1	53
繳	缴	tɕiɔ53	ciau1	【文读】~枪。	1	53
叫	叫	tɕiɔ35	ciau5		5	35
叫	叫	kɔ35	kau5	~花子。	5	35
曉	晓	ɕiɔ44	shiau3	【文读】	3	44
曉	晓	hɔ44	hau3	【白读】~得。	3	44
麼	幺	iɔ53	iau1		1	53
剖	剖	pʰe35	phe5		5	35
剖	剖	pʰu35	phu5	~开。	5	35
某	某	mɤ213	meu4		4	213
母	母	mu53	mu1	【文读】~亲。	1	53
母	母	mu213	mu4		4	213
母	母	m̩213	m4	【白读】丈~；伯~。	4	213
姆	姆	mu213	mu4	【文读】保~。	4	213
姆	姆	m̩53	m1	【白读】~妈（母亲）。	1	53
畝	亩	mɤ213	meu4	【文读】~产。	4	213
畝	亩	m̩213	m4	【白读】面积单位。	4	213
拇	拇	mu53	mu1		1	53
茂	茂	mɤ13	meu6		6	13
貿	贸	mɤ13	meu6		6	13
兜	兜	ɗɤ53	teu1		1	53
鬥	斗	ɗɤ35	teu5		5	35
斗	斗	ɗɤ44	teu3		3	44
抖	抖	ɗɤ44	teu3		3	44
陡	陡	ɗɤ44	teu3		3	44
偷	偷	tʰɤ53	theu1		1	53
透	透	tʰɤ35	theu5		5	35
頭	头	dɤ22	deu2		2	22
投	投	dɤ22	deu2		2	22
豆	豆	dɤ13	deu6		6	13
樓	楼	lɤ22	leu2		2	22
漊	溇	lɤ22	leu2		2	22
婁	娄	lɤ22	leu2		2	22
婁	娄	liɤ22	lieu2	~塘（上海嘉定地名）。	2	22
浏	浏	liɤ22	lieu2		2	22
疁	疁	lɤ22	leu2	嘉定的别称。	2	22
摟	搂	lɤ213	leu4		4	213
簍	篓	lɤ22	leu2		2	22
漏	漏	lɤ13	leu6		6	13
陋	陋	lɤ13	leu6		6	13
走	走	tsɤ44	tseu3		3	44
奏	奏	tsɤ35	tseu5		5	35
湊	凑	tsʰɤ35	tsheu5		5	35
勾	勾	kɤ53	keu1		1	53
勾	勾	kɤ35	keu5	~当。	5	35
鉤	钩	kɤ53	keu1		1	53
溝	沟	kɤ53	keu1		1	53
狗	狗	kɤ44	keu3		3	44
夠	够	kɤ35	keu5		5	35
購	购	kɤ44	keu3		3	44
構	构	kɤ44	keu3		3	44
口	口	kʰɤ44	kheu3		3	44
扣	扣	kʰɤ35	kheu5		5	35
藕	藕	ŋɤ213	ngeu4		4	213
偶	偶	ŋɤ213	ngeu4		4	213
吼	吼	hɤ44	heu3		3	44
侯	侯	ɦɤ22	gheu2		2	22
喉	喉	ɦɤ22	gheu2		2	22
猴	猴	ɦɤ22	gheu2		2	22
厚	厚	ɦɤ213	gheu4		4	213
後	后	ɦɤ213	gheu4	前~；先~；以~。	4	213
后	后	ɦɤ213	gheu4	皇~。	4	213
候	候	ɦɤ13	gheu6		6	13
歐	欧	ɤ53	eu1		1	53
甌	瓯	ɤ53	eu1		1	53
嘔	呕	ɤ44	eu3	吐。	3	44
毆	殴	ɤ53	eu1		1	53
否	否	ɸɤ44	feu3		3	44
富	富	ɸu35	fu5		5	35
副	副	ɸu35	fu5		5	35
浮	浮	βɤ22	veu2		2	22
浮	浮	βu22	vu2	大~（江苏无锡地名）；~桥（江苏太仓地名）。	2	22
婦	妇	βu213	vu4		4	213
負	负	βɤ213	veu4		4	213
謀	谋	mɤ22	meu2		2	22
矛	矛	mɤ22	meu2		2	22
扭	扭	ȵiɤ44	gnieu3		3	44
流	流	liɤ22	lieu2		2	22
劉	刘	liɤ22	lieu2		2	22
留	留	liɤ22	lieu2		2	22
瘤	瘤	liɤ22	lieu2		2	22
榴	榴	liɤ22	lieu2		2	22
柳	柳	liɤ213	lieu4		4	213
溜	溜	liɤ53	lieu1		1	53
酒	酒	tsiɤ44	tsieu3		3	44
秋	秋	tsʰiɤ53	tshieu1		1	53
就	就	ziɤ13	zieu6		6	13
修	修	siɤ53	sieu1		1	53
羞	羞	siɤ53	sieu1		1	53
秀	秀	siɤ35	sieu5		5	35
繡	绣	siɤ35	sieu5		5	35
銹	锈	siɤ35	sieu5		5	35
宿	宿	siɤ35	sieu5	星~。	5	35
囚	囚	ziɤ22	zieu2		2	22
泅	泅	ziɤ22	zieu2		2	22
袖	袖	ziɤ13	zieu6		6	13
抽	抽	tsʰɤ53	tsheu1		1	53
抽	抽	tsʰiɤ53	tshieu1	鞭打。	1	53
醜	丑	tsʰɤ44	tsheu3		3	44
丑	丑	tsʰɤ44	tsheu3		3	44
綢	绸	zɤ22	zeu2		2	22
稠	稠	zɤ22	zeu2		2	22
籌	筹	zɤ22	zeu2		2	22
鄒	邹	tsɤ53	tseu1		1	53
皺	皱	tsiɤ35	tsieu5		5	35
愁	愁	zɤ22	zeu2		2	22
搜	搜	sɤ53	seu1		1	53
餿	馊	sɤ53	seu1		1	53
瘦	瘦	sɤ35	seu5		5	35
週	周	tsɤ53	tseu1		1	53
舟	舟	tsɤ53	tseu1		1	53
州	州	tsɤ53	tseu1		1	53
洲	洲	tsɤ53	tseu1		1	53
帚	帚	tsɤ44	tseu3		3	44
咒	咒	tsɤ35	tseu5		5	35
臭	臭	tsʰɤ35	tsheu5		5	35
收	收	sɤ53	seu1		1	53
手	手	sɤ44	seu3		3	44
首	首	sɤ44	seu3		3	44
守	守	sɤ44	seu3		3	44
獸	兽	sɤ35	seu5		5	35
仇	仇	zɤ22	zeu2		2	22
仇	仇	dʑiɤ22	jieu2	姓。	2	22
酬	酬	zɤ22	zeu2		2	22
受	受	zɤ213	zeu4		4	213
壽	寿	zɤ13	zeu6		6	13
授	授	zɤ13	zeu6		6	13
售	售	zɤ13	zeu6		6	13
糾	纠	tɕiɤ53	cieu1		1	53
