	注释：白读-，文读=
∅	[1]优忧幽悠攸[2]柔揉由油游尤邮酋[3]诱有友[5]幼[6]右囿有
ɦ	[9]浮-[3]酉[5]又
#i	
m	[7]觅
t	[3]底=
l	[2]哩
ts	[1]之[3]挤只{～有}指旨止址趾祉[5]制製至志痣誌[7]执汁织职[8]禃{一}一{训}
tsʰ	[1]尸屍痴嗤[3]侈耻齿[5]试翅[6]豉市侍
s	[1]施诗[2]时[3]屎始[5]势誓逝示是氏视嗜侍[7]失室式释适[8]什实食蚀石=
k	[1]稽饥肌基姬机讥佻奇{～数}[2]祁其沂奇{～怪}[9]骑期棋旗[3]几己纪[5]计继寄记既骥冀[6]妓忌技[7]急级吉诘棘激击戟芨[8]及极
kʰ	[1]欹欺[2]蜞[3]启起岂[5]器弃气汽柿企[7]泣
ŋ	[2]宜=仪疑[3]拟谊蚁=[6]艺义议毅[8]逆
x	[1]嘻嬉禧熙希稀牺熹[2]奚兮蹊[3]喜[5]戏[6]系携[7]桔吸
∅	[1]伊医衣依[2]霓移夷贻饴[3]倚[5]懿意忆亿[6]易异[7]溢缢邑挹一乙益抑[8]佚逸屹易{交～}译奕
ɦ	[2]儿而[9]姨[3]尔耳=已以[8]翼亦液腋疫役
#y	
p	[2]肥[5]疿
pʰ	[5]屁
t	[1]追[2]厨[5]著妹[6]箸[7]竹筑[8]轴
h	[2]搥锤锄[5]屁-[7]畜-[8]逐-
n	[3]女[8]肉
l	[2]驴除储[9]徐{姓}锄颓醉[3]吕旅缕屡□{躲}[5]娶聚趣[6]虑住-累={受～}类泪[8]律率隶陆戮绿录六=逐=
ts	[1]诸蛛=朱珠殊[2]薯[3]煮主嘴[5]柱=注蛀铸驻注赘足烛嘱触[7]祝粥足烛嘱触
tsʰ	[1]蛆趋椎=[3]鼠取处{相～}[5]处{～长}喙翠[7]出促[8]秫{～米}
s	[1]胥书舒须需输虽绥殊[2]随垂谁睡[3]水[5]暑墅署序绪絮庶恕竖岁=叙[6]树=瑞遂戍[7]戌恤宿肃叔淑粟[8]续术蜀属述熟=俗续赎
k	[1]居车={～马}拘驹圭闺规龟归晷俱[2]渠葵衢瞿逵葵[9]渠{他}[3]举矩诡轨鬼[5]巨拒距锯据倨句具俱桂季贵瑰剧癸[6]跪柜[7]乞迄菊[8]掘崛局
kʰ	[1]区驱亏窥枢[3]豨{猪}癸[5]去=[7]屈曲
ŋ	[2]鱼渔虞娱危桅[3]语[6]禦遇寓[8]狱玉
x	[1]墟虚吁挥辉嘘[3]许[5]雨[6]彗慧惠卉穗[7]蓄旭畜=
∅	[1]威[2]余[5]畏[6]位卫芋谓猬蝟胃[7]郁沃慰熨
ɦ	[2]屿如茹儒迁于盂桅帷维惟遗为{作～}[9]舆围违[3]汝与乳雨=宇禹羽[5]愈[6]誉预豫榆愉伪为{～什么}裕[8]聿域育褥辱
#aŋ	
p	[1]邦[5]柄[6]病
pʰ	[2]庞彭膨[3]甏
β	[9]棚
m	[2]暝芒明-盲
t	[1]耽=担{担子}[9]担{挑}[3]点胆[5]店
tʰ	[1]参生{不熟}青[2]谗馋蚕[3]惨
h	[1]贪[3]毯[5]探[6]撑
n	[2]南男
l	[1]担{挑}[2]谈痰澹蓝篮{～球}惭潭谭婪[3]览揽榄簪缆[5]淡=暂[6]滥舰
ts	[2]晴[3]斩[5]□{手压}
s	[1]甥衫三生-{长}杉[2]篮-{～子}[3]省-{节～}闪
k	[1]更{五～}羹监[3]哽鲠减[5]降{下～}鑑
kʰ	[1]坑堪龛刊炕[5]瞰
ŋ	[2]岩癌
x	[1]蚶[2]降衔=酣邯咸含函[3]喊[6]陷馅憾杏
∅	[1]腌
ɦ	[9]桁
#iaŋ	
p	[2]坪[3]饼[5]并併
pʰ	[1]拼{～合}[5]姘
m	[2]名[6]命[7]□{另儿小名爱惜为命}
t	[1]䟓[3]鼎-{锅}[6]定锭郑
h	[1]听-厅[2]程
n	[1]黏-[2]娘
l	[2]铃晾[9]呈咙-[3]䭕{淡}[5]岭领[6]□{显赫状}
ts	[1]正{～月}詹[5]正
tsʰ	[1]声[3]请
s	[2]□{引诱}[5]姓
k	[1]惊[2]擎{手举}[5]镜
kʰ	[1]轻-
x	[1]兄-
∅	[2]赢营{兵～}萤[5]眏{看}[6]□{光亮}
ɦ	[9]成-{五～}城-行-[3]闪-
#uaŋ	
k	[3]杆{高～}
x	[2]横凡帆[5]犯范={模～}泛
#ɔŋ	
p	[1]帮[3]绑棒[5]棒蚌谤
pʰ	[5]胖冇
β	[2]滂旁忘[9]防房-[3]傍[6]塝{田～}望妄
m	[2]盲忙芒茫[3]莽罔网
t	[1]当{～时}[2]肠[3]党挡[5]当{～铺}
tʰ	[1]窗疮仓苍[3]厂闯[5]创闩
h	[1]汤[2]糖[3]倘躺[5]荡烫盪
n	[2]瓤囊[3]酿埌
l	[2]堂唐郎=狼廊藏{收～}[9]塘长-[3]朗撞[6]状浪藏{西～}臟□{晒衣篙}
ts	[1]庄装臧赃[2]藏{～菜}[5]壮葬
s	[1]霜桑[2]郎-{婿}[3]爽嗓[5]丧两-{～个}
k	[1]江扛肛虹冈刚纲甘柑[9]缸[3]港敢感讲岗{～位}[5]岗{山～}关{～门}
kʰ	[1]康糠[3]慷[5]杭
ŋ	[2]昂
x	[2]航杭[5]项
∅	[1]庵[5]暗谙
ɦ	[9]行{银～}
#iɔŋ	
p	[1]风-
t	[1]张[3]长{生～}[5]涨账帐丈仗-怅伥
h	[5]杖畅
n	[2]娘=[3]抑{水渠}仰[6]□{要}
l	[2]良凉粮梁粱量[9]场[3]两=[5]痒[6]量{数～}亮谅长{剩余}
ts	[1]浆将章棒障彰[2]墙裳[3]蒋桨奖掌[5]将{大～}酱甑{饭～}匠上-{～下}
