繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
溪	溪	k	ai	1	kai	kai1	kʰɐi⁵⁵	
稽	稽	k	ai	1	kai	kai1	kʰɐi⁵⁵	
啟	启	k	ai	3	kai	kai3	kʰɐi³⁵	
契	契	k	ai	5	kai	kai5	kʰɐi⁴⁴	
危	危	ng	ai	2	ngai	ngai2	ŋɐi²¹	
桅	桅	ng	ai	2	ngai	ngai2	ŋɐi²¹	
倪	倪	ng	ai	2	ngai	ngai2	ŋɐi²¹	
蟻	蚁	ng	ai	3	ngai	ngai3	ŋɐi³⁵	
偽	伪	ng	ai	4	ngai	ngai4	ŋɐi³³	
藝	艺	ng	ai	4	ngai	ngai4	ŋɐi³³	
魏	魏	ng	ai	4	ngai	ngai4	ŋɐi³³	
毅	毅	ng	ai	4	ngai	ngai4	ŋɐi³³	
艾	艾	ng	ai	5	ngai	ngai5	ŋɐi⁴⁴	
刈	刈	ng	ai	5	ngai	ngai5	ŋɐi⁴⁴	
兮	兮	h	ai	1	hai	hai1	hɐi⁵⁵	
系	系	h	ai	5	hai	hai5	hɐi⁴⁴	
係	系	h	ai	5	hai	hai5	hɐi⁴⁴	
繫	系	h	ai	5	hai	hai5	hɐi⁴⁴	
卑	卑	b	ei	1	bei	bei1	pei⁵⁵	
碑	碑	b	ei	1	bei	bei1	pei⁵⁵	
悲	悲	b	ei	1	bei	bei1	pei⁵⁵	
比	比	b	ei	3	bei	bei3	pei³⁵	
彼	彼	b	ei	3	bei	bei3	pei³⁵	
俾	俾	b	ei	3	bei	bei3	pei³⁵	
篦	篦	b	ei	3	bei	bei3	pei³⁵	
庇	庇	b	ei	5	bei	bei5	pei⁴⁴	
臂	臂	b	ei	5	bei	bei5	pei⁴⁴	
備	备	b	ei	6	bei	bei6	pei²²	
鼻	鼻	b	ei	6	bei	bei6	pei²²	
譬	譬	b	ei	6	bei	bei6	pei²²	
痹	痹	b	ei	6	bei	bei6	pei²²	
丕	丕	p	ei	1	pei	pei1	pʰei⁵⁵	
披	披	p	ei	1	pei	pei1	pʰei⁵⁵	
皮	皮	p	ei	2	pei	pei2	pʰei²¹	
脾	脾	p	ei	2	pei	pei2	pʰei²¹	
枇	枇	p	ei	2	pei	pei2	pʰei²¹	
琵	琵	p	ei	2	pei	pei2	pʰei²¹	
疲	疲	p	ei	2	pei	pei2	pʰei²¹	
婢	婢	p	ei	3	pei	pei3	pʰei³⁵	
被	被	p	ei	3	pei	pei3	pʰei³⁵	
痞	痞	p	ei	3	pei	pei3	pʰei³⁵	
鄙	鄙	p	ei	3	pei	pei3	pʰei³⁵	
屁	屁	p	ei	6	pei	pei6	pʰei²²	
美	美	m	ei	1	mei	mei1	mei⁵⁵	
眉	眉	m	ei	2	mei	mei2	mei²¹	
媚	媚	m	ei	2	mei	mei2	mei²¹	
楣	楣	m	ei	2	mei	mei2	mei²¹	
糜	糜	m	ei	2	mei	mei2	mei²¹	
靡	靡	m	ei	2	mei	mei2	mei²¹	
寐	寐	m	ei	5	mei	mei5	mei⁴⁴	
昧	昧	m	ei	5	mei	mei5	mei⁴⁴	
地	地	d	ei	6	dei	dei6	tei²²	
哋	哋	d	ei	6	dei	dei6	tei²²	
尼	尼	n	ei	2	nei	nei2	nei²¹	
膩	腻	n	ei	5	nei	nei5	nei⁴⁴	
離	离	l	ei	2	lei	lei2	lei²¹	
璃	璃	l	ei	2	lei	lei2	lei²¹	
籬	篱	l	ei	2	lei	lei2	lei²¹	
漓	漓	l	ei	2	lei	lei2	lei²¹	
梨	梨	l	ei	2	lei	lei2	lei²¹	
厘	厘	l	ei	2	lei	lei2	lei²¹	
貍	狸	l	ei	2	lei	lei2	lei²¹	
裏	里	l	ei	4	lei	lei4	lei³³	
里	里	l	ei	4	lei	lei4	lei³³	
理	理	l	ei	4	lei	lei4	lei³³	
鯉	鲤	l	ei	4	lei	lei4	lei³³	
履	履	l	ei	4	lei	lei4	lei³³	
利	利	l	ei	5	lei	lei5	lei⁴⁴	
痢	痢	l	ei	5	lei	lei5	lei⁴⁴	
吏	吏	l	ei	5	lei	lei5	lei⁴⁴	
機	机	g	ei	1	gei	gei1	kei⁵⁵	
肌	肌	g	ei	1	gei	gei1	kei⁵⁵	
饑	饥	g	ei	1	gei	gei1	kei⁵⁵	
譏	讥	g	ei	1	gei	gei1	kei⁵⁵	
基	基	g	ei	1	gei	gei1	kei⁵⁵	
幾	几	g	ei	3	gei	gei3	kei³⁵	
己	己	g	ei	3	gei	gei3	kei³⁵	
杞	杞	g	ei	3	gei	gei3	kei³⁵	
技	技	g	ei	4	gei	gei4	kei³³	
妓	妓	g	ei	4	gei	gei4	kei³³	
寄	寄	g	ei	5	gei	gei5	kei⁴⁴	
既	既	g	ei	5	gei	gei5	kei⁴⁴	
記	记	g	ei	5	gei	gei5	kei⁴⁴	
奇	奇	k	ei	2	kei	kei2	kʰei²¹	
騎	骑	k	ei	2	kei	kei2	kʰei²¹	
歧	歧	k	ei	2	kei	kei2	kʰei²¹	
祈	祈	k	ei	2	kei	kei2	kʰei²¹	
期	期	k	ei	2	kei	kei2	kʰei²¹	
旗	旗	k	ei	2	kei	kei2	kʰei²¹	
鰭	鳍	k	ei	2	kei	kei2	kʰei²¹	
企	企	k	ei	4	kei	kei4	kʰei³³	
冀	冀	k	ei	4	kei	kei4	kʰei³³	
欺	欺	h	ei	1	hei	hei1	hei⁵⁵	
希	希	h	ei	1	hei	hei1	hei⁵⁵	
稀	稀	h	ei	1	hei	hei1	hei⁵⁵	
犧	牺	h	ei	1	hei	hei1	hei⁵⁵	
熙	熙	h	ei	1	hei	hei1	hei⁵⁵	
嬉	嬉	h	ei	1	hei	hei1	hei⁵⁵	
喜	喜	h	ei	3	hei	hei3	hei³⁵	
起	起	h	ei	3	hei	hei3	hei³⁵	
豈	岂	h	ei	3	hei	hei3	hei³⁵	
戲	戏	h	ei	5	hei	hei5	hei⁴⁴	
器	器	h	ei	5	hei	hei5	hei⁴⁴	
氣	气	h	ei	5	hei	hei5	hei⁴⁴	
汽	汽	h	ei	5	hei	hei5	hei⁴⁴	
棄	弃	h	ei	5	hei	hei5	hei⁴⁴	
女	女	n	oei	4	noei	noei4	nœy³³	
驢	驴	l	oei	2	loei	loei2	lœy²¹	
呂	吕	l	oei	4	loei	loei4	lœy³³	
旅	旅	l	oei	4	loei	loei4	lœy³³	
慮	虑	l	oei	5	loei	loei5	lœy⁴⁴	
濾	滤	l	oei	5	loei	loei5	lœy⁴⁴	
聚	聚	z	oei	4	zoei	zoei4	tsœy³³	
序	序	z	oei	4	zoei	zoei4	tsœy³³	
敘	叙	z	oei	4	zoei	zoei4	tsœy³³	
趨	趋	c	oei	1	coei	coei1	tsʰœy⁵⁵	
須	须	s	oei	1	soei	soei1	sœy⁵⁵	
需	需	s	oei	1	soei	soei1	sœy⁵⁵	
居	居	g	oei	1	goei	goei1	kœy⁵⁵	
車	车	g	oei	1	goei	goei1	kœy⁵⁵	
駒	驹	g	oei	1	goei	goei1	kœy⁵⁵	
舉	举	g	oei	3	goei	goei3	kœy³⁵	
矩	矩	g	oei	3	goei	goei3	kœy³⁵	
巨	巨	g	oei	4	goei	goei4	kœy³³	
拒	拒	g	oei	4	goei	goei4	kœy³³	
具	具	g	oei	4	goei	goei4	kœy³³	
懼	惧	g	oei	4	goei	goei4	kœy³³	
據	据	g	oei	5	goei	goei5	kœy⁴⁴	
鋸	锯	g	oei	5	goei	goei5	kœy⁴⁴	
句	句	g	oei	5	goei	goei5	kœy⁴⁴	
區	区	k	oei	1	koei	koei1	kʰœy⁵⁵	
驅	驱	k	oei	1	koei	koei1	kʰœy⁵⁵	
樞	枢	k	oei	1	koei	koei1	kʰœy⁵⁵	
俱	俱	k	oei	1	koei	koei1	kʰœy⁵⁵	
拘	拘	k	oei	1	koei	koei1	kʰœy⁵⁵	
渠	渠	k	oei	2	koei	koei2	kʰœy²¹	
瞿	瞿	k	oei	2	koei	koei2	kʰœy²¹	
距	距	k	oei	4	koei	koei4	kʰœy³³	
許	许	h	oei	3	hoei	hoei3	hœy³⁵	
黴	霉	m	oi	2	moi	moi2	mɔi²¹	
對	对	d	oi	5	doi	doi5	tɔi⁴⁴	
兌	兑	d	oi	5	doi	doi5	tɔi⁴⁴	
代	代	d	oi	6	doi	doi6	tɔi²²	
袋	袋	d	oi	6	doi	doi6	tɔi²²	
待	待	d	oi	6	doi	doi6	tɔi²²	
殆	殆	d	oi	6	doi	doi6	tɔi²²	
隊	队	d	oi	6	doi	doi6	tɔi²²	
碓	碓	d	oi	6	doi	doi6	tɔi²²	
胎	胎	t	oi	1	toi	toi1	tʰɔi⁵⁵	
臺	台	t	oi	2	toi	toi2	tʰɔi²¹	
檯	台	t	oi	2	toi	toi2	tʰɔi²¹	
颱	台	t	oi	2	toi	toi2	tʰɔi²¹	
抬	抬	t	oi	2	toi	toi2	tʰɔi²¹	
苔	苔	t	oi	2	toi	toi2	tʰɔi²¹	
怠	怠	t	oi	5	toi	toi5	tʰɔi⁴⁴	
耐	耐	n	oi	5	noi	noi5	nɔi⁴⁴	
奈	奈	n	oi	5	noi	noi5	nɔi⁴⁴	
來	来	l	oi	2	loi	loi2	lɔi²¹	
萊	莱	l	oi	2	loi	loi2	lɔi²¹	
災	灾	z	oi	1	zoi	zoi1	tsɔi⁵⁵	
栽	栽	z	oi	1	zoi	zoi1	tsɔi⁵⁵	
宰	宰	z	oi	3	zoi	zoi3	tsɔi³⁵	
再	再	z	oi	5	zoi	zoi5	tsɔi⁴⁴	
在	在	z	oi	6	zoi	zoi6	tsɔi²²	
載	载	z	oi	6	zoi	zoi6	tsɔi²²	
才	才	c	oi	2	coi	coi2	tsʰɔi²¹	
財	财	c	oi	2	coi	coi2	tsʰɔi²¹	
材	材	c	oi	2	coi	coi2	tsʰɔi²¹	
裁	裁	c	oi	2	coi	coi2	tsʰɔi²¹	
采	采	c	oi	3	coi	coi3	tsʰɔi³⁵	
睬	睬	c	oi	3	coi	coi3	tsʰɔi³⁵	
彩	彩	c	oi	3	coi	coi3	tsʰɔi³⁵	
菜	菜	c	oi	5	coi	coi5	tsʰɔi⁴⁴	
蔡	蔡	c	oi	5	coi	coi5	tsʰɔi⁴⁴	
賽	赛	c	oi	5	coi	coi5	tsʰɔi⁴⁴	
趣	趣	c	oi	5	coi	coi5	tsʰɔi⁴⁴	
腮	腮	s	oi	1	soi	soi1	sɔi⁵⁵	
鰓	鳃	s	oi	1	soi	soi1	sɔi⁵⁵	
改	改	g	oi	3	goi	goi3	kɔi³⁵	
概	概	g	oi	6	goi	goi6	kɔi²²	
慨	慨	g	oi	6	goi	goi6	kɔi²²	
該	该	k	oi	1	koi	koi1	kʰɔi⁵⁵	
丐	丐	k	oi	6	koi	koi6	kʰɔi²²	
蓋	盖	k	oi	6	koi	koi6	kʰɔi²²	
哀	哀	ng	oi	1	ngoi	ngoi1	ŋɔi⁵⁵	
呆	呆	ng	oi	2	ngoi	ngoi2	ŋɔi²¹	
礙	碍	ng	oi	6	ngoi	ngoi6	ŋɔi²²	
開	开	h	oi	1	hoi	hoi1	hɔi⁵⁵	
海	海	h	oi	3	hoi	hoi3	hɔi³⁵	
凱	凯	h	oi	3	hoi	hoi3	hɔi³⁵	
害	害	h	oi	5	hoi	hoi5	hɔi⁴⁴	
亥	亥	h	oi	5	hoi	hoi5	hɔi⁴⁴	
藹	蔼	x	oi	3	oi	oi3	ɔi³⁵	
靄	霭	x	oi	3	oi	oi3	ɔi³⁵	
愛	爱	x	oi	5	oi	oi5	ɔi⁴⁴	
包	包	b	aau	1	baau	baau1	pau⁵⁵	
胞	胞	b	aau	1	baau	baau1	pau⁵⁵	
鮑	鲍	b	aau	1	baau	baau1	pau⁵⁵	
飽	饱	b	aau	3	baau	baau3	pau³⁵	
爆	爆	b	aau	5	baau	baau5	pau⁴⁴	
拋	抛	p	aau	1	paau	paau1	pʰau⁵⁵	
跑	跑	p	aau	3	paau	paau3	pʰau³⁵	
刨	刨	p	aau	4	paau	paau4	pʰau³³	
炮	炮	p	aau	5	paau	paau5	pʰau⁴⁴	
泡	泡	p	aau	5	paau	paau5	pʰau⁴⁴	
豹	豹	p	aau	5	paau	paau5	pʰau⁴⁴	
矛	矛	m	aau	2	maau	maau2	mau²¹	
茅	茅	m	aau	2	maau	maau2	mau²¹	
卯	卯	m	aau	3	maau	maau3	mau³⁵	
貌	貌	m	aau	6	maau	maau6	mau²²	
撓	挠	n	aau	2	naau	naau2	nau²¹	
鬧	闹	n	aau	5	naau	naau5	nau⁴⁴	
找	找	z	aau	3	zaau	zaau3	tsau³⁵	
罩	罩	z	aau	5	zaau	zaau5	tsau⁴⁴	
抄	抄	c	aau	1	caau	caau1	tsʰau⁵⁵	
鈔	钞	c	aau	1	caau	caau1	tsʰau⁵⁵	
巢	巢	c	aau	2	caau	caau2	tsʰau²¹	
炒	炒	c	aau	3	caau	caau3	tsʰau³⁵	
吵	吵	c	aau	3	caau	caau3	tsʰau³⁵	
捎	捎	s	aau	1	saau	saau1	sau⁵⁵	
筲	筲	s	aau	1	saau	saau1	sau⁵⁵	
稍	稍	s	aau	5	saau	saau5	sau⁴⁴	
潲	潲	s	aau	6	saau	saau6	sau²²	
交	交	g	aau	1	gaau	gaau1	kau⁵⁵	
膠	胶	g	aau	1	gaau	gaau1	kau⁵⁵	
郊	郊	g	aau	1	gaau	gaau1	kau⁵⁵	
搞	搞	g	aau	3	gaau	gaau3	kau³⁵	
絞	绞	g	aau	3	gaau	gaau3	kau³⁵	
狡	狡	g	aau	3	gaau	gaau3	kau³⁵	
攪	搅	g	aau	3	gaau	gaau3	kau³⁵	
較	较	g	aau	5	gaau	gaau5	kau⁴⁴	
教	教	g	aau	5	gaau	gaau5	kau⁴⁴	
覺	觉	g	aau	5	gaau	gaau5	kau⁴⁴	
窖	窖	g	aau	5	gaau	gaau5	kau⁴⁴	
滘	滘	g	aau	5	gaau	gaau5	kau⁴⁴	
肴	肴	ng	aau	2	ngaau	ngaau2	ŋau²¹	
淆	淆	ng	aau	2	ngaau	ngaau2	ŋau²¹	
咬	咬	ng	aau	3	ngaau	ngaau3	ŋau³⁵	
敲	敲	h	aau	1	haau	haau1	hau⁵⁵	
烤	烤	h	aau	1	haau	haau1	hau⁵⁵	
巧	巧	h	aau	3	haau	haau3	hau³⁵	
孝	孝	h	aau	5	haau	haau5	hau⁴⁴	
效	效	h	aau	6	haau	haau6	hau²²	
校	校	h	aau	6	haau	haau6	hau²²	
坳	坳	x	aau	1	aau	aau1	au⁵⁵	
謀	谋	m	au	2	mau	mau2	mɐu²¹	
某	某	m	au	3	mau	mau3	mɐu³⁵	
畝	亩	m	au	3	mau	mau3	mɐu³⁵	
阜	阜	f	au	2	fau	fau2	fɐu²¹	
浮	浮	f	au	4	fau	fau4	fɐu³³	
兜	兜	d	au	1	dau	dau1	tɐu⁵⁵	
斗	斗	d	au	3	dau	dau3	tɐu³⁵	
抖	抖	d	au	3	dau	dau3	tɐu³⁵	
陡	陡	d	au	3	dau	dau3	tɐu³⁵	
糾	纠	d	au	3	dau	dau3	tɐu³⁵	
鬥	斗	d	au	5	dau	dau5	tɐu⁴⁴	奋~。
豆	豆	d	au	6	dau	dau6	tɐu²²	
逗	逗	d	au	6	dau	dau6	tɐu²²	
偷	偷	t	au	1	tau	tau1	tʰɐu⁵⁵	
頭	头	t	au	2	tau	tau2	tʰɐu²¹	
投	投	t	au	2	tau	tau2	tʰɐu²¹	
透	透	t	au	6	tau	tau6	tʰɐu²²	
紐	纽	n	au	4	nau	nau4	nɐu³³	
扭	扭	n	au	4	nau	nau4	nɐu³³	
朽	朽	n	au	4	nau	nau4	nɐu³³	
流	流	l	au	2	lau	lau2	lɐu²¹	
琉	琉	l	au	2	lau	lau2	lɐu²¹	
硫	硫	l	au	2	lau	lau2	lɐu²¹	
留	留	l	au	2	lau	lau2	lɐu²¹	
溜	溜	l	au	2	lau	lau2	lɐu²¹	
榴	榴	l	au	2	lau	lau2	lɐu²¹	
餾	馏	l	au	2	lau	lau2	lɐu²¹	
劉	刘	l	au	2	lau	lau2	lɐu²¹	
樓	楼	l	au	2	lau	lau2	lɐu²¹	
摟	搂	l	au	3	lau	lau3	lɐu³⁵	
柳	柳	l	au	3	lau	lau3	lɐu³⁵	
簍	篓	l	au	3	lau	lau3	lɐu³⁵	
漏	漏	l	au	5	lau	lau5	lɐu⁴⁴	
陋	陋	l	au	5	lau	lau5	lɐu⁴⁴	
鄒	邹	z	au	1	zau	zau1	tsɐu⁵⁵	
周	周	z	au	1	zau	zau1	tsɐu⁵⁵	
州	州	z	au	1	zau	zau1	tsɐu⁵⁵	
洲	洲	z	au	1	zau	zau1	tsɐu⁵⁵	
舟	舟	z	au	1	zau	zau1	tsɐu⁵⁵	
走	走	z	au	3	zau	zau3	tsɐu³⁵	
酒	酒	z	au	3	zau	zau3	tsɐu³⁵	
肘	肘	z	au	3	zau	zau3	tsɐu³⁵	
奏	奏	z	au	5	zau	zau5	tsɐu⁴⁴	
晝	昼	z	au	5	zau	zau5	tsɐu⁴⁴	
咒	咒	z	au	5	zau	zau5	tsɐu⁴⁴	
驟	骤	z	au	5	zau	zau5	tsɐu⁴⁴	
宙	宙	z	au	6	zau	zau6	tsɐu²²	
就	就	z	au	6	zau	zau6	tsɐu²²	
秋	秋	c	au	1	cau	cau1	tsʰɐu⁵⁵	
鍬	锹	c	au	1	cau	cau1	tsʰɐu⁵⁵	
抽	抽	c	au	1	cau	cau1	tsʰɐu⁵⁵	
綢	绸	c	au	2	cau	cau2	tsʰɐu²¹	
稠	稠	c	au	2	cau	cau2	tsʰɐu²¹	
酬	酬	c	au	2	cau	cau2	tsʰɐu²¹	
籌	筹	c	au	2	cau	cau2	tsʰɐu²¹	
囚	囚	c	au	2	cau	cau2	tsʰɐu²¹	
泅	泅	c	au	2	cau	cau2	tsʰɐu²¹	
醜	丑	c	au	3	cau	cau3	tsʰɐu³⁵	
丑	丑	c	au	3	cau	cau3	tsʰɐu³⁵	
臭	臭	c	au	5	cau	cau5	tsʰɐu⁴⁴	
湊	凑	c	au	5	cau	cau5	tsʰɐu⁴⁴	
修	修	s	au	1	sau	sau1	sɐu⁵⁵	
收	收	s	au	1	sau	sau1	sɐu⁵⁵	
羞	羞	s	au	1	sau	sau1	sɐu⁵⁵	
仇	仇	s	au	2	sau	sau2	sɐu²¹	
愁	愁	s	au	2	sau	sau2	sɐu²¹	
守	守	s	au	3	sau	sau3	sɐu³⁵	
手	手	s	au	3	sau	sau3	sɐu³⁵	
搜	搜	s	au	3	sau	sau3	sɐu³⁵	
首	首	s	au	3	sau	sau3	sɐu³⁵	
叟	叟	s	au	3	sau	sau3	sɐu³⁵	
獸	兽	s	au	5	sau	sau5	sɐu⁴⁴	
嗽	嗽	s	au	5	sau	sau5	sɐu⁴⁴	
漱	漱	s	au	5	sau	sau5	sɐu⁴⁴	
瘦	瘦	s	au	5	sau	sau5	sɐu⁴⁴	
壽	寿	s	au	6	sau	sau6	sɐu²²	
授	授	s	au	6	sau	sau6	sɐu²²	
受	受	s	au	6	sau	sau6	sɐu²²	
售	售	s	au	6	sau	sau6	sɐu²²	
鳩	鸠	g	au	1	gau	gau1	kɐu⁵⁵	
溝	沟	g	au	1	gau	gau1	kɐu⁵⁵	
究	究	g	au	2	gau	gau2	kɐu²¹	
九	九	g	au	3	gau	gau3	kɐu³⁵	
久	久	g	au	3	gau	gau3	kɐu³⁵	
苟	苟	g	au	3	gau	gau3	kɐu³⁵	
狗	狗	g	au	3	gau	gau3	kɐu³⁵	
咎	咎	g	au	4	gau	gau4	kɐu³³	
垢	垢	g	au	4	gau	gau4	kɐu³³	
夠	够	g	au	5	gau	gau5	kɐu⁴⁴	
柩	柩	g	au	5	gau	gau5	kɐu⁴⁴	
救	救	g	au	5	gau	gau5	kɐu⁴⁴	
灸	灸	g	au	5	gau	gau5	kɐu⁴⁴	
舊	旧	g	au	6	gau	gau6	kɐu²²	
鬮	阄	k	au	1	kau	kau1	kʰɐu⁵⁵	
摳	抠	k	au	1	kau	kau1	kʰɐu⁵⁵	
舅	舅	k	au	1	kau	kau1	kʰɐu⁵⁵	
求	求	k	au	2	kau	kau2	kʰɐu²¹	
球	球	k	au	2	kau	kau2	kʰɐu²¹	
扣	扣	k	au	5	kau	kau5	kʰɐu⁴⁴	
寇	寇	k	au	5	kau	kau5	kʰɐu⁴⁴	
構	构	k	au	5	kau	kau5	kʰɐu⁴⁴	
購	购	k	au	5	kau	kau5	kʰɐu⁴⁴	
叩	叩	k	au	5	kau	kau5	kʰɐu⁴⁴	
牛	牛	ng	au	2	ngau	ngau2	ŋɐu²¹	
偶	偶	ng	au	3	ngau	ngau3	ŋɐu³⁵	
藕	藕	ng	au	3	ngau	ngau3	ŋɐu³⁵	
吼	吼	h	au	1	hau	hau1	hɐu⁵⁵	
侯	侯	h	au	2	hau	hau2	hɐu²¹	
喉	喉	h	au	2	hau	hau2	hɐu²¹	
猴	猴	h	au	2	hau	hau2	hɐu²¹	
口	口	h	au	3	hau	hau3	hɐu³⁵	
厚	厚	h	au	3	hau	hau3	hɐu³⁵	
候	候	h	au	6	hau	hau6	hɐu²²	
後	后	h	au	6	hau	hau6	hɐu²²	
后	后	h	au	6	hau	hau6	hɐu²²	
休	休	j	au	1	jau	jau1	jɐu⁵⁵	
優	优	j	au	1	jau	jau1	jɐu⁵⁵	
憂	忧	j	au	1	jau	jau1	jɐu⁵⁵	
幽	幽	j	au	1	jau	jau1	jɐu⁵⁵	
尤	尤	j	au	2	jau	jau2	jɐu²¹	
猶	犹	j	au	2	jau	jau2	jɐu²¹	
由	由	j	au	2	jau	jau2	jɐu²¹	
郵	邮	j	au	2	jau	jau2	jɐu²¹	
油	油	j	au	2	jau	jau2	jɐu²¹	
遊	游	j	au	2	jau	jau2	jɐu²¹	
悠	悠	j	au	2	jau	jau2	jɐu²¹	
有	有	j	au	3	jau	jau3	jɐu³⁵	
友	友	j	au	3	jau	jau3	jɐu³⁵	
誘	诱	j	au	3	jau	jau3	jɐu³⁵	
柚	柚	j	au	5	jau	jau5	jɐu⁴⁴	
釉	釉	j	au	5	jau	jau5	jɐu⁴⁴	
幼	幼	j	au	6	jau	jau6	jɐu²²	
右	右	j	au	6	jau	jau6	jɐu²²	
佑	佑	j	au	6	jau	jau6	jɐu²²	
又	又	j	au	6	jau	jau6	jɐu²²	
歐	欧	x	au	1	au	au1	ɐu⁵⁵	
毆	殴	x	au	1	au	au1	ɐu⁵⁵	
嘔	呕	x	au	3	au	au3	ɐu³⁵	
漚	沤	x	au	5	au	au5	ɐu⁴⁴	
慪	怄	x	au	5	au	au5	ɐu⁴⁴	
褒	褒	b	ou	1	bou	bou1	pou⁵⁵	
保	保	b	ou	3	bou	bou3	pou³⁵	
堡	堡	b	ou	3	bou	bou3	pou³⁵	
寶	宝	b	ou	3	bou	bou3	pou³⁵	
報	报	b	ou	5	bou	bou5	pou⁴⁴	
暴	暴	b	ou	6	bou	bou6	pou²²	
曝	曝	b	ou	6	bou	bou6	pou²²	
瀑	瀑	b	ou	6	bou	bou6	pou²²	
袍	袍	p	ou	2	pou	pou2	pʰou²¹	
抱	抱	p	ou	4	pou	pou4	pʰou³³	
毛	毛	m	ou	2	mou	mou2	mou²¹	
帽	帽	m	ou	5	mou	mou5	mou⁴⁴	
冒	冒	m	ou	6	mou	mou6	mou²²	
否	否	f	ou	3	fou	fou3	fou³⁵	
剖	剖	f	ou	3	fou	fou3	fou³⁵	
刀	刀	d	ou	1	dou	dou1	tou⁵⁵	
叨	叨	d	ou	1	dou	dou1	tou⁵⁵	
倒	倒	d	ou	3	dou	dou3	tou³⁵	
島	岛	d	ou	3	dou	dou3	tou³⁵	
禱	祷	d	ou	3	dou	dou3	tou³⁵	
到	到	d	ou	5	dou	dou5	tou⁴⁴	
道	道	d	ou	6	dou	dou6	tou²²	
稻	稻	d	ou	6	dou	dou6	tou²²	
盜	盗	d	ou	6	dou	dou6	tou²²	
導	导	d	ou	6	dou	dou6	tou²²	
滔	滔	t	ou	1	tou	tou1	tʰou⁵⁵	
濤	涛	t	ou	1	tou	tou1	tʰou⁵⁵	
桃	桃	t	ou	2	tou	tou2	tʰou²¹	
逃	逃	t	ou	2	tou	tou2	tʰou²¹	
淘	淘	t	ou	2	tou	tou2	tʰou²¹	
陶	陶	t	ou	2	tou	tou2	tʰou²¹	
萄	萄	t	ou	2	tou	tou2	tʰou²¹	
套	套	t	ou	6	tou	tou6	tʰou²²	
腦	脑	n	ou	3	nou	nou3	nou³⁵	
惱	恼	n	ou	4	nou	nou4	nou³³	
撈	捞	l	ou	1	lou	lou1	lou⁵⁵	
勞	劳	l	ou	2	lou	lou2	lou²¹	
澇	涝	l	ou	2	lou	lou2	lou²¹	
牢	牢	l	ou	2	lou	lou2	lou²¹	
嘮	唠	l	ou	2	lou	lou2	lou²¹	
老	老	l	ou	4	lou	lou4	lou³³	
遭	遭	z	ou	1	zou	zou1	tsou⁵⁵	
糟	糟	z	ou	1	zou	zou1	tsou⁵⁵	
早	早	z	ou	3	zou	zou3	tsou³⁵	
棗	枣	z	ou	3	zou	zou3	tsou³⁵	
蚤	蚤	z	ou	3	zou	zou3	tsou³⁵	
灶	灶	z	ou	5	zou	zou5	tsou⁴⁴	
造	造	z	ou	6	zou	zou6	tsou²²	
皂	皂	z	ou	6	zou	zou6	tsou²²	
操	操	c	ou	1	cou	cou1	tsʰou⁵⁵	
曹	曹	c	ou	2	cou	cou2	tsʰou²¹	
槽	槽	c	ou	2	cou	cou2	tsʰou²¹	
草	草	c	ou	3	cou	cou3	tsʰou³⁵	
澡	澡	c	ou	4	cou	cou4	tsʰou³³	
躁	躁	c	ou	5	cou	cou5	tsʰou⁴⁴	
糙	糙	c	ou	5	cou	cou5	tsʰou⁴⁴	
臊	臊	s	ou	1	sou	sou1	sou⁵⁵	
騷	骚	s	ou	1	sou	sou1	sou⁵⁵	
嫂	嫂	s	ou	3	sou	sou3	sou³⁵	
掃	扫	s	ou	6	sou	sou6	sou²²	
高	高	g	ou	1	gou	gou1	kou⁵⁵	
篙	篙	g	ou	1	gou	gou1	kou⁵⁵	
膏	膏	g	ou	1	gou	gou1	kou⁵⁵	
羔	羔	g	ou	1	gou	gou1	kou⁵⁵	
糕	糕	g	ou	1	gou	gou1	kou⁵⁵	
犒	犒	g	ou	3	gou	gou3	kou³⁵	
稿	稿	g	ou	3	gou	gou3	kou³⁵	
告	告	g	ou	6	gou	gou6	kou²²	
靠	靠	k	ou	5	kou	kou5	kʰou⁴⁴	
敖	敖	ng	ou	2	ngou	ngou2	ŋou²¹	
熬	熬	ng	ou	2	ngou	ngou2	ŋou²¹	
奧	奥	ng	ou	5	ngou	ngou5	ŋou⁴⁴	
澳	澳	ng	ou	5	ngou	ngou5	ŋou⁴⁴	
懊	懊	ng	ou	5	ngou	ngou5	ŋou⁴⁴	
襖	袄	ng	ou	5	ngou	ngou5	ŋou⁴⁴	
塢	坞	ng	ou	5	ngou	ngou5	ŋou⁴⁴	
傲	傲	ng	ou	6	ngou	ngou6	ŋou²²	
蒿	蒿	h	ou	1	hou	hou1	hou⁵⁵	
薅	薅	h	ou	1	hou	hou1	hou⁵⁵	
毫	毫	h	ou	2	hou	hou2	hou²¹	
豪	豪	h	ou	2	hou	hou2	hou²¹	
壕	壕	h	ou	2	hou	hou2	hou²¹	
考	考	h	ou	3	hou	hou3	hou³⁵	
好	好	h	ou	4	hou	hou4	hou³³	~坏。
好	好	h	ou	5	hou	hou5	hou⁴⁴	喜~。
耗	耗	h	ou	6	hou	hou6	hou²²	
號	号	h	ou	6	hou	hou6	hou²²	
標	标	b	iu	1	biu	biu1	piu⁵⁵	
