繁体	简体	声母	韵母	声调	拼音無調	拼音	IPA	备注
豎	竖	s	yu	5	syu	syu5	sy⁴⁴	
樹	树	s	yu	5	syu	syu5	sy⁴⁴	
庶	庶	s	yu	5	syu	syu5	sy⁴⁴	
恕	恕	s	yu	5	syu	syu5	sy⁴⁴	
戍	戍	s	yu	5	syu	syu5	sy⁴⁴	
虛	虚	h	yu	1	hyu	hyu1	hy⁵⁵	
噓	嘘	h	yu	1	hyu	hyu1	hy⁵⁵	
墟	墟	h	yu	1	hyu	hyu1	hy⁵⁵	
於	于	j	yu	1	jyu	jyu1	jy⁵⁵	
迂	迂	j	yu	1	jyu	jyu1	jy⁵⁵	
魚	鱼	j	yu	2	jyu	jyu2	jy²¹	
漁	渔	j	yu	2	jyu	jyu2	jy²¹	
如	如	j	yu	2	jyu	jyu2	jy²¹	
餘	余	j	yu	2	jyu	jyu2	jy²¹	
余	余	j	yu	2	jyu	jyu2	jy²¹	
禺	禺	j	yu	2	jyu	jyu2	jy²¹	
愚	愚	j	yu	2	jyu	jyu2	jy²¹	
愉	愉	j	yu	2	jyu	jyu2	jy²¹	
榆	榆	j	yu	2	jyu	jyu2	jy²¹	
逾	逾	j	yu	2	jyu	jyu2	jy²¹	
愈	愈	j	yu	2	jyu	jyu2	jy²¹	
娛	娱	j	yu	2	jyu	jyu2	jy²¹	
而	而	j	yu	2	jyu	jyu2	jy²¹	
儒	儒	j	yu	2	jyu	jyu2	jy²¹	
雨	雨	j	yu	3	jyu	jyu3	jy³⁵	
宇	宇	j	yu	3	jyu	jyu3	jy³⁵	
羽	羽	j	yu	3	jyu	jyu3	jy³⁵	
禹	禹	j	yu	3	jyu	jyu3	jy³⁵	
汝	汝	j	yu	3	jyu	jyu3	jy³⁵	
語	语	j	yu	3	jyu	jyu3	jy³⁵	
與	与	j	yu	3	jyu	jyu3	jy³⁵	
盂	盂	j	yu	4	jyu	jyu4	jy³³	
淤	淤	j	yu	5	jyu	jyu5	jy⁴⁴	
喻	喻	j	yu	5	jyu	jyu5	jy⁴⁴	
譽	誉	j	yu	5	jyu	jyu5	jy⁴⁴	
禦	御	j	yu	5	jyu	jyu5	jy⁴⁴	
預	预	j	yu	5	jyu	jyu5	jy⁴⁴	
豫	豫	j	yu	5	jyu	jyu5	jy⁴⁴	
