#参考资料	《怀宁石牌方言语音系统》
#符号	“□”表示写不出来的字
#调值	[1]阴平31[2]阳平44[3]上声42[5]阴去35[6]阳去33
#ɿ	
m	[1]扪[2]门[6]闷焖
f	[1]分芬吩纷[2]坟汾焚[3]粉[5]粪奋愤忿[6]份氛分
t	[1]吨敦蹲登灯蹬[3]等墩礅盹[5]凳瞪澄炖钝盾顿遁
tʰ	[1]吞[2]腾誊囤屯饨豚藤[3]□{口气味难闻}[5]褪[6]邓
n	[2]能[6]嫩
l	[1]抡[2]轮沦纶囵伦仑棱[3]冷[6]愣论
k	[1]跟根庚耕羹更[3]埂耿梗哽艮[5]亘更
kʰ	[1]坑铿吭[3]肯啃垦恳
x	[1]哼[2]横竖恒衡珩痕[3]很狠[5]恨横{蛮～}
ŋ	[1]恩嗯[5]摁[6]硬
ts	[1]睁筝蒸争征峥狰挣贞针真珍侦砧斟甄榛箴臻增曾尊遵樽[3]拯整疹诊枕缜怎[5]症正证政挣圳阵振赈震镇憎
tsʰ	[1]皴村臣尘辰沉忱陈晨成呈丞诚承城乘盛程橙[2]存[3]逞惩[5]蹭锃寸趁衬称秤[6]赠郑
s	[1]申身伸呻参{人～}绅士娠深莘升声生牲笙森僧孙[2]神什绳[3]审婶沈省损笋榫[5]肾甚渗蜃瘳慎圣胜[6]剩盛
z	[1]扔[2]仍人仁壬[3]忍[6]认任刃纫韧妊饪
#an	
ts	[1]斩占{姓}詹沾粘好瞻[3]盏崭展辗搌[5]站战绽蘸占栈
tsʰ	[1]掺搀[2]缠馋婵谗禅意蝉蟾[3]铲产谄阐[5]颤忏[6]湛
s	[1]煽山珊杉删衫姗膻扇{～耳光}[3]闪陕[5]扇善
ts	[2]然燃[3]冉染
#on	
p	[1]搬颁[5]半
pʰ	[1]潘攀[2]盘磐槧蹣蟠[5]判盼叛畔[6]瓣扮伴拌
m	[1]蛮馒瞒[6]满螨[6]蔓漫
t	[1]端[3]短[5]段缎锻缎
tʰ	[1]贪瘫[2]坛昙[5]探[6]断
n	[2]男南楠[3]暖
l	[2]挛孪銮峦[3]卵[6]乱
k	[1]干甘杆肝泔柑竿官棺冠观[3]赶擀秆莞管[1]贯灌罐鹳观{道～}干
kʰ	[1]堪刊勘看{～门}[3]侃[5]看坎
x	[1]獾欢[2]含涵完环鹦擐[3]薅缓[6]汗旱幻焕涣奂宦换唤涣患瘓
ŋ	[1]安
ts	[1]钻[5]钻纂攥
tsʰ	[1]汆撺[2]蹿躜[5]篡窜蚕[6]镩
s	[1]酸[5]算蒜
#ɑŋ	
p	[1]帮邦梆[3]绑膀{～子}榜[5]棒谤镑泵
pʰ	[1]乓滂膀[2]旁螃彷庞磅膀胱[5]胖[6]蚌傍
m	[2]忙芒盲茫氓[3]莽蟒
f	[1]方芳[2]房防妨肪[3]仿访仿纺坊[5]放
t	[1]裆当时铛[3]党[5]挡档当荡
tʰ	[1]汤鸭趟[2]唐搪堂棠膛糖螳[3]躺淌傥倘[5]趟烫[6]溏砀塘
n	[2]囊[3]攮
l	[1]啷[2]狼郎君琅榔廊榔螂[3]朗[6]晾浪岚阆蒗
k	[1]冈刚肛钢纲缸罡[3]港岗讲[5]杠钢
kʰ	[1]康慷糠[2]抗[5]亢伉抗炕
x	[1]夯[2]航行杭[6]巷
ŋ	[1]肮昂[2]昂
ts	[1]张章彰漳樟蟑脏肮赃臧[3]长涨掌[5]仗帐账胀涨葬
tsʰ	[1]昌猖娼仓苍沧舱[2]长肠尝常徜嫦偿藏[3]场操敞[5]畅怅倡唱[6]杖丈仗奘玄藏{西～}
s	[1]桑丧伤商殇觞墒[2]尝[3]嗓搡赏晌[6]尚绱裳上
z	[1]嚷[2]瓤[3]壤攘[6]让
#oŋ	
p	[1]崩绷{～带}嘣[5]迸镚蹦
pʰ	[1]嘭砰抨怦烹[2]朋芃彭棚鹏蓬篷硼澎膨骺[3]捧[5]碰[6]蚌
m	[1]懵蒙[2]萌盟檬朦[3]猛锰懵蜢[6]梦孟
f	[1]疯丰风封枫峰烽锋蜂[2]缝补冯逢[3]讽[5]奉[6]缝凤俸
t	[1]冬东咚[3]懂董[5]冻栋
tʰ	[1]通嗵[2]同{～样}铜桐童彤佟瞳茼潼峒[3]统桶捅筒[5]痛[6]洞动
n	[1]农浓脓[6]弄
l	[1]隆[2]胧龙隆兴聋笼[6]窿
k	[1]公工弓功攻宫恭蚣躬龚[3]拱巩[1]贡供
kʰ	[1]空{天～}箜崆[3]孔恐[5]空控[6]共
x	[1]轰烘[2]红宏弘鸿虹洪蕻[3]哄[5]哄
ts	[1]中{～国}衷终盅忠钟枞宗棕[3]总肿种{～子}踵[5]种{～树}中{～奖}仲众纵粽
tsʰ	[1]冲锋充憧葱聪匆囱[2]从丛虫重复崇[3]宠[5]冲[6]重
s	[1]松忪{惺～}凇{雾～}嵩棕枞踪宗综鬃[2]怂[3]耸悚[5]讼宋送诵颂
#i	
p	[1]屄[3]比彼妣[5]逼笔必毕滗碧壁匕臂璧[6]闭鄙币庇毖陛敝婢荜愎痹辟邪蔽弊避毙
pʰ	[1]劈噪噼砒批披坯霹[2]纰皮琵枇{～杷}啤脾匹[3]痞否{～极泰来}[6]鼻篦屁辟僻
m	[1]眯[2]弥迷猕谜醚糜麋靡[5]谧密蜜幂秘[6]縻觅泌
t	[1]低堤提{～防}[3]底抵邸诋[5]滴
tʰ	[1]梯[2]提啼醍题鹈蹄[3]体剔[5]踢缔[6]弟递剃屉涕替嚏惕狄的{～确}迪敌帝涤娣第缔蒂谛笛嘀嫡地
ȵ	[1]泥尼妮呢倪霓疑蚁[5]拟[6]溺逆匿腻昵
l	[2]离梨厘狸犁黎鹂篱漓璃[3]礼李里理鲤[5]历力栗[6]厉立吏丽励利沥例隶荔俐俪莅莉砾砺粒痢雳笠蛎
tɕ	[1]鸡{rap}几讥击叽饥机肌奇{～数}姬基犄缉{～拿}畸跻激羁稽[3]几挤{～出}济己给戟[5]急及唧积吉汲级即疾棘集籍瘠籍鲫[6]纪既然脊计技记伎系{～鞋带}忌际妓季剂迹济{～世}觊继祭悸寄寂绩稷骥髻
tɕʰ	[1]蛆妻栖凄期{～待}欺蹊[2]齐岐祁其歧脐崎骑琪棋祺旗鳍麒[3]起祈乞岂企杞启取[5]七沏戚漆吃[6]气迄弃汽泣契器砌去
ɕ	[1]西夕兮希昔硒稀犀锡溪熙蜥曦膝嬉羲蟋蹊唏嘻[3]洗喜徙玺禧[5]吸析牺息悉惜熄习媳袭[6]戏席系细隙絮婿
Ø	[1]衣伊医依咿漪揖[2]移仪夷沂迤怡宜饴遗贻胰姨颐彝[3]椅已乙以矣倚[5]一咦[6]译亿义议亦异抑呓佚驿轶疫诣易役邑忆艺益肄意溢薏翼臆缢逸羿裔奕弈
#ia	
tɕ	[1]茄佳迦伽枷浃痂袈嘉夹葭[3]假甲贾钾[5]颊荚戛[6]价驾架
tɕʰ	[5]恰洽
ɕ	[2]侠狭遐峡瑕暇[5]辖[6]夏厦吓
Ø	[1]呀鸦丫[2]牙涯琊衙蚜[5]雅[5]押亚[6]讶娅
#ie	
p	[1]蹩[5]瘪憋鳖
pʰ	[1]瞥[3]擗撇[5]撇[6]别
m	[1]咩[5]蔑篾灭
t	[1]蝶跌迭谍喋
tʰ	[2]渠[5]贴帖铁[6]叠碟
ȵ	[5]捏聂业[6]孽镊蹑
l	[1]咧[5]烈劣列裂猎冽[6]裂
k	[3]给
tɕ	[3]姐[5]结节接揭孑劫杰拮洁颉捷睫截竭[6]借
tɕʰ	[2]茄[3]且[5]切妾窃怯挈惬锲[6]绝决诀掘
ɕ	[1]些楔蝎[2]斜邪胁挟偕携[3]写[5]歇屑械雪[6]谢泄邂瀣穴
Ø	[1]耶掖椰噎[2]爷[3]也冶野[5]叶页曳咽液烨[6]夜腋靥
#iæ	
p	[5]百伯柏
pʰ	[5]拍迫[6]白
m	[5]脉没麦默墨
t	[5]德得[6]嗲
tʰ	[5]忑[6]特
k	[5]骼嗝革格阁隔
kʰ	[1]揩[5]刻客克恪咳
#iai	
tɕ	[1]阶皆[5]械届介界诫藉
ɕ	[2]协谐[6]懈卸
Ø	[2]崖
#iɑu	
p	[1]彪猋标彪瞟骠镖飙[3]表婊裱
pʰ	[1]飘漂缥渺[2]瓢瞟剽嫖朴[3]漂[5]票漂
m	[1]喵[2]瞄苗描渺[3]秒杪缈藐淼[6]妙庙
t	[1]刁叼凋貂碉雕[3]屌[5]调掉吊钓
tʰ	[1]挑[2]条迢调{～节}笤窕[5]跳眺[6]调
ȵ	[3]鸟袅[6]尿
l	[1]撩[2]嘹獠潦{～草}聊辽疗僚缭燎寥撩[3]燎[6]料撂镣寥
tɕ	[1]交郊胶浇娇骄教蛟椒焦礁蕉跤[3]饺侥{～幸}佼狡绞搅缴{～费}剿[5]矫叫较酵窖教
tɕʰ	[1]锹悄跷[2]桥乔侨荞憔樵[3]巧[5]翘壳地峭俏窍鞘[6]撬轿
ɕ	[1]肖{姓}枵骁逍消宵萧硝箫潇销霄嚣[3]小晓[5]啸笑孝肖[6]校效哮
Ø	[1]谣瑶尧遥爻姚摇肴垚窑徭[3]杳舀[5]要耀
#iəu	
t	[1]丢
ȵ	[1]扭妞[2]牛[3]藕纽扭[5]拗
l	[1]溜[2]留刘浏流榴琉硫馏瘤榴[3]柳[5]遛
k	[1]钩勾佝勾沟[3]狗苟枸[5]构购诟够垢
kʰ	[1]抠[3]口[5]扣叩蔻寇
ŋ	[1]欧讴殴鸥[3]呕偶藕
tɕ	[1]揪纠究赳阄鬏[3]九酒久韭[5]灸救
tɕʰ	[1]秋丘邱蚯鳅[2]求囚酋逑球裘遒[6]旧咎臼柩疚就舅
ɕ	[1]修休馐羞[3]朽[5]秀绣锈岫臭{乳～未干}[6]袖
Ø	[1]优攸忧悠幽呦[2]由油尤邮犹疣鱿游蝣[3]有友酉莠[5]幼诱育[6]柚又右佑
#iɛn	
p	[1]编边蝙鞭砭[3]扁贬匾[5]变辩
pʰ	[1]偏篇翩扁[2]便[5]骗遍片[6]便{方～}辫辨
m	[2]棉绵眠[3]免缅勉冕娩腼[6]面
t	[1]颠掂滇巅癫甸[3]点典碘[5]店玷电踮佃
tʰ	[1]天添[2]填田恬甜[3]舔腆殄[6]垫惦殿奠淀
ȵ	[1]粘蔫[2]年鯰鲇黏严研[3]撵碾辇[6]念验
l	[2]连怜帘莲涟联廉鲢镰[3]敛脸[6]练链炼恋
tɕ	[1]尖奸歼坚肩艰缄蒹煎菅监兼[3]剪减检捡拣俭简戩柬茧碱[5]见建间{离～}荐箭剑鉴
tɕʰ	[1]千阡迁牵谦签[2]全前钱虔钳乾潜黔[3]浅谴遣[5]欠纤芡倩堑嵌歉
ɕ	[1]先仙纤掀锨籼鲜[2]闲贤弦涎娴衔痫嫌[3]显险蘚癣[5]线羡腺[6]现县限宪陷献馅
Ø	[1]烟胭嫣焉阉腌湮[2]盐延言岩炎沿颜妍阎檐蜒[3]演奄兖俨衍掩[5]厌燕艳雁[6]焰砚咽彦宴谚唁焱赝
#in	
p	[1]宾彬斌滨槟缤濒兵冰[3]饼丙秉禀[5]柄并殡鬓
pʰ	[1]拼乒[2]贫频嫔顰平苹萍评坪凭屏瓶[3]品[5]聘[6]病
m	[2]民名明鸣冥铭暝[3]皿闽抿泯悯敏[6]命
t	[1]丁仃叮盯钉[3]顶鼎[5]锭订钉
tʰ	[1]厅[2]廷亭婷庭停霆蜓[3]挺铤艇[5]听[6]定
ȵ	[2]您宁狞咛凝[3]拧[6]泞
l	[1]拎[2]邻林临淋琳麟鳞粼嶙遴霖磷玲灵零凌陵龄铃伶菱囹瓴聆翎羚绫[3]领凛廪岭[6]另令吝赁
