#ɿ			
ŋ	[1]啱{剛剛好}[2]癌岩		
h	[2]函撼憾餡銜		
#ɐm			
s	[1]心芯		
l	[2]林淋臨琳霖□{東西軟爛}[4]諗{想問題}		
tʃ	[1]砧針斟[3]枕{～頭}[5]浸		
tʃʰ	[1]侵[2]尋沉覃潯[3]寢		
ʃ	[1]森參{人～}深[2]甚岑什葚[3]沈瀋審嬸		
k	[1]甘柑今金疳[3]敢橄錦感咁{那樣}[5]禁{～不住，～止}		
kʰ	[1]襟[2]琴禽擒蟾噙[3]□{蓋，動詞}		
h	[1]堪勘[4]砍[2]含陷		
∅	[1]庵鵪[3]揞[5]暗		
#iɐm			
ȵ	[2]任{姓～，責～}[3]飲{～酒}		
∅	[1]音陰蔭欽[2]淫壬吟		
#ɛm			
l	[4]舔		
k	[3]減		
kʰ	[2]鉗[4]坎		
h	[2]咸[5]喊		
#im			
t	[2]掂墊[3]點典腆[5]店		
tʰ	[1]添忝[2]甜		
n	[1]粘{黏液}鯰[2]驗念		
l	[2]廉鐮簾[4]斂{收～}殮臉		
tʃ	[1]尖瞻詹粳[2]漸[5]占佔		
tʃʰ	[1]殲簽籤遷阡氈[2]潛		
ȵ	[2]嚴炎閻豔焰[4]染		
ʃ	[2]蟬禪{坐～，～讓}單{姓～}[3]陝閃		
k	[1]兼[2]儉[5]劍		
kʰ	[3]檢撿		
h	[1]謙[3]險[5]欠歉芡		
∅	[1]淹閹醃[2]鹽簷芫嫌[3]掩[5]厭		
#an			
p	[1]班斑頒[4]板版扳[5]瓣辦扮		
pʰ	[1]攀[5]盼		
m	[2]蠻慢饅漫幔萬蔓曼[4]晚		
f	[1]藩翻番蕃幡返[2]凡帆犯煩繁磯樊飯[3]反[5]泛範{模～}販範{姓～}		
t	[1]丹單{孤～}坍[2]壇{酒～}[3]但彈{子～}蛋[5]旦誕		
tʰ	[1]灘攤癱[2]檀彈{～琴}[3]毯坦袒[5]炭歎碳		
n	[2]難{困～，患～}		
s	[3]散{松～}[5]傘散{解～}		
l	[1]欄□{爬行}[2]蘭攔爛瀾闌嵐[4]懶婪		
tʃ	[3]棧盞[5]贊賺{～錢}		
tʃʰ	[1]餐[2]殘顫[3]產鏟[5]燦璨		
ʃ	[1]珊山刪閂姍柵栓拴[5]疝汕		
k	[1]艱奸{內～}[3]柬諫銅揀[5]間{～隔}澗		
ŋ	[2]顏雁頑		
h	[1]慳{節省}[2]閑限嫻		
∅	[5]晏		
#uan			
k	[1]關[5]鰥慣{～性}		
∅	[1]彎灣[2]還{～是}環患宦寰[4]玩{遊～，～弄}挽幻		
#ɐn			
p	[1]賓檳殯奔斌濱繽瀕彬[2]笨[5]鬢		
pʰ	[2]貧頻[3]品稟[5]噴{～水，～嚏，～氣}		
m	[1]蚊[2]民文紋聞問敏抿[4]閩吻刎		
f	[1]葷勳婚分{劃～}吩芬紛[2]焚墳忿份分{本～}[3]粉[4]憤奮[5]糞訓馴		
t	[1]敦墩[2]頓屯沌盾{矛～，人名}鈍扽		
tʰ	[1]吞飩		
s	[1]辛新薪[3]筍[5]信訊迅		
l	[2]麟鄰鱗燔磷論{～語，議～}侖倫輪掄綸淪		
tʃ	[1]津珍臻真樽[2]盡燼陣儘[3]攢准準[5]進綻晉鎮振震俊駿		
tʃʰ	[1]親{母～，～家}椿春鶉[2]秦陳塵巡遁殉荀旬循[3]蠢診疹[5]趁襯		
ȵ	[2]人仁[4]忍		
ʃ	[1]身申伸[2]神娠辰晨臣慎唇順純醇肫[4]腎[5]舜瞬遜		
k	[1]跟根巾斤筋[3]緊僅謹		
kʰ	[2]勤芹[3]近		
ŋ	[1]奀{瘦弱，幼小}[2]銀齦		
h	[2]痕恨□{手癢}[3]懇墾很		
#iɐn			
h	[3]釁		
∅	[1]恩因姻欣殷[2]勻刃潤閏孕[3]隱[4]寅引蚓尹釁[5]印		
#uɐn			
k	[1]君軍[3]滾袞[5]棍□{哄}		
kʰ	[1]昆{～明}昆{～侖}坤均鈞[2]群裙郡[3]捆[4]菌[5]困{～難}		
∅	[1]昏淄昏{～迷}溫瘟熏{煙～，薰衣草}醞暈[2]魂餛渾{～水，～身}雲云耘韻運混[3]穩允揾{找}		
#ɛn			
p	[3]貶扁匾		
pʰ	[1]篇[5]片		
n	[1]□{乳汁、乳房}[3]撚攆		
k	[1]間{中～}[3]堿繭梘[5]簡		
ŋ	[4]眼		
h	[4]蜆莧		
#uɛn			
k	[5]慣{習～}		
∅	[2]還{歸～}[4]鯇		
#ɔn			
k	[1]干肝乾杆[3]杆稈桿擀趕竿[5]幹		
ŋ	[2]岸		
h	[2]寒韓汗憾撼邯焊[3]刊侃鼾罕[4]旱捍[5]看{～守，小～}漢翰		
∅	[1]安鞍氨[5]按案		
#in			
p	[1]鞭邊辮鯿[2]辨辯便{方～}[5]變汴		
pʰ	[1]編篇偏蝙翩[2]便{～宜}[5]騙片遍{一～，～地}		
m	[2]綿棉眠面麵麪[4]免勉娩冕緬靦		
t	[1]顛癲巔[2]電殿奠佃澱[4]典		
tʰ	[1]天[2]田填[4]斷		
n	[2]年		
s	[1]仙鮮先[3]癬[5]線羨		
l	[2]連聯蟹憐蓮鏈楝練煉{熔～}煉{鍛～}楝		
tʃ	[1]煎箋[2]賤纏[3]剪踐展翦[5]箭戰		
tʃʰ	[1]千{秋～}千{萬～}[2]錢前餞[5]濺淺		
ȵ	[2]然燃諺言		
ʃ	[2]善膳嬋[3]冼[4]鱔[5]搧扇		
k	[1]肩堅[2]鍵健[3]犍[4]件[5]見建		
kʰ	[2]虔		
h	[1]牽掀軒[2]涎硯賢弦舷縣現憲[3]遣譴顯險[5]獻		
∅	[1]焉煙胭咽[2]延筵沿眩玄研妍[4]演衍[5]堰燕{姓～,～子}宴硯唁		
#un			
p	[1]般搬[2]伴拌[3]本[5]半絆		
p	[1]潘[2]盤盆湓蹣[5]判叛		
m	[1]瞞[2]門們捫[4]滿[5]悶		
f	[1]寬歡[3]款		
