#符号说明：-白=文/书*俗?待考	
#调值	[1]¹¹² [2]⁵² [3]³²⁴ [4]⁵³ [5]³³⁴ [7a]⁵⁵ [7b]³ [8]³¹² [0]⁰
#ɿ	
t	[5]戴{动词；姓}带
tʰ	[1]拖[5]大{~家}太
n	[1]奶拉2{尔~：你们}
l	[1]拉{动词}拉1{人称代词复数词尾}[5]赖癞
ts	[1]斋□{鸡骨乱~：乱七八糟}[2]□{我}[5]债
tsʰ	[3]踩[4]□{哪}
s	[1]傻筛{斟}[5]豺柴[3]洒
k	[1]家{自~：自己}街[3]解{~开}□{丘疹}[5]个1{一~}解{押送}□{~橱：碗橱}[7a]哥{~~}
kʰ	[1]揩[4]□{衰弱}
ŋ	[1]蚁{~~咕：蚂蚁}[2]捱
x	[2]鞋[3]蟹[5]哈
Ø	[3]矮[4]我[7a]凹[0]啊{语气词}
#iɑ	
ȵ	[4]惹
Ø	[2]爷[3]□{动词，扇}[4]野[5]夜□{知~：知了}
#uɑ	
k	[3]拐[5]乖怪
kʰ	[5]快
x	[3]□{~开：张开}
Ø	[1]坏{形容词}[2]怀[5]外坏{动词}
#yɑ	
tɕ	[1]株{茬儿}抓{~牌}□{钝}[3]□{摔；打}
tɕʰ	[2]□{抱}
ȵ	[7a]□{拿}
ɕ	[1]衰
Ø	[2]吆{叫，喊}
#iɛ	
p	[1]杯碑□{撮}[5]贝辈背{~心}半[7a]钵拨
pʰ	[1]胚坯[2]陪赔搬盘[4]倍伴拌[5]配背{~书}[7a]泼
m	[2]梅媒煤霉瞒馒□{揢乌~：捉迷藏}[3]抹[4]每满[5]姝问[7a]枚{量词}
t	[1]堆端[3]短[5]对碓顿{一~饭}[7a]□{坛子}
tʰ	[1]胎梯推煺贪吞氽{漂流}[2]臺抬潭糰{汤~：汤圆}[3]腿[4]待[5]代袋退
n	[2]南男[4]暖忍[5]耐内
l	[2]来[3]雷粒[4]癗{疖子}
tɕ	[1]灾簪钻{动词}[5]宰再载{~重}钻{名词}[7a]□{~næ᷉⁵⁵：垃圾}
tɕʰ	[1]猜催[3]彩[4]在1[5]菜蒜
ɕ	[1]腮鳃酸□{阿~：孙子；侄子}[2]材财裁蚕[3]些2碎[4]在2罪錾[5]算□{鸡~：鸡屋}[7a]些1
Ø	[3]也
#uɛ	
kʰ	[1]盔[5]块
x	[1]灰[5]悔晦
Ø	[1]煨[2]回茴[5]匯{~款}会{开~}会{勿~：不会}
#iᴇ	
t	[1]爹[7a]跌
tʰ	[3]叠碟蝶[7a]帖贴铁
l	[2]□{咬}[3]□{箅子}□{tɕyə⁵⁵~：知了}
tɕ	[3]姐[5]借[7a]节
tɕʰ	[7a]切[0]□{起来。“起来”的合音}
ɕ	[2]含{衔}[3]写[5]谢{多~}赦细{小}汉{好~}汗焊[7a]屑{头皮~}□{~着：知道}
k	[1]该甘柑泔肝竿乾{饼~}[3]改敢秆赶[5]盖幹{事~：事情}[7a]合{合眼}合{把斗上的米擀平整}蛤鸽割葛嗝□{~子：结巴}
kʰ	[1]开[3]□{挑担}[4]徛{站立}
ŋ	[2]呆[5]碍艾岸
x	[2]寒[3]海合{合拢}[5]害
Ø	[1]庵安鞍[5]爱暗案
#uei	
s	[1]虽绥
k	[1]规龟归[2]轨[3]癸鬼[5]桂贵
kʰ	[1]亏[2]葵[4]跪[5]柜
x	[1]徽[3]毁
Ø	[1]危为{介词}威冤[2]桅围{动词}圆{~桌}员缘园[4]尾{有头有~}远[5]位味魏院怨
#yei	
tɕ	[1]追专砖□{~锄：一种锄头}[3]嘴转{~身}捲[5]卷{名词}[7a]结{打~}诀
tɕʰ	[1]吹炊川穿圈{圆~}[2]垂槌锤传{动词}椽拳权[5]传{名词}劝郡2[7a]串{一~}缺
ȵ	[1]□{用手拧、掐}[2]圆{肉~：大肉丸子}源[3]月{一个~}[4]软[5]愿
ɕ	[1]靴闩[2]船[3]水[5]税楦训[7a]刷说血蟀
#uə	
t	[1]耽丹{牡~}单{~衣}□{溪~：溪}[3]胆□{擀}[5]担{名词}旦[7a]答搭
tʰ	[1]滩摊[2]谈痰弹{~琴}[3]毯[4]淡[5]炭[7a]踏{踢}拓{~本}塔塌獭
n	[1]拿[2]难{形容词}[4]女{~婿}[5]难{名词}
l	[2]蓝篮兰{~花}拦栏[3]腊蜡辣瘌[4]懒[5]滥烂
s	[1]三[3]散{鞋带~}[5]伞散{~会}[7a]撒萨煞
k	[1]家{大~}加嘉瓜监间{房~}官棺观{~里娘娘：观音娘娘}冠{鸡~}关[3]假{真~}贾减管馆[5]假{放~}架驾嫁价寡挂卦罐惯□{~蛮：倔}[7a]裌甲{指~}胛刮□{紧~：经常}
kʰ	[1]宽[2]蛤{~蟆}[3]夹㦿{窗户}款[5]揢{捉}[7a]𢈈{压}阔
ŋ	[1]弯湾[2]牙芽衙华{金~：地名}岩颜还{动词}[3]碗[4]瓦眼[5]换
x	[1]虾花欢[2]鹹[3]盒狭匣[4]下{方位词；动词}馅[5]夏{立~}化苋[7a]呷{大口喝}瞎豁□{摔；扔}
Ø	[1]鸦丫剜[2]划{~船}还{副词}[3]哑活[5]画万[7a]鸭押压挖□{别，不要}
#yə	
tɕ	[1]楂渣遮□{剁}[3]盏[5]诈榨乍蔗[7a]扎{捆}□{~lie²⁴：知了}
tɕʰ	[1]叉杈差{~别}车{汽~}搀餐{量词，指被动物咬一口}[2]茶搽查[3]铲[4]赚[7a]插擦
ɕ	[1]沙纱杉衫山删疝{闭~：中暑}疏[2]蛇[3]捨闸煠{用水煮}陕产{~母：产妇}铡[5]麝舍{隔壁邻~}晒[7a]杀
#ɤ̞	
p	[1]巴{尾~}疤把{抓}班斑扳□{抓}[3]把{~车}板版[5]坝爸{阿~：大伯子}扮[7a]八
pʰ	[2]爬琶杷钯[5]耙稗办[7a]爿{一~店}
m	[1]卯{大米粥}[2]麻{苎~}麻蟆{蛤~}茅{~铺}猫{三脚~：三脚架}锚蛮[3]袜[4]马码晚{~娘}[5]慢
f	[1]翻[2]烦矾[3]反罚[4]犯[5]番{~薯：甘薯}贩饭[7a]法髮發发
t	[1]刀[3]倒{打~；~出去}[5]到
tʰ	[2]桃逃淘陶萄[3]讨[4]道稻[5]套盗
n	[4]脑恼[5]闹
l	[2]劳牢兰{马~头：野菜名}[4]老佬[5]□{稀薄}
ts	[1]糟抓{~痒}朝{今~}召招[3]早枣蚤爪找[5]躁2灶罩笊照
tsʰ	[1]操抄[2]曹朝{~南}潮[3]草钞炒吵[5]躁1糙耖
s	[1]骚臊烧[2]槽[3]嫂少{多~}[4]皂造[5]扫{~地；~帚}燥肖绍{~兴}少{老~}邵□{搞lu5~：玩儿}
k	[1]高膏篙羔糕交{~界}胶{~水}缴[3]稿绞搞[5]告教{~书；~育}校{~表}酵窖觉{困~：睡觉}□{~水：碱}
kʰ	[3]考烤[5]靠犒
ŋ	[2]熬□{大粮柜}[3]拗{折使断}[5]傲
x	[3]好{形容词}[5]好{动词}耗号{~码}孝{做~}[7a]毫{一~}
Ø	[3]袄
#e	
Ø	[0]诶{语气词}
#ɤ̞	
p	[1]膘标{目~}镖彪[3]标{梢}表{~格}錶
pʰ	[1]飘[2]瓢嫖薸{浮萍}[3]漂{~白}[5]票漂{~亮}
m	[2]苗描[5]庙[7a]秒{一~钟}
t	[1]刁貂雕[2]鸟{动物名}屌2{pəʔ³~：阴茎}[3]屌1[5]钓吊
tʰ	[1]挑{~刺}[2]条调{~解}笤[5]跳粜掉调{声~；~列}
l	[2]撩{捞}髎{~子：阴茎}[3]了{揩~去}[4]了{完}[5]料廖□{~口：吵嘴}
tɕ	[1]交{~关;非常}胶{阿~}姣焦蕉椒娇浇[3]搅饺[5]叫
tɕʰ	[1]锹缲跷{~子：瘸子}[2]桥荞[3]巧[5]笡俏轿窍
ȵ	[2]饶[5]绕
ɕ	[1]消宵霄硝销萧箫□{掀}□{楔子}[3]晓[5]谢{~~}孝{~顺}小笑
Ø	[1]妖腰吆{~牛：放牛}[2]摇窑姚[3]□{折叠}[4]舀[5]要{重~}鹞
#əɯ	
p	[1]波菠坡玻巴{~勿得：巴不得}包{~子}胞[3]把{量词}保宝饱[5]报暴
pʰ	[1]泡{形容词}□{柚子}[2]婆袍刨{木工用具}[5]炮泡{动词}[7a]雹{冰~}
m	[2]磨{动词}毛茅{~草}[4]牡[5]磨{名词}墓帽貌{相~}
t	[1]兜丢[2]头{上~，下~}[3]斗{名词}抖[5]鬥
tʰ	[1]偷[2]头{脑袋}[3]㪗{~气：喘气}[5]透豆脰
l	[1]□{掏}[2]楼[4]娄[5]漏
ts	[1]邹皱绉周舟州洲□{吸}[3]帚[5]奏咒2
tsʰ	[1]抽□{~mi²⁴：梁}[2]绸筹仇{报~}酬仇{姓}[3]丑{子~寅卯}醜[5]凑臭
s	[1]搜馊收[2]愁[3]手首守[4]受[5]嗽瘦兽寿授
k	[1]勾钩沟[2]渠{他}[3]狗苟[5]锯够构购
kʰ	[1]抠[3]口[4]厚[5]去扣
ŋ	[4]藕偶{配~}
x	[2]□{思慕}[4]後后{皇~}[5]候鲎{虹}
#iəɯ	
l	[2]流刘留榴[4]柳[5]溜馏
tɕ	[1]阄[3]酒九久韭[5]咒1灸救究{~竟}
tɕʰ	[1]揪秋{~天}楸丘[2]求球[3]就[4]臼舅[5]旧柩
ȵ	[1]扭[2]牛[4]纽
ɕ	[1]修飕{凉~~：凉快}[5]秀绣宿{星~}锈袖{衫~：袖子}
Ø	[2]由油游[4]有友[5]釉幼
#æ᷉	
p	[3]□{~母：夫之嫂}[5]柄摒{拔}
pʰ	[2]搒{拍打}□{溅}
m	[2]盲猛{很}[4]猛{旺}[7a]□{~~：伯母}
f	[3]打
t	[1]□{xa᷉¹¹²~：怎么}[2]囡{女儿}[4]冷[5]呢{语气词}[7a]□{tɕiɛ⁵⁵~：垃圾}
tʰ	[1]争□{~勿多：差不多}[5]胀{~农：腹胀}
l	[1]撑[2]□{橙子}□{斜着顶}□{生耳~：患中耳炎}
ts	[1]生牲甥[2]□{~日：昨天}[3]省{浙江~}省{节~}[4]□{吵闹}
tsʰ	[1]更{五~}庚羹耕□{钻，挤入}[5]哽{噎}
s	[1]坑[5]嵌
k	[5]硬
kʰ	[1]□{~na᷉¹¹²：怎么}[2]行{走}桁[4]杏
#uæ᷉	
k	[1]惊{怕}[3]梗
x	[3]□{歪}
Ø	[2]横{~直}横{蛮~}
#yɛ᷉	
tɕ	[1]肫军[2]唇2[3]準准{批~}
tɕʰ	[1]春裙[5]郡1
ɕ	[1]熏勋[2]唇1驯[5]顺
Ø	[2]匀雲云[5]运晕
#ɑ᷉	
p	[1]帮□{推~：差}[3]榜绑[5]迸[7a]□{雀~：阴茎}
pʰ	[4]棒[5]胖
m	[2]忙[3]□{那样。“末样”的合音}[4]网[5]蟒忘望{指~}
f	[1]方[2]房防[3]纺[5]放
t	[1]当{~时}[3]挡[5]当{上~}档□{随~便：随便}
tʰ	[1]汤[2]堂唐糖塘[3]躺[4]荡{~秋千，~街路，涮洗}[5]烫[7a]趟{一~}
l	[2]郎廊狼榔莨{~萁：蕨}[5]浪踉晾
ts	[1]张装{盛饭}章樟[3]长{队~}涨掌[5]葬帐账胀{泡~}障瘴
tsʰ	[1]仓昌菖[2]长{~短}肠常[3]厂[4]丈杖[5]臟唱
s	[1]桑丧{婚~}商伤[2]藏{腌}尝偿[3]磉裳赏[4]上{动词}[5]尚上{方位}
k	[1]钢缸江扛豇[3]讲港□{这样。“仡样”的合音}[5]杠降{下~}
kʰ	[1]糠□{~~：刚，恰}[5]囥{藏放}
ŋ	[2]昂
x	[2]降{投~}[5]夯巷笐{~竿，晒衣竿}[7a]行{一~}
Ø	[5]肮
#iɑ᷉	
l	[2]凉量{动词}粮梁[3]两{二~}[4]两{~个}辆[5]亮[7a]两{几~}
tɕ	[1]将{~来}浆僵姜{姓}□{瞪}[3]奖桨[5]酱将{大~}
tɕʰ	[1]枪腔[3]抢
ȵ	[2]娘[4]仰
ɕ	[1]相{~信}箱厢湘镶香乡[2]墙[3]想鲞饷享响[4]象像[5]匠相{~貌}向
Ø	[1]央秧[2]羊洋烊杨阳[4]痒[5]让样
#uɑ᷉	
k	[1]光
kʰ	[2]狂[5]圹
x	[1]荒慌
Ø	[2]黄皇隍王[4]往{~年}[5]旺{火~}
#yɑ᷉	
tɕ	[1]庄装{做饭菜}桩[5]壮
tɕʰ	[1]疮[2]重{摞}[5]闯状撞□{亡狗~：一种棺材}
ɕ	[1]霜双{量词}双{~生}春[2]床[3]爽
Ø	[4]养
#ᴇɲ	
p	[1]崩[3]本
pʰ	[1]喷{~水}[2]盆[3]喷{~香}[4]笨[5]烹
m	[2]门明{~朝：明天}[5]闷□{掷}
f	[1]分[2]坟[3]粉[5]粪拚{~斗：簸其}份
t	[1]墩蹲灯瞪[3]等[5]凳
tʰ	[1]盾[2]饨藤□{安放}□{逗；骗}[4]断{剪~}[5]褪{掉落}遁邓{~家：地名}
l	[2]轮䔖[4]卵[5]乱嫩闰
ts	[1]针珍真曾{姓}蒸筝贞正{~月}櫼{揳}[2]□{你}[3]枕{~头}整[5]镇震甑正{~副}政
tsʰ	[1]村称{~呼}逞[2]沉陈尘存乘程[3]忖[5]阵衬{~托}寸称{相~}秤郑{~家：地名}
s	[1]参{人~}深身申伸孙狲升声[2]神辰臣曾{勿~：未}绳塍成城[3]婶[5]渗剩胜{~败}圣□{帮~：帮助}[7a]层{一~}□{耳朵~：耳饰}
k	[1]今跟根[5]更{~加}
kʰ	[3]肯
x	[5]恨
Ø	[1]恩□{埋，葬}
#ieɲ	
p	[1]冰兵□{~芽子：蓖麻}[3]饼倂[5]殡鬓柄
pʰ	[1]拼[2]贫平坪瓶萍[5]病聘姘
m	[2]民蚊明{清~}名□{梁}[4]抿[5]命
t	[1]钉{名词}疔[3]顶[5]钉{动词}订□{吝惜}□{沉淀}常桑
tʰ	[1]厅[2]亭停蜓[5]听定
l	[1]拎[2]林淋临邻凌菱灵零铃[4]领{领子}岭[5]领{畦}另
tɕ	[1]金襟巾斤筋京惊{~险}精晶睛经□{跨}[2]景{光~}[3]紧景{时~：时间}井颈□{洇}[5]浸禁{~勿牢：禁不住；~止}进劲镜
tɕʰ	[1]亲{~戚；~家}清轻青蜻[2]琴秦勤[3]请[4]近[5]揿{按}□{~口：忌口}
ȵ	[2]银迎{~灯：舞龙灯}[5]认韧
ɕ	[1]心辛新薪兴{~汪}蝇星腥[2]寻情晴□{~糖：饴糖}[3]笋榫醒[4]静净[5]信讯兴{高~}性姓
Ø	[1]音阴姻殷鹰樱英[2]赢营[3]引{药~}隐影[5]印应{~当；答~}
#uᴇɲ	
k	[3]滚棍
kʰ	[3]捆[5]睏{睡}
x	[1]昏婚荤
Ø	[1]温瘟[2]魂馄浑文纹[3]稳[4]混
#ɔm	
pʰ	[2]螃棚篷[3]捧[5]碰[7a]蓬{一~花}
m	[2]芒{麦~}[4]懵[5]梦[7a]猫
f	[1]风枫疯封峰蜂锋[2]缝{动词}[5]凤缝{名词}
t	[1]东冬[3]懂[5]冻栋□{~争头：肘}[7a]□{桑叶~~：桑葚}
tʰ	[1]通[2]同铜筒潼[3]捅统[4]桶动[5]痛洞
n	[2]农1{人}[5]脓
l	[1]弄{捉弄}[2]笼聋农2{人}窿龙垄{山谷}咙[4]拢[5]弄{~堂}
ts	[1]棕鬃宗[3]总[5]粽
tsʰ	[1]聪匆葱囱□{火~：烘篮}[2]从□{谁。“tsʰɑ⁵³⁴农”的合音}
s	[1]鬆□{~衣：蓑衣}□{弄~：捉弄}[2]松{~树}㞞{精液}[5]送宋
k	[1]公蚣工功攻弓躬宫
kʰ	[1]空{~话}[3]孔[5]空{有~}
x	[1]烘[3]哄
Ø	[2]红洪虹{转~桥：拱桥}[3]塕{灰~：灰尘}[5]瓮
#iɔm	
tɕ	[1]中{~国}忠中{~状元}终鐘锺钟盅供{赡养}[3]种{名词}肿[5]种{动词}
tɕʰ	[1]充铳冲[2]虫穷[3]宠共{同}[4]重{轻~}
ɕ	[1]胸凶{吉~，~恶}
Ø	[2]蓉绒熊雄浓茸蓉[4]勇涌[5]用
#m̩	
Ø	[2]无[4]亩[7a]母
#n̩	
Ø	[2]儿[4]五伍午尔耳[5]二□{~下：门槛}
#əʔ	
p	[7b]北百柏伯□{~屌：阴茎}
pʰ	[7b]泊□{掰，迈}[8]薄{~荷}白
m	[7b]拇[8]墨陌麦□1{那}□{~李：李子}
f	[8]佛{拜~}
t	[7b]得德□{啄}
tʰ	[7b]脱忒{太}[8]达夺突
l	[7b]了{助词}[8]捋勒
ts	[7b]汁折{~扣}浙质卒侧织职摘隻
tsʰ	[7b]撮测拆坼{㶁~：裂缝}赤斥尺□{勒}[8]直值择
s	[7b]涩虱失蟋塞色栅[8]煠{水~饭：泡饭}十拾入{~死娘}实贼食射{~箭}石
k	[7b]个2{一~；的}格隔[8]□1{这}
kʰ	[7b]咳磕瞌刻{时~}刻{动词}克客
ŋ	[8]额□{折使断}□{卡，夹}
x	[7b]吓黑
Ø	[7b]阿蔼轭
#iəʔ	
p	[7b]笔滗毕必逼碧壁
pʰ	[7b]鼻䏘{女阴}
m	[8]密蜜
t	[7b]滴□{眨}
tʰ	[7b]踢[8]笛籴
l	[8]猎立裂栗力曆{阴~}□{用棍子打}
tɕ	[7b]记{动量词，下}急吉雀{阴茎}鲫积迹脊
tɕʰ	[7b]缉{~鞋底：纳鞋底}七漆戚吃[8]及{来勿~}
ȵ	[8]入{装}日{前~}
ɕ	[7b]吸削惜锡析㽺{差}[8]集{收拾}舌嚼席{草~}
Ø	[7b]揖一
#uəʔ	
k	[7b]骨国㶁{裂}
kʰ	[7b]屈{弯}
Ø	[7b]□{淹}□{抓，划}[8]核{桃~}劃{~洋火：划火柴}
#yəʔ	
tɕ	[7b]橘□{吮吸}
tɕʰ	[7b]出
ȵ	[8]月{~亮}
ɕ	[7b]□{拧，转}
Ø	[8]穴
#ɔʔ	
p	[7b]博膊剥
pʰ	[7b]箔拍扑覆1{趴}[8]薄{厚~}缚鹁菔{萝~;萝卜}
m	[7b]摸[8]膜寞木目
f	[7b]福[8]幅服伏茯{地~}復{~兴}
t	[7b]厾□{砍}
tʰ	[7b]托秃[8]读毒
l	[8]萝落骆鹿六陆绿录
ts	[7b]作着{穿}筑{~水库}足
tsʰ	[7b]□{看}□{肏}[8]着{火~}
s	[7b]索肃宿{~舍}缩粟[8]凿勺芍□{骂}
k	[7b]阁搁郭角谷{姓}穀
kʰ	[7b]窟廓确壳哭
x	[7b]霍{~闪：闪电}[8]鹤学
Ø	[7b]恶{可~}恶{善~}握屋[8]镬
#iɔʔ	
tɕ	[7b]脚桌竹祝粥菊鞠烛
tɕʰ	[7b]戳畜{~生}麯触龊{龌~：脏}□{湿}[8]镯局{邮政~}
ȵ	[8]弱肉褥玉狱□{揉}
ɕ	[7b]叔[8]熟赎属{~牛}
Ø	[7b]约[8]药浴
#uɔʔ	
Ø	[7b]勿{不}龌{~龊：脏}
