IPA	調值	字		
o	213	禾和(~尙)萵(~筍:茭白)		
o	51	□(叫、喊)		
o	324	臥鑊(鍋)		
tsə	55	蜘知支枝肢栀只(~有)資姿咨脂茲滋之芝□(~前~後:形容很忙的樣子)		
tsə	51	紫紙姊旨指子梓滓止址		
tsə	33	制智致至置志痣		
tsʰə	55	雌疵癡		
tsʰə	213	池馳糍遲慈磁辭詞祠持		
tsʰə	51	齒此侈恥嗤		
tsʰə	33	刺賜翅次		
tsʰə	324	自(~私)字治秩		
sə	55	斯廝撕施是豉(豆~)私師獅屍司絲思杮(布~:杮子)詩		
sə	213	時		
sə	51	匙死屎牸(牛~嘚:小牛)使史駛始		
sə	33	世勢四肆示試		
sə	324	誓逝氏自(~家)視嗜伺似祀口寺嗣飼痔七仕事市恃侍蒔(~田:插秧)		
kə	33	鋸2□(打~：飽嗝)		
kə	324	渠(第三人稱單数)		
kʰə	33	去		
ə	324	二2貳(~心)		
pø	55	缽		
pʰø	55	潑		
pʰø	324	□(~得別人做:付費讓別人幹活)		
mø	55	抹末沫		
fø	324	活		
tø	55	掇		
tʰø	55	脫		
tʰø	324	奪		
lø	55	□(~菜:把菜從鍋裡盛出)		
lø	324	捋		
tsø	55	□(調皮)		
tsʰø	55	□(~上~下:竄上竄下)		
sø	55	刷說(小~)		
kø	55	鴿割		
kʰø	55	渴括闊(寬)		
hø	55	喝		
hø	324	盒合		
ø	213	兒(~孫)而		
ø	51	爾耳(~鼻喉)餌		
ʨyø	55	厥決訣爵□(用指尖擰一點點面積)		
ʨʰyø	55	缺		
ʨʰyø	51	□(~斷:折斷)		
ʨʰyø	324	絕掘倔□責怪		
ɕyø	55	薛屑(鋸~:木屑)雪血		
ɕyø	324	穴		
yø	55	悅曰閱越		
yø	51	□(~餅嘚:把餅掰開)		
yø	324	月粤		
tai	55	呆		
tai	33	帶		
tʰai	213	汰(~衣服:清衣服)		
tʰai	51	□(~藤:藤往上爬)		
tʰai	33	態太泰		
tʰai	324	大		
nai	51	乃奶		
nai	324	耐1奈哪		
lai	55	拉		
lai	213	□(~尿:尿床)□(忘記)		
lai	51	□(~到一下:突然看到)		
lai	33	賴(栽贓)□(~雞婆:孵蛋母雞)		
lai	324	頼(姓)癩□(用開水燙)		
tsai	55	齋		
tsai	33	債		
tsʰai	55	猜差(出~)		
tsʰai	213	豺柴		
tsʰai	33	蔡		
tsʰai	324	寨		
sai	55	篩釃(~酒:倒酒)		
sai	33	賽帥		
kai	55	皆階街(大~)		
kai	51	尬解(~釋)		
kai	33	溉介界(~開:分制開)芥戒疥屆械個□(淹沒)		
kai	324	□(這·這里)		
kʰai	55	揩		
kʰai	51	楷		
kʰai	33	慨		
kʰai	324	□(摩擦)		
hai	213	還(~有)		
hai	24	鞋		
ŋai	55	哀埃挨捱		
ŋai	213	崖1		
ŋai	51	矮		
ŋai	33	艾		
ŋai	324	□(碾壓)		
puai	51	擺		
puai	33	拜		
pʰuai	213	排牌		
pʰuai	33	派		
pʰuai	51	□(~鎖:撬鎖)		
pʰuai	324	敗稗		
muai	213	埋		
muai	51	買		
muai	33	妹		
muai	324	賣		
muai	24	□(對小孩的昵稱)		
fuai	213	懷(~疑)槐淮		
fuai	324	壞		
tuai	33	戴碓		
tʰuai	55	胎台(~州)		
tʰuai	213	抬苔		
