来源：	《介休（张兰镇）方言音系研究》王树苗著  Vinchi录入增补
l	[1]犁黎离｛~别；～开半寸｝篱璃｛玻~｝梨厘狸｛~猫｝零-｛~钱；～星｝铃-｛～～：铃铛｝[3] 礼李里理鲤领-｛~口子｝岭-｛村名：南~后｝ [5]例厉励丽｛美~｝隶荔｛~枝｝利痢吏凌｛冻～：冰｝令-｛节~｝另-｛~家｝□｛～（tɕiŋ[3]）：沙果｝□｛（kuʌʔ[1]）～：山羊｝
ts	[1]齐-｛全｝脐-｛肚薄～｝贼｛～：小偷；～眉鼠眼｝ 精-｛~明；～得多｝睛-｛眼~｝菁｛蔓~｝齐-｛全：~有｝ [3]挤井-[5]祭｛作~｝际济芥｛～～菜｝剂｛ 一～药；面～子｝净-｛干～；～水 ｝
tsʰ	[1]妻-｛夫～｝齐-｛整~｝清｛～汤寡水｝青｛~菜｝□｛～了叭嚓:干脆利索｝[5]砌｛拼凑:~ 花花；～布圪挞挞｝
nᶻ	[3]□｛挤：就这么点地方，你们不要～了｝□｛~（nᶻəŋ[1]）哭闹：不要～（nᶻəŋ[1]）｝
s	[1]西星-腥-｛羊~气｝栖｛～惶：可怜｝[3]洗玺省-｛定~｝擤｛～鼻涕｝[5]细婿｛女~子｝
tʂ	[1]遮知蜘｛~蛛｝蒸-｛~干粮｝[3]者整-｛~ （suʌʔ[1]）:收拾｝这｛后加量词:~阵:~个｝[5] 滞｛停～；积～｝制智致稚｛幼~｝置痔治正 ｛～好；～窑｝炙
tʂʰ	[1]车=｛马~｝蛇池驰豉迟痴持[3]扯侈耻
ʂ	[1]车-｛纺~｝赊绳｛缰～｝升-承-｛~不住｝声-｛说 一～｝城｛村名：～南村；～寺村｝盛-｛～饭｝成-｛穿不~；说不～｝[3]舍[5]射麝｛~香｝舍社世势誓逝秤-｛一杆~｝剩｛~饭｝
ʐ	[3]惹
k	[3]给｛~你｝
#uei	
l	[1]骡驴[3]吕旅缕｛丝~｝屡儡｛傀~ ｝履累｛~积｝垒铝[5]摞｛~起来｝虑滤累｛ 极困：连～｝类泪□｛吐果核：～核核｝
ts	[1]追槌锥[3]嘴[5]最缀赘醉坠
tsʰ	[1]蛆｛生～｝随-｛～他的哇｝吹炊=垂锤椿｛~树｝ [3]取｛～东西｝娶[5]趣脆翠粹｛纯～｝
s	[1]须需-随=虽绥遂隧｛~道｝谁荽｛芫~：通称香菜｝[3]水[5]絮序叙绪岁税髓睡穗
z	[3]蕊[5]芮｛姓｝锐瑞
k	[1]锅-闰规龟轨归瑰[3]果-裹-诡鬼癸[5]过-桂柜-贵
kʰ	[1]棵-颗-盔魁奎亏逵葵□｛~马：骟马｝ [3]傀｛~儡｝□｛～～：脸或身上长的痘痘｝ [5]溃｛~脓｝窥跪-｛~膝下：跪下｝愧嗑｛～瓜子｝
x	[1]和｛~面｝麾非飞妃肥=挥辉徽=豮｛~猪｝[3]和｛我～你，连词｝火-伙-｛～~吃｝毁匪翡｛~翠｝[5]货-祸-晦=废肺吠秽痱｛~ 子｝费｛~用｝
