	ipa	注释	
谬	mio6		
幽	ʒiu1		
幼	ʒiu3		
答	tap7		
贪	tʰam1		
踏	tʰap8		
潭	tʰam2		
南	nam2		
男	nam2		
纳	nap8		
簪	ʦʰam1		
惨	ʦʰam3		
蚕	ʦʰam2		
杂	ʦʰap8		
感	kam3		
合	kap7		
喝	hot7		
含	ham2		
揞	em1		
暗	am1		
担	tam1		
毯	tʰan3		
塔	tʰap7		
谈	tʰam2		
淡	tʰam6 tʰam1	文 白	
篮	lam2		
览	lam3		
滥	lam6		
腊	lap8		
三	sam1		
甘	kam1		
敢	kam3		
磕	kʰap7		
喊	hɛm3		
站	ʦʰam6		
斩	ʦam3		
插	ʦʰap7		
杉	sam1		
减	kɛm3		
夹	kiap8		
裌	kap7		
咸	hɛm2		
狭	hɛp8		
衫	sam1		
监	kam1		
鉴	kam3		
甲	kap7		
严	ŋam2		
衔	ham2		
舰	lam3		
鸭	ap7		
压	ap7		
黏	nɛm2		
蹑	nep7		
帘	liam2		
殓	liam3		
猎	liap8		
尖	ʦiam1		
接	ʦiap7		
签	ʦʰiam1		
渐	ʦʰiam6		
捷	ʦʰiap8		
占	ʧam3		
摺	ʧiap7		
陕	ʃiam3		
闪	ʃiam3		
摄	nɛp7		
涉	ʃiap8		
染	ŋiam6		
检	kiam3		
验	ŋiam6		
险	hiam3		
阉	ʒiam1		
炎	ʒiam2		
盐	ʒiam2		
檐	ʒiam2		
叶	ʒiap8		
页	ʒiap8		
剑	kiam3		
严	ŋiam2		
酽	ŋiam2		
业	ŋiap8		
腌	ŋiam1		
点	tɛm3		
店	tɛm3		
跌	tɛt7		
添	tʰem1		
帖	tʰɛp7		
甜	tʰɛm2		
叠	tʰɛp8		
碟	tʰɛp7		
念	nɛm6		
挟	kiap7		
谦	kʰiam1		
嫌	hɛm2		
协	hiap8		
法	fap7		
凡	fan2		
范	fam6		
犯	fam6		
乏	fat8		
品	pʰin3		
林	lim2		
临	lim2		
笠	lip8		
粒	liap8		
集	ʦip8		
心	sim1		
寻	ʦʰim2		
习	sip8		
蜇	ʧʰit8		
森	sem1		
参	sem1		
涩	sep7		
针	ʧim1		
枕	ʧim3		
汁	ʧip7		
深	ʧʰim1		
沈	ʃim1		
沈	ʧʰim3		
湿	ʃip7		
十	ʃip8		
任	ʒim6		
入	ŋip8		
今	kim1		
金	kim1		
锦	kim3		
急	kip7		
级	kʰip7		
给	kip7		
琴	kʰim2		
饮	ŋim2		
及	kʰip8		
吸	kʰip7		
音	ʒim1		
阴	ʒim1		
饮	ʒim3		
荫	ʒim3		
淫	ʒim2		
单	tan1		
炭	tʰan3		
檀	tʰan2		
弹	tʰan2		
达	tʰat8		
难	nan2		
兰	lan2		
懒	nam1		
烂	lan6		
辣	lat8		
餐	ʦʰon1		
擦	ʦʰat7		
残	ʦʰan2		
散	san3		
伞	san3		
肝	kon1		
竿	kon1		
秆	kon3		
割	kot7		
看	kʰon3		
渴	kʰot7		
岸	ŋien6		
汉	hon3		
喝	hot7		
寒	hon2		
旱	hon1		
汗	hon6		
安	on1		
案	on3		
扮	pen3		
八	pɛt7		
办	pʰɛn6		
拔	pʰat8		
绽	ʦʰan6		
扎	ʦat7		
山	san1		
产	san3		
杀	sat7		
艰	kan1		
间	kɛn1		
简	kɛn3		
眼	ŋien3		
闲	hɛn2		
限	hɛn6		
苋	hɛn6		
班	pan1		
板	pɛn3		
攀	pʰan1		
扳	pan1		
慢	mɛn6		
奸	kɛn1		
谏	kien3		
颜	ŋien2		
雁	ŋien6		
瞎	hat7		
辖	hat8		
编	pʰien1		
变	pien3		
偏	pʰien1		
骗	pʰien3		
辩	pʰen6		
便	pʰien6		
别	pʰiet8		
绵	mien2		
勉	mien3		
面	mien3	脸	
灭	met8		
连	lien2		
裂	liet8		
剪	ʦien3		
钱	ʦʰien2		
线	sien3		
展	tɛn3		
哲	tiet7		
彻	tiet7		
缠	ʧʰɛn2 ʧʰen2		
战	ʧen3		
折	ʧet7		
舌	ʃiet7		
扇	ʃien3		
设	ʃiet7		
蝉	hiam2		
善	ʃien6		
然	ʒien2		
热	ŋiet8		
囝	kʰyen3		
乾	kʰien2		
件	kʰien6		
杰	kʰiet8		
延	ʒien2		
演	ʒen3		
建	kyen3		
揭	kʰiet7		
健	kʰyen6		
言	ŋien2		
轩	hien1		
掀	hien1		
献	hien3		
歇	hiet7		
边	pen1		
扁	pien3		
遍	pien3		
辫	pien1		
眠	men2		
面	mien6	麵	
篾	met8		
典	tɛn3		
天	tɛn1		
铁	tɛt7		
田	tʰɛn2		
电	tʰɛn6		
奠	tʰɛn6		
年	nɛn2		
捏	nɛt7		
节	ʦiet7		
千	ʦʰien1		
先	sien1		
肩	kɛn1		
笕	kɛn3		
见	kien3		
结	kiet7		
洁	kiet7		
牵	kʰien1		
研	ŋien2		
显	hien3		
贤	hien2		
弦	hien2		
现	hien6		
烟	ʒɛn1		
燕	ʒɛn3		
搬	pan1		
半	pan3		
钵	pat7		
判	pʰan3		
泼	pʰat7		
盘	pʰan2		
伴	pʰan1		
馒	man2		
满	man3		
末	mat8		
端	ton1		
短	ton3		
断	ton3		
掇	tot7		
脱	tʰot7		
团	tʰon2		
断	tʰon6 tʰon1	文 白	
段	tʰon6		
夺	tʰot8		
暖	non1		
卵	lon3		
乱	lon6		
捋	lot8		
篡	ʦon3		
酸	son1		
算	son3		
官	kuan1		
管	kuan3		
灌	kuan3		
罐	kuan3		
冠	kuan3		
括	kuat7		
宽	kʰuan1		
款	kʰuan3		
阔	kʰuat7		
欢	fan1		
焕	van6		
丸	vien2		
换	van6		
活	fat8		
碗	van3		
腕	van3		
幻	fan6		
滑	vat8		
挖	va1		
篡	ʦʰon3		
闩	ʦʰon1		
拴	son1		
刷	sot7		
关	kuan1		
惯	kuan3		
刮	kuat7		
还	van2		
环	kʰyen2 fan2		
患	fan6		
弯	van1		
恋	lon2		
劣	luat7		
全	ʦʰien2		
泉	ʦʰan2		
绝	ʦʰiet8		
宣	sien1		
选	sien3		
雪	siet7		
转	ʧɛn3		
传	ʧʰɛn2		
专	ʧɛn1		
砖	ʧɛn1		
穿	ʧʰɛn1		
喘	ʦʰon3		
串	ʧʰɛn3		
船	fien2		
说	ʃɛt7		
软	ŋien1		
捲	kien3		
眷	kyen3		
卷	kyen3		
圈	kʰyen1		
拳	kʰyen2		
圆	vien2		
缘	ʒien2		
院	ĩ1		
悦	vɛt7		
反	fan3		
发	fat7		
翻	fan1		
烦	fan2		
矾	fan2		
饭	pʰon6		
罚	fat8		
万	van6		
袜	mat7		
劝	kʰyen3		
卷	kʰyen3		
元	ŋien2		
原	ŋien2		
愿	ŋien6		
月	ŋiet8		
冤	vien1		
怨	vien3		
园	vien2		
远	vien3		
越	vɛt8		
决	kuat7		
犬	kʰien3		
缺	kʰiet7		
玄	hien2		
县	vien6		
穴	kiet8		
渊	ʒien1		
吞	tʰun1		
根	kyn1		
垦	kʰyn3		
痕	fun2		
恨	hin6		
恩	en1		
宾	pin1		
笔	pit7		
匹	pʰit7		
贫	pʰin2		
闽	man2		
民	men2		
密	met8		
蜜	met8		
临	lin2		
栗	lit8		
进	ʦin3		
亲	ʦʰin1		
七	ʦʰit7		
漆	ʦʰit7		
秦	ʦʰin2		
尽	ʦʰin6		
疾	ʦʰit8	痛	
新	sin1		
信	sin3		
膝	ʦʰit7		
珍	tin1		
镇	tin3		
趁	tin3		
陈	ʧʰin2		
阵	ʦʰin6		
侄	ʧʰit8		
瑟	set7		
虱	set7		
真	ʧin1		
诊	tin3		
振	ʧin3		
质	ʧit7		
神	ʃin2		
实	ʃit8		
身	ʃin1		
申	ʃin1		
失	ʃit7		
晨	ʃin2		
人	ŋin2		
仁	ʒin2		
忍	ʒyn1		
认	ŋin6		
韧	ŋyn6		
日	ŋit7		
巾	kyn1		
紧	kin3		
吉	kit7		
银	ŋyn2		
姻	ʒin1		
印	ʒin3		
乙	viet7		
一	ʒit7		
寅	ʒi2		
引	ʒin3		
斤	kyn1		
筋	kyn1		
谨	kin3		
勤	kʰyn2		
乞	kʰet7		
芹	kʰyn2		
近	kʰyn1 kʰyn6		
欣	him1		
隐	vun3		
本	pun3		
盆	pʰun2		
笨	pun6		
勃	pʰut8		
门	mun2		
闷	mun6		
没	mut8		
敦	tun1		
顿	tun3		
囤	tʰun2		
钝	tun1		
突	tʰut8		
嫩	nun6		
论	lun2		
尊	ʦun1		
卒	ʦut7		
村	ʦʰun1		
存	ʦʰun2		
孙	sun1		
损	sun3		
昆	kʰun1		
棍	kun3		
骨	kut7		
坤	kʰun1		
捆	kʰun3		
困	kʰun3		
窟	kʰut7		
婚	fun1		
魂	fun2		
核	het8 fut8		
温	vun1		
伦	lun2		
律	lut8		
遵	ʦun1		
俊	ʦun3		
笋	sun3		
榫	sun3		
春	ʧʰyn1		
出	ʧʰyt7		
唇	fin2		
顺	ʃyn6		
术	sut8		
纯	sun2		
润	vin6		
闰	vin6		
均	kyn1		
钧	kyn1		
菌	kʰun2		
匀	vin2		
允	vin3		
分	fun1 pun1	文 白	
粪	pun3		
奋	fun3		
芬	fun1		
坟	pʰun2		
份	fun6		
佛	fut8		
文	vun2		
蚊	mun1		
闻	vun2		
问	mun3		
物	vut8		
君	kyn1		
军	kyn1		
屈	kʰut7		
裙	kʰyn2		
掘	kʰut8		
薰	fun1	香烟	
训	fun3		
云	vin2		
韵	vin6		
运	vin6		
帮	poŋ1		
榜	poŋ3		
博	pʰo8		
薄	pʰo6		
忙	moŋ2		
茫	moŋ2		
莫	mo6		
膜	mo6		
幕	hm6		
当	toŋ1		
党	tʰoŋ3		
汤	tʰoŋ1		
托	tʰok7		
堂	tʰoŋ2		
唐	tʰoŋ2		
荡	tʰoŋ6		
宕	tʰoŋ6		
囊	loŋ2		
郎	loŋ2		
浪	loŋ6		
落	lo6		
乐	lo6		
葬	ʦoŋ3		
作	ʦo7		
仓	ʦʰoŋ3		
脏	ʦʰoŋ6		
凿	ʦʰa6		
桑	soŋ1		
丧	soŋ1		
索	so7		
岗	koŋ1		
钢	kʰoŋ3		
各	ko7		
阁	ko7		
康	kʰoŋ1		
囥	kʰoŋ3		
行	hoŋ2 haŋ2 hen2		
鹤	ho6		
恶	o7		
娘	lioŋ2		
酿	ŋioŋ6		
凉	lioŋ2		
粮	lioŋ2		
两	lioŋ1 lioŋ3	文 白	
亮	lioŋ6		
略	lio6		
将	ʦʰioŋ6		
蒋	ʦioŋ6		
奖	ʦioŋ3		
酱	ʦioŋ1		
雀	ʦio7		
鹊	sia7		
墙	ʦʰioŋ2		
匠	ʦʰioŋ6		
相	sioŋ1		
箱	sioŋ1		
镶	sioŋ1		
想	ʃioŋ6		
相	sioŋ1		
削	ʃio7		
详	ʃioŋ2		
祥	ʃioŋ2		
像	ʦʰioŋ6		
张	ʧioŋ1		
长	ʧioŋ3		
帐	ʧioŋ3		
胀	ʧioŋ3		
着	ʧio7		
长	ʧʰioŋ2		
肠	tʰioŋ2		
场	ʧʰioŋ2		
丈	ʧʰoŋ6 ʧʰoŋ1	文 白	
杖	ʧʰoŋ6		
庄	ʦoŋ1		
装	ʦoŋ1		
壮	ʦʰoŋ3		
床	ʦʰoŋ2		
状	ʦʰoŋ6		
霜	soŋ1		
章	ʧioŋ1		
掌	ʧioŋ3		
障	ʧʰioŋ3		
酌	ʧo6		
唱	ʧʰioŋ3		
伤	ʃoŋ1		
常	ʃoŋ2		
上	ʃioŋ1 ʃoŋ6		
尚	ʃioŋ6		
勺	ʃo6		
壤	ŋioŋ3		
让	ŋioŋ6		
弱	ŋio6		
姜	kʰioŋ1		
脚	kio7		
强	kʰioŋ2		
香	hioŋ1		
乡	hioŋ1		
响	hioŋ3		
向	hioŋ3		
秧	ʒioŋ1		
约	ʒio7		
羊	ʒioŋ2		
杨	ʒioŋ2		
养	ʒioŋ1		
痒	ʒioŋ1		
样	ʒioŋ6		
药	ʒio6		
光	koŋ1		
广	koŋ3		
郭	ko7		
荒	foŋ1		
黄	voŋ2		
皇	foŋ2		
镬	vo6		
方	foŋ1		
放	foŋ3 pioŋ3	文 白	
芳	foŋ1		
纺	foŋ3 pʰioŋ3	文 白	
访	foŋ3		
房	foŋ2		
缚	pʰio6		
网	mioŋ3		
忘	moŋ6		
望	moŋ6		
钁	kio7		
框	kʰioŋ1		
眶	kʰioŋ1		
狂	kʰioŋ2		
况	kʰioŋ3		
枉	voŋ3		
王	oŋ2		
往	voŋ3		
旺	voŋ6		
驳	po7		
朴	pʰo7		
桌	ʦo7		
琢	tu7		
啄	tu7		
浊	ʦo6		
捉	ʦo7		
窗	ʦʰuŋ1		
双	suŋ1		
江	koŋ1		
扛	koŋ1		
讲	koŋ3		
港	koŋ3		
降	koŋ3		
觉	ko7		
角	ko7		
腔	kʰioŋ1		
确	kʰo7		
壳	kʰo7		
乐	ŋo8		
降	koŋ3		
项	hoŋ6		
巷	hoŋ6		
学	ho6		
握	ap7		
崩	pen1		
北	pet7		
朋	pʰen2		
墨	met8		
登	ten1		
等	ten3		
得	tet7		
忒	tʰet8		
藤	tʰen2		
特	tʰet8		
能	nen2		
肋	let8		
曾	ʦen1		
则	ʦet7		
层	ʦʰen2	叠	
贼	ʦʰet8		
塞	set7		
肯	kʰen3		
刻	kʰet7		
黑	het7		
恒	hen2		
冰	pen1		
逼	pet7		
菱	lin2		
力	lit8		
息	sit7		
征	tin1		
澄	tʰen2		
直	ʧʰit8		
侧	ʦet7		
测	ʦʰet7		
色	set7		
蒸	ʧin1		
证	ʧin3		
织	ʧit7		
职	ʧit7		
秤	ʧin3		
塍	ʃin2		
食	ʃiet8		
升	ʃin1		
识	ʃit7		
式	ʃit7		
承	ʃin2		
极	ket8		
兴	hin1		
应	en1		
亿	et7		
蝇	ʒin2		
翼	ʒit8		
国	kut7		
弘	fuŋ2		
或	fet8		
百	pa7		
伯	pa7		
魄	pʰa7		
彭	pʰaŋ2		
白	pʰa8		
猛	maŋ3		
打	ta3		
冷	len1		
撑	ʦʰaŋ1		
拆	ʦʰet8		
择	ʦet8 tʰo6	文 白	
生	sen1 saŋ1	文 白	
甥	sen1		
省	sem3		
更	ken1 kaŋ1		
庚	kaŋ1		
哽	kaŋ3		
格	ka7		
坑	kʰaŋ1		
客	kʰa7		
硬	ŋaŋ6		
额	ŋia7		
吓	hã7		
杏	hen6		
擘	pa7		
棚	pʰaŋ2		
麦	ma6		
脉	ma7		
摘			
争	ʦen1 ʦaŋ1	文 白	
责	ʦit7		
策	ʦʰa7		
册	ʦʰa7		
耕	ken1		
革	ket7		
隔	ka7		
幸	hen6		
核	het8 fut8		
扼	ã7		
丙	piaŋ3		
柄	piaŋ3		
平	pʰin2 pʰiaŋ2	文 白	
坪	pʰiaŋ2		
病	pʰiaŋ6		
明	men2 miaŋ2	文 白	
命	men6 miaŋ6	文 白	
京	kiaŋ1		
惊	kiaŋ1		
境	ken3		
警	kin3		
敬	kin3		
镜	kiaŋ3		
庆	kʰin3		
擎	kiaŋ1		
剧	kia6		
屐	kʰia6		
迎	ŋiaŋ2		
逆	ŋia6		
影	ʒiaŋ3		
聘	pʰin3		
僻	pʰia7		
名	miaŋ2		
